"","Table 4BU2# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21"
"13","5","    Primary metal manufacturing","KS331W0",10557,10767,11278,10929,9480,9581,8501,8799,9521,9898,10017,9120,7803,8857,9538,9051,9559,10649
"14","6","    Fabricated metal product manufacturing","KS332W0",12684,12617,12779,12804,12241,12445,12122,12017,12841,13670,14282,13639,12339,12557,13279,13510,13965,14387
"15","7","    Machinery manufacturing","KS333W0",16480,16468,15895,17560,14848,14144,13491,13099,13844,14319,14413,14580,13444,14539,16152,16721,17104,18131
"16","8","    Computer and electronic product manufacturing","KS334W0",15632,15456,15277,18072,15558,15383,17362,18649,20442,18970,18720,21591,21312,21632,22579,22264,21492,20905
"17","9","    Electrical equipment, appliance, and component manufacturing","KS335W0",6580,6607,6521,6695,6185,6008,5826,5692,5672,6014,6251,6198,5620,5689,5843,5918,6004,6202
"18","10","    Transportation equipment manufacturing","KS336W0",49005,58042,56740,45467,45099,45299,44063,40096,42848,44479,53794,51576,54096,63614,68332,72004,73501,89233
"19","11","      Motor vehicle and parts manufacturing","KS3MVW0",8576,8148,8251,8284,7110,7463,7767,7409,7743,8026,7545,6014,5654,6319,6673,7050,7295,6736
"20","12","      Other transportation equipment manufacturing","KS3OTW0",40309,49794,48391,37112,37915,37765,36242,32646,35060,36406,46218,45563,48443,57295,61661,64957,66209,82475
"21","13","    Furniture and related product manufacturing","KS337W0",1601,1709,1755,1833,1685,1753,1661,1716,1726,1737,1692,1532,1368,1360,1326,1346,1349,1356
"22","14","    Miscellaneous durable goods manufacturing","KS339W0",4359,4232,4366,4623,4406,4489,4630,4678,4760,4836,4887,4924,4732,4893,4965,5125,5459,5483
"23","15","  Nondurable goods industries","KS30NW0",40167,39238,41141,41399,39973,40735,40752,41229,42228,44281,47926,45400,45350,45685,46550,47074,46705,45004
"24","16","    Food manufacturing","KS311W0",6808,6338,6502,6666,6350,6485,6404,6365,6480,6655,6667,6646,6664,6637,6750,6725,6815,6813
"25","17","    Beverage and tobacco product manufacturing","KS312W0",1861,1870,1727,2327,2568,2533,2614,2360,2747,2747,2789,2870,3562,3293,3410,4088,4150,4152
"26","18","    Textile mills","KS313W0",1816,1769,1762,1631,1512,1425,1410,1378,1358,1315,1220,1101,967,960,968,938,945,962
"27","19","    Textile product mills","KS314W0",871,830,896,916,874,770,766,756,788,744,742,735,638,640,625,638,613,603
"28","20","    Apparel manufacturing","KS315W0",2252,2064,2278,2170,1617,1690,1641,1522,1465,1445,1380,1291,1251,1262,1257,1270,1259,1275
"29","21","    Leather and allied product manufacturing","KS316W0",402,383,383,358,312,283,263,258,257,247,247,239,227,242,251,241,229,217
"30","22","    Paper manufacturing","KS322W0",1950,1780,1898,1803,1802,1931,1857,1799,1850,1956,1983,1852,1833,1855,1856,1803,1763,1731
"31","23","    Printing and related support activities","KS323W0",1518,1365,1539,1405,1258,1396,1294,1261,1274,1293,1382,1112,1011,1012,953,907,997,956
"32","24","    Petroleum and coal product manufacturing","KS324W0",8016,7568,7517,7588,7810,7447,6787,7007,7480,8062,9962,8164,9231,9345,9716,8790,8162,6460
"33","25","    Chemical manufacturing","KS325W0",12128,12559,13704,13816,13460,14258,15175,16083,16075,17280,18636,18853,17557,17912,18097,19440,19702,20103
"34","26","    Plastics and rubber product manufacturing","KS326W0",2786,2912,2962,2790,2701,2660,2563,2586,2584,2684,2754,2536,2408,2523,2569,2704,2757,2593
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Chained (2009) dollar inventory series are calculated to ensure that the chained (2009) dollar change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","in inventories for 2009 equals the current-dollar change in inventories for 2009 and that the average",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","of the 2008 and 2009 end-of-year chain-weighted and fixed-weighted inventories are equal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
