"","Table 3#7U# Government Current Transfer Receipts                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213"
"11","3","  Federal","W012RC0",332,340,332,336,348,368,384,408,420,424,448,456,456,464,472,480,512,556,524,544,524,488,840,912,964,996,1040,1068,1080,1096,1108,1128,992,1032,1072,1088,1064,1064,1036,1032,1060,1080,1084,1096,1084,1092,980,976,1012,1016,1032,1060,1104,1132,1148,1160,1260,1360,952,1028,1220,1316,1352,1356,1340,1344,1352,1376,1512,1436,1424,1472,1480,1612,1976,2104,2264,2428,2564,2688,2768,2880,2988,3100,3240,3348,3288,4704,4000,3608,3804,4060,4776,5012,5084,5036,4832,5028,5168,5612,6124,6356,6468,6564,7136,12820,7164,7064,7136,7252,6316,8024,8696,9696,8608,8776,7264,7172,7812,8328,8836,9152,10328,10140,9728,10036,10912,12640,13904,14168,14612,14720,14440,14104,14448,18088,16052,15860,15888,17060,18540,17136,17480,15484,14016,12632,11828,10464,11500,11820,12440,30912,13004,13112,13784,13576,13920,13844,13900,13588,13444,13256,13176,14440,14624,14692,14916,15788,16036,16300,16316,15964,15816,15484,15320,14892,14752,14924,15120,14852,15444,15708,16324,16672,17496,18932,18952,19396,20520,20744,21300,22136,24752,24472,25044,27956,29980,30076,30012,48752,51648,60712,41864,45924,48264,47480,50432,48788,47756,47476
"12","4","    Deposit insurance premiums \1\","B1041C0",124,124,128,128,128,132,132,136,136,132,136,136,144,144,152,152,156,160,164,168,176,184,184,188,192,200,204,212,208,216,208,216,224,248,268,280,284,284,264,256,252,256,260,260,268,276,172,180,196,200,200,204,204,212,220,232,312,332,384,428,460,460,440,416,396,384,388,396,412,428,436,448,456,468,488,508,532,556,564,560,552,560,568,588,624,656,676,680,1132,1160,1184,1204,1488,1536,1580,1644,1732,1752,1772,1988,1896,1916,1936,2084,3084,3104,3148,3340,3388,3428,3464,3424,3440,3428,3420,3772,3300,3344,3416,3864,3892,3952,4032,4264,3468,3992,4656,6240,7028,7572,7864,7664,7864,7588,7608,8712,8908,8584,8548,8772,8724,8152,7676,6620,6112,5020,4252,2648,2880,2652,2708,20632,2224,1888,1924,1936,2112,1924,1984,1776,1844,1804,1816,3128,3196,3144,3136,3716,3716,3716,3716,3600,3596,3596,3596,3168,3172,3168,3168,2664,2864,2664,2660,2236,2124,2804,2236,2268,2740,2272,2276,2692,3100,2696,2692,4588,5240,4636,4576,24012,28300,37780,18368,20896,20724,17812,18904,18560,18776,18564
"13","5","    Other \2\","B1042C0",208,216,204,208,220,236,252,272,284,292,312,320,312,320,320,328,356,396,360,376,348,304,656,724,772,796,836,856,872,880,900,912,768,784,804,808,780,780,772,776,808,824,824,836,816,816,808,796,816,816,832,856,900,920,928,928,948,1028,568,600,760,856,912,940,944,960,964,980,1100,1008,988,1024,1024,1144,1488,1596,1732,1872,2000,2128,2216,2320,2420,2512,2616,2692,2612,4024,2868,2448,2620,2856,3288,3476,3504,3392,3100,3276,3396,3624,4228,4440,4532,4480,4052,9716,4016,3724,3748,3824,2852,4600,5256,6268,5188,5004,3964,3828,4396,4464,4944,5200,6296,5876,6260,6044,6256,6400,6876,6596,6748,7056,6576,6516,6840,9376,7144,7276,7340,8288,9816,8984,9804,8864,7904,7612,7576,7816,8620,9168,9732,10280,10780,11224,11860,11640,11808,11920,11916,11812,11600,11452,11360,11312,11428,11548,11780,12072,12320,12584,12600,12364,12220,11888,11724,11724,11580,11756,11952,12188,12580,13044,13664,14436,15372,16128,16716,17128,17780,18472,19024,19444,21652,21776,22352,23368,24740,25440,25436,24740,23348,22932,23496,25028,27540,29668,31528,30228,28980,28912
"14","6","  State and local (net)","W076RC0",104,105,108,111,163,168,171,174,231,230,227,224,226,223,226,229,254,256,257,253,256,256,258,262,339,341,335,325,320,308,302,302,452,455,460,461,485,484,484,483,532,531,529,528,565,563,561,551,611,600,593,588,680,679,682,687,856,869,887,908,1070,1086,1092,1088,1232,1217,1204,1191,1377,1370,1358,1355,1584,1583,1581,1580,1860,1862,1867,1875,2158,2167,2174,2177,2459,2460,2457,2452,2865,2863,2869,2879,3232,3247,3256,3261,3628,3581,3623,3748,4004,4155,4268,4313,4323,4362,4427,4484,12559,4724,4781,4816,4811,4848,4905,4992,5072,5240,5471,5741,6057,6313,6520,6686,7238,6882,7032,7208,7762,7634,7896,8504,8883,8862,9172,10031,10117,10358,10646,10987,11381,11765,12147,12527,12895,13286,13690,14109,14534,14957,15381,15800,16261,16621,20625,17241,18572,17536,19084,31236,23280,23740,24240,24780,28088,28512,28776,28872,29384,29540,29920,30520,31588,32300,32912,33416,32788,33364,34128,35076,35873,36543,36832,36740,36388,36265,36485,37050,37313,38120,38820,39415,40034,40655,41570,42781,44068,44316,44431,44421,45035,45390,46238,47581,47975,50398,51321,51358,51305,51530
"15","7","    Fines","S230560",24,29,30,29,18,16,15,15,48,48,48,48,72,71,71,70,50,49,49,48,64,64,63,61,56,55,54,55,93,93,92,90,131,128,127,126,161,160,160,159,186,185,183,182,207,208,208,209,243,244,246,247,269,270,272,273,213,213,212,210,244,243,242,243,298,300,302,304,372,374,376,378,436,436,435,433,507,503,499,495,600,596,592,588,696,694,692,690,870,868,864,858,998,992,987,983,1101,1125,1158,1196,1249,1280,1314,1349,1382,1410,1453,1487,9504,1637,1676,1695,1686,1694,1700,1716,1711,1747,1806,1872,1884,1941,1995,2040,2574,2117,2144,2169,2531,2206,2257,2642,2760,2527,2646,3331,3355,3429,3549,3715,3913,4108,4294,4469,4626,4795,4970,5153,5344,5510,5668,5814,5951,6072,6185,6292,6152,6104,6140,6264,6476,6676,6856,7020,7164,7320,7472,7628,7784,7940,8100,8252,8412,8596,8812,9060,9336,9640,9964,10316,10673,10937,11105,11177,11157,11209,11335,11535,11810,12088,12369,12653,12587,12588,12655,12790,12801,12853,12943,13075,13245,13397,13529,13641,13735,13841,13957,14087,14227,14378
"16","8","    Net insurance settlements","W098RC0",-7,-11,-9,-5,9,16,20,23,18,17,14,11,7,5,8,12,25,28,29,26,10,10,13,19,41,44,39,28,-5,-17,-22,-20,0,6,12,14,9,9,9,9,9,9,9,9,11,8,6,-5,-18,-30,-39,-45,-49,-51,-50,-46,-45,-32,-13,10,51,68,75,70,45,28,13,-2,-10,-19,-33,-38,-46,-47,-48,-47,-46,-39,-30,-17,-1,13,24,32,40,43,42,39,25,25,35,51,88,110,124,134,119,133,154,182,232,253,260,251,235,183,109,17,-124,-216,-290,-342,-352,-363,-360,-341,-321,-273,-208,-134,-14,46,72,76,29,4,-20,-37,-82,-56,0,82,278,327,319,256,39,-50,-108,-129,-60,-42,-24,-10,-9,-4,-2,-5,-2,-19,-45,-74,-140,-145,-119,-56,84,164,192,172,100,76,96,160,272,228,32,-324,-836,-1112,-1160,-976,-560,-308,-212,-276,-496,-580,-524,-328,7,46,-211,-766,-1619,-2085,-2170,-1874,-1194,-713,-433,-352,-543,-584,-474,-211,267,513,530,318,-123,-415,-560,-554,-399,-279,-190,-136,-115,-101
"17","9","    Other \3\","S230570",87,87,87,87,136,136,136,136,165,165,165,165,147,147,147,147,179,179,179,179,182,182,182,182,242,242,242,242,232,232,232,232,321,321,321,321,315,315,315,315,337,337,337,337,347,347,347,347,386,386,386,386,460,460,460,460,688,688,688,688,775,775,775,775,889,889,889,889,1015,1015,1015,1015,1194,1194,1194,1194,1399,1398,1398,1397,1559,1558,1558,1557,1723,1723,1723,1723,1970,1970,1970,1970,2146,2145,2145,2144,2408,2323,2311,2370,2523,2622,2694,2713,2706,2769,2865,2980,3179,3303,3395,3463,3477,3517,3565,3617,3682,3766,3873,4003,4187,4326,4453,4570,4635,4761,4908,5076,5313,5484,5639,5780,5845,6008,6207,6444,6723,6979,7205,7401,7528,7699,7877,8068,8278,8495,8722,8961,9192,9466,9758,10060,10450,10694,14559,11005,12336,11268,12752,24800,16704,16988,17288,17600,20652,20964,21272,21568,22436,22712,22980,23244,23736,24012,24312,24632,23948,24304,24688,25088,25193,25560,25938,26329,26850,27141,27320,27389,26697,26745,26884,27114,27990,28651,29389,30202,31000,30950,30958,31028,31913,32408,33269,34494,34639,36836,37554,37407,37193,37253
"18","10","From persons","W062RC0",335,320,313,312,312,327,352,377,430,464,492,518,537,546,547,542,519,522,532,547,599,606,605,598,555,558,580,619,691,749,809,863,921,967,1004,1036,1032,1038,1040,1046,1075,1106,1144,1187,1222,1259,1299,1344,1371,1422,1479,1548,1673,1765,1831,1875,1831,1820,1828,1861,1940,2015,2108,2209,2304,2424,2556,2688,2828,2959,3082,3203,3307,3421,3516,3620,3705,3802,3908,4009,4139,4259,4386,4528,4642,4830,5047,5289,5612,5856,6075,6261,6691,6924,7187,7462,7720,7988,8277,8535,8779,9055,9306,9532,9863,10220,10607,11010,11344,11720,12055,12717,12662,12911,13507,13696,14153,14759,15071,15401,15921,16293,16677,17081,17275,17876,18658,19599,20927,22068,23111,24178,24987,25777,26383,26833,28042,28331,28682,29221,30114,30696,31182,31576,31883,32343,32886,33480,34027,34633,35235,35829,37240,38019,38583,38954,39052,39340,39996,41064,42288,43516,44672,45772,46936,48128,49340,50596,51536,52456,53388,54304,55172,55996,56788,57564,58088,59280,60740,62496,64580,66164,67508,68616,70180,71048,71832,72584,74576,75668,76892,78392,80099,81419,83032,84930,84341,84431,84891,85741,86858,88252,89800,91510,93360,94815,95844,96461,96643,97102
"19","11","  Federal \4\","B233RC0",44,44,44,44,44,40,40,40,44,44,44,48,52,52,52,52,52,56,60,60,64,60,56,52,52,52,52,52,48,48,48,48,52,56,60,68,56,48,36,28,40,52,68,84,88,88,88,88,72,68,60,60,88,124,152,176,156,132,116,108,108,112,120,120,120,120,128,132,136,144,148,156,156,168,168,180,180,184,188,180,180,180,184,196,212,228,240,248,252,256,264,264,576,648,740,836,896,956,1024,1044,1024,1044,1040,1004,1116,1168,1224,1272,1156,1200,1248,1668,1692,1828,2288,2308,2540,2904,2932,2940,2956,3032,3128,3228,3264,3360,3468,3560,3712,3848,3916,4056,3992,4096,4144,4180,5032,5008,5000,5128,5404,5608,5744,5816,5888,6036,6252,6520,6796,7060,7304,7516,7700,7864,7996,8120,8332,8588,8896,9276,9516,9744,9948,10108,10364,10616,10848,11076,10964,10868,10840,10852,10876,10808,10724,10608,10236,10408,10768,11316,12244,12792,13252,13604,14576,14828,15028,15180,16584,16944,17288,17768,18788,19108,19408,19680,19584,19704,19732,19688,19448,19512,19756,20188,20788,21116,21144,20884,20312,19904
"20","12","  State and local","B246RC0",291,276,269,268,268,287,312,337,386,420,448,470,485,494,495,490,467,466,472,487,535,546,549,546,503,506,528,567,643,701,761,815,869,911,944,968,976,990,1004,1018,1035,1054,1076,1103,1134,1171,1211,1256,1299,1354,1419,1488,1585,1641,1679,1699,1675,1688,1712,1753,1832,1903,1988,2089,2184,2304,2428,2556,2692,2815,2934,3047,3151,3253,3348,3440,3525,3618,3720,3829,3959,4079,4202,4332,4430,4602,4807,5041,5360,5600,5811,5997,6115,6276,6447,6626,6824,7032,7253,7491,7755,8011,8266,8528,8747,9052,9383,9738,10188,10520,10807,11049,10970,11083,11219,11388,11613,11855,12139,12461,12965,13261,13549,13853,14011,14516,15190,16039,17215,18220,19195,20122,20995,21681,22239,22653,23010,23323,23682,24093,24710,25088,25438,25760,25995,26307,26634,26960,27231,27573,27931,28313,29540,30155,30587,30834,30720,30752,31100,31788,32772,33772,34724,35664,36572,37512,38492,39520,40572,41588,42548,43452,44296,45188,46064,46956,47852,48872,49972,51180,52336,53372,54256,55012,55604,56220,56804,57404,57992,58724,59604,60624,61311,62311,63624,65250,64757,64727,65159,66053,67410,68740,70044,71322,72572,73699,74700,75577,76331,77198
"21","13","    Fines","S210660",169,155,143,133,113,115,124,140,175,205,232,256,286,296,294,280,236,224,219,225,264,273,276,275,248,247,257,276,314,345,380,413,453,478,497,508,505,509,515,523,536,549,566,585,606,635,668,707,745,788,834,877,947,958,941,898,783,736,709,708,778,811,851,896,919,971,1024,1078,1138,1187,1235,1280,1316,1361,1407,1456,1507,1566,1632,1703,1793,1869,1944,2018,2069,2161,2270,2396,2565,2697,2816,2926,3001,3104,3214,3329,3458,3585,3713,3844,3984,4110,4225,4337,4404,4537,4686,4853,5098,5243,5349,5414,5392,5414,5442,5480,5525,5601,5706,5832,6072,6176,6273,6371,6501,6610,6721,6840,6926,7089,7286,7511,7854,8041,8168,8233,8146,8160,8198,8264,8426,8499,8562,8613,8652,8684,8712,8736,8681,8705,8757,8841,8982,9109,9249,9400,9214,9153,9218,9407,9721,10013,10282,10528,10751,10977,11206,11438,11674,11910,12145,12379,12615,12896,13220,13589,14003,14456,14945,15472,16004,16404,16652,16772,16728,16816,17000,17300,17712,18132,18556,18980,18881,18882,18983,19182,19192,19270,19416,19630,19910,20250,20649,21107,21623,22043,22367,22595,22728,22903
