"","Table 5#5#4U# Price Indexes for Private Fixed Investment in Equi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209"
"11","3","  Information processing equipment and software","B679RG3",309.794,311.07,313.179,314.319,310.907,312.183,309.981,308.467,307.009,308.692,304.157,304.604,302.029,301.406,297.859,294.187,290.767,289.323,287.315,285.562,285.627,285.151,282.43,282.277,280.719,276.224,277.812,271.018,267.377,264.141,260.4,258.707,258.786,258.775,259.587,258.898,257.268,256.816,256.505,258.044,258.723,258.677,259.373,260.416,262.423,262.904,261.399,260.315,258.967,256.638,254.411,252.863,251.372,250.091,249.399,249.491,252.237,253.594,252.194,249.772,249.4,254.105,258.947,264.254,269.986,272.948,272.999,273.766,274.814,275.295,275.27,273.783,274.799,273.611,270.6,266.374,263.631,262.057,260.356,258.755,259.943,260.407,259.015,257.91,259.267,260.479,261.731,263.014,266.121,267.779,267.826,267.528,267.38,269.936,270.733,271.541,268.036,264.057,260.758,258.395,255.182,252.742,250.17,248.406,246.202,243.529,241.113,238.877,235.199,234.172,235.974,235.271,232.116,228.771,225.999,227.476,227.949,225.633,224.167,224.298,223.538,221.308,219.739,217.672,215.865,214.687,214.732,214.581,214.983,212.966,209.796,207.048,204.354,200.87,198.633,196.197,195.476,193.393,191.376,189.198,187.618,185.979,183.811,181.137,179.51,177.877,174.926,171.408,167.508,163.016,160.13,157.337,154.138,151.289,148.071,144.783,140.152,136.472,133.298,130.31,128.272,126.244,124.585,123.387,122.845,122.208,122.05,121.086,118.43,117.14,114.918,113.455,112.364,110.957,110.11,109.204,107.956,107.208,105.947,104.484,103.767,103.136,102.591,101.543,101.031,100.359,99.617,98.992,98.611,98.349,98.026,97.61,97.209,96.678,95.224,93.845,93.224,92.852,92.339,91.464,90.149,89.161,88.653,88.285,87.923,87.645
"12","4","    Computers, software, and communication","W175RG3",685.893,687.131,689.477,689.758,679.009,683.109,671.993,665.478,658.224,664.685,647.567,647.551,639.739,638.605,624.945,608.85,598.658,594.119,588.514,584.234,584.764,584.021,573.042,567.471,565.404,549.847,554.567,532.966,521.511,509.271,496.426,489.378,486.127,485.152,487.01,484.261,481.113,478.829,478.041,481.968,483.412,483.356,483.555,484.77,488.324,488.369,483.777,480.132,475.577,467.958,461.039,456.36,451.832,450.697,448.61,448.191,455.036,456.983,450.978,442.367,440.044,448.963,457.468,465.553,472.906,475.74,473.822,470.912,472.57,472.115,467.655,461.42,459.778,454.266,444.822,433.616,422.217,416.066,410.091,403.962,405.642,404.734,398.238,392.183,390.292,389.681,388.63,389.334,393.485,394.051,393.175,390.759,391.628,392.331,391.606,392.499,383.764,375.54,368.978,363.481,356.116,351.119,346.006,342.029,337.427,332.097,327.653,322.066,312.754,309.067,311.079,309.354,301.968,294.196,289.659,290.749,290.896,286.309,283.89,282.991,280.71,276.56,273.908,269.884,265.996,263.744,263.206,261.875,261.73,258.951,253.438,248.255,242.735,236.991,232.565,228.948,227.766,224.316,221.288,217.936,215.194,212.659,209.323,205.245,202.459,199.607,195.155,190.334,185.02,179.151,175.413,171.718,167.529,163.891,159.832,155.745,150.031,145.416,141.42,137.666,135.077,132.654,130.706,129.196,128.632,127.909,127.693,126.504,123.262,121.665,118.976,117.225,115.861,114.064,112.968,111.833,110.141,109.131,107.508,105.669,104.771,104.02,103.299,101.991,101.27,100.491,99.522,98.717,98.306,97.91,97.423,96.88,96.396,95.669,93.858,92.137,91.401,90.797,90.067,88.964,87.372,86.125,85.464,85.005,84.609,84.296
"13","5","      Computers and peripheral equipment","B935RG3",627505.053,519251.656,436457.093,404730.973,324738.962,448578.999,415687.753,371842.554,314673.395,339896.281,245568.462,252962.962,225492.312,232760.907,195647.377,164051.305,143975.736,137422.146,130635.746,125192.419,122577.613,118692.479,106955.459,101171.891,102124.281,91037.12,96390.919,81787.515,75153.526,67685.58,60621.291,56822.531,54455.69,53128.974,53001.445,50893.513,48074.734,45898.805,43575.734,42916.529,42262.8,41354.674,40227.01,39553.72,39380.108,38302.1,35708.689,33380.125,31439.921,28777.99,26564.717,24970.195,23535.558,22805.507,22050.823,21747.82,22450.904,22314.665,21072.496,19623.504,18507.814,17613.629,17004.15,16650.675,16693.948,16584.449,16007.899,15260.104,14449.075,13699.697,13085.038,12674.767,12780.354,12387.447,11470.855,10274.186,9095.239,8155.926,7473.712,7007.466,7016.77,6836.016,6449.255,5991.507,5694.385,5268.593,4897.181,4661.285,4649.738,4623.609,4496.997,4264.558,4149.792,4058.274,3975.453,3955.196,3655.894,3441.829,3241.873,3115.507,2914.164,2762.047,2642.999,2566.318,2453.333,2353.884,2272.556,2174.331,2024.94,1971.256,1995.042,1980.555,1817.699,1705.65,1630.376,1636.443,1620.735,1580.112,1558.867,1547.452,1533.145,1479.232,1460.559,1416.654,1355.733,1338.487,1335.551,1314.025,1278.836,1237.63,1164.257,1119.912,1095.828,1045.105,994.542,961.456,930.463,885.498,849.679,815.756,798.426,783.13,757.743,722.377,689.746,661.856,624.165,586.509,542.763,498.082,470.203,442.897,413.177,388.354,363.364,341.394,312.728,289.328,268.131,248.906,233.97,221.272,211.457,204.688,198.989,192.716,188.002,182.854,168.008,161.835,154.403,147.106,142.54,139.655,135.181,130.99,126.472,123.637,121.203,118.889,117.226,115.345,112.415,109.481,105.517,101.827,98.091,94.565,91.746,88.544,85.664,83.626,81.772,79.596,77.317,75.638,72.85,71.287,69.954,68.465,66.754,65.059,64.049,63.072,62.638,62.003
"14","6","      Software \1\","B985RG3",158.881,158.259,157.711,156.568,153.231,150.425,148.269,146.686,146.834,146.946,147.081,147.137,143.871,142.409,140.545,138.585,137.469,136.035,135.368,135.108,136.482,137.039,137.57,137.339,135.246,134.341,133.022,131.863,130.399,129.741,128.939,128.35,128.213,127.887,127.446,127.343,127.573,127.613,127.979,128.422,128.608,128.482,129.209,129.902,131.275,131.27,131.279,130.942,129.356,128.351,127.726,126.835,126.036,125.722,125.676,125.739,127.105,128.083,128.633,129.065,129.694,131.925,134.524,136.74,138.633,138.601,138.74,139.299,138.919,138.81,139.184,139.605,140.75,140.896,140.55,139.734,137.733,137.249,137.049,137.472,139.712,140.763,142.003,143.252,143.663,144.81,145.338,145.894,148.106,149.388,150.881,152.201,153.456,153.981,154.491,154.613,153.839,153.069,152.147,151.312,150.674,150.665,149.714,148.941,148.934,147.812,147.045,145.68,143.543,142.159,141.291,141.008,141.26,141.082,141.013,140.676,140.715,140.273,139.124,137.626,135.227,133.472,131.666,129.835,128.723,127.913,127.52,127.617,129.401,128.495,127.012,124.705,119.749,117.138,115.592,114.671,116.279,116.375,116.095,115.397,113.585,112.472,111.653,111.127,111.635,111.881,111.608,111.018,110.259,109.316,108.375,107.53,106.756,106.418,105.37,104.372,102.994,102.598,102.499,102.196,103.066,103.661,104.192,104.486,105.283,106.426,108,108.158,107.781,108.199,106.782,106.967,106.558,105.211,105.324,105.042,103.989,103.931,102.98,101.378,101.017,100.675,100.703,99.68,100.051,100.106,99.919,99.923,100.411,101.203,101.565,101.504,101.611,101.709,101.718,101.859,101.712,102.149,102.198,101.605,101.154,100.574,99.755,99.973,99.7,99.688
"15","7","      Communication equipment","B275RG3",69.658,69.825,70.206,70.511,70.394,69.703,69.066,69.068,69.094,69.2,69.249,68.992,68.875,68.655,68.403,68.213,68.703,68.992,69.113,69.22,69.525,69.986,70.174,70.319,69.934,69.722,69.547,69.576,69.706,70.159,70.669,71.178,71.801,72.411,73.048,73.664,74.592,75.441,76.867,78.407,79.315,80.068,80.93,81.675,82.533,83.659,84.752,85.963,86.971,87.903,88.898,90.051,91.248,92.425,93.204,93.612,94.432,95.186,95.18,94.694,96.072,100.815,105.191,109.175,111.523,113.038,113.569,114.08,117.614,120.168,120.159,118.431,116.618,115.503,115.111,115.749,117.308,120.341,122.313,122.61,122.674,123.347,122.709,123.259,125.122,129.206,133.479,137.646,140.123,140.754,142.161,144.854,147.523,149.811,150.79,151.851,153.069,153.1,155.062,155.23,156.673,158.734,160.017,160.369,161.609,161.977,162.081,162.293,162.069,162.055,163.666,162.641,164.585,163.037,163.108,164.484,166.039,163.161,162.46,163.554,163.712,164.247,163.769,163.821,164.914,163.666,163.487,163.211,164.212,164.842,164.817,163.64,163.638,162.968,163.586,162.265,161.8,161.416,161.29,160.916,160.866,159.704,158.087,156.324,155.719,154.698,153.291,151.925,151.667,150.776,150.841,151.069,151.023,150.32,150.02,148.394,145.475,142.317,139.807,137.682,135.272,133.029,130.949,129.011,128.809,127.827,126.995,125.634,123.945,121.335,119.092,117.06,116,114.008,112.687,111.994,111.135,109.323,106.735,104.716,103.131,102.31,101.627,101.068,100.489,100.196,99.775,99.539,99.287,98.853,98.849,98.787,98.283,97.091,91.599,85.813,85.947,84.038,82.213,80.385,76.247,73.968,74.124,72.74,72.126,71.545
"16","8","    Medical equipment and instruments","W176RG3",28.129,28.369,28.63,28.816,28.703,28.784,28.922,28.901,28.959,28.865,28.853,28.944,28.96,28.935,28.972,29.109,29.059,28.989,28.867,28.812,28.777,28.731,28.703,28.868,28.873,28.866,28.891,28.983,29.169,29.655,29.977,30.073,30.269,30.379,30.383,30.488,30.722,31.022,31.337,31.573,31.71,31.864,32.149,32.607,33.117,33.49,33.728,33.97,34.144,34.496,34.771,34.824,34.804,34.778,34.883,34.944,35.118,35.452,35.966,36.473,36.773,37.506,38.87,40.919,43.079,44.225,44.959,45.777,46.469,47.082,47.708,48.262,48.658,49.593,50.578,51.431,52.565,53.579,54.515,55.445,56.686,58.101,59.444,60.684,62.15,63.804,65.614,67.266,68.579,69.869,71.492,73.161,73.53,74.493,75.43,75.503,76.375,76.893,77.242,77.883,78.816,78.779,78.912,79.558,79.471,79.613,78.873,79.639,81.367,82.651,83.382,83.733,85.313,86.746,86.042,87.304,87.904,88.182,87.618,88.814,89.692,89.86,89.961,90.566,91.627,91.991,92.551,93.902,94.872,93.972,94.276,95.141,95.997,96.299,97.846,97.812,98.252,98.988,98.701,98.872,99.13,99.384,99.731,99.796,100.013,100.54,101.169,101.149,101.526,101.176,100.978,100.85,100.165,99.801,99.806,99.403,99.132,98.85,98.854,98.933,98.864,98.346,97.681,98.138,97.714,97.44,97.582,97.657,97.67,98.006,98.138,98.29,98.346,98.657,98.845,98.884,99.618,99.918,100.213,100.214,100.148,99.887,99.975,99.836,100.039,99.89,100.05,100.02,99.517,99.917,100.209,100.089,99.823,99.969,99.956,99.975,99.814,100.545,100.862,100.858,100.451,100.566,100.693,100.793,100.562,100.41
"17","9","      Electro-medical equipment","W878RG3",31.707,31.597,31.677,31.889,32.031,32.148,32.164,31.925,32.033,31.75,31.571,31.515,31.367,31.192,31.086,31.09,30.907,30.723,30.526,30.445,30.455,30.467,30.524,30.806,30.922,31.017,31.136,31.31,31.66,32.115,32.225,31.917,31.289,30.945,30.701,30.751,31.266,31.681,32.125,32.495,32.716,33.042,33.548,34.278,35.173,35.857,36.37,36.818,36.977,37.337,37.517,37.354,36.986,36.614,36.442,36.309,36.467,36.705,37.113,37.501,37.596,38.252,39.644,41.843,44.382,45.822,46.844,47.92,48.846,49.556,50.174,50.594,50.492,51.273,52.252,53.302,54.956,56.528,58.099,59.724,62.066,64.292,66.354,68.217,69.809,72.099,74.642,77.104,79.857,81.834,83.923,85.698,84.119,87.217,89.287,89.544,90.26,90.313,90.24,90.764,91.832,91.841,92.089,92.91,93.208,93.509,92.947,94.017,95.997,97.615,98.434,98.484,100.214,101.779,100.547,102.266,103.264,103.542,102.356,103.833,104.333,103.775,103.403,103.873,104.751,104.762,105.411,107.283,108.622,106.749,107.018,108.224,109.005,109.156,111.262,110.752,110.974,111.7,110.994,110.868,110.73,110.687,110.891,110.808,111.017,111.571,112.101,111.649,111.492,110.664,110.094,109.68,108.992,108.056,107.682,107.243,107.408,106.97,106.62,106.4,106.469,105.264,103.934,104.586,103.731,102.932,103.107,102.678,102.086,102.547,102.439,102.57,102.276,102.537,102.622,102.348,102.425,102.509,102.743,102.133,101.721,100.816,100.343,100.444,100.361,99.973,100.031,99.635,99.319,99.722,100.06,99.818,98.921,99.015,98.831,98.559,98.017,98.71,98.888,98.696,97.865,97.838,97.904,97.799,97.595,97.46
"18","10","      Medical instruments","W879RG3",26.296,26.582,26.853,27.015,26.861,26.94,27.109,27.145,27.185,27.139,27.17,27.297,27.359,27.379,27.457,27.632,27.625,27.593,27.499,27.455,27.406,27.341,27.287,27.41,27.382,27.348,27.346,27.413,27.548,28.025,28.395,28.604,29.055,29.295,29.358,29.465,29.625,29.884,30.158,30.356,30.473,30.585,30.809,31.188,31.593,31.883,32.05,32.234,32.406,32.746,33.035,33.138,33.212,33.292,33.486,33.614,33.792,34.147,34.681,35.218,35.589,36.336,37.657,39.596,41.549,42.54,43.125,43.806,44.381,44.945,45.564,46.17,46.779,47.766,48.748,49.49,50.313,51.01,51.603,52.173,52.843,53.832,54.81,55.743,57.119,58.468,59.94,61.237,61.995,62.972,64.325,65.872,67.191,67.111,67.525,67.521,68.446,69.159,69.695,70.387,71.258,71.209,71.283,71.826,71.516,71.57,70.733,71.327,72.92,74.011,74.685,75.182,76.666,78.019,77.575,78.603,79.007,79.275,79.003,80.048,81.061,81.595,81.926,82.585,83.708,84.232,84.745,85.822,86.599,86.172,86.485,87.177,88.044,88.407,89.672,89.849,90.371,91.092,90.989,91.284,91.707,92.081,92.479,92.608,92.822,93.324,93.988,94.168,94.788,94.674,94.661,94.674,93.999,93.962,94.197,93.821,93.285,93.101,93.327,93.593,93.444,93.33,93.063,93.405,93.249,93.289,93.406,93.798,94.198,94.443,94.72,94.887,95.178,95.527,95.792,96.071,97.293,97.751,98.088,98.541,98.751,99.041,99.631,99.277,99.74,99.814,100.068,100.379,99.699,100.092,100.342,100.325,100.624,100.822,100.972,101.265,101.464,102.23,102.683,102.859,102.84,103.086,103.273,103.567,103.311,103.141
"19","11","    Nonmedical instruments","W177RG3",22.096,22.316,22.575,22.804,22.84,23.031,23.266,23.355,23.429,23.416,23.464,23.592,23.661,23.703,23.806,24.004,24.065,24.078,24.015,23.973,23.915,23.844,23.792,23.906,23.859,23.855,23.899,24.027,24.292,24.811,25.227,25.484,25.923,26.2,26.33,26.504,26.702,27.005,27.312,27.548,27.75,27.884,28.094,28.416,28.665,28.927,29.138,29.43,29.824,30.286,30.663,30.81,30.906,30.96,31.111,31.182,31.156,31.348,31.683,32.019,32.229,32.763,33.831,35.483,37.202,38.092,38.666,39.374,40.075,40.714,41.384,42.016,42.603,43.544,44.427,45.023,45.604,46.12,46.598,47.106,47.811,48.739,49.532,50.191,51.012,52.09,53.464,54.869,56.207,57.115,57.955,58.568,58.196,60.6,62.661,63.396,64.157,64.557,64.652,64.687,65.044,64.584,64.717,65.694,66.7,67.194,66.522,67.191,68.458,69.231,69.642,70.098,70.759,71.698,71.541,72.392,73.375,73.957,74.312,75.166,75.94,76.443,76.705,77.343,78.561,79.228,79.774,80.721,81.591,81.434,81.834,82.503,83.258,83.644,84.726,84.902,85.36,86.007,85.918,86.224,86.735,87.141,87.561,87.751,88.052,88.561,89.227,89.438,89.889,89.985,90.301,90.82,91.497,91.682,91.964,92.008,92.146,92.257,92.612,92.766,92.913,92.943,92.993,93.474,93.78,93.953,94.155,94.375,94.593,94.782,94.979,95.229,95.648,95.927,96.31,96.535,96.94,97.315,97.608,97.868,98.083,98.238,98.508,98.839,99.383,99.901,100.13,100.586,100.919,101.221,101.936,102.606,103.217,103.81,104.397,104.946,105.297,105.939,106.82,107.501,108.143,108.622,109.016,109.061,108.915,108.985
"20","12","    Photocopy and related equipment","B285RG3",85.125,85.828,86.017,86.656,86.011,86.235,86.736,87.144,87.971,87.933,87.87,90.067,90.034,89.786,90.105,90.916,90.435,90.75,90.24,88.237,89.157,89.27,89.558,90.357,90.177,90.934,91.03,90.742,90.32,90.431,90.398,91.057,92.852,92.584,92.745,92.983,90.632,90.65,89.189,88.715,88.231,87.613,88.251,88.279,88.714,88.757,88.343,88.013,88.115,88.627,88.576,88.503,88.622,87.141,86.888,86.822,87.102,87.62,88.034,88.231,88.448,89.951,90.232,90.388,91.983,93.357,92.969,95.196,95.417,96.039,98.436,98.506,99.935,98.003,97.555,97.868,99.227,101.007,102.9,105.343,104.693,104.766,106.905,110.192,116.377,119.03,122.825,122.898,124.582,127.211,124.453,123.989,122.958,126.872,126.713,127.83,130.006,128.563,127.396,128.267,128.644,130.161,130.904,131.024,132.165,131.675,133.361,135.048,137.742,139.141,141.631,142.097,144.292,146.582,145.252,147.199,149.685,150.87,150.903,152.406,154.625,156.088,156.194,156.915,158.145,158.188,159.7,161.139,162.392,161.661,162.282,163.436,168.358,167.843,168.655,166.692,164.513,162.446,161.699,160.049,160.697,159.635,158.703,159.041,161.682,163.657,163.086,160.519,156.692,152.018,148.29,145.573,143.794,141.297,137.334,133.156,126.728,124.381,121.963,120.551,121.381,120.259,119.356,117.993,115.882,114.884,114.502,114.268,114.405,113.445,110.853,106.823,105.32,103.738,102.877,102.17,102.463,102.365,102.035,101.872,101.39,100.964,100.76,100.483,100.476,100.301,99.894,99.33,98.921,98.652,98.44,98.863,99.323,98.855,98.331,98.29,97.052,96.739,96.779,96.926,98.066,98.485,98.55,98.506,98.337,97.988
"21","13","    Office and accounting equipment","B936RG3",67.94,68.189,68.909,69.255,68.591,68.571,68.569,68.578,68.784,68.776,68.87,68.567,68.078,67.725,68.287,69.272,68.911,68.751,68.724,69.196,68.575,68.223,69.117,71.048,69.416,69.413,69.547,69.676,69.549,69.759,69.942,70.452,70.955,71.465,71.664,71.747,71.441,71.402,71.608,71.679,72.042,72.016,72.435,72.884,73.303,73.695,74.154,74.656,74.746,74.527,74.821,75.456,75.912,74.201,74.224,75.054,75.552,76.191,76.648,77.214,77.519,78.357,79.551,80.833,82.385,83.626,84.372,84.549,83.211,82.469,82.67,83.511,86.03,88.15,87.416,84.519,86.999,85.721,84.106,82.824,82.31,81.924,82.226,82.871,83.227,83.352,83.304,83.17,83.203,84.122,85.332,86.525,84.571,86.62,87.837,87.788,87.508,87.494,87.288,87.517,88.041,88.074,87.483,86.876,85.893,86.109,86.543,87.864,89.807,91.664,92.581,92.537,93.482,95.601,97.13,99.126,97.116,98.286,98.639,99.831,100.256,99.848,98.923,99.251,98.861,98.373,98.468,99.247,99.278,98.621,98.686,99.217,99.629,100.054,100.37,100.309,100.891,101.416,102.16,102.527,103.134,103.431,103.547,103.649,103.778,104.989,104.865,104.426,103.625,103.263,103.062,102.765,102.424,102.572,101.826,102.74,102.876,102.185,101.989,101.549,101.645,101.909,102.312,101.955,101.859,101.429,101.569,101.2,100.307,100.028,99.925,99.78,99.746,99.881,99.65,99.399,99.428,99.963,99.601,99.816,100.081,99.96,100.664,101.166,102.046,99.053,99.316,99.584,99.465,99.467,99.652,99.712,98.217,100.367,100.479,100.563,100.672,101.603,102.534,102.671,103.204,103.245,103.52,103.081,103.147,102.742
"22","14","  Industrial equipment","B680RG3",17.857,18.024,18.209,18.339,18.445,18.479,18.499,18.454,18.409,18.32,18.28,18.255,18.231,18.282,18.354,18.392,18.379,18.359,18.36,18.394,18.446,18.495,18.565,18.642,18.708,18.775,18.847,18.923,19.024,19.174,19.397,19.654,19.884,20.066,20.238,20.42,20.591,20.872,21.132,21.397,21.499,21.584,21.746,22.003,22.315,22.646,22.951,23.234,23.441,23.712,23.954,24.11,24.164,24.245,24.31,24.441,24.577,24.81,25.101,25.402,25.827,26.489,27.668,29.304,31.121,32.624,33.643,34.323,34.805,35.334,35.954,36.652,37.627,38.533,39.372,40.162,41.087,41.897,42.737,43.617,44.735,45.853,47.121,48.252,50.104,51.81,53.397,54.849,56.124,57.157,58.074,58.875,59.101,60.302,60.763,61.029,61.343,61.605,61.575,61.624,61.861,62.265,62.329,62.442,62.475,62.875,63.474,64.204,65.198,65.927,66.592,66.834,68.126,68.797,68.929,70.113,70.991,71.981,72.062,73.334,73.89,74.177,74.962,75.818,76.973,77.687,78.659,79.85,80.919,80.708,80.979,81.727,82.247,82.589,83.483,83.204,83.43,83.853,84.172,84.6,84.849,85.396,85.989,86.67,87.252,88.538,89.18,89.637,90.123,90.296,90.618,90.928,91.039,91.029,91.123,91.242,91.371,91.514,91.725,91.877,92.102,92.004,92.133,92.378,92.486,92.595,92.773,92.82,93.139,93.328,93.265,93.355,93.15,93.109,93.422,93.551,93.695,93.877,94.138,94.343,95.108,95.979,96.736,97.646,98.785,99.845,100.305,101.066,101.749,102.557,103.838,104.626,105.896,106.926,107.714,108.73,109.914,111.908,113.932,114.008,113.689,113.536,113.741,114.098,114.362,114.696
"23","15","    Fabricated metal products","B263RG3",19.499,19.744,19.967,20.203,20.39,20.515,20.533,20.337,20.115,19.953,19.914,19.882,19.892,19.914,20.001,20.018,20.1,20.115,20.082,19.983,20.001,19.968,19.972,20.056,20.046,20.035,20.016,19.98,20.017,20.152,20.281,20.51,20.509,20.562,20.816,21.109,20.618,21.176,21.376,21.929,21.862,21.759,21.796,22.101,22.319,22.673,23.091,23.501,23.564,23.897,24.369,24.7,24.849,25.041,24.989,25.126,25.303,25.598,25.941,26.384,26.927,27.66,29.13,31.065,33.22,34.918,35.802,36.236,36.383,36.735,37.143,37.65,38.498,39.658,41.006,42.61,43.532,44.567,45.627,46.666,48.089,49.681,51.663,51.82,55.051,56.487,57.753,59.105,60.472,61.516,62.175,63.37,64.81,66.097,67.13,67.797,68.098,68.126,67.718,67.454,67.554,67.603,67.705,67.633,67.984,68.354,68.288,68.333,68.266,67.855,67.299,67.065,67.04,67.034,67.21,67.839,69.399,71.705,72.597,73.536,74.752,75.287,75.673,76.075,76.826,77.495,77.588,77.947,78.365,78.821,79.186,79.369,79.996,80.177,80.003,79.801,79.491,79.414,79.404,79.118,78.763,79.178,79.561,80.679,81.564,82.757,83.718,84.524,85.628,85.811,86.212,86.356,86.488,86.368,86.176,85.937,85.927,85.789,85.713,85.568,85.258,85.139,84.801,84.667,84.423,84.551,84.777,85.239,85.075,85.987,85.71,85.88,86.238,86.457,87.092,87.351,87.656,87.82,88.066,88.135,89.739,92.537,94.863,96.482,98.191,99.23,100.688,101.89,103.247,105.618,109.353,111.567,114.183,117.827,120.355,122.834,126.881,131.463,134.944,134.535,133.071,131.376,130.928,131.759,132.196,133.969
"24","16","    Engines and turbines","B668RG3",17.931,18.038,18.103,18.201,18.214,18.175,18.088,17.954,17.895,17.746,17.553,17.327,16.862,16.665,16.66,16.624,16.643,16.618,16.589,16.611,16.629,16.685,16.789,17.062,16.927,16.941,16.966,16.975,17.024,17.069,17.112,17.167,17.327,17.6,17.956,18.337,18.519,18.719,18.88,19.063,19.291,19.475,19.837,20.239,20.593,21.136,21.631,22.135,22.66,23.053,23.259,23.448,23.575,23.74,23.97,24.229,24.443,24.587,24.731,24.924,25.147,25.529,26.15,27.043,28.32,29.858,31.799,33.542,34.685,35.419,36.351,37.446,38.691,39.701,40.183,40.075,43.273,43.933,44.196,44.495,44.882,45.197,46.225,48.559,52.024,55.325,58.712,59.822,59.804,60.818,61.958,63.795,60.518,61.688,62.576,63.188,63.309,63.455,63.428,63.622,63.647,63.638,63.662,63.759,63.665,63.753,63.848,64.129,64.261,64.762,65.293,65.547,66.52,66.56,66.554,66.586,67.14,67.681,69.014,69.923,69.934,71.25,75.716,79.583,81.26,81.461,81.567,83.408,84.62,84.747,85.777,86.113,86.658,87.117,86.723,86.545,86.593,86.918,87.039,86.768,88.268,89.097,89.71,90.935,91.13,92.313,92.559,92.549,92.902,93.388,94.336,94.495,94.748,94.954,95.441,95.553,95.465,95.405,95.655,95.718,96.799,96.898,96.981,97.148,97.309,97.408,97.535,97.52,97.581,97.549,97.547,97.813,97.747,98.287,98.647,98.949,99.077,99.319,98.965,99.225,99.544,99.634,99.804,100.144,100.621,100.656,98.792,99.932,101.188,102.005,102.878,104.05,106.819,106.001,105.317,106.244,107.903,110.301,116.427,116.162,118.485,118.051,119.843,117.955,118.064,116.784
"25","17","      Steam engines","BA13RG3",18.745,18.89,18.937,19.009,19.09,19.038,18.913,18.706,18.612,18.434,18.162,17.795,17.309,16.951,16.931,16.747,16.925,16.884,16.852,16.857,16.916,16.923,16.991,17.342,17.147,17.125,17.106,17.156,17.135,17.181,17.225,17.344,17.515,17.885,18.343,18.832,19.03,19.221,19.381,19.597,19.83,20.028,20.386,20.855,21.243,21.847,22.395,22.955,23.533,23.95,24.194,24.364,24.489,24.663,24.917,25.211,25.506,25.632,25.762,25.993,26.24,26.545,27.025,27.715,28.918,30.529,32.698,34.763,36.102,36.84,37.824,39.118,40.316,41.338,42.274,42.673,46.17,46.744,46.357,46.121,46.204,46.271,47.122,50.132,54.597,58.694,63.408,64.347,63.292,63.96,64.87,67.355,61.973,62.883,63.354,63.449,63.599,63.746,63.955,63.969,63.919,63.883,63.895,63.914,63.856,63.995,64.054,64.068,63.83,64.461,64.75,64.922,66.446,66.202,66.051,65.174,66.766,66.829,68.414,69.35,69.438,71.049,77.102,82.375,84.734,84.91,84.905,87.275,88.497,88.55,89.583,89.823,90.367,90.931,89.777,89.729,89.718,89.803,89.601,89.028,91.023,92.087,92.705,94.069,94.1,95.343,95.373,95.477,95.495,95.77,97.056,97.086,97.116,97.39,98.267,98.261,98.23,98.23,98.351,98.387,99.573,99.559,99.584,99.659,99.781,99.833,99.89,99.804,99.768,99.709,99.729,99.87,99.611,100.256,100.675,100.943,101.076,101.305,100.756,101.009,101.163,100.985,101.212,101.451,101.767,101.662,97.364,99.207,100.566,101.656,102.703,104.561,108.689,107.11,106.034,107.152,109.71,113.159,121.858,121.224,123.721,123.03,125.181,122.546,122.967,121.09
