"","Table 5#5#6U# Real Private Fixed Investment in Equipment and Sof","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78"
"11","3","  Information processing equipment and software","A679RX0",101020,100608,99369,101959,100945,103886,107426,111139,113622,119930,126425,128646,132069,134782,141782,144363,148978,152663,157101,164036,171644,180197,184115,194828,205149,214090,224302,231990,246626,260697,280632,291494,309876,322661,332182,350718,369451,395750,412780,415843,442900,465691,473767,488118,485663,461431,447328,441726,434955,437106,444209,433267,442114,445963,470447,492350,494165,499327,507510,521707,529489,540323,552724,564289,586164,590859,603919,605303,629886,647253,660927,677644,689573,702942,707319
"12","4","    Computers, software, and communication","W175RX0",64070,63636,62636,64845,64399,66239,68629,71208,73630,78546,84202,85672,88226,90082,94697,96537,101598,104892,109290,115423,122224,130426,134490,143636,152481,160523,169339,176766,191242,204991,222629,231807,247448,260144,268808,287719,308011,333461,349572,352371,379219,401315,406689,419450,417128,395000,381239,374961,366707,366936,372776,361120,369032,370370,394534,414803,413091,419064,427592,440180,444843,452371,462734,473792,498502,499739,511548,513766,539541,554491,567710,584218,596525,606077,607820
"13","5","      Computers and peripheral equipment \1\","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","6","      Software \2\","B985RX0",38519,39803,39444,41665,43015,44408,45525,47625,49710,51985,54009,56443,57532,58575,59991,61115,62956,64437,65980,67147,68122,70168,72703,75572,78622,81910,85402,90283,99771,105095,111773,118714,122066,126241,131499,137846,144875,154486,162235,167228,171406,175763,176235,181232,181407,174052,172261,167443,166349,170242,173367,168683,170379,171781,180598,186262,190528,190451,193928,199305,201549,206809,208183,211384,212511,213237,215784,220523,227888,235692,239398,245092,250961,252261,254337
"15","7","      Communication equipment","C275RX0",36103,35600,35861,35363,34197,34790,34941,33600,34910,35170,38729,37872,37549,38183,39801,40719,43532,44828,47301,49612,52822,54069,52854,53739,57466,60001,62209,62802,64066,67342,72214,72648,76457,79307,79462,84913,88328,94704,99624,98967,116210,123340,125202,131520,125099,116463,111702,105475,94547,92396,90099,84863,87050,86836,92545,99164,98086,102770,100854,98576,102675,99687,104806,103457,119071,112763,115652,111368,119789,120747,123433,126673,126503,130017,132721
"16","8","    Medical equipment and instruments","W176RX0",16483,17225,17926,17647,17396,18049,18870,19243,19259,19918,20085,20840,21410,21331,21980,22588,21027,21092,20941,20813,21234,20999,20803,21423,21908,22672,23474,23745,24728,25319,26205,27233,28739,29077,30084,30856,30809,31451,31913,31931,32604,33426,35380,36330,37173,36814,36792,37979,39694,41602,42581,43322,43675,44327,45227,46548,48775,48881,49264,51281,53883,55302,56837,56825,56571,57884,58608,57954,57527,58403,59302,60229,61120,63694,63916
"17","9","      Electro-medical equipment","W878RX0",5502,5910,6383,5899,5997,6136,6362,6243,6354,6596,6500,6842,6676,6673,6983,7382,6603,6819,6975,6910,7101,7020,6946,7027,7467,8021,8384,8582,9371,9757,10550,10866,11613,11748,12088,12416,11834,12155,12426,12506,12797,12788,14270,14912,15246,14605,14295,14715,16721,18109,19264,19280,19277,19810,19597,20404,22417,22281,23437,23476,25218,27082,28124,28039,26951,27053,27338,27855,27594,28506,28403,28806,30249,31857,33233
"18","10","      Medical instruments","W879RX0",11032,11346,11543,11799,11427,11953,12557,13081,12973,13389,13670,14075,14853,14774,15105,15294,14532,14364,14037,13977,14206,14050,13928,14478,14502,14695,15132,15203,15376,15573,15646,16359,17114,17317,17987,18430,18982,19300,19488,19426,19805,20637,21109,21420,21933,22210,22493,23260,22996,23530,23374,24089,24444,24577,25662,26192,26469,26697,26003,27911,28822,28487,29014,29079,29821,30986,31424,30333,30160,30182,31129,31651,31227,32250,31259
"19","11","    Nonmedical instruments","W177RX0",15287,15337,15200,15061,14634,15074,15606,16073,15907,16079,15891,15667,15284,15410,16066,16660,16237,16503,16585,16956,17639,17784,17863,18682,18738,18725,18765,18203,17162,16507,16967,17123,17058,17478,17258,17015,17057,17109,16998,17212,16797,17076,18335,18932,18785,18030,17378,17693,17727,17890,18217,17562,17582,18434,18389,19182,20694,19573,19986,19915,20335,21045,21463,21999,21916,22938,23443,23564,22632,23080,22881,23401,23706,24033,25119
"20","12","    Photocopy and related equipment","C285RX0",8300,8181,7928,8236,8213,8458,8451,8514,8129,8415,8626,8923,9302,9905,10761,10707,10941,11031,10792,10898,10296,9918,9769,9834,10218,10126,10319,10404,10060,9983,10383,10990,12212,11533,11684,10854,9794,9801,10237,10366,10555,10135,9048,8813,7566,6880,6910,6173,5471,5021,4915,4812,4999,5126,5319,4944,4491,4369,3625,3594,3535,3846,4054,4226,3598,3270,3206,3083,3168,3146,2954,2733,2683,2378,2351
"21","13","    Office and accounting equipment","B936RX0",5543,5148,4847,4818,4593,4619,4697,5086,5255,5241,5167,5127,5308,5450,5956,5722,5899,5558,5401,5416,5548,5825,5595,5511,5716,5680,5800,5819,5724,5617,5857,5625,5486,5282,5098,4777,4026,4029,4078,3966,3707,3723,4323,4614,5033,4671,4885,4643,4837,4930,4928,5378,5775,6365,6163,6285,5840,6498,6306,6098,5782,6334,6223,6388,5898,6569,6768,6790,8333,9549,9976,9565,8604,9322,10038
"22","14","  Industrial equipment","A680RX0",113625,108586,108940,105499,103826,102205,102211,100431,100105,102243,104773,109019,109963,110591,112065,118846,119663,120586,123928,127558,133196,135261,136220,135032,138226,140835,139515,141157,140472,143158,143935,144249,151052,149350,145938,146186,145578,147403,149192,149291,156311,159658,161879,159013,159264,147333,140643,135449,135794,132741,134685,134885,139122,142665,138926,132846,129058,131499,136926,138665,141999,140859,146330,151977,149915,157193,153757,153158,150332,160280,159140,153131,153434,152041,147839
"23","15","    Fabricated metal products","C263RX0",10047,10157,10233,10114,9884,9958,10367,10460,10169,10265,10302,10361,10200,10165,9812,10170,10591,10702,10867,11054,11155,11132,11062,11294,11838,12356,12273,11856,10676,10344,10479,10390,10599,11185,10949,11160,11287,11508,11945,12299,12323,12514,12422,12313,12479,12240,12372,12071,11536,11369,10721,10429,10709,11306,11533,11855,11461,10905,11091,11090,11213,11349,11977,12197,12815,12928,12730,12647,12663,12667,12877,12309,11718,11388,11631
"24","16","    Engines and turbines","A668RX0",3597,3633,3911,3691,4054,4910,4754,3791,4376,4278,3902,3914,3757,3591,4165,4290,3879,4434,3881,4743,3869,3698,3524,2844,3739,3744,4358,4712,4853,3050,4455,2989,5159,5007,4035,3921,4671,5197,6017,6211,8828,6786,6257,6560,11490,10083,11535,9988,13412,11076,10692,10801,10238,11257,10484,7922,5514,4018,3937,4752,4642,4436,5777,6624,5342,5848,7217,7280,5524,7456,9370,6746,6240,8425,8132
"25","17","      Steam engines","BA13RX0",2394,2626,2933,2551,2990,3732,3567,2636,3246,3139,2734,2766,2598,2413,3005,3013,2677,3091,2514,3445,2384,2333,2060,1322,2249,2273,2858,3194,3202,1262,2744,1200,3531,3434,2385,2151,2608,2962,3642,3955,6765,4674,4338,4485,9276,7808,9200,7580,11359,8871,8467,9022,8167,9117,8507,5800,3245,1610,1402,2240,1959,1719,3074,3733,2337,2844,4243,4130,2948,4836,6681,3811,3228,5704,5638
"26","18","      Internal combustion engines","BA14RX0",1301,1120,1077,1225,1188,1312,1316,1250,1232,1264,1287,1262,1251,1260,1256,1367,1300,1414,1436,1414,1492,1445,1518,1555,1565,1548,1540,1543,1702,1763,1748,1780,1658,1605,1651,1762,2064,2239,2381,2256,2066,2111,1917,2077,2223,2279,2340,2408,2076,2210,2228,1793,2079,2149,1985,2107,2236,2354,2473,2461,2618,2644,2663,2861,2927,2943,2961,3128,2553,2622,2728,2907,2972,2707,2478
"27","19","    Metalworking machinery","C271RX0",19416,19705,20376,18329,17880,18784,18800,17847,18546,18838,19490,20109,21260,20499,20209,21576,22949,22864,25160,25966,27324,27834,27883,27864,27719,27675,28185,29299,29906,31282,30479,29668,30896,30583,30338,30075,29207,28918,29576,30276,30133,30167,30568,29317,28275,26293,24558,22861,22341,22879,23368,23780,23845,23284,21852,21352,22123,22210,23934,23070,24067,23689,25015,25655,26949,25664,25347,24910,24755,25035,24800,25220,25791,25553,25369
"28","20","    Special industry machinery, n.e.c.","C272RX0",29769,27233,26804,26478,27134,24601,23732,24145,23930,23892,24679,26481,25672,25611,27431,29831,29043,28456,28303,29355,31854,32505,33687,33072,35084,35535,32262,31843,30777,33375,34278,35246,36130,34038,32553,32247,33273,33680,32431,32351,31747,36546,39153,38142,34776,31231,27978,28022,26776,24164,25938,26260,29682,31803,29509,24342,24932,26694,28585,28772,28634,28222,27831,30036,26474,33069,30514,29398,28458,35449,30779,29777,29366,28429,25329
"29","21","    General industrial, including materials handling, equipment","C273RX0",34878,32042,32057,31828,30563,29435,29985,29374,28176,30359,31619,33412,34686,35651,35028,37106,36839,37700,38930,39599,41151,42297,42176,42048,41972,43075,43617,44554,45080,45478,44665,46013,48076,48424,47479,47981,46190,46237,46372,45308,48757,49587,48783,47190,47830,44107,42729,41091,41107,42353,43675,43998,45769,46558,47409,48510,45893,47921,49217,50714,53163,52865,55029,56391,57120,58257,56685,57095,56553,57484,58657,56455,57840,55774,54682
"30","22","    Electrical transmission, distribution, and industrial apparatus","C276RX0",15918,15714,15477,14949,14249,14396,14416,14631,14731,14475,14671,14673,14349,14993,15355,15830,16303,16370,16725,16798,17798,17759,17853,17856,17837,18393,18757,18841,19164,19620,19579,19948,20206,20111,20577,20793,20942,21859,22857,22848,24528,24052,24693,25495,24431,23381,21458,21390,20594,20856,20259,19582,18849,18385,17987,18647,18980,19614,20057,20135,20113,20097,20481,20927,20861,21183,21072,21613,22069,22171,22532,22497,22491,22709,22699
"31","23","  Transportation equipment","A681RX0",80566,76955,84752,81741,81297,77942,80207,75874,71679,83627,78383,87209,86097,98468,91540,104327,109257,105242,107998,123161,130548,117702,115403,118639,117105,120766,131977,131817,132165,135238,142280,133788,134672,140303,146800,159783,161358,165686,174602,169075,166124,167025,159508,150723,145288,144498,137553,144030,130378,126096,124108,123487,108323,116580,116762,113510,112037,125486,137037,147866,142110,148545,157207,150252,165304,157948,159705,155190,149015,139417,137405,131862,126986,108566,90855
"32","24","    Trucks, buses, and truck trailers","C279RX0",30727,28650,28291,26184,24275,25240,25489,26066,25751,28190,29748,31873,34011,38643,40574,44868,49592,48926,52782,57727,60565,57721,59080,61114,60561,61969,66662,71031,73634,71547,73054,75022,75314,80484,78810,88159,86222,86171,92596,90746,90696,84729,80443,71423,70710,68894,62199,65473,59354,61432,65754,64572,56106,61364,64169,63415,67221,72101,84936,90396,88973,92660,100827,98148,108178,104780,106858,104317,93825,83085,82854,79436,76183,59225,51382
"33","25","      Light trucks (including utility vehicles)","W178RX0",12378,11700,11270,10591,10195,11565,10960,10756,10061,10751,10246,11529,12040,15271,16001,18612,23484,23026,25452,28901,29479,28279,29778,31189,33562,35060,39779,45348,49373,47569,47921,47843,46683,50929,46373,53139,51423,51574,56752,54297,55695,51482,50420,45680,45714,45529,40478,44315,39140,37934,40045,40425,37742,41190,42837,40691,42156,45730,55400,58020,54299,57962,66157,63211,70847,66591,69285,66488,63071,60043,63523,60144,58251,39904,33515
"34","26","      Other trucks, buses, and truck trailers","W179RX0",18853,17415,17496,16024,14453,13974,14895,15729,16167,17993,20215,21053,22760,24070,25309,26977,26558,26364,27750,29173,31530,29858,29687,30300,27237,27124,27005,25608,24025,23773,24968,27111,28634,29518,32470,35030,34840,34635,35846,36471,35001,33250,30021,25744,25003,23422,21754,21244,20252,23428,25586,24090,18420,20204,21331,22748,25153,26424,29554,32389,34659,34698,34808,35015,37533,38246,37755,37867,31100,23826,20583,20384,19064,19299,17642
"35","27","    Autos","C280RX0",29003,29564,31940,30479,30496,30560,31954,30066,29481,29562,28503,31485,29869,34954,31807,35840,39086,38799,39934,43324,38168,37255,38193,38097,36839,38184,38676,36925,36645,36267,36620,36522,32109,33198,30548,35481,34492,36765,37939,38350,39416,36491,34732,35469,37623,36213,33294,32571,32302,33511,34492,31743,30070,29032,29570,26271,26231,27429,29190,31566,30343,30534,33946,33122,38087,34077,33280,32891,32711,33187,34213,34990,30929,27861,24110
"36","28","    Aircraft","C281RX0",14478,12537,19215,19334,21034,16486,17360,13754,11255,22469,14889,18665,16603,19621,13680,14216,13280,8499,6479,14086,23241,13323,11269,11312,10994,11512,17741,15391,12699,17294,23093,12775,17295,16793,28229,25750,30721,32374,33948,29771,24959,34913,35239,35208,28950,32080,34440,38479,31293,24707,18373,21222,16340,19889,17322,17773,12664,19738,17118,19619,15709,18466,16189,13781,13654,13833,13624,12967,17785,18497,16033,14261,16226,16454,11137
"37","29","    Ships and boats","C282RX0",2215,1883,1864,1792,1926,2105,1845,1893,1605,1036,1419,1549,1910,1626,2216,4193,2094,2620,2032,1532,2379,2008,1773,1792,2184,2271,3044,2477,2646,2992,2611,3196,2793,2736,2806,3488,2908,2782,2979,3021,3532,3423,3420,3114,3217,2712,2673,2951,3224,3312,3234,3628,3585,3609,3786,3679,3898,4025,3971,4276,4917,4167,3516,3378,3659,3538,3690,3021,3122,3163,3407,3412,3239,2550,2424
"38","30","    Railroad equipment","C283RX0",4108,3831,3613,4201,4003,3395,3331,3633,2793,3062,3809,3850,3825,3696,2911,4893,4424,5145,5123,5336,5917,6437,3995,5164,5405,5694,5084,5107,5510,6379,6433,5195,6629,6513,6491,6648,6987,7560,7116,7061,7371,7523,5736,5546,5036,4609,4629,4017,3959,3345,3057,2840,2844,3147,2691,3077,3066,3051,3256,3363,3776,4147,4869,4264,4712,4455,4996,4820,3241,2576,2455,1672,1605,2398,2385
"39","31","  Other equipment","A682RX0",101423,98873,98508,96371,86631,85089,83159,82631,82073,81703,85167,86690,91132,92845,93924,96910,98287,99843,100913,102833,106246,105701,105179,106413,107354,108540,111472,112467,114927,116754,123524,124498,128814,131593,130405,128086,131573,128849,129518,131296,134639,137135,133803,132745,133573,128911,130354,125757,123295,126670,126401,126717,127738,129677,136426,138384,136267,138487,143652,147304,148207,153254,154491,156730,160680,161881,158870,157282,148773,151126,152678,154577,149596,147945,153603
"40","32","    Furniture and fixtures","A667RX0",25639,25136,24619,23189,21464,21663,21613,22033,22863,23354,24906,24042,23736,23320,24285,24499,24597,24608,24157,24551,25459,26012,25978,25663,24802,25615,26630,28288,30687,29687,30024,30541,32610,32348,33017,34271,35212,34625,34820,34519,34458,37228,36649,36664,35351,33193,31398,30124,30018,30106,29800,28919,29524,29873,31633,31880,30890,31773,32498,32298,33356,33937,33384,34569,35035,35531,34692,35372,34952,34600,34984,34552,33468,32854,32787
"41","33","      Household furniture","BA15RX0",1428,1388,1396,1317,1220,1216,1208,1205,1185,1190,1177,1175,1256,1302,1277,1380,1416,1430,1456,1478,1516,1455,1527,1530,1560,1606,1641,1627,1579,1615,1641,1713,1781,1767,1823,1870,1945,1966,2013,2048,2043,2088,2107,2084,2065,1989,2044,2045,2151,2214,2211,2161,2208,2138,2151,2187,2192,2195,2154,2202,2248,2248,2271,2271,2287,2271,2205,2118,2101,2012,2063,1983,1845,1780,1745
"42","34","      Other furniture","BA16RX0",24203,23837,23402,22084,20449,20678,20641,21093,22001,22485,24074,23166,22726,22238,23234,23321,23403,23398,22911,23266,24133,24746,24624,24282,23352,24105,25059,26732,29242,28179,28476,28910,30918,30641,31253,32442,33294,32678,32810,32468,32414,35140,34543,34582,33285,31203,29354,28080,27868,27893,27592,26760,27318,27736,29484,29693,28700,29580,30344,30096,31108,31689,31113,32299,32748,33261,32487,33254,32851,32587,32921,32567,31621,31072,31040
"43","35","    Agricultural machinery","C268RX0",15976,16110,17062,17875,14228,14159,12992,12717,12937,11176,10872,11384,12509,13676,13072,13497,14287,14564,14611,14711,15469,14964,14496,14159,14884,14405,14815,14256,13746,16204,18697,18018,18804,18892,16585,14470,14017,12584,11287,12174,14020,14523,13598,12670,13347,13973,15204,15255,15314,15584,17472,18321,17943,17030,17362,18365,17990,18245,19817,20245,19287,20402,20504,19378,18900,18954,18367,18508,18609,19684,20896,22526,20318,20987,26083
"44","36","      Farm tractors","BA17RX0",4145,4200,4552,4860,3995,3993,3608,3548,3571,3156,3265,3318,3499,3978,3857,4048,4428,4451,4466,4511,4711,4553,4194,4021,4118,3834,4031,4079,4394,5288,6894,6539,6312,6176,5608,4902,4326,3757,3601,4105,4819,5113,5045,4595,4763,4374,4641,4620,4946,5235,6414,6820,5927,5732,6052,6897,6630,6695,7240,7419,7185,7447,7553,6742,6411,6457,6573,6447,5721,6171,6952,7535,6338,6142,7864
"45","37","      Other agricultural machinery","W213RX0",11792,11866,12494,13042,10258,10213,9435,9226,9409,8025,7565,8090,9103,9795,9279,9497,9862,10118,10132,10149,10731,10377,10298,10136,10755,10578,10783,10156,9331,10917,11837,11497,12514,12735,10987,9574,9696,8824,7686,8071,9200,9410,8554,8076,8585,9595,10557,10628,10364,10348,11073,11520,12010,11298,11317,11491,11378,11568,12595,12846,12125,12974,12973,12639,12486,12494,11805,12065,12859,13488,13936,14984,13962,14820,18190
"46","38","    Construction machinery","C269RX0",19081,17809,16740,16022,13316,11318,10678,10099,9736,10654,11754,12195,13444,13832,14010,14837,14898,15025,16170,16660,17162,16925,17281,17664,18519,18892,19604,20126,19502,19778,20908,21800,21875,22109,24410,23871,23546,22588,22805,23417,24433,24708,22050,21724,21831,20009,20049,19124,18278,18560,17637,17675,16871,18633,20156,20420,20972,20166,21642,23901,24363,25833,27140,28902,31044,31493,29556,28241,19574,18476,20023,19273,18804,17540,17368
"47","39","      Construction tractors","BA18RX0",2961,2668,2635,2396,1873,1715,1658,1536,1287,1141,1069,935,1473,1447,1470,1457,1511,1276,1570,1634,1691,1615,1657,1759,1852,1869,1940,1946,2389,2535,2759,3002,2902,2876,3246,3071,2896,2863,3028,3253,3338,3259,3059,3026,3003,2702,2696,2531,2454,2378,2339,2407,2255,2478,2666,2678,2632,2449,2657,2873,3018,3306,3591,3815,4183,3961,3852,3732,2527,2545,2746,2742,2615,2525,2723
"48","40","      Other construction machinery","W214RX0",16346,15356,14309,13806,11611,9723,9097,8624,8469,9517,10677,11250,11943,12362,12528,13378,13399,13777,14627,15055,15484,15319,15634,15911,16672,17025,17663,18179,17111,17241,18148,18798,18976,19238,21169,20811,20659,19730,19779,20164,21096,21449,18991,18698,18828,17307,17353,16593,15824,16182,15299,15269,14617,16155,17490,17742,18343,17722,18990,21033,21350,22530,23551,25090,26866,27536,25708,24512,17048,15934,17281,16533,16193,15017,14639
"49","41","    Mining and oilfield machinery","C270RX0",2107,2108,2202,2349,2286,1842,1122,1702,601,764,1841,2934,3602,3277,2603,2218,2980,2941,2492,2882,2662,2724,2735,3087,3085,3098,2922,2500,3916,3645,3705,3654,3040,3815,4169,3627,4671,5376,6072,5665,5720,5306,5020,5229,5894,5818,6232,6029,4179,4303,3708,2168,4116,3849,4708,4599,4523,5323,5231,4968,5222,6977,6853,7270,8664,9308,10070,9771,9780,10721,9338,10582,9501,9015,8959
"50","42","    Service industry machinery","C570RX0",14665,14254,13914,13029,12733,12900,13326,13204,12731,12951,12341,12229,12717,12699,13200,14383,13884,14374,14651,14585,14991,14885,14867,15508,15161,15432,15722,15446,15066,14784,15600,15210,16589,16486,16524,17410,17305,17270,18133,17835,17559,16860,18481,17257,16817,17991,17657,17231,17374,16743,15633,16354,16222,15703,15720,16483,15557,16448,16404,16594,16897,17657,17493,17515,17732,16917,17290,16832,17596,18138,18340,18607,20123,19300,19429
"51","43","    Electrical equipment, n.e.c.","A670RX0",3559,3577,3652,3198,3058,2926,2887,2745,2816,2958,2941,3117,3014,2840,2896,3041,2881,3070,3213,3254,3398,3349,3324,3269,3230,3266,3212,3153,3376,3465,3648,4032,4416,4525,4541,4045,3643,4151,4540,4956,5322,4807,3825,4466,4804,5153,5197,4914,5264,5590,5771,5979,5756,5608,5728,6144,6691,7012,7165,7083,6995,6547,6573,6571,6665,6963,6785,6649,6892,7227,7212,7075,7091,6923,6877
"52","44","      Household appliances","BA19RX0",520,490,463,440,413,405,406,415,410,425,432,443,466,487,510,523,547,579,583,585,614,606,639,629,643,676,685,687,659,667,700,756,759,763,786,770,786,786,777,789,831,831,815,792,816,811,846,843,820,840,855,896,877,882,884,924,912,904,937,946,948,920,944,940,913,956,948,922,938,963,923,877,885,876,860
"53","45","      Miscellaneous electrical","BA20RX0",3156,3210,3324,2879,2753,2618,2576,2415,2493,2630,2605,2775,2643,2431,2457,2577,2386,2538,2671,2706,2817,2771,2713,2671,2623,2632,2569,2501,2749,2824,2983,3311,3674,3775,3758,3271,2857,3366,3765,4171,4493,3977,3010,3672,3988,4341,4351,4071,4443,4750,4916,5083,4879,4726,4844,5220,5782,6112,6230,6140,6048,5628,5628,5630,5754,6009,5838,5728,5956,6268,6294,6203,6211,6051,6022
"54","46","    Other","C286RX0",20598,20042,20454,20895,19562,20207,20398,20005,20176,19663,20412,20732,22101,23172,23793,24357,24719,25200,25562,26153,27048,26785,26458,27050,27682,27841,28575,28693,28616,29176,30939,31243,31454,33395,31170,30396,33181,32256,31865,32730,33125,33705,34180,34734,35523,32771,34605,33064,32898,35818,36427,37404,37345,39027,41145,40529,39688,39538,40903,42239,42104,41689,42347,42252,42145,42127,41457,41312,40955,41770,41547,41382,39916,41081,41741
"55","47","  Less: Sale of equipment scrap, excluding autos","C287RX0",3030,2712,2563,2483,2369,2333,2234,2131,2039,1986,2224,2696,3496,4164,4450,4666,4062,3985,3801,3519,3921,4070,4031,4199,4227,4126,4282,4324,4242,4264,4116,3763,3866,3858,3952,4390,4144,3737,3446,3066,3308,3555,3445,3167,2633,2565,2671,2921,3039,2900,2723,2577,2615,2589,2674,2834,3241,3060,2886,2871,2802,2923,2943,3101,2856,3221,3426,3343,3218,3305,3264,3109,3047,2875,2819
