"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89"
"48","40","D     Miscellaneous durable goods wholesalers","KP42190",12565,12887,12690,12817,12573,12275,12788,12738,13153,12616,12889,12646,12571,12606,13019,12853,12371,12670,12822,12339,11858,12570,12546,12685,13210,13418,13289,13413,13881,13659,13501,13772,14097,13877,13983,14262,14139,14067,14324,14387,15154,14373,14526,14291,14468,14909,14667,14872,14752,14666,14465,14251,14099,14370,14235,14315,13953,13742,13303,14003,14531,14924,14300,14678,14535,14412,14858,14983,14056,14162,14725,14228,14202,14145,14372,14133,13862,13684,13355,13120,13698,14123,14040,13984,13900,13667
"49","41","A   Nondurable goods merchant wholesale industries","KP42WN0",95988,97339,97195,95573,96756,97287,96903,97069,97521,97598,97357,97912,99479,99711,100065,100685,100937,100305,101497,102344,104069,104031,104951,106237,103618,104904,105880,104843,107051,107799,107280,107189,107333,108638,109280,107861,108769,106651,107593,109719,108451,110761,111178,111034,110988,111300,110276,114271,113036,112766,110857,111717,110879,110637,113282,113433,113837,115188,115076,115899,116266,116403,115128,116693,116830,118010,117436,118181,117889,117289,120590,119986,119272,118178,117507,116973,117956,119530,120144,119788,120147,121712,121237,120268,119950,120997
"50","42","D     Paper and paper products wholesalers","KP42210",6195,6473,6315,6485,6068,6083,6131,6232,6248,6229,6243,6079,6107,6150,6309,6344,6286,6365,6357,6410,6553,6604,6670,6831,6812,6917,6631,6833,6903,6984,6951,6932,6938,7003,6991,6733,6960,6863,6932,6634,6614,6523,6615,6617,6588,6571,6582,6601,6597,6530,6467,6476,6418,6361,6332,6401,6047,6182,6359,6364,6366,6423,6399,6453,6486,6526,6633,6457,6417,6411,6473,6509,6484,6383,6533,6320,6247,6316,6233,6115,6434,6581,6328,6468,6411,6494
"51","43","D     Drugs and druggists' sundries wholesalers","KP42220",9299,9431,9697,9711,9864,9978,10147,10222,10226,10189,10295,10367,10921,11047,10799,10417,10459,10394,10674,10732,10879,11095,11140,11476,11669,11786,11939,12336,12446,12415,12514,12630,12527,12533,12935,13294,12849,12996,13517,13603,13903,14148,14307,14396,14365,14704,14840,15087,15671,15483,15381,15450,15899,16306,16503,16887,17512,18173,17747,18078,18212,18512,18779,18926,18866,19149,18764,18901,19306,19083,19858,19502,19373,19757,20081,20399,20735,20826,21393,21522,21269,21753,21637,21753,21353,21616
"52","44","D     Apparel, piece goods, and notions wholesalers","KP42230",6913,6949,6818,7068,6929,6842,7206,7102,7074,6920,7025,7151,7290,7247,7216,7014,6880,6809,6903,6914,6555,7060,6790,6812,6963,6837,7365,7158,7220,7164,7107,7119,7203,7148,7208,7295,7173,7294,7389,7450,7467,7585,7384,7280,7398,7412,7304,7734,7422,7323,6908,7148,7465,7209,7071,7196,7272,7452,7534,7523,7276,7631,7749,7710,7797,7677,7791,7777,7501,7294,7692,7444,7375,7140,7066,7000,6999,6954,6958,7034,7201,7155,7244,7496,7124,7363
"53","45","D     Grocery and related products wholesalers","KP42240",27761,27900,28153,27884,27861,28211,28036,27781,27481,27160,27839,27767,28231,28846,28541,28721,28843,29206,29256,29166,29359,29308,29349,29382,28847,29363,29607,29642,30025,29682,29800,30386,30644,30900,31444,31254,31321,31439,31245,31634,31343,31960,31906,32160,31773,31753,32014,33359,32149,31945,31833,32545,31786,31929,32357,32055,31879,32021,32487,32282,32585,32644,32075,33051,33032,33463,33772,34146,34350,34339,34430,34218,33811,34276,34168,34290,34143,34368,34666,34323,33934,33426,33368,32716,33837,33962
"54","46","D     Farm product raw material wholesalers","KP42250",7998,8138,7156,7372,7456,7621,7391,7698,8108,9077,7991,7944,8135,7449,7244,7584,7617,7360,7743,8343,8745,8366,8346,8749,7993,8322,8214,8136,8739,8900,9396,8452,9172,9308,8830,8716,8527,8120,8316,8783,8459,9188,9777,9872,9396,9151,8701,9058,8727,9455,9221,9252,8866,8429,8709,8981,8653,8837,8766,8370,8777,8690,8546,9163,8879,8975,8695,8059,7887,8529,9321,9748,9488,8623,8371,8496,8287,8903,8816,8893,8871,10183,9971,9614,9376,9339
"55","47","D     Chemical and allied products wholesalers","KP42260",4585,4683,4778,4836,4784,4946,5004,4883,4968,4867,4824,4837,4919,4910,4741,4771,4815,4753,4734,4821,4811,4913,4891,4824,4839,4589,4834,4755,4840,5055,4907,4929,4856,4881,4981,4973,4975,4756,4998,5069,4990,5091,5012,5098,5131,5161,5072,5219,4996,5051,5055,4916,4920,4905,5132,4990,4959,4996,5056,5106,5214,5246,4960,5206,5257,5132,5090,5186,5236,5071,5026,4971,5095,4879,4951,5007,4919,4992,5070,4957,5066,5047,5073,5101,5099,5017
"56","48","D     Petroleum and petroleum products wholesalers","KP42270",15890,15690,16461,14842,15915,16277,15994,16163,15779,15323,16009,16056,16153,16629,17715,17593,17403,18222,18090,18453,18897,18687,19265,20190,19086,19563,19872,17327,18027,18265,17482,17107,16772,16842,16493,15217,15860,15037,14289,15596,15127,15284,15926,15592,15875,16031,15401,16415,16809,16343,16123,16058,15782,15717,16690,16346,17253,17544,17808,18860,18681,17736,17283,16971,17279,18082,17214,17968,18040,17636,18325,18046,17937,17367,17050,16286,18014,18262,17719,17692,18675,18305,18473,17833,17525,18177
"57","49","D     Beer, wine, and distilled alcoholic beverages wholesalers","KP42280",4850,4913,5006,4761,5040,4958,5088,5073,5178,5143,5113,5400,5117,5149,5247,5318,5319,5139,5360,5304,5649,5527,5420,5521,5602,5573,5574,5657,5723,5731,5678,5784,5935,5998,5986,5886,5985,5824,5958,5964,5851,5989,5864,5972,6007,6069,6081,5972,6256,6173,5768,6026,5976,6039,6134,6039,5886,5994,6183,6362,6255,6393,6478,6456,6460,6501,6470,6559,6471,6416,6493,6781,6664,6736,6666,6643,6708,6736,6929,6954,6761,7005,6913,6999,7114,6846
"58","50","D     Miscellaneous nondurable goods wholesalers","KP42290",12680,13346,13566,12931,13379,12921,12455,12418,12727,12498,12351,12646,12861,12870,13322,13840,14129,13244,13349,13187,13700,13439,14306,14001,13033,13291,13213,13365,13605,14157,13764,14033,13386,14110,14388,14302,15060,14251,14912,14962,14682,14984,14416,14104,14483,14468,14336,14850,14394,14423,14066,13821,13755,13719,14375,14513,14447,14103,13343,13433,13325,13270,12948,12788,12855,12711,13076,13344,12957,12673,13076,12799,13098,13186,12833,12720,12156,12237,12499,12428,12148,12274,12267,12435,12304,12356
"59","51","A Retail trade industries","KP440",215011,216880,217363,216848,214952,218291,221423,222324,222324,222556,224552,224643,225783,226714,229000,231954,233591,234939,233573,232863,236234,239592,241679,243976,245342,248562,249958,248666,252334,252334,253767,255594,256354,256617,259778,264434,263437,265845,267353,263599,264248,263886,265186,266133,268810,267677,266731,267401,268990,268671,267550,270027,270796,269573,271450,273893,268517,288555,281683,281547,280954,282836,281526,284200,280986,285189,288090,289653,285399,287731,289584,292790,295441,288451,294359,295773,299160,301872,306548,308928,307941,308654,313304,315016,314468,316380
"60","52","A   Motor vehicle and parts dealers","KP4410",56534,56896,56209,56268,54457,55955,57787,58614,57672,57674,58603,58836,58600,58029,59087,61105,62097,62150,59804,58410,60969,62765,62901,64115,64546,65283,65674,65758,67526,67391,68609,69072,68718,68352,69236,70017,71731,73001,72388,70081,69378,69542,69754,69439,71140,69303,68315,67890,68880,69128,68681,69707,70523,70476,70187,70517,68304,84188,75614,73451,71292,72174,71861,72584,70167,73695,76443,77668,73826,73559,74746,77171,77796,73631,76957,78525,79530,79710,81850,82521,81879,81551,83759,84827,82460,84254
"61","53","A   Furniture, furnishings, electronics, and appliance stores","KP44230",9704,9919,9941,10182,10210,10294,10496,10695,10775,10828,11041,11159,11359,11458,11440,11407,11554,11874,12047,12253,12238,12390,12722,12885,12811,13083,13320,13359,13622,13856,14021,14251,14545,14632,14661,14973,15232,15491,15523,15788,15674,15607,15747,15920,15991,15966,15844,15454,16159,16127,16179,16139,16359,16673,16949,17093,16796,17162,17901,18273,18218,18653,18647,18648,18796,18857,18711,18879,19175,19424,19669,19746,19889,19451,20220,20382,21186,21657,21961,22549,23032,23003,23113,23342,23461,23604
"62","54","A   Building material and garden equipment and supplies dealers","KP4440",18964,19248,19457,19360,19331,19544,19657,19654,20024,20149,19998,20082,20286,20374,20456,20776,20895,20985,21249,21077,21551,21891,22208,22472,22420,22714,22517,22397,22445,22432,22326,22627,22828,23323,23881,23983,24295,23907,25214,23447,23849,23803,23906,24160,24092,24254,24233,24980,24895,25149,24953,25700,25339,25065,25232,25199,24714,25637,25792,25745,26181,26059,26028,26890,26691,26692,26470,26709,26901,26900,27121,26676,27759,25819,27684,27760,27763,28486,28933,29032,28882,29255,29350,29490,29540,29303
"63","55","A   Food and beverage stores","KP4450",37720,37507,37692,37648,37414,37422,37558,37698,37685,37665,37708,37530,37463,37441,37803,37660,37780,38008,38062,38210,38260,38176,38321,38396,38134,38456,38498,38695,38889,38608,38769,38853,39118,38829,38997,40195,38468,38712,39243,39630,39307,39677,39430,39442,39424,39708,39569,39608,39638,39748,39662,39675,39837,39720,39648,39831,40022,40087,40010,40057,40135,40019,39980,39662,39956,39943,39983,39948,39804,40054,40322,40193,40782,40539,40687,40689,40500,40757,41126,41162,41255,41031,41077,40676,41469,41134
"64","56","A   Clothing and clothing accessories stores","KP4480",11491,11534,11557,11379,11351,11633,11735,11961,11937,11959,12116,12236,12318,12452,12578,12700,12600,12808,12832,12702,12541,12946,13079,13190,13478,13518,13692,13698,13951,13931,13893,14032,13971,14025,14053,14107,14048,14328,14678,14515,14864,14651,14735,14977,15307,15046,15029,14905,14882,14996,14716,14823,14904,14731,14965,15116,14469,14991,14895,15374,15547,15876,15637,15807,15418,15776,15628,15632,15284,16063,15917,16146,16468,16150,16454,16284,16620,16743,16956,16965,17017,17052,17307,17470,17844,17933
"65","57","A   General merchandise stores","KP4520",28541,28773,28780,28722,28790,28902,29431,29613,29427,29727,29809,29604,30048,30487,30647,30756,30896,31120,30929,31068,31518,31762,32079,31999,32658,33174,33559,33154,33448,33725,33859,34013,34384,34319,34452,35293,34607,34892,35529,35081,35717,35746,36149,36204,36702,36646,36717,37097,37797,36805,36549,37231,37552,37495,38195,38518,38687,38848,39204,40023,39905,40283,40052,40791,40274,40978,40825,40964,40733,41588,41422,41573,41640,42282,42434,42137,42837,43110,43791,44272,44167,44120,44310,44683,45129,45766
"66","58","D     Department stores","KP45210",18583,18761,18803,18688,18716,18838,19064,19267,19083,19263,19370,19162,19145,19427,19399,19353,19477,19467,19314,19362,19530,19673,19782,19838,20077,20383,20483,20194,20253,20323,20419,20337,20591,20428,20364,20456,20625,20358,20586,20464,20811,20573,20689,20619,20896,20680,20943,21086,21338,20443,20019,20269,20522,20455,20809,20903,20781,20666,20805,20904,20944,20944,20724,21112,20535,20858,20699,20694,20425,20867,20328,20370,20318,20366,20314,20092,20507,20617,20910,20997,20768,20608,20533,20644,20829,21145
"67","59","D     Other general merchandise stores","KP45290",9886,9938,9899,9962,10002,9989,10299,10272,10275,10396,10367,10375,10852,11008,11202,11363,11378,11618,11583,11676,11962,12063,12274,12135,12560,12771,13059,12945,13182,13392,13430,13670,13786,13887,14085,14843,13979,14536,14945,14618,14907,15174,15461,15584,15805,15964,15774,16010,16458,16358,16522,16951,17019,17029,17374,17601,17887,18155,18371,19080,18926,19296,19281,19632,19680,20058,20062,20202,20233,20646,20997,21104,21219,21796,21991,21912,22201,22361,22745,23128,23240,23343,23595,23852,24108,24428
"68","60","A   Other retail stores","KP44X0",52695,53583,54331,53823,53921,55066,55231,54474,55186,54902,55610,55487,55963,56732,57279,57845,58050,58219,58903,59424,59397,59848,60533,61071,61436,62483,62828,61673,62517,62425,62303,62743,62773,63121,64511,65898,65046,65505,64758,65055,65459,64864,65467,65997,66167,66760,67027,67473,66766,66740,66835,66764,66296,65453,66353,67699,65533,67499,68326,68759,69923,70048,69577,70085,69961,69491,70227,70048,69934,70426,70667,71590,71386,70812,70331,70372,71275,72033,72598,73202,72581,73488,75284,75537,75473,75431
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Chained (2000) dollar final sales series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","and the 2000 current-dollar value of the corresponding series, divided by 100.  Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","estimates are usually not additive.  The residual line is the difference between the first line and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","the sum of the most detailed lines for inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
