"","Table 7U# Chain-Type Price Indexes for BEA Real Retail and Food ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52"
"13","5","S4 PN4412ZZMG     Other motor vehicle dealers","T070053",88.219,89.8,89.418,89.681,89.806,90.412,90.816,91.333,91.951,92.92,93.306,94.645,95.695,95.84,95.862,95.905,97.145,97.471,96.895,96.279,96.847,96.64,96.779,96.579,96.761,96.424,96.925,97.453,97.919,98.228,98.917,98.75,99.239,100.045,100.037,100.678,101.075,101.273,101.283,101.083,100.775,100.823,100.487,100.773,100.686,100.517,100.163,99.43,100.62
"14","6","S2 PN4413ZZMG     Automotive parts, accessories and tire stores","T070063",101.114,101.023,101.031,100.786,100.678,100.058,99.484,99.241,99.722,99.874,99.661,99.692,100.169,100.46,100.491,100.591,100.762,100.723,100.352,100.529,100.622,100.213,100.401,99.951,99.785,99.224,99.569,99.819,99.417,99.096,99.106,99.576,99.875,99.693,99.774,100.657,102.134,102.314,102.572,102.879,103.319,103.885,104.864,104.593,105.41,105.146,105.134,105.251,105.467
"15","7","S1 PN44DZZZMG   Furniture, home furnishings, electronics and appliance stores","T070073",141.586,141.68,140.744,140.341,139.659,139.575,139.303,139.028,139.2,139.669,139.621,137.765,137.342,136.558,135.561,133.945,132.607,130.114,128.744,126.89,124.641,122.843,120.424,118.501,116.632,115.226,112.431,110.047,107.948,106.456,104.764,102.81,101.866,100.705,99.398,98.031,95.812,93.637,91.657,90.011,88.065,87.074,85.847,84.098,82.531,80.704,78.626,77.687,77.22
"16","8","S1 PN442ZZZMG     Furniture and home furnishings stores","T070083",95.511,96.545,96.121,96.387,96.423,97.056,97.529,97.967,98.429,99.403,99.771,98.492,99.037,99.36,100.41,100.41,100.73,100.422,100.692,100.625,100.745,101.522,100.734,100.316,100.544,101.388,101.442,101.076,100.758,100.848,100.584,99.623,99.976,99.904,99.964,100.156,99.787,99.373,98.788,98.299,97.512,97.713,97.585,96.984,96.119,95.316,94.461,93.815,94.179
"17","9","S4 PN4421ZZMG       Furniture Stores","T070093",94.593,95.78,95.279,96.057,96.145,96.594,96.85,97.94,98.511,99.906,100.052,98.751,99.496,99.785,100.887,100.873,101.136,101.367,101.769,101.424,100.814,102.177,101.284,100.892,100.598,101.366,101.485,100.82,100.909,100.964,100.666,99.805,100.463,99.645,99.861,100.048,99.296,98.845,97.93,97.097,96.353,96.547,96.189,95.662,95.206,94.761,94.255,93.466,94.136
"18","10","S4 PN4422ZZMG       Home furnishings stores","T070103",96.798,97.613,97.297,96.843,96.803,97.692,98.47,98.003,98.326,98.741,99.402,98.149,98.426,98.792,99.774,99.794,100.193,99.184,99.287,99.583,100.663,100.677,100.026,99.569,100.48,101.422,101.392,101.411,100.586,100.721,100.497,99.41,99.375,100.231,100.096,100.298,100.421,100.056,99.891,99.847,98.988,99.192,99.362,98.665,97.289,96.05,94.777,94.301,94.3
"19","11","S1 PN443ZZZMG     Electronics and appliance stores","T070113",214.1,211.445,209.46,207.395,205.052,203.161,201.165,199.304,198.814,198.055,197.089,194.337,191.96,189.114,184.382,180.007,175.891,169.88,165.878,161.222,155.32,149.573,144.806,140.736,135.887,131.436,125.02,120.18,115.95,112.62,109.311,106.242,103.877,101.54,98.774,95.808,91.772,87.913,84.658,82.016,79.096,77.124,75.023,72.396,70.322,67.765,64.858,63.747,62.721
"20","12","S1 PN444ZZZMG   Building material and garden equipment and supplies dealers","T070123",88.634,90.106,89.645,90.481,94.807,97.146,95.78,97.834,99.268,98.599,98.572,99.153,99.409,99.635,99.664,99.098,98.701,99.456,100.319,101.007,102.133,102.692,102.333,101.419,101.725,100.823,100.128,98.941,99.734,100.762,101.938,100.371,100.994,100.481,99.4,99.125,99.085,100.261,99.974,98.419,98.891,99.453,99.074,98.428,98.567,98.718,99.993,101.275,102.918
"21","13","S2 PN4441ZZMG     Building material and supplies dealers","T070133",87.982,89.641,89.167,90.212,95.296,98.145,96.584,98.729,100.276,99.292,99.126,99.675,99.857,99.965,99.889,99.192,98.644,99.423,100.453,101.22,102.557,103.216,102.881,101.769,101.893,100.952,100.173,98.864,99.798,100.91,102.334,100.593,101.265,100.524,99.285,98.926,98.623,99.881,99.657,97.964,98.552,99.159,98.737,97.95,97.997,98.045,99.502,100.912,102.523
"22","14","S3 PN4442ZZMG     Lawn and garden equipment and supplies stores","T070143",91.964,92.396,92.05,91.672,91.452,90.778,90.599,92.12,92.853,94.046,94.884,95.67,96.434,97.435,98.132,98.391,98.969,99.568,99.369,99.556,99.383,99.324,98.824,99.108,100.536,99.892,99.759,99.4,99.278,99.739,99.186,98.814,99.075,100.151,100.227,100.547,102.367,102.989,102.248,101.788,101.318,101.529,101.474,101.917,102.759,103.67,103.589,103.897,105.771
"23","15","S1 PN445ZZZMG   Food and beverage stores","T070153",84.313,84.505,85.018,85.159,85.47,85.954,85.921,86.395,86.5,86.803,87.573,87.759,88.202,88.867,89.239,89.731,90.38,91.14,91.94,92.66,92.843,93.097,93.415,93.751,94.211,94.636,95.119,95.807,96.68,97.026,97.585,98.185,98.782,99.666,100.594,100.958,101.832,102.687,103.6,103.982,104.378,104.775,104.899,105.051,105.424,105.851,106.455,107.323,107.941
"24","16","S1 PN4451ZZMG     Grocery stores","T070163",84.19,84.369,84.892,85.02,85.333,85.854,85.827,86.328,86.43,86.752,87.562,87.764,88.233,88.909,89.292,89.799,90.442,91.207,92.011,92.739,92.898,93.139,93.451,93.789,94.274,94.701,95.193,95.87,96.737,97.074,97.618,98.202,98.771,99.659,100.605,100.965,101.857,102.726,103.645,104.026,104.417,104.806,104.905,105.051,105.428,105.86,106.476,107.359,107.991
"25","17","S3 PN4452ZZMG     Specialty food stores","T070173",85.067,85.172,85.706,85.791,86.003,86.613,86.75,87.42,87.523,87.857,88.849,89.016,89.531,90.29,90.607,91.072,91.72,92.609,93.555,94.422,94.549,94.745,95.137,95.413,95.884,96.152,96.529,97.073,97.48,97.722,97.986,98.51,98.948,99.671,100.544,100.838,101.79,102.563,103.392,103.876,104.226,104.325,104.199,104.46,104.914,105.553,106.217,107.356,107.922
"26","18","S2 PN4453ZZMG     Beer, wine, liquor stores","T070183",85.93,86.372,86.716,87.085,87.427,87.274,87.052,86.994,87.153,87.149,87.201,87.136,87.145,87.599,87.821,88.106,88.85,89.474,90.132,90.661,91.219,91.701,92.065,92.387,92.502,92.979,93.374,94.288,95.481,95.988,96.919,97.777,98.851,99.752,100.453,100.895,101.498,102.209,103.08,103.428,103.909,104.577,105.167,105.342,105.612,105.864,106.275,106.789,107.255
"27","19","S1 PN448ZZZMG   Clothing and clothing accessories stores","T070193",111.738,111.508,111.861,112.013,111.835,111.349,111.361,111.209,110.377,110.71,110.234,109.12,108.12,107.665,107.499,107.358,106.985,106.271,104.917,105.184,105.427,106.101,105.275,104.81,103.931,103.269,103.591,102.701,101.339,101.971,101.456,101.456,100.566,99.967,99.571,99.897,100.073,98.623,97.83,97.221,96.473,96.23,95.582,95.225,93.847,93.079,93.361,93.252,93.053
"28","20","S2 PN4481ZZMG     Clothing stores","T070203",111.475,111.161,111.285,111.527,111.52,110.726,110.864,110.607,109.401,109.82,109.174,108.051,106.631,106.18,105.813,105.765,105.498,104.814,103.346,103.891,104.399,105.574,104.491,104.034,103.104,102.576,103.186,102.211,100.875,101.67,101.215,101.535,100.501,99.863,99.759,99.877,99.839,98.33,97.191,96.533,95.923,95.574,94.948,94.567,93.191,92.458,92.475,92.708,92.325
"29","21","S2 PN4482ZZMG     Shoe stores","T070213",107.2,107.745,108.543,108.748,108.387,108.498,107.902,108.44,107.815,108.353,107.219,105.872,106.179,105.791,105.858,105.404,105.516,105.593,104.515,104.585,104.604,104.928,104.957,105.316,104.11,103.735,104.503,103.242,102.204,101.831,101.246,100.504,100.206,100.469,99.335,100.003,100.289,98.98,99.195,98.494,97.671,98.452,97.448,97.623,97.246,95.344,96.207,96.373,95.852
"30","22","S3 PN4483ZZMG     Jewelry, luggage, and leather goods stores","T070223",117.299,116.584,117.689,117.271,116.356,116.871,116.911,116.539,117.44,117.099,118.222,117.408,117.106,116.545,117.106,116.832,115.449,113.773,112.67,111.813,111.022,109.638,109.191,107.861,107.547,105.977,104.535,104.396,102.623,103.42,102.691,101.931,101.158,100.012,98.939,99.891,100.931,99.634,99.615,99.324,97.986,97.395,96.93,96.269,94.105,94.041,95.116,93.246,94.119
"31","23","S1 PN452ZZZMG   General merchandise stores","T070233",99.731,99.922,100.123,100.192,100.336,100.428,100.478,100.719,100.378,100.757,100.896,100.599,100.298,100.29,100.498,100.617,100.753,100.718,100.38,100.689,100.984,101.343,100.948,100.75,100.669,100.588,100.656,100.376,100.052,100.32,100.18,100.16,99.882,100.043,100.069,100.006,100.132,99.802,99.621,99.386,99.004,98.874,98.425,97.964,97.36,96.972,96.837,96.765,96.907
"32","24","S1 PN4521ZZMG     Department stores","T070243",104.69,104.802,104.922,104.918,104.982,104.915,105.02,105.195,104.678,105.067,104.996,104.503,103.985,103.808,103.907,103.942,103.876,103.619,102.992,103.206,103.511,103.967,103.33,102.973,102.725,102.444,102.418,101.838,101.133,101.42,101.035,100.89,100.276,100.111,99.895,99.717,99.653,98.801,98.247,97.925,97.321,96.992,96.321,95.697,94.618,93.989,93.582,93.27,93.147
"33","25","S2 PN4529ZZMG     Other general merchandise stores","T070253",90.755,91.126,91.509,91.74,92.057,92.49,92.424,92.811,92.834,93.198,93.774,93.875,94.01,94.339,94.772,95.06,95.593,95.988,96.206,96.701,96.972,97.151,97.208,97.302,97.523,97.784,98.007,98.213,98.494,98.731,98.963,99.129,99.333,99.954,100.311,100.402,100.776,101.086,101.348,101.208,101.064,101.143,100.921,100.62,100.47,100.302,100.416,100.556,100.929
"34","26","S1 PN44EZZZMG   Other retail stores","T070263",89.865,90.579,91.329,91.86,92.198,91.527,90.746,91.53,91.341,91.243,92.929,93.319,93.143,93.279,93.212,92.978,94.447,95.901,95.001,96.114,96.612,94.757,94.753,94.785,92.683,91.766,91.466,90.927,90.339,93.104,94.924,96.134,98.833,99.926,100.622,100.619,99.917,101.216,99.171,94.989,93.815,96.842,97.412,97.574,100.643,98.28,98.92,98.055,100.447
"35","27","S1 PN446ZZZMG     Health and personal care stores","T070273",84.868,85.676,86.015,86.384,86.86,87.186,87.669,87.857,88.039,88.602,88.912,89.248,89.149,89.106,89.602,90.149,90.534,90.854,91.27,91.499,91.83,92.171,92.01,92.249,92.778,93.601,94.117,94.701,95.456,96.525,97.522,98.392,98.934,99.584,100.394,101.089,102.356,103.432,104.708,105.628,106.414,107.361,108.302,109.212,109.685,109.932,110.74,111.4,112.153
"36","28","S1 PN447ZZZMG     Gasoline stations","T070283",74.688,75.483,76.785,77.746,78.155,76.392,74.468,75.915,75.192,74.461,78.121,79.052,78.578,78.794,78.051,77.168,80.023,83.728,82.004,84.171,85.608,81.529,82.491,82.975,77.674,75.164,75.206,74.482,73.411,80.517,85.773,89.137,96.133,99.663,102.103,102.101,100.239,105.252,99.523,87.999,86.209,95.688,97.8,99.261,108.682,103.358,107.732,105.232,112.614
"37","29","S1 PN451ZZZMG     Sporting goods, hobby, book, and music stores","T070293",106.553,106.948,106.943,107.367,107.251,106.935,107.196,107.859,107.587,108.052,108.301,107.892,107.857,107.577,107.55,107.612,108.193,108.185,107.75,107.811,107.654,106.799,106.95,106.752,106.405,106.012,105.294,104.438,103.663,103.22,101.817,101.007,100.419,100.276,99.776,99.529,98.843,98.756,98.546,98.101,97.499,96.844,96.141,95.542,94.918,94.184,93.917,93.6,93.292
"38","30","S4 PN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T070303",110.406,110.741,110.606,111.126,110.803,110.297,110.557,111.415,110.998,111.664,111.836,111.36,111.275,110.82,110.968,110.66,111.163,111.333,110.55,110.607,110.372,109.857,109.709,109.357,108.788,107.763,106.73,105.663,104.567,103.951,102.772,101.304,100.557,100.404,99.693,99.346,98.373,98.065,97.698,97.058,96.38,95.449,94.369,93.476,92.907,92.231,92.037,91.765,91.407
"39","31","S4 PN4512ZZMG       Book, periodical, and music Stores","T070313",98.912,99.438,99.698,99.94,100.231,100.289,100.558,100.826,100.847,100.912,101.313,101.036,101.1,101.153,100.799,101.564,102.297,101.95,102.172,102.241,102.236,100.735,101.459,101.55,101.613,102.449,102.353,101.91,101.777,101.689,99.835,100.37,100.115,99.998,99.956,99.931,99.875,100.272,100.412,100.408,99.977,99.988,100.221,100.379,99.615,98.736,98.283,97.852,97.679
"40","32","S1 PN453ZZZMG     Miscellaneous store retailers","T070323",96.53,96.975,96.866,97.001,97.449,97.804,97.519,97.665,98.191,98.438,98.664,99.131,99.887,100.368,101.218,101.765,101.664,101.232,100.592,100.453,100.735,101.147,100.608,100.653,101.254,101.593,100.937,100.992,101.1,101.135,100.703,100.386,100.429,100.7,99.721,99.15,98.945,98.82,98.459,97.936,96.738,96.67,96.487,95.705,95.072,93.815,91.862,91.612,91.891
"41","33","S3 PN4531ZZMG       Florists","T070333",99.94,102.877,101.69,99.578,100.462,99.721,97.608,99.111,98.329,98.32,100.125,101.627,101.706,101.894,103.149,102.5,100.116,101.097,99.461,98.479,98.852,99.752,95.518,95.073,99.79,99.216,98.264,96.813,97.765,98.491,94.9,95.082,97.036,102.033,100.802,100.177,103.215,103.296,102.219,102.387,103.482,103.651,101.97,102.135,102.779,102.298,101.169,101.369,104.33
"42","34","S3 PN4532ZZMG       Office supplies, stationery, and gift stores","T070343",105.515,105.562,105.608,105.821,105.68,106.095,105.936,106.19,106.602,106.376,106.267,106.66,108.059,109.425,110.738,111.181,110.703,109.405,108.571,108.205,108.18,108.343,107.899,107.685,107.613,107.615,106.128,105.443,103.992,103.486,102.801,101.972,101.548,100.788,99.272,98.392,97.371,96.359,95.212,94.079,92.062,91.246,90.481,89.264,88.228,86.377,83.414,82.566,82.278
"43","35","S4 PN4533ZZMG       Used merchandise stores","T070353",108.345,108.471,108.306,108.654,108.703,108.632,108.737,108.501,108.35,108.512,108.298,107.556,106.846,106.433,106.854,107.266,107.307,106.493,105.332,105.099,105.373,105.931,105.324,105.048,104.873,105.135,104.42,104.056,102.884,102.98,102.266,101.785,101.136,100.504,99.441,98.918,98.507,97.795,97.06,96.583,95.083,94.735,94.408,93.807,92.563,91.183,89.157,88.815,88.822
"44","36","S4 PN4539ZZMG       Other miscellaneous store retailers","T070363",86.547,86.788,86.812,87.428,88.287,88.928,88.861,88.697,89.727,90.42,90.653,91.173,91.816,91.863,92.371,93.23,93.803,93.786,93.558,93.755,94.243,94.724,94.765,95.132,95.663,96.409,96.438,97.399,98.853,99.191,99.574,99.617,99.861,100.42,100.002,99.717,99.73,100.513,101.091,101.012,100.294,100.998,101.684,101.147,100.873,100.156,99.197,99.54,100.02
"45","37","S1 PN454ZZZMG     Nonstore retailers","T070373",108.792,109.443,110.295,110.203,110.336,110.274,109.919,110.201,110.349,110.412,110.737,110.243,109.909,110.034,110.168,109.778,110.887,110.772,109.789,111.156,110.379,108.514,107.069,106.092,104.581,103.729,102.354,100.639,99.008,99.166,99.151,99.221,100.768,99.895,99.737,99.6,98.432,96.303,94.439,91.953,89.596,89.299,88.585,87.393,88.466,86.22,84.352,83.564,84.002
"46","38","S2 PN4541ZZMG       Electronic shopping and mail-order houses","T070383",131.495,132.774,133.472,132.907,132.962,132.357,132.481,133.022,132.937,133.238,132.862,132.096,131.388,131.085,130.833,130.184,129.173,127.174,125.641,124.406,122.698,121.317,119.113,117.275,115.597,114.335,111.975,109.635,107.368,106.43,104.961,103.569,102.297,100.883,99.334,97.826,95.612,93.238,91.093,89.119,86.632,85.329,83.889,81.658,80.029,77.968,75.45,74.534,73.84
"47","39","S4 PN4542ZZMG       Vending machine operators","T070393",83.137,83.168,83.748,84.011,84.332,84.935,84.963,85.3,85.549,85.898,86.663,86.826,87.3,88.031,88.262,88.839,89.339,90.309,91.293,92.14,92.411,92.58,92.911,93.461,93.975,94.543,95.061,95.961,96.973,97.258,97.736,98.336,98.902,99.702,100.551,100.898,101.837,102.754,103.719,104.195,104.544,104.981,105.221,105.474,105.896,106.426,107.077,108.05,108.627
"48","40","S4 PN4543ZZMG       Direct selling establishments","T070403",84.611,84.94,85.815,85.967,86.104,86.277,85.609,85.674,85.94,85.784,86.482,86.135,85.998,86.33,86.726,86.432,89.168,90.47,89.775,93.503,93.6,91.092,90.306,90.135,88.528,87.987,87.625,86.359,85.218,86.964,89.104,91.505,98.282,98.127,100.536,103.055,103.724,101.655,99.95,95.792,93.22,95.198,96.068,97.179,104.993,101.933,101.553,100.904,104.393
"49","41","S1 PN722ZZZMG Food services and drinking places","T070413",82.821,83.187,83.501,83.83,84.263,84.721,85.07,85.345,85.657,86.038,86.34,86.836,87.334,87.899,88.369,88.826,89.275,89.922,90.53,91.379,91.986,92.396,92.989,93.67,94.268,94.703,95.316,95.951,96.602,97.137,97.745,98.307,98.986,99.587,100.364,101.063,101.875,102.729,103.65,104.487,105.105,105.6,106.255,106.869,107.213,107.769,108.353,109.147,110.058
"50","42","S4 PN7221ZZMG   Full-service restaurants","T070423",82.494,82.883,83.2,83.534,83.964,84.428,84.78,85.049,85.376,85.758,86.047,86.546,87.038,87.622,88.096,88.551,89.003,89.662,90.262,91.11,91.727,92.145,92.749,93.43,94.034,94.611,95.224,95.965,96.739,97.216,97.797,98.289,98.885,99.58,100.454,101.091,101.948,102.827,103.748,104.518,104.956,105.582,106.171,106.857,107.234,107.781,108.369,109.118,109.949
"51","43","S4 PN7222ZZMG   Limited-service eating places","T070433",83.653,83.909,84.19,84.481,84.905,85.324,85.662,85.955,86.215,86.589,86.918,87.406,87.913,88.419,88.859,89.317,89.737,90.337,90.971,91.818,92.416,92.8,93.363,94.047,94.619,94.911,95.493,95.987,96.476,97.07,97.696,98.351,99.13,99.632,100.233,101.006,101.768,102.572,103.472,104.384,105.233,105.536,106.258,106.746,107.031,107.604,108.177,109.012,110.038
"52","44","S4 PN7223ZZMG   Special food Services","T070443",82.829,83.135,83.458,83.783,84.216,84.677,85.026,85.324,85.604,85.993,86.338,86.833,87.346,87.882,88.34,88.804,89.24,89.856,90.49,91.326,91.911,92.317,92.881,93.553,94.127,94.777,95.334,96.077,96.837,97.295,97.833,98.346,98.933,99.647,100.4,101.02,101.905,102.75,103.601,104.341,104.801,105.416,105.997,106.642,107.028,107.593,108.17,108.874,109.724
"53","45","S4 PN7224ZZMG   Drinking places (alcoholic beverages)","T070453",79.084,80.072,80.559,81.114,81.601,82.274,82.682,82.834,83.511,83.932,84.077,84.623,85.064,86.001,86.666,87.104,87.725,88.679,89.111,89.998,90.694,91.284,92.104,92.774,93.541,93.611,94.547,95.293,96.056,96.704,97.529,98.014,98.769,99.237,100.688,101.427,102.096,103.168,104.385,105.304,105.789,106.603,107.376,108.384,108.881,109.354,110.014,111.004,111.715
"54",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","46","S1 PN04472BMG   Retail and food services except motor vehicle and parts dealers","T070463",93.498,93.963,94.307,94.623,95.271,95.481,95.171,95.759,95.82,95.948,96.625,96.702,96.718,96.937,97.039,97.012,97.519,98.081,97.948,98.569,98.888,98.51,98.365,98.263,97.671,97.305,97.174,96.847,96.727,97.777,98.448,98.68,99.574,99.976,100.209,100.24,100.15,100.604,100.015,98.582,98.164,99.12,99.125,98.954,99.641,98.843,99.152,99.176,100.223
"56","47","S1 PN44GZZZMG   Retail trade except motor vehicle and parts dealers","T070473",95.106,95.587,95.934,96.249,96.931,97.099,96.68,97.319,97.339,97.426,98.162,98.171,98.111,98.275,98.319,98.216,98.732,99.281,99.036,99.622,99.897,99.4,99.143,98.924,98.157,97.673,97.435,96.97,96.742,97.865,98.546,98.732,99.656,100.03,100.187,100.127,99.912,100.312,99.519,97.785,97.231,98.249,98.168,97.895,98.627,97.651,97.924,97.847,98.912
"57","48","S2 PN44BZZZMG   GAFO-Department store merchandise stores\1\","T070483",110.429,110.529,110.576,110.636,110.555,110.472,110.478,110.601,110.268,110.636,110.62,109.931,109.567,109.379,109.35,109.146,108.952,108.316,107.565,107.448,107.241,107.167,106.374,105.812,105.227,104.764,104.206,103.337,102.375,102.276,101.62,101.11,100.548,100.221,99.771,99.461,98.987,98.052,97.333,96.669,95.791,95.376,94.686,93.913,92.934,92.056,91.403,91.063,90.943
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","1. Includes industries PN442ZZZMG, PN443ZZZMG, PN448ZZZMG, PN451ZZZMG,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
