"","Table 5#5#6U# Real Private Fixed Investment in Equipment and Sof","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"20","13","    Office and accounting equipment","B936RX0",5544,5676,5629,5032,3650,3800,4781,5185,8156,8352,8571,8994,4453,4323,3944
"21","14","  Industrial equipment","A680RX0",145468,150866,154122,160830,161822,175799,162836,151898,151638,147385,159643,172900,179860,172249,132159
"22","15","    Fabricated metal products","C263RX0",13035,14110,12231,12712,13526,14097,13869,12297,13050,12867,13547,14963,15511,15514,14703
"23","16","    Engines and turbines","A668RX0",3572,4243,3934,4632,5653,7288,11060,11765,10139,4756,5476,6704,9692,10203,7802
"24","17","      Steam engines","BA13RX0",1988,2592,2089,2863,3292,5082,8524,9508,7798,2504,2892,3719,6327,6905,5584
"25","18","      Internal combustion engines","BA14RX0",1609,1662,1880,1777,2388,2176,2436,2128,2248,2252,2584,2985,3353,3270,2159
"26","19","    Metalworking machinery","C271RX0",29339,29861,32098,32142,31064,31651,26854,24304,24083,24265,26328,27536,28143,28215,17949
"27","20","    Special industry machinery, n.e.c.","C272RX0",34734,35690,35412,36660,36935,41964,37204,32639,31152,30076,31777,34479,35985,32561,24489
"28","21","    General industrial, including materials handling, equipment","C273RX0",46360,47894,50111,53418,51524,54636,49855,49382,52536,53975,60165,64448,64258,60220,45625
"29","22","    Electrical transmission, distribution, and industrial apparatus","C276RX0",18366,19026,20182,21136,22891,25735,23522,21069,20439,21444,22350,24751,26246,25418,20763
"30","23","  Transportation equipment","A681RX0",131532,136815,148216,162024,190298,186197,169559,154206,140429,162347,181716,196497,185756,143006,69428
"31","24","    Trucks, buses, and truck trailers","C279RX0",62738,68458,77148,85265,94368,87077,71541,67258,67974,86310,102986,114660,96745,64469,21347
"32","25","      Light trucks (including utility vehicles) \3\","W178RX0",30794,39878,49982,51798,57048,54974,48634,44273,45602,55837,66525,75203,68661,42988,5842
"33","26","      Other trucks, buses, and truck trailers \3\","W179RX0",32809,28916,26998,33605,37493,32127,22844,22917,22300,30470,36461,39490,28520,21428,14251
"34","27","    Autos \3\","C280RX0",39750,39464,38267,36759,43621,45633,45744,45735,40341,40560,45029,49041,47985,35780,16882
"35","28","    Aircraft","C281RX0",18376,17287,20463,27661,40138,41632,43216,31647,22599,25096,21967,20559,26832,25704,20714
"36","29","    Ships and boats","C282RX0",2327,2919,3348,3517,3575,4094,3688,4252,4519,4993,4771,4193,5217,6368,3945
"37","30","    Railroad equipment","C283RX0",6585,6517,7199,8245,9241,8784,6718,5874,5126,5497,6962,8119,8442,9242,4776
"38","31","  Other equipment","A682RX0",116440,120919,131881,144841,148130,156011,154161,153190,159830,169811,184174,191230,190269,182860,141618
"39","32","    Furniture and fixtures","A667RX0",28822,29443,33805,37962,41143,44136,41240,39387,39617,40774,42779,43463,41053,38709,29321
"40","33","      Household furniture","BA15RX0",1645,1760,1801,2012,2238,2360,2340,2481,2493,2547,2618,2581,2483,2218,1789
"41","34","      Other furniture","BA16RX0",27177,27682,32006,35953,38907,41779,38901,36906,37124,38227,40161,40882,38571,36491,27532
"42","35","    Agricultural machinery","C268RX0",16635,16430,18768,19456,14204,15636,16572,18967,20407,22367,23506,21852,21864,24612,21230
"43","36","      Farm tractors","BA17RX0",4854,4456,6350,6355,4363,5428,5136,6560,7011,7989,8350,7507,7683,8040,6815
"44","37","      Other agricultural machinery","W213RX0",11819,12034,12417,13110,9862,10200,11452,12410,13399,14378,15155,14346,14182,16579,14424
"45","38","    Construction machinery","C269RX0",19298,21564,22919,25766,25898,26124,23125,21366,22398,25776,32076,36197,34742,29706,16670
