"","Table 5#4#4U# Price Indexes for Private Fixed Investment in Stru","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210"
"11","3","  Commercial and health care","W001RG3",11.959,11.959,11.906,11.911,11.994,11.938,11.887,11.782,11.77,11.821,11.867,11.926,11.914,11.964,11.96,12.055,12.108,12.163,12.207,12.259,12.204,12.412,12.416,12.671,12.665,12.764,12.763,13.067,12.952,13.306,13.304,13.504,13.558,13.611,13.663,13.878,14.071,14.226,14.327,14.794,15.051,15.321,15.532,15.833,15.932,16.488,16.382,16.702,17.173,17.603,18.029,18.386,18.787,18.983,19.281,19.793,20.068,20.486,21.052,21.409,21.816,22.542,23.478,24.402,25.009,25.319,25.391,25.558,25.613,26.131,26.463,26.718,27.145,27.659,28.317,28.917,29.608,30.342,30.988,31.778,32.45,33.579,34.631,35.495,36.47,37.308,38.263,39.341,40.144,40.884,41.562,42.24,42.934,43.542,44.025,44.351,44.638,44.887,45.182,45.611,46.128,46.557,47.109,47.495,47.856,48.122,48.454,48.869,49.249,49.748,50.244,50.797,51.217,51.67,52.051,52.531,53.173,53.557,53.963,54.463,54.933,55.587,55.955,56.353,56.928,57.305,57.73,57.941,58.128,58.286,58.487,58.273,58.204,58.466,58.782,59.292,59.901,60.336,60.931,61.54,62.047,62.493,63.308,64.235,65.027,65.383,65.723,66.052,66.369,66.673,67.36,67.732,68.243,68.689,69.469,70.211,71.146,71.89,72.796,73.691,74.467,75.226,75.88,76.531,77.629,78.313,78.954,79.623,80.298,80.906,81.923,82.62,82.852,83.367,83.671,84.634,85.813,85.626,85.782,86.761,88.391,90.238,92.384,94.604,96.526,98.634,101.3,103.54,105.545,107.267,109.213,111.96,113.363,113.737,114.884,116.752,117.072,117.63,119.069,122.554,123.347,121.36,117.356,116.716,116.128,115.56,115.674
"12","4","    Office \1\","W031RG3",11.61,11.61,11.562,11.568,11.652,11.596,11.548,11.441,11.428,11.477,11.526,11.585,11.578,11.632,11.632,11.731,11.789,11.846,11.891,11.941,11.885,12.088,12.09,12.338,12.326,12.427,12.429,12.734,12.629,12.979,12.98,13.174,13.228,13.279,13.329,13.539,13.731,13.881,13.978,14.429,14.677,14.934,15.144,15.446,15.55,16.099,15.994,16.295,16.74,17.151,17.567,17.922,18.323,18.525,18.82,19.318,19.579,19.987,20.547,20.91,21.329,22.052,22.969,23.866,24.439,24.727,24.789,24.95,25.01,25.516,25.837,26.082,26.479,26.976,27.616,28.196,28.864,29.574,30.189,30.938,31.562,32.655,33.69,34.564,35.595,36.451,37.405,38.457,39.208,39.911,40.561,41.225,41.916,42.518,42.997,43.322,43.594,43.836,44.12,44.534,45.035,45.451,45.993,46.374,46.742,47.014,47.35,47.771,48.161,48.653,49.139,49.672,50.068,50.504,50.872,51.342,51.977,52.357,52.755,53.243,53.701,54.337,54.699,55.093,55.668,56.041,56.456,56.658,56.829,56.979,57.168,56.951,56.882,57.14,57.457,57.952,58.556,58.98,59.561,60.158,60.618,61.053,61.854,62.763,63.556,63.908,64.241,64.557,64.856,65.139,65.807,66.177,66.672,67.675,68.905,70.017,70.623,71.288,72.205,73.211,74.212,75.12,75.865,76.55,77.676,78.313,78.88,79.464,80.09,80.619,81.536,82.124,82.264,82.715,82.985,83.93,85.163,84.988,85.116,86.022,87.57,89.404,91.605,93.956,96.184,98.602,101.506,104.139,106.522,108.389,110.581,113.491,115.321,115.956,116.449,118.855,119.36,119.693,121.188,126.176,127.622,126.34,122.086,121.579,121.399,121.183,121.183
"13","5","    Health care","W032RG3",12.05,12.05,11.997,11.999,12.099,12.043,11.99,11.887,11.88,11.936,11.989,12.046,12.04,12.095,12.096,12.198,12.254,12.307,12.359,12.415,12.36,12.578,12.578,12.836,12.846,12.946,12.945,13.258,13.149,13.519,13.523,13.736,13.782,13.838,13.889,14.105,14.302,14.458,14.567,15.054,15.303,15.577,15.791,16.101,16.221,16.791,16.681,17.004,17.47,17.902,18.329,18.693,19.131,19.34,19.648,20.173,20.453,20.872,21.449,21.81,22.226,22.964,23.919,24.859,25.476,25.795,25.866,26.038,26.085,26.613,26.941,27.193,27.644,28.161,28.823,29.427,30.147,30.888,31.548,32.346,33.021,34.172,35.269,36.187,37.134,38.039,39.043,40.152,40.976,41.729,42.417,43.134,43.88,44.517,45.021,45.345,45.647,45.885,46.168,46.598,47.147,47.58,48.156,48.56,48.918,49.196,49.541,49.969,50.347,50.859,51.365,51.936,52.36,52.817,53.207,53.7,54.36,54.745,55.155,55.664,56.142,56.813,57.178,57.579,58.166,58.556,58.995,59.208,59.414,59.566,59.769,59.544,59.46,59.714,60.018,60.561,61.183,61.618,62.206,62.795,63.346,63.768,64.588,65.547,66.335,66.729,67.084,67.4,67.699,68.035,68.748,69.125,69.722,69.937,70.545,71.158,71.878,72.47,73.268,74.099,74.916,75.692,76.393,77.112,78.238,79.025,79.794,80.602,81.626,82.459,83.559,84.17,84.002,84.232,84.381,85.334,86.695,86.657,86.916,87.966,89.61,91.308,93.235,95.154,96.768,98.66,101.134,103.438,105.934,107.893,109.268,111.202,112.446,113.14,114.12,115.086,115.47,115.996,116.363,116.551,115.509,112.304,109.227,108.213,107.175,105.899,105.964
"14","6","      Hospitals and special care","C311RG3",11.985,11.984,11.93,11.931,12.036,11.98,11.928,11.827,11.821,11.879,11.932,11.987,11.982,12.036,12.038,12.14,12.194,12.245,12.298,12.354,12.299,12.517,12.517,12.772,12.788,12.887,12.886,13.198,13.09,13.461,13.465,13.68,13.723,13.779,13.829,14.043,14.238,14.394,14.503,14.992,15.235,15.51,15.722,16.031,16.157,16.724,16.614,16.936,17.397,17.825,18.249,18.61,19.053,19.263,19.571,20.095,20.373,20.79,21.364,21.722,22.137,22.872,23.824,24.759,25.373,25.692,25.762,25.933,25.977,26.503,26.829,27.08,27.536,28.051,28.708,29.306,30.022,30.755,31.411,32.203,32.875,34.023,35.124,36.049,36.966,37.883,38.891,40,40.827,41.579,42.266,42.99,43.749,44.39,44.898,45.218,45.526,45.758,46.034,46.457,47.007,47.435,48.013,48.42,48.771,49.05,49.397,49.826,50.194,50.708,51.211,51.781,52.2,52.649,53.037,53.529,54.187,54.569,54.976,55.485,55.963,56.633,56.994,57.391,57.97,58.361,58.8,59.011,59.223,59.372,59.575,59.351,59.263,59.514,59.812,60.36,60.981,61.414,61.996,62.574,63.132,63.543,64.357,65.317,66.096,66.497,66.851,67.159,67.446,67.788,68.5,68.875,69.496,69.873,70.632,71.386,71.855,72.453,73.255,74.086,74.896,75.67,76.372,77.093,78.215,79.006,79.776,80.582,81.605,82.437,83.537,84.15,83.982,84.211,84.36,85.311,86.667,86.634,86.897,87.948,89.578,91.279,93.211,95.137,96.758,98.658,101.139,103.445,105.936,107.894,109.267,111.2,112.444,113.14,114.121,115.087,115.471,115.995,116.363,116.551,115.51,112.304,109.227,108.212,107.174,105.898,105.963
"15","7","        Hospitals","W033RG3",11.987,11.987,11.934,11.937,12.045,11.99,11.937,11.835,11.827,11.882,11.933,11.985,11.978,12.031,12.035,12.141,12.201,12.254,12.306,12.356,12.291,12.504,12.505,12.765,12.791,12.898,12.9,13.214,13.102,13.471,13.473,13.686,13.726,13.782,13.832,14.048,14.246,14.401,14.505,14.986,15.216,15.484,15.697,16.014,16.154,16.731,16.626,16.947,17.401,17.825,18.246,18.608,19.054,19.265,19.574,20.099,20.377,20.797,21.38,21.752,22.185,22.931,23.885,24.812,25.406,25.708,25.765,25.929,25.97,26.497,26.828,27.088,27.557,28.08,28.742,29.338,30.048,30.776,31.431,32.225,32.901,34.05,35.147,36.062,36.964,37.869,38.869,39.975,40.804,41.556,42.241,42.96,43.711,44.352,44.864,45.196,45.522,45.769,46.058,46.492,47.049,47.482,48.059,48.463,48.806,49.079,49.421,49.847,50.213,50.725,51.222,51.785,52.196,52.642,53.032,53.531,54.202,54.594,55.007,55.518,55.994,56.662,57.017,57.407,57.977,58.363,58.804,59.021,59.245,59.401,59.608,59.384,59.293,59.538,59.828,60.366,60.973,61.403,61.992,62.587,63.174,63.604,64.425,65.382,66.146,66.532,66.872,67.166,67.441,67.779,68.496,68.885,69.529,69.893,70.643,71.386,71.839,72.433,73.24,74.082,74.909,75.687,76.378,77.074,78.145,78.917,79.69,80.523,81.602,82.468,83.578,84.178,83.967,84.168,84.303,85.253,86.624,86.607,86.881,87.939,89.597,91.296,93.217,95.12,96.709,98.582,101.043,103.339,105.847,107.822,109.214,111.166,112.427,113.135,114.125,115.094,115.473,115.99,116.346,116.518,115.457,112.239,109.156,108.137,107.1,105.825,105.89
"16","8","        Special care","W034RG3",11.977,11.978,11.925,11.927,12.035,11.98,11.927,11.826,11.817,11.872,11.923,11.975,11.968,12.021,12.025,12.131,12.191,12.244,12.296,12.346,12.281,12.494,12.495,12.755,12.781,12.887,12.89,13.203,13.091,13.46,13.462,13.675,13.715,13.771,13.821,14.036,14.234,14.389,14.493,14.973,15.204,15.472,15.685,16,16.141,16.718,16.613,16.933,17.387,17.811,18.231,18.593,19.038,19.249,19.558,20.082,20.361,20.78,21.362,21.734,22.167,22.913,23.866,24.792,25.385,25.687,25.744,25.908,25.949,26.476,26.806,27.065,27.534,28.057,28.718,29.314,30.023,30.751,31.405,32.198,32.874,34.022,35.118,36.033,36.934,37.838,38.837,39.942,40.771,41.522,42.206,42.925,43.675,44.315,44.827,45.159,45.484,45.732,46.02,46.454,47.011,47.443,48.02,48.423,48.766,49.039,49.381,49.806,50.172,50.683,51.18,51.743,52.153,52.598,52.988,53.487,54.158,54.549,54.962,55.473,55.948,56.615,56.97,57.36,57.93,58.316,58.755,58.973,59.196,59.353,59.559,59.335,59.244,59.489,59.779,60.317,60.923,61.353,61.941,62.536,63.123,63.552,64.372,65.329,66.092,66.477,66.817,67.111,67.386,67.723,68.44,68.828,69.472,69.943,70.743,71.5,71.943,72.517,73.302,74.127,74.947,75.729,76.436,77.159,78.304,79.098,79.878,80.701,81.726,82.558,83.655,84.26,84.1,84.336,84.488,85.441,86.784,86.739,87.026,88.121,89.687,91.428,93.373,95.285,96.862,98.728,101.187,103.48,105.818,107.691,109.033,111.011,112.387,113.168,114.19,115.148,115.482,115.981,116.349,116.571,115.594,112.432,109.376,108.373,107.334,106.056,106.121
"17","9","      Medical buildings","W035RG3",12.27,12.27,12.22,12.225,12.314,12.255,12.204,12.091,12.078,12.129,12.181,12.244,12.236,12.293,12.293,12.397,12.458,12.52,12.567,12.62,12.56,12.775,12.777,13.04,13.027,13.133,13.136,13.458,13.347,13.717,13.717,13.923,13.979,14.034,14.086,14.308,14.511,14.67,14.772,15.249,15.511,15.782,16.005,16.324,16.434,17.014,16.902,17.221,17.692,18.126,18.565,18.941,19.364,19.577,19.889,20.416,20.692,21.123,21.715,22.098,22.541,23.305,24.274,25.223,25.828,26.132,26.198,26.368,26.431,26.966,27.305,27.564,27.984,28.509,29.185,29.798,30.504,31.255,31.905,32.696,33.355,34.511,35.605,36.528,37.618,38.523,39.531,40.642,41.436,42.179,42.866,43.568,44.298,44.934,45.44,45.784,46.071,46.327,46.627,47.064,47.594,48.034,48.606,49.009,49.398,49.685,50.041,50.486,50.898,51.418,51.931,52.495,52.913,53.374,53.763,54.26,54.931,55.332,55.753,56.269,56.753,57.425,57.808,58.224,58.832,59.226,59.664,59.877,60.059,60.217,60.417,60.188,60.114,60.387,60.722,61.246,61.884,62.331,62.946,63.576,64.063,64.522,65.369,66.33,67.168,67.54,67.891,68.226,68.542,68.841,69.547,69.937,70.461,70.101,70.214,70.421,71.941,72.535,73.327,74.15,74.96,75.729,76.422,77.135,78.282,79.071,79.847,80.667,81.697,82.53,83.626,84.227,84.052,84.276,84.421,85.37,86.742,86.688,86.937,87.998,89.697,91.398,93.32,95.226,96.816,98.692,101.155,103.471,106.008,107.983,109.359,111.258,112.434,113.088,114.057,115.044,115.478,116.021,116.369,116.495,115.356,112.089,108.971,107.938,106.902,105.63,105.694
"18","10","    Multimerchandise shopping","W036RG3",11.915,11.915,11.867,11.872,11.958,11.901,11.852,11.742,11.729,11.779,11.829,11.89,11.882,11.938,11.938,12.039,12.099,12.158,12.204,12.256,12.197,12.406,12.408,12.663,12.651,12.754,12.757,13.069,12.962,13.321,13.321,13.521,13.576,13.629,13.68,13.895,14.092,14.247,14.345,14.809,15.063,15.327,15.543,15.853,15.959,16.523,16.414,16.724,17.181,17.603,18.029,18.394,18.805,19.012,19.315,19.826,20.094,20.513,21.088,21.46,21.89,22.632,23.574,24.494,25.082,25.378,25.442,25.606,25.668,26.187,26.517,26.768,27.176,27.686,28.342,28.938,29.624,30.353,30.984,31.752,32.392,33.514,34.577,35.473,36.532,37.411,38.389,39.469,40.24,40.961,41.629,42.31,43.019,43.637,44.128,44.462,44.741,44.989,45.281,45.706,46.22,46.647,47.203,47.594,47.972,48.251,48.596,49.028,49.429,49.933,50.432,50.98,51.385,51.833,52.211,52.693,53.345,53.735,54.144,54.644,55.114,55.767,56.139,56.543,57.133,57.516,57.942,58.149,58.325,58.479,58.672,58.45,58.379,58.644,58.969,59.477,60.097,60.532,61.128,61.741,62.214,62.66,63.482,64.415,65.229,65.59,65.931,66.256,66.563,66.853,67.539,67.918,68.426,68.502,68.954,69.386,70.679,71.544,72.49,73.333,73.913,74.539,75.085,75.651,76.645,77.31,77.986,78.733,79.412,80.072,81.179,82.001,82.435,83.094,83.475,84.438,85.469,85.174,85.281,86.256,87.939,89.857,92.083,94.39,96.48,98.63,101.123,103.165,104.615,106.066,108.102,111.161,112.313,112.363,114.157,116.196,116.528,117.358,119.333,123.542,124.841,123.055,118.242,117.81,117.365,117.334,117.581
"19","11","    Food and beverage establishments","W037RG3",11.941,11.941,11.892,11.897,11.984,11.926,11.877,11.767,11.754,11.804,11.854,11.916,11.907,11.963,11.964,12.065,12.124,12.184,12.23,12.282,12.223,12.433,12.434,12.69,12.678,12.781,12.784,13.097,12.989,13.349,13.35,13.55,13.604,13.657,13.709,13.924,14.122,14.277,14.376,14.841,15.095,15.359,15.576,15.887,15.993,16.558,16.449,16.759,17.217,17.64,18.068,18.433,18.845,19.052,19.356,19.868,20.137,20.557,21.132,21.506,21.937,22.68,23.624,24.546,25.135,25.431,25.495,25.661,25.722,26.243,26.573,26.825,27.233,27.745,28.402,28.999,29.686,30.417,31.049,31.82,32.461,33.585,34.65,35.549,36.609,37.49,38.471,39.552,40.325,41.048,41.717,42.4,43.11,43.729,44.222,44.556,44.836,45.085,45.377,45.803,46.318,46.746,47.303,47.695,48.074,48.353,48.699,49.132,49.534,50.039,50.539,51.088,51.494,51.943,52.322,52.805,53.458,53.848,54.259,54.76,55.231,55.885,56.258,56.662,57.254,57.638,58.065,58.272,58.449,58.602,58.797,58.574,58.503,58.768,59.094,59.604,60.225,60.66,61.258,61.872,62.346,62.792,63.617,64.551,65.367,65.729,66.071,66.397,66.704,66.995,67.682,68.062,68.571,68.722,69.144,69.53,70.99,71.831,72.742,73.549,74.103,74.713,75.257,75.837,76.905,77.585,78.258,78.988,79.621,80.247,81.336,82.154,82.613,83.289,83.679,84.646,85.657,85.391,85.537,86.58,88.196,90.12,92.352,94.666,96.763,98.919,101.419,103.476,104.82,106.181,108.146,111.154,112.281,112.331,114.125,116.257,116.608,117.472,119.488,123.717,125.069,123.334,118.529,118.104,117.659,117.627,117.875
"20","12","    Warehouses","W038RG3",12.096,12.096,12.047,12.052,12.14,12.082,12.032,11.92,11.907,11.958,12.009,12.071,12.063,12.119,12.12,12.222,12.283,12.343,12.39,12.442,12.383,12.595,12.596,12.856,12.843,12.947,12.95,13.268,13.159,13.523,13.524,13.727,13.782,13.836,13.888,14.106,14.306,14.463,14.563,15.034,15.292,15.559,15.779,16.094,16.202,16.774,16.664,16.978,17.442,17.87,18.303,18.673,19.09,19.301,19.609,20.127,20.4,20.825,21.408,21.786,22.223,22.976,23.932,24.866,25.463,25.763,25.828,25.995,26.058,26.585,26.92,27.175,27.588,28.107,28.773,29.377,30.073,30.814,31.454,32.234,32.884,34.023,35.102,36.012,37.087,37.979,38.972,40.068,40.851,41.583,42.261,42.953,43.672,44.3,44.798,45.137,45.421,45.672,45.968,46.4,46.922,47.356,47.92,48.317,48.701,48.984,49.334,49.773,50.18,50.692,51.198,51.754,52.166,52.62,53.004,53.494,54.155,54.551,54.966,55.474,55.951,56.614,56.992,57.401,58.001,58.389,58.822,59.032,59.211,59.367,59.563,59.338,59.265,59.534,59.864,60.381,61.01,61.451,62.057,62.679,63.159,63.611,64.446,65.393,66.219,66.586,66.933,67.262,67.574,67.868,68.564,68.95,69.465,69.494,69.953,70.388,71.692,72.573,73.538,74.398,74.991,75.628,76.182,76.757,77.757,78.432,79.12,79.885,80.581,81.259,82.39,83.229,83.672,84.34,84.727,85.701,86.722,86.427,86.54,87.542,89.225,91.171,93.429,95.77,97.015,98.546,101.545,102.873,104.434,105.983,108.077,111.186,112.37,112.437,114.237,116.261,116.527,117.332,119.304,123.538,124.871,123.098,118.312,117.884,117.439,117.407,117.655
"21","13","    Other commercial \2\","W039RG3",12.737,12.736,12.657,12.678,12.735,12.683,12.627,12.53,12.5,12.543,12.551,12.605,12.556,12.574,12.535,12.587,12.607,12.638,12.656,12.695,12.642,12.824,12.843,13.102,13.091,13.184,13.176,13.446,13.311,13.641,13.619,13.804,13.856,13.902,13.955,14.174,14.355,14.504,14.598,15.054,15.326,15.623,15.834,16.129,16.223,16.77,16.667,16.987,17.461,17.884,18.307,18.665,19.055,19.24,19.536,20.055,20.33,20.763,21.329,21.691,22.103,22.835,23.788,24.724,25.341,25.65,25.722,25.896,25.964,26.493,26.855,27.118,27.575,28.087,28.749,29.363,30.043,30.77,31.419,32.216,32.911,34.041,35.09,35.959,36.93,37.752,38.678,39.729,40.522,41.251,41.941,42.589,43.246,43.851,44.312,44.613,44.895,45.151,45.46,45.884,46.309,46.727,47.24,47.617,47.964,48.22,48.54,48.934,49.283,49.796,50.273,50.804,51.211,51.638,52.008,52.491,53.141,53.545,53.965,54.473,54.942,55.606,55.995,56.402,56.949,57.321,57.749,57.981,58.17,58.34,58.559,58.369,58.315,58.579,58.894,59.406,60.012,60.487,61.109,61.74,62.29,62.776,63.589,64.515,65.311,65.646,65.97,66.32,66.656,66.962,67.646,68.017,68.502,68.707,69.268,69.791,70.96,71.814,72.743,73.569,74.141,74.764,75.302,75.863,76.865,77.529,78.202,78.943,79.59,80.233,81.324,82.136,82.564,83.226,83.609,84.563,85.601,85.332,85.457,86.443,88.176,90.158,92.405,94.682,96.692,98.784,101.231,103.293,104.631,106.019,108.008,111.011,112.163,112.209,113.907,115.824,116.017,116.806,118.821,123.044,124.603,123.072,118.525,118.191,117.779,117.795,118.125
"22","14","  Manufacturing","B307RG3",12.341,12.34,12.286,12.289,12.395,12.34,12.286,12.183,12.18,12.236,12.287,12.339,12.337,12.39,12.391,12.498,12.552,12.607,12.659,12.709,12.656,12.872,12.87,13.139,13.145,13.255,13.259,13.582,13.477,13.857,13.861,14.082,14.137,14.194,14.243,14.461,14.664,14.821,14.927,15.42,15.695,15.968,16.184,16.509,16.618,17.216,17.114,17.453,17.955,18.394,18.829,19.199,19.633,19.842,20.151,20.681,20.945,21.366,21.955,22.33,22.762,23.531,24.519,25.484,26.124,26.452,26.528,26.71,26.773,27.318,27.653,27.909,28.342,28.863,29.528,30.129,30.798,31.546,32.221,33.051,33.828,35.034,36.18,37.13,38.181,39.104,40.113,41.224,42.013,42.765,43.466,44.229,45.038,45.729,46.275,46.621,46.905,47.146,47.429,47.858,48.393,48.824,49.411,49.829,50.203,50.501,50.866,51.311,51.72,52.243,52.745,53.309,53.738,54.182,54.57,55.075,55.766,56.169,56.593,57.118,57.595,58.282,58.651,59.062,59.683,60.092,60.553,60.78,60.978,61.137,61.348,61.116,61.04,61.292,61.592,62.147,62.792,63.228,63.822,64.42,64.937,65.366,66.202,67.189,68.04,68.46,68.83,69.144,69.422,69.775,70.524,70.937,71.508,71.977,72.753,73.454,74.126,74.929,75.862,76.738,77.522,78.201,78.781,79.366,80.347,81.003,81.654,82.365,83.067,83.724,84.828,85.62,86.001,86.598,86.877,87.722,88.553,87.992,87.841,88.569,90.053,91.694,93.6,95.533,97.198,98.943,101.058,102.751,104.461,105.84,106.856,108.641,109.986,111.057,112.671,114.619,115.059,115.474,118.41,123.676,124.851,122.111,117.771,117.989,117.803,117.989,118.282
"23","15","  Power and communication","W003RG3",15.954,16.078,16.313,16.283,16.295,16.223,16.248,16.229,16.251,16.239,16.174,16.176,16.121,16.103,16.004,15.936,16.022,16.071,16.174,16.133,16.127,16.071,16.142,16.224,16.363,16.448,16.548,16.737,16.85,16.947,16.92,17,17.14,17.312,17.577,17.771,17.967,18.274,18.452,18.62,18.806,19.011,19.268,19.672,20.038,20.507,20.923,21.199,21.467,21.895,22.308,22.564,22.883,23.213,23.357,23.48,23.879,24.488,25.26,26.33,27.365,28.527,29.702,30.94,31.968,32.731,33.231,33.657,34.201,34.721,35.221,35.767,37.397,37.481,37.731,38.223,38.776,39.555,40.448,41.386,42.534,43.611,44.959,46.149,46.993,48.169,49.2,50.268,50.903,51.739,52.48,53.131,53.933,54.274,54.774,54.98,55.24,55.121,55.138,55.209,55.169,55.546,55.585,55.71,56.093,56.186,56.269,56.261,56.152,56.152,56.132,56.169,56.245,56.392,56.846,57.344,57.9,58.683,59.663,60.65,61.293,62.193,63.081,63.902,64.17,64.389,64.629,64.8,64.852,64.944,65.254,65.226,65.564,65.753,65.993,66.238,66.642,67.563,67.897,68.488,69.217,69.791,70.277,71.148,71.873,72.527,73.43,74.009,74.295,74.585,74.998,75.585,75.771,76.445,76.775,76.946,77.249,77.265,77.383,77.479,77.193,77.231,77.767,78.306,79.04,79.915,80.399,81.153,81.619,82.128,82.897,83.125,83.564,83.947,84.712,85.042,85.432,85.913,86.572,87.377,88.701,91.644,94.064,96.313,97.316,98.962,100.534,103.188,106.166,108.604,110.691,112.81,112.967,113.761,114.999,116.272,117.906,120.456,124.653,126.183,124.24,121.34,119.005,118.579,119.713,121.865,123.192
"24","16","    Power","W028RG3",13.811,13.95,14.144,14.109,14.09,13.984,14.003,13.93,13.897,13.861,13.811,13.882,13.881,13.92,13.809,13.692,13.755,13.746,13.804,13.77,13.734,13.694,13.778,13.845,13.97,14.041,14.076,14.218,14.308,14.308,14.255,14.288,14.378,14.537,14.756,14.918,15.11,15.428,15.637,15.813,15.972,16.127,16.301,16.525,16.777,17.094,17.455,17.85,18.277,18.769,19.211,19.468,19.747,19.999,20.143,20.259,20.532,21.083,21.849,22.749,23.61,24.591,25.598,26.981,28.198,29.059,29.598,30.076,30.613,31.01,31.481,31.912,33.307,33.463,33.743,34.139,34.585,35.265,36.081,36.92,37.904,38.823,39.804,40.758,41.444,42.519,43.494,44.604,45.576,46.491,47.419,48.062,48.773,49.313,49.895,50.335,50.718,50.897,51.108,51.502,51.906,52.288,52.547,52.678,52.776,52.826,52.879,52.88,52.939,52.992,53.006,53.111,53.252,53.473,53.887,54.623,55.877,56.865,57.863,58.689,58.498,59.262,59.917,60.645,61.209,61.404,61.527,61.703,61.829,61.958,62.089,62.155,62.773,62.925,63.147,63.488,64.017,64.712,65.275,66.086,67.06,67.665,68.117,68.955,69.203,69.752,70.278,70.683,70.983,71.018,71.033,71.335,71.665,72.364,72.907,73.463,73.795,73.913,74.03,74.183,74.377,74.713,75.247,76.168,77.069,77.95,78.589,79.31,79.735,80.247,80.679,81.1,81.602,82.228,82.935,83.643,83.809,84.155,84.618,85.341,86.838,90.202,93.083,95.882,98.12,99.717,100.39,101.773,103.439,105.377,107.155,108.5,109.132,110.267,111.747,113.462,116.048,119.917,124.191,126.466,124.881,121.353,118.852,118.053,119.272,121.705,122.99
"25","17","      Electric","B571RG3",13.601,13.77,13.997,13.939,13.934,13.82,13.819,13.706,13.65,13.592,13.538,13.596,13.653,13.709,13.652,13.593,13.649,13.707,13.819,13.874,13.933,13.988,14.156,14.325,14.493,14.606,14.609,14.723,14.728,14.671,14.611,14.661,14.825,15.047,15.383,15.612,15.897,16.24,16.469,16.584,16.698,16.808,16.973,17.194,17.473,17.807,18.204,18.658,19.117,19.631,20.089,20.377,20.659,20.937,21.096,21.252,21.582,22.204,23.064,24.05,25.043,26.142,27.28,28.793,30.059,30.977,31.511,32.005,32.515,32.917,33.433,33.946,35.63,35.581,35.722,36.029,36.462,37.146,37.969,38.907,39.965,41.087,42.309,43.371,44.154,45.171,46.211,47.287,48.28,49.156,49.93,50.695,51.278,51.83,52.423,52.879,53.381,53.599,53.794,54.175,54.607,54.962,55.236,55.38,55.47,55.583,55.741,55.862,56.124,56.271,56.343,56.457,56.466,56.6,56.99,57.745,59.279,60.363,61.252,62.036,62.097,62.594,63.212,63.971,64.846,65.035,65.116,65.217,65.236,65.334,65.436,65.567,66.116,66.35,66.634,67.072,67.78,68.479,68.924,69.708,70.46,71.296,71.72,72.214,72.748,73.515,74.248,74.829,75.064,75.1,75.101,75.439,75.634,76.383,76.982,77.557,78.049,78.092,78.207,78.39,78.38,78.55,79.011,79.892,80.914,81.792,82.459,83.269,83.745,84.308,84.852,85.484,86.312,86.924,87.547,88.158,88.087,88.454,89.098,90.148,91.323,92.989,94.767,96.993,98.363,99.61,100.393,101.693,103.618,105.907,108.087,110.033,111.633,113.462,115.763,118.192,120.578,122.56,125.484,128.019,127.839,125.086,122.046,120.659,121.149,122.498,123.847
