"","Table 5#3#3# Real Private Fixed Investment by Type, Quantity Ind","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65"
"17","10","    Information processing equipment and software","B679RA3",0.143,0.147,0.131,0.146,0.16,0.185,0.203,0.183,0.21,0.243,0.276,0.246,0.269,0.33,0.362,0.402,0.476,0.546,0.648,0.854,0.916,0.975,1.186,1.337,1.426,1.637,1.927,2.212,2.204,2.505,3.037,3.922,4.745,5.541,6.412,6.88,8.011,10.163,11.313,12.237,12.996,14.456,16.464,17.344,18.224,21.031,23.802,26.805,31.454,37.684,46.462,57.034,69.859,82.449,82.091,79.817,85.213,93.228,100,108.31,116.924,123.885
"18","11","      Computers and peripheral equipment \2\","B935RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.001,0.001,0.002,0.003,0.004,0.005,0.008,0.009,0.013,0.02,0.021,0.028,0.028,0.041,0.061,0.121,0.196,0.309,0.482,0.593,0.9,1.472,1.848,2.125,2.67,3.051,3.71,3.667,3.982,5.447,6.981,8.675,13.082,18.89,27.392,39.82,56.577,68.606,70.317,73.717,80.31,89.491,100,123.128,144.893,157.032
"19","12","      Software \3\","B985RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,0.039,0.052,0.072,0.146,0.181,0.232,0.359,0.421,0.473,0.636,0.812,0.863,1.013,1.152,1.347,1.579,1.716,1.788,2.119,2.638,3.113,3.619,4.178,4.925,6.227,7.396,8.274,9.432,11.244,14.489,17.077,19.342,22.724,25.408,27.905,30.695,36.013,46.632,56.345,69.493,79.1,79.669,79.56,85.125,93.861,100,104.185,110.781,117.896
"20","13","      Other \4\","B937RA3",2.108,2.166,1.936,2.143,2.36,2.717,2.991,2.693,3.095,3.583,4.056,3.624,3.943,4.533,4.811,5.133,5.324,5.817,6.579,7.749,7.786,7.99,9.255,9.973,10.092,10.699,12.971,14.349,13.779,15.087,18.149,21.638,24.295,26.136,27.638,27.827,29.248,33.306,34.367,35.769,34.333,36.698,38.347,39.316,39.076,41.448,44.652,48.806,52.529,57.548,62.497,70.36,78.443,94.401,91.512,83.193,87.699,94.229,100,107.209,113.404,118.346
"21","14","    Industrial equipment","B680RA3",28.803,26.644,20.531,23.716,26.628,27.674,30.478,31.419,31.179,34.426,34.858,29.05,29.49,31.797,30.099,31.645,34.185,38.635,45.549,52.383,52.592,51.549,54.973,55.753,51.206,55.212,65.276,70.29,59.598,59.892,63.475,70.624,75.671,72.418,71.267,65.103,59.935,68.594,71.761,71.426,69.649,73.145,78.246,73.721,68.998,70.259,76.223,83.022,91.121,94.502,96.542,100.744,101.365,110.12,102,95.149,94.986,92.321,100,108.304,113.341,109.426
"22","15","    Transportation equipment","B681RA3",15.582,16.217,16.125,17.849,17.145,14.155,16.843,14.749,18.773,16.868,18.026,13.147,17.422,17.947,16.965,20.917,20.248,22.907,28.697,31.56,30.517,36.694,38.16,31.31,33.816,39.285,47.243,42.763,36.84,40.96,49.78,55.017,57.434,46.886,45.592,40.396,45.488,54.185,56.309,54.157,51.497,54.293,48.89,48.628,47.324,48.161,57.096,66.885,72.383,75.291,81.565,89.163,104.723,102.466,93.31,84.861,77.279,89.341,100,108.134,97.625,70.937
"23","16","    Other equipment \5\","B862RA3",18.069,22.054,18.564,19.627,19.722,19.926,19.455,18.316,21.508,22.195,20.965,21.262,22.836,20.968,20.755,22.144,25.742,28.512,31.678,35.621,33.649,34.068,36.37,37.939,37.821,42.863,50.087,49.446,45.783,46.156,51.93,57.204,58.327,52.428,53.842,46.586,44.89,50.835,51.32,50.386,51.803,54.303,60.615,58.317,49.833,49.568,54.266,58.639,61.797,64.151,70.352,77.545,79.588,84.061,83.419,82.796,86.64,91.887,100,103.659,102.872,100.749
"24","17","Residential","B011RA3",15.902,19.027,17.589,24.066,20.146,19.786,20.486,22.184,25.778,23.68,22.231,22.465,28.172,26.167,26.24,28.756,32.145,34.013,33.02,30.065,29.119,33.089,34.066,32.028,40.811,48.064,47.756,37.897,32.977,40.743,49.49,52.606,50.676,39.952,36.749,30.077,42.527,48.839,49.612,55.699,56.811,56.235,54.528,49.823,45.035,51.267,55.454,60.845,58.854,63.554,64.756,69.737,74.098,74.839,75.263,79.21,85.724,94.136,100,92.679,75.49,58.213
"25","18","  Structures","B012RA3",16.307,19.577,18.091,24.794,20.715,20.34,21.053,22.82,26.527,24.283,22.767,22.982,28.873,26.813,26.887,29.485,32.961,34.868,33.757,30.66,29.658,33.664,34.575,32.383,41.398,48.736,48.284,38.065,33.055,41.03,49.964,53.083,50.99,39.956,36.664,29.848,42.525,48.884,49.576,55.714,56.796,56.158,54.402,49.627,44.781,51.115,55.37,60.869,58.82,63.622,64.859,69.852,74.163,74.828,75.226,79.187,85.717,94.116,100,92.54,75.144,57.694
"26","19","    Permanent site","B943RA3",19.149,23.757,22.429,33.001,26.352,24.826,25.641,28.195,33.316,28.843,26.221,26.89,34.25,30.259,30.094,34.32,38.932,41.554,39.733,34.863,33.233,39.051,40.179,36.346,48.977,59.25,58.976,42.671,32.667,42.937,55.402,57.946,54.223,38.093,35.134,27.384,44.747,52.577,51.899,57.933,58.71,56.6,55.203,49.863,42.923,50.055,53.43,59.825,55.881,61.126,61.457,67.292,72.292,72.877,73.305,76.257,83.717,93.407,100,91.267,68.037,45.22
"27","20","      Single family","B944RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.115,31.934,28.233,26.753,28.535,30.469,33.431,32.667,29.092,28.511,31.344,29.76,25.855,35.892,42.663,41.733,32.029,29.244,40.722,52.317,54.039,47.887,31.485,28.646,21.976,38.14,44.257,43.876,50.227,54.257,53.605,52.065,47.319,41.467,50.362,55.152,61.034,55.406,60.53,60.335,66.925,71.857,72.658,72.763,75.582,83.64,93.677,100,90.221,65.487,41.462
"28","21","      Multifamily","B292RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.772,49.879,43.887,55.29,80.402,107.915,107.194,96.351,80.782,70.17,101.373,126.107,123.433,157.088,196.686,202.209,130.199,58.073,56.25,74.578,84.013,102.615,91.871,88.356,72.021,98.614,120.52,117.406,120.888,95.373,81.384,81.179,70.822,54.578,46.382,37.393,48.314,59.885,66.212,71.333,70.535,76.129,74.849,78.09,82.212,84.38,90.931,100,100.655,90.44,77.014
"29","22","    Other structures \6\","B863RA3",11.907,13.154,11.451,12.32,12.114,13.458,14.013,14.587,16.147,17.268,17.426,16.953,20.594,21.45,21.883,22.019,23.765,24.588,24.552,24.18,24.147,25.346,25.921,26.209,29.779,32.659,31.93,31.075,33.696,38.176,41.735,45.753,46.199,43.099,39.268,33.875,39.31,43.424,46.23,52.557,54.116,55.745,53.428,49.498,47.805,52.974,58.575,62.725,63.612,67.746,70.398,74.076,77.294,78.09,78.44,84.041,89.054,95.309,100,94.712,87.353,79.035
"30","23","  Equipment","B013RA3",5.231,5.427,5.089,6.41,5.929,5.897,6.202,6.388,7.273,8.048,8.07,8.572,9.856,9.249,9.277,9.83,10.963,11.75,13.13,13.431,13.773,16.423,18.731,20.393,22.878,27.407,30.841,31.417,29.242,30.768,33.672,36.631,40.133,40.169,40.118,38.561,43.041,47.708,51.468,55.688,57.965,59.927,60.246,58.435,56.15,57.886,59.042,59.428,60.196,59.908,59.402,63.773,70.765,75.752,77.726,80.834,86.316,95.721,100,103.751,103.566,100.478
"31",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","24","  Private fixed investment in structures","A349RA3",20.436,23.285,21.898,27.466,25.165,24.852,26.261,27.925,31.445,31.099,30.014,29.406,33.891,33.499,33.749,36.264,38.903,41.879,43.859,43.051,41.803,44.932,46.716,45.235,51.13,56.904,58.488,50.902,44.861,50.809,57.845,63.378,65.314,59.422,59.724,54.569,59.451,68.037,70.944,71.249,71.094,70.844,70.223,67.332,60.314,63.032,65.864,70.241,70.53,75.563,78.694,83.886,86.934,90.136,89.837,85.954,89.32,95.492,100,97.892,91.802,84.941
"33","25","  Private fixed investment in equipment and software","A327RA3",4.397,4.626,4.06,4.492,4.614,4.483,4.886,4.62,5.253,5.399,5.538,4.747,5.315,5.529,5.425,6.048,6.56,7.391,8.738,10.119,10.056,10.699,11.653,11.554,11.689,13.211,15.62,16.018,14.5,15.404,17.71,20.389,22.172,21.386,22.282,21.128,22.284,26.672,28.372,28.937,29.346,31.539,33.817,33.812,32.936,35.318,39.678,44.354,49.608,54.822,62.283,71.281,81.345,89.836,86.98,83.372,85.523,92.175,100,107.398,110.119,107.265
"34","26","  Private fixed investment in new structures \7\","W040RA3",21.532,25.081,23.722,29.883,27.348,26.908,28.483,30.219,33.916,33.857,32.811,32.244,36.785,36.427,36.799,39.438,42.064,45.347,47.466,46.77,45.4,48.663,50.651,49.027,55.236,61.316,62.913,54.501,47.388,53.441,60.658,66.469,68.723,63.004,63.917,58.629,63.193,72.475,75.353,75.434,75.304,74.564,74.226,71.3,63.364,66.059,69.139,73.652,73.911,78.968,81.837,86.934,89.861,93.161,92.397,87.873,90.684,95.909,100,98.93,93.646,87.575
"35","27","    Nonresidential structures","A771RA3",28.265,30.68,30.048,32.387,35.032,34.879,37.985,39.291,41.533,46.767,46.579,44.024,45.321,48.998,49.85,52.32,52.924,58.291,67.087,71.375,69.348,70.326,74.2,74.587,73.537,75.854,81.926,80.062,71.636,73.417,76.291,87.259,98.45,104.282,112.739,110.843,98.956,112.69,120.627,107.45,104.368,104.953,107.103,108.829,96.817,90.99,90.326,91.883,97.671,103.055,110.157,116.233,116.381,125.413,122.388,101.864,98.022,98.827,100,109.315,125.779,138.574
"36","28","    Residential structures","A756RA3",17.992,21.946,20.302,27.959,23.203,22.646,23.489,25.377,29.63,27.136,25.692,26.103,32.163,29.854,29.989,32.67,36.244,38.466,37.275,34.139,33.107,37.44,38.484,35.886,45.731,53.722,53.028,41.247,34.793,43.163,52.695,55.855,53.54,41.951,38.972,31.764,45.094,52.127,52.439,59.186,60.512,59.128,57.565,52.341,46.465,53.389,58.292,64.23,61.761,66.63,67.378,71.971,76.302,76.71,77.086,80.726,86.933,94.395,100,93.228,75.282,57.592
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2. Annual chain-type quantity indexes for computers and peripheral equipment:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1959, .0000051; 1960, .000062; 1961, .000115; 1962, .00022; 1963, .00070.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Quarterly chain-type quantity indexes for computers and peripheral equipment:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1959:1, .0000008; 1959:2, .0000004; 1959:3, .0000040; 1959:4, .0000152;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","1960:1, .000043;  1960:2, .000049;  1960:3, .000067;  1960:4, .000090;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1961:1, .000090;  1961:2, .000095;  1961:3, .000136;  1961:4, .000137;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","1962:1, .00016;   1962:2, .00015;   1962:3, .00022;   1962:4, .00033;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","1963:1, .00049;   1963:2, .00065;   1963:3, .00078;   1963:4, .00085.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","3. Excludes software ""embedded,'' or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","4. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","5. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","6. Consists primarily of manufactured homes, improvements, dormitories, net purchases",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","of used structures, and brokers' commissions on the sale of residential structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","7. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
