"","Table 5#8#4A# Price Indexes for Gross Government Fixed Investmen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72"
"49","42","  Federal","B872RG3",27.488,26.333,24.912,25.102,23.346,24.35,27.476,25.567,24.972,24.01,24.07,25.202,28.679,25.277,24.709,22.964,21.05,23.165,25.43,26.782,27.476,28.489,30.372,30.787,29.901,30.487,31.535,34.268,36.173,36.558,37.387,37.486,38.033,38.547,38.982,39.269,38.805,39.151,39.976,41.012,42.741,46.053,48.529,63.378,63.285,64.881,68.618,73.609,78.153,82.769,85.654,90.375,97.559,103.839,106.144,107.184,104.963,100.437,96.746,96.338,97.399,99.158,100.974,101.221,103.141,105.286,107.072,106.378,103.521
"50","43","    National defense","B873RG3",21.041,19.576,17.617,17.904,16.367,18.037,19.195,18.581,21.055,21.395,21.339,20.786,23.725,20.229,19.845,18.391,16.878,18.935,21.51,22.868,23.474,24.347,26.055,26.366,25.603,26.173,27.096,29.529,31.179,31.489,32.082,32.09,32.602,32.987,33.27,33.178,33.272,33.563,34.093,34.846,36.449,39.059,41.251,59.229,58.68,59.518,62.677,67.888,72.519,77.916,80.522,85.195,92.371,98.899,101.726,102.97,100.43,95.379,91.265,90.495,91.4,93.148,95.039,95.798,98.098,100.967,103.202,103.479,100.821
"51","44","      Aircraft","B874RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.359,79.365,78.877,81.29,82.406,86.283,90.241,94.533,99.917,105.136,117.856,124.147,124.838,112.485,98.673,84.444,79.082,77.848,83.035,88.769,91.652,95.446,107.012,113.987,119.159,108.441
"52","45","      Missiles","B875RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.776,100.184,100.076,103.016,133.587,148.103,159.31,130.283,115.716,121.464,117.593,123.596,128.817,130.238,122.678,119.376,117.761,115.802,112.542,108.704,107.086,110.504,109.126,106.177,102.577,97.344
"53","46","      Ships","B876RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.219,24.708,27.176,30.071,31.947,35.571,39.813,42.757,47.101,51.131,53.232,54.978,58.507,59.463,60.863,62.065,64.083,66.885,68.615,72.221,73.863,75.245,77.696,82.04,82.238,83.559
"54","47","      Vehicles","B877RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.408,31.256,30.649,32.959,40.112,43.802,47.259,48.81,56.683,77.006,94.211,91.984,83.365,82.565,77.412,83.946,84.557,85.634,87.027,89.169,92.426,96.405,100.279,101.728,103.21,103.382
"55","48","      Electronics and software","B878RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.461,119.295,128.127,135.134,137.597,141.849,140.688,148.005,152.133,159.166,161.959,159.639,155.968,152.387,147.273,144.224,143.693,143.219,142.397,141.887,136.551,136.109,133.572,132.08,126.216,120.698
"56","49","      Other equipment","B879RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.148,17.377,37.392,38.878,41.789,44.007,48.36,51.967,57.042,63.228,68.564,70.313,72.262,73.14,74.058,75.212,77.835,80.997,83.27,84.874,87.042,89.364,90.813,92.126,93.678,94.225
"57","50","    Nondefense","B880RG3",32.642,32.184,32.616,32.42,30.896,31.181,35.525,32.741,29.842,27.864,28.025,31.061,35.437,40.374,34.056,40.122,34.087,33.712,34.455,35.414,36.297,37.561,38.98,40.857,39.809,37.27,37.564,37.234,38.941,40.393,49.042,54.181,53.219,55.573,58.041,63.141,57.665,58.233,61.235,64.322,65.582,72.911,76.062,76.766,78.779,84.155,90.654,92.949,95.782,95.368,99.431,103.544,109.561,113.201,112.115,111.891,112.005,112.034,112.17,114.131,115.902,117.474,118.713,116.7,117.076,116.521,116.704,113.147,109.823
"58","51","  State and local","B881RG3",22.599,22.074,20.607,20.162,19.754,20.368,20.038,19.916,22.007,21.858,21.542,22.134,23.527,25.377,24.944,25.224,25.882,28.702,34.364,37.355,37.539,38.711,42.753,42.989,43.047,43.874,48.032,50.287,48.616,48.124,46.28,46.437,46.513,46.306,46.421,46.63,46.902,47.672,48.866,50.514,52.054,54.309,56.382,57.455,59.286,65.262,73.959,78.487,82.771,88.241,94.724,101.536,109.327,114.346,116.129,116.773,117.519,118.673,119.948,121.475,123.719,125.169,127.321,126.688,126.862,126.934,126.185,123.351,119.031
"59",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","52","  Government enterprise gross fixed investment","A882RG3",4.593,4.463,4.131,3.548,3.767,4.659,4.339,4.753,5.083,5.175,5.012,5.044,5.455,4.985,4.911,5.013,5.835,6.002,6.871,7.676,7.766,7.827,8.499,8.757,8.894,8.883,9.044,9.741,10.188,10.22,10.015,10.004,10.01,15.673,15.85,16.099,12.146,15.639,16.124,15.59,16.585,17.853,19.202,20.432,21.861,25.335,28.866,30.271,31.876,34.248,37.565,41.691,45.418,47.596,48.538,49.358,50.186,51.29,52.44,54.16,55.898,57.592,58.304,58.787,60.265,61.819,63.723,65.005,77.961
"61","53","    Federal","A883RG3",18.583,16.994,14.916,12.708,12.362,14.114,14.152,14.865,16.469,16.499,16.343,16.396,18.278,14.266,13.961,14.157,17.331,19.487,22.35,23.593,23.944,23.711,24.693,25.482,25.158,24.149,23.267,25.069,26.701,25.964,27.449,27.86,27.673,27.963,28.675,30.265,29.772,30.66,31.668,33.134,35.054,38.068,40.019,41.081,43.035,47.096,53.501,56.68,59.788,63.534,68.277,74.802,81.284,85.735,86.685,87.347,88.363,89.592,90.784,92.825,95.847,98.727,100.389,99.202,99.358,100.292,101.934,101.527,100.323
"62","54","      Structures","B884RG3",6.669,6.099,5.346,4.475,4.346,4.956,4.969,5.22,5.783,5.794,5.739,5.758,6.093,6.222,6.377,6.942,6.908,8.095,9.957,10.85,10.916,10.508,11.456,12.115,12.386,12.179,11.988,13.011,13.816,13.505,13.649,13.623,13.696,13.892,14.04,14.241,14.56,15.025,15.612,16.276,17.35,18.489,19.99,21.49,22.846,25.065,29.342,31.566,33.612,36.176,39.466,43.831,47.999,51.398,52.619,53.565,54.615,55.74,56.746,58.511,60.846,63.003,64.47,65.252,66.424,68.721,71.045,72.919,74.2
"63","55","      Equipment and software","B885RG3",42.849,38.784,34.61,34.667,34.743,41.32,42.613,41.455,42.775,37.47,35.323,35.236,46.725,32.268,31.534,31.932,44.236,45.11,44.448,43.903,45.549,47.387,47.076,47.892,46.344,43.343,40.49,43.141,46.171,44.534,50.645,52.695,51.508,51.674,55.44,67.391,56.713,57.975,58.991,62.139,64.972,72.417,73.36,71.319,73.535,80.267,88.425,91.918,95.762,99.94,104.867,112.332,120.368,123.984,123.093,122.004,121.87,122.058,122.334,123.497,126.744,129.953,131.428,127.616,126.38,125.132,125.37,122.327,118.584
"64","56","    State and local","A886RG3",3.589,3.492,3.238,2.784,2.994,3.739,3.46,3.803,4.057,4.135,4,4.026,4.339,4.657,4.676,5.019,5.089,5.183,5.93,6.657,6.733,6.803,7.434,7.658,7.813,7.835,8.01,8.627,9.009,9.064,8.814,8.787,8.801,14.318,14.454,14.603,10.731,14.156,14.591,13.987,14.89,16.01,17.28,18.5,19.867,23.249,26.502,27.742,29.204,31.44,34.604,38.481,41.937,43.903,44.832,45.655,46.461,47.546,48.686,50.358,51.97,53.547,54.173,54.822,56.457,58.064,59.97,61.396,75.734
"65","57","      Structures","B887RG3",4.27,4.153,3.85,3.285,3.561,4.515,4.162,4.593,4.895,4.994,4.828,4.855,5.235,5.618,5.646,6.087,6.166,6.25,7.133,8.023,8.117,8.194,8.95,9.229,9.424,9.443,9.618,10.375,10.881,10.957,10.702,10.678,10.694,10.835,10.94,11.056,11.301,11.7,12.06,12.59,13.419,14.442,15.624,16.786,18.098,21.296,24.188,25.242,26.545,28.578,31.49,35.048,38.164,39.92,40.728,41.445,42.131,43.115,44.184,45.798,47.247,48.707,49.129,49.675,51.255,52.805,54.781,56.267,71.773
"66","58","      Equipment and software","A888RG3",6.435,6.285,5.868,5.741,5.625,5.799,5.706,5.671,6.266,6.224,6.134,6.302,6.699,7.226,7.103,7.182,7.37,8.173,9.777,10.627,10.68,11.013,12.164,12.231,12.247,12.482,13.666,14.307,13.832,13.691,12.174,11.995,12.031,68.44,68.838,69.192,14.725,59.769,61.617,28.556,29.722,31.404,32.684,33.559,34.614,38.001,45.231,49.077,52.376,56.374,61.1,67.232,73.998,78.147,80.391,82.292,84.348,86.33,87.903,89.511,92.628,95.096,98.164,99.926,101.693,103.579,104.564,105.089,103.881
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2. Structures and software include compensation of government employees engaged in new",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","4. Excludes educational structures associated with hospitals, nondefense industrial, other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","buildings, conservation and development, and other nondefense structures, which are included",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","in those categories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","5. Consists primarily of general office buildings, police and fire stations, courthouses,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","auditoriums, garages, and passenger terminals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","6. Excludes highways and streets associated with hospitals, other buildings, and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","nondefense structures, which are included in those categories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","7. Consists primarily of electric and gas facilities, transit systems, and airfields.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","8. Excludes the value of construction for educational facilities built at hospital sites.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","9. Excludes highways and streets associated with other nonbuilding structures, which are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","included in that category.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
