"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"17","10","  Nondurable goods","A356RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.892,22.418,23.704,22.772,22.577,24.452,24.712,24.558,24.5,24.364,24.745,25.479,26.15,26.241,26.548,26.711,26.889,27.119,27.412,27.944,28.864,29.492,30.453,31.728,33.082,33.995,35.007,38.033,41.887,45.089,46.077,47.998,51.29,55.602,58.583,62.855,64.48,66.458,68.128,69.357,70.016,71.978,75.228,78.427,81.908,85.061,86.153,87.281,88.289,89.547,90.886,91.85,92.469,93.707,94.709,97.013,97.195,97.917,100.048,100,101.23,103.744,102.946
"18","11","    Final sales","A334RG3",14.506,13.856,11.832,10.191,10.171,11.266,11.646,11.646,12.007,11.443,11.236,11.345,12.296,14.333,16.053,17.006,17.74,19.032,21.493,22.747,21.921,21.748,23.514,23.83,23.77,23.718,23.606,23.969,24.694,25.36,25.439,25.745,25.902,26.076,26.309,26.602,27.129,28.023,28.646,29.618,30.877,32.206,33.096,34.085,37.051,40.849,44.001,45.029,46.974,50.292,54.549,57.455,61.659,63.426,65.426,67.064,68.47,69.287,71.195,74.647,77.843,81.372,84.558,85.68,86.808,87.828,89.073,90.501,91.569,92.279,93.54,94.599,96.936,97.137,97.919,100.032,100,101.231,103.716,103.097
"19","12","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","13","Services \2\","A341RG3",6.828,6.65,6.242,5.701,5.422,5.436,5.549,5.641,5.821,5.841,5.796,5.808,6.046,6.269,6.529,6.737,7.023,8.139,8.712,9.093,9.315,9.491,9.964,10.273,10.617,10.91,11.241,11.601,12.014,12.395,12.608,12.919,13.177,13.48,13.717,14.047,14.366,14.862,15.433,16.195,17.097,18.199,19.341,20.407,21.518,23.357,25.47,27.271,29.297,31.432,34.018,37.583,41.416,44.553,47.144,49.751,51.92,53.781,55.757,58.087,60.634,63.464,66.172,68.608,70.561,72.431,74.492,76.518,78.645,80.348,82.315,84.957,87.503,89.828,92.93,96.141,100,103.763,107.545,111.432
"21","14","Structures","A755RG3",4.956,4.724,4.279,3.544,3.79,4.183,4.157,4.375,4.71,4.716,4.664,4.734,5.141,5.842,6.31,6.33,6.573,7.319,8.801,9.663,9.701,9.781,10.756,11.064,11.154,11.05,11.225,11.91,12.234,12.124,12.165,12.158,12.151,12.258,12.297,12.436,12.788,13.274,13.713,14.41,15.411,16.319,17.479,18.613,20.212,22.923,25.377,26.61,28.842,31.789,35.352,39.086,43.481,46.452,46.357,47.162,48.298,49.807,51.394,53.289,55.119,56.711,57.596,57.993,59.979,62.07,64.57,66.154,68.19,70.515,73.05,76.205,79.733,82.218,85.502,91.625,100,108.322,113.368,115.5
"22",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Motor vehicle output","A953RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.425,34.464,35.147,36.052,37.811,37.676,37.459,40.075,43.611,47.018,49.937,53.342,57.383,62.066,66.603,69.604,72.172,74.547,76.541,78.067,80.658,80.975,83.825,85.05,87.865,89.918,93.479,97.782,100.268,102.67,103.736,102.319,102.768,102.676,101.704,100.972,98.704,98.99,100,99.687,98.891,96.404
"24","16","  Gross domestic product excluding motor vehicle output","A962RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.731,21.623,22.723,23.947,25.146,26.287,27.823,30.366,33.253,35.134,37.372,39.997,43.337,47.315,51.809,54.993,57.167,59.327,61.131,62.496,64.227,66.518,69.037,71.774,74.313,76.078,77.706,79.268,80.907,82.429,83.913,84.944,86.23,88.18,90.281,91.812,93.943,96.693,100,103.383,106.463,108.86
"25","17","  Final sales of computers \3\","BB01RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14747.772,12405.46,9766.569,8706.661,7891.74,6457.888,5234.335,4403.972,3763.623,3243.613,2997.174,2779.946,2427.695,2173.261,1808.407,1479.465,1291.724,1029.746,737.714,535.683,385.028,283.026,233.92,186.317,152.096,129.561,119.397,100,83.777,70.975,59.633
"26","18","  Gross domestic product excluding final sales of computers","BB00RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.197,41.434,45.326,49.681,52.78,54.986,57.203,59.066,60.495,62.3,64.519,67.035,69.749,72.307,74.161,75.942,77.644,79.452,81.272,83.034,84.306,85.86,87.931,90.157,91.785,93.896,96.635,100,103.4,106.492,108.888
