"","Table 6#1C# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64"
"11","3","  Private industries","3,062.6","3,142.1","3,229.3","3,317.4","3,374.5","3,456.1","3,531.6","3,626.2","3,680.1","3,697.1","3,717.2","3,753.9","3,851.6","3,935.6","3,968.9","3,959.9","3,966.2","4,008.4","4,043.5","4,072.5","4,173.6","4,228.6","4,236.9","4,328.1","4,366.5","4,448.7","4,470.0","4,578.9","4,616.6","4,712.8","4,794.8","4,902.3","4,943.7","4,993.6","5,088.5","5,133.7","5,198.8","5,310.2","5,386.1","5,459.6","5,560.4","5,647.0","5,763.2","5,869.1","5,941.3","6,046.0","6,175.0","6,244.0","6,341.0","6,386.0","6,459.3","6,607.8","6,809.9","6,893.1","6,998.1","7,010.8","7,026.3","7,019.6","6,974.4","6,857.4","6,970.6","7,066.7"
"12","4","    Agriculture, forestry, and fishing","75.8","78.4","79.3","82.2","84.8","78.9","80.1","69.1","87.6","84.2","83.3","87.0","90.0","89.2","89.3","87.5","84.4","84.6","80.6","84.6","88.7","91.5","92.0","90.5","90.2","96.4","84.1","96.8","101.7","95.2","89.6","88.2","85.0","83.9","85.5","93.0","97.5","103.8","105.8","100.3","100.3","100.9","102.6","102.6","98.5","100.4","102.4","108.2","111.4","112.7","110.1","111.0","107.4","111.8","110.6","108.8","109.5","110.7","113.8","110.6","116.8","101.8"
"13","5","    Mining","22.1","27.8","30.6","33.9","34.8","36.3","36.3","36.4","35.4","35.4","36.9","37.1","38.7","41.1","42.2","41.0","41.3","41.2","40.0","38.1","39.9","39.4","39.1","40.4","40.9","39.7","40.3","41.2","43.4","42.9","44.6","44.7","43.1","45.8","47.0","46.7","49.3","50.0","52.0","51.7","56.6","58.1","58.4","59.6","56.5","55.4","53.0","52.1","48.7","48.7","48.1","48.8","56.6","61.2","65.8","67.9","75.2","73.7","68.4","60.8","58.2","57.5"
"14","6","    Construction","198.8","202.3","203.4","207.0","211.7","218.1","221.4","224.2","225.3","224.9","226.4","231.6","234.7","233.6","230.4","223.4","216.8","213.4","215.0","213.2","212.9","216.0","214.3","219.0","221.0","225.0","229.9","237.1","242.6","251.1","256.1","261.4","261.4","263.8","269.7","272.0","279.7","287.3","294.6","299.8","304.1","306.5","309.5","317.0","330.1","343.2","356.1","368.8","381.8","385.7","388.5","401.7","417.3","420.4","423.7","430.0","435.2","441.5","444.1","435.0","439.3","443.1"
"15","7","    Manufacturing","707.9","726.3","755.8","769.0","793.8","809.9","827.2","858.0","859.9","854.1","852.8","847.0","869.8","892.1","880.7","873.3","859.8","859.9","869.6","866.4","869.4","885.2","892.0","897.4","900.2","926.8","926.2","963.2","978.2","990.6","1,013.5","1,041.8","1,047.2","1,052.8","1,067.6","1,066.3","1,053.9","1,072.9","1,079.2","1,089.4","1,091.2","1,107.6","1,133.4","1,145.1","1,131.9","1,137.2","1,153.7","1,158.6","1,165.4","1,173.2","1,186.1","1,197.3","1,264.8","1,259.3","1,261.2","1,217.3","1,162.6","1,157.7","1,133.3","1,075.3","1,092.9","1,123.0"
"16","8","      Durable goods","435.0","436.0","445.7","445.3","460.2","478.9","485.3","500.4","505.5","497.8","493.5","492.4","500.2","506.0","502.5","483.4","472.7","485.9","490.3","489.7","490.2","499.0","501.8","507.8","511.1","529.4","534.7","557.7","569.7","573.9","583.2","602.6","606.3","602.8","609.3","608.9","600.0","615.5","618.4","622.1","623.8","635.6","656.7","659.2","655.6","661.7","672.6","694.0","674.9","679.1","693.2","704.7","746.0","733.6","736.1","701.2","673.6","656.4","634.9","597.0","610.3","628.9"
"17","9","      Nondurable goods","272.9","290.3","310.1","323.8","333.6","331.0","341.9","357.6","354.5","356.3","359.3","354.6","369.6","386.1","378.2","389.8","387.1","374.0","379.4","376.7","379.2","386.2","390.2","389.6","389.1","397.4","391.6","405.5","408.5","416.8","430.3","439.2","440.9","449.9","458.3","457.4","454.0","457.4","460.8","467.3","467.3","472.0","476.8","485.9","476.3","475.5","481.1","464.6","490.6","494.1","492.9","492.6","518.8","525.7","525.0","516.2","489.1","501.4","498.3","478.3","482.6","494.1"
"18","10","    Transportation and public utilities","277.7","289.2","287.3","290.7","291.3","297.8","308.2","316.9","311.6","313.6","312.3","317.6","322.7","333.4","335.6","330.4","343.8","351.8","354.0","354.8","362.3","362.9","365.5","373.8","384.4","390.2","394.6","399.7","408.5","420.8","426.2","437.1","434.1","435.9","445.7","447.0","451.6","462.5","463.6","468.6","463.3","470.8","475.9","484.6","482.9","491.9","507.0","501.9","502.2","499.0","512.9","531.5","521.4","527.2","535.3","538.3","545.2","542.6","535.8","496.1","508.5","516.6"
"19","11","      Transportation","119.8","123.2","123.6","127.0","126.9","131.5","135.8","136.6","133.3","134.2","133.9","133.4","135.4","142.7","139.9","136.7","146.5","147.4","145.1","145.4","152.9","149.8","152.4","156.5","160.6","162.3","163.9","166.0","169.1","175.2","178.7","183.3","182.9","183.6","183.6","185.6","187.8","194.9","199.9","196.2","201.0","203.4","209.6","215.0","218.2","222.1","229.1","229.2","229.2","231.2","234.0","241.7","238.3","247.8","245.1","243.7","240.6","241.3","238.5","226.0","231.0","232.7"
"20","12","      Communications","78.2","81.2","81.9","80.7","80.7","82.3","86.7","89.9","85.4","85.0","83.5","91.7","92.6","94.0","95.2","95.1","96.8","100.2","102.5","101.0","104.2","104.0","104.7","108.0","110.0","116.1","117.4","119.1","123.0","125.7","125.5","130.6","127.4","126.1","132.6","131.6","132.1","135.3","136.7","140.4","130.6","135.8","136.8","138.8","139.4","142.4","147.6","142.0","141.8","140.0","143.5","151.0","143.8","144.8","151.5","157.5","153.5","152.6","150.5","137.1","139.8","138.2"
"21","13","      Electric, gas, and sanitary services","79.8","84.8","81.7","83.0","83.8","84.1","85.7","90.5","92.9","94.4","94.8","92.5","94.6","96.7","100.5","98.7","100.5","104.2","106.3","108.4","105.2","109.1","108.4","109.3","113.8","111.9","113.3","114.6","116.4","119.9","122.0","123.2","123.8","126.2","129.5","129.8","131.7","132.3","127.0","132.1","131.7","131.7","129.6","130.9","125.3","127.5","130.3","130.7","131.2","127.7","135.3","138.8","139.3","134.7","138.7","137.1","151.1","148.7","146.8","132.9","137.6","145.6"
"22","14","    Wholesale trade","213.3","212.7","218.3","219.2","229.6","236.8","240.3","252.1","251.5","255.5","260.1","259.8","263.3","266.6","266.2","267.9","269.9","271.3","272.9","271.9","277.6","283.3","287.5","291.1","282.6","292.2","291.7","295.4","302.8","315.1","314.9","323.2","320.9","321.8","333.4","336.6","345.7","346.9","355.8","370.4","372.0","376.4","386.7","392.0","407.4","416.3","429.5","428.7","440.2","440.2","438.4","458.9","470.4","483.4","490.8","479.7","463.0","457.9","459.8","452.7","457.4","463.9"
"23","15","    Retail trade","322.7","326.9","334.3","336.4","342.5","349.2","353.3","361.9","368.8","369.7","376.6","380.7","385.0","386.2","382.7","387.1","389.5","395.8","395.7","402.3","409.4","412.8","409.4","423.5","420.2","427.5","436.0","440.3","445.3","456.7","464.6","476.3","474.2","479.4","485.0","488.4","497.7","506.7","513.6","520.9","540.1","543.4","556.5","567.3","574.6","580.7","589.5","597.4","611.7","618.8","616.4","630.4","654.4","654.4","664.7","662.7","683.8","683.0","691.8","686.1","695.2","707.5"
"24","16","    Finance, insurance, and real estate","567.5","587.8","611.0","632.6","633.5","641.8","652.4","678.5","694.6","697.3","687.1","687.3","713.3","732.4","753.6","754.6","770.1","783.7","794.4","797.2","843.5","841.7","823.9","856.8","880.1","892.6","895.5","920.4","889.2","923.5","950.7","967.5","987.0","1,004.9","1,028.0","1,033.9","1,055.9","1,085.3","1,101.3","1,109.7","1,156.6","1,183.5","1,210.6","1,237.7","1,263.6","1,300.8","1,329.4","1,344.0","1,355.8","1,354.0","1,388.1","1,419.4","1,471.3","1,502.8","1,540.3","1,571.6","1,595.7","1,567.8","1,542.1","1,578.9","1,613.2","1,640.7"
"25","17","    Services","676.9","690.8","709.4","746.3","752.5","787.2","812.3","829.2","845.4","862.4","881.7","905.8","934.1","961.0","988.1","994.8","990.6","1,006.7","1,021.2","1,043.8","1,069.9","1,095.8","1,113.2","1,135.7","1,146.9","1,158.2","1,171.7","1,184.9","1,204.9","1,216.9","1,234.3","1,262.1","1,290.8","1,305.3","1,326.5","1,349.9","1,367.5","1,394.8","1,420.2","1,448.7","1,476.2","1,499.7","1,529.6","1,563.1","1,595.6","1,620.0","1,654.5","1,684.1","1,723.8","1,753.7","1,770.7","1,808.8","1,846.5","1,872.6","1,905.7","1,934.3","1,956.0","1,984.8","1,985.4","1,961.8","1,989.1","2,012.7"
"26","18","  Government","548.5","556.1","562.0","568.4","586.5","592.7","599.9","607.1","619.0","629.2","640.3","649.3","668.8","678.7","686.2","696.6","716.0","719.0","723.2","729.0","745.8","752.1","755.5","758.4","771.8","774.0","779.0","785.2","795.4","803.3","805.5","807.8","817.1","821.6","826.0","832.1","842.4","846.9","851.7","857.5","872.7","879.1","886.0","892.6","901.8","910.3","919.6","928.6","940.4","947.8","957.6","967.2","991.9","1,007.1","1,011.4","1,018.7","1,042.4","1,055.9","1,069.9","1,080.2","1,101.4","1,111.1"
"27","19","Rest of the world","11.3","14.5","13.8","15.2","20.9","18.6","16.0","18.3","18.1","17.4","20.0","26.0","24.7","25.8","21.1","44.2","32.8","21.6","18.2","26.1","25.0","24.5","21.5","22.6","30.4","23.9","29.6","13.6","20.7","16.6","15.0","14.9","21.4","25.3","11.2","23.4","26.8","17.7","11.5","16.3","7.7","12.0","6.7","1.8","6.7","3.1","-14.3","-9.2","20.0","24.3","17.1","29.6","21.0","25.7","17.7","29.2","9.9","31.1","11.5","35.2","1.9","-20.0"
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","  Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
