"","Table 7#18B# Chain-Type Quantity Indexes for Motor Vehicle Outpu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145"
"11","3","        Truck output \1\","A716RA",19.12,17.79,16.67,17.31,19.44,22.06,21.07,22.63,23.19,22.53,24.71,24.2,21.09,20.38,20.52,15.98,21.73,22.27,23.66,24.82,28.61,30.44,26.95,32.61,36.48,36.08,37.17,37.42,37.89,35.75,37.25,37.72,29.01,28.01,29.57,30.29,33.9,38.01,40.94,38.22,44.73,44.42,48.24,47.95,44.7,49.68,51.34,56.36,57.42,49.48,44.73,39.52,33.79,27.7,27.94,31.46,29.92,31.73,29.58,30.39,31.25,32.34,28.52,26.37,30.17,35.25,39.75,47.17,49.42,50.32,51.12,55.84,54.09,59.45,62.99,63.07,56.69,59.71,58.78,57.44,58.67,61.45,63.16,64.27,63.96,63.37,64.78,70.16,71.34,69.11,68.31,65.97,62.28,66.69,64.34,58.15,49.93,57.13,60.4,59.84,63.13,65.13,66.6,74.86,74.32,73.51,74.92,81.91,87.94,86.66,91.13,93.94,93.79,93.65,94.73,97.27,95.85,100.72,102.31,101.11,106.41,105.35,112.81,120.98,121.94,124.13,117.16,140.95,142.39,139.95,150,147.85,148.9,148.26,139.66,135.13,128.54,132.58,135.8,143.75,147.17,153.18
"12","4","Final sales of domestic product","AB60RA",37.35,40.19,39.18,37.4,43.04,43.2,45.33,45.25,47.06,45.44,45.4,44.63,40.42,41.31,40.84,30.81,43.04,44.41,46.36,50.11,50.32,52.01,52.7,57.66,63.72,61.8,59.81,55.55,51.41,51.46,53.61,45.39,45.8,45.67,51.91,53.76,57.57,58.37,60.62,60.93,68.54,67.96,66.65,66.92,64.73,74.46,71.75,72.9,72.52,64.58,67.5,62.47,59.58,45.09,50.51,51.99,58.17,52.03,56.48,46.75,51.57,49.8,49.16,55.15,53.45,61.34,66.3,71.77,73.46,76.07,74.28,77.24,82.18,82.46,91.1,79.08,80.16,83.35,93.11,83.72,72.88,80.21,88.16,79.49,90.55,89.16,85.69,88.43,86.34,88.44,92.05,81.95,90.09,83.09,82.57,76.9,72.85,72.41,74.62,72.92,76.74,79.4,80.64,86.1,79.15,87.85,87.3,94,98.87,94.3,95.18,96.29,94.11,93.17,97.66,99.23,99.62,99.58,99.46,101.35,101.38,97.24,106.25,108.97,108.33,116.16,109,120.74,116.02,119.32,122.54,122.82,126.13,118.33,118.64,110.12,115.33,115.11,114.8,132.37,117.53,115.98
"13","5","  Personal consumption expenditures","AB61RA",40.72,44.78,43.2,41.77,47.84,48.48,51.6,50.62,51.73,50.35,51,49.8,45.68,46.99,46.53,35.96,49.57,51.09,53.58,57.38,57.45,59.15,60.11,65.34,70.83,67.95,64.82,59.42,54.5,54.09,56.32,45.78,48.16,47.88,55.42,58.32,64.87,64.91,65.29,65.78,72.22,72.12,72.89,73.19,69.54,79.94,76.53,75.69,74.09,66.52,70.12,66.71,66.97,50.55,57.47,58.3,65.13,57.54,62.55,52.64,60.23,59.05,59.76,65.81,63.86,74.08,76.62,82.15,85.94,87.76,86.54,90.26,96.4,97.52,110.34,96.36,98.3,103.7,119.25,107.97,93.06,101.05,110.28,102.05,110.23,107.37,102.46,105.98,105.14,105.81,110.24,99.58,107.96,101.96,99.75,93.34,83.45,82.01,86.6,84.93,89.16,89.61,91.06,93.87,91.54,96.78,97.45,102.64,103.82,101.04,99.96,101.86,99.01,98.96,100.6,99.88,100.66,101.75,99.21,98.38,103.02,97.22,106.81,107.76,107.78,115.45,112.78,124.55,121.87,127.81,129.17,129.64,137.3,131.64,135.69,129.1,136.96,137.98,139.35,161.11,146.8,146.73
"14","6","    New motor vehicles","AB67RA",38.88,43.39,41.32,39.51,47.33,47.78,50.39,49.93,50.7,49.48,49.98,48.63,44.5,45.44,45.3,33.51,49.59,50.61,53.26,57.65,57.74,59.96,60.62,66.58,72.96,69.91,66.1,60.55,54.46,53.73,56.63,44.23,48.2,46.72,55.5,58.7,65.77,65.55,66.34,67.95,74.93,76.06,75.5,75.7,71.97,84.56,80.02,78.98,77.24,68.5,72.06,68.94,68.2,50.24,58.08,58.77,67.19,57.64,64.24,52.71,62.17,61.18,60.78,68.76,66.85,79.96,82.23,88.89,92.51,93.43,89.46,96.17,102.08,102.88,118.74,101.4,104,111.79,131.29,116.34,99.77,109.35,118.05,105.33,117.43,114.63,110.27,114.56,113.39,112.67,120.82,103.38,115.77,108.25,105.1,96.96,83.89,84.67,88.11,87.19,92.33,92.56,94.46,96.77,92.65,98.65,99.31,105.77,104.32,104.45,102.58,105.18,99.73,98.76,98.51,101.62,102.33,100.61,98.03,99.03,100.8,96.49,106.49,108.14,106.58,119.8,112.58,125.92,124.23,130.64,133.91,133.82,143.92,137.22,141.34,132.32,142.16,143.96,146.32,178.16,159.22,156.46
"15","7","      Autos","A136RA",65.25,73.14,69.35,66.32,79.32,79.85,84.2,82.78,83.92,81.91,82.8,80.35,73.78,75.6,75.09,55.1,82.46,83.12,86.52,92.78,92.08,95.14,96.82,105.47,114.01,109.65,102.47,91.91,82.92,81.01,85.33,66,74.07,70.15,83.02,86.84,96.73,95.2,94.46,98.29,106.16,108.14,106.96,103.95,98.34,115.82,109.25,108.42,108.22,97.61,102.93,98.38,103.02,74.57,87.84,90.25,104.65,86.65,97.02,78.72,90.36,89.93,89.44,101.89,97.19,114.06,114.44,123.21,128.43,128.83,122.33,131.11,133.82,135.53,156.33,128.44,138.1,146.3,171.9,153.26,127.44,135.91,150.78,129.58,148.77,142.6,134.51,139.86,136.33,134.4,144.61,118.05,137.31,128.64,126.48,115.71,98.29,98.02,99.99,99.35,106.23,102.71,102.89,105.68,99.65,106.4,108.66,114.25,110.25,110.23,109.07,108.52,100.86,101.14,101.33,104.65,101.87,101.4,97.81,98.92,101.11,94.04,103.78,103.65,103.1,111.47,104.05,113.64,113.47,121.45,125.52,127.48,136.55,131.76,131.96,122.6,129.45,127.57,124.97,145.74,130.4,129.18
"16","8","      Light trucks","B704RA",4.72,4.83,5,4.76,5.9,6.24,6.61,7.42,7.69,7.51,7.49,7.59,6.6,6.39,6.73,5.57,7.04,8.55,10.28,12.29,13.41,14.57,13.89,16.42,20.07,18.71,19.3,20.28,17.89,18.71,19.79,16.33,14.92,16.67,20.2,22.66,26.12,27.65,30.5,29.2,35.16,35.17,35.41,39.9,38.58,44.95,43.02,41.67,37.84,31.38,32.69,31.4,23.49,19.06,19.88,18.29,18.98,20.41,22.16,19.35,26.11,24.36,24.08,26.29,28.04,36.45,41.25,45.23,46.8,48.42,47.71,51.8,61.94,61.56,71.17,67.29,60.83,68.13,79.92,69.61,64.88,76.01,76.74,74.97,77.93,79.53,80.03,82.98,84.89,85.75,91.31,85.5,89.12,83,78.56,73.73,66.09,68.21,73.53,72.26,75.24,80.15,84.21,85.92,84.16,89.23,87.92,95.44,97.15,97.46,94.73,101.15,98.37,95.88,95.1,97.97,102.87,99.66,98.31,99.16,100.44,99.4,109.72,113.47,110.74,129.69,122.69,140.44,136.95,141.52,143.86,141.39,152.71,143.79,152.48,143.82,157.17,163.26,171.41,216.21,193.06,188.48
"17","9","    Net purchases of used autos","B137RA",55.59,56.74,58.36,59.43,54.05,56.04,62.7,58.2,61.64,59.16,60.85,60.47,56.15,60,57.43,54.31,52.64,57.46,59.13,59.62,59.53,58.22,61,62.4,63.38,61.23,61.57,56.64,57.85,59.24,57.93,56.23,50.79,56.5,58.22,59.79,64.25,65.54,64.03,59.54,63.75,58.23,64.94,65.7,62.35,63.23,64.78,64.85,63.88,61.29,65.23,60.13,65.35,55.65,58.27,59.94,59.75,60.83,58.94,55.53,55.41,53.31,58.7,57.04,54.8,54.19,57.83,59.43,64.03,69.2,77.64,70.95,77.94,80.21,82.26,80.34,79.98,76.48,77.52,79.88,70.8,73.46,84.52,91.06,86.27,83.22,76.46,77.43,77.7,82.81,75.32,86.77,81.75,80.98,82.02,81.68,83.11,73.62,82.42,78.02,79.07,80.36,80.27,84.8,88.44,91.17,91.83,93,102.59,90.49,91.96,91.78,96.81,99.54,106.78,94.8,95.83,105.05,102.65,96.48,109.58,99.43,107.77,106.61,111.48,102.06,113.33,120.33,114.61,119.11,114.7,116.88,117.28,114.71,118.54,119.13,121.08,119.79,118.28,110.58,109.88,117.67
"18","10","  Private fixed investment","AB62RA",24.46,24.96,25.39,24.32,28.77,29.39,30.99,32.5,33.52,34,33.74,33.06,29.52,29.22,28.62,22.27,30.15,31.54,34.3,36.98,37.4,38.46,37.25,41.7,46.46,45.77,44.92,42.65,42.59,42.32,42.51,37.3,31.9,31.34,35.42,36.31,38.49,39.99,43.08,42.47,50.11,51.22,49.12,51.06,50.85,57.44,55.36,57.9,57.34,53.45,53.68,47.29,44.41,36.74,39.59,39.75,42.51,41.7,43.87,39.52,41.64,40.37,39.28,39.69,42.69,46.09,51.66,59.04,60.31,63.23,62.45,63.32,64.71,66.52,68.77,65.2,62.86,63.4,65.07,59.21,57.36,62.07,62.41,56.64,63.4,63.25,61.62,64.46,59.26,60.7,58.53,52.81,57.26,56.38,58.45,55.55,54.4,55.88,58.58,57.51,57.77,60.6,60.98,64.99,63.12,70.62,69.84,76.04,83.49,83.68,88.13,93.71,91.46,87.87,90.41,92.94,94.9,97.99,102.89,104.22,104.95,103.52,107.42,110.61,112.53,119.07,109.52,124.32,125.43,125.61,134.05,133.3,134.12,125.67,122.61,111.2,111.31,107.5,103.64,104.88,95.86,100.72
"19","11","    New motor vehicles","AB68RA",24.36,25.55,25.76,24.45,28.34,28.92,30.48,31.82,32.65,33.27,33.28,32.9,29.59,29.97,29.06,21.89,30.28,30.71,33.11,35.3,35.24,36.58,35.83,40.27,44.32,43.71,42.87,40.21,40.76,40.94,41.79,36.64,31.99,31.97,36.24,36.79,38.75,39.9,42.05,41.43,47.92,48.86,47.08,49.06,48.72,54.9,52.89,55.21,55.28,51.53,52.61,46.79,45.06,37.25,40.34,40.47,43.1,41.55,43.89,38.85,40.86,40.02,39.44,39.83,41.5,44.07,48.69,55.32,57.99,61.3,62.25,61.95,64.46,66.22,69.92,63.85,61.93,63.12,65.33,59.16,57.21,61.9,64.69,61.69,65.17,64.89,64.64,66.32,60.94,64.93,62.38,56.22,59.71,58.94,62.19,60.22,58.46,59.97,63.44,61.33,61.19,65.35,65.09,69.45,67.88,76.83,74.11,79.91,86.37,85.84,89.33,94.19,93.01,89.48,93.26,94.03,95.18,99.19,103.54,102.09,105.25,103.55,106.56,108.95,110.39,117.27,107.78,122.47,121.74,121.81,129.02,128.5,130.05,121.29,119.31,110.8,111.71,107.98,104,103.77,96.41,102.26
"20","12","      Autos","B139RA",22.84,25.53,25.4,24.18,27.95,28.36,30.26,30.9,30.78,31.45,31.11,30.3,27.62,29.39,27.62,19.58,31.67,30.48,33.09,33.56,31.74,32.5,33.19,38.46,40.19,40.93,39.69,34.12,35.59,35.66,38.86,33.3,32.03,34,39.87,39.5,41.25,41.79,42.15,43.53,49.19,50.69,48.95,49.54,48.4,55.35,54.19,53.61,53.68,49.3,51.5,44.25,46.94,37.9,42.1,45.25,50.23,45.42,51.28,42.98,44.55,45.85,47.86,48.67,49.11,52.75,58.09,65.02,68.49,72.19,73.92,70.43,73.89,75.48,83.01,67.56,72.77,75.82,79.9,69.65,65.93,69.83,74.59,69.87,76.91,77.36,76.57,76.61,69.3,76.35,73.13,65.16,70.11,70.82,77.52,76.14,75.63,76.86,82.09,76.86,75.37,79.4,76.19,82.18,77.26,89.48,82.6,88.38,96.36,96.8,99.88,102.66,96.92,93.02,97.81,94.8,95.98,102.12,105.1,96.8,104.01,100.95,101.74,99.31,99.79,103.26,91.82,107.28,102.75,104.8,108.02,107.35,111.23,100.98,101.04,100.43,101.55,97.18,93.08,88.51,84.78,90.77
"21","13","      Trucks","B705RA",26.76,25.81,26.49,25.06,29.14,29.98,31.07,33.41,35.62,36.19,36.68,36.88,32.64,31.11,31.39,25.38,28.59,31.33,33.58,38.25,40.55,42.51,39.72,43.08,50.34,47.99,47.7,48.74,48.03,48.37,46.31,41.56,32.68,30.23,32.64,34.29,36.56,38.49,42.8,39.83,47.39,47.72,45.86,49.41,49.96,55.4,52.42,57.99,58.07,54.94,54.8,50.44,43.8,37.21,39.16,36.1,36.37,38.14,36.95,35.11,37.57,34.57,31.45,31.44,34.33,35.86,39.81,46.21,48.09,51.04,51.25,54.07,55.66,57.6,57.55,60.64,51.71,51.08,51.45,49.29,49.09,54.63,55.45,54.18,54.07,53.05,53.36,56.7,53.19,54.16,52.26,47.84,49.91,47.65,47.5,44.94,41.91,43.73,45.45,46.43,47.61,51.92,54.57,57.35,59,64.84,66.1,71.91,76.93,75.48,79.35,86.17,89.32,86.14,88.96,93.28,94.4,96.4,102.04,107.16,106.42,106.02,111.15,118.17,120.53,130.7,123.1,137.06,139.92,138.13,149.11,148.73,148.1,140.7,136.8,120.91,121.61,118.47,114.57,118.41,107.62,113.36
"22","14","        Light trucks","B196RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.65,36.68,37.47,38.29,40.96,39.36,40.97,41.69,37.59,37.78,39.03,35.11,41.29,40.52,40.13,38.96,37.24,40.93,41.86,41.8,42.84,46.04,45.95,48.56,47.67,53.86,53.23,58.69,66.95,64.98,68.13,75.65,75.94,74.11,78.51,83.64,90.97,93.94,102.45,112.65,114.42,114.27,119.71,126.2,127.11,141.08,123.36,139.55,143.7,141.19,155.54,153.74,156.46,149.02,149.83,134.14,139.85,137.12,133.13,140.85,126.81,132.07
"23","15","        Other","B197RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.29,88.69,89.56,84.33,78.97,79.07,76.86,85.19,82.8,85.23,77.42,72.06,66.4,61.34,61.62,56.43,50.92,49.22,52.46,55.38,56.86,63.29,71.19,74.32,80.9,86.03,90.97,97.44,96.1,95.66,100.92,106.32,115.02,109.23,109,111.75,101.02,101.15,101.27,96.56,91.03,90.23,94.82,102.89,107.97,111.06,122.1,131.9,132.41,131.95,136.69,138.87,132.06,124.81,112.36,96.22,87.83,83.97,80.24,77.15,72.21,78.64
"24","16","    Net purchases of used autos","B140RA",23.48,28.1,27.17,24.74,25.86,26.24,27.55,28,27.88,29.2,30.57,31.67,29.58,33.57,31.01,19.65,30.55,26.03,26.58,26.29,23.61,26.33,28.01,32.36,32.78,32.52,31.68,26.94,30.53,33.18,37.59,32.8,31.97,34.63,39.75,38.66,39.48,38.98,36.77,36.03,37.18,37.28,36.94,39.1,38.14,42.33,40.71,41.99,45.21,42.16,47.42,44.53,48.99,40.29,44.67,44.6,46.5,41.29,44.46,36.3,38.01,39.02,40.6,40.9,37.16,36.38,37.31,41.21,49.09,53.86,60.74,56.59,62.85,64.43,73.21,58.08,57.67,61.32,65.66,58.35,56.12,60.71,73.01,80.62,71.49,70.69,75.72,72.9,67,80.63,76.67,68.89,68.43,68.13,76.12,78.06,73.82,75.47,82.05,75.63,73.77,83.46,80.53,86.18,85.81,100.37,90.09,94.28,96.84,93.49,93.28,95.52,98.33,95.1,103.26,97.9,96.24,103.42,105.83,94.52,106.34,103.71,103.47,102.85,102.54,110.67,101.43,115.74,108.12,107.81,110.52,110.86,115.12,105.25,107.2,109.13,112.79,109.35,104.92,99.52,98.1,107.53
