"","Table 7#16B# Implicit Price Deflators for Private Inventories by","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31"
"20","  Food and beverage stores","12","N239RD2",NA,NA,NA,101.37,101.23,100.86,101.4,100.87,101.12,101.47,102.07,103.31,103.29,103.74,104.97,104.57,105.13,105.96,106.25,106.87,108.67,109.52,110.05,109.59,110.32,109.41,109.59,110.19
"21","  General merchandise stores","13","N240RD2",NA,NA,NA,100.1,100.23,100.13,100.22,100.34,100.83,101.04,101.24,101.43,101.26,101.33,101.7,101.82,101.99,102.06,102.18,102.31,102.81,103.02,103.07,102.86,102.59,102.62,102.67,103.13
"22","  Other retail stores","14","N865RD2",NA,NA,NA,100.45,100.5,100.22,100.3,100.17,100.26,100.32,100.21,100.28,100.41,100.84,101.47,101.94,102.62,102.71,102.86,102.97,103.19,103.25,103,102.26,102.61,102.96,103.44,103.84
"23","Other industries","15","N385RD2",NA,NA,NA,100.25,99.17,98.53,98.81,98.08,97.65,97.49,97.25,96.51,95.99,96.85,97.79,98.57,99.75,100.5,100.74,101.03,101.32,101.76,100.95,99.52,99.07,99.71,99.86,100.19
"24","Addenda:",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","  Private inventories","16","A371RD",NA,NA,NA,99.97,99.6,99.06,99.23,98.54,97.65,96.94,95.85,95.21,95.34,96.12,97.09,97.83,99.07,99.41,99.58,100.31,101.07,100.59,99.48,98.04,98.48,98.99,99.28,99.94
"26","    Durable goods industries","17","N241RD2",NA,NA,NA,99.66,99.43,99.03,98.8,98.52,97.81,97.29,96.67,95.94,95.48,95.87,96.38,96.85,97.02,97.09,97.25,97.2,97.16,97.1,97.14,96.49,96.41,96.68,96.58,96.4
"27","    Nondurable goods industries","18","N242RD2",NA,NA,NA,100.29,99.79,99.14,99.71,98.67,97.68,96.77,95.23,94.68,95.4,96.55,97.98,98.99,101.28,101.91,102.09,103.62,105.17,104.28,102.01,99.82,100.74,101.49,102.12,103.57
"28","  Nonfarm industries","19","A373RD",NA,NA,NA,100,99.2,98.66,98.89,98.38,97.5,97.15,96.56,96.02,95.68,96.49,97.59,98.28,99.1,99.66,100.15,100.52,100.89,100.52,99.79,98.34,98.63,99.25,99.81,100.06
"29","  Wholesale trade","20","N379RD2",NA,NA,NA,99.19,98.72,97.95,98.17,97.49,96.32,95.67,94.61,94.11,93.87,94.39,95.28,95.76,96.82,97.11,97.04,96.9,96.54,96.42,95.89,94.34,94.85,95.62,96.8,96.67
"30","    Merchant wholesale trade","21","N802RD2",NA,NA,NA,98.9,98.63,97.91,98.1,97.53,96.49,95.8,94.72,94.3,93.97,94.24,94.95,95.35,96.21,96.38,96.2,96.18,95.88,95.72,95.3,94.12,94.44,95.1,96.23,96.08
"31","      Durable goods industries","22","N803RD2",NA,NA,NA,99.74,99.35,98.94,98.61,98.04,96.94,95.93,94.86,94.09,93.64,93.52,93.64,94.11,94.15,94,93.56,93.01,92.33,92.05,91.66,91.15,91.07,91.49,91.51,91.52
"32","      Nondurable goods industries","23","N804RD2",NA,NA,NA,97.46,97.38,96.14,97.25,96.66,95.73,95.6,94.49,94.68,94.55,95.53,97.29,97.57,99.88,100.64,100.93,101.86,102.23,102.22,101.74,99.45,100.39,101.44,104.27,103.89
"33","    Nonmerchant wholesale trade","24","A805RD",NA,NA,NA,101.02,99.28,98.19,98.59,97.25,95.27,94.86,93.88,92.9,93.27,95.23,97.24,98.28,100.51,101.54,102.17,101.28,100.53,100.75,99.54,95.65,97.39,98.8,100.3,100.26
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35"," 1. Implicit price deflators are as of the end of the quarter and are consistent with the inventory stocks shown in tables 5.12B ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","and 5.13B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","  Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
