"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174"
"11","3","  Foods, feeds, and beverages","B638RA3",17.352,28.096,25.576,29.514,28.708,29.267,31.88,31.458,29.877,28.091,31.767,28.385,30.657,33.651,35.907,39.195,45.257,46.468,42.095,46.675,42.873,41.922,38.283,38.674,44.346,36.868,42.048,47.849,46.646,48.943,48.815,49.763,47.621,48.116,48.587,49.674,52.031,66.328,61.725,59.595,54.396,60.557,66.73,72.566,66.409,71.66,76.934,71.614,75.25,69.757,71.87,75.749,69.316,75.662,66.562,63.391,67.493,64.201,67.795,63.327,63.131,61.241,63.909,67.441,58.85,53.932,52.872,55.646,57.635,52.435,58.617,59.62,54.751,57.508,71.637,60.474,68.717,67.137,66.037,66.629,69.419,71.229,67.97,70.709,75.005,73.561,72.044,67.542,71.271,69.571,76.067,76.766,79.795,79.857,87.475,85.74,85.397,85.749,78.813,81.223,77.762,77.549,85.136,94.19,93.461,93.732,95.698,86.766,92.398,89.232,88.817,93.321,90.675,89.503,89.93,95.929,95.021,89.397,84.573,93.314,87.5,92.388,97.66,95.344,95.404,97.258,104.486,97.465,101.278,102.925,99.681,101.534,101.027,101.509,98.893,95.806,100.332,99.309,102.562,101.804,94.249,87.794,94.113,102.817,99.153,102.096,97.348,101.402,104.464,108.751,110.122,108.477,109.87,112.107,121.846,125.554,128.628,128.892,124.936,117.984,113.12,119.375,117.417,128.176,133.248,125.379,131.119,137.888,134.452,131.895,124.963
"12","4","  Industrial supplies and materials","B639RA3",19.289,27.914,27.08,27.747,28.954,29.116,27.511,28.655,26.764,26.44,28.152,21.919,28.354,25.047,26.762,29.842,31.651,33.309,34.456,35.921,36.232,37.481,33.778,31.775,30.776,29.656,29.942,31.454,31.711,32.122,33.477,34.271,33.006,34.05,34.464,31.166,32.045,36.331,39.361,38.9,39.576,40.188,43.579,44.569,46.346,49.986,48.216,46.028,46.191,43.028,42.825,45.705,45.196,44.001,42.097,41.073,39.755,40.64,41.704,41.907,41.174,42.912,44.043,44.262,43.749,42.255,43.095,44.286,44.22,43.813,45.715,47.375,44.794,46.058,46.363,48.426,50.668,51.025,53.143,54.46,54.614,59.837,59.777,58.516,60.575,60.696,61.299,63.901,65.677,66.17,65.211,66.156,67.131,67.639,66.952,66.414,65.534,64.751,64.421,66.31,65.031,68.002,70.683,70.849,72.343,72.528,75.218,76.105,76.659,76.058,77.709,80.793,81.535,84.961,86.241,85.61,85.51,83.323,82.293,83.503,81.303,83.254,84.278,88.707,90.692,90.805,94.837,94.307,91.824,89.058,87.653,87.279,86.986,90.454,89.805,89.621,91.693,90.362,91.05,92.833,96.259,97.747,97.113,98.568,99.619,102.598,99.966,97.817,104.595,107.973,106.6,110.886,114.789,116.806,119.042,122.633,128.595,135.238,134.888,126.151,114.397,117.131,126.942,130.491,136.011,141.575,141.812,145.603,150.894,148.509,150.278
"13","5","    Durable goods","B686RA3",22.56,31.274,32.506,33.186,35.243,35.754,33.085,31.868,27.603,26.49,24.65,23.658,26.867,25.349,27.333,29.19,33.757,36.826,38.431,38.588,37.698,39.408,32.799,31.217,29.197,29.415,29.201,30.111,29.661,30.312,32.481,32.678,30.265,31.294,30.369,28.832,32.274,37.015,38.117,38.515,40.593,40.918,43.596,46.161,52.794,55.626,49.409,45.648,43.953,42.7,38.398,39.525,37.267,36.976,35.429,34.087,33.607,35.559,36.618,36.608,35.747,36.198,35.408,36.922,35.413,36.554,35.998,35.172,36.713,36.295,36.051,38.715,38.291,40.584,40.113,42.001,45.373,49.239,49.376,52.142,52.995,56.079,56.173,56.264,59.852,58.593,58.416,61.862,61.278,64.087,63.037,61.845,61.675,60.307,61.332,61.082,59.487,57.789,58.442,59.31,58.445,60.451,64.528,65.627,68.226,69.27,72.752,70.466,71.14,73.782,75.752,76.883,78.17,81.376,82.068,83.227,85.708,81.74,80.302,82.545,81.722,83.668,85.377,90.509,96.338,97.676,98.774,99.317,95.487,90.493,86.873,84.953,80.472,85.263,84.736,84.101,85.048,86.532,85.168,86.462,92.692,93.641,92.396,93.164,94.388,98.486,102.372,104.754,107.812,108.802,108.028,113.465,112.516,114.051,116.767,119.616,122.735,133.218,132.164,123.509,105.963,106.008,113.093,118.714,122.968,131.915,129.988,133.692,135.739,136.068,136.092
"14","6","    Nondurable goods","B687RA3",17.79,26.468,24.539,25.207,25.982,25.961,24.897,27.294,26.626,26.712,30.309,21.252,29.454,25.17,26.764,30.528,30.897,31.833,32.752,34.92,35.864,36.883,34.662,32.416,31.942,30.106,30.659,32.503,33.134,33.423,34.366,35.482,34.806,35.868,36.99,32.733,32.275,36.37,40.445,39.528,39.476,40.245,44.048,44.221,43.469,47.572,48.119,46.732,47.873,43.673,45.62,49.45,49.855,48.171,46.059,45.191,43.418,43.752,44.831,45.149,44.476,46.909,49.058,48.598,48.601,45.705,47.291,49.574,48.624,48.225,51.384,52.447,48.618,49.316,50.056,52.226,53.83,52.19,55.45,55.934,55.682,62.154,62.005,59.947,61.124,62.049,63.114,65.256,68.349,67.525,66.622,68.84,70.505,72.167,70.41,69.687,69.274,69.108,68.102,70.675,69.112,72.713,74.466,74.04,74.856,74.532,76.76,79.568,80.058,77.467,78.932,83.199,83.616,87.178,88.811,87.092,85.425,84.316,83.537,84.108,81.058,83.022,83.637,87.654,87.412,86.83,92.517,91.399,89.686,88.174,88.033,88.559,90.779,93.429,92.699,92.774,95.493,92.571,94.432,96.5,98.305,100.104,99.822,101.666,102.599,104.91,98.593,93.898,102.753,107.503,105.767,109.364,116.185,118.457,120.385,124.377,131.905,136.512,136.502,127.714,119.099,123.338,134.668,137.042,143.275,146.985,148.396,152.243,159.238,155.48,158.115
"15","7","  Capital goods, except automotive","B640RA3",3.803,4.435,4.463,4.451,4.557,4.774,4.846,5.019,4.927,4.952,5.341,4.823,5.351,5.297,5.509,5.786,6.403,6.775,7.194,7.497,7.987,8.73,8.684,9.392,9.119,8.919,8.639,8.654,8.637,8.773,8.727,8.716,8.551,8.726,8.629,8.382,8.724,9.504,10.1,10.808,11.342,11.239,11.608,12.809,13.361,14.007,13.561,13.921,13.807,14.365,13.401,13.491,12.784,12.696,12.016,11.198,11.51,11.584,11.521,12.335,12.243,12.759,13.078,13.929,14.107,14.498,13.923,14.625,14.965,15.615,15.548,16.228,16.128,17.09,18.665,20.126,21.579,22.582,22.844,24.549,24.58,26.587,27.726,27.296,30.362,30.595,31.11,30.782,31.326,33.4,34.401,35.321,36.288,35.688,37.165,38.108,38.133,38.624,38.951,41.201,42.869,43.946,46.683,47.549,49.574,52.657,55.434,58.071,59.647,61.206,61.89,67.292,71.444,76.201,79.642,79.212,79.641,77.719,79.474,82.691,81.368,81.407,85.765,88.662,89.887,97.159,101.608,99.927,98.735,90.003,82.393,79.036,78.119,80.713,81.883,79.066,78.42,78.592,81.871,88.477,90.089,91.244,92.269,92.791,95.32,99.773,99.643,105.264,109.243,111.944,111.609,114.944,116.317,118.199,123.175,126.199,127.98,131.957,132.246,120.713,110.16,105.808,107.662,114.212,117.653,123.007,127.584,130.786,132.346,137.265,140.658
"16","8","    Civilian aircraft, engines, and parts","B688RA3",15.786,10.74,12.393,15.009,15.702,18.15,13.485,14.441,19.134,18.92,17.596,18.573,17.565,15.159,15.415,15.579,18.763,21.378,22.534,21.704,26.848,28.606,23.112,32.304,28.547,24.926,25.318,19.501,19.144,24.442,22.961,21.207,14.392,20.111,15.772,18.563,30.437,37.392,44.652,54.957,54.484,50.912,58.404,56.479,60.909,66.063,62.774,71.948,59.851,69.61,53.25,53.394,46.984,42.38,34.286,32.767,48.136,46.266,31.005,39.127,34.962,37.444,32.572,41.03,45.545,49.505,43.648,51.09,51.349,51.999,54.075,55.844,55.958,49.957,62.219,62.724,67.575,79.538,66.493,76.327,78.473,87.453,104.649,81.383,102.017,100.882,104.389,91.863,91.454,102.526,110.1,114.876,119.292,95.618,102.459,101.156,91.164,89.721,81.796,91.321,91.203,78.861,84.278,75.678,63.408,71.801,67.021,62.727,64.944,74.531,72.923,87.881,93.563,99.427,100.738,96.256,112.798,111.425,131.105,143.194,129.792,113.923,119.552,118.753,97.972,113.046,104.832,101.841,117.681,112.98,103.784,97.942,99.895,101.491,106.884,95.046,90.213,84.901,87.744,98.601,89.094,83.744,86.266,85.222,93.745,107.764,95.497,102.994,108.922,110.377,107.855,116.255,114.78,114.224,124.664,126.635,121.571,122.863,123.027,96.938,116.985,111.049,106.845,112.309,103.58,101.804,107.689,106.021,103.464,108.214,119.252
"17","9","    Computers, peripherals, and parts","B850RA3",0.017,0.019,0.023,0.025,0.03,0.035,0.04,0.044,0.043,0.043,0.043,0.047,0.052,0.052,0.054,0.058,0.064,0.072,0.08,0.091,0.107,0.124,0.127,0.141,0.136,0.134,0.138,0.145,0.158,0.179,0.194,0.208,0.239,0.249,0.284,0.306,0.333,0.389,0.446,0.51,0.564,0.589,0.658,0.779,0.9,1.02,1.189,1.293,1.332,1.338,1.379,1.411,1.386,1.523,1.541,1.636,1.854,2.072,2.35,2.606,2.858,3.297,3.867,4.154,4.289,4.407,4.355,4.519,4.876,5.251,5.629,6.115,6.376,7.257,8.173,8.993,9.749,10.143,10.67,11.453,10.208,11.53,12.002,12.551,13.714,13.61,14.326,14.298,15.505,16.062,16.632,17.247,17.601,19.532,20.432,21.472,21.762,22.183,23.531,24.961,26.287,27.541,29.33,31.866,33.834,35.649,39.91,44.299,48.391,48.962,50.627,53.906,60.608,66.33,69.817,68.204,66.217,67.52,69.485,73.149,73.253,77.404,81.118,82.951,89.119,98.06,104.601,101.642,99.028,88.668,82.548,77.746,73.279,75.83,74.675,76.929,76.486,75.476,81.306,85.658,84.107,84.458,87.789,90.601,94.194,100.167,102.174,103.466,107.857,110.178,107.427,112.202,115.514,111.148,113.539,112.92,115.664,125.392,126.222,109.379,106.461,104.814,111.676,116.439,122.765,128.707,134.062,138.423,145.241,152.905,158.96
"18","10","    Other","B689RA3",6.491,8.136,7.983,7.704,7.774,7.934,8.283,8.5,8.008,8.076,8.979,7.76,8.823,8.886,9.263,9.746,10.689,11.133,11.772,12.292,12.727,13.881,14.141,14.783,14.544,14.403,13.82,14.138,14.039,13.846,13.758,13.767,13.719,13.631,13.557,12.826,12.579,13.325,13.71,14.085,14.885,14.849,14.798,16.705,17.031,17.506,16.583,16.401,16.929,17.24,16.606,16.686,15.959,15.889,15.274,13.86,12.958,12.905,13.541,13.941,13.79,13.931,14.187,14.606,14.421,14.616,14.237,14.571,14.754,15.382,14.781,15.283,14.926,16.22,16.915,18.476,19.713,19.949,21.065,22.239,22.868,24.22,24.114,25.206,27.138,27.642,27.685,28.44,28.669,30.317,30.72,31.254,32,32.769,33.759,34.831,35.884,36.597,37.448,39.029,40.926,43.46,46.072,47.444,51.18,53.907,57.07,59.978,60.651,61.389,62.1,66.579,69.647,73.846,77.526,78.055,76.592,73.81,72.645,74.288,74.569,76.254,80.503,84.223,88.066,93.624,99.808,98.651,94.742,85.667,78.073,75.48,74.73,77.506,78.321,76.271,76.408,77.895,80.762,86.932,91.452,94.108,94.369,94.793,95.853,97.974,100.106,106.068,109.543,112.591,113.162,115.135,116.868,120.307,124.388,128.206,131.465,135.224,135.462,128.36,108.894,104.614,107.401,114.49,120.757,127.929,132.056,136.429,138.448,143.055,143.974
"19","11","  Automotive vehicles, engines, and parts","B641RA3",18.055,19.874,19.67,20.178,17.882,21.223,19.553,17.323,21.11,22.222,22.454,20.341,22.291,23.502,24.801,26.063,27.619,28.969,27.549,29.355,30.463,30.728,32.302,33.088,30.157,33.385,34.218,35.523,34.332,35.226,34.903,34.889,34.92,37.01,33.935,34.511,33.268,37.22,34.613,39.012,36.994,35.817,34.685,37.523,32.754,29.556,28.181,31.641,29.504,32.118,31.378,27.732,25.147,26.977,25.353,21.46,22.674,25.081,25.513,29.09,29.31,28.775,31.729,30.968,31.019,32.811,34.618,32.997,31.504,33.771,31.543,32.449,32.8,33.992,33.65,38.895,40.539,40.867,41.597,42.374,45.61,40.452,40.563,43.382,43.638,43.716,42.267,40.626,42.417,44.282,48.855,47.026,49.038,51.442,53.893,56.125,56.445,56.927,54.921,61.198,59.531,62.312,64.564,67.271,69.302,64.827,66.996,66.251,66.811,67.655,72.562,70.22,74.824,77.581,80.996,80.425,81.977,76.556,71.74,79.281,77.882,79.348,80.56,81.517,88.083,84.422,83.194,82.437,77.211,80.439,80.147,78.548,78.452,84.679,84.116,82.142,82.721,85.002,81.09,85.258,86.567,90.233,94.574,95.354,96.851,97.191,100.307,105.651,107.725,106.149,106.719,110.154,114.35,121.512,123.078,122.473,120.444,124.077,127.567,104.238,67.204,66.159,86.525,98.929,104.043,108.121,110.403,112.057,123.632,123.334,131.19
"20","12","  Consumer goods, except automotive","B642RA3",6.513,7.702,7.42,7.048,7.588,7.071,7.529,8.219,7.344,7.426,8.715,7.012,9.053,8.272,9.187,9.146,10.072,10.992,11.085,11.321,13.457,14.354,13.439,12.841,11.849,11.512,12.912,13.569,13.477,13.866,13.985,14.878,14.466,14.727,16.304,15.31,16.01,18.357,17.494,18.347,17.633,17.967,18.058,20.155,25.939,21.799,20.429,21.286,21.83,22.363,21.288,20.265,18.973,20.184,19.809,18.217,17.808,17.486,17.29,18.006,17.351,17.597,17.464,17.818,17.286,17.067,16.46,17.347,17.525,18.528,19.026,20.308,19.979,22.121,22.597,23.985,25.381,28.088,28.856,30.965,33.859,37.178,36.181,38.033,40.349,43.399,43.498,43.169,44.861,43.276,43.791,44.645,45.886,47.049,48.538,48.678,48.597,49.398,50.896,50.881,50.994,53.521,56.298,57.461,56.742,57.309,58.644,58.673,60.149,60.967,61.638,64.001,66.04,68.537,68.496,69.101,68.667,70.389,71.019,70.338,69.887,70.462,71.853,74.687,77.331,78.307,80.756,79.175,82.073,81.262,75.403,74.254,73.577,75.24,76.092,75.535,77.106,77.858,80.618,82.819,86.007,90.295,91.168,94.715,96.879,99.024,100.678,103.419,107.055,109.037,110.396,115.736,119.563,121.014,123.844,125.37,130.333,135.043,137.164,127.317,119.493,119.608,123,129.715,132.442,131.27,134.191,140.066,136.23,141.14,141.687
