"","Table 7#2#6B# Real Motor Vehicle Output, Chained Dollars        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"32","25","    Exports","AB69RX1",27.4,28.6,30.1,28.7,27.6,28,27.1,30.4,33.5,37.1,44,48.8,59.9,63.7,38.7,52.8
"33","26","      Autos","B142RX1",13.3,13.7,13.4,12.9,12.6,12.8,13.8,15.4,16.1,16.6,20.4,23.8,31.3,36.6,20.4,27.2
"34","27","      Trucks","B706RX1",14,14.9,16.8,15.8,15.1,15.2,13.3,15,17.3,20.5,23.6,25,28.5,27.1,18.3,25.5
"35","28","    Imports","AB70RX1",83.8,86,94.5,100.4,122.6,133.9,131.1,138,137.7,144.6,146.1,159.2,155,137.2,89.9,125.8
"36","29","      Autos","B143RX1",51.9,48.2,53.5,55.7,66,72,70.2,74.6,72,72.1,69.6,77,75.8,75.3,53.4,71.7
"37","30","      Trucks","B707RX1",31.5,37.7,40.8,44.6,56.6,61.9,60.9,63.4,65.7,72.4,76.5,82.2,79.3,61.9,36.6,54.1
"38","31","Change in private inventories","AB65RX1",7.2,-2.4,4.6,0.5,12,10.8,-13.7,13,8,4.5,-3.6,-3.7,-7.9,-9.7,-26.2,9.7
"39","32","  Autos","A145RX1",3.4,-3.1,1.6,3.1,2.3,3.9,-3.8,7.2,-1.3,-0.9,-2.2,1,-4.8,4,-11,1
"40","33","    New","B146RX1",2.5,-5.3,0.5,2.5,1.1,1.2,-6.5,7.7,-1.3,-1.4,-1.2,2.6,-3.7,6.2,-12.3,2.7
"41","34","      Domestic","AB71RX1",3.1,-3.6,0.3,1.5,-0.1,0.7,-7,6.5,-1.1,-0.4,-0.7,1.4,-2.9,4.1,-9.1,1.9
"42","35","      Foreign","AB72RX1",-0.7,-1.7,0.2,1,1.3,0.5,0.7,1.2,-0.2,-1,-0.5,1.2,-0.8,2.1,-3.2,0.9
"43","36","    Used","B147RX1",0.9,1.8,1.1,0.7,1.1,2.6,2.2,-0.2,0.1,0.5,-1,-1.6,-1.1,-2.4,1.8,-1.8
"44","37","  Trucks","B709RX1",3.9,1.3,3.1,-3.2,10.2,7.1,-10.1,5.8,9.2,5.4,-1.4,-4.7,-3.1,-13.9,-15.2,8.7
"45","38","    New","W244RX1",4.2,-0.8,4.2,-3,10,5.3,-12.6,6.2,9,4.8,0,-2.7,-2.8,-13.3,-16.3,10.1
"46","39","      Domestic","AB73RX1",4.8,-1,3.5,-2.9,9.6,4.3,-12.2,4.7,9,4.9,-0.6,-3.5,-2.1,-14.4,-12.7,8.9
"47","40","      Foreign","AB74RX1",-0.3,0.1,0.6,-0.1,0.5,0.9,-0.5,1.5,0.1,-0.1,0.6,0.8,-0.7,1,-3.6,1.3
"48","41","    Used \1\","W245RX1",0.1,1.5,-0.6,-0.3,0.7,1.7,1.5,-0.2,0.2,0.5,-1.5,-2,-0.3,-0.5,1.3,-1.4
"49","42","Residual","A974RX1",-4,-2.3,-3.5,-2.8,-4.1,-1.2,2.4,0.2,0.3,0.1,0.1,0,-0.4,0.5,-0.8,-1
"50",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","  Final sales of motor vehicles to domestic purchasers","AB75RX1",329.8,345,369,405.3,448.5,454.5,460.5,477.2,483.5,506,524.7,528.3,516.9,420.1,331.8,387.4
"52","44","  Private fixed investment in new autos and new light trucks","AB76RX1",108.2,124.5,137.1,146.9,165,165.6,156.5,154.9,149.1,162.3,176.6,190.3,191.6,153.4,102,140.2
"53","45","  Domestic output of new autos \2\","B148RX1",110.5,107.5,106.8,107.2,111.5,113.6,105.6,109.7,97.1,97.1,107.8,108.3,104.8,100.1,59.1,75.9
"54","46","  Sales of imported new autos \3\","B149RX1",54.3,52.8,57.4,64.6,75,80,78.3,84.4,82.7,85.2,86.4,95.3,99.3,88.8,74.1,83
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2. Consists of final sales and change in private inventories of new autos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","3. Consists of sales of imported new autos in personal consumption expenditures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","in private fixed investment, and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Note. Chained (2005) dollar series are calculated as the product of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","chain-type quantity index and the 2005 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","series, divided by 100. Because the formula for the chain-type quantity indexes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","uses weights of more than one period, the corresponding chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","are usually not additive. The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","line and the sum of the most detailed lines, excluding the lines in the addenda.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
