"","Table 2#4#3U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"877","43","            Prerecorded and blank audio discs/tapes/digital files/downloads","DRTDRA3",87.151,83.268,83.969,83.589,85.188,87.808,90.523,93.727,92.88,92.696,94.804,92.094,93.526,94.481,95.156,96.888,99.753,98.05,97.444,99.572,99.712,99.341,100.255,99.255,100.8,101.257,103.221,106.226,105.174,104.785,107.131,105.25,106.983,107.702,108.248,112.513,112.125,111.675,110.21,111.995,113.145,113.313,116.283,116.62,116.274,115.874,115.692,116.953,114.565,117.079,116.117,116.583,116.878,119.507,120.848,119.713,123.47,123.33,119.974,122.085,120.99,122.374,123.923,125.03,123.6,122.107,122.249,121.658,122.554,121.84,119.419,118.586,120.621,119.962,120.285,117.43,118.27,116.982,117.491,116.597,115.465,117.025,116.608,118.689,120.223,118.867,119.786,121.444,118.833,120.655,121.666,114.385,112.915,114.284,113.166,111.983,110.078,110.019,108.469,106.202,103.335,106.628,103.971,103.607,102.273,101.974,102.137,106.807,106.518,106.248,102.623,102.182,102.941,101.661,101.006,102.787,104.516,102.613,103.687,102.731,101.631,101.804,102.014,100.568,100.073,99.89,99.806,98.547,97.022,99.034,99.142,100.47,100.24,99.093,99.909,99.997,98.688,96.772,96.663,97.463,96.995,94.907,94.769,97.406,96.435,95.096,95.295,95.049,95.116,94.84,94.741,94.319,94.257,95.558,97.536,96.459,95.861,94.111,95.085,97.758,102.151,100.81,100.242,96.878,96.066,96.44,95.328,91.441,96.583,97.961,97.27,95.882,94.346,95.813,96.402,95.338,99.086,97.896,99.221,102.394,103.917,103.986,104.044,102.564,103.857,106.112,105.654,106.448,108.066,107.348,111.155,111.476,114.548,113.779,113.887,115.251,115.236,116.768,117.996,119.755,119.206,123.314,122.813,123.214,122.797,123.789,124.834,126.177,127.17,128.458,131.07,131.194,132.134,128.544,131.834,133.142
"878","44","            Video cassettes and discs, blank and prerecorded","DOVERA3",17.535,16.968,17.308,17.065,17.444,18.207,18.257,18.551,18.702,18.595,18.999,19.121,19.355,19.228,19.422,19.315,19.776,19.721,19.718,19.589,20.165,20.078,19.462,19.513,19.485,19.86,19.86,20.352,20.306,20.713,21.201,21.318,21.265,21.345,21.651,21.835,23.566,24.638,25.661,27.487,29.501,31.602,33.672,35.216,35.684,36.434,37.627,39.48,39.882,40.561,41.365,42.729,43.102,44.387,45.892,47.654,50.297,51.617,52.276,54.138,55.588,57.67,58.777,60.83,58.31,56.952,58.662,59.602,61.362,61.812,61.811,61.583,64.049,66.44,67.935,65.436,66.097,67.944,69.543,70.178,71.205,73.577,79.398,83.626,81.548,81.68,82.166,83.151,85.045,84.427,83.603,84.507,84.137,83.865,82.408,82.966,82.421,82.203,81.693,82.117,81.39,84.305,84.056,86.087,85.06,85.587,87.407,88.511,88.726,89.366,88.413,89.537,90.14,90.889,90.612,93.244,93.594,92.566,95.35,95.384,96.576,99.249,99.766,98.844,98.947,97.292,97.507,99.48,99.645,103.139,102.753,106.802,111.158,105.665,106.843,107.257,108.06,107.736,106.276,105.801,106.968,105.88,104.679,108.837,109.041,111.088,108.47,109.654,107.783,109.169,113.214,114.099,111.149,112.835,115.237,111.764,111.646,110.636,109.654,110.194,117.187,114.86,112.473,112.076,109.62,108.553,107.849,101.904,116.496,114.573,108.564,103.471,102.472,101.525,101.551,100.954,105.647,102.776,104.922,105.29,105.887,107.687,104.784,102.781,105.647,109.994,108.827,106.098,109.77,108.489,111.95,112.128,114.043,113.695,111.607,113.161,110.032,111.325,111.212,112.582,112.436,111.313,109.097,111.75,112.701,115.482,114.954,112.91,113.864,114.637,118.929,116.709,117.951,116.35,118.176,120.239
"879","45","        Photographic equipment","DCAMRA3",33.571,32.804,33.306,33.163,33.73,33.749,33.644,33.256,34.11,33.713,34.295,34.506,34.109,34.627,35.027,35.211,35.385,35.525,36.385,36.092,35.694,36.262,36.146,36.686,37.208,37.275,37.274,36.827,37.14,37.467,38.303,38.503,37.849,37.397,37.778,38.018,38.729,39.076,38.953,39.489,39.469,39.747,39.969,40.224,40.632,41.399,42.087,42.945,42.808,42.703,42.767,42.674,43.227,43.766,43.418,44.317,44.717,44.997,46.165,48.655,44.702,44.661,45.57,45.931,45.902,46.659,47.536,47.877,48.831,49.509,51.455,53.286,49.271,49.536,50.522,48.15,49.284,48.72,50.279,48.985,48.005,49.991,47.992,51.224,52.166,52.721,51.458,52.471,51.497,52.036,51.438,52.577,55.856,52.825,53.418,55.478,55.657,57.175,57.791,59.449,62.745,62.15,64.366,65.493,66.486,68.767,67.67,70.478,70.859,72.599,74.69,77.083,78.173,79.825,81.7,81.977,84.473,85.936,87.929,88.863,89.763,92.858,96.39,95.593,95.968,99.979,100.451,103.032,102.949,107.667,106.838,108.511,112.95,115.723,113.691,118.258,118.611,121.548,124.822,129.249,136.757,137.708,145.219,151.845,155.642,160.103,163.775,167.443,171.85,175.626,179.085,179.444,183.362,187.203,194.251,194.757,202.08,199.329,202.792,209.554,218.163,215.09,212.948,195.155,181.517,168.881,158.031,142.867,157.226,161.939,168.67,175.444,180.579,185.923,184.502,192.302,198.287,196.077,200.154,194.096,197.84,200.872,199.178,196.865,196.062,197.354,198.681,200.285,206.944,214.93,208.751,208.268,216.772,219.477,218.452,209.76,210.155,216.074,219.07,220.696,227.562,224.446,223.068,215.446,228.036,227.946,228.442,224.189,231.548,229.432,234.055,231.877,235.117,234.904,235.17,237.075
"880","46","        Information processing equipment","DIPERA3",2.426,2.514,2.599,2.599,2.788,2.977,2.955,3.222,3.392,3.524,3.73,3.897,3.891,4.17,4.404,4.707,4.891,5.108,5.254,5.378,5.681,5.8,6.01,6.432,6.642,7.037,7.496,7.797,8.13,8.521,8.817,9.201,9.637,9.865,10.207,10.483,10.875,11.533,11.769,11.923,12.414,12.809,13.872,14.572,15.111,15.576,16.287,16.482,17.271,17.766,18.276,18.713,19.301,19.708,20.032,20.927,21.64,21.907,22.175,22.855,23.695,24.161,25.017,25.884,25.477,26.032,26.697,27.27,28.211,28.3,28.507,29.252,29.144,29.637,30.617,30.834,31.682,32.562,33.099,34.466,33.605,35.392,36.695,37.648,38.824,40.06,41.01,41.405,42.054,42.68,43.149,43.874,44.98,46.267,47.512,48.196,48.723,50.603,51.22,52.829,55.989,58.361,60.644,63.646,65.804,66.427,67.871,69.744,70.975,71.904,73.271,73.831,75.742,77.352,79.204,79.873,81.47,83.769,85.768,87.203,88.791,91.453,93.347,94.936,96.764,99.239,101.116,103.899,105.074,107.711,108.128,109.541,115.385,114.792,118.222,120.096,122.759,124.973,125.522,129.642,132.283,134.413,139.753,144.353,144.927,146.617,148.633,151.403,153.338,155.95,161.336,163.399,163.617,165.403,171.12,170.863,166.624,163.919,165.987,170.082,171.198,171.227,172.733,171.007,171.65,170.054,170.139,169.704,173.317,174.343,170.333,170.257,170.997,173.938,176.763,179.953,183.812,183.141,191.539,193.489,197.813,200.735,201.653,206.134,211.031,218.095,219.076,220.35,221.798,220.063,221.703,227.436,231.016,231.005,235.041,236.534,238.067,237.412,240.018,242.218,242.42,257.109,255.453,248.488,256.863,259.805,264.569,265.807,265.824,265.709,271.326,275.725,286.474,284.119,292.315,295.071
"881","47","          Personal computers and peripheral equipment","DCPPRA3",2.002,2.081,2.155,2.152,2.313,2.481,2.454,2.687,2.832,2.951,3.125,3.274,3.271,3.508,3.72,3.984,4.145,4.332,4.454,4.57,4.842,4.94,5.11,5.478,5.677,6.023,6.408,6.68,6.981,7.316,7.596,7.937,8.294,8.511,8.826,9.06,9.38,10.056,10.332,10.494,10.965,11.393,12.562,13.297,13.862,14.239,14.886,15.147,15.958,16.478,17.129,17.533,18.106,18.53,19.12,20.128,20.898,21.359,21.593,22.211,23.033,23.649,24.515,25.617,25.123,25.733,26.523,27.216,28.284,28.176,28.482,29.289,29.388,30.196,31.484,31.863,33.037,34.07,34.819,36.747,36.205,38.057,39.994,41.194,42.185,43.93,45.34,45.804,46.159,47.129,47.491,48.492,49.972,51.76,53.493,54.597,54.641,56.207,56.032,57.177,60.322,62.564,64.394,67.028,69.2,68.898,69.646,71.348,72.14,72.835,73.951,74.163,75.881,77.201,79.106,79.939,80.909,83.841,86.49,88.217,89.132,91.998,93.24,94.172,95.848,98.487,100.58,104.321,104.97,107.575,108.775,110.902,116.652,115.237,118.346,120.127,123.275,125.26,125.513,127.837,130.246,131.675,135.635,138.645,139.247,140.683,141.5,142.665,145.002,147.57,151.823,152.429,154.459,158.601,168.143,166.506,164.119,162.522,165.651,173.066,175.641,176.08,178.972,178.098,180.279,179.731,178.984,178.766,185.234,188.062,184.909,186.209,187.099,190.004,196.168,201.543,203.574,204.143,212.734,213.113,216.848,220.298,220.009,221.564,226.38,230.297,228.095,230.68,234.257,234.659,238.128,245.145,255.078,256.408,262.269,266.345,268.6,272.362,277.423,285.283,287.214,304.785,305.091,305.285,306.521,308.619,315.299,319.164,318.96,314.495,323.292,327.129,340.218,338.936,354.024,360.411
"882","48","          Computer software and accessories","DCPSRA3",3.742,3.867,4.002,4.018,4.31,4.578,4.592,4.994,5.274,5.464,5.817,6.051,6.068,6.528,6.855,7.324,7.601,7.973,8.228,8.401,8.842,9.062,9.476,10.173,10.434,11.057,11.893,12.354,12.856,13.524,13.885,14.485,15.343,15.62,16.093,16.58,17.292,17.669,17.527,17.611,18.094,18.243,18.693,19.225,19.557,20.359,21.39,21.253,21.962,22.33,22.268,22.834,23.422,23.748,23.144,23.557,24.086,23.714,24.065,24.987,25.9,25.933,26.752,26.928,26.73,27.141,27.482,27.643,28.253,28.833,28.887,29.455,28.787,28.481,28.742,28.639,28.726,29.263,29.255,29.333,27.889,29.69,29.702,30.004,31.753,32.109,32.248,32.41,33.69,33.716,34.389,34.64,35.092,35.547,35.916,35.984,37.544,40.118,42.131,44.652,48.004,50.686,53.781,57.554,59.772,61.882,64.414,66.571,68.424,69.731,71.534,72.629,74.784,76.845,78.692,79.054,81.644,83.113,84.346,85.308,87.892,90.404,93.245,95.774,97.769,100.153,101.859,103.514,105.449,108.137,107.601,108.205,114.382,114.822,118.758,120.873,122.908,125.542,126.509,132.909,135.882,139.066,146.236,152.948,153.532,155.555,158.999,163.809,165.365,168.02,174.908,178.813,176.909,176.033,177.624,178.841,172.316,168.413,169.483,170.031,169.692,169.256,169.362,166.816,165.934,163.377,164.285,163.689,164.506,163.908,159.033,157.7,158.348,161.397,161.202,162.546,168.366,166.76,175.322,178.572,183.532,186.072,188.016,195.385,200.63,210.944,215.1,215.075,214.399,210.699,210.674,215.494,213.133,211.899,214.388,213.516,214.432,209.647,210.08,207.257,205.967,218.539,214.929,201.62,216.367,220.187,223.5,222.476,222.562,226.053,229.013,234.085,243.114,239.821,242.204,241.872
"883","49","          Calculators, typewriters, and other information processing equipment","DOIPRA3",24.151,23.769,23.521,23.797,24.041,23.917,24.067,23.964,23.921,23.492,23.588,23.503,22.347,22.721,22.641,22.766,23.073,22.891,23.052,22.506,22.486,22.606,22.731,22.607,22.16,22.505,22.776,22.424,22.026,22.233,22.303,22.161,22.455,22.386,22.328,22.378,23.494,24.805,26.596,26.905,28.381,29.44,30.867,31.384,33.105,34.552,34.981,35.619,36.34,37.309,37.972,38.854,40.711,41.669,40.957,43.721,44.959,45.326,46.526,47.566,49.273,49.522,51.499,52.935,52.982,53.847,54.448,56.547,57.935,59.274,57.49,58.813,57.931,57.947,58.583,57.642,58.669,59.908,61.428,64.186,60.817,61.575,63.287,67.424,66.196,66.233,66.701,69.233,69.397,69.699,70.748,71.413,72.621,73.342,75.541,75.264,73.737,74.093,74.402,74.382,75.423,76.717,78.16,78.714,79.772,80.053,81.832,83.279,85.325,85.712,86.145,86.612,89.325,90.699,91.026,92.389,93.107,92.879,91.466,93.783,95.012,95.319,96.817,98.325,101.025,101.137,100.897,100.76,101.027,103.636,103.019,103.026,105.686,105.63,107.6,107.333,110.598,110.494,110.261,113.038,114.878,113.205,115.584,116.467,115.881,116.591,117.971,117.793,117.755,120.507,122.398,121.827,122.05,122.904,125.958,126.613,126.268,122.857,121.996,125.442,124.692,125.245,125.595,122.561,122.326,119.158,119.589,118.268,121.814,120.722,118.011,117.568,117.672,119.358,121.221,122.011,119.65,116.084,117.47,121.377,123.463,124.673,126.584,125.847,125.554,125.796,124.211,127.042,130.808,128.483,129.583,130.317,134.448,134.8,136.561,138.031,138.902,140.439,142.392,144.105,143.769,147.797,151.036,151.249,150.929,151.037,151.877,152.889,154.459,156.344,159.215,159.733,162.693,160.425,164.89,167.558
"884","50","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRA3",41.759,41.305,43.234,43.374,43.133,43.335,44.203,44.173,45.474,44.27,44.345,44.532,44.435,44.333,44.974,45.937,46.608,46.859,46.965,47.131,46.759,47.372,46.776,46.866,46.547,47.062,47.182,46.981,47.584,48.725,48.876,48.577,48.758,49.064,49.738,50.025,49.378,50.483,50.691,52.777,53.344,53.691,53.697,54.007,55.424,56.016,55.791,56.34,57.013,58.357,59.236,59.258,60.115,61.823,61.89,62.788,64.095,64.985,65.487,67.952,67.226,69.896,70.437,69.18,70.121,71.007,72.012,71.755,73.163,72.053,73.099,74.261,75.888,74.129,73.042,76.678,77.071,75.638,76.96,77.36,75.548,78.452,81.235,79.308,80.276,81.948,81.394,82.258,80.953,81.968,81.101,81.933,83.64,83.803,84.065,84.039,81.762,80.805,86.105,85.575,85.464,84.987,86.371,89.563,88.79,90.098,90.674,89.02,89.872,93.791,92.535,91.282,94.895,91.444,95.934,93.053,93.046,92.584,92.706,96.299,97.43,97.366,97.739,102.395,98.21,102.904,99.517,100.653,98.458,101.6,101.201,102.525,110.485,107.415,105.5,105.022,103.882,106.001,108.119,106.541,115.358,113.288,111.189,111.342,112.512,107.484,110.686,107.765,112.073,114.253,112.936,116.479,115.421,115.435,116.263,116.41,114.385,115.592,113.906,114.866,116.852,114.69,112.459,112.318,107.348,101.535,100.855,100.391,102.784,96.178,95.798,97.883,98.36,96.502,98.895,99.813,102.179,97.455,104.42,105.082,102.041,102.295,99.564,102.602,100.406,101.934,101.35,102.944,104.757,105.953,110.013,108.388,110.412,111.729,113.484,113.07,113.109,114.416,117.117,113.919,118.847,118.747,119.751,122.546,122.382,122.047,126.322,121.065,121.54,122.464,122.286,124.519,125.49,126.617,127.5,128.908
"885","51","      Sports and recreational vehicles (79)","DWHLRA3",51.146,49.166,52.135,50.571,52.108,53.65,52.207,54.404,56.873,55.472,48.083,54.723,54.964,52.769,51.128,52.951,54.266,55.865,54.558,59.436,56.411,56.846,59.691,60.467,59.043,59.817,60.691,60.338,58.257,59.131,59.963,62.833,61.788,60.486,63.454,62.992,63.505,64.674,64.669,64.984,67.547,64.948,68.74,66.09,68.16,71.171,66.657,69.445,65.459,73.486,69.856,71.883,73.904,71.408,71.265,75.184,72.531,74.901,72.908,76.211,87.473,79.725,81.646,75.914,75.925,77.305,73.283,76.415,78.779,75.757,77.327,76.39,79.504,74.434,73.225,80.263,77.051,77.295,80.479,77.789,73.445,77.835,82.515,81.141,83.078,86.098,79.396,82.258,79.061,79.438,79.162,81.27,81.56,76.336,80.416,82.473,83.166,78.738,84.246,84.155,86.109,85.971,90.136,93.094,93.138,98.044,98.147,96.028,94.901,97.803,97.943,95.617,98.055,92.905,99.761,96.676,96.126,97.881,95.094,101.124,97.041,101.37,102.185,105.612,98.136,104.731,100.025,99.069,98.295,97.753,98.782,97,107.341,101.967,97.115,102.945,98.356,98.179,99.044,93.837,100.57,99.402,101.489,101.928,103.035,95.559,100.301,99.451,102.794,101.136,98.957,103.448,105.984,102.732,98.072,104.184,99.419,100.03,99.097,95.759,99.06,97.893,93.595,92.271,85.823,76.84,74.252,71.995,74.838,69.645,68.191,66.289,68.238,68.068,69.211,71.754,74.77,68.217,74.152,70.134,65.742,65.946,66.94,69.924,66.326,66.336,65.868,67.055,67.776,69.542,71.678,66.191,67.509,69.642,68.732,69.145,69.113,69.011,70.994,68.85,69.135,69.826,67.782,71.04,72.931,70.888,74.735,72.424,71.591,71.626,69.644,73.216,72.494,71.557,71.643,73.589
"886","52","        Motorcycles","DMCYRA3",34.826,36.408,37.372,34.476,33.73,35.592,34.639,35.317,37.445,36.312,34.291,37.363,37.202,35.391,35.79,36.958,39.586,40.108,38.594,41.307,37.617,38.159,38.448,38.556,37.824,39.035,39.579,40.515,38.364,38.346,40.425,40.544,41.493,41.547,43.415,43.5,45.439,45.645,45.183,44.421,47.023,45.935,48.965,49.367,51.785,51.017,50.964,51.468,50.308,51.485,51.377,53.037,53.735,52.193,53.309,51.815,53.158,59.768,62.51,61.511,66.03,68.253,65.494,63.717,62.122,64.784,61.458,65.858,67.149,67.85,67.07,67.181,80.197,69.19,65.512,83.749,80.433,75.725,79.211,75.942,71.364,74.193,79.937,78.818,80.076,91.957,79.461,78.782,75.258,74.696,76.094,78.73,77.201,75.037,75.459,83.935,84.909,84.416,83.982,80.359,79.701,87.947,87.983,90.979,96.22,97.77,110.69,99.325,95.04,98.106,100.939,103.178,107.432,97.177,106.024,99.54,97.444,96.159,94.031,102.413,93.083,107.056,104.376,119.421,95.851,97.967,94.768,94.529,96.988,96.006,102.132,97.822,107.369,93.184,98.616,108.905,101.292,98.326,102.009,97.584,97.108,96.383,96.873,104.779,101.023,95.902,100.374,98.013,105.19,99.263,95.995,102.863,109.116,109.282,104.921,109.577,106.885,107.065,104.918,106.078,111.732,112.262,107.244,99.696,89.311,82.898,76.394,74.757,74.719,77.668,69.43,66.131,70.214,73.117,70.369,76.962,77.306,69.98,76.531,70.092,68.153,66.462,68.052,73.205,64.808,62.574,64.303,63.745,68.984,68.213,70.039,65.009,66.355,73.027,71.57,71.328,69.804,70.414,71.968,75.124,67.704,75.681,67.969,69.762,76.798,73.392,77.309,75.148,74.251,72.216,71.817,72.679,73.254,74.017,76.879,79.46
"887","53","        Bicycles and accessories","DBCYRA3",87.75,86.808,88.581,88.847,88.99,88.669,90.734,90.067,93.033,90.73,90.024,90.435,89.703,89.027,90.304,91.607,92.808,93.398,93.86,92.654,91.914,93.686,94.496,92.877,92.763,92.651,92.733,92.148,92.976,95.585,95.011,95.041,95.601,95.73,97.817,98.054,94.64,96.519,95.477,96.749,95.561,95.431,93.164,92.03,91.746,92.407,90.342,89.776,90.795,91.664,91.075,91.16,91.912,92.693,90.87,91.454,92.252,91.737,90.542,92.777,90.178,91.378,91.006,89.977,91.493,90.171,91.474,90.127,91.015,88.385,88.907,88.396,89.317,88.461,86.904,89.158,88.41,86.911,87.702,87.694,86.281,87.62,89.588,86.679,87.08,87.49,87.022,86.825,84.574,86.134,84.56,85.535,86.708,87.485,87.305,86.701,87.956,87.843,88.116,87.713,88.104,90.009,91.2,94.218,93.064,94.586,95.748,95.473,96.407,94.828,93.68,90.983,92.983,91.82,95.502,98.141,97.367,98.569,98.3,97.685,99.237,100.271,98.214,101.855,101.057,98.853,98.855,99.111,98.775,101.018,100.847,101.907,104.867,105.136,106.132,104.97,103.394,103.563,101.913,101.738,105.928,105.447,103.207,105.598,104.584,104.265,108.608,106.807,111.256,110.935,112.941,111.491,109.905,110.896,110.139,110.267,111.262,110.314,111.514,113.343,114.865,117.265,116.043,115.669,110.483,107.841,108.194,108.964,114.128,112.621,108.217,110.225,109.441,108.451,110.392,110.867,109.877,109.529,108.763,113.945,112.089,110.961,112.499,112.342,113.157,112.402,112.405,112.315,113.018,113.026,116.129,115.739,112.874,113.368,114.504,113.911,112.678,113.039,112.234,112.514,115.414,116.324,115.89,114.219,116.205,118.411,119.534,119.428,120.392,118.486,119.062,119.136,118.005,119.668,119.683,120.925
"888","54","        Pleasure boats, aircraft, and other recreational vehicles","DBARRA3",53.532,50.097,53.976,52.678,55.247,56.895,54.85,57.973,60.534,59.126,48.846,57.624,58.134,55.604,52.824,54.971,55.785,57.93,56.498,62.95,59.921,60.16,64.279,65.603,63.749,64.447,65.543,64.696,62.308,63.346,63.829,68.151,66.107,64.085,67.6,66.833,67.215,68.695,68.996,69.644,72.619,69.119,73.918,69.848,72.045,76.863,70.264,74.359,68.663,80.264,74.877,77.275,79.972,76.715,76.265,82.733,78.08,79.081,75.088,80.253,95.846,83.024,87.095,79.233,79.715,80.892,75.974,79.11,82.08,77.504,80.149,78.735,78.11,74.943,74.773,77.847,74.398,76.837,80.176,77.408,72.819,78.19,82.755,81.456,83.846,83.568,78.503,83.156,79.982,80.608,79.796,81.819,82.753,75.59,81.647,81.394,81.908,75.375,83.923,85.32,88.53,84.701,90.913,93.85,91.876,98.59,93.168,94.713,94.667,98.015,97.194,93.041,94.789,91.256,97.662,95.326,95.441,98.528,95.167,100.993,98.411,99.158,101.736,100.308,98.747,108.21,102.327,100.929,98.773,98.093,97.204,96.105,107.611,105.134,95.486,100.356,96.618,97.502,97.55,91.45,101.299,99.862,103.072,100.4,103.613,94.423,99.316,99.15,100.889,100.718,98.481,102.729,104.312,99.276,94.057,101.403,95.184,96.141,95.427,89.77,92.379,90.151,85.768,86.725,81.644,70.945,69.514,66.676,70.375,61.599,63.104,61.288,62.737,61.479,64.034,65.237,69.755,62.788,69.254,65.13,59.47,60.578,61.279,63.793,61.531,62.483,61.113,63.098,62.126,65.044,67.182,60.932,62.713,63.381,62.431,63.199,63.842,63.425,65.876,61.545,64.322,62.347,62.162,66.518,66.536,64.499,68.635,66.014,64.996,66.021,63.16,68.127,66.981,65.124,64.211,66.008
"889","55","          Pleasure boats","DBOARA3",47.396,45.559,47.602,45.626,47.183,48.142,47.608,52.468,57.566,57.191,46.338,56.032,55.261,53.442,49.921,52.052,52.336,55.877,52.834,57.829,57.205,60.024,64.257,66.068,64.141,64.418,67.265,65.69,62.84,63.632,65.626,69.417,66.923,63.908,67.441,64.927,67.89,67.479,68.026,71.898,72.193,68.825,73.847,65.381,66.804,75.29,64.742,71.167,69.906,79.848,71.663,76.363,81.106,75.988,76.109,93.284,77.928,73.832,64.917,75.253,101.303,76.738,88.199,77.341,81.884,81.442,72.827,82.611,86.891,77.189,88.095,83.486,80,80.302,76.1,77.896,73.361,81.128,86.437,76.496,75.38,88.57,86.817,88.575,94.225,87.91,82.721,87.771,84.448,83.263,81.076,81.91,81.473,74.523,79.42,80.286,71.873,70.241,87.329,87.399,87.914,83.63,90.252,95.615,95.186,102.749,96.614,94.733,92.637,102.99,100.403,96.628,99.43,91.302,101.329,91.472,90.171,90.41,89.169,95.943,96.959,96.395,100.428,104.04,97.891,112.642,99.207,102.912,97.541,100.521,94.721,96.744,116.104,108.317,95.043,96.616,97.14,101.002,105.579,97.442,112.302,106.863,106.708,103.239,108.94,95.845,99.63,97.502,101.805,107.621,100.076,108.855,102.889,99.949,100.636,103.378,98.417,102.107,99.606,99.166,99.747,97.186,93.56,95.538,90.368,81.997,80.164,79.169,83.347,65.326,70.801,70.95,71.354,66.064,70.363,70.71,80.938,67.972,81.736,74.534,65.751,69.247,60.239,66.539,65.304,67.529,64.854,67.796,65.264,70.26,72.703,63.158,65.573,67.44,72.491,70.682,69.884,69.667,74.896,64.223,73.714,66.314,66.917,73.913,71.924,68.471,76.646,70.988,70.512,71.742,65.877,72.321,75.199,74.205,72.8,72.575
"890","56","          Pleasure aircraft","DAIRRA3",64.804,61.645,63.745,60.471,61.903,62.52,61.203,66.756,72.441,71.145,57.068,68.344,66.786,63.94,59.133,61.019,60.724,64.15,60.017,64.995,63.589,66.054,69.856,70.863,67.596,67.202,69.553,67.494,64.165,64.63,66.344,69.901,67.186,63.934,67.466,65.078,65.59,66.708,67.906,66.526,78.153,75.822,73.805,74.666,76.721,72.276,76.252,73.515,72.811,69.435,77.479,74.047,69.82,69.619,73.094,64.117,67.376,72.984,82.789,69.516,75.735,79.994,79.978,73.445,70.047,73.686,69.25,73.748,79.408,79.913,75.29,84.383,92.017,67.007,58.738,75.221,74.712,71.373,68.164,67.434,60.574,61.366,65.163,61.322,56.117,65.463,60.875,66.066,63.659,61.733,69.843,65.85,80.147,61.937,67.808,67.723,67.324,63.381,63.76,68.255,72.661,73.14,72.909,80.379,81.114,79.424,85.823,81.564,97.117,79.412,86.726,79.092,79.315,82.081,89.155,86.906,90.609,95.647,92.931,95.789,94.374,105.614,102.937,99.984,100.641,109.35,97.862,104.35,92.893,101.237,89.551,101.207,94.223,108.601,115.524,113.516,100.979,95.482,102.634,99.157,109.868,104.277,138.963,113.085,128.843,97.473,112.64,124.083,127.199,115.823,115.666,123.153,138.41,137.389,119.954,132.52,126.723,116.046,116.899,97.892,125.031,128.584,123.582,123.211,100.294,87.089,90.49,82.47,86.24,86.296,87.247,68.181,81.177,85.036,89.059,76.495,99.01,81.598,94.653,87.589,84.815,83.836,86.072,90.911,82.861,81.394,83.128,89.6,80.552,85.296,90.018,79.012,81.63,75.743,75.685,72.912,79.521,74.068,73.427,78.335,80.061,82.915,75.078,83.125,78.845,81.361,82.117,80.235,84.208,93.042,87.447,82.226,84.829,83.749,79.987,79.186
