"","Table 1#2#5# Gross Domestic Product by Major Type of Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"11","4","Goods","A353RC1",429.7,441.1,466.3,508.7,587.2,632.1,675.8,760.6,834.2,939.7,1052,1120.1,1266.8,1259.6,1346.9,1536.4,1600.7,1649.5,1740.2,1880.7,2038.3,2121.1,2149.3,2241.6,2337.1,2509.7,2615.9,2770.3,2971,3099.8,3285.7,3437,3393.9,3426.6,3520.9,3710,3889.4,4107.3,4291.9,4215.3,4057.4,4397.3,4636.1,4921.6,5122.4,5312.5,5450
"12","5","    Final sales","A325RC1",420.5,439.1,458.1,499.6,571.3,618.1,682,743.5,811.9,913.9,1034,1126.4,1237,1274.5,1352.6,1471,1578.8,1642.9,1713.1,1862.2,2010.7,2106.6,2149.7,2225.3,2316.2,2445.9,2584.8,2739.5,2900.1,3036.1,3224.9,3382.5,3432.2,3408.1,3501.7,3646.2,3829.8,4040.3,4257.5,4247.3,4204.9,4335.8,4594.3,4859.8,5050.6,5235.4,5340.7
"13","6","    Change in private inventories","A014RC1",9.2,2,8.3,9.1,15.9,14,-6.3,17.1,22.3,25.8,18,-6.3,29.8,-14.9,-5.8,65.4,21.8,6.6,27.1,18.5,27.7,14.5,-0.4,16.3,20.8,63.8,31.2,30.8,70.9,63.7,60.8,54.5,-38.3,18.5,19.3,63.9,59.6,67,34.5,-32,-147.6,61.5,41.8,61.8,71.8,77.1,109.2
"14","7","  Durable goods","A354RC1",213.5,210.4,222.9,251,295.8,316,331.5,393.8,442.4,507.9,569.9,592.5,658.6,643.5,711.4,838.7,877.5,912,973.7,1059.9,1143.5,1175.6,1156.5,1214.3,1299,1400.4,1491.4,1588.9,1734.5,1838.9,1963.4,2082.5,2004.5,2017.7,2062.6,2170.5,2315.5,2429.2,2540.2,2465.9,2215.8,2447.4,2600.1,2760.9,2833.9,2939.2,2987.2
"15","8","    Final sales","A326RC1",207.6,210.7,220,244.7,282.8,305.1,339,383,432.9,489.6,557.1,594.9,651.3,659.5,708.9,797.2,873.1,913.8,950.8,1037.1,1123.4,1167.9,1170.1,1217.2,1281.9,1364.7,1457.8,1569.8,1694.5,1799.6,1926,2046.9,2049,1999.6,2047.9,2132.1,2273.6,2394.6,2524.6,2490.8,2332.8,2408.4,2556.4,2703.8,2788.7,2882.4,2939
"16","9","    Change in private inventories \1\","A355RC1",6,-0.2,2.9,6.4,13,10.9,-7.5,10.8,9.5,18.2,12.8,-2.3,7.3,-16,2.5,41.4,4.4,-1.9,22.9,22.7,20,7.7,-13.6,-3,17.1,35.7,33.6,19.1,40,39.3,37.4,35.6,-44.4,18.2,14.7,38.4,41.9,34.6,15.6,-24.9,-117,39,43.7,57.2,45.2,56.8,48.2
"17","10","  Nondurable goods","A356RC1",216.2,230.6,243.4,257.6,291.4,316.1,344.3,366.8,391.8,431.8,482.1,527.6,608.2,616.1,635.5,697.7,723.2,737.5,766.5,820.8,894.9,945.5,992.8,1027.4,1038,1109.3,1124.6,1181.5,1236.5,1261,1322.3,1354.6,1389.4,1408.8,1458.4,1539.6,1573.8,1678.1,1751.8,1749.4,1841.5,1949.9,2036,2160.7,2288.5,2373.3,2462.7
"18","11","    Final sales","A334RC1",213,228.4,238.1,254.9,288.6,312.9,343.1,360.4,379,424.2,476.9,531.5,585.7,614.9,643.7,673.7,705.7,729.1,762.3,825,887.2,938.7,979.6,1008.1,1034.3,1081.2,1126.9,1169.7,1205.6,1236.6,1298.9,1335.6,1383.2,1408.5,1453.8,1514.1,1556.2,1645.8,1732.9,1756.6,1872.1,1927.4,2038,2156,2262,2353,2401.7
"19","12","    Change in private inventories \1\","A357RC1",3.2,2.2,5.3,2.7,2.9,3.1,1.2,6.3,12.8,7.6,5.2,-4,22.5,1.1,-8.2,24,17.4,8.4,4.2,-4.3,7.7,6.8,13.2,19.3,3.7,28.1,-2.4,11.7,30.9,24.4,23.4,19,6.2,0.3,4.6,25.5,17.7,32.4,18.8,-7.1,-30.6,22.5,-2,4.6,26.6,20.4,61
"20","13","Services \2\","A341RC1",480.2,523.1,570.7,624.1,675.4,747.6,842.4,921.6,1020,1136.6,1260,1414.8,1585.6,1735.7,1914.3,2068.7,2275.4,2445.9,2616.3,2840,3073.8,3309.3,3508.8,3756.5,3962.7,4170,4388.4,4609.2,4862.4,5141.9,5460.7,5862.1,6187.2,6496.5,6850.7,7286.7,7765.5,8237.2,8717.5,9134,9220.3,9519.2,9821.6,10069.9,10310.1,10714.3,11111.8
"21","14","Structures","A755RC1",110,111.7,130.8,149.6,165.9,169.1,170.7,195.4,231.7,280.4,320.2,327.6,358.5,349.7,377,435.6,470.7,494.8,513.7,531.9,545.6,549.2,516,541.1,579,629.1,659.8,720.7,775.1,847.4,914.2,985.6,1040.7,1054.4,1139,1278.2,1438.9,1511.4,1468.3,1369.2,1141.1,1047.9,1060.3,1163.8,1230.7,1321.2,1385.2
"22",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Motor vehicle output","A953RC1",44.7,37.2,49.8,55,63.6,58.7,57.3,78.8,96.4,106.5,106.2,87.1,100.4,96.6,128.8,160.8,182.3,187.3,188.9,200.9,210.4,195,180.7,205.6,232.6,272.8,279.8,291.6,319.2,340.8,374.9,369,349.1,386.8,381.3,396.8,415.5,408.3,406,320.4,246.8,334.3,378.2,433.9,461.5,499.6,529.4
"24","16","  Gross domestic product excluding motor vehicle output","A962RC1",975.2,1038.7,1118,1227.5,1365,1490.1,1631.6,1798.8,1989.6,2250,2526,2775.4,3110.5,3248.4,3509.4,3879.9,4164.4,4402.8,4681.3,5051.7,5447.3,5784.6,5993.4,6333.7,6646.1,7036,7384.2,7808.6,8289.3,8748.4,9285.7,9915.8,10272.7,10590.7,11129.4,11878.2,12678.2,13447.6,14071.7,14398.2,14171.9,14630.1,15139.7,15721.3,16201.7,16848.5,17417.6
"25","17","  Final sales of computers \3\","BB01RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,15.7,20.2,25.7,28.2,33.8,42.7,45.5,45.6,48.5,54,56.4,52.3,52.6,55.3,56.3,60.4,74.9,84.8,94.1,96.7,101.8,109.9,98.8,83.1,83.1,80.4,79.1,83.1,82.2,81.1,72.5,63.2,63.2,67.9,71.3,68.7,69.9
"26","18","  Gross domestic product excluding final sales of computers","BB00RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,2344.8,2616.4,2842.3,3185.2,3316.8,3604.3,3998,4301.3,4544.5,4821.7,5198.6,5601.3,5927.2,6121.4,6484,6822.4,7248.4,7589.2,8015.4,8514.4,8992.4,9558.8,10174.9,10523,10894.4,11427.6,12194.5,13014.6,13772.8,14395.5,14637.5,14346.3,14901.2,15454.7,16087.4,16591.9,17279.3,17877.1
"27","19","  Research and development","Y694RC1",28.2,28.3,29.1,31.3,33.8,36.4,39,43.1,47.5,53.5,60.9,69.8,79.9,89,98.4,111.4,125.1,132,140.2,148.2,155.9,164.2,170,171.9,172,175,187.5,199.8,212,222.4,237.2,255.6,263.2,265.7,277.6,291.2,313.1,334.6,360,380.5,374.8,392.1,404.1,413.5,427.9,444.8,468.3
"28","20","  Gross domestic product excluding research and development","Y695RC1",991.7,1047.6,1138.6,1251.2,1394.8,1512.4,1649.9,1834.4,2038.4,2303.1,2571.2,2792.7,3131,3256,3539.7,3929.2,4221.7,4458.2,4730.1,5104.4,5501.8,5815.4,6004,6367.4,6706.7,7133.8,7476.6,7900.4,8396.5,8866.8,9423.4,10029.2,10358.6,10711.9,11233.1,11983.7,12780.6,13521.3,14117.7,14338.1,14043.9,14572.3,15113.8,15741.8,16235.2,16903.2,17478.6
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Prior to 1959, inventories held by construction establishments are included in nondurable goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Beginning with 1959, these inventories are included in durable goods. Estimates for durable goods and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","nondurable goods for 1996 and earlier periods are based on the 1987 Standard Industrial Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","(SIC); later estimates for these industries are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Includes government consumption expenditures, which are for services (such as education and national",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","defense) produced by government. In current dollars, these services are valued at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
