"","Table 3#9#4# Price Indexes for Government Consumption Expenditur","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"12","5","        Equipment","Y054RG3",48.528,51.75,54.29,66.916,67.505,70.46,76.231,81.944,86.869,92.435,96.354,102.121,110.419,117.347,119.752,120.695,118.511,114.269,110.642,110.285,112.049,114.202,116.212,117.036,118.65,120.838,121.58,120.035,115.883,111.964,109.902,108.181,105.158,102.71,101.802,101.682,101.455,100.524,99.731,99.964,100,100.128,101.186,101.689,101.549,102.089,102.024
"13","6","        Intellectual property products","Y055RG3",26.057,27.49,28.912,29.896,31.597,34.661,37.392,39.143,41.183,43.539,46.735,51.042,55.561,59.386,61.907,64.376,65.796,66.574,67.672,70.347,72.358,73.958,76.181,76.997,78.537,79.888,82.81,83.423,84.493,84.925,86.415,88.94,89.637,89.785,90.767,92.14,93.776,95.216,97.337,99.999,100,102.312,104.556,105.776,106.758,108.291,108.791
"14","7","          Software","Y056RG3",53.902,56.345,57.141,57.778,59.939,64.065,68.114,69.784,72.361,73.381,77.337,81.935,87.115,91.018,92.461,93.897,94.498,93.939,94.922,96.619,96.209,96.276,98.209,95.316,96.513,96.03,97.775,96.875,95.527,94.057,95.476,98.302,99.054,98.436,97.229,96.295,96.689,97.902,98.932,100.377,100,99.646,100.247,100.621,101.326,101.393,100.535
"15","8","          Research and development","Y057RG3",23.205,24.49,25.801,26.709,28.258,31.052,33.537,35.171,37.049,39.308,42.266,46.309,50.544,54.173,56.659,59.109,60.546,61.421,62.49,65.183,67.456,69.254,71.492,72.979,74.577,76.285,79.426,80.347,81.947,82.844,84.36,86.815,87.499,87.839,89.314,91.19,93.099,94.589,96.961,99.91,100,102.945,105.598,107.041,108.098,110.056,110.971
"16","9","Federal","B823RG3",19.221,20.726,22.415,24.368,25.995,28.042,30.478,32.352,34.256,36.425,39.045,42.862,46.949,50.184,51.828,53.779,54.92,55.227,55.653,57.361,58.929,60.807,63.068,64.642,66.04,67.79,69.945,71.129,72.224,73.059,74.867,77.341,78.748,81.31,84.773,87.736,91.449,94.448,97.319,100.286,100,102.614,105.422,106.512,107.562,109.274,110.011
"17","10","    Consumption expenditures","A957RG3",16.715,18.098,19.697,21.339,22.845,24.636,26.818,28.503,30.191,32.149,34.532,38.099,41.842,44.74,46.223,48.149,49.532,50.204,50.899,52.677,54.156,56.073,58.413,60.161,61.457,63.155,65.176,66.519,67.863,68.887,70.835,73.555,75.343,78.663,82.83,86.215,90.461,93.911,97.151,100.382,100,102.942,105.939,107.037,108.192,110.031,110.899
"18","11","    Gross investment","B787RG3",28.848,30.685,32.439,35.75,37.635,40.652,43.948,46.478,49.16,52.045,55.469,60.023,65.252,69.683,71.901,73.861,74.103,73.143,72.685,74.194,76.089,77.838,79.81,80.732,82.493,84.411,87.042,87.605,87.72,87.811,89.082,90.618,90.597,90.381,91.333,92.809,94.686,96.176,97.848,99.974,100,101.532,103.716,104.776,105.466,106.735,107.008
"19","12","      Structures","B801RG3",12.552,13.553,14.751,15.856,17.733,19.946,22.561,23.722,25.35,26.759,29.891,33.07,36.13,38.42,39.081,40.487,41.515,42.069,43.535,45.014,47.495,49.099,50.404,51.064,52.779,54.534,56.768,58.347,59.625,61.401,63.698,66.314,68.847,70.454,72.451,76.439,83.735,90.915,96.65,100.799,100,99.415,102.296,105.373,108.081,111.405,112.257
"20","13","      Equipment","Y058RG3",42.464,45.544,47.936,65.789,65.627,66.657,70.477,76.17,80.866,85.911,88.597,93.522,101.238,108.108,110.566,111.58,108.839,103.583,99.088,98.299,99.641,101.747,103.539,104.405,106.433,109.255,110.972,110.349,106.799,104.445,104.259,102.828,100.201,98.242,98.195,98.537,99.075,99.228,99,99.731,100,100.586,102.254,102.594,102.443,102.787,102.376
"21","14","      Intellectual property products","Y059RG3",25.205,26.596,27.982,28.93,30.577,33.528,36.189,37.893,39.878,42.165,45.26,49.441,53.828,57.56,59.997,62.39,63.759,64.539,65.585,68.227,70.214,71.801,74.037,75.049,76.631,78.091,81.105,81.856,83.193,83.833,85.428,87.997,88.654,88.92,90.152,91.754,93.56,95.07,97.294,99.992,100,102.621,105.02,106.232,107.213,108.839,109.479
"22","15","        Software","Y060RG3",52.627,55.053,55.612,56.002,57.961,61.785,65.597,67.077,69.453,70.096,73.846,78.143,82.968,86.649,87.526,88.661,89.016,88.327,89.146,90.786,90.322,90.363,92.336,89.804,91.279,90.993,92.961,92.422,91.642,90.748,92.548,95.538,96.349,96.118,95.7,95.359,96.16,97.403,98.617,100.128,100,99.676,100.367,100.599,101.351,101.522,100.842
"23","16","        Research and development","Y061RG3",23.155,24.439,25.752,26.653,28.198,30.969,33.462,35.096,36.976,39.226,42.166,46.188,50.405,54.027,56.498,58.923,60.338,61.221,62.266,64.956,67.183,68.942,71.198,72.706,74.301,76.017,79.183,80.133,81.816,82.735,84.295,86.786,87.415,87.773,89.27,91.169,93.129,94.681,97.07,99.969,100,103.133,105.846,107.249,108.276,110.209,111.141
"24","17","  National defense","B824RG3",18.687,20.077,21.744,23.987,25.631,27.692,29.955,31.85,33.854,36.154,38.84,42.887,47.111,50.518,52.252,54.314,55.228,55.327,55.787,57.389,58.897,60.88,62.888,64.661,65.636,67.261,69.266,70.451,71.435,72.23,74.034,76.467,77.874,80.529,84.475,87.371,91.395,94.633,97.572,100.809,100,102.365,105.274,106.466,107.13,108.585,108.838
"25","18","    Consumption expenditures","A997RG3",16.338,17.594,19.152,20.943,22.468,24.342,26.396,28.059,29.81,31.862,34.363,38.239,42.157,45.247,46.8,48.86,50.083,50.687,51.594,53.347,54.815,56.903,58.932,60.864,61.605,63.085,64.92,66.182,67.381,68.315,70.156,72.84,74.667,78.024,82.672,85.931,90.528,94.228,97.516,101.055,100,102.705,105.754,106.979,107.696,109.268,109.594
"26","19","    Gross investment","B788RG3",28.787,30.621,32.375,37.433,39.22,41.847,44.8,47.707,50.806,54.09,57.323,61.606,66.84,71.473,73.947,75.959,75.731,74.065,73.044,74.201,75.908,77.561,79.514,80.628,82.604,84.857,87.592,88.398,88.34,88.443,90.016,91.205,90.666,90.233,91.247,92.682,94.51,96.054,97.757,99.967,100,101.16,103.557,104.623,105.081,106.079,106.041
"27","20","      Structures","B808RG3",10.608,11.437,12.564,13.641,16.381,18.457,20.23,21.153,23.208,24.18,28.605,30.925,32.773,34.24,34.734,37.119,38.284,38.373,40.249,41.822,44.961,46.334,47.74,48.721,51.621,53.454,55.771,57.262,59.053,60.699,63.134,65.878,68.537,70.321,72.537,76.678,83.894,91.558,97.599,101.538,100,99.505,102.491,105.508,109.005,113.314,112.926
"28","21","      Equipment","Y050RG3",35.078,37.525,39.534,58.348,57.516,58.056,61.044,66.319,70.963,76.302,78.614,83.181,90.281,96.762,99.639,100.86,98.174,92.978,88.653,87.752,88.81,90.721,92.591,93.795,96.176,99.455,101.737,102.32,99.519,98.368,99.547,98.557,96.325,94.869,95.364,96.006,96.837,97.384,97.838,99.375,100,100.685,102.566,102.886,102.792,103.024,102.341
"29","22","      Intellectual property products","Y052RG3",24.984,26.338,27.714,28.616,30.246,33.174,35.901,37.648,39.66,41.948,45.044,49.249,53.625,57.394,59.905,62.243,63.53,64.379,65.437,68.12,69.985,71.453,73.614,74.678,76.086,77.49,80.62,81.414,83.045,83.731,85.405,88.088,88.455,88.568,89.838,91.562,93.587,95.324,97.684,100.333,100,102.135,105.048,106.747,107.563,109.196,109.926
"30","23","        Software","Y053RG3",58.963,61.874,62.658,63.173,65.49,69.681,74.045,75.691,78.428,78.826,82.729,87.166,92.178,95.983,96.64,97.581,97.645,96.485,97.149,98.43,97.177,96.6,98.244,94.502,95.645,94.782,96.287,95.358,94.051,92.628,94.132,96.911,97.446,97.161,96.522,96.197,96.868,97.893,98.903,100.186,100,99.491,99.918,99.892,100.378,100.34,99.509
"31","24","        Research and development","Y076RG3",23.123,24.38,25.68,26.533,28.062,30.814,33.374,35.042,36.944,39.177,42.123,46.159,50.353,53.985,56.469,58.783,60.081,61,62.049,64.751,66.805,68.424,70.617,72.218,73.658,75.35,78.694,79.722,81.775,82.782,84.492,87.176,87.518,87.686,89.171,91.105,93.263,95.069,97.562,100.348,100,102.426,105.634,107.552,108.411,110.279,111.237
"32","25","  Nondefense","B825RG3",20.251,22.099,23.799,24.926,26.484,28.468,31.26,33.066,34.741,36.623,39.088,42.416,46.19,49.025,50.452,52.123,53.836,54.69,55.026,57.029,58.756,60.347,63.228,64.333,66.638,68.639,71.086,72.267,73.566,74.471,76.285,78.829,80.237,82.645,85.297,88.377,91.529,94.101,96.849,99.321,100,103.064,105.691,106.6,108.308,110.444,111.946
"33","26","    Consumption expenditures","A542RG3",17.576,19.478,21.186,22.269,23.696,25.225,27.733,29.463,30.99,32.713,34.809,37.654,40.982,43.412,44.719,46.309,48.104,48.951,49.078,50.932,52.442,53.898,57.061,58.344,60.956,63.147,65.569,67.084,68.729,69.934,72.09,74.881,76.597,79.849,83.131,86.755,90.326,93.303,96.451,99.091,100,103.392,106.286,107.145,109.097,111.407,113.191
"34","27","    Gross investment","B798RG3",27.8,29.566,31.249,32.486,34.407,37.768,41.361,43.34,45.427,47.757,51.283,55.999,61.055,65.08,66.816,68.653,69.985,70.813,71.819,74.226,76.567,78.53,80.537,81.12,82.548,83.988,86.482,86.729,87.063,87.141,88.077,89.995,90.563,90.603,91.478,93.01,94.956,96.37,97.992,99.986,100,102.111,103.983,105.033,106.036,107.661,108.33
"35","28","      Structures","B830RG3",14.039,15.176,16.412,17.518,18.68,20.986,24.194,25.513,26.926,28.588,31.193,34.854,38.583,41.391,42.179,42.746,43.638,44.63,45.663,46.994,48.67,50.445,51.67,52.152,53.253,54.961,57.134,58.76,59.725,61.571,63.788,66.316,68.755,70.242,72.089,75.953,83.291,90.04,95.5,99.85,100,99.312,102.099,105.214,107.483,110.328,111.624
"36","29","      Equipment","Y066RG3",92.205,102.836,107.183,108.096,114.454,120.07,131.016,137.101,138.572,138.154,143.588,149.26,158.767,164.978,159.88,157.197,156.48,156.88,155.448,157.361,161.438,164.403,164.228,161.464,160.066,158.335,155.137,146.962,139.703,131.851,126.004,122.747,118.3,113.964,111.393,110.3,109.448,107.879,104.591,101.465,100,100.11,100.784,101.209,100.792,101.642,102.358
"37","30","      Intellectual property products","Y067RG3",25.385,26.807,28.201,29.193,30.856,33.825,36.419,38.083,40.042,42.326,45.419,49.578,53.97,57.655,59.991,62.459,63.957,64.617,65.64,68.201,70.374,72.126,74.454,75.406,77.166,78.679,81.59,82.302,83.378,83.981,85.514,87.996,88.869,89.251,90.451,91.945,93.544,94.836,96.926,99.673,100,103.049,105.011,105.823,106.934,108.554,109.124
"38","31","        Software","Y068RG3",48.67,50.826,51.272,51.598,53.357,56.931,60.416,61.79,63.956,64.683,68.274,72.401,77.025,80.563,81.514,82.727,83.237,82.838,83.756,85.644,85.747,86.247,88.476,86.849,88.585,88.721,91.033,90.77,90.36,89.81,91.785,94.89,95.834,95.626,95.317,94.969,95.833,97.179,98.486,100.102,100,99.76,100.571,100.921,101.792,102.055,101.442
"39","32","        Research and development","Y069RG3",23.072,24.375,25.694,26.637,28.192,30.967,33.384,34.978,36.828,39.082,42.004,45.995,50.214,53.806,56.246,58.838,60.457,61.265,62.295,64.946,67.461,69.427,71.763,73.159,74.918,76.659,79.658,80.536,81.882,82.722,84.154,86.491,87.348,87.863,89.37,91.236,92.989,94.269,96.542,99.569,100,103.828,106.073,107.004,108.177,110.167,111.077
"40","33","State and local","B829RG3",14.18,15.323,16.505,17.56,18.716,20.767,22.768,23.868,25.372,27.017,29.399,32.582,35.822,38.01,39.698,41.405,43.095,44.339,46.407,47.955,50.275,52.781,54.621,56.599,58.046,59.591,61.209,62.624,63.998,65.287,67.877,71.162,73.628,75.143,77.761,81.719,86.333,90.677,95.426,100.279,100,102.714,105.923,107.985,110.143,112.287,112.296
"41","34","  Consumption expenditures","A991RG3",13.621,14.705,15.846,16.906,17.967,19.597,21.417,22.589,24.143,25.732,27.963,30.911,33.909,35.959,37.811,39.75,41.604,42.806,44.937,46.504,49.025,51.724,53.778,56.129,57.629,59.188,60.739,62.231,63.694,65.074,67.941,71.496,74.197,75.792,78.803,82.947,87.267,91.396,95.744,100.77,100,103.306,106.601,108.378,110.579,112.672,112.594
"42","35","  Gross investment","B799RG3",17.074,18.499,19.899,20.961,22.582,26.675,29.582,30.297,31.484,33.396,36.539,40.902,45.374,48.263,48.884,49.214,50.005,51.444,53.172,54.612,55.943,57.533,58.385,58.637,59.836,61.306,63.233,64.296,65.278,66.162,67.565,69.736,71.252,72.447,73.515,76.73,82.526,87.741,94.116,98.267,100,100.242,103.091,106.422,108.386,110.778,111.21
"43","36","    Structures","B842RG3",12.964,14.113,15.253,16.137,17.495,20.904,23.132,23.557,24.416,25.877,28.407,32.04,35.738,38.121,38.537,38.737,39.422,40.779,42.4,43.675,44.762,46.239,46.862,47.145,48.374,49.937,52.099,53.638,55.284,57.027,59.167,61.812,63.938,65.725,67.268,71.145,78.167,84.748,92.688,97.75,100,100.385,103.901,107.857,110.299,113.118,113.582
"44","37","    Equipment","Y070RG3",57.146,59.617,61.94,63.112,65.038,71.65,81.529,86.63,91.488,97.786,105.133,112.722,121.476,127.059,128.66,129.062,129.828,131.252,132.653,134.268,137.312,139.249,141.698,142.232,142.304,142.68,141.307,137.916,132.7,126.187,121.208,119.007,115.319,112.024,109.56,108.523,106.655,103.316,101.32,100.498,100,99.005,98.485,99.411,99.291,100.266,100.944
"45","38","    Intellectual property products","Y071RG3",32.862,34.551,36.053,37.397,39.482,43.629,46.668,48.637,50.961,53.77,57.72,62.848,68.241,72.479,75.669,78.672,80.532,81.071,82.688,85.247,87.243,88.805,90.712,89.78,90.915,91.368,93.485,93.05,92.275,91.385,92.247,94.529,95.444,94.914,94.412,94.398,95.004,96.03,97.572,100.037,100,100.688,102.127,103.385,104.366,105.462,105.327
"46","39","      Software","Y072RG3",52.511,54.767,56.302,57.789,60.476,65.323,69.84,72.087,75.163,77.612,81.914,87.16,93.146,97.469,100.99,103.442,104.935,104.952,106.483,108.206,108.04,108.19,109.93,106.24,106.765,105.844,107.057,105.359,102.815,100.182,100.809,103.285,103.917,102.557,99.91,97.943,97.632,98.792,99.499,100.823,100,99.593,100.023,100.663,101.28,101.163,99.996
"47","40","      Research and development","Y073RG3",23.411,24.671,25.854,26.898,28.473,31.699,33.912,35.475,37.24,39.622,42.841,47.16,51.616,55.257,57.946,60.829,62.657,63.355,64.84,67.513,70.499,72.878,74.839,76.024,77.657,79.241,82.075,82.648,83.35,84.029,85.119,87.24,88.422,88.6,89.873,91.527,92.937,93.85,96.071,99.438,100,101.488,103.681,105.428,106.705,108.838,109.631
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1. Government consumption expenditures are services (such as education and national defense) produced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","by government that are valued at their cost of production. Excludes government sales to other sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","and government own-account investment (construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2. Gross government investment consists of general government and government enterprise expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","for fixed assets; inventory investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
