"","Table 7#2#6U# Real Motor Vehicle Output, Chained Dollars        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"12","4","Final sales of domestic product","AB60RX0",322791,344782,349678,337965,361523,329791,327203,322906,335025,328077,325588,379549,349486,349729,374535,341823,346966,360436,383499,367940,370111,371103,393054,406437,399626,413856,429733,369517,395439,390401,401063,394689,401556,404282,396442,405593,378280,348286,336872,267102,268067,268713,288157,255269,283940,298647,314140,335523,344496,348353,341912,358230,366743,375330,382042,388668,406373,404238,402172,407558,425516,446559,467479
"13","5","  Personal consumption expenditures","AB61RX0",269937,291112,291505,281349,308266,283840,289375,291201,301432,295131,299624,349912,323208,325016,347651,324996,324357,338919,349837,343609,344915,344216,348680,350523,341217,353240,355529,308113,320794,321892,327800,327016,328906,334201,331087,329578,312621,296523,280929,245424,255354,257421,290323,258033,253829,265501,270930,285859,286685,268288,268590,285900,294030,294988,302737,312486,316840,316681,317815,321466,326620,343572,353499
"14","6","    New motor vehicles","AB67RX0",179459,188591,190487,194229,206667,196610,199587,190933,205274,203686,201348,260977,234622,223758,247277,232210,230573,248626,255716,248072,251330,245342,248193,247961,237084,258302,263246,215395,227222,227784,232904,229985,235603,234881,227949,229710,213437,197866,184930,152397,152962,154703,190325,164503,163469,176196,180853,193838,198842,190200,192629,212306,219372,220292,222420,228406,230212,231337,233190,234097,234221,244483,250802
"15","7","      Autos","A136RX0",86788,92996,93787,97713,102598,98896,96139,92010,95408,91462,87834,110611,96096,93153,98761,91329,93292,91172,92938,90294,94005,91653,90601,95445,94379,99465,102397,94530,99751,99227,101063,97749,97674,97165,90919,97464,94618,98997,83611,66787,61938,63498,89895,69378,63953,67338,70130,73612,79108,76718,72089,80233,90464,88866,89767,91338,90536,88833,90649,92480,85851,88704,90399
"16","8","        Domestic","GAP510",57563,60477,60910,61263,68215,64972,62673,58243,63961,58530,56373,76560,63706,61921,66753,60250,60423,60741,61527,59797,61281,58120,58666,60186,61226,65065,66396,59548,65073,61905,63339,58599,61009,60684,55811,61440,59468,60056,50546,41701,37984,39314,60306,44120,40998,43243,44324,47896,52398,50576,46840,54178,59572,58987,60290,60224,62348,60244,60939,61802,57113,58327,61546
"17","9","        Foreign","GAP540",29225,32519,32877,36450,34383,33923,33466,33767,31447,32932,31461,34051,32390,31232,32009,31079,32870,30431,31411,30497,32724,33533,31935,35259,33152,34400,36001,34982,34678,37322,37724,39150,36665,36481,35108,36023,35150,38940,33065,25086,23953,24184,29589,25258,22955,24095,25806,25717,26709,26143,25249,26055,30892,29879,29477,31113,28188,28588,29710,30678,28737,30377,28852
"18","10","      Light trucks (including utility vehicles)","B704RX0",93375,96444,97543,97523,105047,98732,104197,99640,110408,112553,113676,150372,138334,130507,148177,140482,137046,156614,161859,156891,156586,152958,156727,151962,142385,158285,160338,120951,127539,128583,131848,132194,137849,137628,136857,132160,118768,98905,101326,85605,91061,91200,100444,95079,99454,108787,110670,120126,119696,113454,120433,131968,128922,131415,132647,137036,139597,142361,142428,141557,148051,155409,159996
"19","11","        Domestic","ETRPDD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120819,113894,130690,122910,116773,133752,138233,135233,134533,131691,135355,129976,122169,136567,139149,102678,107975,107732,111151,109442,115004,114997,114823,109521,98284,80392,84210,69392,72546,75881,82850,80401,84026,93272,93515,101726,100756,96629,103139,113481,109563,111613,113344,117251,119438,121020,120350,119050,125594,132108,135786
"20","12","        Foreign","ETRPMD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17514,16613,17486,17572,20272,22863,23627,21658,22052,21268,21372,21986,20217,21718,21189,18273,19564,20851,20697,22752,22845,22632,22035,22639,20484,18513,17116,16213,18515,15319,17594,14678,15428,15515,17156,18400,18940,16825,17294,18487,19359,19802,19303,19785,20160,21341,22078,22507,22457,23301,24210
"21","13","    Net purchases of used autos and used light trucks","W240RX0",90289,101965,100580,87621,101627,87798,90268,99772,96383,91929,98186,91699,90474,101629,101896,94341,95161,92455,96245,97420,95554,100526,102123,104070,105237,97179,94875,93630,94881,95424,96345,98267,94952,100554,103885,100844,99681,98845,96106,93019,102464,102823,99953,93399,90371,89871,90785,93112,89430,80035,78155,76754,77984,78029,83351,87108,89592,88428,87812,90457,95263,101977,105627
"22","14","      Used autos","A137RX0",52356,58708,57948,48814,58183,48378,49285,58142,53407,51943,53600,48021,48881,53929,53313,49052,50038,48650,51012,52103,50623,53982,54289,55036,55439,51229,49420,48783,48889,48775,48387,47706,44940,46763,48037,47431,48218,48021,45372,41149,44169,43530,42633,40307,38516,37892,39383,41774,40758,36700,35215,34789,35653,35455,37497,39517,40573,40235,40239,41517,43479,46914,48478
"23","15","        Margin","GAP570",23790,25779,25723,23534,26113,23934,24953,26135,26593,27869,26572,25651,25438,23726,21788,22077,23622,22240,23793,23509,21386,24128,24161,24183,26154,24120,22424,22676,23273,23273,23927,23962,22072,23002,23881,23774,24336,23374,22014,19461,19943,19124,18366,18152,18064,17960,18642,19240,20006,19550,20070,20379,21007,21069,22045,22433,22489,22249,21864,22520,23583,25836,26674
"24","16","        Net transactions","GAP600",30755,35013,34365,27628,34249,26925,26961,34084,29492,27237,29742,25284,26116,32344,33467,29122,28747,28611,29535,30858,31510,32143,32446,33201,31571,29333,29207,28241,27733,27625,26585,25759,24880,25813,26136,25643,25880,26550,25313,23624,26007,26130,25970,23887,22207,21706,22488,24285,22500,18812,16785,16046,16332,16042,17122,18764,19699,19634,20027,20651,21470,22715,23507
"25","17","        Employee reimbursement","GAP630",-2170,-2117,-2122,-2048,-2074,-2047,-2042,-2051,-2067,-2130,-2193,-2159,-2051,-1992,-1988,-2070,-2087,-2050,-2036,-2017,-2079,-2085,-2113,-2145,-2100,-2101,-2082,-2016,-2015,-2020,-2042,-1941,-1946,-1991,-1921,-1931,-1898,-1827,-1885,-1913,-1782,-1727,-1694,-1737,-1783,-1820,-1783,-1761,-1805,-1784,-1786,-1773,-1818,-1774,-1781,-1796,-1717,-1762,-1781,-1780,-1677,-1710,-1783
"26","18","      Used light trucks (including utility vehicles","W241RX0",38239,43571,42942,38954,43721,39517,41043,42016,43103,40197,44650,43569,41608,47642,48473,45169,45042,43730,45177,45286,44872,46506,47780,48974,49734,45890,45388,44778,45922,46579,47886,50503,49988,53802,55870,53411,51451,50811,50725,51882,58302,59292,57317,53088,51857,51990,51396,51320,48652,43317,42925,41951,42317,42558,45833,47572,48999,48175,47557,48925,51764,55049,57133
"27","19","        Margin","W491RX0",10823,12054,12026,11382,12457,11486,12035,12034,12248,12823,12447,12753,12627,12378,11622,12114,12925,12662,13751,13587,12524,13987,14275,14065,14978,13645,12762,13024,13354,13231,13799,14307,13439,14251,14899,13991,13630,12613,12454,12045,12470,12574,11779,11951,12452,12707,12733,12472,12073,11060,11515,11533,11812,12243,13320,13510,13828,13819,13552,14115,15046,16405,16997
"28","20","        Net transactions","W492RX0",27440,31560,30960,27613,31305,28067,29050,30023,30902,27454,32243,30826,28921,35438,37153,33131,32106,31056,31388,31676,32482,32434,33434,34937,34685,32209,32687,31767,32577,33380,34104,36225,36633,39663,41086,39561,37969,38295,38372,39870,45808,46719,45565,41133,39396,39264,38631,38822,36552,32222,31356,30360,30440,30246,32438,33986,35095,34278,33928,34732,36638,38576,40063
"29","21","  Private fixed investment","AB62RX0",145321,149180,159151,156535,159454,149694,144186,134727,135913,132988,123866,123665,123721,123820,128118,118201,114021,119119,126006,123566,125153,130812,144482,154765,150864,156317,170625,166805,185165,176757,173155,175310,169995,158137,154956,155509,147793,124949,104016,66730,35223,36796,39691,50331,82124,103836,113636,120031,131080,133674,150151,156570,168244,174360,175393,174002,182780,190844,192378,197136,201146,213596,216646
"30","22","    New motor vehicles","AB68RX0",195085,196847,208348,206848,212653,199750,196265,182177,188614,182787,175366,170334,168960,179459,184939,174570,164346,163789,176812,179478,177018,185442,200291,207205,200174,207456,222867,217725,236519,224458,223497,228736,227435,215978,218903,214994,206785,189115,173680,133127,102891,112076,119422,138622,151872,162152,170045,171591,182639,178516,193055,196696,208067,209389,210236,218532,228850,232043,232761,236431,241817,257903,260707
"31","23","      Autos","B139RX0",76880,79770,82170,81146,86563,80642,79669,78277,82364,81243,76334,71296,73159,80951,81726,76628,73819,70120,73568,70909,69079,73347,74355,77454,75465,75705,79851,81286,85340,79876,79537,81366,82814,82809,84131,82660,77272,77708,75284,55596,42339,49945,53007,61558,65884,69915,71019,66583,70709,69936,70599,71706,85263,82355,82385,88816,91704,91008,92267,91529,89403,95571,94863
"32","24","        Domestic","GAP660",65089,66478,68532,65763,69283,63270,62219,60366,62792,60370,55993,48784,47921,56217,56149,51765,48530,46814,49571,47612,46004,49670,51790,52535,52248,51625,54651,56801,60747,53407,52782,53600,53016,53163,55601,53387,49065,46458,48749,35465,23031,30458,29159,41211,42517,45387,44746,40398,42960,42776,44370,44638,56502,54538,54943,59852,61716,60593,60657,58885,58828,63252,64170
"33","25","        Foreign","GAP690",11791,13293,13639,15383,17280,17374,17451,17912,19573,20875,20342,22512,25238,24734,25577,24863,25289,23306,23997,23297,23075,23677,22565,24918,23216,24080,25200,24485,24593,26469,26755,27766,29797,29646,28529,29273,28207,31249,26535,20131,19303,19489,23845,20355,23372,24533,26275,26184,27748,27159,26231,27068,28769,27826,27451,28975,29999,30425,31618,32649,30583,32328,30706
"34","26","      Trucks","B705RX0",118380,117239,126358,125882,126267,119274,116757,104033,106383,101667,99159,99174,95924,98615,103341,98072,90661,93791,103365,108658,108013,112181,125977,129803,124772,131778,143023,136475,151200,144597,143975,147391,144647,133196,134802,132365,129531,111436,98388,77550,60567,62124,66408,77062,85994,92253,99013,104889,111798,108467,122283,124814,122761,126926,127737,129673,137068,140906,140392,144720,152067,161970,165401
"35","27","        Light trucks (including utility vehicles)","B196RX0",79095,78291,85790,84934,86730,81966,82671,74760,77735,74873,74151,74812,72863,72744,75089,70869,68367,69208,76877,80393,77716,80667,91286,93010,86301,93049,103678,97379,109316,102834,102413,105581,105829,101458,106351,104989,103157,85298,74104,53498,42868,45538,48260,55749,64446,69709,74202,79982,82955,78085,89831,89402,86520,89877,92090,95975,103360,105287,104930,107952,114776,121309,120726
"36","28","          Domestic","BTRLDD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63263,63092,65813,61572,57697,58571,64989,68763,66179,68800,78292,79042,73464,79897,89373,82047,91851,85345,85516,86506,87495,83840,88311,86017,84345,68443,60502,42506,33143,37149,38972,46426,53878,59061,62072,67062,69178,65929,76320,76321,72967,75668,77985,81473,87772,88791,87977,89980,96634,102367,101732
"37","29","          Foreign","BTRLMD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610,9662,9287,9306,10675,10642,11893,11638,11544,11874,13004,13976,12844,13163,14318,15339,17473,17494,16903,19077,18338,17622,18045,18974,18814,16853,13603,10990,9721,8390,9289,9326,10570,10652,12132,12923,13779,12160,13517,13087,13558,14212,14110,14508,15594,16500,16956,17975,18147,18948,18999
"38","30","        Other trucks, buses, and truck trailers","B197RX0",42050,41691,43008,43570,41631,39270,35152,29848,28796,26736,24584,23740,22318,25785,28511,27561,21815,24491,26212,28078,30681,31918,34973,37297,39595,39518,39710,39737,42419,42537,42300,42415,39102,31651,28124,27083,26176,26156,24340,24043,17698,16591,18144,21313,21532,22531,24807,24902,28842,30397,32450,35423,36246,37057,35658,33707,33706,35616,35454,36759,37277,40650,44691
"39","31","    Net purchases of used autos and used light trucks","W242RX0",-60163,-58817,-61349,-61962,-64757,-60899,-61898,-56859,-61280,-58544,-58666,-54675,-53465,-62163,-63649,-62032,-56326,-52097,-58211,-62727,-59084,-62249,-64461,-62193,-58929,-61089,-63407,-61858,-63989,-59882,-61903,-64862,-68035,-67414,-72945,-68944,-67931,-70485,-73686,-67844,-67876,-75420,-79614,-88060,-73863,-65716,-64903,-61236,-62800,-57203,-57666,-56023,-57120,-53516,-53430,-62086,-64595,-61149,-60606,-60202,-61954,-66808,-66958
"40","32","      Used autos","B140RX0",-32891,-32706,-32599,-32249,-34703,-31474,-31880,-30518,-31174,-30624,-29061,-25815,-26339,-30332,-30630,-29929,-28026,-25935,-28135,-29701,-28953,-31976,-31678,-31254,-30546,-30259,-30788,-32161,-30377,-29534,-30751,-31590,-32008,-31134,-33053,-30889,-32051,-33375,-35150,-30838,-28322,-32897,-35766,-40575,-35361,-30311,-29231,-26771,-30447,-29622,-28162,-26910,-29542,-25920,-25252,-29088,-30397,-29192,-30178,-29440,-28874,-31432,-31198
"41","33","        Margin","GAP720",1040,1127,1125,1029,1142,1046,1091,1143,1166,1210,1142,1146,1096,1035,960,978,1034,973,1040,1028,935,1055,1056,1057,1143,1055,981,991,1017,1018,1046,1048,965,1006,1044,1040,1064,1022,963,851,872,836,803,794,790,786,815,841,875,855,877,891,918,921,964,981,983,973,956,985,1031,1129,1166
"42","34","        Net transactions","GAP750",-33971,-33848,-33738,-33314,-35876,-32546,-32988,-31649,-32326,-31804,-30179,-26914,-27408,-31369,-31604,-30918,-29055,-26899,-29168,-30726,-29886,-33028,-32733,-32310,-31689,-31315,-31767,-33148,-31393,-30550,-31796,-32636,-32965,-32139,-34091,-31923,-33104,-34388,-36110,-31688,-29192,-33736,-36570,-41366,-36149,-31098,-30049,-27618,-31325,-30481,-29045,-27807,-30467,-26846,-26220,-30075,-31386,-30171,-31141,-30431,-29908,-32565,-32364
"43","35","      Used light trucks (including utility vehicles)","W243RX0",-27211,-26039,-28703,-29676,-29999,-29393,-29987,-26293,-30080,-27883,-29595,-28873,-27117,-31830,-33028,-32111,-28289,-26154,-30079,-33043,-30128,-30238,-32779,-30922,-28348,-30818,-32613,-29669,-33610,-30336,-31137,-33260,-36022,-36278,-39895,-38060,-35878,-37107,-38534,-37005,-39553,-42522,-43848,-47487,-38506,-35404,-35671,-34464,-32356,-27585,-29508,-29117,-27585,-27599,-28179,-32999,-34199,-31959,-30433,-30766,-33078,-35376,-35757
"44","36","        Margin","W493RX0",2264,2521,2516,2381,2606,2403,2517,2517,2542,2670,2579,2725,2658,2578,2446,2512,2703,2649,2877,2842,2620,2926,2986,2942,3133,2855,2670,2725,2794,2768,2887,2993,2812,2981,3117,2927,2851,2639,2605,2520,2609,2630,2464,2500,2600,2649,2655,2606,2524,2311,2405,2409,2468,2558,2783,2823,2890,2888,2832,2949,3144,3428,3552
"45","37","        Net transactions","W494RX0",-29428,-28526,-31177,-32016,-32564,-31756,-32462,-28763,-32577,-30501,-32128,-31567,-29767,-34336,-35372,-34549,-30982,-28796,-32939,-35830,-32695,-33161,-35724,-33840,-31508,-33642,-35224,-32360,-36358,-33075,-33997,-36225,-38802,-39224,-42968,-40941,-38680,-39720,-41129,-39513,-42159,-45157,-46311,-49987,-41109,-38063,-38337,-37082,-34894,-29916,-31931,-31545,-30076,-30183,-30990,-35848,-37115,-34876,-33293,-33744,-36254,-38835,-39336
"46","38","  Gross government investment","AB64RX0",12875,11905,13817,15748,14562,14195,13909,14089,15625,14452,14104,13891,14194,14574,15501,14797,17222,15174,16169,14354,16090,15602,15973,14981,16276,15668,18528,16214,16273,17636,19638,19879,16932,16949,21675,20320,19821,19790,21535,15708,18069,16455,17983,17578,17724,16688,17793,16456,17268,15953,16100,13375,13256,14473,17231,14927,12942,13978,16606,15628,15487,16648,17488
"47","39","    Autos","B144RX0",3765,3571,3724,4202,3490,3550,4101,3636,3349,3954,4182,3862,3567,3380,3589,3827,3933,3552,3432,3558,3726,3518,3341,3957,4386,3741,4122,3862,3951,4513,4694,4621,4319,4835,4277,4875,4629,4256,4347,4044,3953,3266,3560,3454,3207,3820,3253,3347,3445,3594,3343,2906,2682,2699,3099,2856,2686,2673,2863,2898,2822,3005,3021
"48","40","      New autos","GAP810",2200,2036,2197,3019,2052,2164,2756,2284,1819,2499,2691,2330,2167,1995,2221,2528,2553,2040,1903,2140,2292,2042,1754,2415,2949,2138,2556,2305,2386,2938,3086,3082,2702,3193,2647,3277,3041,2740,2817,2465,2542,1827,2259,2060,1718,2417,1782,1944,2023,2244,1970,1476,1176,1291,1829,1522,1383,1279,1510,1551,1583,1804,1732
"49","41","      Net transactions in used autos","GAP840",-514,-485,-510,-792,-533,-562,-639,-599,-438,-596,-631,-544,-555,-512,-538,-672,-624,-457,-423,-516,-562,-513,-417,-530,-623,-423,-469,-410,-409,-440,-441,-417,-333,-374,-298,-361,-332,-324,-365,-331,-374,-288,-391,-342,-290,-418,-309,-353,-377,-430,-401,-321,-281,-332,-478,-421,-376,-332,-394,-399,-406,-472,-456
"50","42","      Employee reimbursement","GAP870",2170,2117,2122,2048,2074,2047,2042,2051,2067,2130,2193,2159,2051,1992,1988,2070,2087,2050,2036,2017,2079,2085,2113,2145,2100,2101,2082,2016,2015,2020,2042,1941,1946,1991,1921,1931,1898,1827,1885,1913,1782,1727,1694,1737,1783,1820,1783,1761,1805,1784,1786,1773,1818,1774,1781,1796,1717,1762,1781,1780,1677,1710,1783
"51","43","    Trucks","B708RX0",9092,8314,10081,11535,11079,10647,9782,10446,12290,10485,9904,10014,10621,11200,11921,10965,13297,11629,12755,10794,12369,12088,12636,11042,11909,11936,14410,12359,12331,13136,14954,15269,12628,12142,17389,15454,15198,15534,17183,11681,14120,13190,14422,14121,14509,12885,14526,13109,13819,12375,12763,10480,10575,11760,14109,12062,10259,11297,13712,12716,12649,13623,14436
"52","44","      New trucks","W495RX0",9816,8993,10894,12385,11949,11366,10503,11265,13028,11244,10683,10831,11450,12090,12664,11820,14172,12333,13691,11688,13312,13235,13614,11931,13044,12777,15304,13339,13330,14094,15866,16194,13515,13264,18441,16489,16198,16371,18255,12584,15281,14284,15830,15314,15447,14432,15814,14660,15283,13737,14219,11879,11877,13258,15729,13537,11733,12844,15101,14346,14225,15278,16026
"53","45","        Light trucks (including utility vehicles)","GOVLTD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3332,3277,3440,3492,3861,3584,4459,3871,4094,4700,4111,3901,4819,3741,4322,4676,4866,4917,5049,5073,4709,5898,5795,5766,5934,4972,5890,4261,4838,3947,4560,4160,3462,5106,4146,4585,4197,3950,4303,4007,3739,4425,4930,4531,4628,4946,4517,5200,4954,5169,4916
"54","46","        Other trucks, buses, and truck trailers","QTKGHT0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8242,9017,9436,8443,10537,8884,9250,7819,9305,8470,9601,8051,8128,9142,11140,8647,8419,9164,10867,11178,8806,7261,12669,10703,10227,11405,12366,8327,10445,10335,11268,11156,11995,9318,11669,10072,11087,9787,9913,7867,8135,8830,10795,9000,7095,7886,10586,9138,9264,10102,11107
"55","47","      Net transactions in used light trucks","W496RX0",-709,-661,-793,-849,-855,-734,-720,-804,-783,-761,-764,-794,-816,-872,-775,-842,-895,-733,-934,-876,-934,-1113,-970,-877,-1097,-845,-916,-968,-984,-957,-936,-949,-894,-1103,-1072,-1043,-1008,-863,-1087,-903,-1158,-1089,-1408,-1200,-970,-1512,-1294,-1520,-1446,-1340,-1428,-1354,-1269,-1457,-1588,-1439,-1426,-1500,-1370,-1586,-1535,-1615,-1558
"56","48","  Net exports","AB63RX0",-94637,-96819,-102981,-103907,-110119,-108439,-112614,-111126,-111909,-108523,-108015,-105413,-108554,-110806,-113978,-114760,-106676,-111038,-105335,-111211,-113387,-116434,-111052,-107434,-102138,-104586,-106149,-112793,-116081,-116231,-109971,-118114,-105150,-96951,-103518,-91604,-94197,-87227,-65845,-59123,-40545,-42073,-59958,-70475,-65275,-80608,-80171,-78185,-80143,-57432,-79017,-83395,-93537,-92194,-97168,-97035,-88837,-99219,-106712,-108119,-98063,-106461,-98738
"57","49","    Exports","AB69RX0",28544,29309,28287,29185,31008,29934,27715,27462,25203,28193,29511,28895,29237,31435,31849,33073,33755,35784,32284,36373,34514,36778,40787,41410,44623,44231,44934,47807,50231,49101,51173,50818,55227,62289,63060,66564,66163,68955,72008,56629,34205,33056,42489,50144,52853,53671,54061,57596,61259,64598,66880,67073,70638,70709,69368,70557,72427,74397,73276,71741,69176,76878,82298
"58","50","      Autos","B142RX0",13026,13387,12459,13050,13741,13520,12680,12626,12030,13948,15428,14837,14650,16186,16211,15938,16971,16552,15342,16969,15801,16816,16959,18427,20534,20104,20352,22443,23790,23246,24643,25399,27708,31278,33256,35825,37080,39209,41174,32410,17639,17467,22148,26090,27043,26832,27155,30391,31877,33048,33267,35301,38177,37830,36797,39429,39810,41091,41093,41652,40774,45886,48836
"59","51","      Trucks","B706RX0",15590,15995,15932,16229,17376,16500,15101,14898,13200,14244,14027,14021,14573,15209,15609,17153,16766,19282,16969,19448,18766,20019,23953,23072,24163,24204,24660,25431,26506,25919,26588,25458,27556,31053,29820,30748,29074,29732,30819,24210,16566,15589,20341,24055,25807,26833,26902,27212,29387,31548,33590,31796,32510,32916,32596,31236,32694,33394,32303,30288,28631,31284,33755
"60","52","    Imports","AB70RX0",123181,126127,131268,133092,141127,138374,140328,138588,137112,136716,137526,134308,137791,142241,145827,147833,140431,146821,137619,147584,147901,153212,151839,148844,146761,148816,151083,160601,166312,165332,161145,168933,160377,159240,166578,158168,160360,156182,137853,115752,74751,75129,102448,120619,118128,134279,134231,135781,141402,122030,145897,150469,164176,162903,166536,167592,161264,173616,179989,179860,167239,183338,181035
"61","53","      Autos","B143RX0",66483,67425,71075,70927,74362,73952,75177,74992,74925,73089,72193,69995,72810,78745,78603,77781,72237,74943,72085,77965,74293,72899,77864,73577,70303,69832,71438,75644,76259,76295,80715,84474,74877,77126,83084,77685,81244,79668,78839,71718,43366,44593,61968,69998,62719,74231,80132,78891,81894,68124,84291,88121,94702,95203,95429,99020,99333,108094,108663,108158,99481,110323,110776
"62","54","      Trucks","B707RX0",56593,58623,60077,62086,66709,64333,65056,63477,62046,63538,65284,64285,64925,63325,67110,69987,68177,71874,65488,69563,73633,80416,73971,75318,76547,79095,79746,85064,90182,89160,80495,84529,85606,82204,83569,80559,79163,76560,58988,44040,31379,30544,40485,50614,55354,59967,54138,56868,59513,53896,61574,62286,69450,67643,71098,68479,61708,65247,71148,71541,67633,72877,70131
