"","Table 1BUC# Current Dollar Manufacturing and Trade Inventories, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"11","3","  Durable goods manufacturing industries","S30D0",261402,261561,261387,261578,262951,262873,263833,264482,264496,266337,265628,267569,269311,269332,271401,273145,273448,273963,273475,273964,274026,275549,274683,273331,272280,272362,274575,274163,274022,274370,276992,276726,279092,279008,282303,284893,284877,289652,288274,287400,287310,289589,291444,293846,292515,293483,295465,293472,296199,293514,291363,291116,288335,285937,283315,280216,279033,276217,273852,270691,269361,267921,266747,266206,264322,265272,264081,263673,263516,263421,261997,265273,264009,266138,265744,265505,265610,263337,260539,260267,258612,259822,260251,261864,263402,266107,266889,269760,271337,273832,278003,280701,281376,283091,285110,285280,288940,292686,294459,294811,294427,293578,297453,298418,300810,304020,306779,308201,312327,313701,316773,322375,325202,327688,331882,332525,335244,338297,338386,338911,341433,341858,344019,347071,348276,349616,349418,347306,348475,350512,352283,356097,358800,362302,368528,373568,377715,381180,384203,384747,379417,371718,363479,356453,354528,348438,341161,337299,334738,331167,327340,325623,324559,322990,322109,321647,322690,325488,328657,331462,335007,336318,337696,339969,342782,345781,348764,352874
"12","4","    Wood product manufacturing","S3210",8389,8523,8526,8596,8587,8620,8703,8918,9054,9174,9190,9141,9000,9025,9011,9134,9204,9027,9070,9169,9240,9257,9268,9138,9280,9204,9226,9147,9229,9404,9651,9685,9471,9499,9608,9844,10015,10090,9963,10053,9860,9929,9935,9831,9680,9790,9835,9779,9806,9679,9632,9515,9696,9907,9875,9755,9731,9625,9518,9234,9296,9300,9465,9464,9497,9517,9421,9483,9694,9658,9634,9506,9625,9857,9830,9796,9692,9566,9528,9419,9459,9607,9755,9798,9822,10218,10536,10745,10851,10709,10649,10767,11134,11108,11105,10963,11514,11710,12000,11979,11828,11821,11701,11644,11790,11980,11842,11865,11685,11878,11843,12016,12105,12216,12214,12324,12315,12192,12049,11963,12109,12119,12118,12036,12058,12166,12229,12133,11995,11994,12015,12148,12130,11717,11498,11338,11419,11562,11641,11595,11601,11512,11289,10997,10936,10527,10304,10085,9819,9689,9583,9481,9305,9105,9003,8946,9095,9304,9417,9378,9542,9570,9429,9413,9425,9355,9329,9390
"13","5","    Nonmetallic mineral product manufacturing","S3270",9130,9153,9112,9134,9144,9197,9159,9146,9139,9176,9200,9296,9242,9232,9235,9255,9193,9220,9183,9234,9269,9266,9268,9204,9277,9236,9172,9196,9255,9242,9290,9458,9563,9648,9660,9828,9917,10093,9891,9944,10020,10062,10074,10210,10174,10197,10278,10481,10567,10478,10533,10465,10323,10351,10310,10221,10283,10221,10206,10076,9927,9853,9865,9901,9859,10025,9959,9973,10090,10238,10253,10342,10278,10415,10660,10611,10729,10718,10671,10599,10478,10388,10426,10358,10336,10404,10345,10452,10624,10643,10699,10835,10926,11171,11232,11180,11301,11419,11438,11438,11485,11564,11694,11754,11754,11890,11860,11883,12131,12203,12268,12500,12479,12542,12740,12871,12947,13068,13170,13185,13139,13195,13286,13348,13466,13555,13531,13538,13680,13796,13949,14074,14138,14124,14339,14429,14486,14573,14683,14761,14729,14672,14600,14523,14566,14371,14224,14007,13814,13661,13275,13091,13026,12999,12881,12698,12656,12596,12663,12571,12603,12617,12726,12767,12827,12904,12911,12906
"14","6","    Primary metal manufacturing","S3310",20733,21012,21419,21261,21368,21470,21426,21592,21556,21701,21650,21577,21401,21031,21041,21104,21196,21277,21148,21192,21310,21032,20918,20745,20626,20504,20459,20495,20858,21081,21235,21463,21639,22043,22441,22729,22922,23072,22936,22739,22799,22666,22843,22991,22964,23063,22834,22687,22981,22693,22388,22073,21567,21155,20692,20460,20334,20250,19924,19808,19530,19336,19223,19169,19185,19526,19459,19520,19600,19657,19856,20085,20112,20428,20319,20109,20014,19548,19137,19219,19051,18912,19178,19285,19745,20363,20823,21248,21406,21787,22290,23101,23733,24866,25432,25669,26385,26845,27497,27558,27455,27115,27104,27243,27456,27978,28651,29352,30149,30688,30950,32072,33266,33413,33690,34029,34825,35290,35282,35184,35140,35374,36185,36857,36914,37176,37262,36584,35826,35632,35709,36065,36659,37867,39642,41003,41934,42446,42876,42735,41034,38455,35498,33293,32156,30965,29640,28612,27938,27675,27446,27742,28245,28085,28156,28514,28911,29369,30196,31729,32419,32209,32287,32346,32762,33537,34191,34950
"15","7","    Fabricated metal product manufacturing","S3320",29644,29641,29960,29804,30090,30316,30288,30364,30418,30511,30761,31133,31058,30930,31047,31202,31141,31496,31220,31279,31401,31329,31189,30995,31070,30793,30913,30982,31067,30981,31082,31241,31525,31679,31881,32286,32270,33057,32759,32573,33020,33201,33490,33611,33550,33648,33743,33372,33664,33348,33315,33063,32393,32858,32525,32176,32322,32221,31978,31569,31604,31404,31545,31412,31040,31907,31655,31658,31898,31757,31717,31920,31888,32525,33111,32688,32447,32193,31399,31511,31361,31461,31965,32135,32562,33320,33459,33968,34451,34960,35871,36789,36918,37017,37081,37231,37655,38185,38391,38595,38593,38272,38588,38810,39023,39395,39991,40257,40905,41271,41644,42263,42851,43472,44040,44346,44615,44899,44876,45043,45352,45868,46471,46835,46812,46821,46680,46163,46339,46709,46877,47568,48216,48941,50051,51723,53214,53837,54754,54888,53430,51040,49148,47860,46871,45943,44414,43750,43228,42899,42569,42762,42735,42301,42274,42388,42704,43187,44030,44552,44758,44707,44986,45099,45099,45405,45790,46318
"16","8","    Machinery manufacturing","S3330",35316,35006,34959,35139,35633,35707,35468,35582,35590,35897,36192,36296,36386,36718,36739,36932,36822,36504,36989,37454,37477,37550,37725,37188,37766,37445,37329,37674,37321,36875,37450,37234,37062,37383,37896,37728,38333,39380,38903,39173,39194,39367,40042,40500,40237,40717,40677,40810,41314,40735,40803,40982,40078,39641,39346,38240,38415,37543,37336,36877,36926,36477,36595,36709,36161,35855,36039,35767,35504,35680,35397,36005,36022,35891,35439,35445,35240,34914,34772,34455,34239,34646,34378,34565,34976,35317,35012,35388,35962,36083,36615,37142,36914,36967,37525,37363,37897,38305,38588,39044,38945,38836,39302,39753,40075,40450,40586,40849,41520,41818,42145,42718,43252,43462,44027,44156,44861,45260,45203,45814,46470,46580,46566,46750,46797,46945,47492,47255,47603,48119,48093,48107,48841,49204,50185,51048,51756,51949,53003,52956,52194,51497,50607,50002,51313,50209,48858,48014,47223,46324,45870,45624,45102,44479,43958,43270,43431,43139,43336,43778,44172,44187,45003,45371,45619,46353,46780,46839
"17","9","    Computer and electronic product manufacturing","S3340",55864,55347,55001,55287,55324,55159,56469,56418,56384,56611,56967,56619,56863,56287,56961,57234,56908,56143,55322,54412,53588,53624,53108,52331,52223,52594,54260,54193,54054,54299,53738,53997,54551,53674,54253,55540,55124,56202,56377,56658,57638,59148,60395,62071,61194,62418,64522,64929,66145,65770,64689,64715,64629,63559,62399,61735,59906,58606,57963,56284,55874,54975,54774,54374,53637,53235,52574,52422,51757,51383,50934,50638,49546,49789,49833,49895,50266,49601,49190,48658,47971,48368,48518,48713,48497,48483,49100,49483,49429,50354,50813,50662,50849,51318,51267,51612,52109,52342,51811,51818,51810,51701,52932,53018,53257,53313,54039,53696,54763,53712,54479,55353,54869,54875,55261,55571,55677,56466,56067,56230,56574,55514,55377,55548,55581,55684,54838,53909,54530,55235,54818,54507,54692,55754,56930,57241,57736,58696,58641,59334,59449,59258,59375,58229,58723,58087,57303,56628,56209,56188,54244,54095,54639,54354,54306,54614,53704,54074,54381,54230,55104,55996,56051,56384,56573,56604,56457,56891
"18","10","    Electrical equipment, appliance, and component manufacturing","S3350",12568,12713,12822,12933,13112,13203,13316,13308,13228,13150,13175,13158,13195,13148,13258,13176,13086,13063,13040,13126,13095,13169,13146,13064,12964,12841,12814,12899,12977,13054,13111,13053,13359,13445,13475,13514,13584,13849,13742,13704,13771,13789,14113,14370,14529,14519,14317,14401,14431,14468,14352,14370,14136,13902,13666,13553,13622,13612,13467,13384,13341,13368,13315,13367,13351,13405,13492,13399,13397,13335,13283,13251,13243,13312,13300,13301,13283,13189,12961,12990,12836,12854,12898,13033,13147,13117,13240,13228,13408,13557,13668,13961,14041,14074,13989,14034,14083,14163,14338,14396,14295,14191,14168,14196,14443,14565,14679,14820,15080,15188,15460,15798,16003,16363,16612,16895,16736,16771,16824,17047,16986,16997,17128,17407,17617,17583,17681,17639,17421,17815,18176,18339,18610,19086,19214,19656,19700,19927,19928,19919,19536,19086,18399,17834,17359,16819,16594,16378,16460,16211,16069,16173,16118,15898,15834,15841,15983,16029,16185,16280,16448,16561,16780,17061,17311,17458,17496,17480
"19","11","    Transportation equipment manufacturing","S3360",68656,69164,68453,68565,68681,68109,68128,68002,67954,68859,67124,68720,70681,71419,72514,73193,73817,75563,75554,76140,76667,78274,78204,78954,77367,78030,78514,77538,77098,77188,79015,78136,79228,78734,79978,80151,79041,79844,79676,78663,76957,77288,76263,75652,75391,74255,74259,72216,72243,71234,70162,70775,70285,69291,69702,69565,69884,69927,69377,69426,69168,69523,68212,68219,67932,67884,67613,67632,67311,67671,67043,69313,68951,69470,68634,68902,69158,68536,67873,68309,68036,68410,67802,68462,68560,68866,68275,69003,68916,69447,70805,70572,69863,69529,70550,70271,70924,72355,72967,72456,72610,72496,74068,73620,74193,75209,75655,75768,76196,76865,77732,79000,79583,80677,82408,81092,82102,83032,83510,82895,83828,84270,84850,86301,86794,87187,87274,87885,88770,88777,89908,92217,92330,92400,93162,93414,93526,93853,93942,93792,93044,92250,91157,90428,89626,88959,87587,87852,88278,86955,87275,85589,84480,85130,85082,84960,85717,87198,87633,87833,88447,88968,89137,90027,91389,92001,93411,95250
"20","12","      Motor vehicle and parts manufacturing","S3MV0",22676,22908,23217,23250,23672,23032,22811,23066,23300,23005,22838,22971,23296,23013,23542,22995,22832,23764,23008,22531,22701,22553,23030,23071,22791,22545,23267,23021,22869,23230,23763,23712,23683,23860,24581,24932,24844,25267,25010,24895,25202,25214,25458,25632,25355,25530,25571,25189,25030,24596,24015,24328,23880,23742,23625,23199,23102,22881,22381,22270,21791,21724,21909,22453,22634,22915,23191,22970,23518,23530,23396,23664,23289,23899,23562,23680,23723,23686,23601,23938,23658,23816,24004,24277,24669,24722,24705,24833,24877,25318,25609,25652,26068,26175,26407,26166,26543,26783,27184,27161,26948,27055,26783,26906,26541,27295,27624,27312,27409,27604,27813,28201,28337,28740,29160,29006,28873,29054,29462,29131,29531,29507,29309,29230,29318,29225,29314,29103,29099,28945,28657,28767,28465,28374,28762,28961,29175,29629,29644,29213,28400,27995,26943,25911,25190,24952,24246,23845,23817,22661,22502,22326,22052,21896,21814,21909,22257,23768,23917,24232,24616,24656,24810,25124,25209,25355,25754,25797
"21","13","      Other transportation equipment manufacturing","S3OT0",45980,46256,45236,45315,45009,45077,45317,44936,44654,45854,44286,45749,47385,48406,48972,50198,50985,51799,52546,53609,53966,55721,55174,55883,54576,55485,55247,54517,54229,53958,55252,54424,55545,54874,55397,55219,54197,54577,54666,53768,51755,52074,50805,50020,50036,48725,48688,47027,47213,46638,46147,46447,46405,45549,46077,46366,46782,47046,46996,47156,47377,47799,46303,45766,45298,44969,44422,44662,43793,44141,43647,45649,45662,45571,45072,45222,45435,44850,44272,44371,44378,44594,43798,44185,43891,44144,43570,44170,44039,44129,45196,44920,43795,43354,44143,44105,44381,45572,45783,45295,45662,45441,47285,46714,47652,47914,48031,48456,48787,49261,49919,50799,51246,51937,53248,52086,53229,53978,54048,53764,54297,54763,55541,57071,57476,57962,57960,58782,59671,59832,61251,63450,63865,64026,64400,64453,64351,64224,64298,64579,64644,64255,64214,64517,64436,64007,63341,64007,64461,64294,64773,63263,62428,63234,63268,63051,63460,63430,63716,63601,63831,64312,64327,64903,66180,66646,67657,69453
"22","14","    Furniture and related product manufacturing","S3370",6919,6844,6899,6842,7030,7030,7054,7009,7029,6988,7048,7127,7073,7108,7077,7200,7281,7205,7132,7193,7186,7199,7143,7128,7148,7125,7188,7242,7250,7283,7426,7421,7377,7490,7569,7634,7752,7890,7879,7854,7874,7947,7896,7933,8012,7987,8051,7965,7980,7967,8225,8117,8035,7936,7770,7616,7685,7570,7553,7378,7315,7357,7369,7335,7394,7430,7526,7546,7698,7678,7722,7784,7836,7806,7872,7896,7860,7869,7956,7950,7863,7996,8047,8006,7945,8106,8209,8373,8388,8348,8355,8521,8607,8554,8464,8531,8616,8709,8770,8684,8626,8676,8654,8705,8969,9060,9079,9101,9179,9164,9276,9287,9260,9273,9307,9346,9300,9337,9347,9185,9210,9219,9150,9232,9219,9260,9244,9188,9166,9177,9230,9349,9312,9247,9300,9326,9550,9580,9665,9637,9478,9274,9056,8909,8778,8475,8300,8143,8031,7864,7709,7639,7575,7493,7430,7371,7361,7414,7484,7668,7813,7837,7787,7835,7833,7895,7899,7981
"23","15","    Miscellaneous durable goods manufacturing","S3390",14183,14158,14236,14017,13982,14062,13822,14143,14144,14270,14321,14502,14412,14434,14518,14715,14800,14465,14817,14765,14793,14849,14714,14584,14559,14590,14700,14797,14913,14963,14994,15038,15317,15413,15542,15639,15919,16175,16148,16039,16177,16192,16393,16677,16784,16889,16949,16832,17068,17142,17264,17041,17193,17337,17030,16895,16851,16642,16530,16655,16380,16328,16384,16256,16266,16488,16343,16273,16567,16364,16158,16429,16508,16645,16746,16862,16921,17203,17052,17157,17318,17180,17284,17509,17812,17913,17890,17872,17902,17944,18238,18351,18391,18487,18465,18426,18456,18653,18659,18843,18780,18906,19242,19675,19850,20180,20397,20610,20719,20914,20976,21368,21534,21395,21583,21895,21866,21982,22058,22365,22625,22722,22888,22757,23018,23239,23187,23012,23145,23258,23508,23723,23872,23962,24207,24390,24394,24757,25070,25130,24922,24674,24350,24378,24200,24083,23937,23830,23738,23701,23300,23427,23334,23146,23185,23045,23128,23178,23332,23443,23701,23666,23510,23666,23944,24269,24500,24869
"24","16","  Nondurable goods manufacturing industries","S30N0",159868,159490,159639,159801,160673,161217,160502,161593,162287,163368,164169,164419,163547,162969,162787,162377,162266,161802,161926,161048,160360,160339,160572,158925,159385,158836,159465,160864,162649,162702,163557,165027,166945,168688,170673,172715,174139,176089,176107,176288,177640,179144,180477,180127,181131,183054,184020,183021,185994,183253,183007,182859,181740,180217,177943,175722,175589,173291,171484,170223,169946,167960,168707,169936,169749,170314,172662,174170,176309,177462,178015,178445,180140,183801,183283,182670,182021,181734,180338,181544,181737,183279,185913,185712,186179,188215,188573,190442,192571,193134,194343,196595,198477,201453,202935,201934,204160,206692,209674,210234,208170,209827,212410,213972,217431,221135,219944,223280,227538,226534,226654,228895,230852,233839,235623,236787,236145,234647,236134,236770,236565,238313,239187,241211,243429,245086,245837,246583,255243,262991,272536,279542,291517,297151,302346,304399,308698,316004,316580,312826,302593,285645,270146,251273,247519,244007,244990,243771,245433,245574,245756,248354,251548,260480,267252,272071,266410,269756,268846,266173,258045,252075,255686,257394,263740,272360,280283,288783
