ProdLine,NAICS,PCEcode,SeasSource,NAICS_Desc,PCEcode_Desc
0384,448140,NEC,BEA,Family Clothing Stores,Nonelectric cookware and tableware
0384,451120,NEC,BEA,Hobby & Toy & Game Stores,Nonelectric cookware and tableware
0384,452110,NEC,Census,Department Stores (exc Discount) (2002),Nonelectric cookware and tableware
0384,452910,NEC,Census,Warehouse Clubs & Superstores,Nonelectric cookware and tableware
0384,452990,NEC,Census,All Other General Merchandise Stores,Nonelectric cookware and tableware
0384,454100,NEC,Census,Electronic Shopping & Mail-Order Houses,Nonelectric cookware and tableware
0384,454390,NEC,BEA,Other Direct Selling Establishments,Nonelectric cookware and tableware
0385,442100,NEC,BEA,Furniture Stores,Nonelectric cookware and tableware
0385,444110,NEC,Census,Home Centers,Nonelectric cookware and tableware
0385,445110,NEC,BEA,Grocery (except Convenience) Stores,Nonelectric cookware and tableware
0385,448140,NEC,BEA,Family Clothing Stores,Nonelectric cookware and tableware
0385,451120,NEC,BEA,Hobby & Toy & Game Stores,Nonelectric cookware and tableware
0385,454100,NEC,Census,Electronic Shopping & Mail-Order Houses,Nonelectric cookware and tableware
0385,454390,NEC,BEA,Other Direct Selling Establishments,Nonelectric cookware and tableware
0387,444110,NEC,Census,Home Centers,Nonelectric cookware and tableware
0387,445110,NEC,BEA,Grocery (except Convenience) Stores,Nonelectric cookware and tableware
0387,448140,NEC,BEA,Family Clothing Stores,Nonelectric cookware and tableware
0387,451120,NEC,BEA,Hobby & Toy & Game Stores,Nonelectric cookware and tableware
0387,451211,NEC,BEA,Book Stores,Nonelectric cookware and tableware
0387,453100,NEC,Census,Florists,Nonelectric cookware and tableware
0387,453210,NEC,Census,Office Supplies & Stationery Stores,Nonelectric cookware and tableware
0387,453220,NEC,Census,Gift& Novelty & Souvenir Stores,Nonelectric cookware and tableware
0387,454100,NEC,Census,Electronic Shopping & Mail-Order Houses,Nonelectric cookware and tableware
0387,454390,NEC,BEA,Other Direct Selling Establishments,Nonelectric cookware and tableware
0601,444110,HDW,Census,Home Centers,"Tools, hardware, and supplies"
0601,444130,HDW,Census,Hardware Stores,"Tools, hardware, and supplies"
0601,444190,HDW,Census,Other Building Material Dealers,"Tools, hardware, and supplies"
0601,452110,HDW,Census,Department Stores (exc Discount) (2002),"Tools, hardware, and supplies"
0601,452910,HDW,Census,Warehouse Clubs & Superstores,"Tools, hardware, and supplies"
0601,454100,HDW,Census,Electronic Shopping & Mail-Order Houses,"Tools, hardware, and supplies"
0602,444110,HDW,Census,Home Centers,"Tools, hardware, and supplies"
0602,444130,HDW,Census,Hardware Stores,"Tools, hardware, and supplies"
0602,444190,HDW,Census,Other Building Material Dealers,"Tools, hardware, and supplies"
0602,452110,HDW,Census,Department Stores (exc Discount) (2002),"Tools, hardware, and supplies"
0602,452910,HDW,Census,Warehouse Clubs & Superstores,"Tools, hardware, and supplies"
