"Code","sumril2004q1","sumril2004q2","sumril2004q3","sumril2004q4","sumril2005q1","sumril2005q2","sumril2005q3","sumril2005q4","sumril2006q1","sumril2006q2","sumril2006q3","sumril2006q4","sumril2007q1","sumril2007q2","sumril2007q3","sumril2007q4","sumril2008q1","sumril2008q2","sumril2008q3","sumril2008q4","sumril2009q1","sumril2009q2","sumril2009q3","sumril2009q4","sumril2010q1","sumril2010q2","sumril2010q3","sumril2010q4","sumril2011q1","sumril2011q2","sumril2011q3","sumril2011q4","sumril2012q1","sumril2012q2","sumril2012q3","sumril2012q4","sumril2013q1","sumril2013q2","sumril2013q3","sumril2013q4","sumril2014q1","sumril2014q2","sumril2014q3","sumril2014q4","sumril2015q1","sumril2015q2","sumril2015q3","sumril2015q4"
"LOT",-1,0,1,5,0,0,0,-4,0,0,0,11,0,0,0,14,0,0,0,33,0,0,0,-41,0,0,0,-3,0,0,0,29,0,0,0,20,0,0,0,26,0,0,0,13,0,0,0,20
"LPF",-2,136,44,57,97,298,-67,11,-41,48,244,-211,-32,-175,209,-120,-297,-210,362,160,196,-29,12,81,18,16,104,69,27,-22,62,11,-48,-14,-15,99,58,97,-87,-81,-115,23,13,-35,64,-29,8,129
"LPG",-2,137,44,57,96,298,-67,11,-41,48,245,-211,-33,-175,209,-120,-297,-210,362,160,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LUB",-7,-1,-3,1,0,0,0,2,1,2,1,2,0,1,0,0,1,-4,-5,-4,-27,31,-91,-34,-45,82,184,-88,-100,-23,-88,-19,-11,-65,-66,-57,167,-138,107,-56,46,0,107,-104,20,-16,74,-67
"LUG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,67,-58,-75,-183,205,48,-9,-258,-77,195,-475,-933,2379,2028,-959,-353,117,485,-1348,-679,459,97,200,-14,-191,-1375
"LWN",-34,2,10,25,5,-14,23,20,-14,4,8,21,11,12,-14,3,14,26,8,11,23,35,23,58,62,-61,41,-33,40,-11,6,8,-29,-13,1,10,-4,6,-6,8,-8,18,13,13,4,17,2,45
"MAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-2941,-259,-2482,-193,-1044,-1650,-174,1450,196,-577,1075,517,886,804,330,1746,84,-3005,1349,1876,1426,1684,1209,873,-1218,213
"MAG",237,317,12,-23,9,89,188,-121,116,-83,-214,0,135,58,-30,-429,-190,32,67,479,-230,92,35,99,-202,-59,-54,20,64,-110,218,-279,160,45,-111,263,170,-531,-202,-443,60,-55,387,30,374,334,123,-72
"MAP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-162,-397,95,-80,-90,-224,27,152,148,-68,-130,-13,25,-204,-14,393,215,-59,-271,-527,-15,341,278,478,126,34,65
"MAR",0,12,0,0,0,1801,-1121,-200,437,1333,-1101,-448,-203,-310,98,65,-499,634,145,-788,889,711,-1156,-188,119,-754,473,285,-1077,-1213,539,900,-661,243,-490,392,878,-53,-1057,761,264,78,365,-60,231,-183,-421,84
"MBB",-4820,64,-20,-681,-750,1389,1009,-896,-463,-830,-503,1300,1200,904,-1866,-107,-5885,3879,-777,-4745,1897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MBC",-20,172,416,-95,33,25,110,-160,107,-115,228,311,235,95,-451,-458,326,267,-905,488,-1212,-428,147,245,661,-63,154,-143,-384,290,228,45,35,194,-435,197,372,-459,-27,-822,-12,-244,222,-930,79,335,-286,-238
"MBE",-2302,-860,77,868,455,-5046,3042,698,-10626,269,7059,-518,738,1352,4565,14294,-6325,-14840,-13440,-11026,-5049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MBF",1533,6287,4456,2222,-93,2674,2385,-849,2267,-737,-543,-2087,2030,2181,-1438,-726,7198,4055,5122,-1450,-7007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MBH",444,105,24,745,7,81,34,-435,-57,-176,-15,-53,740,-14,12,-892,-30,1,38,590,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MBM",-648,-121,-84,912,1189,-777,-2035,148,-572,-1259,-1780,-1333,1273,-3673,1241,3123,5815,-425,-2438,3250,1113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MBN",2269,396,1584,-624,204,204,616,1275,1275,-683,-620,-1214,2117,880,-146,-2348,4415,834,355,-123,-1789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MBO",-465,-660,515,-783,0,289,1114,-2665,-397,1860,-602,1358,-614,109,-919,125,-3562,116,-230,-967,-1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MBP",-1297,11541,8545,-4884,1479,-4763,5875,365,-10053,-1011,85,-4882,12649,3913,408,7267,1762,-7641,-17032,-10619,-17561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MBR",9,-31,-23,-602,-1,549,180,-682,-312,1541,259,187,-126,2229,-212,560,-2552,-102,-9,-1718,-814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MBT",171,526,38,99,147,-71,-61,328,139,440,-189,335,488,-881,524,517,77,-1028,-645,730,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MBV",1398,2784,1391,-6182,-437,-5607,-3167,4553,-1290,-142,-2183,-1396,935,-2164,-82,-458,-1385,-2647,-1631,2812,-2580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MBX",-529,6114,4013,-7974,1118,-2389,448,516,-1695,-544,-6432,-2277,9881,382,-2720,-6300,889,3144,-8714,1857,-5505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCL",-23,182,409,-98,34,22,123,-156,103,-116,233,298,251,113,-452,-480,332,280,-927,476,-1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCO",-18,171,416,-97,33,25,109,-160,100,-121,229,309,241,94,-455,-453,324,274,-911,496,-1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCY",63,179,-493,-135,308,-120,546,-313,-225,-127,-98,-1,-94,136,139,-101,-31,543,-179,-923,14,0,533,-118,-214,-277,255,-485,575,51,-415,284,224,-57,2,-55,-181,-113,92,192,-171,-98,307,77,-51,267,103,357
"MDE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,-199,48,-41,-40,-102,12,69,56,-30,-55,-10,19,-76,-27,233,40,-10,-115,-342,-2,208,145,301,8,58,150
"MDF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,136,-344,-54,98,-354,-496,-699,65,-755,-658,1423,26,507,-1076,-851,-220,486,419,-622,78,-441,-537,373,817,-406,1465
"MDP",-10,22,23,-9,4,6,11,-18,-4,2,-31,-22,32,34,1,-10,32,58,9,33,14,-55,-36,9,-34,-11,15,-8,-29,-9,8,-8,59,25,-30,28,-2,-26,46,-38,-30,2,8,9,-51,-1,-47,30
"MDS",-31,45,-17,22,-1,-4,-5,-35,-42,-7,2,-45,25,-11,-42,11,62,20,1,86,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEA",49,70,73,15,-4,49,-4,-6,11,-9,-28,5,34,5,-56,-74,223,73,41,-228,-224,-30,-73,17,-15,-16,-41,5,28,27,-13,-24,-2,5,-38,-2,72,45,-12,-57,-110,-3,71,57,100,27,7,14
