"","Table 4BU3# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152"
"11","54","  Durable goods industries","KS30DF0",72559,73259,72107,73878,74515,74822,75897,76298,76348,77949,77072,77600,78385,79565,80447,80065,80349,80141,80131,80594,81163,81522,82708,82569,82235,82502,83291,83688,83835,83724,83290,84356,84229,84454,84713,85424,85689,85828,85531,86389,85506,86161,87426,88603,88353,89795,89640,89520,91077,90852,89399,90129,89931,90067,89147,88713,87875,87100,86275,85814,85133,84632,84248,84556,84110,84190,84370,84120,84068,84140,84078,83814,83535,84243,84267,84033,83631,83499,82973,82835,82608,82405,82340,82548,81782,81911,81964,81361,82230,82602,82424,83362,84153,83829,83952,84502,85165,86214,87269,87727,87862,87345,88257,88719,88098,89128,89770,89309,90410,90202,89973,90493,90701,91193,91668,92899,93273,93658,94585,94184,94502,94647,94650,93862,92990,92863,92655,91761,92941,91955,92147,92550,91979,92354,93214,92916,92307,91794,91175,91513,91220,90979,90886,90880,89619,88630,87704,86855,85835
"12","55","    Wood product manufacturing","KS321F0",3251,3225,3211,3180,3158,3207,3341,3438,3480,3550,3566,3495,3441,3440,3405,3505,3540,3377,3481,3649,3662,3710,3779,3718,3684,3660,3632,3603,3724,3858,4078,3903,3847,3845,3863,3982,4028,4040,3999,4153,4008,4163,4322,4169,4075,4186,4142,4273,4211,4241,4126,4090,4240,4471,4497,4429,4233,4235,4120,3977,4198,4008,4143,4162,4221,4110,4085,4114,4279,4286,4245,4128,4146,4315,4268,4205,4094,3965,3913,3821,3885,3884,3994,3924,3795,4021,4145,4164,4262,4187,4031,4073,4223,4041,4198,4106,4401,4528,4639,4592,4513,4524,4491,4472,4456,4615,4526,4474,4447,4433,4401,4516,4544,4628,4664,4700,4779,4669,4614,4586,4566,4536,4510,4394,4290,4366,4383,4384,4318,4305,4171,4183,4074,3966,3869,3820,3838,3832,3854,3866,3905,3850,3763,3782,3795,3743,3780,3725,3691
"13","56","    Nonmetallic mineral product manufacturing","KS327F0",5890,5862,5912,5931,5949,6098,5951,5869,5808,5685,5772,5843,5833,5865,5928,5930,5976,5930,5827,5806,5840,5883,5939,5878,5899,5861,5757,5674,5786,5707,5723,5882,5861,5955,5966,6025,6107,6050,5927,6005,5920,5897,5922,5895,5941,5931,5994,6071,6035,5973,6025,5976,5925,5978,5918,5866,5869,5819,5773,5760,5619,5626,5633,5585,5573,5681,5639,5736,5753,5782,5846,5892,5876,5924,6052,6166,6227,6290,6200,6199,6100,5913,5845,5804,5816,5828,5840,5824,5905,5845,5834,5906,5861,6041,6041,5978,5990,6098,5978,6010,5990,5973,6101,6054,6001,6044,6055,6050,6126,6059,6045,6142,6094,6081,6148,6132,6249,6332,6334,6315,6196,6239,6179,6168,6158,6129,6061,6051,6115,6069,6015,6026,5901,5923,6082,6093,6134,6060,6028,6077,6042,6034,6130,6128,6066,5955,5854,5708,5700
"14","57","    Primary metal manufacturing","KS331F0",7788,7768,8014,7964,7977,8015,7969,8120,8131,8163,8338,8341,8420,8298,8269,8297,8408,8528,8589,8763,8806,8819,8750,8804,8717,8724,8501,8665,8779,8809,8821,8860,8796,8886,8921,8808,8905,8839,8795,8886,8925,8813,8907,8863,8908,8987,8974,8894,9048,8928,8832,8739,8557,8448,8375,8237,8370,8340,8165,8204,8035,8094,8076,8009,7973,8103,7977,8016,7995,7972,8086,8105,8087,8087,8157,8207,8074,8041,7980,8034,7838,7783,7977,7856,7848,7808,7670,7607,7676,7673,7657,7779,7898,8214,8314,8431,8573,8762,9224,9097,8972,8847,8917,8842,8657,8924,8936,8997,9119,8997,8846,8913,8964,8880,8908,8931,9031,9361,9230,9066,8946,8974,8941,8948,8525,8707,8907,8936,8944,8671,8597,8624,8641,8695,8989,8792,8813,8703,8494,8828,8719,8481,8046,7589,7498,7332,7190,6969,6762
"15","58","    Fabricated metal product manufacturing","KS332F0",11346,11392,11352,11429,11562,11604,11490,11520,11545,11670,11703,11751,11861,12177,12062,12019,12108,12208,12192,12318,12289,12359,12541,12508,12598,12530,12818,12813,12753,12596,12660,12617,12508,12703,12802,12869,13135,12886,12750,12800,12776,12900,12892,13095,13154,13227,13270,13330,13521,13454,13411,13408,13464,13349,13294,13233,13274,13370,13198,13015,12961,12874,12775,12856,12662,12998,12791,12831,12932,12873,12872,12958,13064,13600,13790,13527,13481,13368,13124,12895,12748,12760,12830,12739,12558,12617,12581,12457,12548,12692,12882,12988,12871,12722,12533,12609,12672,12773,12804,13044,13169,13141,13108,13113,12969,12921,12969,13062,13090,13076,13244,13191,13200,13137,13150,13361,13457,13351,13418,13455,13473,13412,13386,13197,13084,13102,13005,12631,12656,12690,12799,12702,12699,12700,12679,12783,12693,12534,12500,12508,12400,12296,12332,12466,12422,12586,12525,12330,12363
"16","59","    Machinery manufacturing","KS333F0",11868,11934,11684,11840,12066,12130,12009,11998,12077,12343,12239,12297,12193,12541,12678,12688,12546,12464,12753,12909,13070,13171,13435,13409,13355,13184,13202,13328,13196,13114,12922,12938,13087,13263,13380,13421,13324,13538,13665,14529,13630,13585,13885,14235,14055,14192,14241,13977,14430,14140,14192,14302,13929,13942,13681,13609,13534,12985,12806,12691,12623,12389,12531,12386,12371,12292,12463,12375,12472,12512,12541,12626,12557,12670,12423,12539,12473,12327,12246,11878,11740,11839,11752,11922,11901,11813,11944,11771,11767,11923,11897,12038,12015,11877,11906,12091,11981,12191,12348,12448,12578,12447,12749,12810,12882,12684,12754,12873,13054,13034,12973,13106,13199,13242,13105,13411,13624,13754,13812,13881,13850,14016,13860,13912,14022,13950,14011,13777,13977,13873,14231,14309,14437,14486,14657,14759,14598,14361,14239,14103,13694,13783,14025,14156,13910,13574,13311,13274,12989
"17","60","    Computer and electronic product manufacturing","KS334F0",10300,10275,9682,10477,10593,10510,11183,11735,11371,11702,11753,11627,11829,12134,12411,12333,12437,12491,12161,12052,12144,12121,12213,12206,11966,12426,13003,13041,13033,13027,12488,13197,13228,13006,12885,13203,13124,12841,12795,12762,12850,12664,12922,13051,13555,14282,14486,14667,15013,15286,14240,14579,15032,15266,14971,14977,14224,14074,14042,13720,13892,13690,13215,13496,13413,13145,13314,13391,12517,12603,12517,12270,12182,12240,12529,12360,12334,12474,12487,12505,12825,12682,12632,12571,12243,12265,12227,11961,12339,12580,12469,12638,12903,12847,12688,12974,13176,13218,13222,13272,13360,13373,13489,13543,13437,13556,13802,13715,13777,13492,13944,14205,14104,14007,14123,14111,14339,13938,14499,14583,14833,14637,14907,14931,14432,14433,13944,14162,14641,14143,14134,14315,14222,14394,14649,14438,14590,14583,14537,14877,14711,14703,14692,15019,14475,14371,14076,14193,14290
"18","61","    Electrical equipment, appliance, and component manufacturing","KS335F0",3705,3788,3735,3798,3886,3917,4055,4075,4000,3935,3933,3881,3942,4007,4069,4083,4060,4013,4070,4101,4163,4246,4292,4270,4189,4170,4131,4229,4213,4231,4162,4062,4191,4168,4161,4141,4069,4085,4117,4137,4225,4147,4169,4339,4299,4369,4045,4316,4336,4289,4299,4196,4063,4005,3869,3897,3856,3862,3855,3953,3962,4007,3938,3954,3924,3965,3988,3935,3998,3986,3960,3844,3789,3805,3834,3862,3873,3797,3732,3703,3670,3679,3752,3735,3653,3581,3562,3488,3563,3575,3686,3723,3704,3645,3555,3530,3549,3563,3558,3659,3645,3551,3519,3462,3457,3509,3442,3441,3525,3503,3565,3512,3470,3642,3641,3716,3708,3645,3759,3831,3869,3791,3785,3795,3718,3651,3716,3840,3828,3981,3912,3926,3910,3974,3880,3877,3810,3784,3776,3747,3830,3770,3809,3846,3625,3637,3619,3653,3621
"19","62","    Transportation equipment manufacturing","KS336F0",10739,11278,11054,11477,11661,11685,12179,11424,11988,12736,11562,12120,12531,12635,13030,12669,12586,12616,12494,12532,12731,12845,13244,13403,13545,13476,13572,13552,13485,13607,13741,14017,13720,13452,13619,13731,13527,14132,13889,13632,13529,14337,14643,15011,14274,14368,14166,13722,14020,13875,13768,14286,14164,14001,14046,13869,13984,14066,14075,14210,13480,13587,13926,14002,13937,13737,13819,13477,13739,13912,13729,13654,13539,13245,12830,12712,12654,12914,13096,13380,12967,12963,12961,12998,13023,13010,13011,13208,13149,13182,13134,13170,13673,13415,13686,13688,13713,14148,14443,14585,14492,14258,14447,14639,14377,14924,15186,14494,15042,15471,14713,14711,14978,15318,15572,16052,15522,15959,16287,15747,16173,16359,16339,16194,16227,15953,15989,15494,15842,15524,15380,15601,15374,15458,15606,15468,15105,15184,15027,14789,15175,15284,15279,15049,14958,14658,14587,14339,13875
"20","63","      Motor vehicle and parts manufacturing","KS3MVF0",5983,6076,5962,5983,6092,5855,5804,5519,5700,5786,5706,5799,6009,5936,6007,5915,5877,5906,5796,5823,5975,6197,6383,6172,6245,6278,6300,6385,6255,6469,6536,6662,6585,6603,6573,6550,6608,6756,6768,6653,6617,7034,7117,7171,7021,7134,7158,6987,6971,6784,6847,6996,6887,6792,6768,6630,6570,6516,6386,6534,6059,6069,6400,6552,6699,6540,6781,6582,6840,6929,6870,6749,6800,6744,6429,6453,6551,6684,6857,7151,6746,6816,6697,6857,7168,6948,6846,6812,6627,6763,6605,6667,7045,6939,7094,6976,6951,7121,7315,7337,7271,7244,7142,7378,7128,7331,7615,7192,7604,7893,7348,7133,7089,7167,7042,7261,7411,7609,7779,7202,7533,7663,7676,7410,7510,7494,7402,7180,7247,7005,7001,7122,6801,6766,6910,6615,6404,6500,6127,5903,6219,6379,6246,6022,5884,5463,5438,5043,4773
"21","64","      Other transportation equipment manufacturing","KS3OTF0",4690,5148,5039,5455,5530,5809,6372,5899,6290,6972,5841,6320,6520,6708,7040,6764,6719,6717,6712,6722,6764,6643,6859,7248,7316,7211,7287,7177,7244,7146,7212,7363,7141,6850,7050,7188,6921,7384,7122,6979,6911,7301,7525,7843,7251,7230,7001,6727,7047,7094,6917,7290,7278,7210,7281,7245,7425,7566,7710,7693,7439,7534,7540,7463,7249,7207,7045,6901,6903,6986,6862,6907,6741,6504,6402,6259,6104,6231,6240,6233,6221,6148,6263,6142,5864,6066,6166,6395,6518,6417,6526,6500,6628,6477,6592,6712,6763,7029,7129,7251,7223,7016,7307,7263,7249,7592,7571,7302,7440,7581,7366,7577,7887,8149,8533,8793,8107,8347,8506,8544,8637,8693,8659,8784,8714,8456,8584,8311,8593,8519,8378,8477,8575,8697,8699,8866,8717,8696,8928,8917,8978,8926,9054,9051,9101,9225,9182,9330,9134
"22","65","    Furniture and related product manufacturing","KS337F0",2643,2621,2613,2632,2652,2669,2712,2644,2602,2566,2562,2626,2555,2573,2611,2603,2679,2607,2609,2595,2585,2659,2696,2660,2603,2670,2652,2677,2668,2652,2651,2677,2761,2890,2771,2840,2967,2970,2990,2927,2948,2935,2926,2965,2996,2944,2976,2938,2926,2962,3022,3023,2893,2892,2858,2900,2960,2939,2879,2845,2843,2777,2699,2702,2708,2764,2822,2914,3034,2999,3089,3094,3117,3116,3045,3046,3004,2975,3041,2995,2888,2919,2889,2928,2922,2986,2934,2945,2940,2928,2904,2956,2978,3062,3005,3081,3066,3107,3075,3131,3143,3055,3050,3124,3189,3165,3169,3238,3192,3168,3245,3192,3140,3210,3207,3251,3231,3270,3283,3170,3117,3152,3121,3017,2984,2960,2880,2877,2896,2893,2895,2885,2838,2824,2808,2776,2699,2680,2681,2671,2657,2656,2620,2574,2540,2486,2412,2346,2260
"23","66","    Miscellaneous durable goods manufacturing","KS339F0",5592,5735,5761,5730,5593,5650,5373,5595,5622,5777,5792,5845,5965,6021,6040,6013,6072,5970,6133,6120,6117,5989,6098,5997,6018,6000,6036,6139,6250,6163,6213,6213,6224,6368,6470,6448,6592,6578,6717,6712,6823,6865,6944,7077,7097,7183,7154,7128,7296,7384,7348,7316,7325,7305,7261,7284,7335,7211,7128,7264,7278,7381,7197,7235,7152,7311,7336,7196,7374,7218,7229,7322,7276,7369,7458,7545,7541,7443,7224,7478,7932,7971,7733,8079,8044,7997,8051,7938,8075,8003,7925,8085,8012,7971,8032,8014,8044,7828,7982,7890,8002,8180,8388,8661,8676,8789,8939,8965,9033,8966,9007,9024,9026,9069,9178,9261,9364,9366,9373,9575,9539,9582,9703,9383,9649,9685,9760,9614,9784,9826,10032,10026,9907,9959,10013,10110,10048,10127,10123,10124,10170,10241,10335,10480,10499,10471,10521,10516,10521
"24","67","  Nondurable goods industries","KS30NF0",89276,89017,89817,90373,90486,91305,90915,91383,91460,91768,93162,92794,93020,93211,93308,93165,93735,93334,93579,93425,93359,93811,94479,93439,93874,93772,94242,94276,94987,95008,95540,96324,96846,97527,97990,97691,98136,98752,98139,98578,98814,99274,99813,99724,100137,100685,100484,100766,101546,100096,100087,99898,99347,98963,98316,98123,98043,98263,98108,98615,98289,96147,96473,96812,96456,97224,96855,96619,97603,98153,97822,98525,97229,98018,97850,98078,97768,98322,98291,98378,97835,97420,97340,97256,96615,96660,96687,96013,97456,97467,97913,98499,97991,97966,99227,98527,100500,100302,100073,100618,99391,100225,100533,99746,99381,100023,100010,100895,101860,102488,102888,102585,102716,102774,102765,102987,103367,103931,103599,103532,102885,102497,102767,103661,104576,105295,106261,106167,106860,106149,106665,106240,106301,106612,107616,106439,104213,106443,104324,104188,101486,102329,103696,100658,99920,99328,99610,98635,98393
"25","68","    Food manufacturing","KS311F0",19214,19259,19630,19810,19669,19984,19956,19958,19813,19835,20143,20180,20557,20449,20386,20270,20401,20310,20140,19951,20179,20272,20260,20230,20252,20209,20198,20238,20228,20172,20355,20224,20843,21281,21014,20867,21270,21515,21556,21508,21549,21517,21746,21666,21600,21625,21584,21855,22711,21521,21537,21579,21660,21579,21594,21587,21487,21333,21650,21860,21965,21749,21707,22295,22135,22391,22221,22131,22463,22565,22754,22479,22507,22534,22500,22138,22247,22127,22163,22118,22042,22011,21793,21787,21671,21462,21439,21122,21079,21237,21515,21657,21581,21344,21297,21282,21460,21338,21407,21799,21466,21616,21720,21737,21778,21457,21753,21800,22248,22300,22384,22342,22220,22189,21980,21653,21733,21646,21590,21734,21451,21156,21240,21223,21465,21465,21630,21726,21469,21177,21011,21055,20811,20911,20865,20993,20981,20947,20831,20849,20985,21018,21466,21589,21674,21833,21851,21783,21773
"26","69","    Beverage and tobacco product manufacturing","KS312F0",4008,3857,3737,3868,3815,3777,3786,3740,3741,3746,4059,3924,3927,3797,3822,3622,3759,3529,3600,3613,3626,3717,3973,3807,3774,3800,3716,3777,4018,3912,3857,3957,3836,3694,3939,4008,3902,4269,4233,4041,4028,4089,3967,3970,4059,4025,4106,4085,3977,3933,4251,4071,4053,4004,4062,4054,4079,4067,4068,4321,4105,3981,4062,4128,4169,4428,4218,4187,4304,4171,4097,4332,4328,4403,4360,4638,4569,4628,4577,4441,4354,4388,4511,4425,4409,4538,4490,4523,4467,4631,4731,4813,4664,4640,4781,4684,4823,4836,4761,4724,4601,4535,4627,4629,4543,4576,4558,4627,4638,4712,4688,4709,4710,4546,4637,4770,4743,4751,4638,4661,4782,4662,4730,4771,4801,4841,4897,4898,4929,4973,4963,5024,5072,5080,5110,5198,5210,5179,5160,5138,5151,5160,5248,5348,5265,5301,5374,5383,5434
"27","70","    Textile mills","KS313F0",2801,2742,2734,2763,2781,2790,2785,2807,2761,2735,2696,2718,2751,2785,2759,2778,2828,2812,2870,2843,2892,2931,2945,2958,2973,3010,3038,3080,3021,3061,3047,3056,3055,3006,3031,3072,3014,2968,2989,2983,2968,2950,2927,2895,2910,2919,2932,2872,2939,2875,2795,2845,2900,2862,2796,2823,2816,2788,2774,2737,2730,2702,2699,2638,2649,2604,2634,2656,2628,2654,2565,2609,2620,2601,2614,2603,2618,2660,2635,2601,2620,2532,2532,2501,2486,2459,2476,2445,2476,2454,2478,2472,2460,2479,2457,2433,2412,2440,2393,2443,2438,2436,2421,2355,2362,2344,2360,2421,2405,2378,2373,2358,2343,2372,2370,2377,2402,2337,2326,2353,2329,2318,2289,2269,2261,2250,2271,2299,2314,2300,2278,2280,2275,2317,2367,2311,2283,2243,2262,2252,2306,2332,2346,2375,2382,2375,2358,2380,2333
"28","71","    Textile product mills","KS314F0",1411,1390,1419,1447,1473,1520,1534,1552,1561,1578,1627,1593,1620,1625,1621,1590,1574,1548,1543,1550,1551,1536,1506,1485,1472,1485,1552,1589,1593,1596,1628,1631,1638,1659,1633,1666,1676,1714,1728,1735,1748,1771,1762,1742,1773,1796,1836,1848,1880,1905,1902,1913,1942,1980,1980,2025,2008,2022,2052,2053,2012,1911,1835,1838,1817,1762,1737,1688,1664,1606,1557,1520,1557,1581,1586,1564,1590,1616,1629,1645,1624,1618,1638,1658,1634,1618,1636,1655,1617,1616,1617,1609,1664,1643,1660,1619,1677,1696,1695,1668,1646,1624,1619,1649,1613,1653,1641,1728,1684,1698,1689,1690,1681,1748,1783,1798,1796,1806,1808,1801,1790,1779,1763,1754,1799,1780,1772,1768,1768,1770,1764,1775,1778,1781,1780,1764,1731,1693,1739,1717,1702,1680,1707,1714,1664,1602,1621,1596,1585
