"","Table 7#2#6U# Real Motor Vehicle Output, Chained Dollars        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"13","5","  Personal consumption expenditures","AB61RX0",215806,214921,220455,224239,226172,229795,228928,230517,242025,232526,249297,256752,248025,269937,274940,303435,286712,309221,309635,298845,327454,301520,307339,309282,320178,313434,318219,371740,343316,345236,369214,345162,345392,361210,372255,364086,363487,361589,366168,369024,361186,375529,379668,330021,343688,345094,352042,351150,353531,355291,351664,353843,336839,313659,291385,260462,266471,257234
"14","6","    New motor vehicles","AB67RX0",142398,143597,142802,149805,148802,147342,143998,148639,149974,144921,159301,166042,159000,178847,167471,184054,183406,192756,194690,198513,211243,200975,203959,195116,209803,208128,205751,266801,239812,228710,252688,237282,235692,254084,261343,253538,256899,250744,253626,253433,242184,263853,269294,220246,232131,232650,238375,235076,241749,238909,232034,236447,221084,201480,183200,156348,155811,152029
"15","7","      Autos","A136RX0",77631,79056,78990,82803,79981,78718,75801,77730,78593,72872,80276,82332,79306,86487,81124,87056,86480,92652,93445,97345,102281,98609,95888,91782,95264,91304,87688,110490,95909,92937,98511,91051,92974,90883,92667,90084,93844,91515,90496,95287,94220,99280,102031,94260,99408,98818,100752,97355,98074,95103,90302,98441,96752,96319,80557,67605,64343,60642
"16","8","        Domestic","GAP510",52122,53175,54805,58678,57406,55785,51248,52754,51672,47831,52548,52604,50810,57365,53241,57737,57585,60500,60940,61307,68287,65069,62800,58397,64172,58745,56583,76824,63886,62058,66865,60323,60476,60796,61611,59931,61490,58362,58922,60427,61436,65254,66466,59659,65133,61939,63439,58660,61930,59355,55422,62449,61429,58734,48430,42123,40252,37380
"17","9","        Foreign","GAP540",25510,25881,24186,24125,22576,22934,24553,24976,26921,25041,27728,29728,28496,29122,27883,29319,28895,32152,32505,36038,33994,33540,33088,33385,31092,32559,31105,33666,32023,30879,31647,30728,32498,30087,31056,30153,32354,33153,31574,34860,32785,34026,35565,34601,34275,36879,37313,38695,36145,35748,34880,35992,35323,37585,32128,25482,24091,23262
"18","10","      Light trucks (including utility vehicles)","B704RX0",64788,64535,63796,66990,68859,68676,68272,70997,71468,72158,79144,83841,79819,92507,86482,97138,97055,100251,101386,101346,109133,102546,108202,103459,114638,116888,118106,156340,143915,135787,154192,146244,142748,163165,168630,163406,163026,159199,163093,158146,148008,164600,167286,125893,132602,133715,137513,137687,143735,143928,141902,137880,123963,104416,102384,88603,91567,91624
"19","11","        Domestic","ETRPDD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125550,118368,135857,127818,121491,139192,143856,140696,139903,136898,140683,135093,126836,141849,145012,106731,112106,111865,115759,113811,119646,120144,118785,114061,102335,84864,84678,72003,72543,76083
"20","12","        Foreign","ETRPMD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18365,17420,18335,18425,21257,23973,24774,22710,23123,22301,22410,23054,21172,22751,22274,19162,20496,21850,21754,23876,24089,23784,23117,23819,21627,19552,17706,16600,19024,15541
"21","13","    Net purchases of used autos and used light trucks","W240RX0",73298,71182,77689,74291,77302,82479,85049,81915,92242,87776,90045,90688,89031,90790,107890,119842,103286,116643,115058,100234,116256,100436,103261,114133,110258,105162,112319,104897,103491,116247,116550,107927,109689,107028,110804,110541,106348,110855,112559,115642,119136,111662,110391,109637,111510,112423,113666,116066,111751,116351,119601,117390,115715,112136,108188,104313,111078,105490
"22","14","      Used autos","A137RX0",52623,49745,54956,49745,50929,55160,56678,52128,59948,54658,54509,55895,53979,53525,64251,68802,58172,65230,64385,54237,64646,53752,54760,64601,59340,57714,59554,53356,54305,59911,59225,54498,55719,53924,55693,55527,52380,55180,55397,56806,58734,55444,54400,54117,54390,54482,54275,53838,50619,51660,52606,52121,52042,50528,48094,44877,47912,45631
"23","15","        Margin","GAP570",27601,28001,27782,26379,27639,28162,27832,26668,27027,26851,27940,27004,25671,26435,27128,28414,25922,28090,28029,25643,28454,26079,27190,28478,28976,30367,28954,27950,27718,25853,23740,24056,25739,24233,25926,25616,23303,26291,26326,26350,28499,26282,24433,24708,25359,25359,26072,26110,24081,25172,26234,26030,26526,25519,24532,22892,24357,23867
"24","16","        Net transactions","GAP600",27583,24863,29442,25947,26053,29369,30943,27796,34574,29884,28848,30899,30225,29179,38310,41434,33773,38448,37737,30339,37609,29567,29606,37429,32386,29910,32661,27765,28673,35508,36740,31977,31687,31295,31514,31633,30833,30626,30833,32249,32008,30918,31696,31089,30707,30808,29915,29366,28201,28169,27927,27677,27100,26515,25091,23607,25045,23167
"25","17","        Employee reimbursement","GAP630",-1973,-1990,-1969,-1962,-1924,-1945,-1941,-1977,-1918,-1894,-1869,-1844,-1843,-1838,-1779,-1794,-1815,-1771,-1775,-1713,-1734,-1712,-1708,-1715,-1729,-1781,-1834,-1806,-1716,-1666,-1663,-1731,-1746,-1715,-1703,-1687,-1739,-1744,-1767,-1794,-1761,-1760,-1732,-1686,-1691,-1695,-1697,-1622,-1635,-1676,-1588,-1614,-1606,-1535,-1543,-1605,-1517,-1445
"26","18","      Used light trucks (including utility vehicles","W241RX0",20888,21631,22958,24699,26514,27493,28550,29955,32449,33293,35682,34958,35204,37402,43809,51201,45236,51544,50800,46082,51722,46748,48553,49705,50991,47553,52821,51541,49224,56360,57341,53441,53984,53112,55118,55022,53964,55674,57165,58838,60404,56221,55990,55517,57124,57945,59388,62214,61120,64686,66988,65261,63669,61601,60087,59424,63156,59853
"27","19","        Margin","W491RX0",10267,10635,11002,11366,11729,12090,12449,12806,13792,13487,13932,13588,13394,14315,15267,16779,15133,16854,16815,15914,17417,16060,16827,16825,17125,17929,17403,17830,17654,17306,16250,16938,18072,17704,19226,18997,17511,19556,19958,19665,20942,19078,17843,18210,18671,18500,19294,20004,18813,20027,20952,19701,19551,18115,17836,17126,17974,17968
"28","20","        Net transactions","W492RX0",11508,11916,12829,14110,15470,16091,16785,17794,19335,20312,22185,21785,22173,23490,28656,34304,30077,34593,33936,30267,34314,30765,31842,32908,33872,30093,35341,33789,31702,38844,40721,36322,35856,35346,35960,36075,36477,36106,37193,39165,39456,37142,38149,37312,38453,39442,40093,42208,42315,44667,46038,45598,44146,43505,42276,42322,45217,41811
"29","21","  Private fixed investment","AB62RX0",104007,100063,102490,104534,102660,105548,110969,113632,116008,113425,115372,117299,114284,121202,117473,134588,131314,134587,144184,141605,144222,135737,129978,120918,123500,121613,111254,113178,112032,112730,118873,108876,102598,107919,113106,109967,113225,119524,132498,142064,138472,143306,156477,153589,170512,163039,160089,161139,151340,141886,138100,139181,130378,109974,93720,65540,42277,42491
"30","22","    New motor vehicles","AB68RX0",139547,134619,140385,142415,144165,150840,157867,157366,161221,158871,164796,170101,169491,183076,170754,194788,194660,196219,208249,206549,212314,199749,195548,181027,188845,183720,174388,171296,168796,179872,187445,176206,164545,165367,177684,178843,177018,185603,200578,207680,200786,208178,223937,218924,237835,225894,225252,230044,223500,212895,214569,211495,201821,183330,168525,132466,101921,112587
"31","23","      Autos","B139RX0",68370,65983,69413,67930,67765,72184,73983,68594,72442,70076,71492,71138,69053,73625,68413,80205,76587,79460,81867,80852,86273,80383,79426,78039,82106,80963,76043,70965,72766,80514,81251,76153,73337,69668,73115,70506,68729,73021,74060,77134,75170,75416,79456,81016,85034,79548,79290,81044,81122,83009,84436,82260,78125,78169,74093,54474,42831,51656
"32","24","        Domestic","GAP660",59356,56838,60866,59407,60279,64579,65840,60313,64082,62299,62881,61905,60160,64235,59187,70318,64929,66319,68382,65644,69188,63207,62173,60330,62756,60325,55933,48707,47813,56059,55963,51571,48334,46625,49389,47472,45915,49611,51750,52498,52211,51597,54561,56798,60727,53393,52827,53600,51749,53960,56093,53009,49659,47881,48201,33940,23417,32909
"33","25","        Foreign","GAP690",9015,9146,8547,8524,7487,7606,8143,8282,8361,7777,8611,9233,8893,9391,9226,9887,11658,13142,13485,15209,17085,17177,17254,17709,19351,20639,20112,22258,24952,24455,25288,24582,25003,23043,23726,23034,22814,23410,22310,24636,22958,23819,24894,24218,24307,26155,26463,27443,29373,29049,28343,29251,28466,30287,25892,20534,19414,18747
"34","26","      Trucks","B705RX0",70742,68210,70513,74069,76005,78210,83462,88527,88452,88516,93058,98816,100375,109426,102330,114489,118091,116733,126403,125724,126014,119351,116087,102891,106616,102601,98212,100281,95904,99144,106078,99957,91068,95644,104548,108337,108285,112571,126520,130550,125626,132765,144482,137894,152804,146360,145979,149026,142384,129831,130063,129163,123612,105012,94242,77960,59042,60818
"35","27","        Light trucks (including utility vehicles)","B196RX0",39241,38312,40660,43501,48120,50347,55501,61606,62983,63293,66585,70185,70408,78457,68925,78415,82158,81118,89478,88385,90167,85521,85542,76834,81284,78997,76421,79120,75991,76383,80974,75724,71661,73856,81105,83164,80798,83843,94864,96662,89556,96559,107923,101102,113368,106664,106546,109683,109915,106006,109897,109344,104650,85842,76418,60022,46593,50304
"36","28","          Domestic","BTRLDD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65876,66156,70886,65714,60408,62425,68472,71042,68708,71406,81245,82025,76126,82797,92905,85056,95106,88377,88822,89713,90636,87538,91016,89407,85307,68877,62049,47921,35938,41150
"37","29","          Foreign","BTRLMD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10114,10227,10089,10011,11253,11431,12633,12122,12090,12436,13619,14637,13430,13762,15018,16047,18262,18287,17724,19970,19279,18468,18881,19937,19343,16965,14369,12101,10655,9154
"38","30","        Other trucks, buses, and truck trailers","B197RX0",34092,32297,32117,32777,29477,29341,29202,27687,25952,25667,26943,29237,30743,31554,34592,37217,36930,36615,37771,38265,36562,34488,30871,26213,25289,23480,21590,20849,19601,22645,25039,24204,19220,21655,23268,25031,27476,28714,31604,33850,36091,36192,36557,36788,39510,39709,39422,39319,32751,24577,21299,21005,20174,19853,18373,17866,12605,11090
"39","31","    Net purchases of used autos and used light trucks","W242RX0",-38318,-37218,-40314,-40473,-43485,-46989,-48766,-46124,-47568,-47591,-51314,-54527,-56591,-63052,-54976,-62210,-64968,-63515,-66249,-66911,-69930,-65764,-66842,-61401,-66174,-63220,-63352,-59043,-57732,-67121,-68720,-66987,-61682,-57802,-64712,-69099,-63949,-66357,-68269,-65707,-62342,-64871,-67443,-65326,-67359,-62897,-65157,-68861,-72192,-71126,-76856,-72636,-71859,-73871,-75574,-68219,-61984,-73802
"40","32","      Used autos","B140RX0",-28590,-27259,-29530,-28300,-29206,-32016,-33226,-29869,-33671,-31829,-32816,-32543,-33559,-36716,-33525,-38327,-36126,-35923,-35805,-35421,-38117,-34570,-35016,-33520,-34240,-33636,-31919,-28354,-28924,-33306,-33633,-32870,-31302,-29374,-31810,-32995,-31266,-33813,-33149,-32701,-32214,-32081,-32698,-33947,-31829,-30905,-32328,-33655,-33851,-32482,-34172,-31765,-33086,-34201,-35570,-31044,-27969,-31953
"41","33","        Margin","GAP720",1068,1100,1106,1066,1139,1171,1164,1117,1186,1175,1219,1177,1122,1156,1186,1242,1133,1228,1226,1121,1244,1140,1188,1245,1271,1319,1244,1249,1194,1128,1046,1066,1127,1060,1133,1120,1018,1149,1151,1152,1246,1150,1068,1080,1108,1109,1140,1142,1053,1101,1147,1138,1160,1115,1073,1001,1064,1043
"42","34","        Net transactions","GAP750",-29641,-28309,-30618,-29347,-30309,-33178,-34400,-30969,-34862,-32990,-34019,-33715,-34704,-37919,-34716,-39607,-37304,-37169,-37049,-36583,-39397,-35740,-36225,-34754,-35498,-34924,-33140,-29554,-30091,-34438,-34695,-33949,-32427,-30431,-32940,-34115,-32284,-34961,-34300,-33853,-33459,-33232,-33767,-35026,-32938,-32013,-33467,-34796,-34901,-33583,-35319,-32903,-34244,-35316,-36641,-32043,-29033,-32992
"43","35","      Used light trucks (including utility vehicles)","W243RX0",-9913,-10123,-10962,-12313,-14401,-15115,-15685,-16349,-14069,-15879,-18598,-22071,-23119,-26422,-21551,-24002,-28906,-27661,-30491,-31525,-31868,-31224,-31855,-27931,-31954,-29620,-31439,-30673,-28810,-33816,-35084,-34114,-30387,-28435,-32897,-36096,-32680,-32544,-35123,-33008,-30126,-32789,-34743,-31382,-35529,-31992,-32829,-35205,-38341,-38646,-42688,-40877,-38774,-39670,-40007,-37177,-34018,-41867
"44","36","        Margin","W493RX0",1803,1904,2008,2113,2222,2333,2446,2562,2885,2821,2914,2842,2801,2994,3193,3510,3165,3525,3517,3329,3643,3359,3519,3519,3554,3733,3606,3810,3716,3604,3419,3512,3780,3703,4022,3973,3663,4090,4175,4113,4380,3991,3733,3810,3906,3870,4036,4184,3936,4190,4384,4122,4091,3790,3732,3583,3761,3760
"45","37","        Net transactions","W494RX0",-11547,-11830,-12776,-14256,-16500,-17319,-17995,-18778,-16638,-18491,-21367,-24853,-25899,-29447,-24591,-27356,-32113,-31129,-34022,-34937,-35535,-34653,-35423,-31388,-35549,-33284,-35060,-34447,-32484,-37469,-38597,-37708,-34165,-32109,-36918,-40092,-36347,-36638,-39291,-37117,-34507,-36779,-38477,-35190,-39435,-35863,-36864,-39391,-42272,-42835,-47060,-44982,-42851,-43448,-43727,-40749,-37793,-45544
"46","38","  Gross government investment","AB64RX0",9349,10832,10266,12222,11927,9808,9628,10848,10969,11220,12020,10279,10651,12847,11633,12876,11943,11036,12829,14620,13507,13185,12901,13030,14524,13454,13041,12960,13208,13541,14495,13858,15962,14048,14880,13078,14670,14204,14558,13598,14705,14217,16800,14667,14701,15912,17719,17899,14427,13738,17102,16229,15928,15381,17298,12672,10642,8819
"47","39","    Autos","B144RX0",3332,4051,3644,4320,3866,3234,3233,4177,3481,3196,3070,3304,3175,3694,3314,3443,3449,3272,3413,3858,3201,3258,3769,3340,3074,3634,3842,3543,3271,3097,3288,3507,3567,3187,3054,3131,3262,3072,2921,3429,3765,3227,3516,3301,3366,3833,3945,3853,3585,3925,3490,4029,3691,3373,3544,3478,3075,2619
"48","40","      New autos","GAP810",1823,2634,2143,2950,2499,1739,1771,2967,2129,1825,1891,2009,1845,2557,2126,2311,2195,2032,2193,3016,2051,2164,2759,2287,1822,2503,2694,2330,2164,1991,2215,2520,2546,2035,1900,2138,2292,2043,1755,2416,2949,2137,2550,2303,2383,2934,3085,3079,2690,3072,2648,3392,2905,2546,2896,2706,2230,1650
"49","41","      Net transactions in used autos","GAP840",-449,-608,-481,-651,-583,-430,-456,-802,-562,-503,-657,-536,-496,-706,-589,-662,-565,-532,-560,-869,-585,-618,-701,-657,-481,-655,-693,-597,-609,-562,-591,-738,-719,-563,-550,-694,-770,-716,-598,-781,-950,-668,-765,-689,-708,-793,-833,-842,-739,-817,-747,-962,-817,-710,-894,-840,-683,-501
"50","42","      Employee reimbursement","GAP870",1973,1990,1969,1962,1924,1945,1941,1977,1918,1894,1869,1844,1843,1838,1779,1794,1815,1771,1775,1713,1734,1712,1708,1715,1729,1781,1834,1806,1716,1666,1663,1731,1746,1715,1703,1687,1739,1744,1767,1794,1761,1760,1732,1686,1691,1695,1697,1622,1635,1676,1588,1614,1606,1535,1543,1605,1517,1445
"51","43","    Trucks","B708RX0",5948,6694,6545,7812,7986,6512,6331,6575,7428,7983,8928,6907,7425,9103,8276,9402,8448,7718,9382,10726,10296,9911,9076,9662,11457,9782,9150,9377,9915,10440,11207,10326,12394,10858,11842,9936,11405,11133,11642,10170,10942,10990,13284,11365,11334,12078,13774,14048,10840,9815,13612,12198,12237,12009,13760,9189,7562,6194
"52","44","      New trucks","W495RX0",6613,7329,7199,8473,8681,7227,7043,7289,8010,8666,9815,7623,8132,10021,8942,10211,9229,8448,10257,11653,11237,10703,9863,10548,12285,10611,9993,10254,10811,11400,12034,11250,13366,11654,12879,10917,12460,12387,12745,11173,12199,11962,14341,12482,12470,13188,14866,15167,11883,11048,14895,13472,13470,12989,14998,10133,8573,6997
"53","45","        Light trucks (including utility vehicles)","GOVLTD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3553,3479,3741,3817,4106,3834,4713,4014,4266,4899,4282,4068,5013,3898,4514,4871,5068,5121,5275,5291,5026,5954,6113,6038,6195,4821,6316,4534,4815,3618
"54","46","        Other trucks, buses, and truck trailers","QTKGHT0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7271,7954,8323,7447,9295,7837,8160,6897,8208,7471,8469,7102,7170,8065,9826,7627,7426,8084,9586,9860,6912,5262,8807,7510,7370,8110,8724,5673,4002,3521
"55","47","      Net transactions in used light trucks","W496RX0",-640,-629,-642,-670,-700,-690,-684,-689,-594,-685,-870,-700,-698,-902,-675,-811,-775,-723,-868,-928,-936,-803,-788,-880,-857,-832,-835,-869,-892,-954,-848,-921,-982,-809,-1037,-978,-1051,-1260,-1104,-1003,-1258,-972,-1057,-1116,-1137,-1110,-1091,-1116,-1047,-1254,-1280,-1277,-1235,-967,-1232,-953,-1057,-835
"56","48","  Net exports","AB63RX0",-60717,-60944,-52416,-51484,-54170,-60029,-60026,-55601,-66184,-65621,-64827,-60887,-65287,-69705,-70365,-81569,-90299,-92381,-98269,-99154,-105085,-103958,-108087,-106462,-107447,-104028,-103704,-101014,-104383,-106441,-109502,-110019,-102508,-106652,-101171,-106610,-108581,-111866,-106589,-102960,-98076,-100386,-101852,-108050,-111525,-111583,-105478,-113262,-101141,-89746,-99420,-90364,-85992,-82598,-67247,-57294,-36173,-35132
"57","49","    Exports","AB69RX0",28758,26156,27657,26932,28446,26871,29661,29327,28618,29528,31259,31181,31925,28762,25694,28228,27331,28063,27085,27945,29690,28984,26842,26576,24417,27301,28608,27946,28338,30443,30863,31991,32712,34651,31289,35182,33048,35603,39523,40105,43205,42787,43585,46305,48658,47458,49608,49316,53718,58747,60128,66802,64380,65038,68263,56961,33605,31204
"58","50","      Autos","B142RX0",14150,12800,13033,13333,14108,12707,14218,13726,13055,13673,13601,13246,13857,12550,11968,13373,12606,12955,12057,12629,13298,13230,12414,12346,11780,13647,15121,14497,14358,15836,15880,15581,16624,16189,15036,16590,15297,16441,16616,18032,20104,19650,19957,21950,23312,22714,24144,24875,27267,29839,32041,36257,36522,37414,39444,32875,17545,17191
"59","51","      Trucks","B706RX0",14548,13307,14611,13533,14267,14149,15409,15600,15591,15868,17737,18033,18146,16275,13737,14853,14746,15130,15071,15351,16436,15785,14448,14246,12633,13630,13428,13403,13947,14559,14940,16391,16049,18458,16239,18583,17747,19157,22924,22080,23103,23137,23626,24353,25345,24744,25464,24443,26452,28908,28098,30564,27892,27667,28869,24127,16048,14021
"60","52","    Imports","AB70RX0",89476,87100,80073,78416,82616,86900,89688,84928,94802,95149,96086,92068,97212,98467,96059,109797,117630,120444,125354,127099,134776,132942,134929,133038,131864,131329,132312,128961,132721,136885,140365,142011,135220,141303,132460,141792,141629,147469,146112,143065,141281,143173,145436,154355,160183,159041,155085,162579,154860,148493,159548,157165,150372,147636,135511,114255,69778,66336
"61","53","      Autos","B143RX0",55438,54407,49738,48048,48266,48148,49288,47133,53744,54025,54325,52053,54177,55547,52856,60187,63613,64514,68006,67864,71151,71518,72795,72415,72575,70683,69974,67569,70664,76303,76193,75130,70078,72637,69881,75296,71275,70663,75436,71137,68181,67647,69277,73126,74033,73871,78198,81856,72817,72365,80145,77745,76266,75756,78034,71283,40742,37713
"62","54","      Trucks","B707RX0",33674,32316,29999,30069,34147,38660,40320,37698,40898,40959,41606,39867,42919,42773,43111,49513,53947,55882,57267,59183,63589,61355,62059,60539,59196,60580,62291,61360,62006,60475,64091,66827,65111,68638,62533,66442,70337,76811,70651,71920,73101,75528,76159,81226,86137,85157,76906,80742,82023,76133,79428,79441,74127,71901,57531,43105,29048,28616
"63","55","Change in private inventories","AB65RX0",18048,13502,-6228,3384,-23306,14361,11261,-11994,-4187,6338,6094,10061,19630,-9182,-8156,-479,20196,-1851,4138,25552,5389,25112,9791,2806,-26271,5032,4587,-38075,11242,16022,1387,23317,9613,14074,-7155,15358,16257,9408,4420,-12024,-5235,-15176,-10902,16788,3667,275,-7635,-11117,-13210,-10166,7312,-15343,-17329,-16332,-1791,-661,-63579,-47099
"64","56","  Autos","A145RX0",13755,7447,-8665,936,-17056,6968,5328,-7815,-4364,5738,4707,494,7982,-2676,4910,2222,6913,-4278,-4119,10703,17,8320,8948,-1675,-7724,1385,1668,-10722,15237,7042,-4522,10996,-8458,5217,-5186,3420,-358,2708,1080,-6958,994,-6419,-8626,5219,2582,568,-3762,4416,-959,-7021,1287,-11744,-3470,-7100,14624,13675,-27354,-13183
"65","57","    New","B146RX0",13910,5508,-8407,-1032,-20564,5157,4040,-9961,-3062,4577,1022,-587,5116,-10795,10157,5347,4512,-1846,-2704,4606,-1354,2338,2308,1430,-11039,-3803,1703,-12748,14720,8878,-2051,9445,-9057,7129,-5707,2309,-240,292,137,-5726,2593,-4938,-7249,4926,4457,3876,-2671,4588,-1658,-5015,1231,-8568,-1540,-4159,14343,15035,-23293,-14064
"66","58","      Domestic","AB71RX0",15220,2114,-3749,-1346,-13645,4171,4279,-9375,-3591,4078,1561,-818,3483,-11445,11147,2645,4111,-3128,-2789,1491,-2232,2367,1855,648,-12521,-3270,-220,-11977,13831,7970,194,3970,-5561,3995,-3340,521,357,658,-1663,-906,492,-4746,-5096,6501,2343,2253,-1351,2231,-420,-2484,-1081,-6643,-5091,-4402,11394,14031,-17679,-11770
"67","59","      Foreign","AB72RX0",-1997,3659,-4987,382,-7177,954,-408,-335,692,417,-627,262,1653,952,-1310,2796,346,1395,150,3263,978,-82,437,809,1791,-500,1987,-679,819,885,-2269,5531,-3511,3155,-2380,1797,-600,-369,1783,-4795,2102,-190,-2151,-1578,2119,1626,-1326,2362,-1231,-2516,2290,-1933,3486,268,2974,1011,-5588,-2234
