"","Table 5#9#3A# Real Gross Government Fixed Investment by Type, Qu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","          Nondefense","B798RA3",1.107,1.498,2.085,2.956,4.236,5.042,7.412,6.533,6.006,5.971,5.33,5.089,6.658,5.947,5.361,3.557,2.629,1.873,3.327,5.709,7.964,9.186,8.623,8.606,7.461,6.511,5.452,7.181,8.852,10.726,11.046,13.897,16.292,20.128,26.805,32.189,36.772,41.157,37.889,38.616,37.217
"12","5","        State and local","B799RA3",11.964,13.98,14.223,11.7,7.75,8.879,8.382,13.933,12.083,14.054,16.323,13.417,9.887,5.869,3.162,2.619,3.028,5.3,8.035,10.152,13.684,15.522,16.062,16.45,17.884,21.354,23.181,23.746,25.457,27.982,28.812,29.225,31.522,32.677,35.565,38.153,40.867,43.623,46.363,48.48,46.543
"13","6","Structures \2\","B760RA3",18.861,22.892,23.809,20.866,16.138,18.422,19.276,28.84,25.12,27.566,30.187,28.807,44.328,73.736,39.51,19.085,14.529,8.616,13.074,18.026,24.933,28.467,34.013,38.428,40.477,43.295,42.923,43.718,46.398,52.007,52.982,52.804,57.204,58.015,61.165,63.803,67.483,71.142,72.678,74.838,70.749
"14","7","  Federal","B801RA3",14.841,21.029,29.967,43.302,61.09,65.609,86.92,92.78,88.103,80.823,71.015,106.62,356.869,788.952,425.332,188.556,125.755,17.554,24.738,48.304,66.19,74.625,131.108,177.997,177.723,151.134,113.181,116.248,124.315,144.426,143.874,140.063,152.006,145.003,138.291,131.225,131.191,132.693,106.805,98.855,92.388
"15","8","    National defense","B808RA3",4.715,7.932,11.996,12.028,12.354,16.853,14.148,39.869,47.469,41.896,36.47,120.425,658.787,1605.976,843.152,371.233,244.374,37.51,17.725,35.906,35.458,45.735,174.122,275.057,279.667,236.112,181.575,169.309,173.157,193.096,186.579,164.89,175.505,145.137,118.784,91.06,80.948,85.147,78.261,76.385,82.059
"16","9","      New","B814RA3",4.648,7.818,11.823,11.854,12.176,16.611,13.052,22.699,29.917,26.427,40.302,136.757,683.421,1658.894,876.958,387.617,258.955,79.381,39.042,45.899,40.069,48.442,172.944,273.053,277.626,235.33,192.536,168.138,166.777,177.953,181.189,157.514,159.429,130.704,115.136,90.958,89.316,90.55,82.83,84.008,89.21
"17","10","        Buildings","B815RA3",NA,NA,NA,NA,4.162,21.321,18.03,111.413,151.054,74.822,45.709,255.165,2076.375,4552.853,2901.11,1660.799,943.963,359.728,95.057,163.394,147.836,176.571,625.283,1049.93,1102.329,953.237,455.654,285.136,346.327,396.987,432.356,337.808,357.752,239.983,184.298,137.666,155.852,118.321,108.462,148.667,167.788
"18","11","          Residential","B816RA3",NA,NA,NA,NA,NA,2.031,16.852,119.778,169.815,63.219,7.716,7.526,414.393,586.966,1059.47,305.51,118.49,347.818,13.096,38.334,37.864,19.732,19.228,26.97,35.556,19.232,16.002,37.844,147.233,306.568,408.187,241.448,242.084,168.133,115.733,90.885,125.294,80.493,45.813,59.258,112.318
"19","12","          Industrial","B817RA3",NA,NA,NA,NA,10.293,49.067,8.235,16.47,6.862,45.288,90.578,575.036,4045.951,9435.371,4796.674,3292.36,1973.888,239.826,198.185,312.228,277.226,374.329,1414.623,2384.556,2491.278,2174.266,1026.219,593.565,572.403,458.543,391.168,425.324,471.81,307.305,257.361,185.429,176.531,155.074,179.402,250.372,223.934
"20","13","        Military facilities \3\","B818RA3",5.575,9.378,14.182,14.219,13.94,16.632,12.86,9.136,11.36,19.27,39.587,119.139,466.804,1210.725,563.383,190.741,153.006,35.828,30.913,27.805,23.398,28.649,103.112,152.775,149.732,123.843,154.827,153.906,142.047,146.773,144.656,132.038,131.036,116.017,106.48,85.383,80.498,88.216,80.658,75.5,78.584
"21","14","      Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","    Nondefense","B830RA3",21.588,29.617,41.676,64.275,94.179,98.476,136.636,127.219,113.603,105.456,92.912,89.475,93.129,70.84,61.625,30.082,23.346,-0.492,34.673,66.392,104.67,112.274,100.518,95.569,90.235,78.469,53.938,73.039,86.141,108.383,114.016,128.508,143.04,159.357,172.081,185.482,195.667,194.6,146.786,131.831,111.964
"23","16","      New","B831RA3",23.056,31.63,44.509,68.645,100.581,105.171,145.194,122.336,107.495,100.454,101.864,106.214,103.846,80.424,74.373,37.293,32.239,41.732,58.368,79.304,113.214,119.077,103.893,98.844,93.337,82.063,68.683,75.447,83.258,97.048,116.535,131.884,146.899,163.501,176.233,190.623,200.81,199.808,150.622,135.311,114.842
"24","17","        Buildings","B832RA3",12.91,23.413,40.764,99.389,70.042,35.914,38.374,45.557,43.718,39.454,30.811,36.862,37.127,28.204,17.516,16.22,21.371,14.658,23.107,25.673,65.206,63.138,41.722,36.242,30.25,26.74,15.794,23.391,21.937,34.633,61.954,71.046,76.65,93.549,118.646,154.542,165.404,135.939,63.728,64.482,57.17
"25","18","          Residential","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","19","          Industrial","B834RA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.657,128.734,186.516,123.352,114.144,125.319,130.658,105.404,115.096,144.73,157.853
"27","20","          Educational \4\","B835RA3",132.993,132.993,389.108,858.981,614.062,389.108,389.108,389.108,307.029,307.029,307.029,286.342,286.342,286.342,224.892,449.784,572.889,511.048,4153.411,191.706,0,0,127.804,1022.46,498.45,536.727,345.078,447.314,396.214,549.532,534.033,934.647,1310.903,1347.175,1189.756,1104.728,631.141,570.513,874.213,534.206,376.308
"28","21","          Hospital","B836RA3",1.791,4.48,10.759,21.973,15.073,8.161,8.161,9.695,8.077,7.635,6.278,9.374,7.268,8.062,7.164,8.288,16.576,14.781,32.293,95.318,169.991,147.801,116.404,97.126,56.516,30.502,18.838,29.602,34.535,27.133,49.535,47.059,45.928,45.703,53.617,56.336,71.71,59.721,24.205,31.447,33.025
"29","22","          Other \5\","B837RA3",18.032,32.86,55.287,136.751,96.477,48.903,52.6,62.811,61.108,54.843,42.341,50.418,51.597,37.935,22.541,18.896,22.963,13.954,2.495,5.271,40.47,44.966,22.658,16.528,24.085,27.503,15.815,23.157,19.519,40.614,60.674,68.266,66.731,100.854,138.093,189.929,203.159,166.723,66.226,62.657,50.096
"30","23","        Highways and streets \6\","B838RA3",60.569,99.822,146.204,181.806,300.212,370.09,400.173,309.971,268.001,253.512,243.345,213.483,156.54,73.922,27.524,27.524,48.754,89.621,129.515,131.081,186.46,169.323,121.685,149.784,195.814,214.545,235.599,232.473,284.778,329.994,275.71,414.334,407.331,471.175,525.806,491.426,465.711,646.41,627.703,567.031,486.787
"31","24","        Conservation and development","B839RA3",50.025,65.198,85.028,103.258,222.274,256.672,377.099,307.081,265.467,247.2,259.444,260.855,251.287,184.394,143.863,79.591,59.59,93.709,130.283,191.068,235.043,256.197,244.492,234.376,221.953,190.369,163.483,172.797,194.224,212.388,231.346,239.721,281.975,299.29,303.384,308.635,326.088,349.733,301.054,261.874,215.228
"32","25","        Other \7\","B840RA3",11.327,8.374,8.76,6.699,3.152,6.303,5.514,7.189,8.861,11.415,12.994,23.725,32.296,50.424,124.278,20.882,11.908,6.497,4.363,2.4,2.4,3.49,3.6,3.382,3.382,4.799,4.691,5.891,5.673,9.491,21.048,46.012,38.166,46.172,39.109,25.862,26.67,22.81,21.051,17.006,20.489
"33","26","      Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","27","  State and local","B842RA3",18.287,21.945,22.138,17.911,11.453,13.412,12.55,21.837,18.416,21.565,25.13,20.591,15.051,8.643,4.414,3.537,4.2,7.633,11.763,14.918,20.692,23.712,24.52,24.985,27.212,32.706,35.836,36.41,38.556,42.739,43.851,44.023,47.664,49.221,53.288,56.837,60.844,64.678,68.809,71.919,68.093
"35","28","    New","B843RA3",18.102,21.955,22.147,17.793,11.239,13.327,12.44,21.9,18.423,21.602,24.992,20.151,14.836,8.592,4.335,3.467,4.066,7.64,11.88,15.084,20.835,23.787,24.668,25.204,27.344,32.922,35.639,36.166,38.354,42.508,43.37,43.663,47.2,48.631,52.684,55.914,59.581,63.495,67.74,71.094,67.481
"36","29","      Buildings","B844RA3",13.024,13.704,14.013,8.695,4.274,8.161,7.468,16.504,10.672,13.087,21.428,12.595,10.075,6.9,2.554,1.64,2.033,4.459,6.555,10.964,19.458,22.649,26.296,25.896,26.064,29.704,32.352,30.807,33.533,36.694,33.286,34.328,37.609,37.858,40.057,43.26,46.849,53.855,61.722,62.52,61.729
"37","30","        Residential","B845RA3",0,0,0,0,0,0,0,0,0,0.72,15.654,49.793,50.148,39.238,9.091,1.465,0,19.829,27.044,15.528,40.867,40.693,66.897,71.807,59.8,36.954,28.48,28.685,36.696,51.095,48.981,44.316,57.114,75.666,40.493,47.341,46.084,56.041,64.783,62.882,75.802
"38","31","        Industrial","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","32","        Educational \8\","B847RA3",16.727,16.902,15.197,8.142,3.227,8.349,8.782,20.143,11.995,14.366,21.963,6.981,6.48,4.998,2.265,1.332,1.831,2.771,5.012,12.108,18.895,23.082,27.098,28,29.673,37.946,42.8,41.241,43.818,45.867,40.142,42.118,45.522,43.983,51.131,55.085,60.979,73.535,80.292,78.048,69.382
"40","33","        Hospital","B848RA3",44.212,55.348,58.38,50.402,29.725,28.152,20.866,39.765,33.815,44.374,59.957,23.243,16.182,12.607,15.238,19.572,26.096,22.219,10.546,23.238,59.999,73.825,72.774,68.648,54.192,54.65,50.164,43.731,49.393,58.426,57.697,53.36,48.569,52.304,51.311,55.137,59.022,54.144,74.627,83.406,86.102
"41","34","        Other \5\","B849RA3",8.766,8.996,11.874,7.235,3.966,8.417,6.77,14.799,9.907,12.036,19.796,11.287,5.527,1.554,0,0,0,1.09,3.807,6.85,10.303,11.49,10.264,7.384,10.105,13.644,16.75,15.475,16.943,18.543,17.682,19.332,21.655,20.222,23.474,24.861,26.184,26.545,34.185,38.698,45.741
"42","35","      Highways and streets \9\","B851RA3",25.455,32.73,32.714,30.178,20.701,20.874,17.981,27.434,26.781,32.441,32.449,31.565,22.547,11.938,6.475,5.728,6.532,11.704,18.058,20.029,25.066,29.594,26.771,29.54,34.581,45.105,48.201,48.857,52.179,60.035,62.966,61.29,65.799,69.141,74.864,74.68,76.62,80.268,79.289,81.955,77.005
"43","36","      Conservation and development","B857RA3",14.67,13.548,11.894,7.35,11.761,35.878,30.963,42.533,42.299,29.832,33.394,14.825,5.301,2.989,0,0,0,6.809,8.968,10.917,15.244,16.718,14.975,11.17,14.416,16.313,24.456,33.845,32.352,28.418,32.227,36.997,39.541,47.955,74.534,74.166,103.118,103.029,117.631,109.653,100.907
"44","37","      Sewer systems","B858RA3",17.99,20.373,17.748,12.71,8.025,15.042,15.298,31.008,26.541,28.545,30.511,22.847,13.88,8.666,4.263,2.544,3.718,9.238,15.429,21.832,24.984,25.733,26.799,26.472,30.193,32.301,33.764,35.866,37.579,39.099,49.789,48.41,49.664,56.6,48.985,67.344,59.921,63.056,49.739,69.919,56.755
"45","38","      Water systems","B859RA3",21.579,34.887,29.375,19.391,10.789,12.664,13.557,18.257,15.673,17.637,19.458,23.137,19.063,12.819,9.753,6.276,7.3,11.188,16.471,20.725,22.72,22.461,26.711,26.319,25.49,28.469,31.197,35.518,32.756,31.159,32.386,34.606,37.947,39.047,50.646,55.444,71.375,58.638,68.78,78.668,66.723
"46","39","      Other \7\","B860RA3",15.652,16.742,23.066,16.96,8.18,7.307,11.519,28.375,19.382,22.685,23.38,17.529,13.994,7.122,3.837,3.697,4.157,5.691,11.417,11.563,11.863,11.921,11.23,9.607,11.228,13.842,15.747,21.345,21.182,25.005,31.939,34.505,37.981,33.219,40.833,44.929,51.14,52.612,65.873,70.609,70.668
"47","40","    Net purchases of used structures","B870RA3",27.404,22.979,23.24,23.965,21.43,16.825,17.246,17.274,16.821,18.409,29.525,38.392,23.538,10.306,7.67,6.46,9.759,7.905,8.266,9.825,16.823,22.465,20.738,18.656,24.14,26.997,44.55,46.782,47.494,52.907,63.16,58.982,66.555,72.759,77.51,92.902,109.512,110.569,110.665,104.977,93.171
"48","41","Equipment","Y054RA3",0.702,0.657,0.774,0.68,0.691,0.794,0.968,0.995,1.125,1.31,1.473,1.493,11.688,55.297,111.825,125.855,87.42,5.206,3.36,5.89,8.676,6.531,20.229,28.234,32.347,26.144,21.397,19.882,20.067,20.44,25.044,23.929,26.697,28.541,25.345,24.142,21.491,24.87,28.325,24.951,22.165
"49","42","  Federal","Y058RA3",0.126,0.176,0.232,0.145,0.303,0.683,1.171,1.024,1.039,1.288,1.338,1.456,13.957,64.019,128.528,144.27,100.08,6.143,3.641,6.611,9.823,7.267,23.513,33.122,37.767,30.188,24.526,22.612,22.544,22.919,28.29,26.792,30.143,32.131,28.155,26.646,23.332,27.196,31.149,26.778,23.334
"50","43","    National defense","Y050RA3",0.069,0.142,0.226,0.162,0.309,0.274,0.264,0.519,0.527,0.648,0.853,1.165,18.446,93.775,191.536,215.954,149.921,7.81,4.438,8.369,13.149,9.435,32.923,46.376,53.557,42.827,34.782,31.914,31.788,32.545,40.296,38.061,42.613,45.664,39.664,36.951,32.126,37.433,43.222,37.415,32.197
"51","44","      Aircraft","B874RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","45","      Missiles","B875RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","46","      Ships","B876RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","47","      Vehicles","B877RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","48","      Electronics","Y051RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","49","      Other equipment","B879RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","50","    Nondefense","Y066RA3",0.274,0.29,0.31,0.156,0.378,1.61,3.133,2.223,2.256,2.807,2.472,2.142,4.711,4.703,3.749,2.608,1.633,2.492,1.842,2.703,2.49,2.465,2.794,3.938,3.044,2.395,1.976,2.206,2.281,1.718,1.829,1.94,2.601,2.291,2.683,3.612,3.581,4.2,4.151,3.098,3.44
"58","51","  State and local","Y070RA3",2.094,1.799,2.017,1.888,1.552,1.475,1.468,1.426,1.833,1.996,2.273,1.869,1.408,1.078,0.8,0.791,0.779,1.255,1.88,2.367,2.493,2.536,2.638,2.846,3.02,3.355,3.259,3.663,4.494,4.496,4.805,5.367,5.526,5.896,6.691,7.556,8.062,8.815,9.155,9.559,10.228
"59","52","Intellectual property products \2\","Y055RA3",0.284,0.387,0.466,0.586,0.568,0.483,0.495,0.54,0.545,0.603,0.654,0.727,1.701,2.358,3.834,5.472,5.448,4.913,4.434,4.931,5.304,5.656,5.84,6.463,7.207,8.175,9.446,12.35,14.642,15.637,16.768,18.473,20.622,23.002,27.279,29.794,31.886,35.361,36.901,37.877,37.83
"60","53","  Federal","Y059RA3",0.188,0.308,0.388,0.533,0.514,0.4,0.389,0.428,0.426,0.485,0.542,0.627,1.825,2.659,4.509,6.525,6.477,5.82,5.261,5.867,6.304,6.716,6.928,7.675,8.558,9.701,11.234,14.779,17.556,18.74,20.099,22.123,24.696,27.546,32.672,35.661,38.114,42.206,43.941,45.037,44.815
"61","54","    National defense","Y052RA3",0.204,0.338,0.317,0.446,0.428,0.328,0.327,0.365,0.352,0.394,0.445,0.497,2.896,4.354,7.698,12.018,12.19,11.109,9.863,10.458,10.684,10.171,10.834,12.867,15.517,18.064,20.752,27.208,31.546,32.545,35.442,36.414,39.728,40.65,42.061,41.555,40.065,41.956,46.791,45.578,45.932
"62","55","      Software","Y053RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.506,0.351,0.527,0.867,1.012,1.216,1.984,2.284,2.69,3.473
"63","56","      Research and development","Y076RA3",0.243,0.402,0.377,0.531,0.509,0.39,0.389,0.435,0.419,0.469,0.53,0.591,3.447,5.182,9.161,14.303,14.507,13.22,11.738,12.446,12.715,12.105,12.894,15.313,18.466,21.497,24.697,32.38,37.543,38.731,42.178,43.335,47.329,48.386,49.986,49.344,47.514,49.571,55.265,53.706,53.916
"64","57","    Nondefense","Y067RA3",0.174,0.283,0.455,0.613,0.594,0.467,0.446,0.486,0.493,0.568,0.632,0.746,0.87,1.146,1.659,1.608,1.359,1.082,1.14,1.76,2.389,3.637,3.443,3.033,2.327,2.209,2.707,3.646,5.031,6.391,6.369,9.351,11.268,15.843,24.297,30.415,36.4,42.467,41.428,44.593,43.856
"65","58","      Software","Y068RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.376,0.382,0.448,0.713,0.817,1.034,1.468,1.958,2.401,3.601
"66","59","      Research and development","Y069RA3",0.232,0.379,0.609,0.821,0.795,0.625,0.598,0.651,0.661,0.76,0.846,0.999,1.164,1.534,2.221,2.152,1.82,1.449,1.527,2.356,3.199,4.87,4.61,4.061,3.115,2.958,3.625,4.882,6.737,8.557,8.527,12.521,15.098,21.272,32.61,40.858,48.87,56.887,55.238,59.314,57.729
"67","60","  State and local","Y071RA3",0.623,0.66,0.731,0.759,0.744,0.776,0.884,0.949,0.981,1.031,1.047,1.073,1.112,1.021,0.871,0.829,0.918,0.92,0.792,0.814,0.904,0.993,1.053,1.135,1.265,1.464,1.581,1.669,1.825,1.987,2.117,2.419,2.7,3.016,3.555,3.982,4.482,5.228,5.876,6.303,6.968
"68","61","    Software","Y072RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019,0.191,0.263,0.335,0.66,0.837,1.041,1.484,1.635,1.716,2.197
"69","62","    Research and development","Y073RA3",1.504,1.592,1.764,1.831,1.795,1.874,2.133,2.29,2.367,2.489,2.528,2.589,2.683,2.464,2.102,2,2.215,2.219,1.911,1.966,2.182,2.397,2.542,2.739,3.053,3.533,3.816,4.028,4.405,4.796,5.109,5.571,6.138,6.79,7.576,8.329,9.216,10.312,11.644,12.555,13.376
"70",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","63","  Government enterprise gross fixed investment","A882RA3",8.925,11.044,11.512,9.1,5.535,6.57,7.258,13.476,10.913,12.204,14.307,14.012,11.493,25.999,34.934,25.91,2.764,5.934,9.348,10.74,14.086,15.119,16.964,17.56,17.124,16.955,17.21,19.228,20.489,22.843,25.92,26.78,30.197,31.327,31.759,36.669,38.17,37.775,40.847,45.897,43.924
"72","64","    Federal","A883RA3",0.653,1.27,2.442,5.201,4.256,2.581,3.527,4.265,4.014,3.434,3.797,3.785,6.052,114.825,205.03,154.826,2.531,3.447,4.109,5.81,10.076,14.627,13.823,18.667,13.132,9.706,7.482,9.459,12.68,15.679,17.328,22.252,25.351,24.559,25.928,30.374,31.132,33.556,33.479,33.06,33.963
"73","65","      Structures","B884RA3",5.145,10.002,16.403,40.047,32.457,20.771,28.387,34.33,32.305,27.639,30.561,29.135,28.785,26.35,20.329,13.732,12.143,16.485,16.466,24.949,44.011,50.799,37.609,31.157,33.246,31.62,23.854,31.355,41.394,51.383,60.617,71.93,81.287,100.997,114.601,141.898,145.598,143.883,129.927,116.656,112.292
"74","66","      Equipment","Y074RA3",0,0,0.472,0.236,0.235,0,0,0,0,0,0,0.232,3.147,162.192,297.071,224.812,0.923,1.268,2.205,2.698,4.484,9.74,11.8,21.152,11.722,6.596,5.245,6.248,8.581,10.546,10.483,15.13,16.799,9.896,8.143,7.839,7.888,11.732,15.039,17.799,19.695
"75","67","      Intellectual property products","Y075RA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.609,0.616,0.772,0.753,0.9,1.264,1.698,2.01,2.876
"76","68","    State and local","A886RA3",11.078,13.578,13.856,10.117,5.89,7.55,8.189,15.713,12.601,14.328,16.849,16.487,12.85,8.244,3.851,2.477,2.824,6.456,10.433,11.776,14.976,15.364,17.704,17.569,18.001,18.373,19.031,21.091,22.063,24.355,27.711,27.891,31.405,32.877,33.153,38.201,39.851,38.961,42.616,48.674,46.18
"77","69","      Structures","B887RA3",13.732,17.154,17.423,12.523,7.062,9.3,10.129,19.955,15.757,17.942,21.124,20.812,16.238,10.347,4.726,2.946,3.396,7.958,12.92,14.485,18.612,19.103,22.115,21.863,22.364,22.729,23.626,26.167,27.124,30.107,34.015,33.885,38.386,40.314,39.917,47.056,49.029,47.574,52.286,59.658,56.121
"78","70","      Equipment","Y077RA3",1.647,1.429,1.609,1.516,1.267,1.157,1.168,1.135,1.455,1.599,1.826,1.484,1.119,0.871,0.639,0.619,0.622,0.991,1.472,1.869,1.963,1.997,2.082,2.248,2.385,2.648,2.571,2.883,3.548,3.543,4.636,5.38,5.335,5.636,7.772,5.927,5.938,7.264,7.215,8.231,9.159
"79","71","      Intellectual property products","Y078RA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.171,5.901,0,0,0,6.196,0,0,2.841,3.927
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
