"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187"
"11","3","Less: Income payments to the rest of the world","A655RX1",23.3,25.9,29,30.1,30.5,29.8,29.2,27.8,25.9,26.5,28.8,29.9,29.6,31.9,32.2,34.6,38.9,42.9,44.3,45.3,47,50.8,53.9,53.7,52.5,49.7,49.5,47.2,50.2,49.6,48.4,47.5,45.8,48.4,50.6,55.3,58,66,68.9,77.4,83.3,88.5,93.2,101.9,109,102.4,92.4,110.8,117.6,127.2,131.6,120.5,125.4,131.9,130.5,122.4,115.7,119.1,128.3,132.4,145.6,159,165.6,162.3,157.1,156,156.1,155.6,165.5,169.6,159.1,165.8,169.3,177.2,184.1,192.1,201.7,205,218.7,228.3,239.8,251.7,244.2,235.6,239,234.8,239.4,228,219.9,207.4,201.7,182,177.7,180.6,171.8,166.9,161,172.6,168.3,190.4,189.3,208.9,229.7,249.7,256.9,266,280.9,273.1,267.9,276.3,287.9,297.8,319.9,326.1,339.1,340.2,339.9,347.5,349.1,344.4,348.9,360.5,387.3,395.7,414.6,436.7,431.9,426.2,391.1,349.5,342.7,243.3,299.3,336.7,337.6,302.4,333,329.9,341.9,344,358.2,401.9,411.2,468.6,482.7,508.4,524.3,593.5,626.2,687.1,722.7,737.3,761.7,801.2,781.9,734.4,728.9,710.5,663.3,622,509.3,499.7,475.1,507.2,444.9,456.3,467.4,478,475.3,491.8,485.1,462.4,489.3,480.1,490.9,491.5,497.5,503.4,495.9,498.5,515.6,516,516,NA
"12","4","Equals: Gross national product","A001RX1",4730.4,4744.3,4772.4,4751.7,4744.1,4753.5,4794.9,4743.3,4874.8,4904.2,4938.9,4955,5044.7,5160.2,5210.3,5296,5431.3,5495.2,5473.3,5524.2,5488.3,5499.1,5440.9,5411.7,5339.2,5380.3,5471.9,5553.5,5676.2,5720.7,5750.1,5794.1,5868.7,5981.4,6085.5,6079.3,6108.8,6333.4,6399.6,6493.2,6507.6,6523.5,6584.4,6600.6,6623.3,6483.9,6469.3,6573,6711.9,6659.5,6739.2,6669.8,6555.4,6599.7,6563.7,6567.5,6651.8,6806.4,6939.7,7084,7217.7,7343.6,7414.5,7465.4,7525.4,7596.3,7704.6,7767,7832.8,7856.5,7939,7968.9,8027.4,8123,8195.4,8332.9,8388.1,8494.4,8538.5,8654.6,8740.5,8807.1,8876.2,8904.4,8998.5,9035.5,9029.9,8986.6,8927.5,8979.8,9017.3,9067.9,9173.7,9273.3,9358.9,9453.6,9481.6,9528.3,9582.2,9687.9,9791.9,9919,9974.8,10086,10132.5,10170.9,10239,10326.6,10402.8,10572.6,10665.7,10785,10856,11028.9,11158.9,11236.5,11358.8,11464.8,11597.8,11791,11896.1,12000.4,12147.2,12369.8,12400.8,12638,12647.4,12749,12695.9,12773.6,12705.9,12816.3,12886.8,12935.2,13014.6,13042.3,13092.8,13229.7,13449.7,13636.2,13734,13804.5,13940.4,14030.6,14215.9,14276.5,14405.8,14455.3,14629.9,14667.4,14666,14791.1,14800.5,14935.3,15093.7,15193.5,15074.5,15150.6,15094.5,14699.7,14504.2,14480.6,14581.7,14712.6,14790,14932.9,15026.4,15133.8,15086.5,15195.1,15249.1,15433.2,15484.6,15538.1,15617.5,15629.1,15717.2,15790.6,15977.6,16124.3,16009.8,16189.8,16399.3,NA
"13","5","Less: Consumption of fixed capital","A262RX1",472,477.9,483.6,489.1,494.3,499.3,504.1,508.5,512.6,516.8,521.1,525.2,529.9,535.2,541.3,548.2,555.6,562.8,569.5,576,582.2,587.9,593.3,598.3,602.7,607.2,611.6,616,620.4,625.3,630.6,636.4,642.6,649.2,656.1,663.2,670.5,678.3,686.4,694.9,703.9,712.8,721.3,729.6,737.7,745.6,753.1,760.3,767.2,774.4,781.9,789.7,797.9,805.5,812.7,819.3,825.5,832.4,839.8,848,856.8,866.6,877.5,889.5,902.6,915.3,927.6,939.4,950.7,962.1,973.8,985.6,997.6,1009.3,1020.7,1031.8,1042.6,1053.4,1064.4,1075.4,1086.5,1097.6,1108.5,1119.4,1130.2,1140.4,1150,1158.9,1167.2,1175.2,1183.1,1190.7,1198.1,1205.9,1214.2,1223.1,1232.4,1242,1251.9,1262,1272.4,1283.4,1295.2,1307.6,1320.8,1334.1,1347.8,1361.7,1375.9,1390.9,1406.8,1423.4,1440.9,1459.3,1479.2,1500.4,1523.1,1545.3,1566.7,1587.5,1607.6,1633.8,1666.5,1705.9,1702.6,1742.7,1775.9,1800.6,1819.7,1834.9,1849.1,1863.8,1881.4,1897.4,1913.4,1928.3,1942.2,1955.6,1970.5,1987.3,2006.1,2022.7,2041.1,2060.6,2081.1,2100.4,2120.9,2141.5,2162.4,2184.2,2205.2,2225.9,2246.8,2266.3,2284.3,2301.2,2315.7,2331.5,2347,2359.5,2366.5,2369.2,2369.4,2368.5,2372.7,2378.7,2385.5,2392.5,2400.5,2407.8,2416.5,2426.8,2438.5,2450.7,2461.9,2473.5,2486.5,2499.6,2512.6,2526.1,2539.5,2553.2,2568.8,2584.4
"14","6","  Private","A024RX1",323.8,328.5,333,337.4,341.6,345.7,349.7,353.6,357.4,361.3,365.3,369.4,373.7,378.7,384.5,390.9,397.9,404.5,410.7,416.6,422.2,427.5,432.2,436.6,440.4,444.2,448,451.6,455.2,459.3,463.8,468.8,474.2,479.8,485.7,491.8,498.2,504.8,511.9,519.3,527,534.5,541.7,548.7,555.4,561.8,567.8,573.6,579.1,584.8,590.7,597,603.5,609.5,614.9,619.8,624.2,629.1,634.4,640.3,646.8,654.1,662.3,671.4,681.3,690.8,699.8,708.3,716.3,724.4,732.7,741.2,749.8,758.2,766.4,774.4,782.1,790.1,798.2,806.5,815,823.4,831.8,840,848.2,855.9,863.2,869.9,876.1,882.2,888.2,894.1,899.9,906.3,913.2,920.8,928.9,937.3,946.2,955.4,965,975.2,986.2,997.8,1010.2,1022.7,1035.5,1048.5,1061.8,1075.8,1090.5,1106,1122.3,1139.8,1158.5,1178.4,1199.5,1220,1239.8,1258.8,1276.9,1301.2,1331.8,1369,1364.2,1402.1,1433.2,1455.9,1473.1,1486.4,1498.7,1511.6,1527.3,1541.4,1555.2,1567.8,1579.6,1590.5,1602.8,1616.8,1632.9,1646.6,1662,1678.6,1696.1,1712.4,1729.8,1747.3,1765.1,1783.6,1801.3,1818.7,1836.3,1852.3,1867,1880.5,1891.6,1903.8,1915.7,1924.5,1927.6,1927.3,1925.1,1922.6,1923.2,1926,1929.8,1934.3,1939.8,1944.8,1951.4,1959.8,1969.7,1980.5,1990.6,2001.3,2013.7,2026,2037.9,2049.8,2061.5,2073.4,2087.2,2101.1
"15","7","  Government","A264RX1",157.5,158.6,159.8,160.9,161.8,162.7,163.4,163.8,164.1,164.3,164.4,164.3,164.6,164.8,165,165.3,165.5,166,166.4,166.9,167.3,167.8,168.3,169,169.5,170.2,170.8,171.5,172.3,173.1,173.8,174.6,175.4,176.2,177.1,178,178.8,179.8,180.8,181.7,182.8,184,185.3,186.5,187.8,189.2,190.6,192,193.5,195,196.5,198,199.6,201.3,203,204.9,206.8,208.9,211,213.4,215.9,218.5,221.3,224.3,227.5,230.8,234.2,237.6,241.2,244.7,248.2,251.8,255.3,258.8,262.1,265.4,268.5,271.6,274.5,277.3,280,282.7,285.3,288,290.7,293.2,295.6,297.9,300.1,302.1,304,305.7,307.2,308.6,310,311.2,312.3,313.3,314.2,314.9,315.5,316.1,316.7,317.3,317.8,318.3,318.9,319.6,320.3,321.1,321.9,322.8,323.7,324.3,325.2,326.3,327.5,328.8,330.3,331.9,333.6,335.3,337,338.7,340.4,342.2,343.9,345.7,347.5,349.3,351.1,352.9,354.6,356.5,358.7,360.9,363,365.5,368,370.8,373.6,376.4,379.3,382.2,385.2,388.1,391.2,394.3,397.4,400.6,403.8,407.1,410.4,413.7,417.1,420.5,424,427.5,431.2,435,438.9,442,444.3,445.8,449.5,452.7,455.7,458.2,460.6,462.8,464.9,466.9,468.6,470.1,471.2,472.1,472.8,473.7,474.9,476.3,478.1,479.9,481.8,483.5
"16","8","    General government","A265RX1",144.9,145.8,146.9,147.9,148.7,149.4,150,150.2,150.4,150.4,150.5,150.2,150.4,150.4,150.5,150.6,150.7,150.9,151.2,151.5,151.8,152,152.5,152.9,153.3,153.8,154.3,154.8,155.5,156.1,156.6,157.3,158,158.6,159.4,160.2,160.9,161.7,162.5,163.3,164.2,165.3,166.3,167.4,168.5,169.7,170.9,172.1,173.3,174.6,175.9,177.3,178.7,180.1,181.7,183.3,185.1,186.9,188.9,191,193.2,195.6,198.2,200.9,203.8,206.9,210,213.2,216.4,219.7,223,226.3,229.6,232.7,235.8,238.8,241.7,244.6,247.2,249.8,252.2,254.6,257,259.4,261.8,264.1,266.2,268.2,270.1,271.8,273.4,274.8,276.1,277.2,278.3,279.2,280,280.7,281.3,281.8,282.2,282.5,282.9,283.2,283.5,283.8,284.3,284.7,285.2,285.7,286.3,286.9,287.6,288.1,288.8,289.6,290.5,291.6,292.7,293.9,295.3,296.5,297.9,299.2,300.5,302,303.4,304.9,306.4,307.9,309.4,310.9,312.3,313.9,315.6,317.5,319.1,321.2,323.4,325.7,328,330.4,332.9,335.5,338.1,340.7,343.4,346.3,349.1,352,354.9,357.9,360.9,364,367.1,370.2,373.4,376.6,379.9,383.4,386.9,389.6,391.6,392.9,396.1,399.1,401.7,403.9,405.9,407.9,409.7,411.4,413,414.2,415.2,416,416.5,417.2,418.2,419.5,421,422.6,424.2,425.7
"17","9","    Government enterprises","A266RX1",11.8,11.9,12.1,12.2,12.3,12.5,12.7,12.8,13,13.1,13.3,13.4,13.6,13.7,14,14.1,14.3,14.5,14.7,14.9,15.1,15.2,15.5,15.6,15.8,16,16.1,16.3,16.5,16.6,16.8,16.9,17,17.2,17.3,17.5,17.6,17.8,17.9,18.1,18.2,18.4,18.6,18.8,19,19.2,19.4,19.6,19.8,20,20.2,20.4,20.6,20.8,21,21.2,21.4,21.7,21.8,22.1,22.3,22.5,22.7,23,23.2,23.5,23.7,24,24.3,24.5,24.8,25,25.2,25.5,25.7,26,26.2,26.4,26.7,26.9,27.2,27.4,27.7,28,28.2,28.5,28.8,29.1,29.3,29.6,29.9,30.2,30.5,30.8,31.1,31.4,31.8,32.1,32.4,32.6,32.9,33.1,33.4,33.6,33.8,34,34.3,34.5,34.7,35,35.3,35.5,35.8,35.9,36.1,36.4,36.7,37,37.4,37.7,38.1,38.6,38.9,39.3,39.7,40.1,40.4,40.7,41,41.3,41.6,41.9,42.3,42.6,43,43.4,43.8,44.2,44.7,45.1,45.6,46,46.4,46.8,47.1,47.4,47.7,48,48.3,48.6,48.9,49.2,49.5,49.8,50.1,50.4,50.7,51,51.3,51.6,52,52.3,52.7,53,53.3,53.7,54,54.3,54.7,55,55.3,55.5,55.7,55.8,56,56.1,56.3,56.4,56.6,56.9,57.1,57.3,57.6,57.8
"18","10","Equals: Net national product","A027RX1",4304.8,4311.9,4333.9,4305.6,4291.3,4294.8,4331.6,4272.8,4403.6,4428.9,4459.4,4470.9,4557.9,4670.7,4714.9,4795,4925.6,4982.8,4951.8,4996.4,4951.6,4955.6,4888.5,4851.8,4770.8,4807.6,4897.1,4976.3,5098.1,5138.1,5161.8,5200.1,5269.5,5378.3,5477.7,5461.8,5483,5706.9,5765.1,5851.4,5854.6,5859.4,5911.7,5917.4,5930.3,5774.2,5749,5847.6,5983.6,5919,5992.2,5909.2,5778.6,5814.6,5767.6,5762.7,5842.7,5994.7,6123.6,6263,6390.3,6508.3,6567.8,6605.4,6651,6708.4,6805,6854.7,6908.6,6918.8,6989.5,7005.7,7051.2,7135.5,7196,7324.3,7367.9,7464.2,7496.2,7602.4,7677.2,7732.4,7790.2,7805.9,7889.7,7915.4,7898.3,7843.3,7772.9,7817.1,7846.4,7889.3,7988.9,8081.6,8159.4,8246,8263.8,8300.5,8344.2,8440.5,8534.7,8651.6,8695.1,8794.3,8826.8,8850.8,8904.7,8978.3,9039.9,9195.8,9272.7,9375.4,9428.1,9583.2,9693.3,9748.7,9848,9931.3,10042.5,10215.5,10300.1,10377.4,10490.9,10673.8,10708.7,10905.2,10879.3,10955.6,10882.2,10944.5,10861.2,10957,11009.7,11041.8,11105.2,11117.8,11154.3,11278,11483.5,11653.4,11732.2,11786.1,11903.7,11974.3,12139.3,12180.4,12289.3,12317.8,12471.6,12486.8,12463.9,12568.4,12556.2,12671.6,12812.1,12894.8,12760.3,12820.6,12748.5,12340,12137.5,12111.4,12212.5,12344.2,12417.3,12553.8,12640.3,12740.5,12685.6,12786.7,12832,13005.4,13045.1,13086.5,13154.7,13154.9,13230,13290.3,13463.9,13596.9,13469.5,13635.6,13829.2,NA
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross domestic income \1\","A261RX1",4665.4,4697.6,4732.4,4723.9,4690.4,4690.2,4728.9,4684.5,4778,4809.4,4851,4912.9,4983.7,5047.6,5129.7,5261.5,5355.4,5384.8,5402.8,5459.5,5417.2,5395.6,5367,5303,5242.6,5287,5393.8,5449.1,5562.5,5597.3,5638.8,5655.9,5707.3,5853.2,5965.7,6000.7,6037.7,6216.8,6257.5,6313.4,6372.4,6338.3,6345.1,6371.7,6376.2,6257.2,6303.4,6464,6514.4,6515,6605.9,6531.2,6478.3,6504.2,6478.8,6452.1,6524.1,6635.1,6725.8,6879.5,7070.4,7184.7,7263.7,7342.6,7407.5,7461.5,7552.9,7595.7,7673,7693.4,7744.5,7805.6,7884.2,8009.4,8129.2,8236,8335.5,8432.7,8507.6,8625,8681.7,8664.6,8697.8,8704.5,8795.4,8845.3,8837,8794.8,8783.3,8806.3,8829.6,8862.7,9017.6,9091.2,9120.1,9209.7,9171.9,9284.9,9300.8,9482.3,9533.5,9683.7,9774.9,9887.4,9934,9991.4,10114,10178.4,10289.1,10443.8,10542.3,10673.8,10796,10923.2,11105.9,11250.9,11371.1,11534.1,11697.9,11805.7,11952,12026.2,12137.4,12335.9,12587.7,12657.5,12751.6,12729,12876.4,12853,12807.3,12742.9,12907.7,12986.9,13003.8,13078.9,13099.6,13221.5,13348.1,13479.1,13581.8,13722.4,13878.8,13949,14084.9,14185.8,14310.8,14508,14782.8,14805.1,14863.7,14920.2,14882.6,14904.1,14822.4,14816.6,14842.2,14832.4,14767,14479.5,14257.8,14259.2,14328.1,14528.3,14547.3,14648.6,14839.5,14904.9,14924.4,14996.1,15093.1,15217,15484.9,15509.8,15559,15718.4,15774.1,15879.1,15955.4,16027.6,15996.4,16152.2,16337.9,NA
"21","12","  Gross national income \2\","A023RX1",4704.1,4735.3,4768.7,4760.2,4727.6,4728.2,4766.4,4719.4,4818.3,4851.6,4889.9,4953.5,5026,5089.3,5174.6,5306.3,5406.3,5438.6,5464.1,5521.3,5488.4,5463.3,5429.2,5357.6,5289.1,5334,5444.3,5508,5620,5657,5698.9,5717.6,5776.7,5921.4,6033.6,6061.8,6107.3,6276.1,6321.7,6386.1,6446.8,6420.8,6442.3,6468.1,6474.4,6348.4,6389.8,6535.7,6590.4,6587,6682.1,6615.8,6558.8,6593.8,6555.8,6526.4,6597.6,6713,6805.3,6962,7147.4,7262.1,7340.6,7411.8,7463.3,7519.7,7602.2,7650,7721.4,7729.9,7784.8,7834.9,7916.5,8047.6,8166.5,8276.1,8384.3,8477.5,8547.8,8668.7,8724.5,8705.6,8742.4,8758.5,8846.6,8898.9,8882.9,8874,8845.1,8851.7,8869.7,8914.1,9068.2,9140.8,9165.7,9256.6,9229.4,9333,9356.5,9516.7,9577.2,9721.1,9810,9920.9,9979.5,10040.2,10144.1,10223.7,10343.2,10487,10581.2,10719.8,10831.1,10967.8,11140.8,11277.1,11408.8,11568,11715.1,11826,11983.5,12063.9,12171.5,12382.5,12629.6,12703,12791.5,12798.6,12929,12916.4,12843,12853.9,12972.2,13029.3,13062.6,13157.3,13161.3,13299.1,13425.5,13586.6,13709.3,13820.7,13988.4,14029.2,14201.5,14289.6,14424.8,14589.9,14866.7,14883,14927.2,14994.5,14957.1,15000.7,14977.5,15018.2,15027.3,15019.7,14969.7,14602.2,14387,14384.3,14507.4,14699,14732.6,14835.8,15020.3,15099.8,15129.5,15201.7,15321,15459.9,15694.1,15711.1,15745,15913.5,15952.7,16062.8,16152.9,16235.5,16174.4,16331.5,16531.5,NA
"22","13","  Net domestic product","A362RX1",4265.2,4273.6,4296.9,4268.7,4253.6,4256.1,4293.3,4237.3,4362.5,4385.8,4419.8,4429.5,4514.8,4628,4669.1,4749.3,4873.8,4928,4889.1,4933.2,4878.6,4886.2,4824.9,4796.2,4723.3,4759.8,4845.7,4916,5039.3,5077.1,5100.3,5137.2,5198.4,5308.4,5408.3,5399.6,5411.8,5646.3,5699.6,5776.9,5778.4,5774.8,5811.7,5818.1,5829.3,5680.6,5660.5,5774.4,5905.8,5845.5,5914.4,5822.5,5696.4,5723.1,5689.1,5687,5767.6,5915,6042.4,6178.8,6311.8,6429.3,6489.4,6534.8,6594.5,6649.3,6755.2,6799.8,6859.6,6882.2,6949.1,6976.6,7019,7097.2,7158.9,7284.1,7318.9,7419.2,7456.1,7558.6,7634.5,7691.5,7745.5,7751.6,7838.1,7861.5,7852.3,7763.2,7710.6,7771.7,7806.5,7837.7,7938.1,8031.8,8113.8,8198.9,8206.1,8252.3,8288.2,8406.4,8491,8614.2,8660.3,8761.1,8781.3,8802.1,8874.9,8933,8985.7,9152.7,9234,9329.6,9393.3,9538.7,9658.8,9723,9810.7,9897.9,10026,10195.8,10269.2,10340,10457.2,10627.7,10667.4,10860.1,10840,10886.2,10829.9,10881.4,10825.9,10845.8,10945.4,11000,11046.7,11039.7,11092.9,11200.6,11406.4,11546.1,11604.9,11688,11794.3,11894.3,12022.7,12076.8,12175.4,12236.2,12388.1,12409.4,12400.9,12494.5,12482.1,12575.2,12656.9,12693,12575.2,12633.3,12545.6,12217.4,12008.3,11986.3,12033.2,12173.5,12232.1,12366.9,12459.5,12545.8,12480.5,12581.3,12604.2,12762.7,12835.8,12885.3,12968.6,12959.6,13051.3,13106.3,13266.3,13389,13291.4,13456.2,13635.6,13725.8
"23","14","  Net domestic income \3\","W256RX1",4238,4264.4,4292.9,4277.5,4236.5,4230.1,4263.9,4212.9,4304.2,4331.7,4369.2,4428,4495.4,4554.9,4632.1,4760,4847.9,4869.4,4879.5,4930.2,4878.9,4849.2,4812.9,4740.2,4671.5,4711.6,4817.1,4868.9,4981.1,5011.1,5047.2,5057.6,5102.8,5246,5354.3,5381.2,5410.3,5586.7,5618.4,5665.4,5715,5667.9,5663.6,5680.2,5673.9,5539.2,5577.4,5735.6,5779.1,5769.9,5854.8,5766.1,5699.9,5716.8,5680.8,5644.1,5711.2,5818,5903,6052.1,6239,6344.8,6413,6479.4,6530.3,6570.2,6649.5,6679,6744.8,6751.5,6789.9,6838.3,6904.7,7019.5,7129.1,7225.5,7315,7401.8,7465.7,7573.1,7618.1,7587.1,7607.9,7601.7,7682.2,7721.4,7701.6,7647.7,7626.2,7640.5,7655.3,7680.5,7830.3,7896.7,7916.8,7998,7949,8053.3,8058.4,8232.1,8272.3,8412.9,8492.5,8592.9,8625.4,8668.8,8778.3,8828.2,8925.1,9065.7,9148.2,9263.3,9368.1,9476.8,9640.3,9764.1,9861.2,10002.2,10144.6,10231.3,10357.6,10404.3,10481.7,10640.4,10898.8,10925.8,10985.2,10936.2,11064.5,11025.2,10964,10883.7,11031.3,11094.4,11094.8,11155,11161.6,11270.3,11382.1,11496.3,11580.2,11704.3,11842.4,11892.9,12008.4,12090,12194.5,12371.4,12626,12626.1,12663.3,12699,12639.5,12640.9,12540.3,12517.1,12527.8,12501.9,12420.5,12119.8,11891,11890,11958.9,12159.9,12174.7,12270,12453.5,12511.8,12523.4,12587.9,12676,12789.2,13044.8,13057.7,13095.7,13243.1,13286,13377.9,13441.2,13500.1,13455.8,13597.7,13767.6,NA
"24","15","  Net domestic purchases","W367RX1",4379.9,4382.5,4409.5,4368.8,4350.4,4346,4384.5,4328.6,4452.7,4497,4526.6,4540.9,4639.1,4752.5,4783.8,4867.4,4986.9,5014.8,4963.3,4990.8,4914.2,4922.8,4878.2,4833.1,4709.5,4727,4853.8,4921.5,5075.7,5128.7,5157.8,5206.5,5300.4,5403.5,5492.6,5506.9,5544.9,5732.8,5788,5852.6,5851.6,5849.9,5856.7,5841,5835.7,5624.4,5556.9,5707.4,5853,5790.9,5865.2,5790.1,5673.9,5686.8,5707.4,5707,5792.5,5982.5,6149.5,6306.8,6482.7,6616.7,6683.7,6739.8,6781.6,6873.5,6980.4,7038.5,7080.4,7129.8,7205.8,7218.4,7255.5,7330.2,7382,7503.5,7496.9,7566.4,7610,7717.5,7774.9,7802.1,7846.5,7857.1,7938,7949.3,7930.2,7808.2,7740.3,7786.6,7826.3,7858,7948.7,8057.2,8134.8,8238.1,8264.4,8320,8371.5,8500.6,8600.3,8731.1,8771.7,8881.1,8907,8924.3,8954.6,9012.3,9091.1,9267.5,9380.5,9431,9527.6,9669.6,9810.9,9907,10041.3,10175.1,10328.9,10501.7,10627.3,10729.5,10869.2,11048.6,11136,11344.7,11353.4,11410.6,11344.3,11387.2,11359.3,11394.7,11517.7,11592.4,11656.4,11702.4,11738.3,11875.8,12074.4,12226.2,12304.6,12451.1,12570.9,12687.8,12820.5,12873.7,12976.7,13064.5,13211.1,13232.3,13245.2,13275.7,13275,13350.6,13380.1,13332.1,13218.1,13196.3,13080.5,12753.2,12461.2,12353.5,12415.7,12552.8,12640.9,12839.2,12961.6,13006.5,12950.7,13039.9,13062.4,13228.2,13305.2,13355.9,13424.2,13384.9,13478.8,13554.2,13691.4,13771.4,13740.2,13918.9,14067.6,14199.2
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
