"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187"
"11","3","          Value added","W102RA3",59.184,59.677,60.168,60.41,60.082,60.114,60.193,60.243,60.328,60.229,60.281,60.352,60.045,60.042,60.318,60.676,60.508,60.482,60.537,60.877,61.482,61.708,61.925,62.239,62.643,62.752,62.89,62.964,63.125,63.228,63.479,63.74,63.808,63.9,64.231,64.451,64.856,65.064,65.564,65.984,66.091,65.991,66.017,66.527,66.898,67.305,67.346,67.21,67.305,67.463,67.896,68.138,68.326,68.551,68.583,68.72,68.989,69.132,69.298,69.273,69.517,69.965,70.532,70.914,71.465,72.036,72.889,73.276,73.688,74.137,74.6,75.281,75.614,76.01,76.364,77.192,77.892,78.165,78.605,79.212,79.651,80.131,80.737,81.183,81.94,82.292,82.736,82.893,83.404,83.369,83.255,83.28,83.568,83.661,83.837,83.737,83.942,83.93,83.974,83.82,83.948,84.057,84.13,83.917,84.199,84.306,84.312,83.791,83.736,84.555,84.529,84.53,84.706,84.86,85.119,85.212,85.523,85.822,86.101,86.231,86.409,86.462,86.76,87.145,87.614,88.321,88.183,88.339,88.926,89.511,90.025,90.346,90.819,91.281,91.662,91.819,92.292,92.557,92.61,92.675,92.884,93.047,93.246,93.607,93.841,93.918,94.16,94.28,94.296,94.51,95.073,95.452,95.607,95.894,96.318,96.883,97.396,97.803,98.537,98.99,99.405,100.08,100.146,100.37,100.502,100.954,100.563,100.467,100.423,100.284,100.078,100.059,99.872,99.804,99.876,99.822,99.851,99.888,99.681,99.374,100.016,100.132,100.185,100.235
"12","4","            Compensation of general government employees","A194RA3",67.469,68.067,68.647,68.874,68.289,68.246,68.281,68.321,68.425,68.277,68.35,68.479,68.021,68.015,68.399,68.896,68.648,68.578,68.63,69.08,69.916,70.208,70.47,70.866,71.406,71.498,71.638,71.677,71.827,71.895,72.194,72.486,72.505,72.555,72.937,73.155,73.657,73.851,74.474,74.977,75.021,74.747,74.657,75.264,75.66,76.1,76.01,75.656,75.643,75.708,76.17,76.352,76.447,76.589,76.442,76.433,76.605,76.582,76.584,76.293,76.374,76.734,77.24,77.462,77.911,78.374,79.224,79.412,79.632,79.902,80.196,80.79,80.904,81.116,81.283,82.119,82.785,82.87,83.206,83.78,84.138,84.556,85.149,85.521,86.317,86.576,86.975,86.995,87.508,87.299,86.994,86.894,87.166,87.191,87.332,87.118,87.322,87.242,87.244,87,87.135,87.25,87.315,87.001,87.352,87.465,87.436,86.702,86.585,87.629,87.543,87.492,87.669,87.83,88.116,88.17,88.501,88.809,89.082,89.152,89.273,89.242,89.52,89.917,90.425,91.233,90.939,91.026,91.671,92.314,92.864,93.172,93.673,94.15,94.507,94.572,95.06,95.25,95.167,95.09,95.195,95.237,95.319,95.603,95.722,95.641,95.764,95.725,95.557,95.634,96.145,96.425,96.417,96.575,96.903,97.408,97.843,98.142,98.843,99.184,99.474,100.14,100.093,100.293,100.244,100.621,99.965,99.703,99.516,99.217,98.841,98.706,98.371,98.202,98.227,98.112,98.115,98.115,97.791,97.325,98.032,98.075,98.037,97.999
"13","5","            Consumption of general government fixed capital \2\","A265RA3",37.132,37.373,37.639,37.886,38.093,38.272,38.429,38.495,38.537,38.545,38.552,38.498,38.533,38.538,38.56,38.594,38.609,38.68,38.739,38.817,38.889,38.961,39.066,39.188,39.281,39.411,39.533,39.671,39.841,40.006,40.137,40.312,40.475,40.646,40.843,41.05,41.22,41.439,41.643,41.856,42.085,42.353,42.618,42.884,43.176,43.48,43.781,44.103,44.413,44.745,45.08,45.423,45.783,46.159,46.551,46.974,47.42,47.899,48.397,48.94,49.516,50.122,50.782,51.49,52.233,53.01,53.815,54.632,55.463,56.303,57.138,57.987,58.822,59.64,60.429,61.195,61.944,62.665,63.344,64.002,64.626,65.244,65.855,66.47,67.093,67.673,68.218,68.728,69.211,69.648,70.057,70.426,70.755,71.038,71.308,71.539,71.738,71.925,72.086,72.2,72.299,72.39,72.485,72.57,72.644,72.731,72.839,72.955,73.081,73.221,73.37,73.524,73.695,73.821,73.992,74.201,74.441,74.708,74.999,75.31,75.662,75.982,76.335,76.674,77.012,77.379,77.747,78.128,78.522,78.901,79.289,79.654,80.022,80.427,80.883,81.363,81.776,82.312,82.861,83.452,84.049,84.67,85.313,85.965,86.632,87.314,88.006,88.728,89.445,90.191,90.949,91.709,92.487,93.27,94.059,94.855,95.671,96.494,97.356,98.24,99.135,99.845,100.352,100.668,101.509,102.259,102.921,103.487,104.015,104.512,104.979,105.42,105.818,106.146,106.405,106.594,106.722,106.906,107.165,107.488,107.872,108.279,108.692,109.09
"14","6","          Intermediate goods and services purchased \3\","W104RA3",27.812,28.603,28.517,28.554,27.971,27.111,27.446,27.745,27.869,28.204,28.132,28.023,30.017,30.931,28.856,28.532,28.697,29.139,28.002,28.442,29.253,28.945,29.109,29.645,30.13,30.664,30.105,30.336,29.665,30.244,29.742,29.594,30.347,31.19,31.711,31.374,31.422,32.257,32.245,32.371,32.703,33.244,32.013,32.83,32.836,34.083,32.947,32.858,33.669,34.87,34.637,34.935,35.525,35.402,36.508,37.812,38.791,39.793,41.177,38.108,38.461,40.443,40.587,41.139,42.057,43.269,44.934,45.223,45.654,48.033,49.579,48.283,48.366,48.436,47.702,49.083,48.173,48.045,47.965,50.154,49.021,51.398,51.352,51.703,52.426,52.365,51.904,53.312,54.733,54.935,55.077,54.196,54.897,55.22,57.009,57.003,55.75,55.759,56.817,57.228,56.885,57.811,59.366,58.908,58.594,59.123,59.441,58.757,58.585,60.015,60.185,61.204,60.65,63.115,62.969,64.313,62.923,65.354,66.63,67.385,67.646,68.803,70.637,72.517,70.056,72.619,72.518,73.529,75.979,77.737,78.956,80.391,82.389,83.541,84.442,85.426,83.639,87.109,85.773,87.426,87.753,88.433,89.48,88.367,89.015,88.697,90.475,89.192,91.367,90.913,90.967,91.675,90.748,91.807,93.048,92.696,92.737,92.559,94.885,96.232,96.765,100.03,101.532,101.673,100.126,100.151,100.642,98.369,94.412,94.831,95.275,93.324,93.277,93.255,95.904,92.798,91.538,91.495,92.097,90.305,90.638,90.595,93.518,91.646
"15","7","            Durable goods","W105RA3",33.495,31.6,31.606,30.183,30.011,29.604,29.483,29.837,26.181,24.303,23.891,22.611,30.285,30.825,28.555,27.878,29.228,29.299,26.495,27.583,26.153,27.994,24.001,26.534,26.872,27.206,27.335,27.933,25.332,27.394,25.248,26.745,29.164,33.026,30.08,30.467,32.186,33.991,33.19,32.927,33.622,36.607,34.442,37.026,36.776,37.064,37.945,35.294,39.5,42.313,40.06,43.313,41.772,43.504,44.81,47.747,49.985,51.835,51.562,52.204,53.42,54.078,50.274,53.466,53.331,55.492,59.864,58.25,55.572,62.297,64.344,61.234,61.354,63.151,67.234,65.975,66.06,65.404,65.365,68.763,64.892,67.227,66.266,63.28,65.158,64.162,63.569,64.73,63.629,64.51,62.966,61.191,59.852,58.372,59.744,59.802,56.333,62.155,53.775,53.31,51.57,51.196,54.076,51.131,51.18,48.539,54.174,48.198,49.02,52.628,52.722,50.197,51.676,54.115,52.356,53.35,53.14,54.615,57.694,57.333,56.098,60.464,63.128,60.45,61.494,61.765,62.593,61.752,61.729,64.922,67.33,63.891,64.835,66.488,68.739,66.917,65.39,70.092,71.242,71.568,72.21,74.168,76.583,74.693,73.599,74.999,76.769,77.085,78.797,79.143,80.911,83.314,81.936,84.516,88.167,89.681,90.609,93.684,96.821,98.166,93.989,99.744,104.165,102.102,96.589,99.53,102.113,104.706,92.597,95.573,97.182,99.46,93.415,94.116,96.394,94.246,86.458,88.095,87.579,85.831,82.012,81.856,80.752,84.41
"16","8","            Nondurable goods","W106RA3",36.157,37.079,38.597,34.941,32.535,30.604,30.848,32.318,30.663,32.165,33.446,32.514,35.079,34.857,32.624,32.429,31.543,30.7,30.571,31.894,31.99,29.572,31.971,32.182,33.233,34.117,31.653,33.174,33.636,33.479,33.609,33.469,34.232,34.221,35.996,36.271,35.22,36.169,37.257,37.406,36.704,36.261,36.202,36.215,36.361,38.243,35.902,37.083,37.575,40.412,39.515,39.745,38.837,38.822,38.828,39.595,40.43,43.307,48.817,35.312,35.181,41.707,42.208,42.716,43.169,44.304,44.558,44.935,47.176,50.657,52.603,54.19,49.644,48.295,44.022,49.956,44.721,44.042,42.759,47.157,49.469,51.222,51.53,50.228,49.67,50.137,50.582,53.166,55.095,53.189,53.005,52.497,53.465,55.702,56.121,56.121,57.322,57.214,58.017,57.536,57.855,58.483,58.554,60.382,60.819,60.526,61.329,61.043,61.514,61.943,62.395,62.532,64.369,64.836,66.001,66.901,68.536,69.599,71.345,72.178,71.806,73.352,75.042,74.683,76.653,77.079,77.694,79.021,81.238,84.291,84.057,86.012,86.557,88.107,87.572,88.096,87.179,88.351,87.316,88.837,90.193,90.671,90.878,89.85,91.374,90.412,91.693,91.852,92.178,92.019,93.222,93.301,94.249,94.706,95.068,94.228,93.619,93.436,93.766,95.772,97.998,100.399,101.121,100.482,98.283,97.388,95.948,94.666,92.121,91.629,92.03,92.669,92.101,92.292,92.572,93.139,92.731,92.583,92.83,92.373,92.611,92.881,94.428,94.466
"17","9","            Services","W107RA3",22.754,24.106,23.322,25.246,25.344,24.845,25.322,25.114,26.847,27.213,26.669,27.148,27.627,29.07,27.125,26.834,27.181,28.252,27.053,26.954,28.576,28.788,28.762,29.033,29.269,29.675,29.917,29.426,28.615,29.231,28.783,28.277,28.662,29.263,29.919,29.132,29.347,29.918,29.552,29.751,30.507,31.007,29.38,30.245,30.234,31.338,30.45,30.184,30.474,30.421,30.979,30.708,32.553,31.99,33.629,34.869,35.653,35.529,35.2,36.497,36.875,36.926,37.77,37.766,39.152,40.204,41.94,42.588,42.849,43.826,45.097,43.059,44.976,45.267,44.997,45.048,45.695,45.891,46.278,47.358,45.396,47.995,47.97,49.61,50.638,50.544,49.755,50.707,52.377,53.306,53.885,53.028,53.981,53.895,56.266,56.248,54.485,53.499,56.328,57.215,56.882,58.135,59.981,59.127,58.48,59.853,59.077,59.157,58.576,59.998,60.073,62.007,60.223,63.417,63.06,64.61,61.968,65.005,65.822,66.717,67.418,67.935,69.679,73.045,68.452,72.15,71.643,72.8,75.681,76.739,78.321,80.258,82.902,83.843,85.06,86.588,84.45,88.583,86.807,88.674,88.58,89.163,90.347,89.31,89.837,89.564,91.546,89.459,92.476,91.797,91.143,91.901,90.248,91.37,92.693,92.33,92.559,91.998,95.209,96.241,96.606,99.912,101.383,102.098,101.286,101.378,102.467,99.218,95.542,96.115,96.453,92.796,93.664,93.46,97.272,92.315,91.368,91.195,92.085,89.668,90.491,90.316,94.299,90.974
"18","10","        Less: Own-account investment \4\","W108RA3",42.719,43.439,43.968,43.736,43.457,43.289,43.684,43.01,43.138,43.077,42.729,43.479,43.997,44.341,43.684,44.682,44.09,43.548,43.692,44.388,44.016,45.13,44.832,44.048,44.199,43.019,43.512,43.73,42.093,42.929,43.404,42.313,41.333,41.648,41.529,40.539,40.173,42.36,44.22,45.74,44.203,45.753,46.828,47.479,47.576,47.479,47.439,47.78,47.238,47.321,47.244,47.619,47.373,48.18,48.603,49.185,49.224,50.131,51.629,52,52.124,53.332,55.244,56.24,56.565,57.944,59.207,60.229,60.472,62.11,63.438,63.792,64.091,64.44,65.374,65.615,65.768,66.603,66.952,67.627,68.298,69.599,71.034,72.576,73.526,73.17,72.895,73.136,73.106,73.59,73.704,73.872,74.482,73.294,72.488,71.413,71.762,72.465,72.547,71.944,70.926,71.06,72.229,71.679,71.709,71.437,71.453,70.401,70.423,70.857,71.165,71.047,74.262,73.398,72.051,71.157,72.505,74.526,74.752,72.937,71.989,75.615,75.478,76.35,76.378,76.472,78.401,79.149,82.751,85.486,85.338,86.246,87.345,87.603,88.413,88.728,88.399,88.719,89.175,89.52,88.399,89.228,89.45,89.603,90.05,91.487,92.2,93.123,93.141,94.625,95.235,95.822,96.559,97.338,97.92,98.24,98.632,99.184,99.539,100.028,100.344,100.452,100.138,99.066,97.868,97.816,98.052,96.926,97.204,97.9,98.558,99.351,99.194,99.638,99.252,98.037,96.786,96.422,95.443,94.084,92.962,93.286,93.283,93.676
"19","11","        Less: Sales to other sectors \5\","W109RA3",31.233,31.741,31.913,31.918,32.404,32.593,32.766,33.516,34.216,34.986,35.847,36.324,38.187,39.398,39.426,40.708,40.99,42.229,41.041,41.406,42.58,42.368,41.325,41.413,42.564,42.248,39.677,40.92,41.485,43.31,44.041,42.675,44.507,45.122,46.055,45.372,46.13,47.224,48.577,48.897,49.278,49.775,49.897,52.259,49.801,50.522,51.111,50.99,51.336,51.438,53.052,51.846,52.623,52.476,52.743,53.529,53.391,53.796,54.855,55.081,54.288,54.422,55.11,54.752,55.481,56.168,56.855,57.396,57.677,58.523,58.744,59.191,59.542,59.726,60.19,60.185,60.719,61.344,62.167,61.547,62.402,63.019,63.343,62.979,63.484,63.445,64.553,65.7,66.187,65.666,67.533,67.142,68.448,69.011,70.052,69.208,71.123,71.761,72.473,72.106,74.086,75.773,74.48,76.053,76.043,75.876,76.304,77.622,77.143,77.597,78.641,78.656,78.524,79.245,79.763,80.917,81.276,80.965,85.316,82.021,82.457,83.704,84.515,84.96,86.996,87.554,88.832,90.983,91.577,92.111,93.016,94.173,94.244,93.98,95.095,94.557,94.733,95.235,95.179,95.322,95.557,95.773,96.249,96.56,97.165,96.71,97.453,98.001,98.989,99.309,99.574,98.721,98.727,99.337,99.563,99.085,98.638,98.512,99.283,98.681,98.99,99.673,100.382,100.955,101.396,102.218,102.895,102.932,101.954,102.372,105.827,102.73,102.672,103.306,103.292,103.66,104.306,104.7,104.844,104.829,104.933,105.683,105.644,106.162
"20","12","Federal consumption expenditures \1\","A957RA3",63.974,64.728,64.553,64.121,62.036,60.51,60.041,59.548,59.022,58.48,57.608,56.764,57.473,57.512,55.379,54.834,54.437,54.087,52.458,52.631,53.515,52.896,53.087,53.466,53.1,53.31,52.953,52.979,52.424,52.608,51.812,52.082,52.352,53.094,53.471,53.356,53.504,54.243,54.016,54.063,54.504,55.162,54.021,54.646,55.822,57.898,56.775,56.769,58.114,59.681,59.138,59.89,60.357,60.211,61.488,62.748,63.677,64.958,66.358,62.529,63.169,65.393,65.319,65.95,66.778,67.963,69.698,69.52,69.624,71.89,73.511,72.113,72.716,73.051,72.557,74.386,73.215,72.655,72.358,75.226,73.375,75.754,75.65,75.953,76.981,76.981,76.067,76.965,78.797,78.582,77.416,76.128,76.117,75.959,77.16,77.117,74.79,74.254,74.614,74.482,72.541,72.098,73.584,71.651,70.898,71.195,70.893,68.114,68.033,69.605,68.91,69.366,68.24,70.114,69.254,69.328,66.716,68.458,67.352,68.887,68.189,67.782,68.979,70.576,67.725,70.971,69.199,68.79,70.646,71.81,72.248,72.661,74.437,75.825,76.622,78.272,78.008,82.289,81.422,83.322,83.852,84.388,85.605,84.728,85.444,85.238,86.701,85.223,87.334,86.685,86.946,87.529,86.163,87.103,89.104,89.673,91.302,92.14,95.096,96.945,96.727,100.159,101.469,101.645,102.77,104.72,105.728,104.565,102.105,102.483,101.495,100.755,100.655,100.067,102.677,98.818,96.689,95.969,95.726,92.875,94.26,93.641,96.624,93.989
"21","13","      Gross output of general government","W110RA3",63.432,64.297,64.141,63.672,61.741,60.22,59.681,59.235,58.683,58.193,57.435,56.64,57.686,57.839,55.725,55.377,54.905,54.81,53.119,53.213,54.313,53.782,53.77,54.109,53.901,53.97,53.143,53.259,52.638,53.13,52.467,52.204,52.819,53.645,54.154,53.66,53.907,54.793,54.802,54.784,55.181,55.821,54.725,55.837,56.399,58.522,57.553,57.391,58.617,60.006,59.799,60.133,60.708,60.507,61.755,63.099,63.832,65.038,66.616,63.061,63.574,65.76,65.902,66.338,67.2,68.4,70.181,70.023,70.083,72.403,73.948,72.697,73.321,73.649,73.282,74.959,73.91,73.476,73.366,75.782,74.137,76.51,76.485,76.613,77.73,77.619,76.995,78.04,79.727,79.179,78.494,76.881,77.097,76.853,78.078,77.412,75.526,75.059,75.418,74.864,73.491,73.53,74.277,72.717,71.697,71.701,71.422,69.014,68.643,70.224,69.844,70.005,68.673,70.454,69.441,69.51,67.14,68.57,68.915,68.828,68.065,68.187,69.371,70.675,68.197,71.128,69.578,69.557,71.131,72.121,72.594,73.193,74.855,75.995,77.133,78.468,78.326,82.56,81.634,83.463,83.858,84.397,85.73,85,85.828,85.474,87.17,85.947,87.687,87.102,87.386,87.861,86.463,87.441,89.336,89.867,91.47,92.293,95.419,96.957,96.809,100.129,101.435,101.626,102.706,104.649,105.677,104.298,101.876,102.415,102.776,100.884,100.735,100.333,102.655,98.886,96.799,96.031,95.725,92.882,94.165,93.75,96.444,93.98
"22","14","        Value added","W111RA3",81.712,82.238,82.731,82.441,80.749,79.977,79.297,78.591,78.048,77.131,76.389,75.637,74.614,73.692,73.663,73.814,72.807,72.034,71.389,71.437,72.108,72.04,71.929,72.031,71.958,71.816,71.802,71.845,72.023,72.093,72.175,72.297,72.275,72.415,72.705,72.778,73.237,73.605,73.861,73.776,73.761,73.822,73.99,73.991,74.463,75.405,75.606,75.414,76.027,76.391,76.851,77.14,77.422,77.875,78.391,78.872,79.527,80.031,80.595,80.803,81.44,82.15,82.845,83.339,84.125,84.965,85.81,86.138,86.745,87.157,87.708,88.247,89.148,89.776,90.785,91.576,91.825,91.737,92.183,92.832,93.019,93.375,93.895,94.257,95.018,95.234,95.587,95.57,96.758,96.23,95.611,95.205,95.007,94.631,94.261,93.81,93.818,93.278,92.706,91.751,91.473,90.702,90.102,89.057,88.543,88.256,87.756,85.358,85.406,86.014,85.586,84.746,84.519,84.23,83.993,83.22,83.21,83.108,83.116,83.049,83.033,82.474,82.279,82.249,82.676,84.007,82.766,82.448,83.077,83.399,83.527,83.322,84.038,84.538,85.059,85.398,86.371,87.045,87.243,87.413,87.893,88.006,88.478,89.108,89.394,89.401,89.542,90.02,89.713,89.938,90.737,90.955,91.011,91.113,91.971,92.44,93.328,94.305,95.709,97.13,98.171,100,100.645,101.185,102.296,103.94,103.609,103.824,104.287,104.474,104.509,104.788,104.793,104.593,104.405,104.172,103.768,103.298,102.099,100.75,102.601,102.478,102.402,102.198
"23","15","          Compensation of general government employees","B568RA3",119.259,120.146,120.899,119.987,116.139,114.347,112.797,111.368,110.339,108.59,107.209,105.914,103.906,102.169,102.229,102.639,100.715,99.18,97.928,98.065,99.496,99.409,99.173,99.347,99.209,98.852,98.772,98.775,98.996,98.994,99.07,99.143,98.93,99.038,99.413,99.315,100.088,100.588,100.886,100.46,100.161,99.948,99.969,99.641,100.256,101.832,101.842,100.989,101.84,102.12,102.586,102.672,102.709,103.072,103.537,103.874,104.537,104.835,105.239,104.82,105.261,105.821,106.269,106.234,106.762,107.362,107.929,107.431,107.498,107.155,107.109,107.022,107.691,107.837,108.811,109.384,108.903,107.825,107.913,108.457,108.16,108.226,108.65,108.762,109.676,109.568,109.779,109.306,111.249,109.889,108.389,107.365,106.815,105.987,105.186,104.277,104.295,103.27,102.215,100.489,100.088,98.761,97.762,95.921,95.13,94.758,93.941,89.461,89.667,90.944,90.253,88.792,88.5,88.077,87.74,86.387,86.478,86.356,86.406,86.284,86.198,85.157,84.75,84.677,85.456,87.848,85.508,84.845,85.892,86.385,86.51,86.056,87.23,87.958,88.652,88.986,90.339,91.145,91.131,91.02,91.425,91.194,91.534,92.119,92.114,91.645,91.385,91.645,90.633,90.479,91.256,91.092,90.664,90.315,91.179,91.407,92.293,93.308,94.967,96.626,97.646,100.086,100.79,101.478,102.624,104.688,103.675,103.612,103.971,103.914,103.639,103.773,103.505,102.98,102.539,102.096,101.44,100.623,98.566,96.223,98.907,98.422,98.003,97.389
"24","16","          Consumption of general government fixed capital \2\","B995RA3",44.81,45.007,45.246,45.457,45.607,45.718,45.797,45.737,45.643,45.498,45.355,45.12,45.029,44.89,44.779,44.684,44.561,44.52,44.458,44.423,44.372,44.324,44.329,44.363,44.352,44.406,44.451,44.526,44.657,44.788,44.869,45.027,45.173,45.332,45.533,45.75,45.911,46.145,46.35,46.563,46.796,47.089,47.372,47.655,47.976,48.323,48.67,49.058,49.43,49.847,50.273,50.72,51.2,51.705,52.234,52.811,53.423,54.075,54.745,55.477,56.25,57.055,57.928,58.863,59.84,60.859,61.915,62.979,64.055,65.149,66.233,67.337,68.421,69.475,70.479,71.443,72.374,73.241,74.02,74.748,75.4,76.028,76.628,77.22,77.809,78.337,78.819,79.25,79.645,79.972,80.261,80.492,80.666,80.775,80.869,80.908,80.904,80.882,80.826,80.699,80.555,80.388,80.22,80.029,79.815,79.626,79.471,79.334,79.218,79.097,78.962,78.808,78.653,78.516,78.395,78.278,78.158,78.081,78.042,78.035,78.097,78.102,78.153,78.173,78.186,78.25,78.321,78.416,78.538,78.65,78.786,78.896,79.024,79.222,79.512,79.854,80.283,80.759,81.261,81.833,82.421,83.051,83.719,84.411,85.132,85.878,86.641,87.454,88.258,89.092,89.926,90.747,91.58,92.42,93.269,94.128,95.021,95.935,96.924,97.961,99.036,99.858,100.406,100.7,101.75,102.685,103.503,104.185,104.824,105.42,105.976,106.5,106.96,107.305,107.539,107.657,107.676,107.786,108.02,108.357,108.793,109.276,109.777,110.263
"25","17","        Intermediate goods and services purchased \3\","W113RA3",37.485,38.719,37.784,37.124,34.971,32.484,32.145,32.058,31.49,31.598,30.817,29.962,34.035,35.81,30.508,29.39,29.71,30.622,27.35,27.516,29.273,28.072,28.2,28.852,28.465,28.815,26.933,27.144,25.483,26.508,24.91,24.162,25.573,27.251,28.019,26.816,26.781,28.3,27.986,28.049,28.943,30.275,27.69,30.069,30.704,34.001,31.803,31.683,33.506,35.936,34.98,35.334,36.203,35.248,37.266,39.53,40.307,42.246,44.894,37.136,37.439,41.254,40.705,41.034,41.936,43.508,46.328,45.576,44.947,49.533,52.263,48.794,49.04,48.971,46.895,49.578,46.92,46.056,45.217,49.874,45.842,50.829,50.068,49.874,51.409,50.872,48.994,51.387,53.675,53.132,52.387,49.198,49.955,49.89,53.268,52.322,47.903,47.55,49.174,49.19,46.34,47.507,50.108,47.878,46.177,46.59,46.629,44.267,43.306,46.233,45.93,47.487,44.63,49.311,47.212,48.476,42.77,46.388,47.209,47.089,45.242,46.362,49.561,52.805,46.082,51.337,49.354,49.774,52.715,54.675,55.646,57.425,60.502,62.609,64.669,67.5,65.626,75.45,72.75,77.181,77.446,78.666,81.36,78.493,80.17,79.232,83.402,79.486,84.488,82.601,82.063,82.94,79.211,81.601,85.166,85.798,88.539,89.12,94.934,96.655,94.605,100.342,102.713,102.341,103.364,105.787,109.021,105.067,98.015,99.117,99.997,94.67,94.282,93.56,99.829,90.502,85.775,84.536,85.626,80.412,80.795,79.923,86.947,80.928
"26","18","          Durable goods","W114RA3",44.155,40.968,40.717,38.208,37.827,36.845,36.254,36.538,30.422,27.163,26.22,23.836,35.524,36.044,32.297,30.97,32.862,32.807,28.018,29.347,26.779,29.657,23.519,27.675,28.002,28.33,28.287,28.95,24.821,27.904,24.296,26.579,30.261,36.179,31.413,32.083,34.802,37.404,35.924,35.327,36.505,41.061,37.58,41.723,41.55,42.066,43.443,39.019,45.561,49.761,45.981,51.013,48.499,51.089,52.996,57.44,60.656,63.435,62.744,63.53,65.145,65.846,59.644,64.417,64.132,67.17,73.628,70.77,66.131,76.185,78.971,73.924,74.089,76.744,82.872,80.709,80.802,79.576,79.384,84.566,77.995,81.425,79.603,74.416,77.387,75.766,74.658,76.441,74.362,75.433,72.552,69.346,67.126,64.575,66.566,66.683,60.673,69.833,56.123,55.219,52.03,51.139,55.242,50.133,49.431,44.746,53.335,43.339,44.753,50.438,50.215,45.72,47.123,50.51,47.078,48.139,46.326,47.35,50.988,49.677,46.768,52.897,56.393,51.212,52.086,51.942,52.316,50.456,49.145,53.128,56.308,50.672,51.97,54.73,58.374,55.75,54.021,61.235,62.872,63.188,63.784,66.415,69.85,66.866,65.012,66.874,69.349,69.55,71.875,71.969,74.271,77.399,74.703,78.285,83.632,86.063,87.887,92.65,97.212,98.637,91.297,99.515,106.1,103.088,96.012,100.876,105.468,109.903,92.359,96.79,99.189,102.632,93.649,94.256,97.73,94.7,82.788,84.997,84.127,81.453,75.667,75.118,73.223,78.485
"27","19","          Nondurable goods","W115RA3",96.611,99.916,105.594,85.439,71.001,59.815,57.38,61.678,50.339,56.519,61.376,55.486,67.003,65.501,54.234,52.58,48.293,44.432,42.63,46.946,48.895,35.495,46.713,46.332,46.292,47.664,34.895,39.93,39.306,36.439,34.444,31.255,33.079,31.765,37.592,38.013,33.195,36.509,40.858,41.344,38.559,37.083,37.859,39.37,41.634,50.243,42.17,47.026,48.659,59.465,55.751,56.454,52.305,51.248,50.332,52.422,53.381,64.262,84.772,29.955,27.493,52.34,52.191,52.473,53.074,55.143,53.377,51.849,57.101,68.973,75.218,80.995,61.716,54.862,34.639,58.264,34.324,29.913,23.169,44.475,52.627,58.65,57.777,48.919,45.94,47.309,47.403,57.816,64.487,52.773,49.063,44.063,46.695,55.607,54.668,52.049,54.501,53.121,54.7,49.496,45.875,45.642,42.181,48.346,47.67,43.527,45.631,42.258,43.43,43.788,44.156,42.462,48.627,47.629,49.628,49.34,51.829,51.348,54.164,52.637,44.156,47.24,52.091,46.367,54.82,53.795,52.303,53.874,57.147,66.432,59.912,65.293,63.496,69.547,66.609,70.274,72.594,80.532,75.164,82.117,86.62,86.017,86.788,81.682,89.118,83.498,87.964,86.831,86.971,83.975,87.736,84.188,83.954,84.51,86.864,85.556,89.101,90.602,91.022,95.074,97.146,102.778,102.468,97.608,100.376,102.416,100.55,98.858,94.452,91.05,91.996,93.978,90.065,89.108,88.097,88.077,82.329,78.448,77.779,74.358,73.776,72.507,77.668,74.493
