"","Table 5#5#5U# Private Fixed Investment in Equipment by Type     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227"
"30","22","    Trucks, buses, and truck trailers","C279RC0",2592,2775,2732,2365,2644,2623,2594,2407,2305,2448,2723,3164,3065,3231,3574,3770,3606,3437,3610,3731,3650,3689,4020,3585,4193,4496,4753,5178,5511,5456,5416,5245,4944,4790,4948,4746,5549,5725,5975,6455,6912,7078,7272,7370,6602,6386,6508,5336,6188,6925,7444,8435,9068,9640,9132,9896,11351,10996,11096,11413,11562,11968,11833,11085,9006,8490,9284,9972,10819,11631,13327,12735,15526,15978,15778,17554,18025,20272,19634,21797,22524,22031,22026,20723,18462,15937,17407,16582,17210,18708,18498,18120,19371,18117,16777,16843,18285,18920,21155,24964,26285,28285,28407,29762,30687,31790,31526,34013,29035,28854,28254,27508,26904,29720,29744,28684,28434,28076,28503,31483,29549,30363,28318,25840,25208,23668,23629,22385,20936,21631,22115,23416,23238,25680,26865,29265,31792,36244,38193,42485,48023,48030,52040,56028,59131,56745,58478,60678,60142,62007,66937,71154,73867,71794,73936,75150,74534,79537,78303,88976,88216,88653,94137,92400,92245,86123,82449,72987,70091,68127,63526,64972,63667,60919,64146,61276,57633,62922,69235,74004,76710,81281,91143,97050,95718,100089,107576,104683,115055,112062,110502,111660,106402,95514,93198,92060,90619,71064,56844,38633,21410,21518,23971,28407,45481,55430,62447,70452,80871,83360,95330,99088,100027,104642,105735,103365,109722,116921,119183,123629,128794,137668,143540,140247
"31","23","      Light trucks (including utility vehicles) \1\","W178RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9863,10933,10955,11014,11824,11359,12176,12556,11152,11298,11011,9560,10266,9747,9602,9238,9130,10253,9934,10165,9693,10359,9630,10990,11881,15074,15702,18309,23982,23988,26527,29107,29398,28255,29991,31511,33869,35852,41078,46877,50911,49089,50036,49366,47389,51329,47156,55113,54515,55116,59452,57176,58492,54259,53766,48430,46707,46481,43525,45662,45460,39795,40753,38510,39404,42475,47321,50437,50733,53947,60994,64307,60688,64886,71852,68537,76357,72653,71082,71458,68908,64473,65488,65337,64598,44954,32390,14165,3143,4353,5203,6307,22862,31629,36037,43794,49550,50382,60070,60205,59781,63184,65748,65456,71832,76968,79339,81955,86389,91425,92207,90494
"32","24","      Other trucks, buses, and truck trailers \1\","W179RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17041,18787,18789,17670,16610,16717,16326,18927,18396,19065,17306,16280,14942,13921,14027,13147,11806,11378,12181,13252,13545,15321,17235,18275,19911,21170,22492,24175,24041,24042,25514,26922,29733,28490,28487,29167,26273,26155,25860,24277,22957,22705,23900,25784,27146,28208,31147,33863,33700,33537,34685,35224,33753,31863,28683,24556,23384,21646,20002,19309,18207,21125,23393,22766,18229,20447,21914,23567,25977,27333,30149,32743,35031,35202,35724,36146,38697,39409,39419,40202,37494,31040,27710,26723,26021,26110,24454,24468,18268,17165,18768,22100,22619,23801,26410,26658,31321,32978,35260,38883,40246,41458,39987,37909,37891,39953,39845,41674,42405,46244,51333,49753
"33","25","    Autos \1\","C280RC0",3407,3678,4132,3426,4173,3832,3873,3406,3314,3467,3583,3823,4102,4117,4338,4446,4233,3881,3802,4120,4131,4191,4551,3842,5451,5088,4895,4881,5145,4590,4502,4835,4296,4665,4732,4667,5573,5725,6185,6457,6345,6454,6403,6118,5570,5735,5483,4256,7130,7130,7675,7681,7554,7594,7709,8592,8994,9317,9159,7950,8253,8203,8998,7715,7354,8035,9444,9594,10420,10473,10884,11703,13590,14301,14198,14907,15013,17317,17093,17052,17137,15800,16421,14122,15219,12473,14070,15269,17087,16007,18305,15445,15834,16255,17027,17260,18350,20542,23087,25792,25776,26352,25499,24798,25478,26504,29339,24483,28106,30103,32479,28640,26893,27851,27846,22998,29447,30093,28755,29652,26261,27388,26725,24153,27755,28236,30625,29935,30773,31057,32507,30857,30655,30549,29130,31845,30307,35165,31757,35831,40023,39976,40912,43521,37150,36114,37303,37302,35826,37787,38944,37477,36948,37175,38543,38536,34911,35894,33865,40273,39695,42362,43829,42963,45838,43664,42017,41077,44046,43835,40887,40125,41744,44809,44805,41484,40171,38799,40604,38392,37568,39108,39441,42125,41356,41958,44506,45235,51593,46757,45514,46766,48302,49405,48456,48597,41417,40947,38198,23593,14235,18030,17660,19365,27410,36517,38469,36919,37094,38181,40643,43282,54649,55472,56703,60021,61641,61799,62085,61596,60103,63512,63403,62544
"34","26","    Aircraft","C281RC0",537,773,1056,1078,887,781,889,559,674,845,824,917,958,943,746,477,446,379,503,624,747,852,822,943,1026,1182,1414,1510,1919,1892,1800,1653,1728,2300,2718,3210,3858,3316,3619,3871,3572,2858,2584,1998,2438,2206,2637,2403,1605,1572,791,1336,1830,1461,1566,2799,2564,3224,2875,3297,3106,2806,2555,1305,2608,2079,2128,2397,2429,2525,1542,2920,2511,2749,3981,4423,4404,4499,4699,3598,6390,5998,7466,8158,8249,8024,7825,7958,7743,6889,7155,9137,7470,6671,5561,8818,7094,6725,7091,8322,5109,5891,7981,7715,6844,7174,6461,8389,7549,9166,7937,11348,9090,10944,8148,10694,10785,10165,10396,10451,8702,6621,9158,9419,10447,9130,14307,14581,16158,12874,13744,10893,9088,18312,12175,15310,13779,16373,11414,11980,11285,7283,5618,12270,20543,11950,10233,10372,10080,10613,16526,14436,11942,16278,21785,12039,16376,15967,26939,24675,29629,31388,32962,29275,24988,35563,36505,37005,30724,34576,37997,43137,35473,28244,21013,24227,17028,21623,19537,21848,17575,24643,23474,27390,23880,25254,22054,18846,21564,21244,21594,21186,28026,28556,27347,29258,34766,32999,25285,24417,20413,17655,17391,15355,17821,18619,28352,24430,24971,24189,28418,38278,35624,33732,27846,35183,30728,28615,29454,44377,40222,29962,43542,43693
"35","27","    Ships and boats","C282RC0",498,533,478,439,454,486,430,446,403,387,376,414,400,425,431,400,338,364,393,353,384,400,426,486,487,504,455,510,574,458,546,538,506,557,597,564,766,657,749,851,868,931,832,789,755,773,975,1062,1094,972,766,615,966,1008,1140,1294,541,1680,2097,2414,1710,1484,1486,1588,2235,2376,2260,2221,2372,2171,2094,2447,2529,2536,2321,2618,2461,2475,2685,2723,2903,2848,3350,3759,3675,3334,3505,3326,4197,4828,4615,4164,3861,3425,2768,2462,2065,1708,1945,2018,1202,1646,1753,2243,1383,1360,1214,1219,1318,1378,1639,1569,1503,1556,2670,1572,1569,1598,1654,1586,1582,1179,1422,1757,1760,1505,1500,1450,1574,1729,1524,1566,1338,868,1192,1309,1628,1404,1930,3672,1857,2346,1792,1367,2135,1812,1606,1636,2001,2091,2828,2329,2497,2830,2482,3050,2690,2660,2754,3460,2935,2828,3039,3097,3613,3498,3560,3324,3523,3027,3022,3359,3665,3773,3706,4162,4114,4428,4188,4225,4095,4757,5736,4788,5586,5175,4181,4123,4534,4463,4779,4112,4606,5267,6678,7289,7685,6814,7142,5900,5313,4785,5546,5020,5140,5548,5151,5150,5470,4750,4781,4592,5211,4667,5264,6350,6518,5940,6308,6274,6168,6642,7262,7049
"36","28","    Railroad equipment","C283RC0",529,637,696,730,834,925,902,891,717,540,519,660,766,931,1028,1007,863,930,1005,1110,1261,1422,1502,1403,1713,1563,1825,1735,1571,2340,1984,2097,1866,1653,1665,1912,1465,1202,1183,1334,1696,1815,1878,1783,1393,1435,1478,1546,1636,1681,1493,1482,1543,1545,1476,1584,1747,1711,1852,1962,2127,2325,2537,2471,2760,2876,2733,2819,2306,2207,2321,2630,2699,2793,3005,3111,3184,3801,4151,4404,5160,5805,6091,5844,6098,5865,5321,4940,4232,3563,3426,2895,2979,2350,1752,1683,1399,1454,1489,1638,2025,2254,2443,2206,2029,2096,1964,1863,1344,1412,1913,2327,1179,1144,1558,1563,1615,2507,2199,2475,2843,3344,3814,3233,3546,3313,3151,3704,3549,3020,2972,3226,2487,2733,3397,3422,3387,3290,2619,4453,4048,4746,4761,5004,5672,6284,3973,5195,5450,5745,5118,5113,5545,6275,6322,5131,6637,6634,6669,6830,7185,7848,7505,7492,7933,8211,6348,6192,5667,5360,5645,5221,5554,4868,4508,4220,4135,4681,4183,4675,4662,4708,5081,5302,6103,6967,7906,7038,7297,6877,8726,10758,9500,8848,9701,8363,7809,10523,11539,8423,7202,7133,6464,5393,5603,5292,7197,8547,9818,8388,10109,13977,14287,14394,12924,9685,9422,9666,9443,9333,10053,9986,11278,10718
"37","29","  Other equipment","A682RC0",7444,7649,7801,7878,7481,7477,6914,6893,7101,7291,7214,7147,7234,7679,7866,8064,8476,8805,9259,9673,9807,10092,10117,10780,11097,10949,11721,12238,12838,13169,13265,13531,12560,12859,12564,13086,12772,12885,13481,14406,14898,14773,14858,15197,15533,15950,16703,16557,16339,16786,16949,16748,17861,18738,19771,21216,23134,23839,24188,23602,24227,25486,26997,29357,27428,28436,28553,30151,30103,30608,32185,32229,35601,36876,38146,40509,41092,44903,46582,49788,50694,52100,54027,51474,55748,50316,50078,52758,56166,59651,61748,59739,55207,53517,53542,50570,47177,50957,52617,57384,58372,59573,60940,61303,61721,62165,60611,62286,62240,62986,61453,63267,62987,65169,68400,69247,70724,71053,72473,73714,79117,81689,86024,85227,84215,82623,83216,82231,74467,73317,72023,71893,71777,71822,75336,76909,81228,83222,84547,87585,89391,91541,93127,95331,99120,99399,99525,101387,102724,104193,107418,108919,111755,113721,120316,121765,127106,130849,130653,129215,133746,131862,133304,136045,140399,144077,142031,141976,144195,140533,143343,140153,138655,143454,143698,143822,147671,149799,157275,160568,160807,165698,173148,178791,183639,193104,195509,199036,206220,207950,207013,209265,206353,213168,213089,214451,211115,213797,219181,204112,188422,173569,167638,167105,178909,187024,191970,197634,203011,203049,218377,209706,213047,214284,228080,230428,236722,232067,229364,245168,242900,237596,236286,236111
"38","30","    Furniture and fixtures","A667RC0",1443,1319,1325,1353,1426,1505,1380,1305,1239,1372,1393,1420,1342,1370,1513,1511,1571,1607,1630,1628,1661,1707,1743,1949,1890,1906,1932,2048,2136,2269,2219,2248,2340,2266,2279,2307,2318,2274,2271,2459,2679,2680,2718,2723,2679,2666,2861,2715,2445,2627,2764,2722,2974,3415,3418,3761,4092,3925,3834,3605,3758,3945,4049,4040,3760,3642,3700,3638,3758,4067,4279,4696,5109,5486,5895,5894,6097,6573,7244,7494,8115,7732,7949,8152,8859,8924,8955,9330,9388,10019,10154,10290,10811,11146,11160,11055,10884,11428,12752,13586,14281,14195,14508,14982,15345,16150,15666,15512,15896,16273,16930,17668,17968,18174,18475,18934,18499,18430,18703,19371,20532,21701,22548,21726,21596,21356,21046,20011,18637,18815,18843,19167,20010,20477,21935,21186,21015,20781,21753,21988,22267,22677,22433,22851,23818,24585,24738,24681,23968,24761,25799,27653,30090,29240,29619,30192,32680,32758,33712,35251,36470,36170,36748,36714,36974,40316,40099,40597,39746,37908,36383,35521,35965,36356,36381,35425,36058,35657,37612,37716,37047,38502,39808,39909,42120,43088,42091,43267,43964,44465,43233,44256,43233,41575,41672,41989,41944,42285,42145,39728,33300,31951,30970,29862,29985,32019,32466,31576,34156,35758,36350,36450,36314,36691,36596,37151,37667,37960,38077,39319,38999,38908,40084,42150
"39","31","      Household furniture","BA15RC0",156,152,147,137,144,145,135,140,119,134,133,138,139,140,136,133,135,142,147,156,159,158,156,167,164,167,172,173,173,173,170,176,186,192,196,210,244,256,279,307,321,349,369,381,407,442,471,509,509,522,556,587,595,629,637,699,699,703,666,652,669,675,633,571,485,465,492,498,557,608,635,656,648,653,651,704,739,796,815,814,814,821,846,847,897,853,808,890,915,928,936,933,880,896,895,865,920,974,984,1022,1046,1057,1078,1147,1109,1107,1143,1177,1192,1212,1254,1270,1287,1320,1319,1382,1370,1313,1266,1285,1255,1258,1240,1265,1175,1155,1172,1116,1038,1039,1037,1045,1033,1041,1034,1033,1111,1161,1146,1250,1289,1311,1341,1371,1414,1370,1446,1461,1497,1547,1588,1583,1542,1584,1616,1690,1766,1762,1819,1872,1954,1977,2032,2075,2075,2129,2165,2160,2160,2088,2141,2141,2241,2301,2304,2270,2340,2333,2405,2459,2501,2554,2534,2657,2784,2812,2883,2953,3085,3092,2989,2868,2842,2750,2806,2757,2665,2742,2726,2487,2262,2102,2087,2112,2348,2470,2384,2084,2171,2235,2207,2259,2329,2344,2319,2354,2379,2389,2505,2566,2523,2575,2643,2673
"40","32","      Other furniture","BA16RC0",1287,1167,1178,1216,1282,1360,1245,1165,1120,1238,1260,1282,1203,1230,1377,1378,1436,1465,1483,1472,1502,1549,1587,1782,1726,1739,1760,1875,1963,2096,2049,2072,2154,2074,2083,2097,2074,2018,1992,2152,2358,2331,2349,2342,2272,2224,2390,2206,1936,2105,2208,2135,2379,2786,2781,3062,3393,3222,3168,2953,3089,3270,3416,3469,3275,3177,3208,3140,3201,3459,3644,4040,4461,4833,5244,5190,5358,5777,6429,6680,7301,6911,7103,7305,7962,8071,8147,8440,8473,9091,9218,9357,9931,10250,10265,10190,9964,10454,11768,12564,13235,13138,13430,13835,14236,15043,14523,14335,14704,15061,15676,16398,16681,16854,17156,17552,17128,17117,17437,18085,19277,20444,21308,20461,20421,20202,19873,18895,17599,17776,17805,18122,18976,19436,20901,20152,19904,19619,20608,20738,20978,21366,21093,21480,22404,23215,23292,23221,22471,23214,24210,26070,28548,27655,28003,28503,30913,30997,31892,33379,34516,34193,34716,34639,34899,38187,37934,38437,37586,35820,34241,33380,33724,34055,34076,33156,33718,33324,35207,35257,34546,35948,37273,37252,39337,40276,39207,40314,40879,41373,40244,41388,40391,38824,38866,39231,39280,39543,39419,37241,31038,29848,28883,27750,27637,29549,30082,29492,31985,33523,34143,34190,33985,34347,34277,34797,35288,35570,35572,36753,36476,36334,37441,39477
"41","33","    Agricultural machinery","C268RC0",1949,2015,1993,1823,1613,1523,1522,1634,1858,1704,1529,1456,1535,1729,1827,2036,2093,2158,2309,2402,2436,2532,2515,2344,2584,2595,2781,3002,3148,3208,3175,3547,3360,3499,3415,3375,2971,2820,3421,3898,3667,3584,3182,3296,3459,3902,4334,4346,4449,4102,3888,3232,3615,3988,5451,6133,6217,6517,6746,6084,6255,6588,6836,7548,7913,8630,8349,9292,9176,8854,8914,8394,9577,9413,9115,9750,9637,10675,11166,11456,11707,12769,14077,12441,12932,11421,10911,11137,12489,12615,13480,11859,9960,9268,9227,9598,7910,8619,8093,9201,9647,9041,9112,8686,7814,7394,6941,7058,6869,6955,6734,6696,6564,6772,7564,7817,9096,9637,9913,10403,10581,11531,12737,13092,12797,12939,13893,14758,11899,11912,11009,10900,11269,9806,9611,10122,11142,12274,11779,12260,13078,13406,13533,13695,14445,14083,13731,13522,14315,13882,14322,13833,13381,15753,18204,17643,18477,18629,16456,14446,14062,12688,11404,12346,14269,14808,13901,12984,13788,14499,15772,15870,15886,16158,18192,19176,19350,18343,18955,19650,20155,20684,22366,23047,22767,24348,24229,22917,23185,23239,22008,21797,21693,22922,22287,25729,23625,25142,30973,29393,32212,29374,26815,26814,26518,27424,27311,27507,25583,28183,38871,31293,29331,25988,22250,23985,27169,24319,21575,32745,25156,21506,17054,15836
"42","34","      Farm tractors","BA17RC0",626,800,819,619,500,369,409,570,670,612,507,418,505,619,642,697,708,708,713,901,897,1006,942,798,941,771,932,1122,1132,1226,1346,1318,1204,1272,1186,1055,1229,1249,1222,1150,1029,1053,1030,1133,1217,1192,1171,1101,1005,1021,1221,1060,1370,1401,1590,1734,1850,2093,2158,2095,1880,1853,1999,2059,2314,2557,2523,2978,3050,2943,3048,2529,3083,3027,2717,2916,2886,3239,3519,3746,4056,4345,4267,4065,4201,3694,3326,4108,4188,4447,4427,4060,3258,3010,2929,3135,2435,3094,2873,3502,3558,3660,3194,3161,2774,2375,2196,2098,2041,1941,1886,1878,1852,1976,2125,2362,2833,3011,3090,2985,2879,3091,3169,3240,3342,3375,3726,4083,3418,3416,3099,3102,3230,2901,3051,3098,3224,3685,3580,3792,4216,4246,4289,4366,4574,4444,4093,3950,4070,3792,3996,4060,4339,5182,6733,6464,6240,6132,5603,4941,4379,3815,3659,4189,4925,5221,5156,4690,4893,4498,4772,4764,5093,5405,6636,7085,6562,6494,6831,7721,7968,8169,8563,8773,9079,9732,9638,8818,9119,9222,8958,8764,8681,9551,9566,11103,9948,9971,11990,11394,12447,11604,10753,11042,10405,10373,10336,10671,10198,11107,15129,12421,11780,11054,9822,10058,10831,9974,9011,12732,10109,8727,7236,6869
"43","35","      Other agricultural machinery","W213RC0",1323,1215,1174,1204,1113,1154,1113,1064,1188,1092,1022,1038,1030,1110,1185,1339,1385,1450,1596,1501,1539,1526,1573,1546,1643,1824,1849,1880,2016,1982,1829,2229,2156,2227,2229,2320,1742,1571,2199,2748,2638,2531,2152,2163,2242,2710,3163,3245,3444,3081,2667,2172,2245,2587,3861,4399,4367,4424,4588,3989,4375,4735,4837,5489,5599,6073,5826,6314,6126,5911,5866,5865,6494,6386,6398,6834,6751,7436,7647,7710,7651,8424,9810,8375,8732,7728,7584,7029,8300,8168,9052,7799,6702,6259,6297,6463,5475,5525,5220,5699,6088,5381,5919,5525,5040,5020,4745,4960,4829,5014,4848,4818,4712,4796,5438,5455,6263,6626,6823,7418,7702,8440,9568,9852,9455,9564,10167,10675,8482,8495,7910,7799,8039,6905,6560,7024,7918,8590,8199,8468,8862,9161,9245,9329,9871,9639,9638,9573,10245,10090,10327,9773,9043,10571,11472,11179,12237,12498,10853,9505,9683,8873,7745,8157,9345,9587,8744,8294,8895,10001,11000,11106,10793,10752,11556,12091,12788,11850,12124,11929,12187,12515,13803,14274,13688,14615,14591,14099,14066,14017,13050,13033,13012,13370,12721,14626,13676,15171,18983,17999,19765,17770,16062,15772,16113,17051,16976,16836,15385,17076,23743,18872,17551,14934,12427,13927,16338,14346,12564,20013,15047,12779,9818,8967
"44","36","    Construction machinery","C269RC0",1192,1396,1396,1400,1330,1139,947,980,990,1031,1123,1076,1020,1145,1172,1207,1286,1460,1603,1787,1784,1855,1869,2040,2245,1885,2252,2370,2483,2382,2510,2553,1955,2272,2305,2616,2315,2566,2547,2620,2960,2786,2866,2840,2836,2781,2988,2915,2954,3066,2980,3012,3563,3823,3746,3864,4701,4633,4589,4593,4677,4828,5653,6890,5392,5314,5202,6004,4933,5169,6109,6317,7641,8071,8105,8515,9390,10642,10576,11956,11775,11571,11674,8302,11220,9135,8337,8681,9608,9439,9668,9953,7546,6342,7275,4704,4330,7148,7889,9677,9040,9576,10901,10327,10686,10048,10166,12666,12093,11701,9191,10226,9496,10180,11223,10879,10688,10119,10582,10871,13180,12749,13755,14601,15168,14265,13623,13165,10973,9347,8877,8459,8152,8986,10047,10478,11676,12019,12188,12977,13175,13349,14445,14972,15584,15513,15914,16328,17200,17648,18410,18990,18493,18815,19923,20883,21032,21322,23674,23291,23241,22503,22771,23455,24549,24923,22404,22133,22268,20553,20797,20236,19484,20197,19294,19240,19127,20348,22134,21782,23240,22971,24872,27898,28660,30898,32843,34995,36820,36707,36511,38559,32571,35685,39634,36163,37297,35845,33797,32423,25823,20225,17953,16864,23766,31238,34759,35381,34143,29832,32384,34102,35551,40787,61630,62313,63331,61476,60003,60929,65073,64212,66450,65692
"45","37","      Construction tractors","BA18RC0",278,341,335,306,276,170,131,147,168,197,235,212,208,201,195,236,214,279,302,333,307,351,389,409,459,380,475,486,532,524,509,583,278,373,336,421,261,461,416,394,646,449,496,473,468,438,511,471,524,517,431,548,601,758,658,651,821,865,912,930,903,1014,1066,1489,1226,1213,1181,1172,985,992,1189,1222,1399,1614,1779,2040,2222,2081,1873,2186,2204,2304,2200,1027,1456,1239,1355,1431,1788,1841,1958,1682,1081,967,961,440,414,961,1154,1662,1424,1489,1447,1572,1549,1244,1304,1385,1577,1519,1131,1389,1284,1608,1890,1742,1375,1152,1371,1531,2131,1985,2306,2193,2298,2061,2064,1870,1432,1337,1326,1264,1096,1000,957,843,1312,1293,1315,1311,1388,1177,1452,1521,1573,1512,1551,1644,1726,1750,1824,1837,2273,2417,2641,2876,2725,2643,2923,2725,2564,2501,2611,2762,2774,2666,2456,2376,2277,2006,1990,1854,1739,1660,1622,1663,1679,1781,1939,1824,1822,1668,1877,2058,2217,2481,2705,2888,3104,2800,3016,3160,2539,2866,3035,2836,3465,3469,3387,2203,1163,636,475,350,1427,2432,2821,2768,2197,1673,1865,1743,1546,1555,3619,3227,4224,4397,4507,4179,4276,4787,4955,4921
"46","38","      Other construction machinery","W214RC0",914,1055,1061,1094,1054,969,816,833,822,834,888,864,812,944,977,971,1072,1181,1301,1454,1477,1504,1480,1631,1786,1505,1777,1884,1951,1858,2001,1970,1677,1899,1969,2195,2054,2105,2131,2226,2314,2337,2370,2367,2368,2343,2477,2444,2430,2549,2549,2464,2962,3065,3088,3213,3880,3768,3677,3663,3774,3814,4587,5401,4166,4101,4021,4832,3948,4177,4920,5095,6242,6457,6326,6475,7168,8560,8702,9770,9571,9267,9474,7276,9764,7896,6982,7250,7820,7599,7710,8271,6466,5375,6315,4265,3917,6187,6735,8015,7616,8087,9454,8755,9137,8804,8862,11281,10516,10183,8059,8836,8213,8572,9333,9138,9313,8966,9211,9340,11048,10764,11449,12408,12870,12204,11559,11295,9542,8010,7551,7195,7057,7986,9091,9635,10365,10726,10873,11666,11787,12172,12992,13451,14011,14001,14363,14683,15474,15899,16586,17153,16221,16399,17282,18007,18307,18679,20751,20567,20677,20002,20160,20693,21775,22257,19948,19757,19991,18547,18807,18382,17745,18537,17672,17577,17449,18567,20195,19958,21418,21303,22994,25840,26443,28416,30138,32107,33716,33907,33495,35399,30032,32819,36599,33327,33832,32376,30409,30219,24659,19589,17478,16514,22340,28806,31938,32613,31946,28159,30519,32359,34005,39232,58010,59086,59107,57079,55496,56750,60798,59425,61495,60770
"47","39","    Mining and oilfield machinery","C270RC0",471,514,487,548,516,503,457,400,410,421,451,422,409,441,414,420,467,528,559,598,583,583,606,664,652,669,719,708,765,774,718,663,594,578,517,567,559,598,616,641,611,632,672,759,859,907,966,1002,1029,1065,1086,1156,942,873,858,943,1062,1208,1195,1095,1346,1441,1735,2278,2452,2648,2758,2766,3071,3138,2903,2892,3054,3371,3616,4191,3719,3668,3585,3620,3465,3748,3701,4622,4311,4043,4509,5129,6297,7745,8385,8133,7557,6058,4570,4023,3447,3273,3152,2928,3015,3007,2530,2708,2656,2784,2631,1793,1478,1246,1506,1038,1076,1180,1335,1333,1403,1679,1706,1340,1454,1870,1887,2201,1650,1674,1773,1915,1892,1532,938,1431,502,637,1556,2493,3069,2800,2237,1913,2590,2565,2183,2549,2374,2445,2486,2834,2835,2867,2734,2347,3718,3498,3576,3555,2996,3786,4133,3583,4576,5235,5929,5574,5714,5307,5051,5271,5959,5915,6520,6561,4719,4979,4306,2425,4748,4644,5604,5517,5493,6573,6573,5951,6617,9563,9185,9609,11943,12934,14142,14048,16303,19746,18107,18165,16780,19363,20756,18819,18066,14261,14217,15870,18427,16284,16692,19189,21157,24053,24282,20956,23659,25319,25539,23608,20419,22001,24062,23680,24224,25363,25773,23222
"48","40","    Service industry machinery","C570RC0",1249,1193,1385,1481,1325,1472,1309,1234,1276,1343,1298,1299,1407,1461,1374,1270,1333,1317,1356,1434,1425,1437,1451,1723,1651,1810,1811,1884,1937,2038,2172,2104,2075,2088,2072,2116,2325,2251,2158,2287,2410,2497,2677,2720,2726,2723,2624,2586,2534,2686,2856,3181,3167,3061,2668,2600,2835,3145,3255,3321,3358,3304,3293,3053,2884,3026,3230,3322,3487,3600,3857,3680,3880,4039,4340,4513,4446,4920,5222,5592,5764,5860,5664,6397,6706,6060,6280,6783,6806,7200,7241,6633,6815,7657,7490,7419,7350,7309,7703,8221,8642,9039,9220,9612,9786,10199,9952,9809,9935,10064,10197,10555,10510,11150,11107,12073,11550,11352,12032,12004,12677,13191,12716,12837,12129,11885,11711,11056,10911,11078,11503,11457,11098,11389,10904,10850,11313,11370,11888,13005,12595,13105,13448,13448,13931,13965,14049,14736,14460,14784,15126,14910,14614,14385,15226,14897,16353,16423,16645,17679,17750,17839,18872,18791,18704,18191,20209,19079,18883,20452,20303,19957,20261,19644,18498,19515,19974,19950,20332,21271,20213,21816,22279,23115,23402,24545,24510,24570,25353,24699,25455,25206,26771,26896,25758,26477,28404,25558,24883,23081,22848,23605,24553,24784,25729,26181,27293,28170,29036,29108,28776,28512,29537,30497,30147,31211,30299,31152,31301,31243,31223,31588,31081,31200
