"","Table 4#2#6U# Real Exports and Imports of Goods and Services by ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"49","42","    Financial services","Y994RX0",16967,20483,23020,27759,31189,39459,40866,47185,57409,59149,64437,67834,69733,66636,68025,65686
"50","43","    Telecommunications, computer, and information services","Y995RX0",2568,3084,3705,3959,5788,7802,10234,13420,20913,24360,23816,30156,38272,43106,46118,48938
"51","44","    Other other business services","Y996RX0",52170,50276,53707,57520,57139,61859,63906,72760,84854,92509,95984,99477,108125,113216,115176,115279
"52","45","  Government goods and services n.e.c.","Y803RX0",11400,12579,11208,10134,10894,13722,16525,20148,21287,18242,19833,18395,22055,22241,22294,16638
"53","46","  Other","B980RX0",9864,9846,9140,9141,9200,9256,9304,9213,9045,9517,11393,10646,12302,11872,11311,11607
"54","47","    Imports of goods and services","A021RX0",1536232,1736215,1686966,1748795,1826881,2035340,2164216,2301041,2359012,2298645,1983177,2235350,2357670,2412600,2440259,2535136
"55","48","Imports of goods \1\","A255RX0",1286920,1455404,1408410,1461091,1533000,1704139,1817888,1925350,1960869,1887861,1590294,1826747,1932145,1973091,1991477,2071596
"56","49","  Foods, feeds, and beverages","B647RX0",59647,63541,66395,69937,75321,79886,82667,87777,88860,87852,82860,84751,86352,89566,93054,97912
"57","50","  Industrial supplies and materials, except petroleum and products","A649RX0",212225,226063,217944,224576,227851,263066,280100,292260,280880,260121,196640,225285,239630,245477,249467,265364
"58","51","    Durable goods","A820RX0",110142,117474,110547,116418,117477,140992,150731,165030,149258,136618,95502,109737,118671,125088,128310,143769
"59","52","    Nondurable goods","B696RX0",101859,108337,107029,107885,110050,122057,129384,127703,132119,123933,101138,115542,120832,120074,120809,121444
"60","53","  Petroleum and products","B648RX0",260461,269963,277917,271432,289551,308693,314905,308981,301652,291293,267710,269008,263940,242505,225140,214491
"61","54","  Capital goods, except automotive","A650RX0",255927,307464,272530,268331,284043,334651,372686,414920,442861,450110,374055,453825,516189,553612,565134,604652
"62","55","    Civilian aircraft, engines, and parts","B932RX0",35127,37659,43051,34247,31632,30905,31581,33504,38620,37513,30683,30484,33321,35734,41023,45744
"63","56","    Computers, peripherals, and parts \2\","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","57","    Other","B853RX0",190412,234382,198700,193139,205651,242699,270021,296511,310851,317445,249196,303934,354341,383965,389668,421851
"65","58","  Automotive vehicles, engines, and parts","B651RX0",195929,211938,204998,219556,225265,241082,250133,267137,267128,235453,159188,224245,245811,281357,292668,312724
"66","59","  Consumer goods, except food and automotive","A652RX0",249520,293803,298566,327303,356564,396397,428742,463218,489912,483979,429852,485407,507390,502926,518551,540719
"67","60","    Durable goods","B697RX0",125242,150364,149063,166651,179719,208151,230723,249738,266977,263745,225038,262526,272606,275873,292157,306632
"68","61","    Nondurable goods","B698RX0",124726,143686,150090,161040,177386,188431,198037,213486,222862,220160,204814,222993,234842,227387,227279,235212
"69","62","  Other","A653RX0",81785,91495,93478,96362,91309,91112,94661,95046,95082,84481,79989,90538,90952,95299,98395,101247
"70","63","Imports of services \1\","B656RX0",245440,276403,274625,283594,289595,326400,341107,370477,393495,408244,392884,407772,424220,438661,448413,462914
"71","64","  Transport","Y804RX0",66547,72071,65984,63700,65487,73393,77083,79536,80778,77635,64133,68286,70507,72522,76804,77824
"72","65","    Sea Transport","Y997RX0",20363,23637,22953,23820,25880,28990,31314,33110,33617,30427,23219,27279,27626,29781,32876,NA
"73","66","      Freight","Y998RX0",18136,21638,21220,21971,24178,27399,29689,31207,31647,28453,21656,25697,26048,28126,31007,NA
"74","67","      Port","Y999RX0",2445,2120,1814,1942,1741,1547,1552,1870,1942,1970,1563,1575,1569,1644,1858,NA
"75","68","    Air Transport","Y810RX0",44706,46326,40744,37320,36629,41187,41811,42143,42967,43331,37410,37360,39011,38857,40271,NA
"76","69","      Passenger","Y811RX0",27719,29497,25044,20695,21269,25357,25809,25840,25057,25266,21532,20652,21970,22798,23958,NA
"77","70","      Freight","Y812RX0",5711,6564,5675,6754,6192,6957,6600,6634,6624,5684,4688,5504,5143,4907,5047,NA
"78","71","      Port","Y813RX0",11100,10074,9829,9871,9104,8836,9366,9621,11190,12349,11190,11192,11943,11062,11102,NA
"79","72","    Other modes of transport","Y814RX0",3050,3322,3049,3006,3178,3463,3895,4009,3933,3790,3503,3676,3891,3987,3862,NA
"80","73","  Travel","Y805RX0",85624,96610,89800,85463,81353,91898,93770,93910,91932,89486,81421,84796,85458,95438,97995,104727
"81","74","    Business","Y815RX0",30115,32814,29322,26416,24098,26906,26568,25579,24595,22264,19273,20882,19782,19290,20084,NA
"82","75","      Expenditure of seasonal, border, and other short-term workers","Y816RX0",485,531,569,457,655,720,731,910,932,943,1013,1046,1068,1102,1131,NA
"83","76","      Other business travel","Y817RX0",29629,32282,28753,25958,23443,26186,25837,24669,23663,21321,18260,19837,18714,18188,18953,NA
"84","77","    Personal","Y818RX0",55403,63697,60404,58997,57218,64954,67170,68307,67317,67217,62148,63915,65671,76120,77885,NA
"85","78","      Education related","Y819RX0",3197,3777,3981,4345,4645,4798,5128,5281,5189,5500,5144,5172,5245,5248,5351,NA
"86","79","      Health-related","Y820RX0",265,277,263,235,242,572,658,709,751,805,879,952,1008,1083,1168,NA
"87","80","      Other personal travel","Y821RX0",51707,59389,55994,54314,52284,59509,61328,62269,61334,60902,56125,57791,59420,69872,71445,NA
"88","81","  Charges for the use of intellectual property n.e.c.","Y908RX0",16935,20615,20269,23365,22561,26930,28037,26555,27280,29551,31297,32056,34663,37302,36405,38321
"89","82","  Other business services","Y806RX0",52238,60362,67936,74274,80983,94050,102736,131529,156293,176924,178491,184233,197902,199490,206697,214051
"90","83","    Maintenance and repair services","Y822RX0",1821,3618,2804,3124,3106,3055,3534,4984,5457,5484,5938,6437,7063,6811,6480,6418
"91","84","    Insurance services","Y823RX0",13525,17290,25225,29213,31853,37481,38176,46021,52547,61927,63801,59571,54470,54386,55631,52927
"92","85","    Financial services","Y824RX0",7231,10126,10659,10151,10023,12095,12426,14511,17974,16147,14415,14535,15474,14761,15106,15282
"93","86","    Telecommunications, computer, and information services","Y825RX0",2770,3130,3590,3731,5383,7421,10552,15457,23205,25966,25784,34949,43005,43204,45424,49590
"94","87","    Other other business services","Y826RX0",30410,30308,31171,35078,35265,37592,39405,51043,56611,67327,68553,69560,79987,82477,86485,92511
"95","88","  Government goods and services n.e.c.","Y827RX0",24457,26710,27807,33421,34174,34076,33130,31587,29184,27804,31460,32536,30244,28032,24458,22281
"96","89","  Other","Y828RX0",6067,6472,6743,6786,6790,7009,6625,6631,6877,6347,6082,5780,5551,5640,5548,5375
"97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","2. The quantity index for computers can be used to accurately measure the real growth of this component. However, because ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","computers exhibit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","rapid changes in prices relative to other prices in the economy, the chained-dollar estimates should not be used to measure the ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","component's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","relative importance or its contribution to the growth rate of more aggregate series; accurate estimates of these contributions ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","are shown in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","table 4.2.2 and real growth rates are shown in table 4.2.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and the 2009 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","value of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","chained-dollar estimates are usually not additive. For exports and for imports, the residual line is the difference between the ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","aggregate line and the sum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
