"","Table 5#5#5U# Private Fixed Investment in Equipment and Software","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"18","11","    Office and accounting equipment","B936RC0",1233,1224,1042,923,978,978,1000,1289,1253,1180,1395,1240,1131,1339,1935,2590,2303,2704,2828,4234,5185,5701,6135,4739,7568,8590,8346,9663,6271,5611,6098,4957,4636,5132,5630,5683,5794,5857,5763,5202,4047,4092,4729,4966,6805
"19","12","  Industrial equipment","A680RC0",8525,9375,8801,9253,10027,11433,13680,16150,16919,17280,19051,20282,19459,21409,26023,30659,31329,34120,39443,47731,56162,60743,65485,62669,58879,68140,72469,75415,76712,84182,93325,92142,89313,92961,102233,113620,128961,136521,140418,146388,147015,159215,146659,138561,139837
"20","13","    Fabricated metal products","C263RC0",949,925,863,793,877,1019,1207,1411,1405,1704,2118,2577,2768,2966,3678,4470,5328,6097,6226,7057,8777,9181,9883,9548,9145,8684,8626,7975,7132,7958,8961,9172,9373,9599,9349,10037,10838,12135,10548,11049,11788,12393,12487,12552,12115
"21","14","    Engines and turbines","A668RC0",584,556,477,425,423,427,450,546,760,940,1104,1265,1453,1685,1691,1816,1743,1770,1737,1849,1877,1930,2335,1973,1769,1935,2182,1868,2509,2719,3261,3115,3829,3663,3518,3886,3291,3979,3744,4441,5496,7108,10801,10074,5525
"22","15","      Steam engines","BA13RC0",446,438,378,319,293,284,287,344,561,730,866,1044,1232,1427,1390,1481,1408,1371,1248,1160,1202,1163,1485,1315,1175,1176,1401,1030,1752,1713,2255,2167,2773,2584,2395,2632,1890,2497,2042,2816,3280,5066,8464,7610,2594
"23","16","      Internal combustion engines","BA14RC0",138,118,99,106,130,143,163,202,199,210,238,221,221,258,301,335,335,399,489,689,675,767,850,658,593,759,781,839,757,1005,1006,948,1056,1079,1122,1254,1401,1482,1702,1625,2215,2042,2337,2464,2931
"24","17","    Metalworking machinery","C271RC0",1307,1549,1399,1576,1906,2033,2625,3290,4223,3915,3970,3980,3144,3717,4919,6068,6059,6440,7250,9348,11572,13269,14104,12166,9324,11310,12456,13103,12468,13878,16693,15959,15677,16865,18676,22260,26386,27463,29725,30104,29290,30046,25564,23343,20626
"25","18","    Special industry machinery, n.e.c.","C272RC0",1660,1928,1853,2042,2066,2395,3108,3466,3324,3460,3745,3921,3791,4216,4840,5356,5162,5524,6130,8246,9365,10483,11336,11881,12378,14405,15789,17118,18731,20863,23677,22550,21278,21799,24316,26375,31158,32787,32807,33363,32902,36397,30601,27860,31965
"26","19","    General industrial, including materials handling, equipment","C273RC0",2237,2473,2329,2510,2875,3442,3927,4571,4270,4347,5028,5257,5200,5488,6855,8281,8451,9369,11988,14756,17188,17970,18968,18079,16812,20311,21868,24178,23590,26013,27015,27381,25817,27380,32166,35352,39874,41970,44303,47308,45744,48579,44416,42434,46210
"27","20","    Electrical transmission, distribution, and industrial apparatus","C276RC0",1788,1944,1880,1907,1880,2117,2363,2866,2937,2914,3086,3282,3103,3337,4040,4668,4586,4920,6112,6475,7383,7910,8859,9022,9451,11495,11548,11173,12282,12751,13718,13965,13339,13655,14208,15710,17414,18187,19291,20123,21795,24692,22790,22298,23396
"28","21","  Transportation equipment","A681RC0",8273,8509,8026,9789,9432,10577,13215,14518,14266,17629,18890,16242,18412,21849,26560,26279,25168,29989,39277,47322,53639,48385,50556,46821,53511,64407,68954,70469,68065,72861,67918,69960,71531,74715,89425,107732,116077,123151,135531,144019,167634,160846,141715,125979,126570
"29","22","    Trucks, buses, and truck trailers","C279RC0",2616,2567,2660,3410,3596,3736,4655,5407,4857,5926,7158,6208,7248,9434,11214,11612,9188,12128,16209,19932,21826,17097,18134,17777,20831,28184,32004,28412,28763,29124,28518,23723,22025,26262,37179,51030,58624,64622,73191,79420,89480,81823,65107,60811,69054
"30","23","      Light trucks (including utility vehicles)","W178RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10691,11979,10755,9713,9870,10168,15242,25901,29654,38981,49354,49021,54425,50819,42264,38078,45155
"31","24","      Other trucks, buses, and truck trailers","W179RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18072,17145,17762,14009,12154,16094,21937,25130,28969,25641,23837,30399,35054,31004,22843,22733,23899
"32","25","    Autos","C280RC0",3661,3821,3547,4251,4009,4179,5079,4768,4590,5985,6330,5261,7404,7862,8855,8292,8607,10870,14249,16619,15870,14258,16711,16594,21943,25606,26451,29832,26397,29487,26132,29138,31299,30545,33265,41108,37101,37946,38296,34446,37883,36527,33845,32876,30739
"33","26","    Aircraft","C281RC0",861,779,815,781,488,841,1283,1816,2489,3666,2753,2421,1326,1914,2990,2443,2303,2354,3416,4300,7003,8014,7731,7130,7308,6674,7217,9000,9719,10449,8475,12116,13417,13721,13386,9114,13274,12914,15511,20778,30279,32580,35238,24288,18891
"34","27","    Ships and boats","C282RC0",487,454,395,414,362,424,489,529,556,756,856,889,861,1102,1683,1567,2273,2271,2501,2586,3215,3460,4451,3129,1934,1711,1294,1476,1825,1602,1485,1554,1598,1177,2158,1840,1797,2312,2715,2842,2845,3372,2962,3573,3985
"35","28","    Railroad equipment","C283RC0",648,888,609,933,977,1397,1709,1998,1774,1296,1793,1463,1573,1537,1818,2365,2797,2366,2902,3885,5725,5556,3529,2191,1495,2232,1988,1749,1361,2199,3308,3429,3192,3010,3437,4640,5281,5357,5818,6533,7147,6544,4563,4431,3901
"36","29","  Other equipment","A682RC0",7693,7191,7188,7711,9053,10200,11502,13201,12768,13387,14931,16184,16706,19397,23691,26516,28643,31281,37784,45592,52074,52224,59326,53209,52034,60046,61696,62488,66450,71991,83014,83071,72926,73961,84145,92348,99858,105814,116890,127521,129304,134581,131152,129776,138262
"37","30","    Furniture and fixtures","A667RC0",1360,1404,1356,1434,1609,1765,1944,2218,2298,2331,2700,2730,2640,3392,3864,3948,3685,4200,5596,6852,7987,9017,9963,11043,12162,14491,15668,16692,18387,18751,21627,21002,18866,20902,21384,22557,24455,25545,29785,32724,34540,36250,32924,30706,31936
"38","31","      Household furniture","BA15RC0",148,141,131,137,145,160,169,173,196,272,355,457,544,640,680,637,485,614,664,791,832,862,928,884,975,1082,1134,1232,1327,1309,1255,1154,1040,1035,1167,1328,1423,1554,1608,1791,1979,2080,2054,2204,2366
"39","32","      Other furniture","BA16RC0",1212,1263,1225,1297,1464,1605,1775,2045,2102,2059,2345,2273,2096,2752,3184,3311,3200,3586,4932,6061,7155,8155,9035,10159,11187,13409,14534,15460,17061,17442,20373,19848,17825,19867,20217,21229,23033,23991,28177,30932,32561,34170,30870,28503,29570
"40","33","    Agricultural machinery","C268RC0",1945,1573,1637,1782,2240,2457,2741,3269,3412,3278,3432,4010,3918,4797,6391,6807,8546,8834,9464,10734,12749,11600,12611,9513,8456,9121,7302,6814,7179,9762,11985,13597,11430,10202,11864,13428,13946,14088,16245,16908,12445,13703,14597,16545,17552
"41","34","      Farm tractors","BA17RC0",716,462,552,616,757,911,942,1255,1179,1213,1061,1170,1077,1524,2049,1948,2593,2892,2936,3348,4183,3832,4281,3083,2976,3393,2361,1937,2079,2979,3095,3631,3259,3070,3570,4279,4265,3979,5679,5697,3941,4893,4602,5252,5907
"42","35","      Other agricultural machinery","W213RC0",1229,1111,1085,1166,1483,1546,1799,2014,2233,2065,2371,2840,2841,3273,4342,4859,5953,5942,6528,7386,8565,7768,8330,6430,5480,5728,4941,4877,5100,6782,8890,9966,8171,7132,8294,9149,9680,10109,10566,11211,8504,8810,9995,11294,11645
"43","36","    Construction machinery","C269RC0",1346,1099,1055,1136,1534,1887,2188,2482,2287,2512,2863,2880,3003,3749,4629,5512,5478,5632,8083,10641,10831,9343,9667,6467,7261,9961,10892,10803,10445,10565,13571,14055,9414,9416,12215,13985,15835,18062,19529,22354,22918,23229,20405,21116,22901
"44","37","      Construction tractors","BA18RC0",315,181,203,210,282,364,450,537,352,383,516,472,505,667,882,1118,1198,1097,1708,2091,1934,1370,1817,862,1047,1483,1370,1404,1631,1357,2154,2073,1340,974,1308,1385,1570,1784,2552,2930,3002,3170,2762,2726,2873
"45","38","      Other construction machinery","W214RC0",1031,918,852,926,1252,1523,1738,1945,1935,2129,2347,2408,2498,3082,3747,4394,4280,4535,6375,8550,8897,7973,7850,5605,6214,8478,9521,9399,8814,9208,11417,11982,8074,8442,10908,12601,14265,16278,16977,19424,19916,20058,17643,18389,20027
"46","39","    Mining and oilfield machinery","C270RC0",505,469,426,421,538,609,687,730,564,604,668,932,1084,904,1140,1700,2656,3001,3558,3648,3884,4498,7640,5552,3200,2815,2466,1317,1231,1532,1853,1753,1448,1297,2505,2472,2535,2696,3587,3580,5375,5319,6195,4755,6564
"47","40","    Service industry machinery","C570RC0",1327,1335,1304,1378,1360,1509,1789,2063,2088,2255,2576,2665,2814,2874,3139,3252,3116,3656,4193,5045,5921,6457,6970,7345,7646,9128,9937,10188,11210,11734,12855,11695,11238,11060,11894,13149,14170,14820,14781,16454,17512,17539,17596,16700,16705
"48","41","    Electrical equipment, n.e.c.","A670RC0",216,231,239,260,347,376,434,450,333,387,443,508,525,624,759,838,853,1044,1070,1635,2063,2466,2807,2360,2467,2757,2944,3111,3246,3604,3604,3298,2766,2857,2853,3026,3321,3222,3631,4376,4311,4605,5031,4772,4936
"49","42","      Household appliances","BA19RC0",115,104,99,99,141,162,181,182,163,171,191,194,207,260,316,318,306,406,441,497,506,526,479,386,420,458,511,496,511,511,504,446,390,412,477,554,614,672,690,765,784,817,827,877,943
"50","43","      Miscellaneous electrical","BA20RC0",101,127,140,161,206,214,253,268,170,216,252,314,318,364,443,520,547,638,629,1138,1557,1940,2328,1974,2047,2299,2434,2615,2734,3093,3100,2851,2376,2445,2376,2471,2707,2550,2941,3612,3528,3788,4204,3895,3994
"51","44","    Other","C286RC0",994,1080,1171,1300,1425,1597,1719,1989,1786,2020,2249,2459,2722,3057,3769,4459,4309,4914,5820,7037,8639,8843,9668,10929,10842,11773,12487,13563,14752,16043,17519,17671,17764,18227,21430,23731,25596,27381,29332,31125,32203,33936,34404,35182,37668
"52","45","  Less: Sale of equipment scrap, excluding autos","C287RC0",119,139,205,182,239,349,457,498,364,361,530,619,444,445,1072,2208,1279,1662,1527,2351,4161,3900,4134,2056,1639,1896,1799,1826,2499,2973,2815,2847,2124,2006,3991,4281,5136,4844,4774,3984,3255,3369,2392,2454,2763
"53","46","Residential equipment","B013RC0",570,529,521,540,592,628,687,692,711,866,1010,1121,1278,1536,1739,1881,1919,2122,2397,2734,3167,3376,3615,3689,4220,4715,5056,5499,5805,6061,6149,6008,5748,5921,6071,6227,6327,6330,6269,6565,7024,7359,7397,7533,7996
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","n.e.c. Not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. Excludes software ""embedded,'' or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
