"","Table 7U# Chain-Type Price Indexes for BEA Retail and Food Servi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99"
"11","3","S1   Motor vehicle and parts dealers","T070033",83.199,83.998,84.426,84.964,85.587,86.732,87.775,88.769,89.195,90.092,91.135,92.58,93.613,94.109,94.072,94.515,95.57,95.692,95.796,96.08,96.48,96.172,96.089,96.147,95.817,95.388,95.864,96.204,96.26,96.343,97.078,97.217,97.209,97.731,97.508,98.039,98.542,98.536,98.425,98.678,98.375,98.408,98.815,98.618,97.676,97.255,96.81,96.055,96.323,96.728,96.614,97.619,98.26,98.685,98.398,99.095,99.456,99.583,99.743,99.533,99.549,99.724,99.994,100.416,100.081,99.359,99.144,98.366,98.281,99.13,100.023,102.566,103.912,104.456,105.071,105.232,105.993,107.712,108.546,108.606,108.834,109.224,109.391,109.723,109.952,109.971,110.178,110.303,110.273,110.467,110.469,110.281,110.39,110.865,110.742,110.687
"12","4","S4     Automobile dealers","T070043",83.919,84.793,85.32,85.943,86.692,88.09,89.354,90.518,90.946,91.939,93.171,94.812,95.949,96.498,96.449,96.954,98.113,98.224,98.412,98.765,99.2,98.866,98.722,98.825,98.437,98.007,98.515,98.853,98.919,99.04,99.852,99.971,99.881,100.483,100.214,100.713,101.148,101.136,100.967,101.233,100.858,100.827,101.203,100.959,99.789,99.321,98.795,97.92,98.144,98.548,98.406,99.521,100.134,100.562,100.071,100.77,101.09,101.027,101.029,100.715,100.664,100.804,101.032,101.342,100.807,99.841,99.354,98.216,98.053,98.953,100.037,102.956,104.435,105.017,105.627,105.759,106.459,108.264,109.106,109.106,109.262,109.69,109.78,110.108,110.369,110.391,110.639,110.789,110.726,110.951,110.953,110.755,110.848,111.344,111.183,111.197
"13","5","S4     Other motor vehicle dealers","T070053",81.051,82.416,81.895,82.501,82.522,82.941,83.336,83.805,84.17,85.204,85.636,87.052,87.621,87.859,88.027,87.979,89.08,89.487,88.947,88.407,88.934,88.774,88.958,88.859,88.995,88.656,89.094,89.527,89.99,90.219,90.864,90.774,91.284,92.044,91.914,92.475,92.939,93.006,93.086,93.048,92.813,92.995,93.137,93.448,93.145,92.919,92.748,92.223,93.07,93.861,93.371,93.816,94.609,95.253,95.894,96.596,96.882,97.618,98.414,98.39,98.393,98.473,98.658,99.309,99.334,99.395,99.594,99.37,98.903,99.695,100.081,101.321,101.922,102.232,102.803,103.119,104.015,105.201,105.884,106.076,106.403,106.495,107.023,107.606,107.904,108.128,108.146,108.2,108.596,108.702,108.626,108.386,108.506,109.313,109.516,108.639
"14","6","S2     Automotive parts, accessories and tire stores","T070063",77.955,77.922,77.953,77.78,77.672,77.157,76.75,76.612,77.046,77.119,76.939,76.86,77.288,77.482,77.435,77.617,77.84,77.917,77.656,77.783,77.859,77.69,77.943,77.735,77.632,77.174,77.413,77.719,77.481,77.179,77.332,77.764,78.14,77.851,77.958,78.749,79.868,79.869,80.149,80.475,80.804,81.304,82.175,82.047,82.725,82.588,82.681,82.853,83.055,83.168,83.617,84.076,84.843,85.07,85.896,86.575,87.364,88.697,89.784,90.387,91.032,91.608,92.339,93.61,94.798,95.583,97.307,98.881,99.607,100.128,99.903,100.362,101.126,101.501,102.161,102.465,103.652,104.974,105.83,106.299,107.082,107.323,107.967,108.194,108.09,107.946,107.89,107.822,107.818,107.764,107.82,107.779,108.044,108.053,108.095,107.927
"15","7","S1   Furniture, home furnishings, electronics and appliance stores","T070073",154.746,155.82,155.972,156.106,156.42,157.131,157.545,159.394,160.874,161.843,163.206,161.721,161.972,162.516,162.32,162.544,162.539,162.038,162.369,161.032,160.502,160.175,159.004,158.102,156.683,155.357,154.028,151.895,150.123,148.326,146.248,144.198,143.558,142.609,141.711,139.868,137.905,135.719,133.755,132.152,130.708,129.912,128.407,126.78,125.154,123.312,121.776,120.765,120.184,119.57,118.287,117.205,116.369,115.778,114.528,113.8,113.133,111.833,111.053,110.169,109.227,108.352,107.018,105.764,105.291,103.961,103.788,102.813,101.847,101.158,99.065,97.93,96.595,95.136,93.668,92.594,91.576,91.255,90.333,89.118,88.48,87.603,86.6,85.554,84.821,83.651,82.471,81.768,81.094,80.367,79.615,78.443,77.555,77.38,75.897,74.034
"16","8","S1     Furniture and home furnishings stores","T070083",98.814,99.581,99.256,99.504,99.339,100.123,100.626,101.366,101.959,102.986,103.427,102.008,102.612,103.044,104.139,103.985,104.42,104.158,104.76,104.731,104.611,105.459,104.746,104.359,104.757,105.562,105.771,105.342,105.387,105.453,105.173,104.405,105.004,105.082,105.482,105.724,105.388,104.854,104.306,103.807,103.369,103.672,103.256,102.529,101.871,101.282,101.089,100.645,100.935,101.07,100.681,100.612,100.756,101.189,100.687,100.907,101.302,101.324,101.571,101.361,101.231,101.129,100.652,99.82,100.464,99.538,100.413,100.271,100.371,100.861,99.836,98.931,97.987,96.832,95.593,94.969,94.866,95.634,95.604,95.273,95.135,95.06,94.732,94.177,93.918,93.478,92.411,91.769,91.295,90.972,90.492,89.877,89.501,90.106,89.241,88.87
"17","9","S4       Furniture Stores","T070093",100.254,101.539,101.003,101.864,101.952,102.442,102.726,103.942,104.556,106.085,106.268,104.865,105.703,106.038,107.242,107.224,107.524,107.82,108.315,107.971,107.307,108.814,107.862,107.462,107.136,107.983,108.193,107.488,107.647,107.752,107.47,106.587,107.379,106.523,106.843,107.138,106.372,105.939,104.964,104.06,103.353,103.674,103.327,102.829,102.51,102.211,101.98,101.256,102.106,102.137,101.575,101.261,101.07,101.369,100.586,101.164,101.603,102.186,102.088,101.634,101.798,101.823,101.004,99.702,100.193,99.738,100.444,100.124,100.107,101.26,99.781,98.884,98.019,96.294,94.965,94.395,94.08,95.059,94.783,95.069,95.382,95.698,95.674,95.2,94.638,94.746,93.764,92.792,91.913,92.03,90.521,90.392,90.055,90.992,89.714,89.425
"18","10","S4       Home furnishings stores","T070103",97.349,97.349,97.334,96.682,96.148,97.361,98.186,98.248,98.815,99.154,99.944,98.496,98.786,99.344,100.295,99.964,100.582,99.591,100.341,100.723,101.312,101.314,100.906,100.529,101.867,102.615,102.823,102.745,102.654,102.675,102.397,101.766,102.124,103.338,103.838,104.023,104.22,103.564,103.54,103.533,103.412,103.682,103.179,102.188,101.141,100.223,100.076,99.95,99.597,99.847,99.655,99.869,100.403,100.99,100.821,100.615,100.959,100.344,100.979,101.047,100.575,100.327,100.241,99.953,100.78,99.314,100.386,100.444,100.68,100.407,99.91,99.002,97.974,97.502,96.367,95.667,95.805,96.312,96.567,95.515,94.849,94.316,93.647,93.012,93.089,92.065,90.91,90.632,90.602,89.789,90.47,89.291,88.872,89.099,88.709,88.242
"19","11","S1     Electronics and appliance stores","T070113",246.479,247.937,249.448,249.166,250.737,250.901,250.9,255.065,258.411,258.871,262.179,261.013,260.249,260.871,257.588,258.648,257.608,256.682,256.284,252.188,250.826,247.753,245.804,243.908,238.554,232.637,228.176,222.755,217.391,211.969,206.508,202.144,199.063,196.173,192.782,187.082,182.243,177.157,172.757,169.31,166.203,163.54,160.284,157.261,154.134,150.339,146.718,144.872,142.964,141.237,138.68,136.149,133.937,131.938,129.699,127.708,125.66,122.708,120.671,119,117.128,115.372,113.086,111.384,109.756,108.022,106.836,105.075,103.144,101.416,98.385,97.056,95.4,93.692,92.032,90.581,88.807,87.601,85.971,84.068,83.043,81.54,80.023,78.607,77.517,75.808,74.547,73.801,72.981,71.961,71.015,69.445,68.186,67.429,65.489,62.534
"20","12","S1   Building material and garden equipment and supplies dealers","T070123",85.699,87.224,86.772,87.781,92.358,94.935,93.735,95.745,97.348,96.422,96.254,96.54,96.615,96.727,96.776,96.534,96.463,97.385,98.367,98.922,100.109,100.772,100.289,99.004,98.699,97.492,96.749,95.273,95.99,97.018,98.34,96.768,97.509,96.93,95.827,95.711,95.68,96.613,96.349,94.558,94.78,95.29,94.986,94.364,94.463,94.153,94.799,95.36,96.643,98.325,98.441,98.034,99.421,99.853,99.892,100.108,100.847,101.014,100.535,100.235,100.959,101.092,100.912,100.506,100.322,100.737,101.39,101.116,100.164,100.401,100.025,99.41,99.874,100.716,99.501,99.273,100.316,100.798,101.304,101.545,102.299,102.963,102.834,103.08,104.244,104.524,104.191,104.155,104.76,104.323,104.719,104.823,104.523,104.444,103.721,103.427
"21","13","S2     Building material and supplies dealers","T070133",84.271,85.983,85.527,86.75,92.041,95.089,93.522,95.668,97.417,96.297,96.026,96.395,96.467,96.471,96.351,95.634,95.153,95.923,97.014,97.806,99.188,99.843,99.513,98.274,98.248,97.27,96.515,95.12,96.072,97.24,98.796,96.878,97.546,96.635,95.366,95,94.614,95.914,95.7,93.895,94.301,94.818,94.507,93.774,93.775,93.615,94.407,95.124,96.592,98.36,98.507,97.935,99.467,100.021,99.963,100.223,101.052,101.172,100.603,100.302,101.071,101.195,101.067,100.527,100.394,100.833,101.452,101.279,100.23,100.476,99.953,99.341,99.951,101.077,99.755,99.48,100.564,101.06,101.706,101.949,102.805,103.579,103.515,103.744,105.157,105.523,105.052,105.166,105.836,105.474,106.009,106.094,105.993,105.793,105.025,104.635
"22","14","S3     Lawn and garden equipment and supplies stores","T070143",94.834,95.279,94.872,94.585,94.801,94.548,95.575,96.778,97.497,97.729,98.222,97.959,98.082,98.908,100.019,102.782,105.403,107.317,107.591,106.641,106.622,107.33,105.887,104.295,102.304,99.721,99.036,97.054,96.348,96.509,96.364,96.924,98.086,99.675,99.736,101.333,103.748,102.179,101.581,99.881,98.714,99.158,98.887,99.11,99.962,98.534,98.066,97.392,97.216,98.206,98.07,98.995,99.19,98.612,99.485,99.325,99.251,99.855,100.158,99.872,100.215,100.421,99.814,100.412,99.844,100.086,100.967,100.049,99.717,99.908,100.498,99.878,99.391,98.498,97.921,97.965,98.769,99.18,98.898,99.126,99.341,99.411,98.932,99.255,99.129,98.952,99.337,98.525,98.783,97.971,97.663,97.859,96.537,97.081,96.593,96.8
"23","15","S1   Food and beverage stores","T070153",64.875,65.114,65.56,65.784,66.019,66.439,66.43,66.745,66.938,67.197,67.591,67.654,67.955,68.516,68.809,69.225,69.88,70.583,71.324,72.023,72.209,72.309,72.489,72.758,73.052,73.368,73.773,74.279,74.915,75.194,75.656,76.149,76.601,77.287,78.038,78.399,79.1,79.754,80.385,80.58,81.024,81.369,81.445,81.546,82.109,82.394,83.252,84.158,84.698,85.666,86.142,86.881,86.783,87.548,87.938,88.355,88.727,88.863,89.494,89.67,90.898,92.149,93.161,94.366,95.669,97.629,99.905,100.283,99.993,99.935,99.912,100.16,100.636,100.875,101.203,101.894,103.345,104.899,106.159,107.066,107.751,108.123,108.378,108.863,109.201,109.291,109.681,109.811,110.348,111.586,112.355,112.765,112.277,112.233,112.782,112.658
"24","16","S1     Grocery stores","T070163",64.483,64.717,65.173,65.393,65.628,66.073,66.072,66.404,66.6,66.876,67.29,67.36,67.674,68.24,68.543,68.97,69.629,70.339,71.084,71.789,71.961,72.046,72.219,72.491,72.802,73.118,73.533,74.031,74.661,74.938,75.392,75.877,76.31,76.999,77.766,78.129,78.844,79.509,80.142,80.328,80.775,81.109,81.163,81.253,81.831,82.116,82.998,83.922,84.476,85.455,85.943,86.692,86.587,87.389,87.793,88.218,88.575,88.696,89.367,89.542,90.784,92.055,93.101,94.368,95.697,97.738,100.116,100.406,100.037,99.949,99.889,100.125,100.681,100.928,101.23,101.976,103.529,105.175,106.534,107.493,108.188,108.589,108.87,109.385,109.69,109.744,110.148,110.279,110.85,112.186,112.986,113.372,112.864,112.824,113.412,113.233
"25","17","S3     Specialty food stores","T070173",65.291,65.409,65.858,66.03,66.163,66.729,66.89,67.399,67.603,67.89,68.343,68.342,68.714,69.38,69.621,70.031,70.706,71.507,72.443,73.276,73.385,73.406,73.643,73.891,74.258,74.497,74.881,75.316,75.651,75.775,76.015,76.439,76.717,77.311,78.086,78.443,79.264,79.888,80.556,80.916,81.434,81.48,81.356,81.456,82.066,82.644,83.576,84.702,85.073,86.148,86.579,87.278,86.991,87.918,88.018,88.545,88.938,88.887,89.619,89.996,91.194,92.524,93.609,94.79,96.061,98.254,100.873,101.78,101.239,100.078,99.34,99.343,99.973,100.375,100.446,101.054,102.72,104.564,106.097,106.905,107.387,107.646,107.764,108.364,108.82,108.905,109.226,109.238,109.808,111.175,112.128,112.787,112.857,112.52,113.281,113.161
"26","18","S2     Beer, wine, liquor stores","T070183",70.452,70.819,71.106,71.413,71.719,71.631,71.414,71.318,71.454,71.423,71.454,71.424,71.476,71.883,72.054,72.283,72.852,73.4,73.958,74.484,74.928,75.301,75.562,75.787,75.787,76.137,76.392,77.061,77.926,78.331,79.007,79.644,80.449,81.123,81.641,81.981,82.415,82.93,83.524,83.765,84.126,84.771,85.273,85.529,85.834,85.967,86.437,86.997,87.425,88.18,88.506,89.136,89.23,89.403,89.751,90.011,90.588,91.008,91.065,91.153,92.214,93.183,93.737,94.163,95.151,96.011,96.88,98.098,98.887,99.707,100.458,100.957,100.376,100.449,101.209,101.262,101.402,101.715,101.685,102.016,102.674,102.77,102.791,102.886,103.541,104.041,104.311,104.474,104.601,104.703,105.049,105.604,105.093,105.132,105.161,105.627
"27","19","S1   Clothing and clothing accessories stores","T070193",117.93,117.895,118.291,118.624,118.159,117.562,117.513,117.407,116.391,116.751,116.378,115.612,114.561,113.75,113.83,113.65,113.551,112.886,111.371,111.579,111.718,112.633,111.432,110.818,109.774,109.262,109.587,108.97,107.558,108.181,107.874,107.776,107.214,106.449,105.895,106.146,106.647,105.207,104.335,103.469,102.975,102.751,102.037,101.395,100.167,99.262,99.751,99.32,99.085,99.684,99.196,99.135,98.988,98.497,98.222,97.996,97.722,98.875,98.891,98.915,99.398,98.712,98.03,98.703,98.947,98.881,99.637,98.906,99.389,99.988,100.304,100.319,100.086,99.724,99.657,99.456,100.217,101.395,103.237,103.976,104.603,105.138,104.641,105.508,105.803,105.171,105.709,105.342,105.45,105.516,105.556,104.378,104.045,103.794,104.032,103.186
"28","20","S2     Clothing stores","T070203",122.548,122.546,122.682,123.2,122.759,121.778,121.888,121.671,120.174,120.617,120.077,119.411,117.832,116.924,116.907,116.813,116.941,116.275,114.504,114.982,115.346,116.956,115.304,114.579,113.38,113.056,113.713,113.18,111.657,112.424,112.29,112.552,111.881,111.001,110.758,110.722,111.042,109.539,108.295,107.285,106.93,106.511,105.895,105.033,103.752,102.846,103.291,103.023,102.621,103.048,102.614,102.447,102.159,101.653,100.793,100.652,100.226,101.375,101.266,101.081,101.372,100.583,99.434,100.028,99.813,99.128,99.886,98.917,99.474,100.088,100.379,100.059,99.947,99.211,99.088,98.523,98.997,100.042,102.271,103.014,103.62,104.44,103.85,104.666,104.869,103.863,104.655,104.533,104.976,105.145,104.879,103.614,103.243,103.044,103.253,102.338
"29","21","S2     Shoe stores","T070213",105.689,106.248,107.039,107.249,106.847,106.961,106.359,106.888,106.249,106.798,105.649,104.326,104.632,104.21,104.304,103.852,103.968,104.036,102.942,102.992,102.992,103.335,103.342,103.685,102.482,102.115,102.869,101.643,100.62,100.25,99.635,98.82,98.629,98.865,97.714,98.224,98.507,97.389,97.702,96.66,95.833,96.926,96.188,95.967,95.456,94.034,94.978,94.589,93.896,94.539,94.644,95.315,96.454,96.64,97.766,97.083,97.852,98.141,97.14,97.391,97.027,96.354,96.787,97.079,97.473,98.267,98.263,98.246,98.834,99.699,100.347,101.131,101.176,100.572,100.593,100.444,100.717,100.824,101.76,101.668,102.244,103.934,104.322,105.713,106.665,106.912,106.424,105.567,105.296,105.957,107.672,107.748,107.508,107.541,107.897,107.221
"30","22","S3     Jewelry, luggage, and leather goods stores","T070223",107.581,106.699,107.856,107.437,106.791,107.193,107.04,106.755,107.463,107.256,108.43,107.847,107.627,106.83,107.28,107.021,105.807,104.451,103.57,102.868,102.244,100.898,100.38,99.303,99.063,97.682,96.303,95.931,94.653,95.585,94.878,94.049,93.585,92.454,91.259,92.356,93.703,92.276,91.899,91.783,91.02,90.476,89.405,89.317,87.754,87.281,87.588,86.487,87.269,88.511,87.357,87.16,86.62,85.681,86.788,86.564,86.153,87.951,89.266,90.003,91.984,91.739,92.298,93.639,95.892,98.09,99.492,99.39,99.406,99.709,99.877,101.009,99.85,101.8,101.953,103.768,106.598,109.494,110.05,111.558,112.398,110.159,109.368,110.03,110.219,110.844,110.915,109.646,108.309,107.24,107.343,105.464,105.266,104.459,104.751,104.128
"31","23","S1   General merchandise stores","T070233",94.459,94.657,94.84,94.934,94.844,94.86,94.885,95.119,94.83,95.15,95.211,95.073,94.824,94.673,95.015,95.22,95.633,95.707,95.509,95.776,95.96,96.293,95.806,95.614,95.449,95.46,95.576,95.477,95.318,95.503,95.571,95.604,95.542,95.658,95.778,95.764,96.072,95.752,95.673,95.431,95.273,95.314,95.029,94.691,94.418,94.167,94.525,94.589,94.803,95.292,95.255,95.647,95.635,95.941,96.046,96.264,96.509,96.93,97.289,97.104,97.617,98.007,98.064,98.752,99.251,99.913,101.018,100.376,100.053,100.25,100.063,99.633,99.497,99.024,98.71,98.598,99.076,99.793,100.441,100.569,100.764,100.453,100.126,100.058,99.75,99.161,98.852,98.429,98.256,98.102,97.848,97.033,95.916,95.689,95.508,94.7
"32","24","S1     Department stores","T070243",105.852,106.084,106.237,106.321,106.088,105.984,106.102,106.387,105.986,106.386,106.378,106.148,105.621,105.225,105.562,105.691,106.051,105.959,105.442,105.657,105.868,106.344,105.597,105.274,104.946,104.843,104.922,104.605,104.047,104.308,104.273,104.225,103.953,103.82,103.712,103.593,103.823,103.047,102.66,102.243,101.917,101.875,101.448,101.017,100.325,99.909,100.157,99.904,99.893,100.249,99.929,100.085,100.141,100.18,99.801,99.803,99.864,100.345,100.436,100.391,100.5,100.215,99.673,100.047,100.023,99.848,100.279,100.011,100.281,100.444,99.993,99.281,98.944,98.27,97.741,97.085,97.149,97.64,98.466,98.585,98.841,98.72,98.226,98.204,97.883,97.159,96.833,96.368,96.212,95.739,95.375,94.337,93.689,93.307,93.055,92.265
"33","25","S2     Other general merchandise stores","T070253",83.402,83.56,83.824,83.951,84.126,84.379,84.227,84.392,84.283,84.487,84.685,84.699,84.927,85.2,85.585,85.944,86.487,86.85,87.173,87.549,87.702,87.829,87.723,87.728,87.806,87.99,88.164,88.367,88.752,88.841,89.049,89.189,89.39,89.816,90.212,90.321,90.728,90.88,91.109,91.027,91.015,91.128,90.962,90.699,90.769,90.649,91.097,91.401,91.781,92.368,92.534,93.096,93.04,93.527,93.947,94.299,94.655,95.038,95.559,95.296,96.047,96.825,97.219,98.079,98.853,99.947,101.392,100.56,99.947,100.159,100.096,99.798,99.756,99.377,99.16,99.292,99.954,100.771,101.339,101.47,101.641,101.253,100.993,100.907,100.604,100.065,99.762,99.356,99.176,99.137,98.922,98.184,96.9,96.727,96.569,95.754
"34","26","S1   Other retail stores","T070263",68.041,68.616,69.334,69.847,70.055,69.507,68.968,69.585,69.524,69.503,70.904,71.259,71.168,71.306,71.298,71.084,72.574,74.014,73.376,74.485,74.983,73.664,73.82,73.915,72.177,71.507,71.588,71.31,70.986,73.479,75.235,76.605,79.435,80.376,81.192,81.652,81.185,82.244,80.769,77.57,76.732,79.434,80.09,81.029,84.428,80.948,82.776,83.13,85.477,86.513,87.586,90.553,90.28,91.053,96.887,97.12,97.045,99.51,101.418,96.494,98.349,101.826,102.739,105.993,108.537,111.576,115.303,100.042,94.653,97.558,102.705,105.084,105.939,104.431,105.206,108.853,112.616,116.354,116.471,116.277,117.598,116.717,117.264,118.294,117.606,115.425,116.381,116.116,116.123,116.555,116.086,112.258,104.271,106.755,106.642,104.385
