"","Table 7#2#5U# Motor Vehicle Output","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52"
"13","6","    New motor vehicles","AB67RC0",21081,25990,26842,23438,30535,35171,38710,31691,34568,46639,55858,62734,61406,54331,59142,64278,82867,99666,117830,134047,128790,138220,139304,134664,112903,126690,138896,151200,147451,152971,162208,179374,200058,210708,230018,243551,251607,252430,248894,233047,233152,185218,165623,182289,207856,236959,250046,265450,276064
"14","7","      Autos","A136RC0",20021,24511,25105,21945,28196,31617,33931,27005,29331,38167,44407,48521,49265,46395,50685,53336,66029,77144,86255,98970,91286,96675,92887,89675,72281,78016,82025,86421,81933,81126,81603,86176,94701,99394,97842,95202,90538,91007,96589,99190,95173,85162,71177,69434,79906,94647,95587,93686,85371
"15","8","        Domestic","GAP500",18354,22222,22481,18749,24123,27052,28408,21663,22811,31209,34580,37556,34991,30171,32268,33541,41524,48836,52982,61832,53187,57890,58093,56509,45538,49567,54377,58579,56226,56231,52924,56307,61271,64819,64856,63401,59707,58333,62345,62069,59341,52423,45431,44549,52898,62763,65441,66308,61018
"16","9","        Foreign","GAP530",1667,2289,2624,3196,4073,4565,5523,5342,6520,6958,9827,10965,14274,16224,18417,19795,24505,28308,33273,37138,38099,38785,34794,33166,26743,28449,27648,27842,25707,24895,28679,29869,33430,34575,32986,31801,30831,32674,34244,37121,35832,32739,25746,24885,27008,31884,30146,27378,24353
"17","10","      Light trucks (including utility vehicles)","B704RC0",1060,1479,1737,1493,2339,3554,4779,4686,5237,8472,11451,14213,12141,7936,8457,10942,16838,22522,31575,35077,37504,41545,46417,44989,40622,48674,56871,64779,65518,71845,80605,93198,105357,111314,132176,148349,161069,161423,152305,133857,137979,100056,94446,112855,127950,142312,154459,171764,190694
"18","11","        Domestic","ETRUPD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129903,137770,138748,130965,112242,115094,82144,77920,95730,109068,121258,130917,145937,158674
"19","12","        Foreign","ETRUPM0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18446,23299,22675,21340,21614,22885,17912,16526,17126,18881,21054,23542,25827,32020
"20","13","    Net purchases of used autos and used light trucks","W240RC0",4519,4811,5203,5013,5562,6190,6750,6968,7788,10166,11061,12022,12434,12173,14301,15306,17961,24732,28752,29928,35451,37682,41501,42201,45041,49381,55022,64906,72892,82867,91741,101354,109603,110731,112011,116122,105790,109757,110451,108460,111180,99604,99660,104206,95988,96785,102851,109234,113666
"21","14","      Used autos","A137RC0",4335,4635,5016,4809,5316,5917,6405,6619,7444,9664,10382,11128,11325,10848,12761,13551,15626,21414,24424,23782,28396,28940,30997,29313,31377,34394,38366,46847,50505,54166,57058,59433,60505,60008,58741,59242,54372,57631,57646,54820,52916,47038,42660,45436,43692,42772,45733,49280,50940
"22","15","        Margin","GAP560",2469,2718,2857,2722,3341,3804,3898,3703,4238,5595,5855,6227,5591,4925,6346,6769,8563,8978,9319,10525,13412,12931,14635,12985,13181,13954,16113,19664,21451,23241,24552,23399,24021,24244,25547,24765,23024,25416,26906,26861,27260,22008,18896,21574,23770,25002,25428,25452,25892
"23","16","        Net transactions","GAP590",2157,2220,2473,2408,2302,2441,2836,3286,3597,4482,4975,5441,6365,6644,7227,7681,7962,13335,16004,14156,15883,17075,17595,17729,19764,22175,23988,28917,30789,32660,34241,37769,38218,37500,34929,36212,33083,33949,32475,29694,27391,26765,25499,25597,21657,19505,22040,25563,26783
"24","17","        Employee reimbursement","GAP620",-291,-303,-314,-321,-327,-328,-329,-370,-391,-413,-448,-540,-631,-721,-812,-899,-899,-899,-899,-899,-899,-1066,-1233,-1401,-1568,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735
"25","18","      Used light trucks (including utility vehicles)","W241RC0",184,176,187,204,246,273,345,349,344,502,679,894,1109,1325,1540,1755,2335,3318,4328,6146,7055,8742,10504,12888,13664,14987,16656,18059,22387,28701,34683,41921,49098,50723,53270,56880,51418,52126,52805,53640,58264,52566,57000,58770,52296,54013,57117,59955,62726
"26","19","        Margin","W491RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1450,1924,2398,2872,3346,3889,4959,5163,4876,3432,4605,6451,8001,9783,11692,12432,13978,14467,15404,16673,15961,17174,16818,16144,16380,11903,12193,14634,14064,15066,16179,17739,18739
"27","20","        Net transactions","W492RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,885,1394,1930,3274,3709,4853,5545,7725,8788,11555,12051,11608,14386,18918,22991,29489,35120,36256,37866,40207,35457,34952,35987,37496,41884,40663,44806,44136,38231,38947,40938,42215,43987
"28","21","  Private fixed investment","AB62RC0",9427,11887,13459,11444,14623,17258,20004,19806,17679,22850,30458,36551,37696,31355,34845,34371,42774,53791,58455,58245,55160,58611,54650,52860,53324,56807,70443,92138,95725,102569,111435,116494,132964,126507,108859,105668,105193,125656,144627,159122,144424,99541,40510,92354,128125,159394,180017,202514,223875
"29","22","    New motor vehicles","AB68RC0",11471,14085,15877,13764,16978,19624,22837,22989,21739,27602,35496,42153,44352,38214,42831,42964,52238,69218,77010,75597,75941,82339,79284,79176,82632,91483,108389,133839,141638,156911,167795,181953,205503,201512,181821,177212,169244,189988,211422,227874,218175,173462,118252,166885,196103,225990,252099,280140,315017
"30","23","      Autos","B139RC0",6614,8159,8719,7556,9730,10190,11623,11377,12551,15474,19149,21969,22210,20771,24265,24797,30591,39797,43144,44691,43479,48567,45703,48056,52575,54087,59363,71418,69924,73558,74258,75195,81617,82940,79037,78404,71013,72041,77204,81318,82555,70772,51712,68919,73281,88933,96939,100186,103321
"31","24","        Domestic","GAP650",6507,8013,8551,7352,9470,9899,11271,11036,12135,15030,18454,21074,20873,19032,22053,22450,29121,38004,40800,38128,36894,41619,38687,41301,46042,46552,50946,61266,60840,65302,65351,65467,67818,65079,57883,53204,47401,48968,53231,54991,53436,44499,30964,43582,45223,59240,63005,64752,71802
"32","25","        Foreign","GAP680",107,146,168,204,260,291,352,341,416,444,695,895,1337,1739,2212,2347,1470,1793,2344,6563,6585,6948,7016,6755,6533,7535,8417,10152,9084,8256,8907,9728,13799,17861,21154,25200,23611,23073,23972,26327,29118,26273,20748,25337,28059,29693,33934,35434,31519
"33","26","      Trucks","B705RC0",4857,5926,7158,6208,7248,9434,11214,11612,9188,12128,16347,20184,22142,17443,18566,18167,21647,29421,33866,30906,32462,33772,33581,31120,30057,37396,49026,62421,71714,83353,93537,106758,123886,118572,102784,98808,98231,117947,134218,146556,135620,102690,66540,97966,122822,137058,155159,179954,211696
"34","27","        Light trucks (including utility vehicles)","B196RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14390,16627,15819,17111,17903,21302,27089,37292,42745,57711,69752,76746,89699,88951,81742,77480,77439,89347,99346,107980,105938,78215,48104,74021,89549,97732,114888,132013,156679
"35","28","          Domestic","BTRLD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67397,65636,76179,84782,89715,87434,63278,38923,62117,75698,82577,96580,111253,129206
"36","29","          Foreign","BTRLM0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10083,11803,13168,14564,18265,18504,14936,9181,11905,13851,15155,18308,20760,27474
"37","30","        Other trucks, buses, and truck trailers","B197RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18072,17145,17762,14009,12154,16094,21937,25130,28969,25641,23785,30011,34187,29620,21042,21328,20792,28600,34872,38575,29682,24475,18436,23945,33273,39326,40271,47941,55016
"38","31","    Net purchases of used autos and used light trucks","W242RC0",-2044,-2198,-2418,-2320,-2355,-2366,-2833,-3183,-4060,-4752,-5038,-5602,-6656,-6859,-7986,-8593,-9464,-15427,-18555,-17352,-20781,-23728,-24634,-26316,-29308,-34676,-37946,-41701,-45913,-54342,-56360,-65459,-72539,-75005,-72962,-71544,-64051,-64332,-66795,-68752,-73751,-73921,-77742,-74531,-67978,-66596,-72082,-77627,-91142
"39","32","      Used autos","B140RC0",-2024,-2174,-2389,-2295,-2326,-2328,-2768,-3085,-3944,-4604,-4900,-5350,-6340,-6513,-7554,-8203,-8648,-14191,-16693,-14859,-17082,-19080,-19571,-18918,-21276,-23542,-26098,-30310,-32957,-36050,-36458,-38959,-39405,-39791,-36814,-35194,-31521,-32481,-33940,-33660,-33865,-34733,-34390,-34090,-33481,-32128,-34664,-37109,-38990
"40","33","        Margin","GAP710",87,97,103,99,122,140,152,147,172,229,317,313,259,207,238,223,276,284,289,320,398,379,425,373,374,393,483,624,718,819,885,897,952,993,1082,1083,1005,1108,1170,1166,1181,962,826,943,1039,1093,1112,1113,1132
"41","34","        Net transactions","GAP740",-2111,-2271,-2492,-2394,-2448,-2468,-2920,-3232,-4116,-4833,-5217,-5663,-6599,-6720,-7792,-8426,-8924,-14475,-16982,-15179,-17480,-19459,-19996,-19291,-21650,-23935,-26581,-30934,-33675,-36869,-37343,-39856,-40357,-40784,-37896,-36277,-32526,-33588,-35110,-34826,-35046,-35696,-35216,-35033,-34521,-33221,-35776,-38222,-40122
"42","35","      Used light trucks (including utility vehicles)","W243RC0",-20,-24,-29,-25,-29,-38,-65,-98,-116,-148,-138,-252,-316,-346,-432,-390,-816,-1236,-1862,-2493,-3699,-4648,-5063,-7398,-8032,-11134,-11848,-11391,-12956,-18292,-19902,-26500,-33134,-35214,-36148,-36350,-32530,-31851,-32855,-35092,-39886,-39188,-43352,-40441,-34497,-34468,-37418,-40518,-52152
"43","36","        Margin","W493RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,211,265,319,372,432,551,574,542,482,707,1075,1443,1900,2419,2593,2918,3022,3221,3488,3292,3488,3358,3163,3142,2490,2551,3061,2942,3152,3385,3711,3920
"44","37","        Net transactions","W494RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-973,-1447,-2127,-2812,-4071,-5080,-5614,-7971,-8574,-11616,-12554,-12466,-14399,-20192,-22321,-29093,-36052,-38237,-39368,-39838,-35822,-35340,-36214,-38255,-43028,-41678,-45903,-43502,-37439,-37620,-40802,-44229,-56072
"45","38","  Gross government investment","AB64RC0",1292,1208,1222,1288,1367,1453,1885,2288,2455,2855,3298,3788,4355,4638,5026,4930,5537,7766,8143,7917,7233,7780,9882,10347,9517,10314,9701,9272,9662,9650,10316,11217,12035,12608,12765,13135,14039,14200,15392,17252,18149,18606,17521,17281,16094,15677,15709,17574,19755
"46","39","    Autos","B144RC0",408,439,479,508,570,603,585,681,724,818,1032,1237,1316,1382,1513,1574,1588,1877,1859,1875,1961,2408,2762,3224,2763,3316,3181,3340,3567,3416,3149,3346,3456,3381,3417,3290,3294,3286,3666,4130,4305,4117,3558,3333,3287,2819,2809,3225,2892
"47","40","      New autos","GAP800",200,223,253,280,338,391,376,421,445,511,653,778,778,766,818,802,912,1241,1224,1239,1370,1646,1841,2098,1649,2091,2017,2214,2458,2330,2035,2276,2411,2362,2372,2236,2127,2082,2459,2866,2935,2738,2172,1985,1999,1529,1511,1894,1428
"48","41","      Net transactions in used autos","GAP830",-83,-87,-88,-93,-95,-116,-120,-110,-112,-106,-69,-81,-93,-105,-117,-127,-223,-263,-264,-263,-308,-304,-312,-275,-454,-510,-571,-609,-626,-649,-621,-665,-690,-716,-690,-681,-569,-531,-528,-471,-365,-357,-349,-387,-447,-445,-437,-404,-271
"49","42","      Employee reimbursement","GAP860",291,303,314,321,327,328,329,370,391,413,448,540,631,721,812,899,899,899,899,899,899,1066,1233,1401,1568,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735
"50","43","    Trucks","B708RC0",884,769,743,780,797,850,1300,1607,1731,2037,2266,2551,3039,3256,3513,3356,3949,5889,6284,6042,5272,5372,7120,7123,6754,6998,6520,5932,6095,6234,7167,7871,8579,9227,9348,9845,10745,10914,11726,13122,13844,14489,13963,13948,12807,12858,12900,14348,16863
"51","44","      New trucks (including utility vehicles)","W495RC0",884,769,743,780,797,850,1300,1607,1731,2037,2266,2551,3039,3256,3513,3356,4171,6129,6522,6291,5560,5720,7516,7552,7213,7536,7132,6626,6832,7025,7950,8708,9478,10178,10314,10830,11707,11931,12772,14172,14939,15504,15177,15443,14436,14492,14482,15900,18529
"52","45","        Light trucks","GOVLT0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3609,4155,4394,4600,5128,5624,5216,4376,4451,4342,4739,5272,6098,6605
"53","46","        Other trucks, buses, and truck trailers","ETKGHT0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7222,7553,7537,8172,9044,9315,10289,10801,10991,10095,9753,9210,9803,11924
"54","47","      Net transactions in used light trucks","W496RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-222,-240,-238,-249,-288,-348,-396,-429,-459,-538,-612,-694,-737,-791,-783,-837,-899,-951,-965,-985,-963,-1017,-1046,-1051,-1095,-1015,-1214,-1495,-1629,-1634,-1582,-1552,-1667
"55","48","  Net exports","AB63RC0",-767,-1861,-2493,-3013,-4120,-4819,-5095,-5032,-3352,-5673,-7617,-10684,-10077,-13373,-14675,-19431,-22996,-30834,-35829,-45030,-46795,-43078,-38963,-41945,-38561,-38209,-43470,-50060,-52593,-54099,-60730,-68071,-91406,-102116,-100847,-104715,-102137,-106944,-102342,-111053,-96633,-76502,-53263,-76363,-76062,-96682,-101846,-105636,-129084
"56","49","    Exports","AB69RC0",1236,1414,1575,1416,1806,2034,2713,3728,5085,5336,5669,6724,8634,7744,8088,6143,6952,8084,9700,10615,11871,14323,15813,14240,16922,19393,19923,22696,23895,25192,26940,25884,25290,26126,25386,28916,32347,36538,43970,49082,60776,65322,39974,54981,66771,73571,77126,80436,72470
"57","50","      Autos","B142RC0",824,982,1024,837,1184,1323,1825,2334,2886,3267,3628,3963,5257,4657,4707,3541,4781,5465,6538,6866,7312,8990,9408,9313,11236,11541,11089,12033,12095,12623,12431,12060,11826,12235,13175,14898,15762,16468,20415,23913,31727,37250,20836,28014,33961,39139,42100,46009,41672
"58","51","      Trucks","B706RC0",412,432,551,579,622,711,888,1394,2199,2069,2041,2761,3377,3087,3381,2602,2171,2619,3162,3749,4559,5333,6405,4927,5686,7852,8834,10663,11800,12569,14509,13824,13464,13891,12211,14018,16585,20070,23555,25169,29049,28072,19138,26967,32810,34432,35026,34427,30798
"59","52","    Imports","AB70RC0",2003,3275,4068,4429,5926,6853,7808,8760,8437,11009,13286,17408,18711,21117,22763,25574,29948,38918,45529,55645,58666,57401,54776,56185,55483,57602,63393,72756,76488,79291,87670,93955,116696,128242,126233,133631,134484,143482,146312,160135,157409,141824,93237,131344,142833,170253,178972,186072,201554
"60","53","      Autos","B143RC0",1702,2796,3356,3710,5091,5724,6526,7307,7135,8947,10651,13652,14879,16977,17823,20291,23939,30640,34874,42436,43479,41235,39423,37981,36064,35845,41006,43861,48421,45348,50828,53091,63812,69633,68106,72782,70694,71828,69677,77213,76674,77670,54981,73793,82605,100149,110871,112077,128251
"61","54","      Trucks","B707RC0",301,479,712,719,835,1129,1282,1453,1302,2062,2635,3756,3832,4140,4940,5283,6009,8278,10655,13209,15187,16166,15353,18204,19419,21757,22387,28895,28067,33943,36842,40864,52884,58609,58127,60849,63790,71654,76635,82922,80735,64154,38256,57551,60228,70104,68101,73995,73303
"62","55","Change in private inventories","AB65RC0",-842,1757,446,-981,1814,-271,1334,2957,-1806,1969,3339,2116,359,-2040,1795,-2893,2633,5692,4940,2240,9047,1731,4029,-3171,-1565,589,2016,5348,6701,-2322,4267,415,11672,10546,-13705,13088,6770,1671,-1476,1435,-4303,-6049,-23228,14502,6186,21797,14723,10469,25230
"63","56","  Autos","A145RC0",-754,1452,317,-889,1589,-432,1224,2128,-1166,1725,2166,1879,142,-36,2084,-2600,2266,2911,4482,2273,7128,1167,2653,-2208,303,-303,1815,1124,3404,-3386,1675,3151,2428,4039,-3971,7358,-2764,-4039,-1793,3452,-2458,6051,-8460,5714,3504,13564,11352,3902,7330
"64","57","    New","B146RC0",-540,1260,270,-770,1408,-131,1097,2413,-1414,1595,1853,1950,41,758,1978,-2737,1822,2363,3731,1080,6401,-258,1658,-2058,-244,79,918,519,2349,-5495,478,2425,1163,1144,-6496,7631,-1284,-1529,-1053,2655,-3742,6511,-12164,3426,-554,7788,5252,-2043,-1517
"65","58","      Domestic","AB71RC0",-371,1072,163,-863,834,-233,1451,1218,-883,722,2121,226,1083,191,2200,-2779,2922,1701,2896,-565,4056,-567,2214,-2667,-683,535,804,1973,3039,-3860,304,1446,-77,628,-7127,6416,-1059,-534,-599,1458,-2887,4388,-8996,2483,766,5675,3691,-831,-1095
"66","59","      Foreign","AB72RC0",-169,188,107,93,574,102,-354,1195,-531,873,-268,1724,-1042,567,-221,42,-1100,662,836,1645,2345,309,-556,608,439,-456,114,-1454,-689,-1636,175,979,1241,516,630,1215,-225,-996,-454,1197,-855,2122,-3167,944,-1319,2113,1561,-1212,-422
"67","60","    Used","B147RC0",-214,192,47,-119,181,-301,127,-285,248,130,313,-71,101,-794,106,137,444,548,751,1193,727,1425,995,-150,547,-382,897,605,1055,2109,1197,726,1265,2895,2525,-273,-1480,-2510,-740,797,1284,-460,3704,2288,4058,5776,6099,5945,8847
"68","61","  Trucks","B709RC0",-88,305,129,-92,225,161,110,829,-640,244,1173,237,217,-2004,-289,-293,367,2781,458,-33,1919,564,1376,-963,-1868,892,201,4224,3297,1064,2592,-2736,9244,6507,-9734,5730,9534,5710,317,-2017,-1845,-12100,-14768,8788,2682,8233,3371,6567,17901
"69","62","    New trucks","W244RC0",NA,NA,NA,NA,NA,NA,110,829,-640,244,1173,237,217,-2004,-289,-293,230,2716,236,398,1631,362,1311,-1194,-1734,678,-491,3245,3140,-625,3264,-2375,8413,4577,-11427,5941,8935,4983,-119,-2743,-2695,-13218,-16500,8673,2810,8960,2807,3897,5043
"70","63","      Domestic","AB73RC0",NA,NA,NA,NA,NA,NA,51,873,-604,169,1204,106,271,-2069,-240,-232,434,2530,221,-220,1778,433,1383,-838,-1459,661,25,2964,3414,-748,2737,-2277,7975,3689,-10895,4512,8881,5054,-764,-3517,-2004,-14254,-12824,7835,2990,7853,2670,3828,2658
"71","64","      Foreign","AB74RC0",NA,NA,NA,NA,NA,NA,59,-44,-36,75,-31,131,-54,65,-49,-61,-204,186,15,618,-147,-71,-72,-356,-275,17,-515,281,-274,124,527,-98,438,887,-532,1429,54,-71,645,774,-691,1036,-3676,838,-181,1107,138,69,2385
"72","65","    Used \1\","W245RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,65,222,-431,288,202,65,231,-134,214,692,979,157,1689,-672,-361,831,1930,1693,-212,599,727,436,726,850,1118,1732,115,-128,-727,564,2671,12857
"73",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","66","  Final sales of motor vehicles to domestic purchasers","AB75RC0",36319,43896,46726,41183,52087,60072,67349,60753,62490,82510,100675,115095,115891,102497,113314,118885,149139,185955,213180,230137,226634,242293,245337,240072,220785,243192,274062,317516,325730,348057,375700,408439,454660,460554,463653,478476,476629,502043,519364,517881,506905,402969,323314,396130,448063,508816,548622,594772,633360
"75","67","  Private fixed investment in new autos and new light trucks","AB76RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57869,65194,61522,65167,70478,75389,86452,108710,112669,131269,144010,151941,171316,171891,160779,155884,148452,161388,176550,189298,188493,148987,99816,142940,162830,186664,211827,232199,260001
"76","68","  Domestic output of new autos \2\","B148RC0",24515,30957,30181,24042,33172,35329,40008,33289,34029,46616,54817,59012,59173,50870,57670,51488,71784,86787,94992,97035,93722,97390,97470,91504,87652,93287,99165,115630,111440,109644,109031,108760,112439,114491,105911,109420,95528,94703,106423,108187,104569,100474,59868,77225,85379,114436,120128,119825,116499
"77","69","  Sales of imported new autos \3\","B149RC0",2770,3929,5063,5797,7041,7967,9049,8913,10364,11425,14907,16363,19285,21800,24733,28419,33138,38378,44760,54127,53183,57650,53646,54443,48321,51280,54536,56921,55940,55133,59982,66805,77099,82171,80098,85448,82086,84468,86362,95811,99163,88684,73943,85257,95219,105113,110202,113980,109098
"78","70","    Imports from Canada","GAP890",986,1545,2278,2298,2762,3084,3288,3353,3333,4083,4559,4516,3731,3870,4298,6013,7432,8417,9258,9997,7792,10324,10914,12196,12610,12697,15919,15461,17226,16627,18245,22152,23129,20073,14908,19130,19415,20036,15990,14629,16947,14323,11372,18698,21775,26081,26678,27629,28599
"79","71","      Sales","GAP1080",996,1494,2271,2397,2708,3111,3174,3230,3428,4023,4385,4503,3674,3837,4104,6277,7163,8277,9009,10048,7389,10438,10695,12539,12665,12615,15806,15212,16825,17152,18201,21861,23129,19996,15797,18201,19584,20129,16043,14458,17342,13769,12913,18199,21654,24934,25966,27825,28810
"80","72","      Inventory change","GAP1100",-10,51,7,-99,54,-27,114,123,-95,61,174,13,57,33,195,-264,269,140,249,-52,403,-114,219,-344,-55,82,113,249,401,-526,44,291,0,76,-889,929,-169,-93,-53,171,-395,554,-1542,499,121,1147,712,-196,-210
"81","73","    Imports from Mexico","GAP1260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,380,1112,1466,1154,1942,2366,2704,2666,3778,4402,4637,4215,5385,6739,9798,9585,10818,7988,8544,12065,18124,16441,16733,12847,17279,18605,19456,20731,23171,24205
