"","Table 6#20B# Net Corporate Dividend Payments by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"13","6","  Mining","A3306BC0",666,646,673,1191,1733,4643,-1173,766,1609,1828,2779,3418,1597,2562,2108,1737,1309,2101,2289
"14","7","    Metal mining","B3307BC0",109,119,154,91,82,92,93,54,21,76,48,244,167,115,97,230,268,287,749
"15","8","    Coal mining","B3308BC0",30,43,50,38,59,171,255,264,208,194,302,222,209,205,170,219,125,382,289
"16","9","    Oil and gas extraction","B3309BC0",459,417,413,998,1512,4292,-1641,340,1207,1413,2304,2797,987,2002,1692,1151,720,1254,690
"17","10","    Nonmetallic minerals, except fuels","B3310BC0",68,67,56,64,80,88,120,108,173,145,125,155,234,239,149,137,197,178,562
"18","11","  Construction","B3311BC0",277,241,249,227,264,365,376,381,390,434,285,640,667,508,887,334,671,1185,1144
"19","12","  Manufacturing","A3312BC0",10308,9753,8982,9210,7894,4152,11809,10856,10543,13167,11678,14669,20362,18312,21143,22966,25638,25025,27943
"20","13","    Durable goods","A3313BC0",5394,4899,4656,5122,5282,4909,4928,5976,3678,4920,4155,6288,7163,3720,6374,9153,11475,10117,10417
"21","14","      Lumber and wood products","B3314BC0",175,181,163,220,226,168,274,339,371,548,440,534,706,638,431,409,732,482,704
"22","15","      Furniture and fixtures","B3315BC0",52,43,49,57,61,58,49,60,58,78,80,84,71,156,141,168,200,400,244
"23","16","      Stone, clay, and glass products","B3316BC0",282,248,263,300,341,291,304,315,300,295,313,422,680,517,349,334,401,342,269
"24","17","      Primary metal industries","B3317BC0",531,689,389,506,574,755,875,918,829,861,927,908,1546,589,616,1116,1572,511,572
"25","18","      Fabricated metal products","B3318BC0",485,371,377,354,361,420,411,470,464,546,486,587,788,537,640,952,722,694,283
"26","19","      Machinery, except electrical","B3319BC0",876,836,904,865,755,946,1002,1166,806,981,231,1489,1777,1284,1512,1950,2431,1455,1419
"27","20","      Electric and electronic equipment","B3320BC0",688,734,818,728,646,633,628,514,88,732,1178,947,1275,850,1394,1151,1581,2359,2862
"28","21","      Motor vehicles and equipment","B3321BC0",1573,1164,1036,1432,1723,1076,898,1657,602,436,-68,837,305,-1223,494,1396,1686,1584,2493
"29","22","      Other transportation equipment","B3322BC0",355,302,329,300,266,206,112,150,26,247,127,-23,-633,-253,-77,663,531,667,647
"30","23","      Instruments and related products","B3323BC0",279,265,240,274,256,282,272,295,61,103,331,322,404,333,580,644,1268,1181,535
"31","24","      Miscellaneous manufacturing industries","B3324BC0",98,66,88,86,73,74,103,92,73,93,110,181,244,292,294,371,352,442,388
"32","25","    Nondurable goods","A3325BC0",4914,4854,4326,4088,2612,-757,6881,4880,6865,8247,7523,8381,13199,14592,14769,13813,14164,14908,17526
"33","26","      Food and kindred products","B3326BC0",784,868,839,878,881,1050,1125,1339,1394,1473,1238,2023,1940,1881,2531,1853,2077,2546,4097
"34","27","      Tobacco manufactures","B3327BC0",231,252,251,259,213,252,267,304,321,296,452,451,568,747,1179,1639,388,1259,78
"35","28","      Textile mill products","B3328BC0",208,219,178,189,197,187,163,164,196,192,357,170,284,191,223,154,272,418,343
"36","29","      Apparel and other textile products","B3329BC0",107,97,80,105,134,146,121,164,180,154,89,302,221,309,338,241,318,607,477
"37","30","      Paper and allied products","B3330BC0",385,408,372,413,421,441,482,650,506,517,530,715,713,799,949,1073,1283,1057,1073
"38","31","      Printing and publishing","B3331BC0",336,346,356,385,381,498,495,550,672,705,589,584,1181,1617,1369,1004,1734,1590,2277
"39","32","      Chemicals and allied products","B3332BC0",1428,1361,1435,1480,1494,1449,1720,2058,2258,2693,2973,3463,4124,4582,3703,4367,4986,4630,5839
"40","33","      Petroleum and coal products","B3333BC0",1246,1115,628,179,-1327,-4998,2278,-595,1111,2121,1126,448,3972,4334,4144,3093,2983,2788,3131
"41","34","      Rubber and miscellaneous plastics products","B3334BC0",131,133,122,139,149,161,181,190,162,33,112,143,105,-53,152,282,10,53,109
"42","35","      Leather and leather products","B3335BC0",58,55,65,61,69,57,49,56,65,63,57,82,91,186,181,106,111,-40,101
"43","36","  Transportation and public utilities","A3336BC0",4928,5052,5347,5915,6846,7362,7835,9591,10488,12170,13149,14837,17229,18223,21497,24926,26775,26413,27157
"44","37","    Transportation","A3337BC0",727,692,666,800,739,921,770,999,958,1142,1340,1595,1932,1865,2224,2442,2132,2180,1990
"45","38","      Railroad transportation","B3338BC0",352,344,349,419,410,478,327,529,452,556,558,822,893,801,1028,1058,896,776,812
"46","39","      Local and interurban passenger transit","B3339BC0",45,33,10,25,10,11,9,13,12,10,14,20,23,20,12,127,54,23,62
"47","40","      Trucking and warehousing","B3340BC0",82,88,78,116,95,126,149,123,175,199,174,260,315,357,407,398,481,626,555
"48","41","      Water transportation","B3341BC0",18,3,30,33,27,60,32,40,7,-42,120,61,160,53,175,86,26,105,148
"49","42","      Transportation by air","B3342BC0",80,61,54,49,53,69,69,52,50,108,160,74,174,153,135,190,219,220,65
"50","43","      Pipelines, except natural gas","B3343BC0",109,129,115,119,112,102,119,170,195,235,218,201,220,266,358,344,395,380,381
"51","44","      Transportation services","B3344BC0",41,34,30,39,32,75,65,72,67,76,96,157,147,215,110,238,60,50,-33
"52","45","    Communication","A3345BC0",1751,1846,1950,2083,2309,2607,2753,3255,3650,4206,4775,4995,5553,6562,7452,9081,10275,10482,11033
"53","46","      Telephone and telegraph","B3346BC0",1662,1752,1864,2010,2230,2505,2657,3128,3467,4006,4565,4759,5311,6186,6842,8483,9674,9916,10696
"54","47","      Radio and television","B3347BC0",89,94,86,73,79,102,96,127,183,200,210,236,242,376,610,598,601,567,337
"55","48","    Electric, gas, and sanitary services","B3348BC0",2450,2514,2731,3032,3798,3834,4312,5337,5880,6822,7034,8247,9744,9795,11821,13404,14369,13751,14133
"56","49","  Wholesale trade","B3349BC0",551,526,556,654,1144,2146,2681,2669,3622,3934,4897,5958,5835,6948,7716,7133,7119,6179,5466
"57","50","  Retail trade","B3350BC0",1268,1193,1395,1381,1527,1599,1747,1895,1922,2265,2380,2848,3009,3012,4913,4311,4388,4534,4967
"58","51","  Finance, insurance, and real estate","A3351BC0",1875,2491,2640,2769,2963,2404,2252,2784,3606,4412,4537,3316,7202,8900,10295,14457,17011,19080,21179
"59","52","    Banking","J3352C0",1276,1540,1635,1644,1634,2086,2062,1815,2386,2673,3172,2651,2407,3714,5328,5231,6260,6749,7523
"60","53","      Federal Reserve banks","B3353BC0",39,41,44,46,49,53,55,57,60,63,67,70,75,79,85,93,103,110,117
"61","54","      Commercial and mutual banks","J3354C0",1237,1499,1591,1598,1585,2033,2007,1758,2326,2610,3105,2581,2332,3635,5243,5138,6157,6639,7406
"62","55","    Credit agencies other than banks","J3355C0",389,370,334,364,356,409,544,558,547,759,577,561,1356,463,334,1435,1487,1919,1487
"63","56","    Security and commodity brokers","B3356BC0",30,31,28,48,30,5,22,50,52,73,101,96,123,223,88,173,23,449,568
"64","57","    Insurance carriers","B3357BC0",-99,3,-76,-122,-374,-946,-880,-191,-698,-204,-419,-1250,402,719,-433,1236,888,1747,3613
"65","58","    Insurance agents, brokers, and service","B3358BC0",41,96,73,71,239,68,149,148,180,216,311,316,317,353,280,509,345,640,645
"66","59","    Real estate","B3359BC0",498,415,448,499,606,482,419,504,827,729,697,645,1393,1626,2225,3146,3308,3637,1823
"67","60","    Holding and other investment offices","B3360BC0",-260,36,198,265,472,300,-64,-100,312,166,98,297,1204,1802,2473,2727,4700,3940,5521
"68","61","  Services","A3361BC0",470,429,415,496,619,624,665,923,1173,1195,1471,1385,1970,2543,2466,2331,2362,3159,5161
"69","62","    Hotels and other lodging places","B3362BC0",70,86,91,77,133,82,41,50,88,103,194,191,297,335,428,303,272,321,1518
"70","63","    Personal services","B3363BC0",55,38,32,31,53,60,53,103,67,86,127,96,111,88,108,52,145,97,237
"71","64","    Business services","B3364BC0",156,151,113,135,140,177,219,267,376,266,350,365,534,735,473,809,711,784,1517
"72","65","    Auto repair, services, and parking","B3365BC0",31,31,24,44,34,33,31,23,44,57,52,125,126,114,200,153,231,357,328
"73","66","    Miscellaneous repair services","B3366BC0",11,8,9,9,4,14,8,9,9,30,12,-3,38,38,4,180,76,61,45
"74","67","    Motion pictures","B3367BC0",41,-1,10,10,13,22,15,34,67,89,89,105,45,150,46,73,65,338,204
"75","68","    Amusement and recreation services","B3368BC0",45,52,54,73,115,97,72,77,128,149,119,111,201,123,149,118,104,236,236
"76","69","    Other services","A3369BC0",61,64,82,117,127,139,226,360,394,415,528,395,618,960,1058,643,758,964,1077
"77","70","      Health services","B3370BC0",21,32,49,45,61,57,92,155,144,199,212,193,336,406,422,391,521,627,735
"78","71","      Legal services","B3371BC0",9,4,4,6,6,6,7,9,12,26,62,60,43,78,55,16,47,41,55
"79","72","      Educational services","B3372BC0",1,9,8,2,8,3,2,6,8,18,48,22,28,60,13,16,16,31,47
"80","73","      Other \1\","B3373BC0",30,19,21,64,52,73,125,190,230,172,206,120,211,415,568,219,174,265,239
"81","74","Rest of the world","A3374C0",3836,3936,4690,4894,6800,9765,6556,8959,11079,11184,16041,16748,15445,16385,12145,12292,11837,17883,16705
"82","75","  Receipts from the rest of the world \2\","B3375C0",4849,5046,6065,6531,8556,11618,8622,11676,14149,14721,19908,21492,20732,23853,19526,19650,20989,27873,27912
"83","76","  Less: Payments to the rest of the world \3\","B3376C0",1013,1110,1375,1637,1756,1853,2066,2717,3070,3537,3867,4744,5287,7468,7381,7358,9152,9990,11207
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","1. Consists of social services, membership organizations, and miscellaneous professional services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","2. Consists of (1) receipts by U.S. residents of dividends from foreign corporations, plus (2) earnings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","distributed by unincorporated foreign affiliates to their U.S. parents. Prior to 1982, all earnings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","of unincorporated foreign affiliates were treated as distributed. Reinvested earnings of unincorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","foreign affiliates were $1,571 million in 1982.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","3. Consists of (1) payments by U.S. corporations of dividends to foreign residents, plus (2) earnings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","distributed by unincorporated U.S. affiliates to their foreign parents. Prior to 1980, all earnings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","of unincorporated U.S. affiliates were treated as distributed. Reinvested earnings of unincorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","U.S. affiliates were -$123 million in 1980, -$163 million in 1981, and -$735 million in 1982.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Note. Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
