"","Table 1#2#3# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"11","4","Goods","A353RA3",25.955,25.672,26.364,28.13,30.981,30.708,29.973,32.34,33.945,36.155,37.647,37.45,39.234,37.401,38.99,43.65,44.899,46.321,48.243,50.973,53.683,54.343,53.532,55.518,57.444,61.14,63.359,66.822,71.764,75.702,80.768,84.559,83.351,84.863,88.17,92.845,97.426,102.659,106.753,105.997,100,108.698,112.811,118.428,123.023,127.592
"12","5","    Final sales","A325RA3",24.71,24.857,25.189,26.87,29.309,29.234,29.42,30.717,32.086,34.134,35.932,36.561,37.236,36.728,38.003,40.571,42.942,44.687,46.032,48.853,51.245,52.181,51.772,53.274,55.026,57.591,60.5,63.816,67.596,71.484,76.41,80.18,81.214,81.323,84.461,87.922,92.464,97.371,102.104,103.104,100,103.377,107.83,112.744,116.94,121.148
"13","6","    Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","7","  Durable goods","A354RA3",18.621,17.774,18.251,20.257,23.602,23.536,22.143,24.718,26.503,29.029,30.519,29.211,29.937,27.611,29.897,34.771,36.06,37.815,40.336,43.63,46.198,46.758,45.1,47.373,50.521,54.096,57.645,61.651,68.044,73.829,80.402,85.901,83.789,85.678,89.678,95.634,102.014,107.378,113.164,111.399,100,111.365,117.951,124.947,128.327,133.295
"15","8","    Final sales","A326RA3",17.043,16.753,16.96,18.594,21.269,21.511,21.4,22.719,24.517,26.475,28.241,27.772,28.084,26.853,28.287,31.396,34.089,36.008,37.441,40.612,43.177,44.178,43.394,45.145,47.389,50.118,53.56,57.88,63.066,68.489,74.746,80.009,81.158,80.482,84.383,89.044,94.991,100.445,106.735,106.752,100,103.962,110.076,116.137,119.847,124.078
"16","9","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","10","  Nondurable goods","A356RA3",39.521,40.431,41.527,42.691,44.458,43.797,44.316,46.192,47.361,48.841,50.282,52.305,56.141,55.429,55.463,59.401,60.496,61.173,61.827,63.395,66.304,67.133,67.83,69.3,69.11,73.001,72.965,75.528,78.116,79.139,81.918,83.175,83.279,84.265,86.628,89.607,91.829,96.914,98.841,99.358,100,105.512,106.723,110.752,116.707,120.815
"18","11","    Final sales","A334RA3",39.271,40.379,40.953,42.576,44.351,43.64,44.418,45.592,45.947,48.043,49.804,52.7,54.105,55.204,56.016,57.202,58.702,59.958,61.041,63.036,65.011,65.799,66.085,67.113,67.961,70.207,72.15,73.714,75.104,76.45,79.255,80.711,81.571,82.838,84.889,86.689,89.318,93.494,96.161,98.452,100,102.651,105.083,108.633,113.392,117.567
"19","12","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","13","Services \2\","A341RA3",32.981,33.745,34.589,35.837,36.859,37.67,39.036,40.066,41.397,42.983,44.065,44.866,45.699,46.514,48.496,49.853,52.344,54.488,56.454,58.765,60.794,62.67,63.951,66.112,67.582,69.273,70.975,72.668,74.68,77.38,80.148,83.243,85.228,87.239,89.047,91.565,93.904,96.101,98.276,99.582,100,101.11,102.02,102.462,102.679,104.379
"21","14","Structures","A755RA3",70.726,67.87,74.19,79.709,81.377,73.185,66.751,72.849,79.615,87.356,89.685,83.008,81.718,74.623,80.546,91.421,96.391,98.151,98.614,98.479,97.63,95.557,88.409,92.059,95.202,99.911,100.771,107.452,112.214,118.662,123.593,127.727,128.828,126.637,131.514,137.972,142.567,138.781,129.395,118.026,100,92.23,91.166,97.365,99.816,103.405
"22",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Motor vehicle output","A953RA3",49.725,40.199,51.735,57.549,66.16,56.54,51.202,65.501,74.812,77.385,71.574,54.304,58.393,54.415,69.911,84.602,93.051,92.907,91.929,96.866,98.595,89.318,80.122,89.767,98.009,110.054,109.626,110.786,119.873,129.133,141.818,139.917,133.396,148.599,150.478,156.674,162.687,160.59,161.026,132.183,100,130.249,143.221,161.561,169.48,181.74
"24","16","  Gross domestic product excluding motor vehicle output","A962RA3",32.407,32.755,33.539,35.217,37.062,37.108,37.167,38.873,40.502,42.796,44.368,44.696,45.788,44.984,46.75,49.909,51.906,53.811,55.777,58.096,60.277,61.695,61.861,63.903,65.524,67.978,69.908,72.635,75.793,79.072,82.619,86.179,87.198,88.474,91.006,94.441,97.585,100.311,102.141,102.347,100,102.041,103.48,105.508,106.98,109.431
"25","17","  Final sales of computers \3\","BB01RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.065,0.103,0.168,0.24,0.257,0.376,0.586,0.742,0.871,1.074,1.293,1.457,1.548,1.738,2.194,2.734,3.356,5.222,8.251,12.62,18.041,25.832,33.741,38.123,39.3,46.06,48.283,56.694,70.725,82.255,96.454,100,95.545,104.166,119.994,137.689,140.541
"26","18","  Gross domestic product excluding final sales of computers","BB00RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46.053,47.401,47.129,48.229,47.274,49.313,52.692,54.811,56.661,58.517,60.887,63.075,64.26,64.146,66.313,68.021,70.67,72.315,74.732,77.755,80.926,84.427,87.666,88.419,89.988,92.422,95.914,99.042,101.561,103.286,102.89,100,102.565,104.177,106.441,107.97,110.593
"27","19","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,45.819,46.881,45.91,47.061,46.412,49.018,53.102,55.412,57.377,59.102,60.982,62.793,63.725,63.201,65.309,67.294,70.115,71.605,74.059,77.208,81.085,85.194,89.056,89.999,91.998,94.742,98.67,102.012,104.472,105.521,104.022,100,102.832,104.412,106.503,107.784,110.521
"28","20","  Research and development","Y694RA3",32.994,31.593,31.04,32.177,32.823,31.96,31.593,33.293,34.808,36.863,38.898,40.589,42.578,44.21,46.691,50.741,55.71,57.963,60.389,61.087,62.243,63.975,64.266,63.507,62.547,62.246,63.694,67.013,69.284,71.671,74.803,77.915,80.153,81.154,83.401,85.566,89.795,94.068,98.396,100.96,100,101.911,102.072,102.324,104.862,106.763
"29","21","  Gross domestic product excluding research and development","Y695RA3",32.673,32.78,33.905,35.703,37.751,37.575,37.509,39.529,41.352,43.648,45.011,44.851,45.989,45.043,47.117,50.519,52.581,54.419,56.291,58.709,60.9,62.054,61.999,64.287,66.125,68.872,70.751,73.412,76.726,80.16,83.922,87.355,88.166,89.752,92.272,95.792,98.96,101.548,103.283,102.906,100,102.549,104.231,106.604,108.164,110.808
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","1. Prior to 1959, inventories held by construction establishments are included in nondurable goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Beginning with 1959, these inventories are included in durable goods. Estimates for durable goods and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","nondurable goods for 1996 and earlier periods are based on the 1987 Standard Industrial Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","(SIC); later estimates for these industries are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2. Includes government consumption expenditures, which are for services (such as education and national",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","defense) produced by government. In current dollars, these services are valued at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
