"","Table 1#3#5# Gross Value Added by Sector                        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185"
"11","3","  Nonfarm \2\","A358RC1",746.9,756.2,767.8,770,777.2,790.2,802.3,800.7,836.6,852.3,867.9,873.5,907.6,936.5,952.7,976.7,1019.6,1042.6,1052.9,1076.2,1093.4,1133.5,1152.1,1177.9,1187.5,1214.3,1258.7,1299.9,1356.2,1385,1412.7,1450.9,1496.5,1556.3,1609.5,1632.7,1666.9,1775.4,1821.6,1892.2,1921.3,1979.3,2036.8,2079.2,2136.8,2135.1,2166.2,2265.4,2386.9,2406.1,2476.5,2483.5,2460.1,2505,2522.6,2548.8,2609.4,2709.9,2816,2899,2974.3,3059.5,3112.5,3151.5,3224.3,3277.9,3353.7,3391.2,3443.6,3465,3503.5,3535.4,3584.1,3650.3,3706.2,3792.1,3835,3934.6,4000.8,4100.7,4164.4,4246.8,4307.3,4331.3,4424.4,4480.9,4507.9,4485.6,4493.5,4562.7,4624.8,4658,4729,4809.3,4882.3,4979.8,5015.8,5073.2,5140.4,5237.1,5303.7,5420.5,5487.4,5597.5,5648.7,5693.7,5776.9,5842.1,5902.3,6043.6,6137.8,6244.8,6329.9,6470.7,6580.3,6655.2,6737.2,6816.7,6939.1,7080.4,7170.4,7254.5,7386.8,7563.8,7617.6,7823.3,7871.1,7949.7,7948.8,8041.6,7999.5,8025.7,8122.3,8193.2,8254.4,8279.6,8352.6,8454.5,8680.3,8819.8,8922.9,9071.2,9222.5,9382.2,9588.3,9713.1,9907.3,10052.8,10270.5,10377.2,10446.9,10564.1,10673.7,10843.1,10951.6,11003.5,10905.2,11008.4,10999.1,10661.4,10496.5,10421.2,10443.6,10589.6,10690.4,10857.1,11008.4,11163.9,11120.4,11319.2,11421.2,11620.1,11762.1,11895.2,12055.6,12087.7,12188.1,12292.6,12520.4,12710.1,12657.8,12891.6
"12","4","  Farm","B359RC1",20.9,22.4,23.3,24.7,24.1,23,24.2,23.4,24.6,25,25.1,26.8,24.5,27.6,29.9,36.6,36.8,44.6,47.6,58.1,49.1,40.6,42.4,44.9,42.1,43.1,47.8,49.5,45,42.6,42,42.5,43.8,42,39.6,48.8,47.6,51.9,53.1,50.4,60.3,58.5,61.1,60.5,52.4,40,51.6,61.4,61.9,63.7,71.2,63,61.2,60.2,61.6,58.7,57,46.8,35.1,40.9,62.5,64.5,63.4,66.2,67.2,63.6,61.3,62.7,56.5,56.2,64.3,62.5,61.1,61.1,61.9,64.1,68.7,61.2,64.9,50.8,77,72.6,70.8,75.3,80,78.5,77.7,75,70,72,66.9,72.5,78.3,81.4,82.4,77.3,67.6,75,63.3,79.2,91.5,86.2,81,75.6,65.5,63.1,67.4,77.5,90.8,101.8,87.9,90.1,95.2,82.6,88.8,85.9,80.7,77.3,75.8,82.3,81.4,71,66.8,64.5,70.6,79.1,76.4,78.1,78.3,76.2,78.9,79,69.1,65.3,77.5,84.3,84.3,92.8,94.4,101,123.9,123.7,112.6,115.4,106,106.3,105,100.8,95.7,98,99.9,103.9,112.2,107.9,110.7,123.3,137.5,130.3,120.8,116.8,102.4,104.8,110.1,121.8,120.1,125.7,133.1,140,167.5,162,169,166.4,164.1,163,157.5,161,201.3,192,194.6,180.4,165.3,187.3
"13","5","Households and institutions","A193RC1",84.1,86.3,88.7,91.2,92.4,94,96,98.5,101.6,103.9,106.3,109.1,111.5,113.7,115.7,118.3,120.9,124,127,130.4,133.3,136.5,139.9,143.6,147.4,150.9,154.8,158.7,161.9,164.8,167.9,170.9,173.5,178.4,184.3,189.9,190.8,200.9,209.5,216.8,220.4,224.6,231.4,239.2,247.6,256.1,264.9,274,281.7,289.3,297.6,307.2,314.8,320.6,329.9,337.1,344,351.4,358.8,368.8,375.4,381.7,392.2,401.4,403.6,411.1,419.4,429.1,439.2,447.9,456.1,463.4,475.5,485.3,499.2,521.3,526.6,540.9,552.3,567.2,575.8,587,597.8,609.1,621.3,636.4,652.9,659.2,668.9,678.8,688,700.1,708.2,723.8,735.1,747.7,764.4,775.3,786.6,797.9,812.4,825,839.9,852.5,868.2,880.5,890.3,903.9,914.7,925.2,936.8,949.6,962.1,975.9,991.6,1007.7,1020.8,1039.7,1058.9,1078.4,1092.9,1116,1128.2,1151.1,1174.3,1191,1212.4,1233.2,1248.5,1269.4,1290.2,1309.4,1330.3,1350.7,1365.7,1382.1,1401.8,1414.9,1429.4,1462.1,1473.4,1498.8,1528,1543.3,1567.1,1589.2,1610.6,1631.3,1659.3,1683.5,1699.6,1715.3,1727.7,1736.1,1752.4,1782.3,1814.6,1842.6,1867.1,1896.6,1895.5,1909.6,1917.6,1931.8,1918.3,1926.3,1932.7,1937.9,1953.9,1970.6,1983.3,1989.7,2007.5,2013.7,2027.9,2046.5,2068,2082.2,2103.7,2124.4,2148.1,2166.5
"14","6","  Households","B701RC1",55.8,57,58.2,59.4,60.2,60.9,62.1,63.9,65.5,66.9,68.7,70.3,71.7,72.8,74,75.3,76.9,78.5,80.2,82.2,84.1,85.5,87.4,89.5,91.8,93.9,95.9,98.3,100.4,102.4,104.2,105.8,107.2,110.6,114.4,117.1,121.9,125.1,128.3,133.3,136.3,139.1,143.6,149,153.6,158.6,163.6,169.3,173.7,178.5,183.7,190,194.1,196.9,202.2,206.1,210.3,214.5,218,224.2,227.5,229.8,237.5,244,244.5,249.5,254.3,260.2,266.1,271,275.4,279.2,285.3,290.4,299.6,306.5,313.5,317.9,324.2,333.1,337.4,343.8,349.6,355.3,361.1,369,377.7,381.3,385.5,388.3,393.2,399.9,403.5,410.7,417.4,423.8,435.1,440.5,446.7,454.1,464.5,473.6,483.9,491.9,500.8,509.4,515.9,524.9,530.9,537.1,543.9,550.8,558.5,566.5,576,585.6,592.4,602.6,612.8,623.4,634.5,646.9,657.4,668.5,682.3,693.4,706.4,721.4,733.8,747.8,761.1,769.9,778.7,788.1,793,802.3,815.9,822,828.1,847.6,857.4,872.4,886.7,901.8,922.4,937.6,951.4,964.8,981.5,996.8,1008.5,1015.6,1018.3,1021,1029.1,1046.6,1064.3,1082.1,1094.7,1105.1,1107.6,1107.3,1112.1,1113.4,1114.5,1112,1108.5,1110.7,1121.2,1128.9,1133.2,1138.5,1140.7,1143.9,1151.6,1159.2,1173.9,1183,1198.4,1212.2,1224.2,1236.8
"15","7","  Nonprofit institutions serving households \3\","B702RC1",28.3,29.3,30.5,31.8,32.2,33,33.9,34.6,36.1,37,37.6,38.8,39.8,40.9,41.7,43.1,44,45.5,46.8,48.2,49.2,51,52.5,54.1,55.5,57,58.9,60.5,61.5,62.4,63.7,65.2,66.2,67.8,69.9,72.7,68.9,75.8,81.2,83.5,84,85.5,87.8,90.2,94,97.5,101.4,104.7,108,110.7,113.8,117.2,120.7,123.7,127.7,131,133.7,136.9,140.8,144.7,147.9,151.8,154.8,157.4,159.1,161.6,165.1,169,173.1,176.9,180.7,184.1,190.1,194.9,199.7,214.7,213.1,223,228.1,234.1,238.4,243.2,248.2,253.8,260.2,267.3,275.2,277.9,283.4,290.5,294.8,300.2,304.7,313.1,317.6,323.9,329.3,334.8,339.9,343.8,348,351.4,356,360.5,367.4,371.1,374.4,379,383.8,388.1,392.9,398.7,403.6,409.5,415.6,422.1,428.4,437.1,446.1,455,458.5,469.1,470.8,482.7,492,497.6,506.1,511.7,514.7,521.7,529.1,539.5,551.6,562.6,572.7,579.8,585.9,592.8,601.3,614.5,616,626.5,641.4,641.5,644.6,651.6,659.2,666.5,677.8,686.7,691.2,699.7,709.5,715.1,723.3,735.7,750.3,760.5,772.4,791.5,787.9,802.3,805.5,818.4,803.8,814.3,824.2,827.2,832.7,841.6,850.1,851.2,866.8,869.9,876.3,887.3,894.1,899.3,905.3,912.2,924,929.6
"16","8","General government \4\","A765RC1",143.5,146.5,152.2,154.9,159.8,163,166,168.8,175,178.3,181.1,184.2,190.2,192.4,195.4,200.4,203.4,206.4,209.3,214.4,218.9,223.7,228.9,236.6,242.6,248.2,252.5,257.7,261.3,264.5,268,274,278.8,283.5,288.9,297.4,303.5,308.4,314.7,322.8,329.6,333.5,341,351.8,359.7,368.8,377.3,392.7,401.3,408.2,415.9,429.9,437.8,445.6,452.9,463.3,469.9,475.7,482.4,487.4,500.6,509.3,519.3,528.4,542,549.6,560.2,570.1,577.1,586.1,595.7,608,615.6,624.7,633.2,645.2,660.3,670.9,681.4,694.1,710.1,722,735.7,747.7,765.1,779,791,803.6,822.4,830.1,838.7,848.7,865.3,877.8,886.8,892.8,900.5,906.1,913.9,918.6,928.7,938.1,944,951.1,962.9,967.5,971.9,976,985.3,991,996.5,1002.7,1014.8,1022.7,1031,1039.5,1051,1061.1,1072.7,1084.5,1102.4,1115.4,1130.5,1146.6,1168.5,1184.9,1197.5,1211.3,1232.6,1251.2,1270.8,1287.2,1312.8,1325.7,1339.4,1357.9,1391.4,1408.4,1421.1,1434,1468.2,1487.7,1504.6,1521.3,1552.4,1565.4,1582.6,1596.7,1623.4,1641.1,1662.1,1683.2,1719.5,1735.2,1755,1776.3,1811.1,1831.7,1855.9,1875.1,1889.5,1904.9,1912.8,1923.3,1952.3,1979.5,1983.5,1988.4,1996.6,2009.2,2013.6,2009.1,2022.8,2022.7,2027.9,2037.3,2045,2052.3,2053.6,2063.5,2072.8,2082.9
"17","9","  Federal","A766RC1",74.4,75.3,78.7,79.2,81.5,82.1,82.7,83.3,86.4,87.1,87.5,88.7,91.6,91.3,91.6,94.3,94.7,95,95.5,98,99.2,100.4,101.8,105.7,107.2,108.5,109.6,112.8,114,114.9,116.2,119.7,121,122.3,123.4,127.9,130.2,132.1,134,137.9,139.2,140.6,142.3,148.1,150.8,154.3,157.1,167.1,170,172.6,176.1,185.3,187.7,190.6,194.1,199.6,201.6,203.1,206.5,208.5,216.1,219.5,222.9,225.9,232.7,234.4,236.9,241.4,243.2,245.8,248.6,251.6,253.3,256.1,260.2,264.2,271,274.4,278.1,280.2,286.6,288.8,291.6,293.1,299.2,303.3,305.1,309.7,320.9,320.8,321.7,321.9,326.6,328.3,328.3,327.7,329.5,329.3,330.6,329.6,331.3,331.9,329.7,329.5,333.8,332,330.9,328.7,332.2,331.2,330,328.6,332.8,332.7,332.4,331.4,334.3,334.4,335.1,336.3,342.6,342.7,343.6,345.8,355.4,359.7,359.9,360,365.1,367.2,370.5,373.9,391,393.4,395.6,404.5,426.1,432.2,434.7,435.1,452.8,455.6,459.4,462.4,482.9,485.1,489.5,492.3,505.8,508.1,510.8,513.8,529.6,533.9,538.9,542.7,558.7,566.8,575,580.7,595.3,602.1,606,611.1,631.3,645.8,646.8,650.5,658.2,663.2,666.8,668.2,669.8,668.7,667.8,666,665.4,664.8,659.4,664.7,666.7,668.3
"18","10","  State and local","A767RC1",69.1,71.2,73.5,75.7,78.3,80.9,83.3,85.5,88.7,91.1,93.6,95.5,98.6,101.1,103.8,106.1,108.8,111.4,113.9,116.4,119.7,123.2,127.1,131,135.4,139.7,142.9,144.9,147.3,149.6,151.8,154.4,157.8,161.3,165.5,169.5,173.3,176.3,180.7,184.9,190.4,192.9,198.7,203.7,208.9,214.5,220.1,225.6,231.3,235.6,239.8,244.6,250.1,254.9,258.8,263.7,268.4,272.6,275.9,278.8,284.5,289.8,296.4,302.5,309.3,315.3,323.3,328.7,333.9,340.3,347,356.4,362.3,368.6,373,381,389.3,396.5,403.3,413.8,423.4,433.2,444.1,454.6,465.9,475.6,485.9,493.9,501.6,509.3,517,526.8,538.7,549.5,558.5,565.1,571,576.7,583.3,589,597.3,606.1,614.3,621.6,629.1,635.5,641,647.3,653.1,659.8,666.5,674.1,682,690,698.6,708.1,716.7,726.7,737.6,748.2,759.8,772.7,786.8,800.8,813.1,825.2,837.7,851.3,867.5,884,900.4,913.3,921.8,932.2,943.8,953.3,965.3,976.3,986.4,998.9,1015.4,1032.1,1045.2,1058.9,1069.5,1080.3,1093,1104.4,1117.6,1133.1,1151.3,1169.4,1189.9,1201.3,1216,1233.5,1252.4,1264.9,1281,1294.4,1294.2,1302.7,1306.8,1312.2,1321,1333.7,1336.7,1337.9,1338.4,1346,1346.8,1340.9,1353,1354,1360.1,1371.3,1379.6,1387.6,1394.2,1398.7,1406,1414.6
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross housing value added","A2009C1",71.2,72.8,74.4,76,77.1,78.4,80,82,84,86,88.2,90.3,92.2,93.8,95.5,97.3,99.3,101.2,103.2,105.5,107.9,110,112.6,115.7,118.8,121.2,123.7,126.6,128.8,130.9,133.5,136.4,139.9,143.9,147.8,151.7,157.3,160.9,163.6,168.5,172.6,176.4,182.3,189.7,195.5,202.2,210,218.1,223.8,229.8,236.2,245.4,252,255.5,263.6,270.1,275.5,280.9,286.5,292.2,296.3,300.4,309.4,321.2,324.3,331.2,342.2,351.3,358.4,367.5,372.5,377.5,386.9,392.1,402.1,409.9,419.4,425.1,432.8,442.5,447,454.1,461.2,468.8,476.9,487.2,498.5,504.2,510.6,515.7,523.1,532.2,539.1,548.2,556.3,564,574.8,580.8,587.5,596.2,608.5,619.2,631.6,642,653.6,664.5,672.7,683.1,689.9,696.9,704.8,712.6,722.1,731.8,743.2,754.4,762.3,774.1,786.2,798.9,812.1,826.6,838.9,851.7,866.9,879.8,895,912.5,928.6,945.9,962.3,974,984.7,994.2,998.3,1006,1017.4,1022.2,1028.4,1048.9,1060.8,1078.8,1095.9,1113.3,1137.2,1155.4,1172,1187.8,1207.4,1226.8,1244,1257.7,1267.4,1276.2,1289.1,1311.1,1332.2,1354.2,1372.9,1390.1,1399.7,1405.2,1413.9,1417.3,1421,1422.4,1423.6,1431.6,1450.1,1465.3,1476.7,1488.6,1496.2,1504,1515.5,1526.6,1543.4,1554.9,1573.1,1589.8,1605.1,1621.8
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","and rental income of persons for tenant-occupied housing owned by nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
