"","Table 5#3#4# Price Indexes for Private Fixed Investment by Type ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65"
"16","9","  Equipment and software","B010RG3",32.974,35.35,36.714,37.635,40.834,41.662,41.76,42.765,43.166,46.376,49.005,49.968,50.882,51.305,51.025,50.774,50.495,50.474,50.52,50.654,51.776,53.167,54.645,56.657,58.34,59.044,60.047,64.474,74.001,78.355,83.011,87.391,92.932,100.868,108.077,112.293,112.53,111.547,111.413,113.178,113.796,115.216,116.657,118.168,119.854,118.444,117.243,116.572,115.224,112.451,109.12,104.259,101.366,100,97.708,95.956,94.912,94.6,94.534,94.594,94.87,95.485
"17","10","    Information processing equipment and software","B679RG3",208.087,212.631,214.147,218.763,231.84,227.725,226.938,229.166,231.819,238.401,249.95,252.942,255.21,253.84,250.401,244.528,235.856,232.28,226.202,214.921,211.939,210.422,212.172,214.188,209.245,204.637,206.16,210.028,222.914,224.85,222.031,213.729,212.19,213.666,218.732,220.846,215.048,205.894,198.371,192.417,187.046,184.527,180.479,175.898,172.815,163.663,157.401,151.08,143.956,132.556,122.387,110.494,103.144,100,95.204,91.313,87.889,84.965,82.559,80.851,79.17,78.219
"18","11","      Computers and peripheral equipment","B935RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262389.608,206016.973,152198.265,107961.791,70908.676,59316.144,49013.29,34354.846,27913.278,23819.752,21566.993,19372.365,14750.214,11897.438,11279.976,9209.691,8519.406,7115.332,6191.973,4188.316,3470.456,2708.602,2380.406,2130.131,1775.924,1436.769,1221.439,1052.188,896.227,832.476,777.36,705.322,633.63,540.749,459.505,404.107,338.192,257.899,198.813,147.625,114.709,100,82.192,70.95,63.234,58.619,51.388,44.779,40.062,35.967
"19","12","      Software \2\","B985RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.443,139.782,137.303,132.029,127.025,128.064,124.805,120.825,119.298,119.461,120.538,122.538,119.62,117.496,119.764,124.434,129.662,129.953,131.216,128.314,132.104,135.367,140.241,143.969,142.527,140.105,137.647,132.634,131.707,130.238,123.807,119.504,119,109.084,108.383,104.808,104.179,101.689,98.755,95.82,97.047,100,100.496,98.792,96.705,94.525,94.236,95.464,95.888,96.82
"20","13","      Other \3\","B937RG3",40.129,41.005,41.298,42.188,44.71,43.916,43.764,44.194,44.706,45.975,48.202,48.76,49.229,49.291,49.32,49.156,49.438,49.774,49.823,50.404,51.932,53.291,55.074,57.082,59.12,60.588,61.782,65.71,71.872,75.209,75.816,78.922,81.215,87.192,93.255,97.66,100.38,102.561,104.086,106.713,109.307,110.786,112.199,113.551,114.973,116.158,115.893,115.268,114.28,112.518,111.106,106.219,102.833,100,97.437,95.953,94.227,91.864,91.132,90.86,90.278,90.93
"21","14","    Industrial equipment","B680RG3",10.782,11.684,12.246,12.749,14.378,14.469,14.879,15.154,15.708,17.349,18.647,19.089,19.522,19.912,19.747,19.746,19.808,19.985,20.283,20.821,21.726,22.638,23.404,24.567,25.664,26.188,26.924,29.457,35.5,38.474,41.964,45.642,50.122,56.645,62.054,65.009,66.344,67.086,68.199,71.305,74.381,77.725,80.549,84.409,87.418,89.356,90.578,92.423,95.578,97.561,98.226,98.823,99.425,100,100.677,100.852,101.652,104.253,108.132,111.551,115.968,121.111
"22","15","    Transportation equipment","B681RG3",18.941,20.294,21.234,21.611,22.982,24.354,23.444,24.476,23.995,26.342,27.528,27.926,28.506,28.462,28.4,28.095,27.964,27.718,27.644,27.616,28.064,28.841,29.717,31.141,32.686,33.387,33.749,36.891,41.011,43.952,47.366,51.635,56.065,61.951,66.567,69.579,70.622,71.357,73.513,78.113,79.346,80.563,83.396,86.366,90.741,93.132,94.025,96.696,96.271,98.194,99.752,99.057,99.972,100,99.211,100.236,103.988,109.421,109.973,110.916,112.762,112.881
"23","16","    Other equipment \4\","B862RG3",13.708,14.812,15.302,15.642,16.915,17.05,17.395,17.66,17.83,18.452,19.376,19.84,20.147,20.431,20.438,20.653,20.798,20.986,21.178,21.661,22.391,23.226,24.052,24.92,26.119,26.858,27.431,29.863,36.305,38.98,42.409,45.915,49.897,55.99,62.266,66.699,68.192,69.486,70.895,73.13,74.988,77.202,80.37,83.561,86.301,88.178,89.722,91.228,93.108,95.606,96.804,98.247,99.467,100,101.454,102.244,103.151,104.087,108.14,110.642,113.222,116.771
"24","17","Residential","B011RG3",12.638,13.699,13.881,14.224,15.243,15.662,15.774,15.837,16.166,16.578,16.622,16.58,16.63,16.743,16.769,16.795,16.663,16.796,17.272,17.899,18.521,19.504,20.853,21.526,22.775,24.158,26.297,29.011,31.706,33.743,37.147,41.696,46.374,51.394,55.587,58.564,59.908,61.63,63.219,65.868,68.561,70.928,73.211,74.93,75.912,76.836,79.941,82.754,85.769,87.61,89.843,92.239,95.78,100,104.633,107.24,112.372,120.587,129.268,136.897,138.884,135.587
"25","18","  Structures","B012RG3",12.228,13.263,13.453,13.793,14.782,15.197,15.309,15.377,15.711,16.131,16.178,16.142,16.177,16.293,16.325,16.358,16.232,16.367,16.848,17.478,18.099,19.072,20.413,21.079,22.324,23.711,25.857,28.555,31.204,33.221,36.629,41.176,45.847,50.862,55.026,57.958,59.284,61.022,62.649,65.337,68.053,70.447,72.758,74.498,75.511,76.457,79.614,82.444,85.507,87.37,89.642,92.086,95.708,100,104.709,107.369,112.629,121.02,129.799,137.516,139.508,136.13
"26","19","    Permanent site","B943RG3",11.889,12.91,13.101,13.436,14.401,14.806,14.922,14.995,15.334,15.746,15.806,15.793,15.793,15.899,15.903,15.98,15.83,15.945,16.502,17.202,17.823,18.816,19.999,20.47,21.709,23.248,25.465,27.979,30.569,32.512,35.848,40.619,45.269,50.259,54.333,57.232,58.351,59.94,61.397,64.153,66.816,69.172,71.343,72.864,73.395,74.196,77.661,81.07,84.339,85.968,88.614,91.521,95.57,100,104.797,107.753,113.538,122.899,132.203,140.838,142.989,137.116
"27","20","      Single family","B944RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.043,16.043,16.157,16.16,16.242,16.089,16.199,16.757,17.475,18.099,19.109,20.308,20.817,22.062,23.626,25.867,28.455,31.1,33.05,36.49,41.32,46.3,51.576,55.664,57.894,58.339,59.9,61.089,63.616,66.291,68.744,71.271,73.203,73.574,74.318,77.96,81.601,85.019,86.58,89.091,91.429,95.584,100,105.042,107.945,113.939,123.673,133.022,141.05,142.573,136.529
"28","21","      Multifamily","B292RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.808,15.808,15.879,15.885,15.951,15.801,15.935,16.513,17.191,17.832,18.82,20.012,20.424,21.69,23.226,25.461,27.911,30.462,32.537,35.576,40.455,43.919,48.17,52.34,57.143,60.29,62.021,64.384,68.004,70.684,72.57,72.773,71.993,73.513,74.774,76.414,77.195,79.121,81.302,84.966,92.278,95.448,100,102.789,106.163,110.228,116.35,125.276,138.857,145.435,140.223
"29","22","    Other structures \5\","B863RG3",12.945,13.999,14.18,14.526,15.56,15.999,16.097,16.144,16.451,16.888,16.901,16.807,16.934,17.073,17.17,17.097,17.035,17.218,17.489,17.94,18.555,19.471,21.187,22.306,23.55,24.484,26.368,29.481,32.23,34.369,37.896,41.929,46.601,51.631,55.918,58.892,60.54,62.547,64.479,67.026,69.82,72.267,74.799,76.892,78.643,79.803,82.499,84.456,87.214,89.413,91.151,92.929,95.917,100,104.575,106.786,111.248,118.113,126.049,132.297,134.056,133.263
"30","23","  Equipment","B013RG3",55.822,58.984,56.998,56.75,60.694,60.538,60.369,59.374,57.621,55.204,54.694,53.866,56.099,55.483,54.48,53.29,52.381,51.845,50.756,49.978,50.078,51.151,52.307,53.323,54.188,54.366,54.698,58.08,63.661,66.902,69.056,72.402,76.55,81.528,87.412,92.801,95.11,95.871,95.294,95.79,97.148,98.112,99.006,99.737,99.309,99.225,99.753,101.646,101.965,102.506,102.38,101.801,100.189,100,100.118,99.558,96.799,94.226,96.842,99.21,100.892,101.054
"31",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","24","  Private fixed investment in structures","A349RG3",11.563,12.67,12.764,13.026,14.165,14.555,14.734,14.699,15.008,15.766,16.094,15.957,16.015,16.074,16.051,16.126,16.113,16.286,16.762,17.379,17.961,18.891,20.178,21.159,22.586,24.086,26.135,29.262,32.36,34.209,37.483,41.703,46.488,51.202,56.982,60.927,60.604,61.741,63.29,65.274,67.239,69.82,72.303,74.311,75.483,75.985,78.769,81.581,84.815,86.803,89.518,92.654,95.932,100,104.995,108.41,113.193,121.166,131.627,142.171,145.566,146.431
"33","25","  Private fixed investment in equipment and software","A327RG3",33.317,35.708,37.036,37.943,41.156,41.974,42.069,43.05,43.423,46.559,49.146,50.082,51.02,51.425,51.133,50.867,50.578,50.549,50.577,50.699,51.809,53.198,54.672,56.67,58.341,59.035,60.026,64.44,73.904,78.243,82.858,87.224,92.747,100.64,107.833,112.074,112.349,111.397,111.254,112.999,113.632,115.045,116.478,117.977,119.63,118.239,117.064,116.427,115.099,112.362,109.062,104.238,101.357,100,97.728,95.987,94.926,94.593,94.552,94.633,94.921,95.533
"34","26","  Private fixed investment in new structures \6\","W040RG3",11.627,12.74,12.835,13.1,14.248,14.639,14.821,14.783,15.095,15.863,16.197,16.058,16.118,16.176,16.151,16.227,16.217,16.397,16.883,17.507,18.096,19.036,20.314,21.308,22.75,24.265,26.323,29.483,32.629,34.466,37.707,41.918,46.695,51.436,57.341,61.333,60.905,61.972,63.43,65.257,67.033,69.601,72.057,74.104,75.288,75.752,78.492,81.223,84.524,86.517,89.391,92.61,95.969,100,104.901,108.399,113.189,121.545,132.302,143.6,147.387,148.716
"35","27","    Nonresidential structures","A771RG3",10.752,11.968,11.931,12.079,13.473,13.829,14.099,13.93,14.208,15.424,16.084,15.829,15.918,15.898,15.803,15.933,16.078,16.31,16.783,17.388,17.934,18.826,20.061,21.377,23.025,24.687,26.601,30.277,33.895,35.556,38.634,42.365,47.294,51.719,58.86,63.543,61.91,62.435,63.901,65.121,66.141,68.948,71.636,73.938,75.277,75.252,77.53,80.318,83.814,85.982,89.327,93.433,96.242,100,105.41,110.062,113.924,121.017,135.381,152.151,158.055,163.745
"36","28","    Residential structures","A756RG3",12.382,13.429,13.619,13.965,14.967,15.387,15.5,15.567,15.906,16.331,16.378,16.341,16.377,16.495,16.529,16.561,16.433,16.575,17.074,17.72,18.357,19.35,20.677,21.353,22.617,24.024,26.195,28.921,31.62,33.632,37.003,41.576,46.226,51.332,55.608,58.555,59.802,61.46,62.909,65.36,67.804,70.162,72.407,74.202,75.223,76.15,79.264,81.954,85.112,86.968,89.467,91.963,95.754,100,104.497,107.175,112.509,121.527,130.425,138.771,141.15,137.989
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2. Excludes software ""embedded,'' or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","4. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","5. Consists primarily of manufactured homes, improvements, dormitories, net purchases",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","of used structures, and brokers' commissions on the sale of residential structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","6. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
