"","Table 4#2#4# Price Indexes for Exports and Imports of Goods and ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"15","8","    Civilian aircraft, engines, and parts","B688RG3",14.014,14.765,15.426,15.693,16.378,18.28,19.368,21.864,23.848,25.907,28.628,32.211,35.133,38.431,40.441,41.547,42.549,43.245,42.374,43.668,45.685,48.149,52.165,53.81,55.29,56.933,58.869,61.216,63.309,64.122,65.54,68.827,72.755,74.755,77.291,80.014,83.557,86.986,90.909,95.289,100,102.646,106.372,109.374
"16","9","    Computers, peripherals, and parts","B850RG3",10851.585,9726.912,8383.263,7225.773,6503.155,5128.531,4694.03,4074.326,3522.581,2976.485,2574.676,2064.985,1901.028,1789.494,1449.758,1168.363,974.46,833.196,711.452,664.203,606.935,538.824,485.65,423.768,369.289,337.31,300.432,252.164,216.926,190.641,172.871,164.388,159.194,149.346,145.83,143.721,132.615,126.645,117.093,107.284,100,97.41,92.273,92.882
"17","10","    Other","B689RG3",53.419,57.161,58.002,59.103,61.14,71.097,85.672,93.873,98.082,104.514,111.915,125.7,142.039,146.149,144.773,145.393,137.917,134.142,134.947,139.139,139.092,133.624,132.576,128.665,126.428,123.683,118.541,111.759,107.09,105.571,104.711,104.286,103.862,102.799,100.666,99.679,100.618,101.506,100.484,100.235,100,100.559,101.547,101.949
"18","11","  Automotive vehicles, engines, and parts","B641RG3",19.638,19.939,21.334,22.214,23.801,27.058,31.467,34.098,37.464,40.88,47.953,55.492,63.377,67.665,70.079,72.131,73.734,75.433,76.915,78.465,80.315,82.607,84.909,86.549,87.296,88.129,89.227,90.206,90.931,91.025,91.586,92.595,93.011,93.484,94.145,94.791,95.967,97.149,98.264,99.305,100,100.477,102.172,103.978
"19","12","  Consumer goods, except automotive","B642RG3",29.769,30.175,31.321,32.95,36.208,38.792,43.158,46.8,48.162,53.152,62.103,65.071,67.675,68.522,69.33,70.43,70.212,72.769,75.088,78.097,80.984,83.708,86.496,88.331,89.369,89.681,90.899,92.101,92.783,92.79,92.47,92.85,92.516,92.045,92.568,93.442,94.481,95.687,97.701,99.782,100,101.083,102.449,103.976
"20","13","    Durable goods","B690RG3",24.85,25.64,28.556,29.849,34.913,36.049,39.747,42.807,43.431,49.891,60.723,68.14,71.681,73.659,75.509,74.655,73.702,77.015,78.718,81.684,84.838,87.61,89.88,90.77,91.001,91.41,92.165,93.245,94.146,93.885,93.3,93.965,94.058,93.806,94.19,94.516,95.481,96.369,97.37,99.291,100,98.789,100.038,101.877
"21","14","    Nondurable goods","B691RG3",35.346,35.329,34.769,36.775,38.052,42.356,47.54,51.885,54.1,57.42,64.19,62.158,63.824,63.694,63.706,66.175,66.484,68.45,71.21,74.224,76.842,79.515,82.84,85.619,87.473,87.686,89.359,90.678,91.138,91.42,91.375,91.454,90.664,89.964,90.629,92.068,93.186,94.764,98.055,100.345,100,103.602,105.108,106.228
"22","15","  Other","B643RG3",21.389,22.601,23.31,24.115,28.15,35.136,39.238,40.825,42.678,45.432,51.603,57.623,62.299,63.057,63.921,66.181,64.674,63.752,66.551,71.759,74.013,75.464,76.758,77.201,78.441,80.862,84.813,84.669,83.79,81.875,81.398,83.262,83.011,82.874,85.144,88.884,92.825,96.641,100.897,106.922,100,105.38,114.214,114.739
"23","16","Exports of services \1\","B646RG3",22.024,22.447,23.922,26.346,27.573,30.758,32.825,34.807,36.768,39.431,42.5,47.731,51.879,55.026,57.181,57.811,59.575,61.049,61.907,63.026,64.707,67.734,70.585,72.217,73.6,74.632,76.063,77.497,78.114,77.847,78.358,80.726,80.921,81.034,83.1,86.219,92.039,95.481,98.852,102.83,100,103.096,107.039,109.312
"24","17","  Transfers under U.S. military agency sales contracts","B267RG3",27.413,26.243,28.503,37.351,38.829,40.854,43.419,46.794,49.662,52.659,55.961,60.86,66.073,71.212,73.128,75.011,73.826,69.257,65.769,64.196,64.898,67.134,69.443,70.596,72.782,75.859,77.825,78.167,76.372,74.879,74.307,75.858,77.063,78.444,80.582,83.465,89.112,93.564,95.675,97.824,100,101.272,103.396,104.775
"25","18","  Travel","B493RG3",16.663,17.628,18.357,19,20.03,21.754,23.437,25.15,26.878,29.223,32.034,35.974,39.745,42.789,44.759,47.093,49.19,50.598,52.993,54.872,56.469,59.467,63.147,64.398,64.907,65.192,65.986,67.564,69.089,69.881,71.756,75.131,75.534,74.924,76.448,79.134,92.335,96.461,99.848,104.331,100,103.046,108.306,111.371
"26","19","  Passenger fares","B533RG3",21.461,21.566,23.601,24.857,25.12,28.577,31.815,33.794,34.573,34.573,33.829,38.03,41.793,43.763,43.763,42.668,41.093,42.666,45.408,48.24,49.382,52.814,58.155,59.813,60.921,62.424,65.884,65.913,62.764,61.688,66.513,68.316,68.881,70.932,79.32,87.471,94.312,94.742,103.431,114.206,100,116.022,128.785,133.617
"27","20","  Other transportation","B683RG3",24.114,25.052,26.896,25.934,27.395,33.407,34.696,37.114,38.581,41.699,45.336,53.164,57.175,58.417,61.923,56.2,58.588,62.826,62.078,61.828,64.907,69.503,70.926,71.251,72.306,71.978,73.274,75.288,75.488,72.893,73.185,79.813,79.089,78.191,80.578,86.838,91.372,94.938,97.546,105.604,100,103.849,110.763,113.547
"28","21","  Royalties and license fees","B684RG3",18.49,19.459,20.575,21.454,22.81,25.076,27.323,29.075,31.261,33.707,36.843,40.706,44.562,47.12,49.193,51.32,53.194,54.743,56.701,58.895,61.508,64.374,66.794,68.71,70.413,71.992,73.757,75.381,76.722,77.35,78.529,80.515,82.173,83.427,85.337,87.939,91.183,94.28,97.083,100.203,100,101.548,104.1,105.889
"29","22","  Other private services","B720RG3",25.345,26.689,28.22,29.34,30.658,32.917,35.318,37.264,39.528,41.822,44.203,48.851,52.419,55.864,58.92,61.466,64.069,66.136,68.911,69.858,71.253,74.295,77.368,79.478,81.116,82.24,83.953,85.645,86.691,86.588,84.98,85.24,84.705,84.61,86,88.19,91.302,94.74,98.003,100.852,100,102.195,105.112,106.88
"30","23","  Other","B980RG3",46.253,48.109,49.817,51.554,52.927,60.843,64.67,64.084,66.68,73.135,81.062,91.539,99.503,107.038,105.325,108.102,112.198,111.431,101.161,102.425,100.704,96.145,87.447,92.177,97.795,101.57,99.12,99.566,101.578,98.724,95.191,100.87,99.997,100.37,103.335,107.967,113.361,118.78,122.024,123.028,100,106.105,106.206,110.423
"31","24","    Imports of goods and services","B021RG3",20.717,21.943,23.29,24.922,29.254,41.853,45.337,46.702,50.817,54.406,63.71,79.356,83.621,80.802,77.774,77.102,74.57,74.567,79.083,82.866,84.677,87.104,86.377,86.445,85.783,86.588,88.96,87.409,84.37,79.828,80.354,84.008,81.999,81.098,83.984,88.084,93.56,97.491,101.05,111.695,100,106.008,114.273,114.862
"32","25","Imports of goods \1\","B255RG3",21.3,22.747,23.913,25.745,30.345,45.409,49.213,50.529,55.158,58.837,69.379,87.545,92.419,88.686,84.979,84.394,81.073,79.257,84.909,88.954,91.443,93.123,91.362,90.862,89.847,90.502,92.914,90.559,86.818,81.574,81.671,85.973,83.532,82.069,84.538,88.686,94.572,98.662,102.187,113.861,100,106.742,116.178,116.855
"33","26","  Foods, feeds, and beverages","B647RG3",21.841,24.006,24.076,25.793,31.601,39.584,40.832,42.961,52.546,52.974,58.796,69.56,66.827,61.741,61.273,62.871,60.179,65.588,65.126,68.145,66.551,67.982,70.652,70.509,70.344,76.409,79.913,78.221,78.922,76.418,73.901,73.162,71.116,71.947,75.042,78.861,83.554,86.676,93.376,102.945,100,109.134,125.244,123.996
"34","27","  Industrial supplies and materials, except petroleum and products","B649RG3",19.059,19.797,20.159,21.615,25.791,37.276,38.601,38.309,41.794,44.882,53.489,64.454,65.268,62.776,59.506,58.828,55.325,55.408,59.197,67.919,71.414,69.799,68.81,68.184,67.646,69.673,75.811,74.734,74.651,70.965,70.581,77.478,76.791,71.856,77.835,86.734,95.664,100.437,106.062,122.531,100,110.724,122.018,117.59
"35","28","    Durable goods","B820RG3",17.636,18.295,18.653,20.066,24.049,34.848,36.111,35.699,38.982,41.93,50.017,60.402,61.183,58.858,55.719,55.122,52.281,53.757,58.215,69.067,72.991,69.898,67.864,67.947,68.006,70.419,75.864,74.785,76.133,72.55,72.692,76.737,74.161,71.463,73.276,86.14,90.955,99.589,107.158,118.205,100,114.081,125.433,119.732
"36","29","    Nondurable goods","B696RG3",20.922,21.779,22.133,23.606,27.958,40.227,41.614,41.523,45.245,48.472,57.689,69.294,70.143,67.441,64.013,63.237,58.931,57.328,60.348,66.803,69.87,69.703,69.697,68.424,67.335,68.987,75.827,74.752,73.213,69.41,68.454,78.46,79.771,72.463,82.93,87.432,101.14,101.161,104.423,126.874,100,107.542,118.787,115.647
"37","30","  Petroleum and products","B648RG3",4.142,4.237,4.62,4.82,6.14,20.166,20.821,22.096,23.896,23.91,33.568,54.692,61.523,56.543,50.804,50.684,47.777,25.779,30.921,25.799,30.649,37.107,30.931,29.502,26.881,25.075,27.907,33.415,31.656,21.005,27.688,46.725,39.373,40.263,48.491,61.524,83.573,102.487,114.93,163.454,100,131.484,175.172,179.114
"38","31","  Capital goods, except automotive","B650RG3",107.91,120.478,132.52,141.59,160.249,178.703,194.645,194.216,207.17,221.378,230.751,251.363,250.841,238.629,224.421,207.285,186.714,193.208,200.096,208.426,202.446,194.202,187.987,180.624,175.885,173.255,169.003,147.874,130.813,121.033,115.712,113.089,109.767,106.183,104.788,103.426,102.722,101.854,101.412,101.908,100,99.247,99.467,99.669
"39","32","    Civilian aircraft, engines, and parts","B932RG3",14.228,15.025,15.665,15.963,16.636,18.514,19.678,22.127,24.313,26.145,29.16,32.718,35.759,39.119,41.157,42.223,43.251,43.965,42.941,44.433,46.487,48.822,54.251,55.579,57.22,58.932,60.382,63.031,65.405,66.519,67.709,70.11,72.892,74.412,76.24,78.758,81.751,84.958,89.303,94.636,100,102.657,106.686,112.326
"40","33","    Computers, peripherals, and parts","B852RG3",11523.347,10066.374,8557.423,7402.878,6680.202,5256.264,4805.103,4173.52,3608.735,3050.763,2643.968,2115.127,1948.102,1799.013,1498.474,1230.925,1094.976,925.664,779.326,736.068,681.574,647.39,571.891,503.099,453.016,412.959,378.408,324.858,280.742,232.736,202.888,191.016,173.243,159.556,148.996,139.29,128.324,118.847,112.295,105.945,100,98.082,93.227,91.634
"41","34","    Other","B853RG3",64.062,72.612,81.263,88.134,101.618,115.205,126.666,126.487,136.22,147.377,154.635,170.94,169.53,159.029,150.062,140.065,124.932,134.544,146.689,156.505,152.627,145.205,141.761,138.865,138.121,139.337,138.49,120.431,106.009,101.606,100.221,98.767,97.487,95.379,95.752,96.005,97.591,98.66,99.454,101.427,100,99.315,101.082,101.412
"42","35","  Automotive vehicles, engines, and parts","B651RG3",14.829,16.294,17.764,19.507,22.516,24.599,30.147,31.594,34.405,41.121,45.228,48.442,54.897,56.759,58.201,59.481,60.959,67.724,72.013,76.274,77.777,78.384,81.447,82.909,84.184,86.906,89.471,90.046,90.229,90.347,90.972,91.986,92.072,92.358,92.856,94.296,95.435,95.817,96.769,99.045,100,100.623,103.722,105.716
"43","36","  Consumer goods, except automotive","B652RG3",25.235,26.787,28.84,31.323,35.438,43.922,52.04,52.403,55.106,60.448,63.853,69.472,71.048,70.275,69.579,71.229,70.855,76.495,82.943,88.728,91.119,93.959,94.737,97.577,98.4,99.11,100.584,100.904,99.671,98.302,97.612,96.845,96.11,95.087,94.87,95.358,96.239,96.618,97.913,100.345,100,99.962,101.728,103.225
"44","37","    Durable goods","B697RG3",32.121,33.392,35.492,39.439,43.244,52.07,57.752,60.046,62.422,69.026,73.493,76.917,78.468,77.04,76.401,77.054,76.268,83.858,90.155,96.115,98.393,101.459,102.743,105.248,106.461,107.149,108.481,108.444,106.069,103.24,101.987,100.949,99.832,98.134,97.344,97.07,97.294,97.929,98.957,100.957,100,98.765,99.865,100.415
"45","38","    Nondurable goods","B698RG3",17.806,19.513,21.416,22.431,26.739,34.815,45.71,44.123,47.162,51.075,53.28,61.643,63.288,63.302,62.531,65.324,65.417,68.891,75.523,81.128,83.637,86.244,86.536,89.668,90.122,90.847,92.446,93.102,92.958,92.992,92.863,92.376,92.033,91.701,92.071,93.369,94.997,95.076,96.688,99.64,100,101.33,103.878,106.505
"46","39","  Other","B653RG3",20.711,22.241,23.108,25.01,29.113,36.203,41.092,41.412,45.292,49.735,54.714,60.74,62.756,61.79,61.047,60.954,59.352,62.062,66.508,71.594,73.425,74.61,75.806,76.976,77.941,79.86,82.963,83.051,82.558,82.151,81.953,83.243,82.91,82.076,83.771,86.36,89.411,91.43,93.134,102.239,100,102.697,106.78,108.171
"47","40","Imports of services \1\","B656RG3",17.763,18.396,20.062,21.061,24.362,28.972,31.321,32.736,35.063,38.248,43.194,50.129,52.305,52.343,51.485,50.602,50.54,56.011,56.808,59.575,59.259,63.696,66.022,67.871,68.445,69.784,71.962,73.756,73.754,72.315,74.812,75.36,75.426,77.223,82.212,86.11,89.55,92.703,96.477,102.227,100,102.849,105.713,105.895
"48","41","  Direct defense expenditures","B752RG3",8.246,8.447,9.619,9.931,11.983,13.95,15.915,17.224,19.698,22.886,26.697,31.93,32.029,32.143,31.008,29.994,30.121,35.231,41.205,46.095,45.729,54.008,54.409,56.404,55.065,56.664,62.808,62.552,57.427,55.782,58.671,54.512,55.617,58.443,70.052,77.936,83.366,86.981,96.858,103.537,100,97.971,103.536,98.961
"49","42","  Travel","B768RG3",21.474,21.961,24.155,25.75,29.915,36.062,40.113,40.291,42.499,46.799,53.279,58.92,61.501,56.019,52.46,50.009,48.562,55.116,52.578,56.062,56.621,59.231,61.857,65.573,66.015,68.556,69.787,71.875,71.637,68.767,70.424,69.412,67.806,70.464,75.63,81.121,86.623,90.044,97.325,104.21,100,101.964,104.595,104.298
"50","43","  Passenger fares","B769RG3",20.401,20.447,22.104,23.11,22.733,27.368,29.434,30.738,32.767,31.11,33.263,38.552,41.719,43.115,43.216,42.178,40.725,42.244,42.917,44.783,44.522,48.805,54.414,55.898,55.126,55.408,58.318,59.075,62.634,63.432,65.468,69.235,75.682,79.515,81.149,79.804,83.123,87.709,94.097,108.182,100,113.573,121.864,129.812
"51","44","  Other transportation","B770RG3",15.795,17.125,17.524,18.509,22.704,28.31,28.438,30.16,31.516,34.618,40.287,49.507,52.351,55.525,55.83,56.78,58.755,65.432,60.985,62.192,63.69,66.686,67.677,67.237,67.854,67.938,70.718,72.737,71.178,69.845,78.389,84.892,83.614,80.309,90.746,100.389,104.954,102.662,99.949,108.292,100,107.553,112.93,112.13
"52","45","  Royalties and license fees","B908RG3",18.499,19.456,20.59,21.464,22.812,25.023,27.298,29.047,31.26,33.692,36.857,40.856,44.526,47.182,49.258,51.353,53.175,54.74,56.739,58.898,61.521,64.414,66.815,68.705,70.443,71.994,73.793,75.41,76.746,77.37,78.558,80.562,82.194,83.429,85.364,87.98,91.226,94.276,97.035,100.254,100,101.54,104.13,105.89
"53","46","  Other private services","B909RG3",32.808,34.629,36.574,37.978,39.014,41.167,43.783,45.953,48.626,50.957,52.436,57.359,60.086,62.203,64.855,65.456,66.863,69.117,75.743,75.534,69.95,75.357,78.018,78.727,81.162,81.87,82.914,85.352,86.524,85.413,85.252,83.563,83.111,85.898,87.429,87.586,88.013,92.903,95.608,98.823,100,101.668,102.881,102.774
"54","47","  Other","B910RG3",19.12,19.825,21.382,22.523,24.975,28.622,31.516,32.627,34.75,37.84,42.167,46.641,49.964,49.196,48.844,48.851,49.123,52.89,52.795,55.476,57.162,59.803,62.224,64.801,65.902,67.833,69.394,71.306,71.755,70.675,72.914,74.872,74.216,74.958,79.307,84.255,91.685,94.563,98.484,103.763,100,101.683,105.343,106.256
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","48","  Exports of durable goods","B332RG3",44.932,47.026,48.116,49.085,52.492,62.081,71.644,76.443,79.939,84.862,94.45,104.524,113.944,116.65,115.002,114.125,109.512,107.526,107.588,111.123,111.889,110.425,110.736,109.195,108.443,107.705,106.251,101.842,98.78,96.528,95.297,95.679,95.59,95.001,95.043,96.536,98.247,100.693,101.572,102.346,100,102.115,104.898,105.542
"57","49","  Exports of nondurable goods","B339RG3",22.275,23.226,23.974,24.846,32.293,44.561,47.116,45.707,46.777,49.216,57.075,61.713,64.383,60.589,60.729,62.687,58.666,55.342,59.261,66.486,68.102,67.937,67.352,65.981,65.784,69.052,76.519,77.15,75.455,71.499,70.454,74.107,72.784,72.049,76.758,83.056,89.063,94.181,102.56,116.194,100,110.177,127.779,127.984
"58","50","  Exports of agricultural goods \2\","B181RG3",24.333,25.252,26.86,28.397,42.293,57.498,56.244,52.798,53.649,55.676,63.242,66.603,69.909,61.845,64.515,67.301,59.482,54.135,56.005,66.061,68.121,65.397,65.198,63.923,64.955,67.866,73.974,81.487,75.825,68.972,63.974,63.356,63.904,65.131,71.778,78.34,76.911,79.666,94.109,113.06,100,106.41,126.924,130.276
"59","51","  Exports of nonagricultural goods","B182RG3",28.447,30.18,31.054,32.017,34.823,43.569,50.432,53.445,56.521,59.738,68.115,76.599,83.771,87.814,89.79,94.531,93.259,91.002,93.25,97.919,98.968,98.396,98.315,96.773,96.004,96.699,98.346,94.525,92.328,89.914,89.158,90.883,90.255,89.4,90.627,93.527,97.193,100.607,102.919,106.621,100,104.892,111.651,111.886
"60","52","  Imports of durable goods","B333RG3",35.713,38.137,40.457,44.016,50.673,62.255,69.09,70.208,75.558,84.116,92.774,102.582,106.636,104.673,102.246,100.377,96.803,103.61,109.779,117.585,118.512,117.049,116.779,116.147,115.724,116.71,117.778,111.103,105.225,100.744,98.823,98.623,96.864,94.957,94.812,96.61,97.521,98.766,100.144,102.996,100,101.073,103.348,103.463
"61","53","  Imports of nondurable goods","B340RG3",10.762,11.494,11.942,12.674,15.425,28.729,30.486,31.575,34.879,35.781,44.959,63.513,67.934,63.817,59.896,60.363,57.677,48.652,53.162,53.502,57.02,61.178,58.365,58.04,56.61,56.886,60.511,63.003,61.871,55.91,58.501,68.6,65.324,64.439,70.061,77.092,89.521,97.57,104.216,128.823,100,114.573,135.015,136.629
"62","54","  Imports of nonpetroleum goods","B187RG3",30.61,32.799,34.378,37.114,43.373,54.687,60.307,61.148,66.999,73.151,81.095,91.614,94.039,91.696,89.515,88.811,85.628,90.757,96.044,103.066,104.335,103.926,104.09,103.997,103.677,105.143,107.246,102.635,98.507,94.897,93.313,94.064,92.802,90.807,91.936,94.047,96.436,97.55,99.403,104.329,100,102.115,105.863,106.05
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
