"","Table 5#8#4A# Price Indexes for Gross Government Fixed Investmen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72"
"25","18","          Residential","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","19","          Industrial","B834RG3",8.545,7.734,6.538,5.822,5.918,6.733,7.184,7.24,7.747,7.049,6.915,7.045,7.825,8.853,9.252,9.317,9.481,10.83,13.305,14.402,13.686,14.224,15.828,15.399,15.178,15.221,15.273,15.754,16.218,16.435,16.213,16.078,16.17,16.3,16.06,16.988,17.425,18.234,18.754,19.613,21.541,23.599,25.388,26.539,28.809,34.028,37.076,36.777,38.724,40.744,44.775,50.666,56.786,60.968,61.566,62.053,63.215,65.228,67.879,70.505,73.107,76.374,78.436,78.565,79.935,81.304,84.734,87.665,89.92
"27","20","          Educational \4\","B835RG3",5.222,5.222,3.569,3.234,3.393,3.569,3.569,3.569,4.524,4.524,4.524,4.85,4.85,4.85,6.176,6.176,6.061,6.794,9.697,10.867,10.028,9.945,10.867,12.225,12.538,11.644,12.074,12.419,14.021,13.9,14.304,14.86,14.832,14.948,15.175,15.086,15.404,15.823,17.475,18.199,20.299,21.078,23.629,25.053,27.158,29.867,33.034,34.173,37.105,40.398,44.861,49.696,54.446,57.776,59.492,61.854,63.771,65.556,67.482,71.05,73.729,75.923,77.047,77.503,80.111,83.228,86.435,88.542,89.92
"28","21","          Hospital","B836RG3",7.01,5.605,4.668,4,4.164,4.615,4.615,5.179,6.218,6.577,5.999,5.357,6.91,6.229,7.01,7.574,7.574,8.494,11.663,12.908,12.481,12.401,14.236,14.606,14.661,14.406,14.662,15.692,16.358,16.194,14.7,14.94,15.034,15.108,15.454,15.822,16.281,16.817,17.116,17.965,19.767,21.599,24.025,25.997,27.748,31.296,34.388,34.701,35.743,37.722,41.405,46.195,50.928,55.416,58.546,61.538,64.291,66.116,68.203,70.736,73.116,75.635,77.515,77.663,79.804,82.754,86.351,88.302,89.92
"29","22","          Other \5\","B837RG3",5.492,5.023,4.404,3.681,3.593,4.05,4.079,4.336,4.997,5.041,5.068,5.156,5.678,6.2,6.041,6.988,6.829,8.28,11.576,12.524,11.93,11.838,13.659,13.981,14.049,13.653,13.828,15.147,15.644,15.545,15.778,15.897,15.892,16.038,16.136,16.338,16.696,17.226,17.695,18.44,20.263,21.562,23.528,25.162,27.203,30.156,33.155,34.295,36.853,40.482,44.643,49.813,54.297,57.843,59.644,61.928,63.952,65.712,67.552,71.045,73.713,75.963,77.026,77.419,80.167,83.201,86.374,88.337,89.92
"30","23","        Highways and streets \6\","B838RG3",9.29,8.711,7.697,5.908,7.497,8.431,8.181,8.746,8.016,7.466,7.357,7.188,8.496,11.763,13.009,13.009,11.541,11.986,13.428,15.219,15.637,13.594,17.235,17.075,16.457,15.497,15.198,16.943,17.962,17.516,17.44,16.79,16.827,17.37,17.803,18.007,18.562,19.625,19.884,21.019,22.382,24.802,26.646,27.536,29.673,38.227,42.468,41.189,41.796,42.094,45.613,52.775,62.359,67.871,66.771,64.357,64.758,67.987,72.019,73.373,73.767,76.705,77.948,78,78.874,80.921,85.24,88.977,89.92
"31","24","        Conservation and development","B839RG3",6.838,6.678,6.217,5.27,5.946,6.724,6.556,7.19,7.497,7.611,7.431,7.391,7.549,7.42,7.674,8.01,8.611,9.956,11.726,12.776,13.082,12.435,13.215,14.113,14.517,14.394,14.194,15.206,16.35,16.178,16.331,16.295,16.541,16.857,17.142,17.505,17.939,18.504,19.327,20.23,21.4,23.041,24.867,26.685,28.277,30.998,36.611,39.71,42.059,44.658,48.604,53.919,59.277,63.395,64.709,65.493,66.63,67.548,68.428,70.063,72.799,75.646,78.033,79.256,80.537,83.136,86.043,88.441,89.92
"32","25","        Other \7\","B840RG3",7.906,7.403,7.077,6.169,8.743,8.743,9.995,6.707,7.774,9.052,10.603,10.162,9.598,6.831,7.483,4.618,6.363,10.603,12.631,14.352,14.352,13.816,13.393,14.257,14.257,14.354,14.684,16.37,16.999,16.693,16.691,16.318,16.424,16.709,16.909,17.047,17.563,18.422,18.979,19.848,21.181,23.103,24.918,26.819,28.714,34.514,38.625,39.02,41.123,42.776,46.568,52.94,59.722,65.069,64.819,64.169,65.146,67.151,69.825,71.282,72.898,75.583,77.501,78.059,79.121,81.496,85.091,88.087,89.92
"33","26","      Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","27","  State and local","B842RG3",7.346,6.887,6.152,4.91,5.715,6.741,6.472,7.043,7.157,7.113,6.935,6.909,7.671,9.015,9.725,9.49,9.382,10.246,11.958,13.392,13.147,12.642,14.572,14.987,14.888,14.431,14.405,15.849,16.542,16.257,16.298,16.061,16.1,16.426,16.681,16.877,17.34,18.068,18.641,19.52,20.911,22.765,24.603,26.03,28.22,33.72,37.314,38,39.384,41.739,45.821,51.681,57.646,61.491,62.161,62.484,63.607,65.798,68.414,70.47,72.224,74.607,75.613,76.069,78.052,80.575,84.063,86.672,89.541
"35","28","    New","B843RG3",7.369,6.903,6.169,4.916,5.762,6.805,6.527,7.108,7.211,7.164,6.982,6.944,7.713,9.082,9.795,9.54,9.398,10.244,11.94,13.379,13.13,12.609,14.553,14.967,14.863,14.398,14.363,15.827,16.534,16.245,16.288,16.041,16.086,16.42,16.678,16.869,17.332,18.062,18.635,19.507,20.902,22.801,24.661,26.077,28.262,33.855,37.472,38.126,39.466,41.773,45.843,51.72,57.723,61.595,62.263,62.545,63.658,65.843,68.46,70.504,72.236,74.629,75.646,76.097,78.046,80.548,84.04,86.673,89.549
"36","29","      Buildings","B844RG3",5.916,5.478,4.748,3.945,3.871,4.459,4.385,4.605,5.335,5.482,5.399,5.581,6.087,6.469,6.962,7.269,7.719,8.835,11.025,12.194,11.935,11.914,13.389,13.741,13.811,13.524,13.755,14.871,15.433,15.033,15.782,15.902,15.899,16.071,16.121,16.316,16.706,17.256,17.722,18.492,20.156,21.584,23.365,24.914,27.041,30.181,33.12,34.224,36.548,40.098,44.569,49.554,54.15,57.426,58.872,60.872,62.628,64.743,67.098,69.659,72.142,74.562,75.663,76.065,78.591,81.458,84.706,86.779,89.549
"37","30","        Residential","B845RG3",7.077,7.077,7.077,7.077,7.077,7.077,7.077,7.077,7.077,7.014,6.616,6.682,7.278,7.874,8.409,9.245,9.931,10.79,12.179,13.23,13.416,13.767,14.718,15.155,15.245,15.344,15.734,16.155,16.24,16.248,16.359,16.396,16.378,16.49,16.35,16.388,16.689,17.268,17.636,18.519,20.313,20.93,22.081,23.477,25.813,28.546,31.167,33.111,36.609,41.819,46.846,51.911,56.078,58.203,58.653,60.275,61.435,63.965,66.647,69.14,71.729,73.648,73.962,74.697,78.166,82.187,85.469,87.166,89.549
"38","31","        Industrial","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","32","        Educational \8\","B847RG3",5.428,5.026,4.358,3.621,3.552,4.092,4.024,4.229,4.897,5.033,4.965,5.162,5.632,5.898,6.303,6.503,6.899,8.105,10.691,11.887,11.567,11.487,13.048,13.38,13.446,13.104,13.318,14.457,15.044,14.613,15.419,15.546,15.545,15.722,15.793,15.998,16.386,16.929,17.387,18.13,19.754,21.243,23.058,24.606,26.669,29.742,32.693,33.789,36.086,39.615,43.97,48.922,53.337,56.704,58.434,60.77,62.768,64.959,67.277,69.826,72.267,74.586,75.617,76.034,78.592,81.714,84.883,86.81,89.549
"40","33","        Hospital","B848RG3",5.44,5.041,4.366,3.627,3.561,4.101,4.034,4.234,4.908,5.04,4.974,5.173,5.648,5.912,6.317,6.509,6.91,8.116,10.718,11.9,11.584,11.499,13.053,13.382,13.446,13.113,13.328,14.461,15.046,14.611,15.422,15.547,15.548,15.723,15.795,16.008,16.381,16.922,17.402,18.136,19.802,21.233,23.074,24.57,26.713,29.825,32.712,33.851,36.049,39.586,44.101,48.967,53.364,56.683,58.488,60.784,62.764,64.849,67.329,69.802,72.301,74.589,75.633,76.036,78.682,81.531,84.883,86.799,89.549
"41","34","        Other \5\","B849RG3",5.62,5.202,4.51,3.747,3.676,4.234,4.163,4.368,5.061,5.202,5.132,5.336,5.825,6.096,7.749,8.378,9.006,8.39,11.07,12.307,11.976,11.894,13.511,13.857,13.927,13.579,13.8,14.98,15.589,15.142,15.978,16.109,16.108,16.292,16.366,16.573,16.984,17.521,18.02,18.81,20.47,22.024,23.909,25.49,27.643,30.955,33.918,34.825,36.921,40.071,44.499,49.501,54.453,57.95,59.342,61.09,62.748,64.701,66.995,69.594,72.094,74.731,76.078,76.381,78.625,80.973,84.294,86.657,89.549
"42","35","      Highways and streets \9\","B851RG3",9.136,8.486,7.55,5.753,7.187,8.336,8.048,8.842,8.192,7.905,7.686,7.467,8.547,11.128,12.564,11.482,10.978,11.763,13.412,15.024,14.504,13.08,16.024,16.479,15.856,14.974,14.55,16.452,17.163,16.765,16.677,16.026,16.108,16.629,17.081,17.269,17.85,18.83,19.507,20.548,21.751,24.298,26.174,27.146,29.554,38.756,42.189,41.126,40.607,40.919,44.243,51.369,60.199,66.058,64.874,62.473,62.927,65.91,69.94,71.124,71.606,74.227,75.537,75.568,76.349,78.385,82.647,86.199,89.549
"43","36","      Conservation and development","B857RG3",6.9,6.703,6.162,5.235,6.238,7.111,7.115,7.314,7.847,7.854,7.849,7.775,7.916,8.165,8.72,9.326,9.862,10.285,11.689,13.116,13.525,12.754,13.531,14.391,14.781,14.567,14.292,15.387,16.527,16.48,16.159,16.06,16.266,16.47,16.739,16.963,17.387,17.943,18.63,19.443,20.536,21.895,23.634,25.449,27.043,30.4,36.254,38.829,41.263,43.738,47.984,52.827,58.009,62.249,63.475,64.254,65.36,66.262,67.071,68.733,71.547,74.131,76.446,77.709,79.012,81.534,84.282,86.797,89.549
"44","37","      Sewer systems","B858RG3",5.86,5.785,5.331,4.506,4.654,5.627,5.48,6.158,6.537,6.834,6.61,6.686,7.057,7.277,7.205,8.478,8.253,8.718,9.952,11.406,11.728,12.354,13.164,13.546,14.297,14.597,15.119,16.223,17.251,17.748,15.104,15.124,15.276,15.722,16.048,16.331,16.554,17.114,17.657,18.413,19.657,21.265,23.658,26.305,28.31,32.33,36.505,38.923,41.837,45.929,50.569,56.195,59.957,61.508,63.599,65.716,67.294,68.623,69.649,71.857,74.03,75.429,75.131,76.493,80.01,83.358,85.602,87.579,89.549
"45","38","      Water systems","B859RG3",6.064,5.983,5.515,4.66,4.811,5.821,5.669,6.372,6.759,7.064,6.831,6.913,7.302,7.536,7.451,8.771,8.534,9.006,10.277,11.777,12.113,12.76,13.607,14.007,14.789,15.101,15.646,16.784,17.849,18.365,17.99,18.157,18.255,18.139,18.084,17.906,18.42,18.88,19.175,19.986,20.794,22.035,23.905,25.77,27.643,32.091,38.282,40.317,41.828,45.968,50.683,56.135,59.956,61.518,63.596,65.828,67.294,68.616,69.676,71.849,73.988,75.425,75.123,76.399,80.078,83.357,85.595,87.594,89.549
"46","39","      Other \7\","B860RG3",7.299,6.95,6.676,5.981,6.679,9.814,8.07,8.904,9.668,9.666,9.315,9.111,9.733,10.364,9.25,8.834,9.376,10.847,12.432,13.995,13.941,12.8,14.662,15.363,15.226,14.717,14.333,15.826,16.717,16.516,16.555,16.373,16.238,16.45,16.702,17.09,17.486,18.239,19.049,19.821,21.21,23.376,25.065,26.346,28.203,34.941,39.819,40.672,41.664,43.119,47.319,52.804,58.653,62.41,63.339,63.441,63.999,65.242,66.929,69.922,72.077,75.272,76.933,77.495,78.493,79.855,83.334,86.455,89.549
"47","40","    Net purchases of used structures","B870RG3",6.127,5.88,5.199,4.355,4.205,4.748,4.746,4.979,5.602,5.67,5.618,5.866,6.439,7.147,7.756,7.941,8.402,9.584,11.899,12.931,12.911,13.043,14.327,14.718,14.855,14.801,15.086,15.9,16.179,15.995,15.994,16.016,15.917,15.996,16.206,16.476,16.933,17.605,18.164,19.168,20.409,21.091,22.373,23.985,26.222,29.002,31.824,33.623,36.593,40.993,45.766,50.921,55.181,57.875,58.603,60.479,61.987,64.394,66.941,69.424,71.953,74.021,74.697,75.289,78.409,81.693,85.01,86.695,89.216
"48","41","Equipment and software \2\","A871RG3",28.181,27.368,25.687,25.282,24.398,25.225,27.234,25.867,26.415,25.754,25.66,26.687,29.99,26.547,25.951,24.125,22.124,24.361,27.077,28.687,29.326,30.387,32.527,32.955,32.056,32.684,33.957,36.778,38.47,38.794,39.437,39.546,40.07,40.548,40.967,41.253,40.868,41.279,42.171,43.314,45.05,48.237,50.634,60.893,61.464,64.421,69.576,74.384,78.831,83.632,87.347,92.527,99.809,105.803,107.975,108.941,107.317,103.885,101.137,101.101,102.406,104.083,105.957,105.988,107.417,108.892,109.882,108.459,105.17
