"","Table 7#2#4B# Price Indexes for Motor Vehicle Output            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175"
"11","3","        Truck output","A716RG3",25.886,26.017,26.134,26.569,26.711,26.67,26.993,27.188,27.213,27.351,27.788,27.988,28.163,28.678,28.888,29.281,30.114,30.81,30.685,30.575,31.036,31.181,31.263,30.939,30.751,31.197,31.662,31.816,32.519,33.46,34.625,36.041,36.485,37.744,39.116,39.698,40.385,40.757,41.55,42.492,43.294,44.092,45.106,46.676,47.265,48.201,49.118,49.687,51.284,52.609,52.592,53.842,55.5,55.619,58.058,59.721,61.425,63.612,64.556,65.897,65.831,67.145,68.661,68.995,69.352,69.318,70.081,71.13,72.074,72.925,73.51,73.439,74.151,74.641,74.913,75.942,75.996,76.865,76.523,77.391,77.111,76.971,77.496,77.121,77.007,77.359,78.179,79.262,80.024,80.551,80.813,81.773,82.127,82.65,82.974,84.138,85.134,85.303,86.27,87.377,87.647,88.588,88.369,89.197,90.993,92.231,93.472,94.553,95.862,96.913,97.906,97.904,98.783,99.606,100.104,100.826,101.502,101.745,101.782,102.115,102.334,102.798,103.245,102.643,101.566,100.948,101.384,102.08,102.605,103.052,102.919,103.058,102.527,103.044,102.94,102.852,101.952,101.361,101.892,101.404,100.78,100.194,99.573,100.32,99.538,98.169,98.644,99.248,99.235,99.426,98.441,99.636,100.893,100.879,98.906,99.322,99.526,99.36,98.635,98.116,97.839,98.041,98.07,98.038,97.437,96.146,94.398,92.795,94.406,97.732,99.587,100.538
"12","4","Final sales of domestic product","AB60RG3",33.043,33.272,33.892,34.451,34.302,34.529,34.885,35.142,35.101,35.28,35.627,35.587,35.66,35.967,36.216,37.408,38.355,38.708,38.024,37.206,37.851,38.129,38.306,37.419,37.461,37.643,37.955,37.881,38.54,39.34,41.009,42.489,42.568,43.641,44.184,45.058,46.139,46.684,47.508,48.773,49.11,49.661,50.185,51.751,52.562,53.067,53.93,54.678,55.831,57.533,58.184,58.907,60.601,62.009,62.962,63.676,64.459,66.791,68.342,68.492,68.768,69.698,70.924,70.745,71.642,72.164,73.026,73.499,74.25,74.678,75.386,75.352,76.148,76.724,77.323,77.471,77.042,77.932,78.918,79.765,79.786,80.587,81.785,81.706,80.281,80.353,81.957,82.306,83.169,84.061,84.319,84.842,85.123,85.202,85.297,85.769,87.301,87.826,88.645,89.053,89.197,90.19,90.511,90.953,92.197,93.174,94.368,95.177,96.422,97.593,98.951,99.28,99.956,100.493,100.53,101.075,102.105,102.609,103.203,103.705,104.148,103.893,104.037,103.764,102.765,102.039,102.573,102.756,102.942,102.939,102.931,103.053,102.685,103.156,102.845,102.523,101.936,101.7,101.878,101.702,101.471,101.208,100.706,101.169,99.476,98.272,98.387,98.662,98.833,99.429,98.347,99.339,100.346,100.666,99.043,99.944,100.333,99.868,99.4,99.044,98.953,99.088,98.941,98.467,97.554,96.864,96.413,94.792,95.726,97.911,98.901,99.989
"13","5","  Personal consumption expenditures","AB61RG3",29.617,29.878,30.533,31.023,30.966,31.147,31.405,31.662,31.649,31.811,31.88,32.12,32.097,32.29,32.68,33.817,34.742,34.951,34.245,33.588,34.214,34.561,34.783,34.202,34.44,34.862,34.998,34.919,34.864,35.767,37.739,39.239,39.529,40.311,40.917,41.736,42.506,43.242,44.071,45.301,45.621,45.923,46.155,47.346,48.394,49.05,50.119,51.13,52.068,53.255,53.553,53.902,55.14,56.054,57.08,58.368,59.009,60.944,62.413,63.454,63.838,64.526,65.226,65.381,66.488,67.199,68.107,69.079,69.558,70.412,71.128,71.312,72.023,72.363,72.641,73.087,73.387,74.226,75.47,76.401,76.845,78.406,79.593,80.009,78.955,79.288,80.467,81.096,82.099,82.492,82.328,82.736,82.888,82.414,82.423,82.977,84.434,85.015,85.63,86,85.902,86.715,87.46,88.153,89.011,90.529,92.093,93.535,94.1,95.293,97.036,98.778,99.992,100.759,100.641,101.327,102.581,102.656,103.146,103.826,104.217,103.589,103.212,103.339,102.626,102.028,102.469,102.573,102.352,102.405,103.248,103.363,102.871,103.47,103.113,103.443,103.6,103.442,103.055,103.367,102.745,102.477,102.677,102.297,100.49,99.843,99.071,97.829,98.01,98.462,98.079,99.399,100.017,100.461,99.387,100.136,100.376,99.863,99.352,98.773,98.344,98.248,98.312,98.569,98.053,97.221,96.404,94.102,93.672,94.992,96.421,98.752
"14","6","    New motor vehicles","AB67RG3",35.25,35.439,35.966,36.479,36.47,36.637,36.879,37.196,37.036,37.247,37.469,37.733,37.741,37.888,38.337,39.777,40.675,40.697,39.8,38.975,39.705,39.874,40.117,39.28,39.417,39.774,39.992,39.843,39.986,40.965,42.762,44.181,44.475,45.636,45.99,46.896,47.78,48.158,48.674,49.774,50.119,50.524,51.156,52.835,54.009,54.386,55.223,56.457,57.707,59.014,59.798,60.559,62.15,63.431,64.716,65.338,65.462,67.445,68.538,69.363,69.556,70.179,70.862,70.797,71.409,71.825,72.34,73.039,73.519,74.011,74.54,74.941,75.891,76.479,77.016,77.581,78.273,79.573,80.826,81.592,81.631,82.076,82.806,83.213,82.81,83.278,84.196,84.719,85.138,85.458,85.541,86.441,87.227,87.054,87.231,88.423,90.071,90.674,91.169,91.669,92.323,93.073,93.587,93.991,94.624,95.463,96.45,97.273,98.086,99,100.112,100.651,101.059,101.804,102.162,102.719,103.191,103.613,104.194,104.697,104.893,104.71,104.533,104.305,104.173,103.887,104.244,104.016,104.014,103.974,104.019,104.041,103.663,104.281,104.057,103.55,103.556,103.433,102.961,103.341,102.068,101.432,101.392,101.665,100.576,100.232,100.078,99.818,99.642,99.805,98.889,99.702,100.704,100.593,99.092,99.611,99.819,99.551,99.323,98.73,98.414,98.417,98.266,98.156,97.728,97.354,96.93,95.357,95.987,97.828,98.169,99.848
"15","7","      Autos","A136RG3",36.842,37.045,37.598,38.134,38.112,38.294,38.55,38.881,38.707,38.933,39.17,39.438,39.445,39.599,40.071,41.577,42.519,42.548,41.617,40.745,41.508,41.685,41.943,41.04,41.206,41.579,41.811,41.627,41.798,42.809,44.705,46.144,46.486,47.7,48.058,48.978,49.942,50.339,50.875,51.979,52.36,52.815,53.502,55.159,56.505,56.841,57.674,59.009,60.314,61.679,62.494,63.285,64.944,66.286,67.63,68.241,68.344,70.418,71.561,72.433,72.635,73.298,74.012,73.931,74.514,74.969,75.522,76.177,76.629,77.096,77.608,77.958,78.878,79.457,79.974,80.479,81.222,82.527,83.78,84.887,84.965,85.52,86.458,86.818,86.391,86.951,88.038,88.54,88.718,89.137,88.912,89.799,90.36,89.929,90.021,90.983,92.688,93.401,93.753,94.24,94.773,95.404,95.985,96.438,96.833,97.513,98.276,99.069,99.79,100.597,101.628,102.179,102.633,103.177,103.193,103.601,104.14,104.471,105.097,105.287,105.202,105.071,104.764,104.361,104.246,103.923,104.196,103.825,103.593,103.155,103.034,102.987,102.966,103.413,103.44,102.994,102.899,102.848,102.481,102.702,102.061,101.497,101.218,101.364,100.14,99.77,99.457,99.105,98.986,99.35,98.633,99.252,100.058,100.155,99.449,100.339,100.938,100.792,101.06,100.838,100.575,100.559,100.53,100.3,99.939,100.085,100.982,99.649,99.833,100.841,100.883,102.839
"16","8","      Light trucks (including utility vehicles)","B704RG3",32.652,32.715,33.173,33.631,33.82,33.862,34.028,34.348,34.275,34.413,34.57,34.912,34.941,35.1,35.507,36.855,37.694,37.665,36.759,36.045,36.686,36.797,36.966,36.404,36.364,36.705,36.882,36.934,36.978,37.959,39.508,40.99,41.001,42.02,42.396,43.384,44.087,44.471,44.978,46.17,46.382,46.625,47.112,48.988,49.727,50.267,51.184,52.207,53.389,54.624,55.381,56.117,57.62,58.792,59.959,60.698,60.895,62.673,63.672,64.406,64.623,65.169,65.784,65.748,66.489,66.761,67.187,68.099,68.755,69.396,70.03,70.613,71.688,72.311,72.907,73.617,74.183,75.52,76.836,76.785,76.774,77.019,77.332,77.86,77.492,77.77,78.365,78.94,79.835,79.99,80.666,81.632,82.851,83.162,83.496,85.114,86.631,87.018,87.729,88.244,89.105,90.05,90.466,90.797,91.763,92.822,94.125,95.003,95.96,97.028,98.257,98.783,99.132,100.119,100.894,101.631,102.019,102.545,103.075,103.923,104.432,104.198,104.152,104.099,103.945,103.695,104.13,104.035,104.244,104.569,104.771,104.862,104.15,104.932,104.478,103.919,104.012,103.83,103.276,103.771,102.061,101.377,101.496,101.85,100.852,100.527,100.463,100.253,100.045,100.088,99.054,99.972,101.086,100.842,98.861,99.137,99.068,98.72,98.135,97.28,96.928,96.94,96.7,96.656,96.158,95.326,93.765,92.002,92.957,95.353,95.919,97.375
"17","9","    Net purchases of used autos and used light trucks","W240RG3",15.008,15.4,16.275,16.671,16.515,16.732,17.025,17.124,17.467,17.503,17.198,17.376,17.29,17.575,17.802,18.195,19.095,19.786,19.571,19.362,19.715,20.593,20.76,20.902,21.468,22.139,22.034,22.174,21.581,22.305,24.792,26.488,26.763,26.58,27.812,28.391,28.828,30.62,32.403,34.144,34.492,34.523,33.427,33.122,33.804,35.444,37.41,37.722,37.653,38.517,37.351,36.494,36.798,36.776,37.14,40.168,42.231,44.046,46.553,48.223,49.196,50.14,50.923,51.732,54.495,56.28,58.715,60.771,61.264,63.485,64.855,64.336,64.286,63.813,63.187,63.23,62.241,61.546,62.84,64.435,66.259,71.66,74.424,74.823,71.693,71.557,73.586,74.567,77.509,78.135,77.149,76.103,74.489,73.135,72.713,71.733,72.856,73.437,74.326,74.439,72.779,73.712,74.924,76.223,77.552,80.472,83.285,86.148,86.169,87.945,91.015,95.266,98.073,98.847,97.781,98.698,101.48,100.897,101.217,102.192,102.903,101.541,100.83,101.615,99.884,98.723,99.332,99.964,99.396,99.621,101.809,102.106,101.411,101.996,101.412,103.326,103.809,103.606,103.362,103.472,104.337,104.797,105.46,103.661,100.329,99.029,96.814,93.301,94.329,95.46,96.278,98.715,98.505,100.142,100.064,101.289,101.562,100.521,99.419,98.88,98.243,97.948,98.431,99.382,98.646,96.931,95.408,91.939,89.973,90.555,93.697,97.137
"18","10","      Used autos","A137RG3",13.987,14.372,15.219,15.596,15.438,15.648,15.928,16.019,16.354,16.385,16.087,16.254,16.169,16.445,16.659,17.016,17.876,18.554,18.362,18.174,18.505,19.366,19.525,19.679,20.241,20.898,20.789,20.928,20.336,21.028,23.454,25.094,25.367,25.154,26.362,26.906,27.316,29.084,30.852,32.566,32.92,32.948,31.812,31.415,32.042,33.64,35.515,35.765,35.704,36.439,35.288,34.556,34.824,34.752,35.019,37.85,39.791,41.537,43.845,45.357,46.275,47.082,47.758,48.522,51.282,53.068,55.365,57.216,57.567,59.663,60.998,60.443,60.306,59.908,59.466,59.51,58.447,58.015,59.794,61.744,63.816,69.602,72.552,72.899,69.059,68.732,71.115,72.199,75.478,76.347,75.626,74.362,72.195,70.63,70.149,69.088,70.472,70.987,72.002,72.209,70.733,72.43,74.28,76.05,76.862,79.485,82.481,84.833,85.144,87.062,90.663,94.572,97.49,98.311,96.959,97.487,100.195,100.113,100.856,102.13,104.129,100.985,99.742,100.872,99.387,97.944,98.793,99.181,98.573,98.789,101.047,101.581,100.74,101.217,100.007,101.859,102.19,102.104,102.067,102.338,103.055,104.179,105.042,103.566,99.701,98.371,95.849,92.468,93.802,95.729,96.605,98.843,97.651,99.931,100.163,102.255,102.031,100.183,98.926,98.781,98.636,98.513,98.286,98.586,97.764,96.676,96.097,91.146,88.801,88.56,90.187,93.5
"19","11","      Used light trucks (including utility vehicles)","W241RG3",24.707,24.757,25.103,25.438,25.571,25.6,25.735,25.973,25.893,26.05,26.166,26.419,26.43,26.537,26.8,27.813,28.471,28.449,27.797,27.231,27.731,27.835,27.975,27.545,27.514,27.777,27.904,27.923,27.939,28.669,29.844,30.96,30.996,31.771,32.07,32.844,33.421,33.72,34.1,34.992,35.106,35.28,35.651,37.109,38.107,39.229,41.219,42.19,42.035,44.194,43.466,41.631,42.164,42.675,43.843,47.66,50.163,51.964,55.486,58.123,59.25,61.137,62.78,63.822,65.434,66.681,69.675,72.862,74.298,76.937,78.226,78.204,78.871,77.879,75.951,75.832,75.325,73.098,72.092,72.021,72.531,75.923,77.619,78.074,78.191,78.757,79.348,79.92,81.63,81.432,79.688,79.337,79.355,78.587,78.339,77.59,78.013,78.755,79.314,79.173,77.05,76.067,75.744,75.938,78.479,82.088,84.446,88.497,87.837,89.244,90.917,96.057,98.589,99.247,98.833,100.546,103.375,101.776,101.263,101.737,100.235,102.041,102.195,102.423,100.262,99.488,99.724,100.686,100.174,100.415,102.515,102.534,102.029,102.751,102.883,104.869,105.536,105.192,104.7,104.635,105.654,105.393,105.848,103.725,100.948,99.684,97.779,94.131,94.849,95.196,95.957,98.588,99.332,100.345,99.969,100.354,101.111,100.837,99.88,98.99,97.939,97.508,98.557,100.034,99.377,97.156,94.873,92.557,90.877,92.086,96.413,99.951
"20","12","  Private fixed investment","AB62RG3",30.229,30.311,30.51,30.958,30.922,31.183,31.408,31.795,31.654,31.854,32.435,32.626,32.956,33.142,33.472,34.392,35.233,35.619,35.334,35.009,35.712,35.923,36.15,35.374,35.035,35.531,36.126,36.39,37.267,38.195,39.316,40.507,41.264,42.438,42.539,43.395,44.422,44.498,45.249,46.26,46.645,47.429,48.934,51.035,52.233,52.643,53.385,53.996,55.624,56.896,57.569,59.319,61.119,62.435,64.297,64.752,65.184,67.338,67.713,68.501,68.057,68.622,69.395,69.359,69.671,69.482,69.478,69.724,70.013,70.108,70.163,70.235,70.817,71.722,72.59,74.198,75.218,77.247,77.727,79.529,79.249,78.512,78.518,78.387,78.449,79.034,80.059,81.376,81.117,81.804,82.225,83.954,83.837,84.047,84.665,86.708,88.401,88.537,89.028,90.78,91.64,91.705,90.809,91.061,92.015,91.792,91.632,91.972,94.118,95.078,95.052,93.398,92.544,92.793,93.472,93.757,93.519,94.616,95.465,95.574,95.512,96.047,97.446,96.832,95.691,95.168,95.438,96.004,97.299,97.248,95.579,95.493,95.7,95.573,95.71,94.308,92.395,92.028,93.781,92.738,93.901,93.715,91.616,94.393,94.471,92.817,95.595,101.254,101.119,101.818,100.005,99.57,100.703,100.753,98.833,99.711,100.047,99.93,99.9,100.329,101.057,101.787,101.381,100.295,99.314,99.475,100.754,102.037,108.189,113.704,111.366,104.499
