"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"22","15","  Power and communication","W003RG3",5.663,5.354,5.062,4.489,4.467,4.873,4.997,5.192,5.563,5.546,5.516,5.638,6.017,6.457,6.715,6.735,6.899,7.899,9.385,10.377,10.843,11.287,12.262,12.525,13.137,13.363,13.692,14.88,15.643,15.813,16.157,16.249,16.21,16.041,16.1,16.141,16.524,16.929,17.45,18.329,19.189,20.667,22.059,23.233,24.989,29.133,32.897,34.978,37.708,40.041,44.313,48.658,52.063,54.49,55.177,55.502,56.202,56.151,56.707,59.224,62.617,64.497,65.069,65.887,67.648,70.108,72.96,74.866,76.484,77.344,77.624,80.127,82.442,84.316,86.324,92.68,100,109.568,114.634,122.152
"23","16","    Power","W028RG3",4.356,4.2,4.007,3.578,3.576,3.948,4.048,4.219,4.57,4.605,4.57,4.647,4.962,5.309,5.489,5.505,5.603,6.48,7.597,8.573,9.016,9.467,10.276,10.493,11.077,11.279,11.542,12.652,13.512,13.72,14.004,14.002,13.863,13.825,13.769,13.763,14.076,14.29,14.647,15.497,16.231,17.294,18.931,20.037,21.553,25.195,29.233,31.254,33.663,35.713,39.322,43.015,46.887,49.579,51.056,52.355,52.84,53.012,53.809,57.324,59.58,61.461,62.008,63.083,65.023,67.949,69.979,71.092,72.6,73.98,75.126,78.23,80.44,82.602,84.481,91.501,100,106.118,111.36,121.456
"24","17","      Electric","B571RG3",4.708,4.537,4.33,3.872,3.861,4.27,4.374,4.559,4.935,4.976,4.941,5.023,5.36,5.738,5.934,5.948,6.051,6.294,7.375,8.046,8.491,8.951,9.958,10.129,10.718,11.033,11.368,12.444,13.22,13.538,13.821,13.82,13.594,13.652,13.764,14.103,14.61,14.666,15.231,16.303,16.923,18.051,19.8,20.985,22.733,26.737,31.139,33.225,35.745,37.623,41.665,45.705,49.519,52.08,53.732,55.041,55.666,56.294,56.918,60.732,62.954,65.058,65.401,66.539,68.7,71.406,73.796,75.171,76.645,78.193,78.986,82.187,84.705,87.133,88.855,93.933,100,106.89,115.122,124.096
"25","18","      Other power","W029RG3",3.811,3.676,3.506,3.127,3.132,3.452,3.542,3.692,4.001,4.029,3.992,4.062,4.343,4.642,4.798,4.814,4.902,6.521,7.653,9.047,9.466,9.889,10.447,10.721,11.276,11.279,11.414,12.536,13.5,13.5,13.776,13.773,13.771,13.592,13.272,12.727,12.728,13.183,13.182,13.637,14.545,15.455,16.82,17.73,18.638,21.366,24.546,26.363,28.476,31.234,33.534,36.289,40.427,43.646,44.557,45.936,45.941,44.555,45.936,48.694,50.993,52.371,53.288,54.206,55.654,58.889,60.206,60.864,62.35,63.403,65.02,67.861,69.138,70.549,72.837,84.976,100,104.052,102.108,114.788
"26","19","    Communication","B314RG3",11.184,10.16,9.397,8.171,8.035,8.465,8.679,8.907,9.119,8.693,8.734,9.138,9.729,10.531,11.184,11.229,11.819,13.1,16.088,16.902,17.312,17.312,18.884,19.321,19.663,19.916,20.5,21.715,21.786,21.678,22.237,22.788,23.277,22.479,23.091,23.34,23.952,25.181,26.413,27.022,28.251,31.322,31.321,32.554,35.009,40.538,42.379,44.223,47.825,50.926,57.139,63.348,64.591,65.831,63.966,61.486,62.729,62.108,62.106,62.726,68.314,70.178,70.798,70.803,71.972,73.208,77.817,81.223,83.027,82.994,81.891,83.528,86.027,87.384,89.652,94.562,100,114.587,119.336,120.989
"27","20","  Mining exploration, shafts, and wells","E318RG3",2.669,2.601,3.092,2.463,2.98,2.101,2.593,2.177,2.799,2.615,2.567,2.473,2.54,2.855,3.561,3.941,4.132,3.924,4.217,4.69,4.569,4.544,5.148,5.279,5.312,5.166,5.252,5.71,5.935,5.777,5.988,5.919,5.775,5.887,5.682,5.689,5.807,6.173,6.397,6.699,7.018,7.436,7.676,8.253,8.77,10.938,13.358,14.482,17.061,20.125,23.326,23.879,31.853,36.325,29.407,26.977,27.026,25.904,22.061,24.216,25.391,26.413,27.961,25.86,26.002,26.436,28.587,29.907,33.926,38.634,37.462,38.947,48.126,57.539,64.076,74.335,100,129.399,146.745,147.142
"28","21","    Petroleum and natural gas","B319RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.689,3.929,4.37,4.258,4.234,4.796,4.919,4.95,4.814,4.894,5.321,5.53,5.384,5.592,5.524,5.383,5.49,5.279,5.279,5.384,5.733,5.943,6.223,6.502,6.887,7.062,7.586,8.042,10.208,12.655,13.809,16.499,19.629,22.834,23.232,31.407,35.954,28.748,26.189,26.188,24.971,20.976,23.106,24.246,25.237,26.798,24.606,24.679,25.036,27.186,28.503,32.584,37.312,36.039,37.457,46.658,56.331,63.048,73.488,100,130.496,148.517,148.841
"29","22","    Mining","B320RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.102,8.816,9.816,9.548,9.492,10.765,11.043,11.096,10.802,10.98,11.927,12.403,12.053,11.949,11.934,11.896,12.04,12.264,12.517,12.93,13.414,13.833,14.522,15.613,16.596,18.007,19.482,21.047,23.381,25.672,26.578,28.38,31.075,34.493,38.407,41.885,44.532,45.911,47.685,49.225,50.937,52.816,54.765,56.704,58.493,59.338,59.694,61.697,64.041,66.603,68.106,70.294,72.852,75.952,79.335,82.87,84.45,86.985,92.459,100,108.574,113.698,115.525
"30","23","  Other structures","W004RG3",5.577,5.246,4.66,4.182,4.061,4.204,4.186,4.304,4.769,4.687,4.676,4.751,5.075,5.648,5.919,5.918,6.218,6.948,8.615,9.638,9.512,9.605,10.691,11.016,11.23,11.107,11.358,12.29,12.794,12.581,12.507,12.5,12.452,12.6,12.808,13.045,13.449,13.932,14.353,15.09,16.19,17.23,18.648,20.049,21.603,24.536,27.233,28.238,30.344,32.631,36.054,40.15,43.972,46.887,48.462,49.954,51.343,52.769,54.636,56.552,58.404,60.289,61.328,61.845,63.746,65.966,68.546,70.287,72.416,74.808,77.637,80.873,84.305,86.106,88.439,93.253,100,107.202,112.432,115.011
"31","24","    Religious","C309RG3",4.413,4.071,3.556,2.979,2.859,3.112,3.165,3.374,3.925,3.927,3.943,4.022,4.31,4.809,5.203,5.489,5.613,6.59,8.839,9.842,9.574,9.518,10.794,11.073,11.126,10.831,11.009,11.959,12.436,12.085,11.981,11.966,11.928,12.073,12.297,12.551,12.965,13.451,13.871,14.561,15.655,16.64,18.056,19.534,21.104,23.444,25.741,26.649,28.456,31.159,34.586,38.511,41.998,44.651,46.034,47.813,49.358,51.073,52.958,54.912,56.857,58.651,59.497,59.855,61.863,64.213,66.782,68.285,70.485,73.104,76.175,79.548,83.093,84.627,87.204,92.51,100,108.574,113.698,115.525
"32","25","    Educational and vocational","W044RG3",4.461,4.121,3.595,3.02,2.901,3.164,3.206,3.423,3.968,3.983,3.979,4.058,4.37,4.87,5.269,5.559,5.726,6.682,8.954,9.969,9.698,9.641,10.934,11.216,11.27,10.971,11.152,12.114,12.597,12.242,12.136,12.121,12.082,12.229,12.456,12.713,13.132,13.624,14.05,14.749,15.858,16.856,18.289,19.786,21.377,23.747,26.074,26.994,28.824,31.562,35.033,39.008,42.541,45.229,46.629,48.431,49.996,51.734,53.643,55.622,57.592,59.409,60.266,60.628,62.663,65.043,67.646,69.173,71.392,74.337,77.369,80.547,83.512,86.021,87.988,92.765,100,106.598,114.007,119.328
"33","26","    Lodging","W045RG3",4.669,4.382,3.727,3.195,3.191,3.526,3.517,3.671,4.158,4.123,4.133,4.339,4.664,5.143,5.552,5.663,5.892,6.83,8.926,9.72,9.551,9.532,10.63,10.957,11.102,10.841,11.201,11.994,12.388,12.176,12.043,12.018,11.978,12.14,12.365,12.605,13.017,13.514,13.945,14.7,15.802,16.884,18.288,19.686,21.232,23.895,26.52,27.432,29.333,31.718,35.006,39.023,42.757,45.569,46.768,48.26,49.767,51.403,53.332,55.107,56.992,58.855,59.862,60.422,62.094,64.315,66.934,68.46,70.606,72.948,76.065,79.426,82.966,84.499,87.07,92.525,100,108.574,113.698,115.525
"34","27","    Amusement and recreation","W046RG3",4.675,4.388,3.732,3.199,3.195,3.53,3.521,3.675,4.163,4.128,4.138,4.344,4.67,5.15,5.559,5.67,5.899,6.838,8.937,9.731,9.563,9.543,10.643,10.971,11.116,10.854,11.214,12.009,12.403,12.191,12.058,12.032,11.993,12.155,12.38,12.62,13.033,13.531,13.961,14.717,15.822,16.904,18.311,19.71,21.258,23.924,26.552,27.465,29.369,31.757,35.048,39.07,42.809,45.624,46.825,48.318,49.827,51.465,53.396,55.173,57.061,58.926,59.934,60.495,62.169,64.392,67.014,68.542,70.691,73.036,76.156,79.522,83.065,84.6,87.176,92.497,100,108.574,113.698,115.525
"35","28","    Transportation","W047RG3",6.233,5.894,5.359,5.034,4.839,4.774,4.732,4.829,5.351,5.183,5.233,5.333,5.631,6.161,6.268,6.101,6.392,6.913,8.306,9.498,9.626,10.128,10.871,11.271,11.821,12.17,12.57,13.563,14.217,14.395,14.66,14.766,14.589,14.588,14.602,14.716,14.96,15.256,15.554,16.374,17.3,18.159,19.508,20.601,21.987,26.838,30.673,32.227,35.524,36.768,40.513,44.695,48.733,51.949,55.905,57.896,58.768,58.16,58.985,61.72,63.28,64.768,65.897,66.494,70.741,72.988,75.066,78.011,79.742,81.641,83.462,86.096,89.805,91.817,94.299,97.389,100,103.327,106.049,109.448
"36","29","      Air","W048RG3",4.678,4.391,3.734,3.201,3.197,3.533,3.523,3.678,4.166,4.131,4.141,4.347,4.673,5.153,5.563,5.674,5.904,6.843,8.943,9.738,9.57,9.55,10.65,10.978,11.124,10.862,11.222,12.017,12.412,12.2,12.066,12.041,12.001,12.164,12.389,12.629,13.042,13.54,13.971,14.728,15.833,16.916,18.324,19.724,21.273,23.941,26.571,27.485,29.39,31.779,35.073,39.098,42.839,45.656,46.858,48.352,49.862,51.502,53.434,55.212,57.102,58.968,59.976,60.538,62.213,64.438,67.062,68.581,70.74,73.102,76.188,79.589,83.134,84.662,87.254,92.522,100,108.574,113.698,115.525
