"","Table 5#4#3# Real Private Fixed Investment in Structures by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"42","35","Residential","B012RA3",10.209,6.152,5.124,2.672,2.144,2.954,4.161,5.289,5.747,5.817,8.297,9.352,9.901,4.968,2.982,2.583,3.016,12.706,16.307,19.577,18.091,24.794,20.715,20.34,21.053,22.82,26.527,24.283,22.767,22.982,28.873,26.813,26.887,29.485,32.961,34.868,33.757,30.66,29.658,33.664,34.575,32.383,41.398,48.736,48.284,38.065,33.055,41.03,49.964,53.083,50.99,39.956,36.664,29.848,42.525,48.884,49.576,55.714,56.796,56.158,54.402,49.627,44.781,51.115,55.37,60.869,58.82,63.622,64.859,69.852,74.163,74.828,75.226,79.187,85.717,94.116,100,92.54,75.144,57.694
"43","36","  Permanent site","B943RA3",13.834,7.417,6.749,3.043,1.915,2.223,4.224,6.758,7.567,7.909,11.017,12.224,13.33,6.096,2.987,2.195,2.448,14.398,19.149,23.757,22.429,33.001,26.352,24.826,25.641,28.195,33.316,28.843,26.221,26.89,34.25,30.259,30.094,34.32,38.932,41.554,39.733,34.863,33.233,39.051,40.179,36.346,48.977,59.25,58.976,42.671,32.667,42.937,55.402,57.946,54.223,38.093,35.134,27.384,44.747,52.577,51.899,57.933,58.71,56.6,55.203,49.863,42.923,50.055,53.43,59.825,55.881,61.126,61.457,67.292,72.292,72.877,73.305,76.257,83.717,93.407,100,91.267,68.037,45.22
"44","37","    Single-family structures","B944RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.115,31.934,28.233,26.753,28.535,30.469,33.431,32.667,29.092,28.511,31.344,29.76,25.855,35.892,42.663,41.733,32.029,29.244,40.722,52.317,54.039,47.887,31.485,28.646,21.976,38.14,44.257,43.876,50.227,54.257,53.605,52.065,47.319,41.467,50.362,55.152,61.034,55.406,60.53,60.335,66.925,71.857,72.658,72.763,75.582,83.64,93.677,100,90.221,65.487,41.462
"45","38","    Multifamily structures","B292RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.772,49.879,43.887,55.29,80.402,107.915,107.194,96.351,80.782,70.17,101.373,126.107,123.433,157.088,196.686,202.209,130.199,58.073,56.25,74.578,84.013,102.615,91.871,88.356,72.021,98.614,120.52,117.406,120.888,95.373,81.384,81.179,70.822,54.578,46.382,37.393,48.314,59.885,66.212,71.333,70.535,76.129,74.849,78.09,82.212,84.38,90.931,100,100.655,90.44,77.014
"46","39","  Other structures","A863RA3",4.672,4.224,2.645,2.105,2.491,4.066,4.055,3.027,2.948,2.606,4.116,4.932,4.633,3.222,2.962,3.168,3.878,10.05,11.907,13.154,11.451,12.32,12.114,13.458,14.013,14.587,16.147,17.268,17.426,16.953,20.594,21.45,21.883,22.019,23.765,24.588,24.552,24.18,24.147,25.346,25.921,26.209,29.779,32.659,31.93,31.075,33.696,38.176,41.735,45.753,46.199,43.099,39.268,33.875,39.31,43.424,46.23,52.557,54.116,55.745,53.428,49.498,47.805,52.974,58.575,62.725,63.612,67.746,70.398,74.076,77.294,78.09,78.44,84.041,89.054,95.309,100,94.712,87.353,79.035
"47","40","    Manufactured homes","B945RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.093,4.089,4.837,2.476,2.937,3.129,5.029,5.163,5.624,9.175,13.628,14.741,14.456,16.318,15.99,15.857,20.102,25.753,35.247,42.718,47.632,54.195,76.867,97.121,92.8,126.362,161.231,170.997,118.48,80.7,96.916,115.718,119.432,119.909,99.495,102.029,96.299,124.291,125.958,120.273,103.767,101.485,95.644,89.365,83.175,72.42,90.409,114.721,138.968,158.386,175.006,180.963,189.287,179.422,135.691,108.4,113.479,92.67,89.988,100,79.145,64.906,53.131
"48","41","    Dormitories","B295RA3",117.448,98.292,38.048,26.687,23.648,27.479,30.914,35.01,42.408,38.048,45.711,44.126,42.672,21.006,5.813,8.852,13.343,44.654,31.707,36.199,42.672,39.634,40.03,37.784,54.034,59.847,66.717,85.741,95.649,122.336,129.999,126.319,170.72,279.845,241.126,297.015,321.568,297.44,233.091,190.918,149.296,97.637,66.201,39.77,45.727,35.541,59.193,32.612,14.216,21.825,12.314,16.619,31.436,39.345,48.756,58.066,51.959,57.666,82.594,76.287,79.09,88.902,30.935,40.246,59.468,34.439,49.957,57.466,76.861,90.631,115.618,117.597,128.349,122.697,133.968,117.278,100,126.509,176.007,236.393
"49","42","    Improvements","B946RA3",5.714,5.263,3.332,2.452,3.442,4.279,5.448,6.119,6.024,5.387,5.803,5.874,6.031,3.391,2.241,2.843,4.574,14.557,18.14,21.041,18.583,19.795,19.176,20.823,21.789,22.093,24.131,25.607,26.872,26.456,29.861,31.85,32.48,29.86,30.934,30.918,30.169,30.925,31.288,30.549,30.09,31.153,32.675,33.295,30.658,33.169,37.614,41.063,42.886,47.655,48.885,49.542,45.926,39.76,41.962,47.366,50.643,60.707,63.511,64.336,62.552,57.494,55.02,60.863,68.551,72.494,72.444,75.571,76.961,77.872,81.114,83.805,85.652,91.242,95.459,97.327,100,99.525,96.192,92.045
"50","43","    Brokers' commissions on sale of structures","B758RA3",3.918,3.44,2.635,2.615,2.174,5.42,3.718,3.015,2.869,2.526,2.698,3.317,3.297,3.178,3.387,3.986,4.321,6.537,5.575,4.498,4.555,5.392,5.734,6.517,6.638,7.634,8.334,7.839,7.451,8.45,10.817,9.867,10.073,11.827,13.777,14.372,14.718,13.258,13.224,14.848,14.573,15.595,20.509,23.473,23.896,22.343,24.251,29.736,35.444,38.655,37.333,29.814,24.48,20.133,28.617,31.33,35.02,39.268,38.736,40.071,37.657,35.886,36.795,39.708,40.862,42.352,42.88,47.814,52.594,60.564,64.908,64.478,65.462,72.791,81.31,93.459,100,89.5,76.539,61.851
"51","44","    Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","45","  Private fixed investment in new structures \5\","W040RA3",18.388,13.749,9.753,5.568,4.359,4.998,6.466,8.865,10.486,9.374,11.22,12.482,13.996,7.554,4.754,5.371,6.983,18.901,21.532,25.081,23.722,29.883,27.348,26.908,28.483,30.219,33.916,33.857,32.811,32.244,36.785,36.427,36.799,39.438,42.064,45.347,47.466,46.77,45.4,48.663,50.651,49.027,55.236,61.316,62.913,54.501,47.388,53.441,60.658,66.469,68.723,63.004,63.917,58.629,63.193,72.475,75.353,75.434,75.304,74.564,74.226,71.3,63.364,66.059,69.139,73.652,73.911,78.968,81.837,86.934,89.861,93.161,92.397,87.873,90.684,95.909,100,98.93,93.646,87.575
"54","46","    Nonresidential structures","A771RA3",33.637,28.82,18.631,11.478,8.893,9.992,11.064,14.493,18.355,14.751,15.669,17.828,20.906,12.906,9.383,12.268,16.112,29.573,28.265,30.68,30.048,32.387,35.032,34.879,37.985,39.291,41.533,46.767,46.579,44.024,45.321,48.998,49.85,52.32,52.924,58.291,67.087,71.375,69.348,70.326,74.2,74.587,73.537,75.854,81.926,80.062,71.636,73.417,76.291,87.259,98.45,104.282,112.739,110.843,98.956,112.69,120.627,107.45,104.368,104.953,107.103,108.829,96.817,90.99,90.326,91.883,97.671,103.055,110.157,116.233,116.381,125.413,122.388,101.864,98.022,98.827,100,109.315,125.779,138.574
"55","47","    Residential structures","A756RA3",11.348,6.696,5.624,2.788,2.232,2.66,4.357,6.308,6.868,6.943,9.24,10.098,10.908,5.147,2.653,2.248,2.854,13.725,17.992,21.946,20.302,27.959,23.203,22.646,23.489,25.377,29.63,27.136,25.692,26.103,32.163,29.854,29.989,32.67,36.244,38.466,37.275,34.139,33.107,37.44,38.484,35.886,45.731,53.722,53.028,41.247,34.793,43.163,52.695,55.855,53.54,41.951,38.972,31.764,45.094,52.127,52.439,59.186,60.512,59.128,57.565,52.341,46.465,53.389,58.292,64.23,61.761,66.63,67.378,71.971,76.302,76.71,77.086,80.726,86.933,94.395,100,93.228,75.282,57.592
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Includes all financial buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
