"","Table 7#2#3A# Real Auto Output, Quantity Indexes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"13","5","    Net purchases of used autos","B137RA3",19.119,17.826,19.509,25.002,27.018,25.656,30.674,36.337,36.128,43.227,41.011,37.157,36.679,37.991,52.443,55.547,51.166,48.3,46.904,48.174,53.331,57.199,50.858,53.319,48.199,45.966,47.568,44.185,57.186,-32.773,42.016,93.211,74.548,46.85,30.827,31.317,37.088,44.073,56.695,55.062,57.17,55.041,49.673,51.277,52.468,56.977,56.304,58.722,43.718,51.277,46.441,54.907,39.377,51.922,49.366,51.459,52.86,44.955,44.997,43.059,45.55,44.426,48.998,41.122,45.969,44.851,51.685,43.349,47.616,45.054,44.004,47.216,44.287,49.585,54.638,49.848,51.804,50.61,46.625,47.909
"14","6","  Private fixed investment","B280RA3",10.869,11.897,10.665,12.279,12.941,11.219,11.371,11.77,11.972,14.61,14.835,14.89,16.098,16.652,20.084,18.448,17.232,13.925,12.222,10.681,10.324,10.655,8.09,13.517,15.407,17.018,18.46,17.765,16.088,14.408,16.864,18,20.959,22.369,22.24,19.356,16.194,14.726,13.61,15.086,16.039,16.105,16.353,17.465,12.447,11.461,11.262,13.096,15.753,16.988,19.139,15.826,19.503,17.634,17.703,15.627,15.167,16.103,16.699,18.139,19.479,19.743,20.728,21.612,20.385,18.796,18.391,20.12,20.302,20.571,22.328,19.109,27.315,25.5,24.741,25.131,26.555,23.489,23.121,24.663
"15","7","    New autos","B139RA3",8.927,9.792,8.807,10.294,11.076,9.711,9.912,10.264,10.531,12.872,13.128,13.161,14.085,14.474,17.633,16.564,16.181,13.574,12.299,11.042,11.07,11.529,8.467,13.555,14.273,14.692,15.403,14.763,13.95,12.957,15.195,16.344,18.392,19.454,19.684,17.465,15.357,14.548,13.857,15.419,16.134,15.765,15.45,15.929,12.373,11.698,11.573,12.691,14.696,15.627,16.698,13.574,16.757,15.676,15.716,14.44,13.811,15.04,15.227,16.389,17.335,17.661,18.264,19.069,18.493,17.431,16.784,18.453,18.275,18.662,19.891,16.881,23.604,22.294,21.638,22.521,23.996,21.761,21.333,23.839
"16","8","    Net purchases of used autos","B140RA3",2.301,2.649,2.554,3.945,5.465,5.262,5.617,5.815,6.291,7.772,8.117,8.086,8.198,8.107,10.442,11.002,13.05,12.503,12.474,12.043,13.229,14.084,9.546,13.744,11.656,9.616,8.96,8.441,9.256,9.889,11.666,12.954,12.598,12.741,14.09,13.702,14.979,16.631,17.611,19.756,19.427,17.168,14.773,13.402,14.035,14.322,14.446,13.711,14.149,14.316,12.58,9.482,11.788,12.698,12.632,13.565,12.255,14.539,13.608,14.197,14.25,14.783,14.514,15.224,16.184,16.3,14.972,16.694,15.644,16.341,16.467,13.604,17.676,17.369,16.877,19.002,20.753,20.199,19.576,24.6
"17","9","  Net exports","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","    Exports","B142RA3",10.697,12.417,11.707,11.355,10.103,8.515,8.127,8.495,7.488,6.349,6.704,5.868,4.99,5.41,6.704,8.757,10.251,10.829,11.058,8.36,8.24,8.473,7.482,8.489,9.109,9.118,9.919,8.75,8.705,9.422,8.473,9.076,11.107,11,12.139,10.774,12.097,10.322,8.799,10.561,9.083,9.373,8.828,9.238,8.512,7.903,7.427,6.884,6.739,6.627,6.683,4.92,7.455,6.605,5.793,6.912,6.649,6.202,6.532,6.649,6.974,7.735,7.847,7.399,5.681,8.536,7.858,10.534,9.873,9.873,10.36,9.414,11.474,11.026,9.319,13.847,13.573,12,18.235,22.618
"19","11","    Imports","B143RA3",0.036,0.036,0.036,0.036,0.276,0.414,0.519,0.556,0.208,0.069,0.105,0.105,0.176,0.208,0.311,0.414,0.345,0.345,0.345,0.311,0.35,0.487,0.626,0.695,0.695,0.592,0.453,0.35,0.487,0.556,0.588,0.588,0.764,0.659,0.906,1.04,1.042,1.39,1.667,2.087,2.574,3.199,4.033,4.699,4.794,4.844,6.689,6.887,7.868,8.926,9.662,8.833,9.034,7.284,5.155,4.256,3.454,3.358,3.99,4.672,4.919,4.729,5.345,5.526,5.084,5.318,5.83,5.551,6.063,6.995,7.09,7.463,5.521,7.597,7.357,10.282,12.631,11.814,13.437,17.683
"20","12","  Gross government investment","B144RA3",15.763,17.416,15.445,14.861,14.146,15.81,13.401,13.781,12.773,14.611,11.684,13.156,15.943,16.822,14.357,17.515,19.973,20.325,19.385,21.626,21.645,20.719,20.23,19.582,21.468,21.595,21.58,20.262,21.486,19.441,19.89,21.399,22.924,24.705,25.118,26.257,24.489,27.842,25.873,25.707,26.313,27.405,26.343,26.768,27.503,29.4,27.253,27.501,27.838,27.807,27.444,27.973,29.194,30.902,31.822,32.449,33.666,34.663,34.63,35.364,36.053,36.924,37.363,39.087,41.247,44.156,45.804,46.716,45.858,45.078,42.244,41.239,42.336,44.921,45.654,47.011,47.823,48.501,47.014,45.505
"21","13","Change in private inventories of new and used autos","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","14","  New","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Used","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","16","  Domestic output of new autos \1\","B148RA3",22.976,24.857,22.055,26.234,27.385,23.696,26.106,28.591,28.891,36.385,40.424,33.777,39.989,44.829,50.438,47.195,43.999,38.597,32.783,31.867,28.545,30.155,24.112,41.458,42.4,44.097,46.672,42.792,38.192,40.074,40.101,43.709,57.265,61.033,61.943,56.497,46.267,45.612,36.589,46.11,50.095,47.871,50.875,40.906,35.167,28.539,31.166,35.903,43.53,45.499,46.461,32.395,53.576,46.887,49.617,43.361,31.013,39.579,42.053,47.718,48.392,48.566,54.15,54.584,55.956,56.155,58.459,61.114,60.779,61.383,61.589,53.934,76.57,74.394,72.12,73.921,78.418,71.549,67.33,70.897
"26","17","  Sales of imported new autos \2\","B149RA3",0.011,0.011,0.011,0.011,0.106,0.141,0.142,0.133,0.131,0.119,0.108,0.075,0.076,0.12,0.132,0.12,0.134,0.11,0.166,0.211,0.202,0.202,0.256,0.291,0.34,0.285,0.216,0.217,0.217,0.24,0.238,0.297,0.354,0.371,0.465,0.556,0.541,0.688,0.654,0.763,0.909,1.066,1.414,1.598,1.704,2.174,2.569,3.116,3.473,3.748,3.788,3.856,3.561,3.121,2.908,2.598,2.314,2.317,2.315,2.124,2.15,1.934,1.889,2.078,2.265,2.419,2.273,2.303,2.792,2.922,3.046,3.152,3.312,3.64,4.075,4.856,5.666,5.122,5.899,6.989
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2. Consists of sales of imported new autos in personal consumption expenditures, in private fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","investment, and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
