"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175"
"11","3","  Goods","DGDSRA3",29.148,29.169,29.221,29.326,29.374,29.457,29.638,29.318,30.259,30.508,30.704,31.244,31.536,32.37,32.933,33.899,34.709,34.374,34.385,34.044,33.489,33.384,33.492,32.132,32.365,33.056,33.872,34.103,35.101,35.524,35.837,36.272,36.666,36.936,37.233,38.027,37.814,38.899,38.931,39.37,39.34,39.008,39.657,39.489,39.289,37.67,38.057,38.49,39.043,38.731,39.122,38.423,38.808,38.799,39.005,39.792,40,41.179,42.093,43.084,43.667,44.641,44.669,45.367,46.067,46.488,47.727,47.442,48.163,49.019,50.538,50.506,49.473,50.421,51.179,50.721,51.918,52.188,52.178,53.005,53.079,53.378,54.147,53.967,54.691,54.105,53.978,53.127,52.671,52.966,53.285,52.695,53.888,54.163,54.755,55.48,55.695,56.587,57.172,57.9,58.881,59.404,59.956,61.103,60.799,61.209,61.95,62.535,63.036,64.265,64.722,65.507,66.391,66.34,68.075,69.005,69.541,71.369,72.458,74.671,75.597,77.386,78.318,79.68,80.896,81.34,82.208,82.942,83.159,83.398,84.025,87.088,86.914,87.328,88.451,88.701,89.3,90.947,93.368,93.945,94.926,95.138,96.303,97.584,98.656,100.017,100.786,100.541,102.277,102.633,103.502,104.875,105.555,106.055,106.845,107.121,105.599,105.719,103.615,100.171,100.19,99.597,101.43,101.555,103.139,104.1,105.333,107.452,108.7,108.272,108.646,110.157
"12","4","    Durable goods","DDURRA3",14.75,14.71,14.668,14.612,14.388,14.554,14.607,13.637,15.1,15.443,15.855,16.532,16.91,17.335,17.781,18.723,19.915,19.68,19.505,19.049,18.603,18.703,18.811,17.021,17.384,17.722,18.829,19.377,20.345,20.437,20.669,20.995,21.765,22.278,22.606,23.081,22.469,24.144,23.819,24.007,23.723,23.187,23.833,23.219,22.854,20.389,21.293,21.943,22.565,21.687,22.347,20.742,21.407,21.485,21.658,22.647,22.876,24.544,25.487,26.744,27.753,28.397,28.406,29.328,30.347,30.708,32.674,31.548,32.193,33.33,36.173,35.599,33.488,34.861,36.302,35.321,36.993,37.006,36.523,37.469,37.303,37.801,38.656,37.481,39.064,37.772,37.389,36.36,35.358,35.536,36.082,35.493,36.887,37.143,37.936,38.689,39.065,40.333,40.783,41.764,42.759,43.218,43.673,45.208,44.272,44.722,45.984,46.783,47.291,48.796,49.141,50.101,51.458,51.292,53.579,54.946,55.407,58.232,59.913,63.469,63.626,66.686,68.31,69.159,73.05,71.735,72.976,73.512,74.758,74.721,75.626,81.979,81.039,81.892,84.29,83.18,83.426,86.876,90.523,91.382,92.662,93.244,95.088,96.782,97.805,100.644,102.073,99.478,103.341,103.421,104.952,106.397,107.72,109.231,110.628,111.266,108.488,107.693,104.222,96.851,97.438,96.44,100.994,99.77,102.147,104.087,106.294,110.6,113.71,112.18,113.747,117.746
"13","5","      Motor vehicles and parts","DMOTRA3",27.124,26.602,26.912,26.444,24.686,25.453,25.203,20.524,26.904,27.778,28.976,30.808,31.009,31.876,32.461,35.029,37.786,36.646,35.383,33.096,30.76,30.584,31.476,26.465,27.568,27.608,31.118,32.354,35.468,35.51,35.738,36.018,39.231,39.307,39.497,39.813,38.195,43.297,41.815,41.657,40.868,37.416,39.192,37.645,37.676,30.196,33.446,33.9,37.221,33.601,36.162,31.288,34.849,34.418,34.824,37.855,36.946,42.13,43.638,46.515,48.572,49.347,48.591,50.464,53.551,54.277,60.542,54.063,54.873,57.832,65.801,60.17,52.736,56.967,61.586,57.752,62.387,61.036,58.627,60.264,60.218,60.383,63.132,58.094,63.207,60,59.033,55.734,51.712,51.383,53.868,52.641,55.549,56.197,56.971,58.104,57.353,60.013,59.807,62.276,64.169,63.09,62.663,64.492,61.623,61.573,63.097,64.171,64.834,65.845,65.692,66.241,69.2,66.84,71.214,73.119,70.996,76.471,77.514,84.707,80.747,86.499,86.757,84.193,91.346,84.785,86.288,86.537,88.951,87.452,88.496,101.892,94.633,95.159,101.149,95.16,95.173,99.195,102.147,100.119,100.077,99.587,100.811,101.723,99.863,103.479,104.436,92.221,95.798,95.805,97.544,97.324,97.856,99.252,98.446,97.826,93.57,88.375,83.502,74.421,77.473,76.538,84.409,77.593,77.396,78.726,80.362,86.951,90.207,83.81,84.149,91.156
"14","6","      Furnishings and durable household equipment","DFDHRA3",20.805,21.017,20.621,20.58,20.565,20.645,20.688,21.014,21.121,21.366,21.746,22.389,23.169,23.481,24.191,24.776,26.118,26.379,26.497,26.789,27.134,27.076,26.449,24.701,24.434,24.685,25.16,25.588,26.037,26.154,26.551,27.252,28.082,28.659,29.061,29.821,29.304,30.685,30.658,31.062,30.943,31.434,32.344,31.975,31.224,29.849,29.891,30.862,30.625,30.227,29.8,28.838,28.23,28.321,28.524,29.116,29.783,30.314,31.478,32.384,33.113,34.081,34.318,34.878,35.034,35.361,36.279,37.024,37.882,38.388,39.436,39.772,40.065,40.304,40.8,40.889,41.308,41.771,41.944,42.951,43.706,44.364,44.173,44.298,44.896,43.654,43.041,42.536,42.542,42.965,42.38,42.167,43.196,43.457,44.301,44.895,45.522,46.071,46.619,46.674,47.058,48.154,49.103,50.431,50.071,50.516,51.257,51.858,51.439,53.289,53.317,54.482,54.665,54.877,56.099,56.843,58.345,59.261,60.629,62.596,64.419,65.945,68.123,70.266,72.032,73.418,74.392,74.829,75.948,76.629,77.367,79.71,82.233,82.938,82.816,84.236,83.716,86.542,89.571,90.939,92.494,93.61,95.552,96.8,97.59,98.878,100.723,102.81,105.198,103.823,104.144,104.077,105.241,104.412,105.022,105.333,102.897,103.876,100.25,95.261,92.326,90.675,91.78,93.565,96.695,99.219,100.051,102.203,103.088,103.869,105.298,107.483
"15","7","      Recreational goods and vehicles","DREQRA3",3.125,3.166,3.155,3.214,3.373,3.344,3.399,3.427,3.396,3.474,3.505,3.632,3.826,3.968,4.125,4.328,4.544,4.454,4.513,4.443,4.436,4.564,4.635,4.398,4.521,4.804,4.924,5.066,5.173,5.188,5.261,5.394,5.379,5.567,5.677,5.802,5.834,5.968,5.963,6.162,6.221,6.384,6.343,6.23,6.053,5.848,6.013,6.28,6.124,6.194,6.357,6.168,6.092,6.211,6.266,6.399,6.707,7.032,7.381,7.781,8.18,8.364,8.516,8.849,9.158,9.29,9.417,9.82,10.1,10.432,11.2,11.886,11.814,12.167,12.473,12.399,12.877,13.279,13.456,13.879,13.457,13.924,14.187,14.23,14.371,14.291,14.26,14.227,14.411,14.723,15.071,14.862,15.281,15.284,15.848,16.381,17.191,17.89,18.372,19.001,19.621,20.646,21.273,22.562,22.658,23.35,24.755,25.401,26.033,27.472,28.268,29.273,30.202,31.464,32.765,33.888,35.553,37.316,39.72,41.555,43.461,45.576,47.866,50.129,53.32,54.085,55.485,56.722,57.671,59.302,60.68,63.777,66.091,67.149,68.054,69.469,70.778,74.017,78.765,81.756,84.4,86.187,89.074,91.573,95.69,98.817,101.037,104.455,110.019,111.371,114.431,119.67,122.351,125.482,130.699,134.074,132.909,136.949,134.847,127.5,128.385,126.806,131.648,136.456,141.293,144.54,148.918,152.979,158.516,161.925,166.608,170.532
"16","8","      Other durable goods","DODGRA3",17.481,17.457,17.235,17.314,17.797,17.79,18.499,18.774,18.568,18.918,19.282,19.427,19.415,19.868,20.194,20.875,21.993,22.552,23.002,23.722,23.854,24.372,24.175,23.371,24.187,24.695,25.904,26.54,27.302,27.811,28.208,28.253,26.398,29.069,30.392,32.066,30.39,31.079,31.539,31.373,30.002,30.811,31.424,30.526,29.611,27.074,27.075,28.526,28.448,28.687,28.853,27.975,27.841,28.722,28.639,28.962,29.963,30.615,31.488,32.354,33.13,34.416,34.893,36.127,36.23,36.47,37.635,38.613,39.407,40.106,41.179,45.261,42.993,43.162,42.642,43.122,44.042,44.321,44.362,44.965,44.279,44.763,44.985,45.921,46.259,44.9,45.048,44.668,44.248,44.299,42.704,41.764,43.352,43.589,44.578,45.001,45.29,45.919,47.234,46.973,47.657,47.941,48.602,49.712,49.023,49.489,49.676,50.252,51.244,52.869,53.223,54.288,54.529,54.52,55.847,57.323,58.568,60.601,61.775,63.104,65.748,66.632,68.632,72.158,72.526,74.846,75.273,74.797,73.779,72.007,71.519,73.748,75.776,77.222,77.776,79.523,79.153,82.554,86.575,89.499,90.769,90.557,91.525,94.337,96.966,99.725,99.962,103.347,107.13,107.428,107.424,108.697,109.83,112.669,114.394,114.062,111.914,111.458,109.653,102.854,102.506,103.374,104.327,103.759,107.87,108.381,110.882,112.106,114.425,116.129,116.886,114.785
"17","9","    Nondurable goods","DNDGRA3",41.565,41.656,41.812,42.092,42.453,42.427,42.731,43.23,43.407,43.506,43.417,43.713,43.857,45.043,45.663,46.526,46.806,46.41,46.628,46.444,45.821,45.517,45.615,44.801,44.887,45.881,46.33,46.217,47.154,47.878,48.245,48.753,48.721,48.717,48.959,50.01,50.224,50.611,51.003,51.661,51.889,51.789,52.395,52.672,52.646,51.933,51.806,52.009,52.468,52.701,52.818,53.02,53.118,53.027,53.253,53.8,53.974,54.609,55.44,56.115,56.258,57.488,57.532,57.974,58.329,58.783,59.267,59.795,60.553,61.092,61.219,61.717,61.798,62.27,62.321,62.397,63.069,63.571,64.01,64.677,64.969,65.068,65.721,66.465,66.379,66.452,66.56,65.892,65.923,66.31,66.421,65.851,66.831,67.112,67.512,68.189,68.257,68.8,69.481,69.964,70.9,71.462,72.077,72.843,73.104,73.463,73.724,74.104,74.584,75.542,76.08,76.696,77.162,77.205,78.448,78.999,79.583,80.566,81.16,82.27,83.79,84.576,84.979,86.719,85.971,87.688,88.285,89.147,88.627,89.051,89.482,90.256,90.623,90.74,90.997,92.149,92.966,93.436,95.063,95.464,96.265,96.258,97.017,98.057,99.163,99.658,100.051,101.128,101.677,102.185,102.69,104.018,104.343,104.307,104.789,104.896,104.028,104.614,103.177,101.634,101.38,100.996,101.499,102.268,103.468,103.962,104.733,105.839,106.249,106.306,106.16,106.596
"18","10","      Food and beverages purchased for off-premises consumption","DFXARA3",61.878,61.613,61.561,62.244,63.077,63.142,63.631,64.36,64.673,64.462,63.873,64.227,63.634,65.813,66.137,66.783,65.722,64.31,64.333,63.431,63.145,62.61,64.003,62.839,62.92,64.691,65.17,64.373,66.025,67.512,67.839,68.387,68.568,68.134,67.982,69.07,68.694,67.575,67.792,68.498,68.409,68.539,69.283,70.119,70.858,70.345,69.351,68.642,68.867,69.635,69.471,70.277,70.154,70.476,70.91,72.108,71.845,72.301,73.221,73.449,72.958,74.298,74.575,74.836,75.119,75.935,76.765,77.601,78.337,78.011,77.361,77.948,77.485,77.378,77.401,77.401,78.574,79.547,79.696,80.029,80.352,79.867,80.43,81.161,81.265,82.529,82.581,82.102,81.911,82.264,82.438,81.453,81.742,81.482,81.5,82.064,81.971,82.053,82.508,82.926,83.697,84.666,84.805,85.47,85.311,84.894,84.904,85.274,85.661,86.063,85.901,86.175,86.782,86.329,86.842,86.843,86.762,87.465,88.057,88.668,89.713,90.607,91.387,92.795,91.869,93.228,93.349,94.26,93.923,94.543,94.213,94.373,93.982,94.134,94.504,95.312,95.961,95.071,96.115,95.497,96.5,96.065,96.742,97.882,99.171,99.169,100.316,101.344,101.606,102.725,102.867,104.287,104.458,103.885,104.334,105.136,104.411,104.662,103.416,100.879,100.387,101.592,102.533,103.462,104.21,103.526,104.394,105.629,105.834,106.151,106.113,106.153
"19","11","      Clothing and footwear","DCLORA3",21.291,21.372,21.49,21.379,21.128,21.063,21.005,21.351,21.493,22.022,22.142,22.446,22.631,23.205,23.929,24.609,25.287,25.205,25.25,25.422,25.512,25.206,24.778,23.736,24.549,25.385,25.815,25.987,26.309,26.366,26.727,27.021,27.068,27.593,28.034,29.429,29.738,30.845,31.311,32.045,32.042,32.243,33.342,33.532,33.328,33.169,34.024,34.704,35.628,35.808,36.244,36.155,36.536,35.91,36.556,37.224,37.52,38.764,39.24,40.713,41.351,42.765,42.131,42.924,43.287,43.897,44.477,45.053,46.218,47.738,47.978,48.025,48.817,49.024,49.775,49.387,50.065,49.77,50.903,52.058,52.224,52.914,54.093,54.305,53.853,53.031,52.912,52.263,52.834,53.6,53.441,52.332,54.479,55.349,56.474,57.176,56.969,58.047,58.635,59.344,60.738,60.616,61.529,63.167,62.953,63.62,64.761,64.823,65.267,66.879,68.002,68.432,68.462,67.851,70.106,70.994,72.51,73.729,73.193,74.893,77.6,78.269,78.79,78.993,80.28,82.019,82.915,83.616,82.274,82.811,82.714,84.14,85.093,85.132,84.614,87.262,87.304,89.556,91.549,91.62,94.212,92.829,93.897,96.134,97.487,99.69,99.876,102.947,103.859,103.582,104.822,106.377,107.692,107.905,108.862,108.801,107.861,110.712,107.943,104.149,103.285,101.391,102.42,103.537,106.47,108.16,108.268,111.477,112.335,112.949,110.666,111.487
"20","12","      Gasoline and other energy goods","DGOERA3",62.14,62.937,63.147,64.489,65.543,64.934,65.932,65.955,67.218,68.282,67.984,68.039,69.51,70.093,71.382,74.303,75.947,75.416,75.746,74.575,66.399,68.607,69.967,72.154,70.785,71.433,70.858,70.493,72.653,74.034,75.045,77.023,75.58,75.48,76.344,76.71,77.356,77.961,77.061,76.639,78.682,74.994,73.855,72.567,70.683,68.342,67.278,67.262,67.715,67.526,67.416,67.361,68.129,68.265,67.132,66.933,68.431,68.145,69.576,70.262,69.76,70.861,71.337,71.925,71.985,72.343,72.584,72.464,73.97,75.622,76.768,77.735,76.605,78.673,76.757,77.872,78.627,79.752,79.715,80.633,80.76,80.318,80.165,82.58,80.15,79.756,80.472,77.635,77.536,78.902,79.852,79.143,80.421,82.23,82.452,82.928,82.75,83.649,85.112,84.742,85.842,85.334,85.63,84.827,86.916,87.62,86.64,86.829,88.003,88.567,88.594,88.345,88.926,90.165,90.561,90.991,91.764,93.231,94.11,94.497,95.133,97.256,96.084,96.567,93.108,94.891,95.3,94.724,95.141,93.935,95.691,95.984,95.649,96.786,97.335,97.282,97.411,98.455,100.312,101.38,100.884,101.016,100.377,100.467,101.672,100.585,99.279,98.464,97.143,97.352,98.28,98.113,97.616,97.079,97.064,95.887,94.236,93.053,90.001,92.181,93.77,92.561,91.937,91.866,92.752,92.868,93.053,91.657,90.25,88.396,88.061,87.953
