"","Table 1#5#6# Real Gross Domestic Product, Expanded Detail, Chain","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71"
"14","6","      Furnishings and durable household equipment","DFDHRX1",130.8,132,133.9,135.5,134.4,139.2,139.3,142.4,142.8,143.4,146.6,148.5,152.4,154.8,158.4,163.6,168.3,172.3,178,183.6,188.2,191.8,194.4,195.5,198.4,200.2,202.1,208.3,214.9,216.7,216.4,220.1,218.7,226.1,234,237.6,241.7,244.6,249.7,252.9,255,258.3,263.2,268.6,274.9,271.3,272.1,271.9,275,272.8,274.4,275.2,268.9,271.4,261.9,248.9,241.2,236.9,239.8,244.5,252.6,259.2,261.4,267,269.3,271.4,275.1,280.8
"15","7","      Recreational goods and vehicles","DREQRX1",70.9,73,77.4,79.5,81.4,85.9,88.4,91.6,94.5,98.4,102.5,106,111.2,116.7,124.3,130,136,142.6,149.7,156.8,166.8,169.2,173.6,177.4,180.4,185.5,189.8,199.5,206.7,210.1,212.9,217.3,221.4,231.5,246.4,255.7,264,269.6,278.6,286.5,299.3,309.1,316.1,326.8,344.2,348.4,358,374.3,382.7,392.5,408.8,419.4,415.8,428.4,421.8,398.8,401.6,396.7,411.8,426.9,442,452.1,465.8,478.5,495.9,506.5,521.2,533.5
"16","8","      Other durable goods","DODGRX1",69.2,69.8,70.1,70.9,72.3,74.6,75.1,76.6,76.9,76.9,78.8,80.9,82.6,85.5,87.1,89,92.7,94,96.8,101.8,102.3,105.6,106.2,105.5,104.1,101.6,100.9,104,106.9,108.9,109.7,112.2,111.7,116.5,122.1,126.3,128,127.7,129.1,133.1,136.8,140.7,141,145.8,151.1,151.5,151.5,153.3,154.9,158.9,161.4,160.9,157.9,157.2,154.7,145.1,144.6,145.8,147.2,146.4,152.2,152.9,156.4,158.1,161.4,163.8,164.9,161.9
"17","9","    Nondurable goods","DNDGRX1",1428,1435,1440.1,1447.5,1456.9,1475.6,1486.1,1498.2,1507.3,1508.1,1532.4,1543.1,1554.6,1573.8,1585.4,1607,1636.7,1652.1,1660,1694,1679.3,1712.9,1724.5,1741.4,1731.2,1739.5,1747.9,1763,1770.2,1772.5,1777.5,1800,1816,1825.2,1856.9,1864.8,1880.4,1880.3,1895.1,1915.4,1937,1946.7,1954.4,1975.4,1986.1,1996.1,2005.9,2031.9,2038.2,2037.5,2046.9,2049,2032.1,2043.5,2015.4,1985.3,1980.3,1972.8,1982.7,1997.7,2021.1,2030.8,2045.8,2067.4,2075.4,2076.6,2073.7,2082.2
"18","10","      Food and beverages purchased for off-premises consumption","DFXARX1",549.8,547.1,547.2,549.6,552.1,554.7,553.6,555.4,559.3,556.4,559.7,559.7,559.2,563.7,567.5,571.5,578.2,584,589,598.1,592.1,600.8,601.6,607.5,605.3,609.3,607.2,608.2,605.7,606.7,609.1,614.3,618.5,612.7,619.5,615.5,621.9,619.1,623.5,630.8,639.2,639.1,646.5,653.2,654.8,662.1,663,672.1,673.2,669.5,672.4,677.6,672.9,674.5,666.5,650.2,647,654.8,660.8,666.8,671.6,667.2,672.8,680.8,682.1,684.1,683.9,684.1
"19","11","      Clothing and footwear","DCLORX1",197.7,199.8,203.4,203.6,205,210,213.5,214.9,215,213.1,220.1,222.9,227.7,231.5,229.8,235.2,243.7,245.8,247.4,248.1,252.1,257.6,260.4,262.6,258.4,260,259.7,264.2,267.2,267.3,265.7,274,274.2,281.2,287.5,287.7,295.8,291.5,294.9,301.9,306.1,313,313.6,323.3,326.1,325.3,329.2,334,338.2,338.8,341.8,341.7,338.7,347.7,339,327,324.3,318.4,321.6,325.1,334.3,339.6,340,350.1,352.8,354.7,347.5,350.1
"20","12","      Gasoline and other energy goods","DGOERX1",264,266.2,263.2,263.8,267.3,269.1,269.1,268.4,270.1,273.9,275.1,276.4,278.8,283.2,285.9,287.1,289,295.5,291.9,293.4,282.8,288.3,289.5,287.8,289,285.4,290.7,291.6,290.6,294,295.7,295.5,295.9,299.1,304.7,308,306.5,306.9,304.9,305.2,308.9,305.6,301.6,299.1,295.1,295.7,298.6,298.1,296.5,294.9,294.9,291.3,286.3,282.7,273.4,280,284.9,281.2,279.3,279.1,281.8,282.1,282.7,278.4,274.2,268.5,267.5,267.2
"21","13","      Other nondurable goods","DONGRX1",436.9,442.1,444,448.3,451,458.9,465.5,474.3,478.2,482.1,492.5,498.7,502.7,509.4,517.5,527,537,540,542.6,564.6,558.2,572,578.3,587.5,583.8,588.5,595.3,603.1,609.5,608.6,611.7,619.1,629.7,634.4,647.5,656.4,657.7,664.5,672.6,677.8,683.2,688.7,692.3,700.1,710.8,713.8,715.9,729,732,736.3,740.2,741.4,737.5,744.5,744.5,732.2,728.4,721.4,723.8,729.7,737.3,746.4,754.8,764.5,774.4,779.6,784.5,791.4
"22","14","  Services","DSERRX1",4159.4,4197,4226.9,4250.8,4292.4,4320.9,4344,4369.6,4405.1,4435,4487.8,4533.4,4583.9,4639.8,4696.1,4728.8,4768.8,4822.7,4880.6,4940.4,5015.2,5073.5,5120.5,5165.4,5189.7,5211.7,5225.8,5249,5283,5310.9,5329.6,5350.4,5372.4,5401.1,5435.9,5463.3,5507.1,5538.2,5576.3,5629,5664.8,5709,5752,5781.5,5819.1,5862.1,5889.5,5931.9,5962,5982,5998.8,6017.8,6039.7,6032.9,6006.5,5988.8,5953.5,5928.6,5926.8,5932.9,5947.4,5984.3,6008.1,6027.5,6039.1,6067,6096.1,6099.4
"23","15","    Household consumption expenditures (for services)","DHCERX1",4021.7,4058.1,4087.4,4108.4,4145.2,4172,4193.9,4223.3,4267,4297.9,4350.9,4394.6,4440.4,4491.6,4542.4,4569.6,4608.4,4661.1,4717.9,4775.7,4845,4902.6,4942.9,4982.4,5005.7,5023.7,5034.3,5053.3,5083.6,5106.5,5116.8,5132.1,5155.2,5181.2,5216.6,5244.7,5287.3,5320.3,5360,5412.7,5460.7,5500.7,5539.8,5559.1,5593.9,5630.7,5648.3,5689.7,5721.6,5744.6,5752.5,5762.2,5775.9,5765.1,5734.4,5707.1,5676.3,5657,5653.5,5655.2,5668.1,5702.6,5730.6,5754.7,5765.9,5793.2,5816.6,5816.9
"24","16","      Housing and utilities","DHUTRX1",1217.3,1232,1244.2,1245.6,1258.2,1260.7,1258.1,1269.3,1273.6,1284.8,1292.7,1310.1,1312.2,1328.5,1339.2,1338.8,1354.1,1368.1,1382.5,1382,1388,1406.2,1418.5,1441.6,1449.4,1448.2,1454.4,1453.5,1453.6,1459.9,1462.5,1471.5,1474.5,1478.7,1479.4,1488,1495.1,1505,1514.5,1536.6,1556.1,1577.9,1596.3,1600,1596.4,1617.6,1629.5,1624,1624.3,1625.5,1629.7,1626.7,1637.3,1637,1630.9,1646.1,1650,1651.3,1656.6,1661.5,1663.6,1665.7,1675.3,1672.2,1666,1669.1,1680.4,1667.2
"25","17","      Health care","DHLCRX1",940.4,944.7,950.4,954.9,955.3,964.7,968.3,980.4,985.7,991,1001.3,1010.8,1023.4,1028.3,1033,1033.7,1035.9,1040,1048.5,1058.4,1064.6,1078.6,1086,1097.4,1113.2,1125.9,1142.5,1160.7,1183.6,1200.4,1209.7,1216,1220.9,1223.6,1230.9,1237.9,1246.9,1260.3,1276.4,1286.2,1302.5,1306.3,1312.8,1314,1328,1332.3,1329.8,1341.7,1356.3,1360.9,1364.9,1374,1385.7,1395.7,1401.9,1402.5,1409.1,1421.6,1429.1,1432.8,1424.1,1438.2,1446.9,1462.3,1464.3,1474.5,1472.3,1476.4
"26","18","      Transportation services","DTRSRX1",208.7,211,215.5,220.2,225.6,229.2,233,237.7,244.5,247.4,251.2,252.3,254.5,257.7,260.6,264,267.6,270.9,276.2,279.3,282.9,285.9,287.7,288.5,288.6,287.1,281.8,277,277.8,275.4,275.1,275.3,276.2,274.9,277.5,278.9,281.7,284.1,283.9,285.3,285.6,286.4,286.9,285,283.7,285.2,284.9,288,289.2,289,287.8,285.6,281.6,276.6,270.1,259.7,251.8,248.5,246.2,245.9,247.6,249.9,251.6,251.6,251.4,251.2,251.4,251.7
"27","19","      Recreation services","DRCARX1",237.8,244,247.7,251.6,252.3,255,258.9,259.4,261.9,263.8,264.8,267.6,270.9,271.1,274.5,276.9,279.4,283.9,290,293.4,293.2,295.8,296.3,295.7,298.1,295,293.4,293.2,295.2,295.7,296.5,299.8,299.3,303.6,308.5,313.2,318.4,321.9,323.9,324.2,326.8,327.9,327.8,330.4,334.8,337.3,339.7,347.9,349.8,352.7,355.4,354.8,354.7,352.9,346.4,340.5,338,335.2,332.3,333.8,335.9,339.4,345.8,344.7,343,350.6,357,359.2
"28","20","      Food services and accommodations","DFSARX1",415.4,416.1,416.7,415.9,416,418,418.6,422.4,426.6,426.5,431,428,432.8,438.1,439.8,446,444.5,447.2,449,459.5,467,471.1,472.8,471.3,474.8,470.2,467.6,467,473.8,477.5,478.4,479.2,482.6,491.8,500.2,505.2,510.7,511.6,516.4,521.6,525.3,532.6,536.2,541.6,550.7,547.1,550.3,558.4,556.9,557.5,558.4,563.5,556.7,559.2,553.6,546.1,538.6,533.4,532.3,532.7,543.5,549.2,553.2,558.2,567.6,569.1,572.8,581.7
"29","21","      Financial services and insurance","DIFSRX1",482.5,488.1,492.8,496.1,504.3,509.1,507,512.4,517.6,518.7,531.8,534.6,540.8,553.5,565.1,577.2,583.4,598.5,611,631.8,663,664.8,667.1,669,659.7,659.5,657.2,669,662.9,658.5,660,654.3,650.9,656.1,662.9,666.8,671,671.5,673.8,685.6,687.1,695.3,704,707.3,712.7,714.3,714.5,724.2,730.2,739.1,743.6,746.4,746.3,738.3,732.2,712.5,693.1,679.7,670.6,661,667,670.8,665.9,667.6,674.7,676.9,682.8,677.7
"30","22","      Other services","DOTSRX1",522.5,525.1,522.8,526.6,535.7,537.3,551.8,543,558.2,566.8,578.8,592.5,607,615.3,631.1,633.3,643.6,652.5,660.4,670.5,685,699.3,713.9,718.5,721.3,737.7,737.6,733.8,737.3,739.6,735.1,736.2,750.8,752.5,757.6,754.6,763.5,765.9,771.2,773.1,777.3,774.4,775.8,780.8,787.8,796.9,799.3,805.7,815.1,820.2,813,811.5,813.9,805.9,799.9,800.2,796.1,787.6,786.7,787.6,786.6,789.6,792.4,798.3,798.8,801.8,800.1,803
"31","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX1",140.2,141.5,142.2,145,149.9,151.7,152.9,149,140.8,139.8,139.7,141.7,146.3,151,156.4,161.8,162.9,164.1,165.4,167.4,172.7,173.5,179.9,185,186,189.7,192.8,196.8,200.3,204.9,212.7,218,217.1,219.8,219.3,218.7,219.9,217.9,216.4,216.4,204,208.2,212.2,222.4,225.2,231.5,241.4,242.4,240.5,237.5,246.7,256.2,264.8,269,273.6,284,279.3,273.4,275.3,280.3,282,284.6,279.5,273.9,274.3,274.9,281.3,284.7
"32","24","      Gross output of nonprofit institutions \2\","DNPERX1",632.6,634.8,636.9,641.4,644.2,651.5,655.5,662.4,657.8,659.6,665.5,672.2,684.9,691.9,701.4,708.6,713.3,717.2,722.8,730.5,736.9,744.1,752.6,762.3,770.9,779.1,789.8,801.3,815.3,828,838.4,842.8,842,843.5,844.6,846.4,851.3,856.1,864,870.4,866.8,871.5,875.8,883.2,893.2,899.6,904.7,912.4,922.2,922.6,925.3,934.2,944.2,951.4,958.6,965.6,966,967.8,971.9,977.1,974.3,988.2,992.8,1001.6,997.2,1000.6,999.8,1005.3
"33","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX1",495.4,496.2,497.7,499.3,497.1,502.6,505.4,516.4,520.4,523.3,529.4,534.1,542.2,544.3,548,549.5,553.1,555.7,560,565.8,566.3,572.9,574.4,578.5,586.4,590.6,598.1,605.6,616,623.8,625.8,624.5,624.7,623.5,625.1,627.7,631.4,638.2,647.6,654,662.8,663.2,663.6,660.8,668,668.2,663.6,670.2,681.8,685.1,678.9,678.7,680.4,683.6,686.3,683.5,688.3,695.4,697.8,698.4,694.3,705.5,714.1,727.3,722.8,725.5,719.3,721.7
"34","26","Gross private domestic investment","A006RX1",1277.4,1243.1,1231.1,1265.8,1282.4,1348.9,1416.9,1413,1446,1538.3,1565.7,1590.7,1666.6,1646.7,1693.9,1748.4,1803.4,1797.1,1842.2,1907.6,1880.9,2011.1,1979.7,1980.7,1876.1,1870,1830.3,1724.5,1781.9,1803.4,1808,1808.3,1810.4,1821.8,1888.4,1959.9,1970.1,2055.7,2082.1,2124.9,2170,2131.3,2155.1,2232.8,2266.3,2263.1,2231.2,2166.7,2145.1,2193,2176.3,2123.6,2055.7,2024,1934.7,1744.6,1490.4,1397.2,1407.3,1522,1630,1728.3,1766.8,1734.5,1750.9,1778.4,1784.2,1867.4
"35","27","  Fixed investment","A007RX1",1220.2,1215.6,1231.6,1257.3,1289.1,1331,1361.8,1384.5,1411.6,1442,1497.5,1510.4,1555.8,1610.1,1640.7,1690.9,1722.2,1762.5,1803.5,1813.7,1866.7,1913.6,1920.4,1926.3,1914.9,1885,1865,1817.8,1801.1,1794.1,1791.9,1778.9,1781.4,1827.8,1887.2,1922.5,1918.7,1977.9,2019.6,2053.7,2078.8,2115.8,2143.1,2151.6,2201.9,2191.9,2163.8,2133.4,2127.1,2145.6,2138.2,2111.5,2066.4,2039.1,1973.5,1835.4,1665.5,1589.8,1592.6,1577.5,1582,1654,1663.5,1693.9,1699,1736.7,1790.4,1805
"36","28","    Nonresidential","A008RX1",777.3,782.6,787.9,803.8,823.7,847.4,875.6,899.3,922.2,945.1,993.3,1001.3,1035.9,1073.8,1090,1126,1152.1,1184.4,1218.4,1222.2,1267.6,1314.4,1329,1334.2,1321.7,1286.9,1265.5,1225,1195.8,1176.6,1171.4,1150.9,1147.8,1179.5,1206.8,1224.1,1214.3,1247.1,1281.2,1309.3,1321.1,1340.6,1359.7,1367.9,1426.6,1452.4,1467.7,1475.2,1498.5,1537.5,1571.4,1592.3,1589.1,1580,1539.2,1442.3,1312.9,1257.6,1247,1235.2,1253.3,1308,1343.6,1371.9,1378.9,1413.2,1465.6,1471.9
"37","29","      Structures","B009RX1",336.5,343.2,345.7,342.8,348.9,356.5,360.9,379.3,382.6,379.2,393.5,396.2,392,413.1,413.2,412.6,410.9,405.9,405.6,410.4,418.4,435.7,452.1,454,441.5,443,445.5,403.2,381.4,360.7,344.7,339.6,336.2,346.3,345.6,343.9,341.9,345.9,349.4,349.7,356,354.6,347.2,349.3,364.8,383.7,393.2,394.6,404.8,430.6,454.6,462.9,463.8,474.4,469.9,457.5,415.3,375.4,354.9,323.7,301.5,306.9,310.1,318,305.9,321.9,332.9,326.7
"38","30","      Equipment and software","B010RX1",483.2,484.4,487.6,502.3,516,532.1,553.6,564,581.7,603.1,636.6,642,674.6,695.3,709.4,741.6,765.7,797.6,828.2,828.5,864.3,895,897.1,900.6,897.8,864.7,843,836.8,826,823.7,831.3,815.9,815.8,837.7,864.3,882.1,874.5,902.6,932.5,959.6,965.2,985.8,1012.5,1018.8,1062.5,1068.4,1073.8,1079.9,1092.4,1102.9,1109.8,1121.9,1117.2,1094.6,1056.8,969,883.7,874.2,888,912.9,958.8,1010.1,1044.1,1064.5,1086.9,1103.5,1145.7,1160.3
"39","31","        Information processing equipment and software","A679RX1",138.4,145.3,148.5,157.1,165.4,172.6,180.9,187.1,198.9,210.2,226.3,235.1,250.7,261.4,270,286.4,302.1,324.6,339.6,342.5,365.4,384.2,391.3,403.8,403.4,386.6,376.2,371.9,369.6,372.9,380.3,372.7,383.7,389.4,411.2,430.5,431.4,438.7,446.6,455.4,461.6,470.9,481.5,487,507.4,511,522.1,524.8,546,548.5,558.5,579.7,583,583.3,571.7,540.7,529.9,535.5,553.7,574.1,581.2,596.1,608.5,624.5,625,638.4,640.2,650
"40","32","          Computers and peripheral equipment \4\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","33","          Software \5\","B985RX1",63.6,65.5,67.9,70.6,73.4,76.5,79.8,84.3,93.2,98.2,104.4,110.9,115.1,119.1,125,132.2,138.6,148.6,156.9,161.9,167.5,172.1,172.5,177.7,179.1,175,172.9,167.7,169.2,173.7,177.6,173.2,177.2,179.1,189.4,196.6,199.1,200.4,206.6,212.5,213.4,218.6,219.9,220.1,222.4,224.8,228.5,232.8,238.9,239.2,241.1,244.2,251,251.4,251.9,248.8,244.8,247.8,249.8,253.9,252,252.9,257.2,262.4,263.7,268.9,274.1,277.9
"42","34","          Other","A937RX1",89.8,90.6,89.1,91,95.2,97.9,100.7,101.1,101.9,104.5,110.4,112.1,117.3,119.7,120.7,125.2,127.3,133.7,138.8,138.5,153.2,159.8,163.9,170.9,165.9,157.6,154.1,150.4,142.7,143.2,143.7,141.4,146.5,150.1,158.1,165.7,166,170,168.7,167.6,174.5,176.1,181.8,181.2,193.9,191.9,193.7,191.7,200.9,204.1,208,220.5,211.8,209.8,203.3,184.8,180,179.8,190.8,193.7,200.3,204.8,209.9,214.4,215.2,211.5,204.3,203.2
"43","35","        Industrial equipment","A680RX1",143.6,145.8,146.9,145.6,149,151.8,150.4,152.2,151.4,154.3,155.2,155.6,163.4,162,158.7,159.2,159,161.2,163.4,163.7,171.5,176,179.2,176.4,176.8,164.3,157.4,152.9,154.2,150.2,152,151.2,150.4,156.2,152,148,141.9,145.2,149.7,152.7,156.2,154.4,160.7,167.2,165.1,176.2,174.7,175.6,172.6,185,185.4,176.5,176.9,175.6,173.1,165.8,142.8,136.5,134.5,134.5,135.1,147.3,150.1,153.7,158.1,157.7,169,177
"44","36","        Transportation equipment","A681RX1",142.4,128.4,125.9,129.4,127.8,131.7,144,143.8,144.2,147.5,155.2,145.9,148.7,155.4,163.8,180.2,181.9,187.7,199.3,192.2,190.7,193.1,185.4,175.5,170.4,171.5,164.5,171.8,163.1,155.1,152.7,145.9,131.5,142.5,144,143.7,142.5,156.8,169,181.1,174.3,180.1,189.7,182.7,202.6,194.1,193.7,195.5,195.1,184.1,181.3,182.6,180.6,158.2,133.6,98.3,65.5,69.8,70.6,76.7,101.8,117.6,129.1,128.9,139.6,144.6,155.2,158.1
"45","37","        Other equipment","A862RX1",111.2,110.4,109.8,111,112,113.4,116.4,117.4,120.2,122.2,129.8,131.3,136.8,140.7,139.9,137.7,142.4,140.3,141.9,145,149.1,152.5,150.1,150,152.2,148,150.6,146.3,144.5,149.6,149.3,149.2,151.2,151.5,157.8,159.6,158.2,161.7,167.2,170.6,173.2,180.3,180.5,181.7,187.3,187,183.4,184.3,179.9,185.8,185.6,185.6,180,181.1,181.9,168.3,154.4,143.5,142.3,142.3,153.8,160.5,167.1,168.9,174,173.8,187.9,182.2
"46","38","    Residential","A011RX1",457.7,443,456.7,467,479.3,499.5,498.2,493,494.7,500.9,503.2,508.4,517.5,533,549,562.2,565.5,571.6,576.4,583.4,588,584,573.7,574.2,576.8,584.9,588.1,583.1,598.7,613.4,616.9,626.4,632.4,646.8,679.7,698.2,704.5,731,738.4,744.2,757.8,775.4,783.3,783.5,775.2,740,697.3,660.2,631.3,611.4,570.7,523.4,481.3,462.8,437.8,395.8,354.9,334.3,348.2,344.8,330.8,348.2,321.1,323.1,321.1,324.4,325.4,333.9
"47","39","  Change in private inventories","A014RX1",65.9,37.7,8.2,16.5,3.2,26.8,62,32.8,43.2,103.9,75.4,87,117.2,43.2,60.6,65.5,89.4,41.1,44.6,99.1,18.7,101,63.1,58.1,-34.8,-10.7,-30.8,-90.7,-15.1,13.4,19.8,32.9,31.5,-3.5,3,38.3,52.4,78.7,62.7,71.6,91.4,15.5,11.8,81,65.8,72.5,67.5,31.8,17.3,44.9,36.1,12.6,-12.5,-14.2,-38.1,-80.3,-161.6,-183,-178.7,-56.5,39.9,64.6,92.3,38.3,49.1,39.1,-2,56
