"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189"
"28","20","  Travel (for all purposes including education)","Y801RA3",11.399,11.481,11.297,11.141,12.271,12.187,12.011,12.406,12.722,12.298,12.509,13.493,13.296,13.633,13.788,14.083,15.831,15.208,15.741,16.184,17.159,16.676,17.14,17.532,19.106,17.929,17.939,19.1,19.906,21.401,22.153,20.928,20.321,21.073,21.195,21.984,21.904,22.916,22.978,23.054,24.585,24.317,23.513,24.98,27.17,26.364,27.79,27.464,35.96,35.323,35.424,38.041,35.575,34.246,32.399,31.385,29.156,29.17,31.608,28.73,38.316,43.243,41.21,42.078,41.289,42.581,40.647,40.497,45.225,43.732,46.547,46.543,46.187,48.678,50.542,52.052,53.687,55.522,60.131,60.971,65.094,65.663,68.977,72.367,75.988,76.001,74.197,79.306,70.989,79.981,82.424,86.443,87.855,88.298,87.173,88.733,90.635,92.021,92.398,93.346,91.973,93.649,92.954,94.298,94.665,94.649,101.611,105.357,102.572,106.997,98.831,113.557,109.033,108.081,109.501,107.41,106.268,107.442,102.972,105.503,109.955,109.011,114.288,112.585,114.538,117.761,115.92,114.092,111.621,104.714,98.869,80.726,93.553,93.94,92.586,92.992,86.774,83.901,91.191,94.141,97.818,98.537,97.61,99.093,96.072,96.026,92.122,91.499,90.982,91.758,93.439,95.657,97.456,98.93,101.434,107.605,110.708,112.143,106.98,104.961,97.946,98.768,101.043,102.243,106.435,108.907,112.799,115.15,113.401,118.288,116.317,116.448,117.561,121.263,123.142,122.456,127.084,126.403,129.061,129.134,129.301,130.015,126.286,128.633,133.592,134.735
"29","21","  Charges for the use of intellectual property n.e.c.","B684RA3",10.864,11.378,10.896,11.246,11.73,12.178,12.411,12.373,12.347,12.393,12.3,13.217,12.745,12.928,13.279,13.528,14.297,13.493,15.166,14.514,15.541,15.689,16.063,16.427,16.499,16.557,16.268,16.297,15.852,15.663,15.616,15.261,15.619,16.059,16.932,16.805,18.053,17.492,17.94,18.93,17.187,17.309,17.421,17.731,17.65,18.343,17.923,18.109,17.348,17.002,16.822,16.674,12.933,12.385,12.527,10.479,11.944,12.192,11.935,11.68,12.054,12.161,12.197,12.519,12.01,12.225,12.112,14.682,14.045,14.977,15.255,15.97,17.322,17.58,18.75,19.253,20.102,20.647,20.701,22.335,22.705,22.42,22.783,23.413,24.483,25.903,27.135,27.522,26.716,26.679,26.916,28.12,30.788,30.857,31.226,30.429,30.574,31.829,30.98,31.849,37.272,37.715,37.508,38.329,40.112,41.033,43.003,42.772,42.986,42.739,44.101,45.259,43.797,44.345,44.379,43.524,45.211,46.352,45.79,49.854,61.085,60.826,62.673,62.474,65.176,65.889,65.848,64.634,61.224,61.482,59.77,62.31,62.324,66.398,68.207,65.47,65.69,66.859,68.713,69.349,75.153,75.069,77.155,82.739,84.26,82.426,82.491,82.695,87.277,90.327,87.193,95.444,96.199,99.814,104.652,108.854,104.69,103.546,104.09,101.961,93.052,97.561,96.653,112.735,106.942,105.477,106.409,111.541,119.673,119.74,122.824,119.355,119.28,118.399,118.441,121.538,121.228,121.056,121.678,120.8,122.551,122.897,120.507,121.105,122.105,122.188
"30","22","  Other business services \3\","Y802RA3",1.45,1.519,1.605,1.646,1.648,1.629,1.68,1.711,1.805,1.886,1.976,2.061,2.123,2.151,2.152,2.194,2.227,2.292,2.38,2.507,3.787,3.788,3.824,3.95,4.153,4.422,4.534,4.704,4.867,5.043,5.307,5.389,5.343,5.296,5.232,5.363,5.82,5.896,6.631,6.798,6.911,7.018,6.955,7.137,6.94,7.427,7.651,7.93,8.373,8.676,8.608,8.723,10.443,10.514,10.651,10.997,10.185,10.437,10.285,10.501,10.66,10.273,10.337,10.001,10.068,9.894,10.099,10.562,15.612,15.59,15.385,15.539,15.29,15.438,15.515,15.912,16.159,16.413,16.395,16.863,18.288,19.021,19.586,19.907,19.244,19.537,19.984,21.202,22.392,23.513,23.858,24.219,23.495,23.525,24.193,23.789,24.245,24.383,24.844,25.89,27.268,28.05,28.149,29.681,28.845,29.359,30.264,30.96,32.201,33.182,33.602,35.556,36.591,38.441,39.652,40.097,40.907,42.838,43.136,43.999,33.517,34.028,35.564,37.36,36.492,37.535,37.745,39.796,40.488,41.637,41.504,43.553,45.88,45.515,46.316,48.489,49.259,49.835,50.235,54.188,57.925,58.896,57.435,62.449,62.043,60.053,63.22,68.482,69.036,71.426,70.486,80.707,82.6,88.32,89.962,91.753,90.635,96.559,93.348,97.882,99.488,99.928,98.285,102.299,98.731,101.442,109.728,115.606,111.432,113.524,116.749,115.869,118.393,118.683,118.374,121.836,121.123,120.8,121.489,124.583,122.98,127.231,124.794,130.223,131.817,132.936
"31","23","  Government goods and services n.e.c.","Y803RA3",166.172,189.497,180.507,198.591,161.814,215.63,197.535,197.115,238.708,232.898,200.767,236.694,206.987,167.713,201.26,160.986,130.053,145.684,134.522,95.596,83.424,106.439,78.743,101.643,128.079,177.948,53.16,66.661,56.702,68.447,78.358,64.534,71.884,71.665,86.88,97.353,104.262,94.271,92.596,104.29,95.005,93.619,84.84,85.417,71.97,98.629,104.609,88.984,79.304,93.077,100.135,89.24,88.184,95.644,103.112,87.353,106.048,120.167,98.359,97.809,82.962,86.572,76.782,71.078,76.36,73.875,61.956,56.317,67.191,53.316,55.104,47.43,62.781,49.195,44.34,58.32,54.204,54.935,54.969,49.217,51.084,60.878,47.536,48.596,49.098,54.282,57.311,49.666,68.308,63.766,64.508,52.458,66.059,72.093,71.279,59.81,69.84,68.758,84.463,59.776,67.169,52.27,61.762,52.493,52.151,77.054,72.971,62.079,72.085,75.268,72.35,68.561,62.412,58.477,55.284,47.156,53.163,85.277,71.272,58.576,53.401,57.44,62.344,56.738,54.715,64.833,68.852,65.29,54.96,58.039,62.484,50.559,52.166,48.752,55.66,47.81,47.102,46.971,60.97,64.671,72.896,68.803,71.677,63.361,83.315,86.304,87.849,75.807,90.787,110.537,99.798,105.22,113.391,83.147,92.235,140.55,92.237,103.384,86.53,85.753,85.537,100.662,124.434,89.367,91.461,93.26,97.281,88.993,107.345,116.67,113.934,106.86,102.172,100.791,103.56,113.439,107.83,106.249,109.92,96.83,105.043,89.109,91.093,79.288,88.456,85.06
"32","24","  Other","B980RA3",18.15,18.405,18.775,19.213,19.939,20.343,20.708,20.946,20.849,20.942,21.205,21.527,21.903,22.631,23.584,24.709,26.15,27.278,28.298,29.171,29.635,30.356,31.005,31.732,32.751,33.436,33.965,34.386,34.553,34.884,35.231,35.622,36.131,36.577,37.09,37.657,37.981,38.771,39.86,41.063,43.157,44.088,44.577,44.672,43.131,43.272,43.744,44.532,47.822,47.579,46.05,43.28,36.113,34.193,34.05,35.763,42.669,45.315,47.067,47.924,45.172,45.619,46.801,48.631,57.361,62.104,62.798,62.351,59.377,58.433,57.878,57.794,59.105,60.212,60.512,60.377,59.832,59.693,62.647,61.431,63.366,63.4,61.639,60.775,60.35,60.584,62.025,64.649,66.219,68.026,72.164,72.709,74.855,76.759,77.57,79.476,81.631,83.642,85.943,86.055,88.476,91.541,91.031,93.638,95.418,94.504,93.425,92.599,90.63,88.271,88.615,88.062,87.943,89.28,87.077,87.905,88.031,87.045,86.648,83.889,86.933,84.874,86.265,88.257,88.368,88.271,85.657,83.387,81.518,80.416,79.879,79.072,78.257,79.974,80.506,82.199,81.828,81.592,80.352,79.24,79.372,80.183,82.253,83.162,81.943,81.498,81.71,81.52,82.687,81.752,79.972,79.032,79.763,77.674,81.429,78.691,79.363,82.443,83.344,88.988,96.406,101.854,100.165,101.575,93.919,93.025,92.065,94.745,102.402,106.842,111.122,111.563,123.088,130.747,133.753,130.201,119.916,113.28,108.006,104.795,101.414,100.023,99.338,99.995,100.207,101.394
"33","25","    Imports of goods and services","B021RA3",10.786,12.914,12.747,12.607,12.565,12.814,12.784,12.983,12.83,13.797,14.102,13.147,15.068,14.533,14.835,15.503,16.22,15.752,15.317,15.431,14.908,15.698,15.423,15.27,13.738,12.639,13.689,14.42,15.324,15.987,16.64,17.19,18.004,18.17,17.917,18.171,19.39,19.451,19.705,19.976,19.921,20.029,19.723,20.154,20.169,18.705,17.36,18.292,19.076,19.104,18.887,19.428,18.874,18.566,19.427,18.665,19.092,20.56,22.161,23.248,25.118,26.17,26.847,27.634,27.024,28.352,28.078,29.179,29.152,30.393,31.235,31.476,31.288,32.068,32.692,33.443,33.287,32.904,33.68,34.707,34.868,35.033,34.985,35.618,36.748,36.686,36.538,35.558,35.153,35.778,36.784,37.597,37.87,38.493,39.1,40.036,40.902,41.747,42.297,43.996,45.021,46.699,48.012,49.363,50.446,50.925,51.1,51.753,53.436,54.632,56.403,57.515,59.972,61.985,64.27,65.658,68.122,69.683,70.62,72.901,73.966,76.091,78.926,80.869,84.115,86.71,89.706,89.658,88.165,85.56,83.845,82.685,85.061,87.728,89.028,90.91,89.648,91.062,92.231,95.534,98.466,102.514,103.55,105.991,107.242,108.471,108.759,112.043,114.46,115.855,116.743,117.054,118.935,119.474,119.44,117.956,119.083,118.013,115.624,110.909,100.176,96.094,99.688,104.043,106.745,111.829,115.771,116.517,117.412,118.292,119.249,120.582,121.285,121.877,122.069,120.906,121.147,122.766,123.507,123.828,124.682,127.579,127.327,130.473,132.742,133.65
"34","26","Imports of goods \1\","B255RA3",9.217,11.672,11.433,11.144,11.163,11.253,11.219,11.533,11.476,12.583,13.027,11.87,13.951,13.293,13.86,14.51,15.263,14.876,14.646,14.754,14.056,14.868,14.612,14.35,12.678,11.594,12.8,13.519,14.487,15.211,15.883,16.45,17.344,17.472,17.263,17.51,18.728,18.806,19.026,19.271,19.234,19.355,19.028,19.514,19.54,17.974,16.479,17.412,18.151,18.161,17.989,18.575,17.879,17.379,18.38,17.407,17.928,19.42,21.084,22.263,23.896,24.874,25.395,26.053,25.238,26.725,26.63,27.896,27.679,29.432,30.048,30.245,29.763,30.359,31.088,31.637,31.538,31.224,31.999,33.06,33.16,33.298,33.091,33.777,34.781,34.652,34.402,33.373,33.168,33.718,35.052,35.892,36.405,37.305,38.064,39.049,40.106,41.016,41.537,43.258,44.323,46.285,47.888,49.576,50.532,51.229,51.338,51.916,53.763,55.115,56.984,58.37,60.884,63.199,65.497,66.966,69.434,71.064,71.888,74.556,76.87,79.543,82.636,84.645,87.99,90.511,93.615,93.956,92.253,88.694,87.008,86.297,87.914,91.654,93.303,94.631,93.54,96.005,96.252,99.792,102.561,106.785,108.306,110.983,112.402,113.549,113.815,117.48,119.479,121.019,122.298,121.479,123.569,123.921,123.775,121.945,122.624,121.511,118.458,112.253,100.241,95.302,99.674,104.783,108.121,114.077,118.241,119.036,120.587,120.814,121.477,123.106,123.872,124.388,124.582,123.211,123.541,125.157,125.968,126.192,127.64,130.693,130.422,133.545,135.894,136.793
"35","27","  Foods, feeds, and beverages","B647RA3",22.854,31.153,31.079,30.643,30.85,30.307,31.107,31.345,29.562,32.358,40.101,25.581,35.436,31.316,34.807,34.28,35.005,34.397,34.078,35.821,36.702,32.854,30.004,29.32,24.543,24.376,32.171,32.904,31.197,31.274,33.808,33.46,33.023,32.959,30.384,32.078,36.261,35.586,34.586,37.778,37.359,38.898,34.702,37.063,33.623,31.968,30.261,32.983,34.467,32.634,32.122,34.827,30.183,34.456,36.67,35.338,35.62,36.915,37.866,37.907,41.416,40.23,42.396,43.954,44.439,43.97,44.046,42.817,44.224,45.444,44.511,45.234,46.613,46.915,45.96,44.406,46.022,42.28,44.509,43.787,43.648,43.037,46.858,47.031,49.283,46.821,46.157,45.224,44.044,45.559,44.799,44.594,43.887,49.032,48.591,47.459,47.49,47.502,47.967,48.242,48.873,49.353,49.4,47.951,50.263,49.38,50.175,50.679,53.133,54.024,56.382,56.99,57.848,59.774,62.775,62.46,64.575,64.791,65.429,65.848,69.351,72.11,72.69,73.791,74.5,75.959,77.897,78.383,77.2,78.564,83.133,81.62,82.405,84.043,85.33,85.837,88.377,89.918,91.302,94.007,95.818,97.386,95.363,97.078,97.291,99.1,100.695,101.982,106.444,105.344,105.129,106.818,110.007,107.732,106.867,104.36,107.82,106.483,104.664,105.131,101.73,100.177,99.421,98.672,101.928,103.059,103.786,100.357,101.727,102.648,103.15,109.33,107.948,105.999,108.224,110.706,113.12,113.198,111.137,112.361,114.061,121.088,119.189,118.267,121.671,124.799
"36","28","  Industrial supplies and materials","IB0000043",28.212,35.524,33.257,32.969,32.715,32.808,32.457,35.007,33.893,38.404,38.639,35.433,39.784,39.592,41.01,44.027,45.889,45.522,44.201,45.597,39.121,44.384,45.404,46.806,41.939,37,39.125,42.239,44.314,47.652,49.872,52.337,56.426,55.731,55.761,54.516,56.136,55.019,57.011,56.609,56.613,55.897,54.712,54.889,53.912,47.047,40.944,43.148,45.823,44.277,43.046,42.989,40.18,35.601,40.397,38.622,35.489,40.745,45.635,44.489,46.971,48.073,46.928,48.43,42.466,47.658,45.825,49.424,47.904,51.99,54.102,54.551,50.991,50.252,54.32,55.095,55.166,54.075,54.465,56.381,57.265,54.828,55.006,56.122,60.899,56.82,56.276,52.265,53.205,54.814,57.121,58.355,58.735,58.635,60.252,63.195,63.685,64.033,65.209,69.308,70.359,71.829,75.393,76.093,76.014,75.413,74.714,75.029,77.353,79.068,81.286,83.413,83.534,84.671,86.027,88.599,91.712,94.067,94.867,95.672,98,99.183,101.12,101.929,105.221,104.381,105.843,106.619,109.138,103.796,101.79,103.202,102.141,104.494,105.293,109.581,105.104,109.964,111.669,110.082,116.785,120.104,123.09,126.63,126.562,125.849,124.539,130.75,128.05,128.819,132.539,124.061,124.435,126.957,124.744,121.454,120.479,117.616,116.467,117.36,107.984,96.235,97.231,98.55,102.741,107.829,109.226,104.854,108.702,108.294,106.784,106.56,103.432,103.453,103.81,101.189,99.018,99.209,100.261,99.03,100.405,99.336,98.344,101.747,102.357,100.379
"37","29","    Durable goods","B820RA3",36.005,48.123,43.341,42.263,40.835,42.217,42.375,45.408,44.433,50.385,49.124,43.079,49.106,50.073,51.413,56.422,56.748,52.933,50.916,50.99,47.334,49.939,52.886,55.04,47.824,38.278,36.71,40.361,43.721,47.405,49.862,49.758,47.438,53.985,55.451,56.94,58.246,58.144,59.894,59.937,56.606,56.743,55.378,54.827,53.892,45.479,40.158,44.18,45.314,50.33,49.695,48.827,42.852,39.276,38.746,37.71,42.899,46.915,52.667,55.156,61.149,63.457,61.918,62.737,60.215,62.52,60.921,60.779,64.599,66.161,62.273,67.054,61.98,60.073,59.203,63.33,63.513,58.388,57.888,60.617,58.568,57.384,56.879,57.574,57.988,55.965,58.637,57.968,53.585,53.768,55.48,57.031,60.033,59.827,59.743,61.853,62.841,62.587,67.176,72.621,73.621,78.073,81.088,85.154,85.807,84.485,79.109,80.086,83.977,86.819,89.732,92.339,91.648,93.942,95.057,99.321,104.98,109.758,110.965,112.876,111.902,113.439,114.311,121.665,124.405,122.919,122.475,122.227,120.269,114.433,114.632,113.679,119.375,120.121,122.644,125.466,122.277,120.48,121.806,127.479,132.683,144.562,154.195,159.09,157.893,158.74,152.377,162.311,176.07,173.963,176.147,165.03,161.467,162.2,156.32,145.167,149.826,145.51,144.913,131.958,109.309,93.168,95.016,102.508,109.012,116.958,117.9,115.751,122.228,125.798,125.516,123.498,133.132,131.265,129.793,129.85,134.327,132.788,134.882,135.41,142.938,151.357,150.983,159.612,159.435,153.381
"38","30","    Nondurable goods","IB0000073",24.619,29.195,28.446,28.66,29.16,28.412,27.708,30.081,28.826,32.645,33.85,32.3,35.799,34.853,36.4,38.273,41.241,43.118,42.136,44.345,36.328,42.558,42.838,43.936,39.948,36.76,40.287,43.207,44.82,48.035,50.169,53.572,60.005,56.705,56.216,53.969,55.703,54.183,56.259,55.655,56.937,55.878,54.743,55.154,54.176,47.704,41.355,43.081,46.132,42.968,41.573,41.709,39.686,34.821,41.001,39.029,33.718,39.338,44.023,41.914,43.475,44.262,43.221,44.925,38.053,44.022,42.071,46.624,43.427,48.416,53.188,51.767,48.747,48.467,54.559,54.084,54.098,54.75,55.564,57.144,59.53,56.375,56.844,58.178,64.943,59.817,57.923,52.623,55.507,57.827,60.539,61.711,60.953,60.892,63.311,66.759,67.077,67.719,67.423,71.082,72.212,72.288,76.29,75.435,75.018,74.731,76.193,76.197,77.888,79.175,81.186,83.203,83.665,84.358,85.906,87.828,89.886,91.104,91.686,91.839,96.044,97.043,99.577,97.625,101.316,100.748,102.99,104.168,108.273,102.992,100.144,102.636,98.75,101.891,102.134,107.098,102.123,109.172,111.067,107.012,114.411,115.028,115.96,119.239,119.623,118.483,118.48,123.74,116.971,118.33,122.373,114.476,115.929,118.948,117.643,116.177,114.015,111.389,110.047,113.683,107.687,97.045,97.739,97.529,101.163,105.566,107.072,102.178,105.44,104.204,102.443,102.566,96.96,97.322,98.03,94.9,91.463,91.997,92.833,91.253,91.405,88.498,87.374,89.679,90.492,89.561
"39","31","      Petroleum and products","B648RA3",22.157,24.197,23.688,25.505,26.487,25.521,24.337,26.868,23.758,28.504,31.568,34.207,33.984,33.639,37.233,39.295,44.924,51.376,52.252,56.228,41.837,51.451,50.857,52.996,48,44.505,49.586,51.796,52.592,56.802,60.191,64.2,76.372,70.271,68.765,65.858,67.581,63.051,67.987,67.298,70.52,66.565,65.753,66.141,64.86,55.235,47.371,49.762,52.329,47.623,45.355,45.032,43.11,35.772,43.837,40.99,32.601,40.454,47.094,41.864,42.646,43.369,41.868,43.248,34.052,41.817,39.71,45.118,40.02,48.94,57.198,52.52,46.831,48.044,57.763,54.873,54.898,56.576,57.387,60.67,64.96,59.701,61.186,62.356,73.856,64.552,60.542,51.893,58.834,61.047,65.522,64.534,63.57,61.825,65.083,70.75,70.657,70.107,69.176,76.216,75.377,74.285,80.024,75.846,75.261,71.962,76.131,76.63,78.994,80.585,81.929,83.78,84.046,82.954,84.12,87.631,89.194,89.533,91.188,92.186,100.798,97.369,97.766,93.236,99.822,98.842,100.862,103.841,109.153,103.741,99.018,103.338,98.28,100.547,100.352,106.381,102.017,110.828,112.031,107.757,115.698,112.657,113.618,119.262,117.031,116.33,116.302,120.853,114.016,115.408,121.318,110.924,112.574,114.143,111.798,112.198,110.098,106.737,105.076,113.325,109.85,98.574,96.876,94.7,97.914,102.669,103.829,97.527,101.37,99.191,96.833,96.973,91.324,91.567,90.728,88.212,84.227,84.987,84.68,82.756,83.536,79.291,77.504,80.737,81.546,80.59
"40","32","      Nondurable goods, excluding petroleum and products","B696RA3",18.414,22.947,22.299,21.614,21.708,21.295,21.053,22.638,22.774,24.94,24.762,21.374,25.858,24.873,24.826,25.99,26.563,25.37,23.619,24.023,23.417,24.027,25.394,24.947,22.933,20.682,21.596,25.057,27.587,28.902,28.948,31.003,28.517,29.61,30.605,29.582,31.045,33.759,31.738,31.316,29.904,32.803,31.264,31.628,31.213,31.259,28.134,28.361,32.465,32.86,33.482,34.685,32.472,32.954,35.013,34.95,36.182,37.148,37.675,42.142,45.311,46.232,46.219,48.733,46.925,49.045,47.217,49.543,49.527,48.873,50.124,52.146,52.618,50.656,52.084,54.936,54.84,54.29,55.026,54.912,55.378,54.422,53.621,55.138,56.129,55.907,56.629,56.679,53.404,56.091,57.005,60.661,60.114,61.943,63.433,64.409,65.17,67.199,67.593,68.125,71.125,72.322,74.702,77.093,76.784,79.517,78.311,77.799,78.812,79.732,82.523,84.737,85.404,88.268,90.309,90.649,93.361,95.306,94.843,93.99,94.537,98.991,103.852,105.474,105.524,106.169,109.125,107.658,110.005,104.656,104.217,104.423,101.947,106.424,107.399,110.913,104.874,109.403,112.388,108.582,115.277,122.326,123.211,121.921,127.695,125.606,125.693,132.722,126.092,127.436,126.362,125.174,126.309,133.339,135.073,127.812,125.544,125.528,125.105,113.98,102.086,92.627,99.685,105.603,110.588,113.819,116.421,116.142,117.279,119.754,120.413,120.443,115.296,116.133,122.986,117.603,116.498,116.173,121.359,121.179,118.94,120.944,122.297,121.369,122.263,121.273
"41","33","  Capital goods, except automotive","B650RA3",0.692,0.898,0.906,0.895,0.929,0.924,0.826,0.852,0.813,0.901,0.905,0.879,1.142,1.077,1.088,1.164,1.279,1.3,1.427,1.509,1.416,1.452,1.538,1.472,1.509,1.281,1.333,1.463,1.589,1.625,1.693,1.857,1.708,1.8,1.75,1.962,2.256,2.249,2.283,2.531,2.628,2.807,2.902,3.069,3.349,3.369,3.245,3.473,3.573,3.828,4.041,4.391,4.381,4.492,4.33,4.029,4.567,4.723,5.381,6.172,6.789,7.601,8.265,8.493,8.516,8.713,8.652,9.225,9.308,10.048,10.195,10.3,10.25,11.075,11.891,12.286,12.29,12.865,13.454,13.835,13.828,14.793,14.991,15.712,15.613,16.002,16.077,16.394,16.494,17.026,17.609,17.772,18.428,19.72,20.535,21.143,21.716,23.093,23.455,24.864,26.349,27.744,29.106,31.013,32.146,34.209,36.226,38.002,39.048,39.933,41.784,44.439,47.514,50.809,53.686,55.315,57.915,59.199,59.754,61.568,63.061,67.196,70.364,73.058,75.381,81.702,85.837,85.869,81.611,73.011,68.888,67.923,69.821,72.099,72.286,72.736,73.084,74.84,75.421,80.399,83.819,88.501,91.383,94.159,94.921,99.557,100.388,103.67,107.698,110.087,112.499,113.416,116.151,117.788,119.53,120.109,122.925,124.527,121.67,112.208,99.018,94.258,99.316,107.408,110.413,119.187,125.774,129.929,132.239,136.335,139.924,143.495,147.841,149.192,147.471,146.998,148.558,148.896,152.081,154.246,155.468,161.25,163.893,165.66,166.261,167.174
"42","34","    Civilian aircraft, engines, and parts","B932RA3",4.292,3.878,3.923,4.126,3.734,4.54,3.622,4.676,4.879,5.406,5.225,3.298,7.409,9.735,9.494,12.318,11.821,10.94,12.792,12.875,11.143,12.83,12.13,8.681,9.705,11.068,7.183,8.282,6.912,5.715,5.609,5.685,5.7,7.785,7.047,11.211,10.385,11.52,9.988,10.405,14.563,14.004,12.877,20.359,28.229,32.673,27.772,36.265,36.332,34.149,30.464,39.852,32.694,30.818,24.836,28.981,26.807,22.396,21.101,31.535,27.167,24.628,32.403,29.807,35.707,42.686,36.834,44.176,38.253,55.021,42.407,44.222,40.05,50.428,51.754,57.432,47.311,62.464,61.287,60.382,57.285,70.224,62.896,74.215,62.152,69.458,65.029,83.039,68.184,72.137,73.492,68.222,70.112,77.508,71.695,75.777,61.232,66.091,59.312,70.672,63.568,66.887,54.151,65.329,58.173,59.924,55.971,57.148,57.677,65.444,67.449,71.497,70.085,76.718,94.275,89.755,88.719,110.799,110.182,117.815,108.182,111.205,123.307,115.24,110.602,116.69,123.753,139.901,140.901,139.365,137.071,143.905,125.829,108.687,97.787,114.158,101.089,102.868,97.709,110.708,88.843,102.179,99.039,112.838,103.735,112.97,95.697,99.314,110.119,106.479,104.433,115.75,123.124,128.222,126.615,125.52,131.436,132.318,117.407,107.886,99.881,103.904,96.492,99.723,95.602,97.504,100.896,103.413,105.85,105.423,105.729,117.392,105.68,111.435,116.829,124.609,126.164,128.012,135.056,137.789,142.004,147.542,155.465,142.965,149.242,154.883
"43","35","    Computers, peripherals, and parts","B852RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,0.004,0.004,0.004,0.005,0.005,0.006,0.006,0.007,0.007,0.008,0.009,0.009,0.008,0.009,0.01,0.012,0.013,0.015,0.018,0.016,0.018,0.02,0.023,0.028,0.034,0.034,0.039,0.043,0.051,0.049,0.055,0.061,0.065,0.081,0.088,0.091,0.104,0.109,0.121,0.13,0.149,0.173,0.185,0.289,0.36,0.415,0.504,0.588,0.699,0.776,0.802,0.76,0.751,0.805,0.931,1.076,1.207,1.332,1.43,1.624,1.872,2.185,2.412,2.471,2.603,2.747,2.778,2.973,3.182,3.425,3.798,3.77,3.709,3.686,3.879,4.34,4.66,5.06,5.243,5.671,6.443,7.171,7.481,7.97,8.697,9.293,9.723,10.469,11.388,12.202,13.445,13.651,14.871,16.436,18.244,18.841,19.69,20.48,21.461,23.85,26.067,27.8,28.512,31.051,32.394,32.891,36.001,38.806,42.494,43.963,45.406,45.194,49.581,53.42,51.509,48.322,45.212,43.565,44.479,49.433,50.083,50.382,50.352,51.814,53.136,54.463,58.979,62.081,66.065,69.876,72.678,73.396,75.369,78.83,81.871,86.742,89.459,93.11,93.815,101.614,98.87,98.235,100.207,104.463,107.77,104.382,89.185,85.627,89.99,103.892,120.491,122.183,128.972,129.622,126.999,126.176,136.223,142.928,140.075,145.999,144.538,136.198,139.905,141.633,137.267,142.012,144.351,137.057,140.088,143.516,150.63,140.527,142.858
"44","36","    Other","B853RA3",1.577,2.079,2.08,2.057,2.135,2.075,1.855,1.887,1.78,1.976,1.975,1.95,2.457,2.259,2.297,2.416,2.676,2.726,2.965,3.156,2.962,2.996,3.194,3.099,3.166,2.625,2.809,3.076,3.366,3.456,3.593,3.939,3.61,3.755,3.637,4.002,4.645,4.554,4.662,5.172,5.271,5.63,5.884,6.041,6.442,6.361,6.126,6.394,6.602,7.162,7.711,8.187,8.322,8.546,8.264,7.401,8.262,8.482,9.799,10.886,12.12,13.643,14.578,15.1,15.056,15.239,15.169,15.737,15.741,16.306,16.795,16.698,16.289,17.089,18.086,18.255,18.514,18.909,19.872,20.608,20.364,21.453,21.71,22.085,22.415,23.004,23.376,22.929,23.011,23.383,23.862,24.173,24.763,25.853,26.739,27.309,28.514,29.988,30.29,31.863,34.153,35.54,37.83,39.423,41.665,44.085,46.374,47.713,49.001,49.309,51.801,55.455,58.822,62.196,64.455,67.099,69.528,68.865,69.47,69.457,70.606,74.683,78.051,82.302,86.871,93.994,97.679,97.677,92.554,80.196,74.529,71.665,73.367,78.385,79.545,78.722,79.674,81.605,82.284,86.541,92.526,96.572,99.459,101.015,102.787,108.2,109.568,112.874,115.729,118.573,120.872,120.774,120.775,123.916,127.042,127.234,129.109,130.1,128.813,121.528,103.998,94.68,97.912,103.41,107.844,118.252,127.463,134.306,137.668,140.191,143.099,147.817,153.816,155.549,155.125,152.069,153.556,155.284,157.358,159.368,163.078,169.815,171.411,173.433,176.861,176.589
