"","Table 1#7#3# Real Gross Domestic Product, Real Gross National Pr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","Equals: Gross national product","B001RA3",7.322,6.701,6.266,5.455,5.381,5.954,6.487,7.316,7.698,7.446,8.039,8.736,10.288,12.223,14.296,15.437,15.282,13.529,13.401,13.969,13.886,15.097,16.326,16.99,17.778,17.685,18.95,19.364,19.776,19.611,20.959,21.505,22.066,23.425,24.45,25.864,27.541,29.331,30.136,31.621,32.6
"12","5","Less: Consumption of fixed capital","A262RA3",4.32,4.422,4.426,4.328,4.227,4.157,4.178,4.253,4.389,4.465,4.526,4.642,4.922,5.501,6.397,7.436,8.104,8.219,8.118,8.134,8.227,8.393,8.717,9.161,9.694,10.203,10.668,11.147,11.641,12.192,12.591,12.987,13.485,14.063,14.729,15.439,16.279,17.263,18.282,19.283,20.294
"13","6","  Private","A024RA3",5.142,5.245,5.214,5.058,4.9,4.785,4.781,4.835,4.971,5.026,5.059,5.161,5.338,5.386,5.26,5.189,5.232,5.504,5.968,6.446,6.834,7.202,7.562,7.855,8.215,8.588,8.995,9.432,9.855,10.336,10.61,10.852,11.212,11.63,12.149,12.738,13.509,14.426,15.323,16.208,17.172
"14","7","  Government","A264RA3",2.082,2.203,2.349,2.473,2.574,2.659,2.776,2.94,3.102,3.279,3.458,3.659,4.413,7.217,12.584,18.74,22.467,21.805,18.932,16.639,15.218,14.321,14.433,15.661,17.089,18.302,19.05,19.733,20.579,21.473,22.525,23.722,24.933,26.33,27.738,29.064,30.237,31.538,33.163,34.737,35.958
"15","8","    General government","A265RA3",1.941,2.049,2.181,2.29,2.385,2.47,2.588,2.75,2.903,3.071,3.241,3.431,4.237,7.311,13.209,19.989,24.112,23.376,20.194,17.63,16.025,14.986,15.068,16.373,17.913,19.209,19.992,20.698,21.579,22.512,23.612,24.857,26.113,27.574,29.048,30.426,31.629,32.97,34.663,36.283,37.507
"16","9","    Government enterprises","A266RA3",4.148,4.458,4.793,5.122,5.317,5.425,5.535,5.755,6.06,6.367,6.7,7.063,7.38,7.54,7.587,7.585,7.505,7.538,7.62,7.894,8.199,8.633,9.038,9.589,10.012,10.488,10.937,11.445,11.993,12.548,13.198,13.99,14.822,15.686,16.523,17.411,18.361,19.339,20.389,21.591,22.829
"17","10","Equals: Net national product","A027RA3",7.986,7.214,6.685,5.72,5.651,6.366,7.012,8.009,8.445,8.118,8.834,9.666,11.513,13.762,16.105,17.261,16.91,14.733,14.598,15.295,15.169,16.628,18.073,18.785,19.628,19.385,20.838,21.23,21.615,21.267,22.842,23.42,23.99,25.532,26.636,28.212,30.08,32.053,32.801,34.392,35.357
"18",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Net domestic product","A362RA3",7.999,7.223,6.701,5.737,5.675,6.402,7.049,8.063,8.492,8.159,8.88,9.73,11.583,13.857,16.229,17.394,17.047,14.831,14.671,15.357,15.24,16.705,18.14,18.856,19.715,19.46,20.913,21.294,21.674,21.348,22.937,23.506,24.064,25.598,26.699,28.274,30.152,32.163,32.911,34.501,35.485
"20","12","  Net domestic purchases","W367RA3",7.904,7.159,6.659,5.714,5.659,6.364,7.072,8.065,8.453,8.038,8.749,9.544,11.462,13.887,16.437,17.603,17.128,14.212,13.878,14.913,14.783,16.452,17.72,18.54,19.531,19.193,20.637,20.929,21.248,21.137,22.711,23.094,23.633,25.211,26.237,27.692,29.646,31.737,32.556,34.244,35.234
