"","Table 1#5#4# Price Indexes for Gross Domestic Product, Expanded ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240"
"11","3","  Durable goods","B003RG3",36.774,37.11,37.307,37.785,38.032,38.553,39.942,40.008,39.995,39.768,39.306,39.365,39.174,39.55,40.019,40.568,42.153,42.375,42.423,42.933,43.253,42.792,43.291,42.161,42.61,42.647,42.364,42.504,42.855,41.75,41.017,40.76,41.055,41.265,41.658,41.776,41.912,42.002,42.652,43.247,43.602,44.233,44.21,44.282,45.117,44.928,44.89,44.75,45.544,45.721,45.704,45.679,45.6,45.525,45.371,45.282,45.282,45.517,45.737,45.671,45.661,45.779,45.88,45.699,45.7,45.843,45.983,46.136,46.237,46.177,46.127,46.027,46.065,45.875,45.615,45.329,45.256,45.421,45.603,45.788,45.664,45.893,46.43,46.923,47.221,47.514,47.91,48.352,48.596,48.964,49.202,49.505,49.599,49.779,50.156,51.058,51.834,52.223,52.076,51.768,52.227,52.524,52.786,52.588,52.833,53.231,53.488,53.653,54.167,55.487,57.637,59.414,60.365,61.544,62.233,63.235,64.073,64.802,65.572,66.664,67.271,67.635,68.34,69.27,70.32,71.409,72.578,73.844,75.068,76.403,77.258,78.59,80.817,82.623,84.102,85.564,86.676,88.35,89.667,90.821,91.599,92.343,92.618,92.871,93.535,93.862,94.353,94.975,94.938,95.565,95.756,95.943,96.443,96.699,96.545,96.794,96.797,97.278,98.068,98.596,99.429,100.19,100.939,101.301,101.04,101.552,102.22,102.873,103.427,103.521,103.802,104.119,104.572,104.455,104.464,104.753,105.693,105.879,106.274,106.477,106.497,106.748,106.798,106.98,106.962,107.584,108.113,108.703,109.055,109.697,110.475,110.683,111.054,110.89,110.49,110.253,110.394,109.587,109.228,108.817,108.369,107.29,106.581,106.031,105.245,104.524,103.773,103.067,102.292,101.833,101.455,100.923,100.471,100.337,99.715,99.477,99.137,98.369,97.669,97.279,96.496,96.029,95.594,94.946,93.906,92.879,91.833,90.868,90.898,90.866,90.31,90.449,90.648,90.527,89.839,89.659,89.484
"12","4","    Motor vehicles and parts","B165RG3",21.742,21.753,22.083,22.407,22.654,22.926,24.709,24.51,24.622,24.686,24.415,24.429,24.462,24.655,24.627,24.689,25.441,25.627,25.707,26.686,27.35,26.88,27.616,25.903,26.643,26.69,26.095,26.296,26.958,25.486,24.809,24.827,25.239,25.614,26.099,26.273,26.512,26.482,27.195,27.72,28.31,28.935,28.769,28.702,29.734,29.693,29.888,29.736,31.113,31.325,31.276,31.245,30.99,30.792,30.521,30.372,30.388,30.739,31.128,31.088,31.111,31.342,31.549,31.303,31.32,31.515,31.675,31.777,31.877,31.828,31.838,31.757,31.869,31.677,31.457,31.266,31.18,31.343,31.432,31.502,31.158,31.413,32.062,32.577,32.578,32.743,32.997,33.282,33.33,33.52,33.606,33.869,33.869,34.038,34.52,35.598,36.481,36.73,36.26,35.745,36.266,36.545,36.745,36.227,36.388,36.719,36.805,36.775,36.869,37.957,39.943,41.347,41.828,42.578,43.179,44.052,44.85,45.563,46.421,47.726,48.188,48.397,48.903,49.962,50.927,51.654,52.692,53.674,54.728,55.999,56.546,57.341,58.841,59.772,60.8,62.053,62.751,64.524,65.874,66.885,67.334,68.031,68.444,68.491,69.335,69.704,70.353,71.183,71.282,72.048,72.578,72.732,73.408,73.674,73.941,74.309,74.626,75.243,76.272,76.996,77.501,78.811,79.872,80.328,79.497,79.835,80.844,81.437,82.409,82.821,82.712,83.121,83.24,82.818,82.872,83.429,84.649,85.075,85.719,86.101,86.031,86.737,87.319,87.837,88.521,89.68,90.862,91.988,92.515,93.523,94.875,96.316,97.394,98.031,97.918,98.469,99.526,99.567,99.862,100.382,100.725,100.143,99.864,99.879,99.304,98.753,99.203,99.365,99.159,99.143,99.871,100.056,99.753,100.206,99.838,100.203,100.722,100.58,100.24,100.477,100.189,99.986,100.222,99.852,98.942,98.225,97.373,96.015,96.282,96.492,96.431,97.47,98.823,98.97,98.209,98.806,99.503
"13","5","    Furniture and household equipment","B166RG3",73.401,74.453,75.221,76.202,76.603,77.683,78.908,79.4,78.662,77.444,77.081,77.274,76.504,77.396,79.41,81.526,85.151,85.645,85.074,84.747,84.37,83.483,83.655,83.092,83.103,83.282,83.616,83.509,83.018,82.785,82.232,81.317,81.15,80.955,81.135,81.107,80.851,81.201,81.85,82.803,82.766,83.261,83.516,83.902,84.574,83.558,82.999,82.884,82.662,82.894,82.96,82.929,83.185,83.343,83.396,83.375,83.256,83.275,83.139,82.926,82.762,82.566,82.362,82.281,82.216,82.134,82.18,82.4,82.357,82.226,81.948,81.723,81.554,81.363,80.985,80.481,80.382,80.605,80.978,81.421,81.685,81.741,82.147,82.603,83.561,84.269,84.824,85.459,86.003,86.696,87.23,87.71,88.018,88.407,88.556,89.054,89.455,89.928,90.343,90.44,90.736,90.975,91.334,91.746,92.104,92.579,93.108,93.597,94.904,97.067,100.153,103.103,105.069,106.598,107.531,108.881,109.969,110.644,111.176,111.756,112.834,113.422,114.411,115.133,116.174,118.175,119.725,121.734,123.4,124.69,125.808,127.697,130.431,132.814,134.976,136.794,139.064,141.131,143.024,144.529,146.013,147.356,147.283,147.734,147.69,147.811,147.666,147.803,147.468,147.62,146.932,147.045,147.061,147.086,145.401,145.481,144.512,144.706,144.534,144.508,145.462,144.95,144.599,144.156,144.307,144.855,144.655,144.74,144.371,143.463,144.068,143.992,143.769,143.301,143.067,142.567,142.671,142.3,141.554,140.721,140.935,140.244,139.293,138.868,137.555,137.274,136.763,136.697,136.613,136.686,136.473,134.661,133.976,132.733,131.344,129.599,128.314,126.162,124.96,123.066,121.207,119.205,117.404,115.966,114.324,113.169,110.565,108.464,106.988,105.518,103.916,102.293,101.51,100.677,99.595,98.217,96.407,94.639,93.251,91.939,90.229,89.384,88.188,86.95,85.695,84.044,82.204,81.471,81.015,80.446,79.448,78.932,78.18,77.74,76.415,75.545,74.773
"14","6","    Other","B167RG3",29.908,30.223,29.342,29.589,29.61,30.071,30.431,30.682,31.118,31.162,30.054,30.084,29.875,30.078,30.175,30.264,31.736,31.598,32.368,32.17,32.055,32.359,32.496,32.624,32.493,32.406,32.794,33.014,33.145,32.55,31.644,31.344,31.818,31.762,31.779,31.806,31.937,32.089,32.311,32.486,32.309,32.85,33.008,33.154,33.22,33.614,33.496,33.384,33.291,33.226,33.244,33.263,33.407,33.516,33.599,33.665,33.706,33.745,33.777,33.824,33.909,33.955,34.021,34.034,34.058,34.215,34.336,34.535,34.791,34.809,34.845,34.867,34.871,34.788,34.638,34.389,34.429,34.468,34.667,34.86,35.003,35.305,35.476,35.808,36.159,36.277,36.812,37.397,37.865,38.318,38.627,38.738,38.869,38.765,38.912,39.522,40.112,40.659,40.965,41.022,41.301,41.62,41.885,42.198,42.504,42.865,43.266,43.609,44.26,44.964,46.013,47.127,48.032,49.716,50.254,51.004,51.454,52.054,52.56,53.191,53.505,53.971,54.714,55.16,56.115,56.95,57.696,58.609,59.493,60.697,61.888,63.746,66.855,69.901,71.5,72.854,73.545,74.211,74.573,75.491,76.164,76.218,76.464,76.991,77.824,78.197,78.854,79.263,79.182,79.759,79.903,80.233,80.614,81.036,81.352,81.334,81.552,81.833,82.794,83.214,84.658,85.311,86.314,87.32,88.279,89.136,89.779,91.189,91.626,92.104,93.036,93.542,95.723,96.942,97.128,97.649,98.81,99.112,100.396,101.552,101.564,101.885,101.902,102.013,101.967,102.409,102.659,102.72,103.214,103.659,104.369,104.442,104.628,104.178,104.641,104.89,105.089,104.425,103.895,103.732,103.752,103.066,103.211,102.833,103.022,102.673,102.297,101.95,101.071,101.405,100.545,100.343,100.188,99.983,99.647,100.183,100.646,100.374,100.21,100.117,100.027,99.731,99.241,99.165,98.289,97.844,98.037,97.53,98.049,98.652,97.951,97.48,97.231,97.247,98.201,98.023,97.583
"15","7","  Nondurable goods","B004RG3",18.501,18.666,19.002,19.586,19.886,20.078,20.256,20.018,19.724,19.476,19.264,19.141,19.025,19.128,19.681,20.095,20.953,21.106,21.038,21.301,21.324,21.263,21.328,21.408,21.282,21.19,21.238,21.231,21.298,21.394,21.307,21.213,21.221,21.156,21.168,21.152,21.195,21.399,21.605,21.674,21.886,22.003,22.224,22.285,22.653,22.702,22.631,22.544,22.646,22.694,22.815,22.904,22.911,23.061,23.132,23.251,23.294,23.171,23.228,23.214,23.304,23.38,23.422,23.542,23.595,23.59,23.745,23.802,23.926,23.936,23.996,24.085,24.172,24.381,24.528,24.611,24.92,25.141,25.341,25.526,25.582,25.673,25.935,26.13,26.409,26.67,26.951,27.25,27.479,27.869,28.278,28.624,29.012,29.35,29.572,29.847,29.949,30.245,30.521,30.722,31.046,31.172,31.455,31.817,32.438,33.377,34.222,35.317,36.958,38.215,39.276,40.36,40.974,41.214,42.078,42.674,42.831,42.955,43.522,44.076,44.868,45.727,46.253,46.798,47.462,48.618,49.489,50.371,51.733,53.402,55.011,56.443,58.472,59.84,61.081,62.405,64.172,64.874,65.479,65.993,66.4,66.512,67.368,67.541,67.504,68.313,68.81,68.917,69.693,69.848,70.085,70.39,70.919,71.411,71.64,72.201,72.012,70.738,71.056,71.287,72.709,73.444,74.144,74.628,74.977,75.77,76.73,77.348,78.317,80.109,80.228,80.714,82.547,83.153,84.679,86.525,86.377,86.635,86.844,87.26,87.464,87.862,88.418,88.677,88.996,88.981,88.758,89.157,89.009,89.235,90.022,90.153,90.213,90.564,90.782,90.958,91.718,92.568,92.577,93.403,93.833,93.678,93.801,94.026,93.578,93.521,93.973,94.213,94.566,95.801,96.751,97.575,98.816,99.717,100.562,100.905,101.256,102.121,101.895,100.852,100.895,102.238,102.464,102.76,104.179,103.56,104.356,104.509,106.031,107.744,107.781,108.982,109.327,110.854,112.985,113.218,113.519
"16","8","    Food","B168RG3",16.365,16.407,16.756,17.356,17.517,17.593,17.707,17.314,17.086,16.928,16.758,16.692,16.548,16.681,17.217,17.529,18.472,18.596,18.514,18.923,19.016,19.022,19.138,19.049,18.788,18.669,18.718,18.736,18.786,18.92,18.74,18.622,18.623,18.511,18.457,18.374,18.351,18.587,18.787,18.837,19.028,19.099,19.352,19.383,19.906,20.062,19.929,19.88,19.931,19.898,19.976,19.99,20.012,20.22,20.23,20.397,20.467,20.377,20.358,20.359,20.526,20.6,20.661,20.757,20.858,20.827,20.976,21.018,21.209,21.256,21.373,21.47,21.472,21.714,21.884,21.941,22.362,22.617,22.781,22.914,22.841,22.859,23.123,23.267,23.511,23.727,23.963,24.257,24.409,24.783,25.264,25.669,26.155,26.476,26.694,26.872,26.892,27.315,27.569,27.76,28.236,28.393,28.72,29.091,29.957,31.146,32.372,33.493,34.829,35.688,36.534,37.885,38.527,38.526,39.358,40.014,40.031,40.027,40.549,40.966,41.695,42.826,43.35,43.809,44.812,46.521,47.588,48.408,50.034,51.191,51.879,52.882,53.859,54.997,56.727,58.385,59.4,59.86,60.714,61.042,61.677,62.28,62.747,62.784,62.991,63.649,63.872,64.283,65.377,65.587,66.065,66.279,66.77,66.966,67.163,67.757,68.241,68.633,69.52,70.026,70.698,71.238,71.648,71.998,72.522,73.211,74.427,75.06,76.046,77.214,77.981,78.668,80.124,80.664,81.69,82.253,83.329,84.112,84.116,84.193,84.52,84.739,85.175,85.358,85.635,86.133,86.357,86.87,87.036,87.357,88.029,88.295,88.783,89.451,89.803,90.255,90.858,91.66,92.497,93.343,93.658,93.928,94.397,94.805,95.258,95.577,96.031,96.607,97.078,97.446,97.876,98.443,98.997,99.626,100.458,100.918,101.781,102.524,103.435,104.03,104.545,104.798,105.032,105.43,105.927,106.524,107.221,108.277,108.974,110.017,110.69,111.365,111.633,112.596,112.972,113.655,114.425
"17","9","    Clothing and shoes","B169RG3",42.781,43.609,44.014,44.891,45.807,46.557,46.827,46.831,45.762,44.823,44.02,43.422,43.213,43.271,44.278,45.813,47.448,48.185,48.194,48.023,47.681,46.792,46.326,47.772,47.857,46.967,46.756,46.544,47.054,46.981,47.329,47.07,46.908,46.85,47.057,47.048,47.352,47.669,48.066,48.267,48.398,48.475,48.556,48.704,48.735,48.735,48.732,48.722,48.891,49.04,49.26,49.353,49.478,49.739,49.923,50.019,50.068,49.969,50.215,50.19,50,50.174,50.416,50.472,50.555,50.677,50.815,51.005,51.101,51.186,51.124,51.109,51.336,51.513,51.845,51.991,52.388,52.824,53.348,53.89,54.544,55.061,55.674,56.228,57.05,58.071,59.041,59.854,60.715,61.485,62.327,63.064,63.617,64.062,64.654,65.454,65.921,66.426,66.737,67.001,67.531,67.8,67.883,68.688,69.249,70.293,70.738,71.424,72.738,74.636,76.645,77.64,77.823,77.9,78.525,78.889,79.596,80.267,81.469,82.157,83.341,83.475,84.796,85.181,84.837,86.082,86.088,86.46,86.684,87.46,87.637,88.436,89.708,90.301,90.882,91.935,92.485,93.159,93.804,93.874,94.164,94.684,94.754,94.34,94.811,95.393,96.255,95.708,95.859,95.275,96.029,96.529,97.333,97.704,97.961,98.348,97.404,96.319,97.208,97.526,98.925,100.002,100.309,101.636,101.627,103.595,103.727,105.167,104.961,105.439,104.206,105.407,106.977,108.697,109.065,109.136,109.438,109.98,110.986,111.774,111.281,111.124,111.361,111.662,111.475,110.605,110.655,110.612,109.221,109.718,109.019,107.911,106.775,106.366,106.114,105.969,105.79,105.302,103.924,104.307,104.674,105.839,104.808,104.383,103.3,102.739,103.404,102.383,101.012,101.616,101.101,101.424,100.537,99.912,99.717,99.835,99.746,98.435,97.372,96.49,96.091,95.816,95.089,94.464,93.626,92.719,92.86,92.906,92.663,93.127,92.498,92.362,92.543,92.117,91.161,91.109,90.892
"18","10","    Gasoline, fuel oil, and other energy goods","A173RG3",11.493,11.819,12.181,12.732,13.317,13.67,13.911,14.008,13.964,13.947,13.921,13.881,13.894,13.922,14.172,14.347,14.513,14.48,14.381,14.53,14.626,14.697,14.808,14.822,14.97,15.158,15.47,15.605,15.596,15.603,15.517,15.48,15.563,15.646,15.784,15.866,15.942,16.046,16.361,16.472,16.814,17.013,16.989,16.987,17.067,16.707,16.79,16.486,16.731,16.925,16.975,17.365,17.147,17.142,17.496,17.526,17.472,17.018,17.405,17.309,17.255,17.373,17.298,17.675,17.521,17.289,17.492,17.469,17.418,17.243,17.21,17.403,17.718,17.892,17.937,18.115,18.131,18.178,18.393,18.639,18.77,18.908,19.002,19.062,19.19,19.168,19.343,19.403,19.627,20,19.956,19.912,19.84,20.213,20.107,20.504,20.511,20.169,20.55,20.809,20.551,20.398,20.823,21.265,21.572,22.341,22.743,25.027,29.71,32.415,32.891,32.44,32.554,33.163,35.146,35.798,35.476,35.146,35.764,36.709,37.7,38.264,38.221,39.07,39.212,39.148,39.938,41.838,43.78,49.956,58.05,62.804,71.76,75.19,75.062,75.959,83.708,84.648,83.467,84.086,82.179,77.711,80.97,79.814,75.417,77.538,78.773,77.298,77.642,77.54,75.213,75.475,75.482,77.353,76.773,77.07,72.302,59.491,55.599,54.258,60.133,61.453,64.02,64.23,62.865,62.712,63.538,62.668,64.342,72.566,69.221,67.539,72.841,71.537,77.992,90.833,80.6,76.114,75.317,76.398,75.089,75.833,77.215,78.104,78.156,75.908,73.753,75.514,74.538,73.492,77.571,78.515,77.782,77.854,76.906,75.684,79.351,83.686,81.259,84.375,85.92,80.318,81.187,81.506,74.806,71.559,71.312,69.816,67.64,75.683,81.756,85.881,95.494,99.186,102.463,102.857,100.541,105.423,97.192,83.754,81.303,91.75,92.898,96.217,110.451,102.48,106.004,103.194,114.529,125.991,123.842,132.036,132.561,144.473,166.716,163.493,161.013
"19","11","    Other","B172RG3",16.646,16.806,16.989,17.3,17.564,17.768,18.082,18.088,17.798,17.439,17.267,17.127,17.093,17.147,17.674,18.011,18.577,18.664,18.637,18.649,18.549,18.564,18.667,18.711,18.78,18.971,18.944,18.844,18.808,18.894,18.945,18.987,19.04,19.04,19.096,19.236,19.351,19.434,19.461,19.495,19.683,19.893,20.208,20.37,20.508,20.514,20.516,20.453,20.568,20.719,20.966,21.066,21.129,21.13,21.139,21.161,21.179,21.193,21.172,21.172,21.227,21.23,21.211,21.24,21.273,21.44,21.562,21.652,21.697,21.695,21.696,21.727,21.835,21.962,22.021,22.08,22.194,22.328,22.465,22.588,22.7,22.78,22.977,23.226,23.448,23.682,23.848,24.075,24.241,24.489,24.779,25.021,25.328,25.597,25.869,26.089,26.311,26.565,26.776,26.916,27.1,27.257,27.372,27.444,27.607,27.879,28.132,28.421,28.911,29.891,31.314,32.589,33.543,34.194,34.462,34.908,35.466,35.968,36.31,36.86,37.453,38.011,38.523,39.107,39.618,40.042,40.794,41.38,42.158,42.693,43.363,44.201,45.35,46.498,47.536,48.371,49.347,50.44,51.276,52.311,53.339,54.359,55.251,56.626,57.884,58.477,59.057,59.531,60.061,60.563,61.191,61.611,62.31,62.86,63.51,64.182,64.998,65.359,66.106,66.433,67.382,68.073,68.725,69.172,70.111,70.946,71.81,72.637,73.845,74.697,75.71,76.348,77.507,78.499,79.509,80.235,81.59,82.63,83.323,83.991,84.948,85.869,86.475,86.588,87.392,87.734,87.27,87.063,87.301,87.726,88.146,88.341,88.524,88.772,89.464,89.848,90.218,90.455,90.629,90.74,90.981,91.481,91.282,91.483,92.189,92.97,93.567,94.553,96.62,97.105,97.859,98.185,98.715,99.947,100.542,100.797,101.483,102.34,103.402,103.826,104.191,105.119,105.553,105.158,105.02,105.032,105.446,105.147,105.76,106.091,106.153,106.724,107.235,107.468,107.947,108.669,109.348
"20","12","  Services","B005RG3",10.131,10.195,10.448,10.66,10.726,10.852,11.039,11.14,11.157,11.201,11.262,11.362,11.429,11.462,11.604,11.751,11.909,12.013,12.115,12.289,12.373,12.49,12.632,12.757,12.951,13.083,13.278,13.432,13.518,13.534,13.587,13.674,13.765,13.84,13.929,14.041,14.144,14.213,14.326,14.418,14.54,14.611,14.732,14.867,14.956,15.014,15.118,15.216,15.372,15.408,15.514,15.647,15.725,15.831,15.947,16.046,16.076,16.137,16.211,16.269,16.372,16.445,16.5,16.546,16.619,16.662,16.72,16.802,16.885,16.97,17.063,17.146,17.213,17.288,17.366,17.468,17.577,17.729,17.882,18.054,18.151,18.267,18.405,18.575,18.799,19.021,19.23,19.462,19.711,19.977,20.235,20.5,20.766,21.028,21.291,21.614,21.9,22.202,22.521,22.737,22.998,23.178,23.41,23.63,23.825,24.176,24.568,24.956,25.468,26.06,26.638,27.211,27.83,28.302,28.841,29.409,29.905,30.287,30.834,31.388,32.016,32.63,33.265,33.82,34.482,35.143,35.758,36.474,36.926,37.867,38.766,39.704,40.699,41.721,42.831,44.077,45.27,46.195,47.247,48.27,49.172,49.957,50.99,51.992,52.807,53.259,54.284,54.847,55.56,56.433,57.118,57.61,58.438,58.979,59.605,60.157,61.084,61.77,62.341,62.966,63.386,63.886,64.608,65.314,66.224,67.077,67.94,68.729,69.628,70.335,71.05,71.82,72.721,73.854,74.734,75.478,76.432,77.03,77.834,78.691,79.659,80.316,81.011,81.749,82.334,83.173,83.7,84.172,84.771,85.356,86.148,86.716,87.353,88.041,88.646,89.24,89.792,90.501,91.186,91.898,92.485,93.065,93.57,94.099,94.598,95.04,95.503,96.133,96.535,97.094,97.62,98.322,99.276,99.685,100.194,100.845,102.149,102.997,103.512,104.368,104.937,105.608,106.39,107.137,108.036,108.887,109.647,110.414,111.402,112.303,113.12,113.955,114.803,115.633,116.508,117.834,118.714
"21","13","    Housing","B174RG3",12.413,12.478,12.759,13.186,13.313,13.415,13.549,13.688,13.834,13.894,13.956,14.085,14.273,14.35,14.476,14.576,14.799,14.951,15.127,15.354,15.505,15.631,15.732,15.934,16.165,16.345,16.621,16.87,16.963,16.982,17.004,17.055,17.161,17.241,17.267,17.342,17.415,17.488,17.634,17.676,17.769,17.809,17.929,18.052,18.079,18.204,18.301,18.42,18.408,18.53,18.601,18.712,18.76,18.808,18.895,18.972,19.012,19.11,19.175,19.181,19.281,19.311,19.393,19.422,19.505,19.563,19.596,19.678,19.711,19.756,19.819,19.855,19.902,19.963,20.008,20.069,20.162,20.244,20.301,20.45,20.563,20.638,20.729,20.847,20.987,21.15,21.286,21.454,21.618,21.806,22.054,22.287,22.533,22.77,23.008,23.295,23.577,23.862,24.119,24.296,24.518,24.692,24.92,25.141,25.477,25.735,25.998,26.285,26.473,26.65,26.956,27.405,27.982,28.383,28.793,29.317,29.787,30.182,30.708,31.334,32.087,32.771,33.407,34.01,34.532,35.067,35.645,36.383,36.973,37.645,38.572,39.688,40.372,41.181,42.199,43.413,44.412,45.438,46.615,47.78,48.657,49.354,50.335,51.241,51.916,52.62,53.192,53.781,54.45,55.332,56.136,56.808,57.608,58.571,59.531,60.41,61.265,62.214,62.842,63.604,64.271,65.075,65.631,66.506,67.391,67.982,68.663,69.345,70.018,70.75,71.564,72.468,73.17,74.083,75.23,75.676,76.261,76.729,77.087,77.761,78.354,78.856,79.278,79.803,80.398,81.089,81.484,82.006,82.653,83.327,83.783,84.354,84.999,85.802,86.48,87.216,87.832,88.488,89.143,89.697,90.287,91.009,91.681,92.394,93.086,93.894,94.658,95.5,95.967,96.633,97.223,97.856,98.803,99.562,100.376,101.259,102.212,103.344,104.429,105.483,106.564,107.411,108.187,108.939,109.654,110.061,110.698,111.409,112.018,112.976,113.686,114.247,115.07,115.799,116.419,117.18,118.165
"22","14","    Household operation","B186RG3",15.774,15.863,16.014,16.093,16.311,16.421,16.518,16.581,16.654,16.682,16.815,16.978,17.049,17.069,17.239,17.319,17.434,17.523,17.634,18.067,18.192,18.316,18.441,18.669,18.867,18.932,19.068,19.157,19.295,19.094,19.155,19.318,19.4,19.456,19.578,19.601,19.725,19.702,19.836,19.949,20.032,20.132,20.292,20.576,20.725,20.827,20.993,21.07,21.22,21.323,21.653,21.86,22.048,22.208,22.303,22.356,22.397,22.451,22.436,22.491,22.539,22.584,22.663,22.686,22.807,22.871,22.857,22.919,22.918,23.083,23.164,23.206,23.203,23.203,23.297,23.413,23.231,23.434,23.637,23.732,23.78,23.84,23.949,24.063,24.332,24.563,24.695,24.913,25.105,25.308,25.518,25.775,25.936,26.243,26.6,27.135,27.614,28.065,28.691,28.894,29.328,29.581,29.866,30.19,30.565,30.958,31.232,31.784,32.933,34.125,34.993,35.676,36.708,37.278,37.923,38.951,39.957,40.641,41.317,42.32,43.147,43.633,44.292,44.881,45.412,46.351,46.931,47.567,48.208,48.951,50.177,51.33,52.648,53.958,55.969,57.052,58.731,60.617,62.918,64.872,66.689,68.272,69.297,71.221,72.598,73.262,73.641,74.709,76.085,76.779,77.985,78.5,78.907,79.676,80.113,80.379,80.939,81.177,81.325,80.487,80.285,80.447,80.948,80.78,80.728,81.59,82.036,82.829,83.056,83.591,84.085,84.4,84.987,85.223,85.188,85.877,87.721,88.067,88.562,89.331,89.61,90.061,90.559,91.325,91.564,92.482,93.222,93.613,94.097,94.268,94.482,94.524,95.342,95.292,95.511,95.783,96.417,97.098,97.66,98.157,99.171,98.874,98.877,99.119,98.162,98.4,98.085,97.952,98.004,97.798,97.979,98.59,98.858,99.208,100.319,101.616,105.223,105.189,104.763,103.298,103.096,102.992,103.957,104.679,106.726,108.011,108.086,107.941,108.866,109.542,110.54,111.062,112.31,113.924,115.755,120.931,122.639
"23","15","      Electricity and gas","B175RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.626,18.704,18.923,19.116,19.308,19.46,19.543,19.565,19.624,19.675,19.615,19.627,19.639,19.621,19.677,19.606,19.632,19.61,19.531,19.592,19.479,19.624,19.645,19.632,19.596,19.523,19.504,19.579,19.582,19.611,19.584,19.578,19.621,19.623,19.695,19.758,19.785,19.825,19.876,19.892,19.96,20.134,20.303,20.544,20.68,20.847,21.114,21.621,22.015,22.332,22.74,22.948,23.247,23.475,23.724,24.012,24.476,24.766,25.017,25.597,27.174,28.611,29.676,30.638,32.243,32.885,33.585,34.768,35.485,36.187,36.815,38.137,39.447,40.001,40.899,41.564,42.066,43.324,43.646,44.465,45.56,46.7,48.655,50.493,52.563,55.222,57.465,58.829,60.912,63.075,65.565,67.336,69.89,71.678,72.8,75.892,77.252,78.088,78.204,79.699,79.998,80.943,82.776,83.212,83.388,83.856,83.365,83.386,83.834,83.299,83.357,81.329,81.428,81.443,82.256,81.582,81.407,81.711,82.543,83.672,83.73,84.303,85.01,85.461,86.003,85.906,85.843,86.518,88.669,88.222,88.514,89.431,89.415,89.951,90.535,91.736,91.579,93.208,93.986,94.013,93.991,93.728,93.66,93.407,93.953,93.611,93.823,94.176,94.929,95.659,96.549,97.027,99.031,97.725,97.795,98.324,95.72,95.565,94.56,93.913,94.039,94.04,94.723,95.476,96.102,97.818,101.33,104.75,113.872,113.377,111.098,106.478,104.865,104.927,105.024,106.219,110.501,114.853,114.736,113.791,115.485,116.927,118.981,120.215,122.161,125.641,130.013,142.813,145.895
