"","Table 5#5#4U# Price Indexes for Private Fixed Investment in Equi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"11","4","    Computers and peripheral equipment","B935RG3",755989.711,593570.424,438509.45,311056.541,204300.127,170900.039,141215.744,98982.238,80422.97,68628.809,62138.226,55815.127,42498.154,34278.97,32499.936,26535.01,24546.16,20500.736,17840.35,12067.405,9999.091,7804.036,6858.437,6173.201,5146.729,4163.808,3539.787,3049.288,2597.304,2412.554,2252.823,2044.054,1836.292,1567.117,1331.668,1171.121,980.096,747.403,576.17,428.065,333.314,291.687,241.498,209.756,187.539,174.007,153.434,134.346,120.591,108.738,100,96.005,92.053,90.17,89.527
"12","5","    Communication equipment","B275RG3",87.16,86.548,86.02,85.277,85.863,87.099,86.718,87.631,90.496,94.97,100.159,104.8,110.062,115.246,118.046,127.926,140.666,148.182,144.017,150.111,153.04,163.45,176.651,186.631,191.759,197.772,201.557,202.326,203.814,203.814,203.918,203.833,204.528,202.956,200.768,197.52,191.501,187.993,186.563,175.839,164.323,158.414,149.756,141.437,126.907,118.274,115.923,112.608,110.317,104.449,100,98.406,96.979,91.996,90.06
"13","6","    Medical equipment and instruments","W176RG3",28.355,28.695,28.772,28.861,28.799,28.637,28.77,29.582,30.24,31.02,31.935,33.422,34.4,34.692,35.588,38.34,44.305,47.163,49.835,53.778,58.459,64.411,70.45,74.396,76.744,78.653,79.034,82.403,85.955,87.725,89.606,92.093,94.131,96.543,98.25,99.053,100.255,100.668,99.335,98.488,97.806,97.15,97.576,98.229,99.521,99.472,99.488,99.369,99.222,99.823,100,100.012,100.992,101.132,100.546
"14","7","      Electro-medical equipment","W878RG3",32.572,32.931,32.572,32.024,31.477,31.387,31.935,32.842,31.755,32.752,34.296,37.026,38.302,37.574,37.942,40.394,47.489,51.135,53.227,58.872,66.991,75.392,85.061,89.902,92.831,94.652,95.939,100.265,103.93,106.032,106.646,108.397,110.555,113.01,114.13,113.765,114.592,113.461,110.904,109.73,107.895,105.892,105.171,105.207,105.203,103.492,102.566,102.114,100.944,100.656,100,99.53,100.176,100.23,99.15
"15","8","      Medical instruments","W879RG3",25.81,26.126,26.304,26.555,26.638,26.462,26.473,27.218,28.331,29.02,29.753,30.891,31.753,32.304,33.328,36.069,41.35,43.778,46.613,49.59,52.523,57.246,61.695,65.125,67.141,69.048,68.945,71.762,75.163,76.727,79.105,81.847,83.763,86.069,87.947,89.189,90.502,91.588,90.907,90.261,90.245,90.366,91.455,92.5,94.703,95.948,96.79,96.963,97.754,99.164,100,100.381,101.623,101.829,101.595
"16","9","    Nonmedical instruments","W177RG3",20.891,21.519,21.847,22.143,22.366,22.209,22.252,23.223,24.419,25.259,26.092,27.026,28.287,28.887,29.363,31.247,35.674,38.2,40.854,43.142,45.665,49.192,53.475,56.967,60.038,60.5,62.261,64.546,66.631,69.056,71.294,74.051,76.164,78.297,79.92,81.242,82.659,83.989,85.421,86.033,86.624,87.541,88.314,89.439,90.621,91.459,92.74,94.208,96.095,98.109,100,100.204,101.918,103.98,104.86
"17","10","    Photocopy and related equipment","B285RG3",82.078,82.675,84.519,86.191,85.909,85.594,86.678,86.516,88.656,85.795,84.168,84.515,84.513,83.475,83.837,85.755,89.215,92.773,93.958,97.569,101.887,114.922,119.486,120.474,122.829,124.382,127.133,133.907,139.332,144.238,149.006,152.195,155.204,160.405,154.95,152.41,155.007,143.93,132.706,117.907,114.411,109.764,106.418,98.913,97.68,96.665,96.03,95.115,96.274,98.492,100,100.568,100.898,102.368,102.839
"18","11","    Office and accounting equipment","B936RG3",67.073,67.077,67.245,66.846,67.388,67.726,67.992,68.396,69.895,69.968,70.762,72.334,73.249,73.211,74.73,77.336,81.901,81.15,84.636,83.055,80.532,81.442,82.941,84.808,85.539,85.702,84.708,89.643,94.227,96.314,97.392,96.578,96.786,97.901,99.523,101.178,102.228,100.922,100.151,99.915,99.725,99.294,97.822,97.488,97.512,98.236,97.6,97.079,97.243,98.789,100,99.216,100.551,102.853,103.079
"19","12","  Industrial equipment","B680RG3",16.033,16.353,16.218,16.217,16.268,16.413,16.658,17.1,17.843,18.592,19.221,20.176,21.077,21.507,22.112,24.192,29.156,31.598,34.465,37.485,41.165,46.521,50.964,53.391,54.487,55.096,56.011,58.561,61.088,63.834,66.153,69.324,71.795,73.386,74.39,75.906,78.496,80.125,80.671,81.126,81.598,82.053,82.587,82.619,83.241,85.282,88.455,91.213,94.543,98.693,100,101.055,103.941,105.829,106.115
"20","13","    Fabricated metal products","B263RG3",16.4,16.887,16.493,16.485,16.579,16.52,16.537,16.719,17.139,17.574,18.074,18.913,19.935,20.652,21.317,23.704,28.948,30.545,33.408,37.253,41.561,47.166,51.118,54.898,56.046,55.86,56.369,55.858,55.577,59.318,62.322,63.989,65.204,66.079,65.552,65.708,68.678,71.041,71.24,70.833,70.186,70.005,70.762,71.688,72.618,76.797,82.008,87.126,92.581,99.054,100,101.161,104.073,106.697,104.547
"21","14","    Engines and turbines","B668RG3",15.253,15.287,14.883,14.101,14.027,14.175,14.311,14.43,15.031,15.867,16.64,18.044,19.505,20.158,20.827,21.922,26.068,30.37,33.483,37.123,39.015,47.672,51.997,52.334,53.567,53.756,53.901,54.844,56.186,57.777,62.573,69.16,72.022,73.243,73.302,75.558,77.783,79.169,80.346,80.672,81.851,82.261,82.413,83.076,83.699,84.23,84.397,86.529,89.615,95.09,100,98.514,100.896,102.235,102.879
"22","15","      Steam engines","BA13RG3",15.344,15.377,14.82,13.792,13.707,13.839,13.913,13.984,14.734,15.678,16.464,17.954,19.497,20.155,20.888,21.829,25.764,30.428,33.822,37.637,38.517,48.935,52.676,51.089,51.822,51.892,51.965,52.369,53.569,55.089,60.896,69.394,72.364,73.247,72.708,75.09,77.203,78.241,79.384,79.823,80.874,81.064,81.016,81.506,82.044,82.176,81.206,83.101,87.076,94.346,100,98.166,101.295,102.925,103.597
"23","16","      Internal combustion engines","BA14RG3",15.549,15.584,15.763,15.866,15.821,16.019,16.301,16.527,16.794,17.291,18.046,19.114,20.187,20.837,21.193,23.041,28.302,31.312,33.701,37.082,40.809,46.784,52.125,56.263,58.638,59.07,59.358,61.265,62.896,64.666,67.285,69.411,72.046,74.132,75.575,77.585,80.033,81.993,83.225,83.395,84.796,85.684,86.508,87.909,88.91,90.289,91.94,94.494,95.999,97.249,100,99.366,100.332,101.187,101.786
"24","17","    Metalworking machinery","B271RG3",14.729,15.384,15.484,15.818,15.861,16.083,16.49,17.033,17.66,18.471,19.087,20.096,20.547,21.002,21.684,23.96,28.71,30.79,33.987,37.437,42.083,48.182,52.666,55.731,56.42,57.213,58.448,62.087,65.06,67.808,69.705,72.678,75.787,77.644,79.229,81.385,84.32,86.23,86.826,87.519,87.931,88.546,88.805,88.623,88.764,90.271,93.752,94.88,96.116,99.179,100,100.52,103.262,105.447,105.698
"25","18","    Special industry machinery, n.e.c.","B272RG3",12.657,12.984,13.027,13.146,13.455,13.763,14.008,14.425,15.199,15.883,16.606,17.42,18.256,18.746,19.452,22.144,26.641,28.966,31.954,35.016,38.719,43.439,48.15,50.379,51.989,53.285,54.373,58.082,61.58,64.783,66.768,70.213,73.351,75.624,76.924,78.649,81.599,83.568,84.273,84.888,85.777,85.864,86.164,85.654,86.323,88.804,91.121,93.532,96.634,99.368,100,100.781,103.511,104.613,104.564
"26","19","    General industrial, including materials handling, equipment","B273RG3",15.618,15.943,15.98,16.014,16.133,16.294,16.65,17.242,17.932,18.642,19.389,20.515,21.56,22.041,22.534,24.121,29.052,31.723,34.327,36.885,40.229,45.134,49.49,50.963,51.702,52.183,52.967,55.918,58.84,61.863,63.772,66.85,69.077,70.764,72.101,73.758,75.946,77.378,78.067,78.706,79.332,79.812,80.681,81.36,82.378,84.63,88.266,90.839,93.94,98.145,100,100.83,103.762,106.202,107.417
"27","20","    Electrical transmission, distribution, and industrial apparatus","B276RG3",26.378,26.268,25.43,25.025,24.447,24.264,24.202,24.491,25.836,26.91,27.163,27.791,28.686,28.343,28.768,30.833,37.228,40.402,43.273,45.612,48.411,53.656,58.761,61.875,63.454,63.973,65.093,66.415,68.344,69.344,72.631,76.151,78.244,78.921,79.434,80.308,82.689,83.361,83.362,83.35,83.434,84.637,85.178,83.931,83.882,84.618,86.944,90.776,95.453,99.904,100,102.932,106.129,107.167,107.216
"28","21","  Transportation equipment","B681RG3",23.334,23.298,23.248,22.997,22.89,22.689,22.628,22.605,22.972,23.608,24.325,25.491,26.756,27.33,27.626,30.197,33.57,35.978,38.772,42.266,45.893,50.711,54.489,56.955,57.809,58.411,60.175,63.941,64.95,65.662,67.895,70.889,74.521,76.094,76.442,78.567,78.723,80.839,82.982,83.309,83.673,83.665,83.392,84.648,86.626,90.192,90.725,91.38,92.759,93.178,100,93.112,95.004,97.177,98.722
"29","22","    Trucks, buses, and truck trailers","B279RG3",20.05,19.567,19.57,19.501,19.291,19.223,19.502,19.574,19.991,20.55,21.109,22.092,23.618,24.424,24.727,27.17,30.629,33.312,36.707,39.977,43.366,47.769,54.123,57.426,59.011,61.085,62.157,64.939,64.699,65.415,68.084,70.997,74.377,76.368,78.001,80.87,82.499,84.436,86.52,87.024,88.18,87.463,85.966,86.976,88.701,91.594,91.197,90.515,91.155,90.089,100,90.526,92.251,94.562,96.313
"30","23","      Light trucks (including utility vehicles) \1\","W178RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.063,47.206,48.872,52.821,56.943,57.685,57.535,59.853,59.741,62.074,64.627,64.718,65.269,64.013,62.437,63.214,64.788,67.134,65.472,63.599,63.104,60.917,100,37.08,37.633,38.546,39.532
"31","24","      Other trucks, buses, and truck trailers \1\","W179RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.376,61.357,64.084,65.289,66.942,69.395,71.983,74.406,77.626,77.958,77.622,78.721,80.396,81.312,81.146,81.992,82.788,84.874,87.939,90.843,94.211,97.158,100,102.165,104.719,107.476,108.147
"32","25","    Autos \1\","B280RG3",41.721,41.838,41.398,40.215,39.815,39.174,38.163,37.606,37.625,38.608,39.562,41.01,42.564,42.237,41.551,44.347,46.612,48.383,50.618,55.654,59.871,65.886,65.188,64.361,63.941,62.695,65.685,72.184,74.813,75.189,76.684,79.842,84.307,85.072,83.248,84.571,81.063,83.518,86.968,87.027,85.333,83.439,81.305,82.938,84.312,88.529,86.887,87.949,89.374,89.474,100,84.911,86.438,87.86,88.664
"33","26","    Aircraft","B281RG3",11.922,11.974,12.09,12.486,13.056,12.771,13.056,13.225,13.737,14.133,14.645,15.552,16.233,16.577,17.199,19.072,20.434,22.988,24.803,26.696,29.694,33.272,36.491,40.446,41.678,42.574,43.668,44.863,45.644,46.584,48.647,51.662,54.65,57.014,58.363,60.173,62.744,64.884,65.837,65.908,66.679,69.923,73.576,74.76,77.987,82.063,86.852,90.808,93.616,97.889,100,101.017,103.734,106.813,108.597
"34","27","    Ships and boats","B282RG3",13.078,13.527,13.536,13.585,13.789,14,14.176,14.517,14.943,15.527,16.29,17.253,18.056,18.902,20.181,22.947,25.628,27.107,29.106,31.498,34.456,37.741,41.363,46.309,47.743,49.743,51.226,53.08,54.144,55.459,57.832,60.057,61.656,62.896,65.043,66.635,67.732,69.462,71.096,72.078,72.962,74.931,76.854,78.913,82.3,85.281,87.799,90.799,94.482,96.893,100,101.728,103.789,104.827,105.215
"35","28","    Railroad equipment","B283RG3",14.43,14.817,15.066,15.066,15.066,15.066,15.066,15.131,15.321,15.709,16.411,17.492,17.88,19.408,20.497,22.858,29.758,32.755,36.14,38.86,42.337,47.172,51.696,53.757,54.978,55.346,56.109,55.835,55.543,57.517,61.383,63.315,64.651,64.799,65.243,67.392,71.412,73.19,71.971,72.278,72.344,72.7,72.545,72.581,73.836,78.643,88.978,94.46,98.741,100.552,100,99.928,102.051,103.976,107.049
"36","29","  Other equipment","B682RG3",16.378,16.563,16.585,16.685,16.794,17.029,17.225,17.607,18.12,18.753,19.51,20.305,21.12,21.726,22.478,25.158,29.508,31.716,34.262,37.093,40.454,45.266,50.199,53.548,54.757,55.81,56.899,58.617,60.41,62.991,65.412,67.866,69.757,71.143,72.48,74.188,76.117,77.669,78.668,79.329,80.135,80.855,81.788,82.51,83.581,85.484,88.761,91.384,93.932,97.875,100,100.188,102.604,104.911,105.815
"37","30","    Furniture and fixtures","B667RG3",18.083,18.153,18.065,18.082,18.053,18.282,18.372,18.731,19.438,20.177,21.213,22.119,22.933,23.49,25.01,28.549,31.482,33.025,35.844,39.269,42.426,45.295,48.551,50.948,52.455,53.943,55.886,57.841,59.647,62.958,65.352,67.798,69.19,69.897,71.007,73.317,75.479,77.178,78.378,78.734,78.972,79.603,80.65,81.379,82.535,84.764,88.956,90.67,92.627,97.498,100,99.548,102.76,105.227,105.692
"38","31","      Household furniture","BA15RG3",20.723,20.795,21.158,21.295,21.513,21.658,21.739,22.384,23.11,24.054,25.062,25.861,26.587,27.088,28.253,31.016,33.743,35.199,37.571,40.39,43.628,48.455,52.273,55.153,56.176,57.816,59.471,61.099,62.977,65.826,68.08,70.041,71.613,72.736,74.051,75.855,77.836,79.437,80.345,80.736,80.799,81.317,82.007,82.674,83.739,85.806,89.942,92.273,93.446,98.229,100,98.396,101.285,104.163,105.12
"39","32","      Other furniture","BA16RG3",17.67,17.739,17.61,17.616,17.567,17.801,17.89,18.223,18.92,19.633,20.667,21.591,22.428,23.003,24.603,28.309,31.289,32.853,35.748,39.262,42.42,45.09,48.3,50.657,52.205,53.682,55.647,57.627,59.429,62.775,65.178,67.652,69.033,69.718,70.817,73.155,75.328,77.033,78.249,78.604,78.851,79.489,80.557,81.288,82.451,84.691,88.887,90.557,92.569,97.447,100,99.636,102.872,105.311,105.742
"40","33","    Agricultural machinery","B268RG3",12.546,12.779,12.998,13.3,13.518,13.756,14.124,14.575,15.083,15.506,16.156,16.783,17.547,18.354,18.913,21.461,25.189,27.238,29.439,31.828,35.041,40.104,45.053,49.291,51.427,52.744,52.939,54.903,56.046,57.716,60.109,62.271,64.857,67.536,69.029,70.855,72.445,74.099,74.799,75.518,76.812,77.325,78.126,79.063,80.427,83.004,86.498,88.76,91.478,96.495,100,100.945,103.695,105.672,106.44
"41","34","      Farm tractors","BA17RG3",11.98,12.109,12.417,12.73,12.92,13.171,13.357,13.795,14.233,14.789,15.477,16.102,16.783,17.46,17.889,20.31,24.135,26.123,28.136,30.643,33.574,38.535,43.413,47.585,49.456,50.38,50.288,54.238,55.98,57.913,60.203,62.797,66.563,71.236,72.247,74.067,75.177,76.402,76.516,77.122,78.639,78.772,78.822,78.965,80.234,82.689,85.706,88.066,90.616,96.576,100,100.24,102.644,104.511,104.939
"42","35","      Other agricultural machinery","W213RG3",12.732,13.017,13.19,13.483,13.716,13.943,14.414,14.868,15.413,15.75,16.374,16.999,17.794,18.655,19.275,21.867,25.533,27.598,29.876,32.195,35.524,40.601,45.547,49.784,52.045,53.584,53.942,55.013,55.909,57.463,59.887,61.889,64.029,65.923,67.605,69.432,71.227,73.047,74,74.776,75.965,76.666,77.841,79.172,80.59,83.241,87.046,89.244,92.081,96.441,100,101.4,104.373,106.426,107.435
"43","36","    Construction machinery","B269RG3",11.734,12.033,12.2,12.245,12.459,12.825,13.094,13.462,13.912,14.679,15.383,16.142,17.061,17.729,18.357,20.523,25.527,27.696,30.932,33.792,37.212,41.719,46.271,48.878,49.763,49.961,50.604,52.365,55.434,58.597,60.709,63.485,65.222,66.812,68.475,70.113,72.166,73.664,74.937,76.219,78.082,79.123,79.727,80.489,81.84,84.279,88.055,91.447,93.684,97.116,100,100.145,103.101,107.586,109.599
"44","37","      Construction tractors","BA18RG3",11.223,11.508,11.769,11.815,12.09,12.57,12.866,13.133,13.592,14.484,15.182,15.858,16.777,17.495,18.045,21.365,26.409,28.278,31.381,34.614,38.536,42.934,48.272,52.488,53.442,53.641,54.741,54.972,57.126,60.424,62.744,64.878,66.266,67.793,69.001,71.34,72.086,72.375,73.71,74.801,76.961,77.257,78.148,78.884,81.505,83.465,86.739,89.492,91.708,97.079,100,100.835,102.458,104.313,104.617
"45","38","      Other construction machinery","W214RG3",11.899,12.202,12.348,12.393,12.593,12.933,13.196,13.593,14.043,14.791,15.5,16.279,17.203,17.864,18.513,20.409,25.428,27.683,30.964,33.744,37.067,41.605,46.019,48.344,49.219,49.416,49.994,51.961,55.177,58.321,60.4,63.291,65.086,66.679,68.395,69.953,72.148,73.779,75.043,76.351,78.172,79.308,79.878,80.642,81.872,84.354,88.173,91.623,93.861,97.113,100,100.11,103.162,107.798,109.926
"46","39","    Mining and oilfield machinery","B270RG3",10.909,11.202,11.165,11.315,11.335,11.494,11.591,11.762,12.216,12.73,13.365,13.995,14.505,14.953,15.483,17.358,22.226,24.882,27.979,30.668,33.794,39.953,46.683,50.239,48.708,48.424,48.928,49.012,48.827,51.091,52.935,55.256,57.559,58.371,59.152,60.455,62.484,64.174,66.426,67.479,68.143,69.047,71.276,72.29,73.65,76.817,82.584,88.249,92.577,99.124,100,99.93,103.295,106.248,106.929
"47","40","    Service industry machinery","B570RG3",22.364,22.41,22.085,22.05,22.045,22.166,22.133,22.438,22.923,23.631,24.263,25.13,26.014,26.3,26.738,28.883,33.283,35.485,37.884,40.329,42.919,47.586,51.778,54.513,56.088,57.51,59.052,60.447,61.611,63.646,66.245,68.732,70.726,72.254,73.677,75.084,77.212,78.778,79.994,80.619,81.498,82.065,82.89,83.785,84.536,85.951,88.907,91.296,95.255,98.239,100,100.743,103.063,104.388,104.958
"48","41","    Electrical equipment, n.e.c.","B670RG3",32.809,32.379,31.981,31.554,30.934,30.793,30.499,30.846,30.631,31.172,31.921,33.198,34.252,34.402,35.327,38.646,44.225,46.841,49.84,52.994,56.641,61.081,65.898,68.658,69.132,71.406,72.933,74.573,77.681,79.744,81.604,83.148,83.965,85.141,85.341,85.925,87.779,88.33,88.172,88.065,87.932,88.099,88.318,87.908,88.283,89.33,90.804,92.837,96.172,99.261,100,100.008,102.165,103.754,104.199
"49","42","      Household appliances","BA19RG3",33.359,32.401,31.931,31.368,30.545,30.342,29.395,29.073,29.136,29.092,29.223,29.653,30.129,30.584,32.075,35.4,40.457,42.109,46.246,48.786,51.121,55.388,59.641,64.506,66.541,67.449,68.284,69.44,70.882,73.144,75.786,77.637,79.175,79.959,81.105,82.157,83.852,85.058,84.653,84.989,85.197,85.185,84.866,85.485,86.214,87.902,90.297,91.718,94.456,97.809,100,99.861,101.983,104.825,106.024
"50","43","      Miscellaneous electrical","BA20RG3",30.819,30.887,30.56,30.238,29.775,29.685,29.882,30.698,30.271,31.324,32.559,34.438,35.877,35.774,36.187,39.359,45.077,48.243,50.258,53.665,57.792,62.234,67.171,69.453,69.596,72.159,73.836,75.577,79.028,81.051,82.775,84.268,84.961,86.21,86.223,86.7,88.589,88.97,88.879,88.67,88.457,88.668,89.019,88.366,88.659,89.574,90.877,93.03,96.481,99.524,100,100.028,102.199,103.537,103.821
"51","44","    Other","B286RG3",23.47,23.528,23.483,23.491,23.605,23.721,23.802,24.185,24.571,25.159,25.956,26.855,27.529,27.997,28.73,31.901,35.711,37.709,38.364,40.973,44.611,50.019,55.774,59.872,61.172,62.066,62.785,64.557,66.051,68.385,71.138,73.657,75.721,76.919,78.395,79.798,81.493,82.962,83.556,84.099,84.608,85.399,86.368,86.965,87.894,89.119,91.269,93.824,95.758,98.553,100,100.014,101.107,102.118,102.598
"52","45","  Less: Sale of equipment scrap, excluding autos","B287RG3",12.506,10.844,11.284,9.634,9.505,11.279,12.132,12.201,11.023,10.536,12.692,14.824,12.249,12.788,19.356,32.85,22.379,24.563,22.933,24.812,28.467,30.804,32.946,32.662,33.571,34.479,34.313,33.869,40.433,57.274,55.784,54.547,48.411,46.349,49.163,57.565,65.437,59.022,60.211,51.22,46.99,52.309,46.882,48.465,58.935,97.133,91.032,109.877,129.325,166.989,100,159.289,189.976,167.068,154.368
"53","46","Residential equipment","B013RG3",56.761,56.138,55.123,53.919,53,52.457,51.355,50.568,50.669,51.754,52.924,53.952,54.828,55.008,55.343,58.765,64.412,67.692,69.871,73.256,77.454,82.491,88.444,93.896,96.232,97.003,96.419,96.92,98.295,99.269,100.174,100.914,100.481,100.396,100.93,102.845,103.168,103.716,103.588,102.984,101.337,101.074,101.121,100.486,97.669,95.024,97.532,99.748,101.083,100.946,100,94.723,92.943,94.749,91.499
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1. Includes net purchases of used vehicles; additional detail is available in table 7.2.4U.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","n.e.c. Not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
