"","Table 7#2#6U# Real Motor Vehicle Output, Chained Dollars","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68"
"11","3","A716RX B         Truck output","A716RX0",95528,97190,93680,81401,71314,80528,85822,83799,89011,93085,97404,109913,109993,111312,113342,125360,132054,127704,134642,137635,139035,140139,144040,150072,144075,150923,154512,157782,164877,164432,178471,192514,188339,192790,180421,215104,216852,214769,227914,225764,227717,220732,206620,200456,190153,208211,205302,218512,222235,236054,252166,249439,258702,257235,273295,275986,287225,280997,288878,296976,288694,291169,302858,280022,272839
"12","4","AB60RX B Final sales of domestic product","AB60RX0",260222,237684,237531,219976,212548,209521,217626,210708,222450,230592,235004,247274,232583,256841,252290,270965,287403,273548,277160,284525,272411,268951,284326,292882,290253,289413,293411,302775,307332,295849,316310,327847,311483,338164,337023,372700,343346,366423,371629,358158,382808,348553,345320,341035,352391,347174,342460,403266,366260,367032,392764,370513,376251,387455,417691,396078,398967,398438,426963,438624,437904,452751,470859,400611,425910
"13","5","AB61RX B   Personal consumption expenditures","AB61RX0",236680,223137,219107,205830,189145,186268,197504,193158,204876,207415,210159,214003,210673,220708,218515,228611,235147,230385,227752,234809,223137,222219,227938,231847,233849,237592,236700,238347,250244,240424,257763,265464,257174,279356,285127,315525,298030,321872,323301,310701,340891,315460,322133,323493,334485,329219,334179,389611,362442,362383,384553,365254,370918,383850,403161,390415,388342,382863,394923,395262,385038,392475,406826,344748,361723
"14","6","AB67RX B     New motor vehicles","AB67RX0",174623,162199,157679,145120,126592,126900,132188,130450,138600,138939,141777,145259,140588,150480,149749,160678,159020,157957,154510,160185,147926,149171,148344,155620,154576,153062,149587,154407,155795,150546,165484,172487,165893,186056,174831,192999,192140,202420,205417,207958,222096,212742,216217,205929,221693,221577,218842,282166,256731,243231,265622,255199,254694,277037,290119,278147,278942,272658,282794,276656,265239,291242,307254,243124,258760
"15","7","A136RX B       Autos","A136RX0",110789,103765,102002,93295,79275,79043,80627,80113,85675,82840,82966,85227,81132,86423,86300,91939,89425,88355,86881,88395,80119,81588,81521,85455,82543,81240,78229,80220,81111,75207,82848,84969,82542,89471,84508,91542,90772,97647,99442,102084,108018,105490,103052,97769,101847,99252,95265,118564,103834,101643,107605,100492,100832,101327,103840,99984,105091,102297,99059,100024,98877,108965,113558,101871,108264
"16","8","GAP51  D         Domestic","GAP510",70738,64825,65195,57527,50618,48880,50101,51412,54300,51353,53673,54595,53165,56154,56999,62887,61056,59598,57547,61113,53792,54879,56561,60558,59245,57572,52890,54444,53327,49363,54232,54289,52808,58415,54283,59405,58873,61922,63068,61413,69061,66638,64314,58347,64848,60018,57252,76658,63743,62491,67098,60826,61083,63679,63965,61079,63456,59777,58240,56896,58682,66585,68696,59262,66559
"17","9","GAP54  D         Foreign","GAP540",40053,38942,36810,35769,28659,30164,30528,28703,31377,31489,29295,30633,27968,30270,29302,29053,28370,28758,29336,27282,26327,26710,24961,24898,23299,23669,25339,25776,27784,25843,28616,30680,29734,31056,30225,32137,31899,35724,36374,40671,38957,38851,38738,39422,36999,39234,38012,41907,40091,39153,40506,39666,39749,37648,39875,38904,41635,42519,40818,43128,40196,42380,44862,42609,41705
"18","10","B704RX B       Light trucks (including utility vehicles)","B704RX0",62544,57150,54330,50637,46465,47046,50854,49603,52107,55502,58314,59503,59031,63627,63001,68293,69243,69277,67289,71513,67615,67351,66580,69912,71863,71672,71251,74094,74586,75306,82597,87499,83321,96594,90323,101470,101373,104771,105970,105873,114078,107255,113164,108158,119846,122326,123584,163623,152949,141606,158080,154795,153952,175835,186413,178287,173965,170468,183883,176754,166471,182397,193838,141114,150353
"19","11","W240RX B     Net purchases of used autos and used light trucks","W240RX0",59285,58718,59525,59513,62883,59186,65620,62746,66282,68820,68472,68611,70395,69930,68344,66993,75952,72043,73054,74408,75155,72986,79659,76172,79262,84568,87204,83993,94581,90003,92328,92983,91290,93094,110599,122841,105876,119552,117930,102745,118826,102728,105916,117527,112791,107673,115217,107879,106123,118997,119247,110504,116422,107347,113556,112813,109809,110689,112580,119049,120183,102080,100640,101741,103278
"20","12","A137RX B       Used autos","A137RX0",42481,42078,42617,42436,46241,41877,46784,44362,47288,48667,47623,47683,49930,49043,48246,46244,55514,51736,53166,53487,53677,50743,56059,50740,51951,56265,57813,53175,61149,55754,55603,57016,55069,54610,65517,70151,59328,66511,65654,55342,65757,54754,55938,66152,60443,58862,60820,54680,55492,61005,60240,55541,59513,53769,56656,54986,52774,54740,55327,59410,60286,50920,52448,52800,51038
"21","13","GAP57  D         Margin","GAP570",22628,21376,21906,21401,22585,21191,21269,21402,22265,22656,22779,23294,22958,23498,23851,23100,24067,23690,23729,25819,24932,25293,25095,23827,24967,25438,25140,24088,24414,24255,25237,24393,23189,23879,24504,25666,23415,25373,25318,23163,25702,23557,24560,25723,26174,27430,26154,25247,25038,23353,21445,21730,23028,21826,23157,23452,21311,24058,23545,23268,24628,22895,21534,20705,21008
"22","14","GAP60  D         Net transactions","GAP600",22363,22961,23055,23269,25985,23131,27433,25200,27386,28338,27170,26806,29061,27850,26872,25609,33339,30109,31447,29889,30823,27783,32900,28994,29113,32818,34577,31061,38635,33394,32236,34528,33775,32607,42809,46300,37739,42964,42170,33903,41854,32930,33109,42106,36043,33301,36525,31191,32032,39667,41047,35724,38528,33818,35335,33159,33416,32103,33409,38349,37519,29203,32693,34174,31686
"23","15","GAP63  D         Employee reimbursement","GAP630",-1861,-1843,-1857,-1845,-2076,-2054,-1999,-2060,-2300,-2322,-2168,-2137,-2127,-2123,-2138,-2096,-2055,-2038,-2055,-2031,-1994,-2011,-1990,-1983,-1944,-1965,-1962,-1998,-1938,-1914,-1888,-1863,-1863,-1857,-1798,-1813,-1834,-1791,-1793,-1730,-1753,-1733,-1724,-1729,-1744,-1804,-1853,-1823,-1728,-1687,-1684,-1746,-1756,-1742,-1725,-1695,-1751,-1782,-1784,-1799,-1776,-1808,-1743,-1687,-1709
"24","16","W241RX B       Used light trucks (including utility vehicles","W241RX0",16852,16687,16949,17099,16799,17306,18863,18377,19018,20156,20837,20924,20475,20892,20108,20731,20485,20327,19905,20935,21489,22254,23618,25408,27276,28283,29371,30819,33383,34251,36709,35961,36215,38475,45072,52684,46544,53037,52269,47408,53055,47973,49974,51394,52339,48811,54394,53210,50629,58008,59044,55005,56923,53624,56958,57911,57143,56013,57334,59692,59937,51207,48113,48879,52407
"25","17","W491RR D         Margin","W491RR0",7166,6802,6686,6570,6527,6471,6652,5970,5313,5468,5675,5924,6205,6508,6827,7156,7487,7819,8147,8469,8775,9090,9403,9714,10024,10333,10639,10945,11787,11527,11907,11613,11447,12235,13048,14340,12934,14404,14371,13601,14885,13725,14381,14380,14636,15323,14874,15239,15088,14791,13889,14476,15623,14800,16149,16513,15550,16901,16586,16364,17922,16147,15269,15367,15371
"26","18","W492RR D         Net transactions","W492RR0",9585,9779,10154,10419,10181,10731,12071,12229,13409,14306,14733,14618,14024,14168,13197,13514,13004,12568,11890,12594,12855,13311,14331,15762,17281,17976,18751,19878,21600,22691,24783,24337,24769,26241,32013,38322,33600,38644,37910,33812,38173,34248,35592,37011,37696,33508,39523,37956,35415,43393,45495,40577,41284,38805,40740,41311,41680,38737,40564,43391,41626,34454,32247,32941,36750
"27","19","AB62RX B   Private fixed investment","AB62RX0",60125,58791,61019,57467,55709,56674,58428,56929,55997,58379,58711,63905,64266,74084,72695,81082,89072,88122,93090,101453,99046,95284,97596,99548,97751,100508,105678,108215,110474,108009,109863,111704,107378,113590,109177,123501,120565,122843,130424,128995,130016,121132,115099,106809,108271,105060,95450,98008,91643,94921,100200,96222,89126,94733,97902,95124,99445,105538,117077,125816,126803,135031,142317,142392,152136
"28","20","AB68RX B     New motor vehicles","AB68RX0",92239,90944,95993,92959,90213,92495,97847,94637,94419,100816,100394,107054,105275,119194,113381,123699,134323,132434,136915,146473,142689,137647,143543,145620,147405,154233,161423,160910,164849,162442,168502,173936,171832,185345,171879,194457,194509,195252,205967,205251,209327,195731,191235,177204,183429,176833,167903,165820,157550,171476,178631,172737,160029,162036,171447,174156,174431,181060,193828,202358,197626,202803,210869,212992,229558
"29","21","B139RX B       Autos","B139RX0",52272,52788,57776,56730,56364,57273,61168,57275,56172,59180,56774,61247,57877,66821,60001,65570,71717,70967,72404,76566,70556,68093,71632,70102,69931,74492,76348,70788,74758,72316,73777,73412,69914,74491,68280,78639,75195,77346,78410,78379,82289,75392,74298,73581,76109,74056,69419,64795,64987,71111,72478,68858,64788,61985,66607,65446,63216,64563,66302,68393,64582,62318,67594,69927,69217
"30","22","GAP66  D         Domestic","GAP660",44133,44862,50272,49426,49350,49899,53714,50275,47866,50845,49015,53122,49361,57606,51079,56726,61373,60482,61706,66616,61252,58653,62810,61304,62204,66641,67943,62239,66128,64289,64889,63883,60856,65031,59072,68850,63687,64457,65286,63705,65865,59014,57969,56964,58072,54909,50859,44324,42450,49114,49730,46591,43205,41551,44973,44352,42490,43374,45859,46586,44115,40739,44753,48230,47981
"31","23","GAP69  D         Foreign","GAP690",8139,7925,7503,7304,7013,7374,7453,6999,8306,8334,7758,8125,8515,9215,8921,8844,10344,10485,10697,9949,9304,9439,8820,8797,7727,7850,8404,8548,8629,8026,8887,9529,9057,9459,9207,9788,11507,12888,13123,14674,16423,16378,16329,16618,18037,19147,18560,20470,22536,21997,22747,22266,21582,20434,21633,21093,20725,21189,20442,21807,20466,21578,22841,21696,21235
"32","24","B705RX B       Trucks","B705RX0",39768,37875,37792,35771,33325,34719,36105,36911,37847,41251,43338,45486,47135,52052,53135,57856,62309,61170,64204,69583,71859,69285,71625,75238,77199,79441,84782,89928,89848,89909,94523,100380,101853,110810,103580,115767,119317,117902,127562,126877,127042,120341,116931,103622,107309,102761,98474,101032,92537,100341,106157,103912,95255,100081,104866,108719,111194,116463,127440,133859,132895,140290,143112,142917,160198
"33","25","B196RX B         Light trucks (including utility vehicles)","B196RX0",21337,20846,20682,20097,19182,21026,21516,21517,22019,23647,23609,24938,24963,28557,28467,31533,36260,35330,37012,40942,40984,40014,42466,45433,50257,52583,57966,64342,65780,66105,69543,73302,73299,81346,71238,80861,84591,83388,91818,90512,92133,87184,86995,77952,82357,79392,76779,79873,72355,76938,80552,79864,76061,79031,82751,84778,84871,89171,97271,100041,97002,105559,108344,106077,122027
"34","26","B197RX B         Other","B197RX0",18855,17417,17498,16025,14455,13975,14897,15730,16169,17996,20218,21055,22762,24072,25312,26981,26562,26368,27753,29175,31525,29860,29695,30309,27251,27132,27005,25599,23996,23727,24909,27041,28564,29442,32390,34945,34749,34540,35750,36375,34905,33159,29938,25671,24962,23387,21724,21215,20223,23395,25550,24058,19385,21178,22236,23995,26261,27242,30086,33540,35381,34579,34705,36441,38263
"35","27","W242RX B     Net purchases of used autos and used light trucks","W242RX0",-31939,-32043,-35000,-35779,-34803,-36211,-40110,-38280,-39139,-43474,-42595,-43923,-41567,-45570,-40928,-42762,-45334,-44370,-43755,-44932,-43632,-42380,-45905,-46085,-49516,-53504,-55528,-52521,-54163,-54191,-58430,-62089,-64437,-71791,-62600,-70832,-73967,-72319,-75432,-76179,-79279,-74592,-76150,-70415,-75098,-71758,-72244,-67684,-65776,-76438,-78243,-76281,-70552,-66740,-73168,-79592,-74721,-74772,-75003,-73958,-67390,-63176,-63416,-65652,-72346
"36","28","B140RX B       Used autos","B140RX0",-22888,-22786,-25459,-26109,-25665,-26633,-29324,-27257,-26728,-30101,-28681,-30030,-28218,-32009,-28251,-29672,-32572,-32096,-32372,-33101,-32286,-30783,-33348,-31959,-32983,-36155,-37522,-33730,-38024,-35944,-37058,-36750,-37897,-41461,-37860,-43279,-40793,-40567,-40435,-39997,-42867,-38895,-39567,-38123,-38550,-37872,-36109,-32241,-32694,-37623,-37981,-37125,-35385,-32557,-35926,-38011,-35558,-36837,-36870,-37385,-35051,-33231,-35231,-37040,-37475
"37","29","GAP72  D         Margin","GAP720",651,612,626,610,641,600,600,602,624,636,644,666,671,699,722,709,748,747,758,835,817,841,846,816,871,896,890,854,907,899,933,901,858,884,907,950,867,939,937,858,952,872,909,952,972,1009,952,955,913,862,800,815,872,812,856,848,803,887,869,855,906,842,792,762,773
"38","30","GAP75  D         Net transactions","GAP750",-23520,-23386,-26084,-26724,-26303,-27245,-29949,-27874,-27358,-30760,-29338,-30710,-28892,-32726,-28966,-30384,-33328,-32850,-33135,-33935,-33101,-31613,-34191,-32772,-33847,-37050,-38415,-34583,-38931,-36841,-37990,-37649,-38754,-42345,-38767,-44229,-41658,-41507,-41373,-40853,-43818,-39767,-40476,-39074,-39519,-38877,-37060,-33200,-33615,-38471,-38759,-37925,-36256,-33368,-36775,-38839,-36343,-37721,-37729,-38222,-35975,-34083,-35999,-37749,-38195
"39","31","W243RX B       Used light trucks (including utility vehicles)","W243RX0",-9066,-9271,-9562,-9694,-9165,-9604,-10812,-11039,-12409,-13376,-13899,-13888,-13340,-13573,-12678,-13095,-12783,-12297,-11417,-11864,-11380,-11621,-12584,-14132,-16529,-17349,-18005,-18771,-16150,-18230,-21350,-25331,-26539,-30328,-24737,-27550,-33175,-31750,-34998,-36185,-36413,-35697,-36584,-32293,-36545,-33887,-36138,-35448,-33082,-38820,-40273,-39167,-35166,-34190,-37249,-41600,-39187,-37938,-38140,-36561,-32306,-29907,-28111,-28529,-34838
"40","32","W493RR D         Margin","W493RR0",885,838,820,802,785,783,820,760,722,758,804,859,920,986,1058,1132,1209,1289,1370,1453,1536,1622,1710,1800,1893,1987,2084,2182,2457,2403,2482,2421,2386,2550,2720,2989,2696,3003,2996,2835,3103,2861,2998,2998,3028,3179,3071,3246,3166,3070,2913,2992,3248,3153,3373,3377,3214,3484,3478,3454,3762,3389,3205,3226,3227
"41","33","W494RR D         Net transactions","W494RR0",-10004,-10170,-10451,-10569,-10014,-10460,-11722,-11902,-13270,-14292,-14869,-14899,-14381,-14671,-13810,-14295,-14040,-13615,-12789,-13314,-12895,-13212,-14268,-15920,-18426,-19341,-20096,-20971,-18581,-20650,-23862,-27755,-28923,-32885,-27463,-30550,-35863,-34763,-37994,-39016,-39518,-38559,-39582,-35288,-39572,-37056,-39207,-38705,-36289,-41858,-43118,-42124,-38467,-37390,-40661,-44941,-42363,-41479,-41664,-40092,-36367,-33541,-31551,-31985,-38121
"42","34","AB64RX B   Gross government investment","AB64RX0",13186,11368,13114,12892,15113,10099,10558,9377,10960,11623,9869,14676,9699,12463,11053,9581,9110,9315,11653,9512,8887,10296,9757,11617,11334,9324,9159,10329,10467,10723,11500,9839,10161,12606,10631,12270,11438,10557,12241,13675,12844,11828,11878,12986,12723,12723,12168,11896,12468,12367,12468,13004,12822,12559,12589,12162,14884,15154,14189,14452,15908,14606,14937,15798,16251
"43","35","B144RX B     Autos","B144RX0",3782,3510,3602,4632,3993,3089,2976,2914,3295,3913,4018,4080,3707,3719,3668,3192,3513,3623,3890,3515,3348,4071,3662,4342,3885,3250,3249,4199,3499,3212,3085,3320,3123,3730,3343,3497,3453,3284,3320,4004,3319,3285,3616,3416,3155,3683,3801,3528,3325,3121,3229,3553,3493,3160,2955,2989,3021,2823,2602,3051,3261,2886,2993,2907,2874
"44","36","GAP81  D       New autos","GAP810",2278,1980,2073,3251,2651,1652,1590,1400,1615,2325,2525,2552,2295,2322,2243,1655,2152,2285,2550,2056,1882,2719,2212,3045,2580,1795,1828,3062,2198,1883,1952,2073,1839,2656,2206,2421,2252,2090,2155,3241,2215,2239,2677,2428,1945,2605,2721,2378,2278,2060,2205,2633,2535,2057,1835,2051,2091,1784,1407,2123,2525,1831,2075,2118,2052
"45","37","GAP84  D       Net transactions in used autos","GAP840",-337,-275,-296,-517,-757,-562,-559,-464,-529,-710,-676,-606,-701,-713,-693,-502,-673,-689,-721,-552,-502,-680,-538,-728,-652,-481,-510,-897,-629,-562,-735,-600,-554,-789,-658,-740,-631,-595,-626,-972,-651,-688,-785,-740,-536,-729,-775,-671,-680,-628,-660,-824,-797,-641,-610,-772,-844,-764,-598,-898,-1078,-771,-845,-924,-915
"46","38","GAP87  D       Employee reimbursement","GAP870",1861,1843,1857,1845,2076,2054,1999,2060,2300,2322,2168,2137,2127,2123,2138,2096,2055,2038,2055,2031,1994,2011,1990,1983,1944,1965,1962,1998,1938,1914,1888,1863,1863,1857,1798,1813,1834,1791,1793,1730,1753,1733,1724,1729,1744,1804,1853,1823,1728,1687,1684,1746,1756,1742,1725,1695,1751,1782,1784,1799,1776,1808,1743,1687,1709
"47","39","B708RX B     Trucks","B708RX0",9402,7849,9512,8249,11124,7005,7583,6460,7658,7710,5858,10594,6003,8734,7387,6390,5612,5708,7763,6009,5551,6247,6108,7290,7452,6079,5916,6153,6973,7512,8414,6513,7037,8877,7287,8774,7987,7275,8920,9670,9527,8544,8262,9568,9565,9042,8374,8369,9141,9246,9239,9451,9333,9400,9633,9169,11847,12306,11560,11394,12633,11701,11927,12858,13338
"48","40","W495RX B       New trucks","W495RX0",9961,8385,10050,8784,11660,7546,8175,7036,8252,8324,6481,11209,6632,9397,8039,7099,6347,6450,8481,6759,6262,6939,6817,8024,8222,6850,6684,6928,7630,8276,9388,7297,7818,9884,8040,9680,8853,8083,9889,10707,10568,9438,9142,10557,10518,9968,9309,9345,10138,10312,10187,10481,10468,10380,10757,10253,13118,13721,12676,12493,14076,12809,13036,14177,14720
"49","41","W496RR B       Net transactions in used light trucks","W496RR0",-567,-547,-549,-552,-548,-569,-626,-618,-640,-666,-677,-673,-671,-701,-681,-732,-755,-757,-724,-754,-715,-703,-717,-748,-781,-771,-764,-770,-664,-766,-972,-782,-780,-1007,-754,-906,-866,-808,-969,-1037,-1041,-894,-880,-989,-953,-926,-934,-976,-997,-1066,-947,-1029,-1139,-976,-1129,-1090,-1261,-1425,-1087,-1072,-1441,-1078,-1074,-1302,-1367
"50","42","AB63RX B   Net exports","AB63RX0",-46895,-53158,-53366,-54019,-45831,-42174,-47325,-47203,-47277,-44896,-41774,-43705,-50597,-49306,-48832,-47313,-45095,-53736,-55061,-61289,-58585,-58740,-50634,-49728,-52332,-57891,-57953,-53721,-63804,-63286,-62567,-58806,-63022,-67171,-67735,-78485,-86792,-88795,-94394,-95260,-100974,-99887,-103779,-102216,-103090,-99892,-99610,-97032,-100798,-103100,-105086,-104452,-97367,-104235,-97128,-102176,-104507,-106474,-102022,-100661,-94383,-94425,-98589,-107109,-109690
"51","43","AB69RX B     Exports","AB69RX0",18972,18033,15468,14215,19426,18429,20142,18524,19482,20798,22411,23351,21517,21926,20324,24214,24491,24303,25814,24027,26810,24384,25783,25107,26519,25051,27652,27340,26676,27525,29138,29066,29764,26815,23955,26318,25480,26162,25249,26051,27679,27020,25024,24776,22764,25452,26670,26053,25873,27717,29953,29847,31584,30144,30426,32617,31247,33235,36961,36808,40868,39371,41045,42529,47916
"52","44","B142RX B       Autos","B142RX0",11458,11807,10816,9055,12244,12014,13761,12221,12048,12123,13276,13193,11901,12476,11114,12946,13159,13093,13256,12183,13502,12214,12436,12723,13462,12125,13567,13097,12457,13046,12978,12640,13222,11976,11420,12760,12028,12362,11505,12051,12689,12624,11846,11780,11241,13022,14429,13833,13417,14757,15774,14879,16428,14414,14965,15742,14803,15708,15903,16939,19467,18509,19240,20638,23185
"53","45","B706RX B       Trucks","B706RX0",7447,6147,4566,5100,7103,6335,6277,6219,7359,8611,9061,10095,9562,9387,9162,11216,11277,11154,12514,11807,13269,12137,13326,12344,13014,12906,14055,14229,14218,14470,16175,16446,16552,14847,12531,13549,13451,13800,13746,14002,14991,14397,13178,12995,11524,12433,12248,12225,12459,12968,14186,14963,15162,15711,15451,16856,16417,17496,20976,19829,21386,20836,21775,21891,24728
"54","46","AB70RX B     Imports","AB70RX0",65866,71191,68834,68234,65257,60603,67467,65727,66759,65694,64184,67055,72114,71232,69156,71527,69585,78039,80875,85316,85395,83125,76417,74836,78851,82942,85605,81061,90481,90810,91705,87871,92786,93986,91690,104802,112272,114957,119643,121312,128653,126907,128803,126993,125854,125344,126281,123085,126671,130816,135039,134299,128951,134379,127554,134793,135755,139709,138983,137469,135251,133796,139635,149638,157606
"55","47","B143RX B       Autos","B143RX0",44823,47788,46328,45270,42805,39381,44271,40791,40013,40671,40570,41428,45404,45250,45096,45932,41837,46416,47654,50899,53470,52475,47972,46343,46552,46439,47538,45460,51836,52107,52396,50205,52253,53575,50980,58050,61354,62223,65592,65455,68625,68978,70210,69844,69998,68174,67490,65170,68155,73691,74075,71801,67535,69808,68003,72335,69040,67653,72513,69077,65961,63884,67215,71641,75740
"56","48","B707RX B       Trucks","B707RX0",20876,23230,22336,22802,22303,21088,23041,24822,26653,24910,23489,25517,26573,25837,23888,25432,27677,31554,33155,34326,31777,30492,28304,28370,32225,36487,38056,35581,38596,38652,39263,37622,40508,40373,40693,46736,50914,52739,54047,55858,60032,57927,58591,57151,55865,57171,58785,57907,58515,57145,60967,62489,61396,64543,59542,62454,66663,71951,66451,68333,69199,69795,72309,77870,81739
"57","49","AB65RX B Change in private inventories","AB65RX0",-20733,4759,4848,-12322,-20739,-698,6497,2310,-5674,2520,1486,4133,17990,-3361,-6525,1334,2696,5113,8316,9680,17924,13459,-6095,3559,-23263,14156,11154,-12030,-4272,6236,5998,9859,19433,-8877,-8024,-684,19838,-1943,4160,25109,5335,24660,9782,2362,-25207,5737,5206,-37211,10484,15121,694,22376,18616,5152,-4004,12777,23604,16755,-7344,-9639,-4726,-19307,-19564,26719,-4878
"58","50","A145RX B   Autos","A145RX0",-9387,-17,1516,-8898,-7920,-58,5332,-392,-9633,3550,3304,925,8929,590,-3367,1636,-943,1095,704,5504,14512,7876,-9125,992,-17943,7316,5618,-8245,-4609,6048,4908,518,8430,-2791,5141,2319,7263,-4526,-4375,11315,36,8803,9462,-1923,-7432,2156,2468,-10720,15548,6748,-5531,10871,-5460,3824,-692,5302,2584,-813,666,-10715,-2076,-5451,-6107,9687,7341
"59","51","B146RX B     New","B146RX0",-10621,1360,1230,-7209,-6768,-2040,4667,-1095,-6776,3374,3719,-354,10882,-2052,-3612,-1249,278,-276,638,3204,14123,5593,-8535,-1048,-20879,5236,4102,-10114,-3109,4647,1038,-596,5194,-10960,10312,5429,4581,-1874,-2745,4677,-1374,2374,2344,1453,-11209,-3862,1729,-12944,14946,9014,-2083,9590,-2778,5029,-1065,1263,1503,-3705,-601,-7239,2451,-5772,-5380,9724,4818
