"","Table 5#9#3A# Real Gross Government Fixed Investment by Type, Qu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"11","4","          Nondefense","B798RA3",37.217,35.788,35.658,36.921,37.033,37.162,38.175,40.507,42.971,47.455,48.124,49.28,48.364,44.788,44.722,46.149,48.649,49.853,53.251,52.576,55.181,59.44,63.211,66.981,68.309,65.09,66.561,68.538,68.222
"12","5","        State and local","B799RA3",46.543,43.729,42.557,41.231,41.504,41.867,41.527,40.858,38.465,41.925,43.997,44.25,40.628,38.24,38.787,43.432,48.122,51.516,52.947,55.697,58.706,63.284,64.782,65.645,65.01,66.871,69.698,72.908,78.423
"13","6","Structures \2\","A760RA3",70.749,65.516,64.869,61.896,61.778,61.207,60.902,59.988,56.842,62.4,63.641,63.93,58.429,53.669,53.635,58.566,64.303,68.428,70.693,71.093,71.163,76.081,77.854,79.145,77.916,77.718,80.528,83.827,87.71
"14","7","  Federal","B801RA3",92.388,85.516,99.688,97.349,100.975,95.933,97.222,97.324,99.829,110.843,100.712,106.355,103.852,95.894,100.934,101.421,112.091,120.533,131.517,108.271,95.651,98.405,93.943,104.226,107.833,100.506,105.721,103.16,92.219
"15","8","    National defense","B808RA3",82.059,67.432,84.897,76.568,75.276,68.864,66.956,59.205,59.822,60.581,51.455,59.98,57.185,67.421,80.061,77.607,94.841,103.064,111.07,102.704,82.562,76.738,56.66,62.553,60.475,62.945,70.098,64.102,60.477
"16","9","      New","B814RA3",89.21,68.253,75.564,63.962,63.934,63.516,75.391,66.573,60.477,60.734,51.483,60.575,57.198,67.41,80.062,77.624,94.867,103.085,111.086,102.778,82.786,76.867,56.717,62.596,60.506,62.975,70.123,64.128,60.502
"17","10","        Buildings","B815RA3",167.788,126.665,158.008,162.115,155.83,186.125,212.989,187.323,154.596,159.087,126.355,164.088,183.473,211.124,250.845,225.414,301.359,313.278,311.934,267.054,225.491,236.828,202.125,185.201,168.098,170.382,164.469,155.348,143.798
"18","11","          Residential","B816RA3",112.318,74.869,89.607,214.311,199.744,257.867,310.497,266.69,199.879,198.204,122.722,175.675,187.69,209.349,252.013,206.66,276.256,329.293,366.934,304.046,250.377,259.126,168.128,163.538,169.232,187.491,187.51,170.159,173.417
"19","12","          Industrial","B817RA3",223.934,181.732,231.266,92.184,96.366,92.13,88.52,84.98,94.564,106.841,135.494,150.053,180.316,216.888,252.772,259.975,347.617,295.045,236.705,218.216,195.158,211.975,276.572,236.738,178.272,151.455,134.051,139.452,100.054
"20","13","        Military facilities \3\","B818RA3",78.584,60.395,64.066,49.969,50.798,46.556,56.189,49.704,46.968,46.706,40.738,45.788,39.339,47.101,55.928,57.134,65.608,73.389,82.674,79.665,62.5,53.398,34.805,44.486,44.668,47.183,56.375,50.807,48.352
"21","14","      Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","    Nondefense","B830RA3",111.964,112.787,124.67,128.723,138.398,134.806,140.082,149.505,154.451,178.593,166.799,168.882,166.618,136.379,132.846,136.921,140.036,149.244,164.565,121.251,117.676,131.827,147.641,164.208,175.641,154.605,157.23,159.394,138.052
"23","16","      New","B831RA3",114.842,115.509,127.969,132.399,142.35,138.656,144.082,153.774,160.555,182.186,175.246,173.555,169.514,139.594,137.86,139.37,138.988,132.794,151.547,134.106,127.476,138.596,157.807,173.284,174.844,169.613,170.002,164.659,145.628
"24","17","        Buildings","B832RA3",57.17,45.222,49.852,54.933,72.036,68.231,80.313,100.1,107.065,113.507,113.173,117.467,117.773,90.903,98.497,108.633,108.48,103.607,126.249,107.235,97.482,124.905,158.874,167.189,158.355,129.778,148.923,149.748,145.628
"25","18","          Residential","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","19","          Industrial","B834RA3",157.853,125.295,108.312,135.926,185.771,240.697,315.011,368.223,463.484,483.319,504.524,581.836,560.26,436.96,458.651,447.903,362.966,249.317,216.492,226.462,197.369,211.768,254.077,331.567,345.857,284.392,297.307,230.366,145.628
"27","20","          Educational \4\","B835RA3",376.308,461.238,558.391,692.964,1483.062,1092.779,336.344,121.924,187.152,378.172,619.171,544.958,382.633,264.421,210.104,123.495,108.893,148.298,41.162,39.095,75.349,100.61,180.259,259.84,182.034,175.217,208.884,94.115,145.628
"28","21","          Hospital","B836RA3",33.025,41.85,52.255,43.462,33.933,36.103,61.698,74.528,90.971,98.512,87.02,92.4,108.956,92.658,83.844,94.048,96.855,102.726,118.173,109.86,97.527,107.06,91.345,93.11,112.794,100.278,111.366,127.388,145.628
"29","22","          Other \5\","B837RA3",50.096,33.49,39.111,44.935,62.193,49.535,52.397,71.591,62.254,65.439,64.055,58.235,57.682,41.376,52.718,66.499,77.235,83.58,117.161,90.433,83.912,119.072,168.053,168.32,147.263,117.838,140.358,146.209,145.628
"30","23","        Highways and streets \6\","B838RA3",486.787,521.777,552.871,555.432,461.983,343.895,369.771,421,484.643,511.59,592.119,441.974,616.849,390.397,358.525,410.121,370.458,302.452,287.652,300.47,162.26,155.379,156.183,143.618,211.419,270.546,184.828,211.557,145.628
"31","24","        Conservation and development","B839RA3",215.228,230.433,256.969,256.501,268.45,281.374,279.853,277.982,285.188,335.872,313,307.882,288.775,252.545,240.206,226.828,224.297,211.41,225.051,199.993,197.441,187.7,179.267,222.013,203.521,203.561,188.238,168.982,145.628
"32","25","        Other \7\","B840RA3",20.489,20.573,24.051,35.701,38.863,24.549,23.006,24.715,22.948,26.893,22.04,32.399,20.531,21.384,21.254,22.436,30.664,41.545,64.617,60.204,72.287,82.296,116.7,104.66,159.148,194.067,187.487,187.367,145.628
"33","26","      Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","27","  State and local","B842RA3",68.093,63.06,60.982,57.968,57.475,57.351,56.893,55.884,52.17,57.14,59.575,59.301,53.516,49.106,48.556,53.93,59.135,62.798,64.152,66.999,68.404,73.543,75.983,76.297,74.54,75.125,77.668,81.605,87.098
"35","28","    New","B843RA3",67.481,62.249,60.065,57.252,56.949,57.032,56.809,55.825,52.184,57.529,60.01,59.744,53.803,49.284,48.606,53.973,59.152,62.717,64.017,66.929,68.135,73.127,75.567,75.987,74.439,75.125,77.741,81.941,87.625
"36","29","      Buildings","B844RA3",61.729,54.983,53.736,50.629,52.485,54.362,55.446,51.942,44.405,44.618,44.46,45.281,41.542,39.695,39.283,41.247,46.198,50.892,51.08,54.648,58.644,63.273,68.497,69.72,66.717,66.803,75.277,81.146,87.625
"37","30","        Residential","B845RA3",75.802,82.242,77.804,52.928,53.34,48.528,58.498,50.967,56.667,48.923,56.277,60.01,68.021,60.991,70.017,67.429,71.708,70.998,71.525,70.544,69.609,77.679,82.973,91.658,81.99,70.003,81.89,85.053,87.625
"38","31","        Industrial","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","32","        Educational \8\","B847RA3",69.382,61.732,56.272,54.132,57.821,57.144,53.31,48.145,38.849,38.484,38.003,37.596,32.181,28.999,27.487,30.124,33.829,37.611,36.949,42.962,47.56,50.335,59.066,62.325,56.893,58.233,71.006,77.034,87.625
"40","33","        Hospital","B848RA3",86.102,80.19,86.611,83.198,76.157,86.197,109.029,120.698,103.802,91.976,92.431,96.065,84.137,81.206,71.051,67.652,67.321,68.939,72.683,70.597,70.912,78.768,85.473,96.398,97.162,87.519,87.176,84.306,87.625
"41","34","        Other \5\","B849RA3",45.741,37.496,41.692,41.267,42.05,47.644,51.01,48.49,42.089,46.424,45.067,46.654,43.961,45.203,45.826,48.477,56.11,63.624,64.479,66.184,70.803,76.985,76.91,72.371,73.669,75.732,78.468,85.893,87.625
"42","35","      Highways and streets \9\","B851RA3",77.005,74.185,73.413,69.153,64.178,56.456,56.395,54.212,55.051,62.256,69.356,64.038,54.34,47.002,49.802,62.406,68.527,70.048,70.654,74.759,73.784,79.577,78.866,79.047,82.422,87.444,83.645,84.042,87.625
"43","36","      Conservation and development","B857RA3",100.907,86.358,66.54,56.3,46.262,56.907,66.711,60.941,49.129,43.707,60.822,76.074,61.999,60.583,69.591,76.745,85.977,91.563,89.405,84.71,95.4,94.429,83.714,75.958,75.508,80.885,91.597,94.634,87.625
"44","37","      Sewer systems","B858RA3",56.755,60.269,64.174,63.175,71.222,86.886,85.228,90.487,80.018,92.825,91.282,98.142,81.49,75.225,65.351,74.562,74.613,82.438,96.622,98.41,95.274,99.692,101.339,104.046,92.935,81.069,79.125,86.98,87.625
"45","38","      Water systems","B859RA3",66.723,51.559,43.269,43.359,40.123,44.725,53.221,49.044,41.636,49.994,51.676,59.442,53.246,54.374,45.934,53.969,60.895,70.376,78.919,76.907,77.142,84.342,87.546,76.012,64.711,64.859,60.286,73.959,87.625
"46","39","      Other \7\","B860RA3",70.668,65.094,54.449,56.703,59.691,64.794,51.118,65.073,73.246,92.99,94.705,91.377,98.543,87.414,82.493,73.661,79.322,75.829,70.374,70.847,66.798,71.037,72.119,76.583,79.747,78.224,77.724,76.962,87.625
"47","40","    Net purchases of used structures","B870RA3",93.171,95.503,97.54,86.629,78.769,70.301,60.01,57.956,51.35,42.238,42.938,42.413,42.444,42.132,46.469,52.108,58.264,65.553,68.912,69.314,78.029,88.508,90.928,87.349,78.027,74.995,74.901,69.35,67.903
"48","41","Equipment","Y054RA3",22.165,20.803,13.047,10.443,11.675,14.779,15.983,17.388,17.723,18.139,20.811,22.337,24.172,26.827,31.273,36.117,42.774,48.729,52.853,50.07,52.93,55.528,53.689,52.059,47.297,44.884,44.699,45.665,43.906
"49","42","  Federal","Y058RA3",23.334,21.714,12.637,9.45,10.432,14.106,15.735,17.674,18.526,19.024,21.954,23.719,26.125,29.368,34.39,39.551,46.953,53.542,58.573,54.633,56.852,59.405,57.946,56.074,49.422,43.588,42.076,43.328,39.354
"50","43","    National defense","Y050RA3",32.197,29.57,16.03,10.586,12.033,16.448,18.768,21.275,21.704,21.753,25.799,27.655,31.059,34.92,41.04,47.357,56.669,65.912,72.075,65.673,67.434,70.004,66.976,62.834,54.033,48.964,45.514,45.277,39.278
"51","44","      Aircraft","B874RA3",NA,NA,NA,25.738,22.618,22.65,34.269,32.088,33.523,31.65,39.654,47.456,54.899,55.195,62.708,67.422,92.022,140.315,161,132.28,120.994,111.61,80.276,70.266,75.689,75.575,61.112,59.309,41.237
"52","45","      Missiles","B875RA3",NA,NA,NA,30.412,31.795,35.207,25.683,21.896,17.141,14.103,28.446,41.028,47.574,61.425,77.758,93.45,106.554,135.115,153.697,139.9,160.217,208.051,209.234,206.945,150.246,110.312,92.928,82.715,61.177
"53","46","      Ships","B876RA3",NA,NA,NA,73.778,62.242,76.772,68.685,70.404,82.184,92.49,95.187,83.698,95.37,111.213,123.58,130.921,143.902,138.933,135.091,128.044,142.086,149.925,134.513,129.989,109.658,98.71,92.868,78.46,69.618
"54","47","      Vehicles","B877RA3",NA,NA,NA,15.381,11.788,11.945,9.759,13.997,17.144,20.839,21.927,24.102,16.344,25.687,43.857,58.382,53.082,57.689,60.026,51.237,42.943,42.807,45.124,35.295,22.446,12.037,12.521,13.543,15.647
"55","48","      Electronics","Y051RA3",NA,NA,NA,1.676,1.77,1.607,1.843,1.936,2.26,2.87,2.975,3.809,4.537,5.388,6.785,8.27,10.916,12.151,14.119,13.876,13.309,13.188,12.334,12.636,13.674,12.589,11.638,12.911,14.011
"56","49","      Other equipment","B879RA3",NA,NA,NA,-19.397,-4.25,9.118,14.381,27.082,25.416,23.198,26.029,24.058,27.694,29.321,30.704,37.637,45.377,40,42.609,43.205,47.836,47.269,55.656,51.957,42.904,42.733,45.106,49.605,45.639
"57","50","    Nondefense","Y066RA3",3.44,3.909,4.383,5.931,5.665,7.237,7.102,7.525,9.334,10.934,10.733,12.184,11.782,13.23,15.056,16.834,18.573,17.301,19.009,21.993,25.328,27.695,30.557,35.082,34.792,26.771,31.317,37.448,40.32
"58","51","  State and local","Y070RA3",10.228,10.579,10.724,11.958,13.369,14.552,14.13,13.799,13.365,14.021,15.179,16.099,15.79,16.596,18.85,22.068,25.547,28.024,29.168,31.086,35.879,38.622,37.215,37.992,39.253,44.197,48.44,49.678,54.269
"59","52","Intellectual property products \2\","Y055RA3",37.83,35.566,34.72,35.906,35.801,34.474,34.617,36.255,37.658,39.62,41.654,43.096,45.056,46.49,49.595,53.749,59.997,62.814,67.144,67.284,67.459,68.51,66.725,66.154,64.708,64.057,63.147,63.648,64.715
"60","53","  Federal","Y059RA3",44.815,41.855,40.744,42.092,41.837,40.13,40.14,42.011,43.615,45.741,47.95,49.515,51.708,53.214,56.696,61.358,68.457,71.344,76.239,75.728,74.663,75.049,72.19,70.68,68.683,67.784,66.724,66.822,66.884
"61","54","    National defense","Y052RA3",45.932,42.587,42.064,44.626,44.638,41.848,40.566,41.9,43.155,43.98,45.977,48.64,54.287,61.036,69.316,78.356,90.579,94.952,102.409,99.145,94.064,90.796,81.938,76.901,71.67,68.48,66.36,66.451,65.75
"62","55","      Software","Y053RA3",3.473,4.87,5.253,5.951,7.17,8.271,9.7,10.166,10.538,12.267,14.712,16.833,20.028,21.992,25.536,33.685,41.124,48.88,54.614,63.341,72.527,78.578,80.822,87.227,83.186,81.876,80.384,84.48,86.852
"63","56","      Research and development","Y076RA3",53.916,49.547,48.823,51.701,51.413,47.825,45.962,47.441,48.846,49.448,51.298,54.012,60.039,67.602,76.671,85.814,98.823,102.62,110.365,105.147,97.811,93.118,82.574,75.879,70.458,66.999,64.789,64.371,63.287
"64","57","    Nondefense","Y067RA3",43.856,41.238,39.602,39.872,39.379,38.632,39.794,42.146,44.065,47.36,49.761,50.339,49.425,46.212,45.363,46.074,48.558,50.108,52.697,54.674,57.233,60.907,63.425,65.08,65.978,67.125,67.013,67.118,67.867
"65","58","      Software","Y068RA3",3.601,4.868,5.515,6.242,7.574,9.101,10.563,11.17,11.667,13.578,16.038,18.964,21.67,23.201,26.71,29.494,32.919,34.542,37.882,40.699,45.37,47.899,49.458,51.229,51.422,51.215,51.372,53.292,57.053
"66","59","      Research and development","Y069RA3",57.729,53.563,51.038,51.069,49.809,48.138,49.08,51.988,54.359,58.014,60.277,59.954,57.76,52.964,50.639,50.645,52.78,54.282,56.598,58.288,60.18,64.155,66.929,68.54,69.628,71.139,70.954,70.578,70.541
"67","60","  State and local","Y071RA3",6.968,7.676,7.964,8.41,8.923,9.226,9.901,10.485,10.982,12.155,13.356,14.211,15.1,16.16,17.541,19.376,21.765,24.156,25.913,28.773,34.173,37.994,40.869,44.381,45.41,45.88,45.669,48.013,53.766
"68","61","    Software","Y072RA3",2.197,2.614,2.572,2.888,3.26,3.657,4.287,4.675,4.756,5.608,6.921,7.875,8.783,10.063,11.616,13.966,16.153,17.421,18.515,22.212,30.734,36.037,40.23,46.686,48.487,48.491,47.789,50.097,58.561
"69","62","    Research and development","Y073RA3",13.376,14.414,15.184,15.759,16.411,16.523,17.177,17.987,19.05,20.578,21.521,22.186,23.012,23.75,24.877,26.029,28.658,32.43,35.002,36.871,38.725,40.964,42.459,42.906,43.164,44.109,44.375,46.79,50.106
"70",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","63","  Government enterprise gross fixed investment","A882RA3",43.924,42.616,40.728,41.857,43.241,46.357,44.874,47.033,44.993,52.888,53.772,57.345,55.45,52.688,50.751,53.869,59.426,62.584,64.283,62.043,62.065,66.454,68.968,72.633,70.78,63.994,65.634,67.699,71.137
"72","64","    Federal","A883RA3",33.963,37.612,39.727,47.096,47.297,52.992,52.793,57.483,53.699,65.99,59.009,61.454,62.956,59.459,54.757,63.214,73.348,76.87,78.357,64.08,69.781,74.405,81.715,103.874,104.078,67.414,79.571,82.205,86.045
"73","65","      Structures","B884RA3",112.292,120.224,123.786,125.437,127.836,130.21,139.299,161.973,146.783,193.713,169.739,181.542,189.37,153.999,153.18,173.11,199.45,227.233,242.889,132.346,133.469,153.047,156.483,174.591,176.045,123.835,140.23,115.607,131.685
"74","66","      Equipment","Y074RA3",19.695,22.057,23.99,35.52,33.984,42.136,37.475,37.267,35.633,39.086,33.596,31.494,28.944,37.116,26.967,33.577,42.214,35.07,30.75,54.104,61.564,57.896,67.501,101.837,97.586,41.024,64.295,86.524,84.734
"75","67","      Intellectual property products","Y075RA3",2.876,4.238,4.744,5.377,6.504,7.808,8.969,9.401,9.861,11.485,13.724,16.199,19.016,19.454,20.442,22.759,23.31,24.549,24.177,26.513,32.481,37.262,43.781,52.096,56.996,57.14,52.792,53.375,54.077
"76","68","    State and local","A886RA3",46.18,44.009,41.421,41.548,43.135,45.9,44.215,46.03,44.222,51.562,53.585,57.352,54.965,52.277,50.706,53.118,58.103,61.242,62.985,62.327,61.598,65.996,67.896,69.156,67.026,63.941,64.298,66.303,69.71
"77","69","      Structures","B887RA3",56.121,53.26,49.527,48.11,49.988,53.615,51.411,54.096,52.296,61.133,63.039,67.053,64.166,60.17,56.806,58.621,64.634,67.862,70.116,70.305,68.095,72.657,75.643,76.299,72.808,68.093,67.824,71.895,76.362
"78","70","      Equipment","Y077RA3",9.159,9.483,10.763,16.034,16.519,15.892,16.163,14.802,13.061,14.736,16.937,19.537,18.992,20.954,25.53,29.684,30.704,33.227,33.039,29.385,33.392,36.698,34.568,37.448,40.016,42.755,45.296,39.664,38.613
"79","71","      Intellectual property products","Y078RA3",3.927,2.646,3.342,2.171,2.06,4.416,4.446,4.588,5.23,5.343,6.814,8.298,9.326,10.188,12.306,14.43,16.609,18.003,19.506,22.865,32.182,37,41.176,48.763,50.703,50.797,50.064,52.695,61.806
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","2. Structures, software, and research and development include compensation of government employees engaged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","in new own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","4. Excludes educational structures associated with hospitals, nondefense industrial, other buildings,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","conservation and development, and other nondefense structures, which are included in those categories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","5. Consists primarily of general office buildings, police and fire stations, courthouses, auditoriums,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","garages, and passenger terminals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","6. Excludes highways and streets associated with hospitals, other buildings, and other nondefense structures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","which are included in those categories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","7. Consists primarily of electric and gas facilities, transit systems, and airfields.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","8. Excludes the value of construction for educational facilities built at hospital sites.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","9. Excludes highways and streets associated with other nonbuilding structures, which are included in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","that category.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
