"","Table 3#9#3# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191"
"28","20","      Structures","B808RA3",80.578,84.804,85.373,77.482,67.8,65.429,68.146,68.354,76.295,80.597,91.733,90.964,79.242,76.787,76.402,73.839,72.134,73.601,77.407,77.96,74.304,74.96,64.491,61.7,63.525,63.29,70.961,70.045,69.082,56.015,53.386,58.335,65.259,65.61,55.428,52.992,53.635,67.26,61.069,60.36,51.482,49.991,52.968,51.379,58.867,58.753,66.68,55.62,54.115,61.069,50.891,62.667,64.416,62.825,67.311,75.131,79.975,79.868,79.33,81.071,75.033,76.403,79.529,79.463,82.825,97.721,99.785,99.034,99.827,102.07,110.035,100.325,106.894,110.223,110.071,117.089,103.9,112.763,97.597,96.556,87.04,81.479,82.858,78.87,80.171,79.844,80.151,66.788,59.307,58.868,53.645,54.819,62.979,66.004,57.376,63.852,57.543,59.368,64.468,60.522,57.232,62.528,67.847,64.174,72.684,68.956,70.533,68.217,67.016,66.645,62.294,60.452,59.4,59.554,63.816,59.137,55.973,58.723,59.535,50.229,53.224,51.865,49.05,45.089,45.68,46.664,51.483,47.46,43.501,47.82,44.307,46.09,47.823,49.828,53.134,52.927,56.846,57.607,58.532,55.28,56.184,52.804,54.589,47.762,51.416,49.456,51.049,47.364,47.555,49.931,47.857,53.381,53.509,68.224,61.487,56.3,61.402,76.328,84.268,92.34,94.988,98.619,104.378,102.015,93.87,98.508,101.207,97.281,88.833,82.442,71.554,61.319,53.589,45.937,38.325,41.503,36.778,36.349,35.888,30.308,29.137,27.425,26.927,25.452,23.664,24.001,20.956,25.354
"29","21","      Equipment","Y050RA3",39.309,29.861,32.824,26.793,32.31,29.51,27.715,28.746,18.459,16.103,17.702,11.858,9.885,13.337,8.272,10.852,15.176,13.517,9.744,9.695,14.036,15.449,17.906,18.401,17.153,14.41,21.647,21.861,21.375,19.727,22.24,21.757,22.222,22.501,21.886,20.207,19.336,21.094,21.768,24.813,23.728,24.28,28.371,26.817,29.207,27.22,25.495,28.698,28.218,30.803,32.343,32.872,31.477,36.075,34.513,37.616,37.177,39.731,41.97,45.284,45.616,46.521,44.972,52.318,50.211,55.973,60.279,60.215,57.914,62.637,73.234,69.865,68.011,72.866,76.259,71.164,65.757,65.03,65.884,66.021,66.529,65.968,71.255,65.983,67.542,70.117,70.453,71.905,67.235,70.276,68.11,62.285,62.008,63.507,64.925,60.895,55.339,54.851,51.386,54.554,46.638,48.986,53.304,46.93,46.792,47.604,43.917,43.742,47.614,47.798,45.396,40.299,36.486,37.118,41.579,41.93,36.935,38.85,43.465,41.685,38.997,42.591,45.826,44.69,44.499,44.21,44.759,44.705,44.707,47.848,49.789,50.026,50.407,55.777,59.175,58.045,57.801,61.292,61.985,63.624,64.193,66.895,72.267,71.124,69.076,73.315,75.498,73.598,76.35,82.336,78.306,82.064,79.601,84.157,85.84,86.669,88.192,98.332,102.446,103.243,94.604,101.591,103.006,100.799,99.594,104.03,104.753,108.56,95.542,100.274,99.635,101.08,97.04,98.128,98.151,91.485,89.525,86.262,89.686,90.288,82.266,87.381,85.849,84.637,80.289,81.734,80.241,82.593
"30","22","      Intellectual property products","Y052RA3",46.26,46.369,46.006,45.094,43.815,42.766,42.05,41.716,41.562,41.697,42.132,42.867,43.812,44.485,44.987,45.221,45.263,45.01,44.497,43.782,42.889,42.165,41.463,40.877,40.538,40.377,40.469,40.878,41.432,41.709,42.085,42.375,42.867,43.112,43.277,43.364,43.521,43.794,44.104,44.5,45.167,45.7,46.227,46.814,47.136,47.924,49.073,50.429,52.05,53.431,55.152,56.516,58.185,59.999,62.03,63.929,66.176,68.489,70.353,72.247,73.886,76.589,79.574,83.377,87.119,90.071,92.063,93.065,93.091,93.708,95.308,97.703,100.763,102.701,103.502,102.67,101.15,99.73,98.564,97.136,95.368,94.216,93.507,93.166,92.937,91.586,90.24,88.42,85.126,82.646,80.562,79.419,79.09,77.629,76.381,74.503,73.39,72.162,71.416,69.713,69.133,68.68,68.417,67.689,66.692,66.402,66.086,66.26,66.144,66.261,66.553,66.847,66.46,65.751,65.228,65.559,65.727,65.849,65.622,64.571,63.372,64.349,64.474,63.771,63.108,63.4,63.601,64.286,64.953,65.9,67.423,69.162,70.574,72.689,74.881,77.545,80.028,82.276,84.217,86.229,88.054,90.079,92.233,93.478,94.66,95.678,96.599,96.668,96.698,97.784,99.089,100.487,101.567,102.244,102.718,103.267,103.348,102.93,102.121,101.458,100.792,100.297,99.962,98.949,99.451,98.775,99.296,98.38,97.692,97.53,97.747,98.473,94.622,92.701,90.931,90.278,89.686,88.325,87.723,86.899,86.744,86.605,86.381,86.149,86.354,87.154,87.258,87.733
"31","23","        Software","Y053RA3",3.115,3.311,3.556,3.912,4.49,4.739,4.994,5.258,5.153,5.23,5.215,5.413,5.592,5.759,6.106,6.347,6.811,7.005,7.29,7.576,7.932,8.257,8.386,8.511,9.254,9.6,9.778,10.169,10.073,10.107,10.176,10.308,10.377,10.375,10.555,10.846,11.507,12.075,12.464,13.021,14.084,14.486,14.911,15.366,15.602,16.27,17.186,18.273,19.109,19.572,20.442,20.988,21.065,21.701,22.356,22.847,23.667,24.676,26.146,27.655,29.895,32.34,35.236,37.269,37.937,39.922,42.532,44.104,46.615,48.04,49.67,51.195,52.739,54.3,55.469,55.949,59.507,62.261,64.936,66.658,67.996,71.006,73.741,77.366,78.973,76.754,79.208,79.378,78.786,80.473,81.539,82.492,87.222,86.957,88.083,86.647,84.069,83.66,83.449,81.568,80.902,81.229,83.522,81.849,82.05,79.691,80.983,78.81,81.465,83.564,85.938,86.955,88.111,86.684,85.397,87.218,89.132,94.208,94.941,92.597,82.24,95.721,96.067,95.396,89.914,92.034,90.842,92.2,88.664,85.116,85.176,86.497,84.222,84.72,85.084,83.948,80.762,81.739,82.801,84.906,83.708,84.878,88.007,89.15,86.799,89.335,90.879,90.951,90.363,91.195,92.659,95.537,96.671,96.346,96.391,96.098,100.655,101.281,101.22,99.431,98.23,98.891,100.474,102.405,105.806,105.525,108.435,109.807,110.825,112.078,113.055,114.088,112.769,113.779,112.562,113.515,114.624,111.514,112.471,112.348,113.622,114.258,116.257,116.671,117.823,119.147,117.286,116.403
"32","24","        Research and development","Y076RA3",54.404,54.481,53.982,52.798,51.116,49.796,48.873,48.404,48.249,48.39,48.914,49.74,50.821,51.581,52.091,52.31,52.246,51.896,51.214,50.293,49.143,48.205,47.338,46.612,46.034,45.761,45.83,46.225,46.906,47.227,47.658,47.973,48.541,48.832,48.987,49.025,49.066,49.268,49.552,49.904,50.47,51.017,51.552,52.151,52.482,53.278,54.45,55.836,57.582,59.119,60.978,62.478,64.427,66.438,68.703,70.841,73.327,75.856,77.776,79.725,81.247,83.981,86.967,91.063,95.325,98.434,100.316,101.219,100.826,101.308,102.903,105.444,108.757,110.758,111.498,110.447,108.097,105.999,104.213,102.28,100.017,98.216,96.976,96.033,95.528,94.3,92.385,90.261,86.547,83.437,80.881,79.429,78.381,76.746,75.167,73.22,72.301,70.956,70.132,68.444,67.872,67.312,66.71,66.104,64.95,64.926,64.402,64.879,64.404,64.27,64.302,64.507,63.931,63.311,62.878,63.03,62.986,62.522,62.18,61.282,61.155,60.669,60.769,60.063,59.962,60.042,60.406,61.011,62.169,63.643,65.337,67.124,68.968,71.272,73.674,76.776,79.912,82.304,84.343,86.344,88.506,90.627,92.672,93.928,95.498,96.349,97.202,97.27,97.367,98.482,99.769,101.008,102.082,102.867,103.387,104.025,103.631,103.104,102.216,101.67,101.06,100.444,99.908,98.587,98.789,98.073,98.349,97.201,96.343,96.04,96.182,96.876,92.776,90.57,88.746,87.937,87.18,85.991,85.238,84.347,84.053,83.84,83.403,83.11,83.225,83.974,84.263,84.865
"33","25","  Nondefense","B825RA3",33.341,33.684,33.97,32.769,33.133,34.049,33.82,34.034,33.893,35.717,36.991,35.941,37.939,38.471,38.267,38.112,38.499,38.302,38.41,37.879,39.614,38.186,40.705,41.598,41.129,41.475,41.531,42.147,42.086,42.054,42.073,42.722,42.96,43.737,44.48,45.659,45.644,46.796,47.098,47.883,47.721,47.631,47.817,47.358,49.03,52.172,50.114,49.417,50.269,51.636,50.439,50.425,49.517,47.934,48.214,49.721,51.367,51.784,55.119,46.391,47.556,51.284,51.307,51.733,52.688,53.434,54.085,53.167,53.518,54.048,55.577,56.902,55.884,55.185,53.237,56.235,52.688,51.765,52.078,54.512,55.32,56.583,56.782,57.619,59.834,60.701,61.536,60.678,61.28,61.873,62.055,63.457,65.305,65.258,65.678,67.124,66.233,65.777,65.706,65.526,65.51,64.432,64.957,66.178,66.104,65.738,65.978,63.361,64.547,65.338,64.948,65.11,66.359,67.027,67.451,66.294,67.829,68.255,65.802,68.787,69.301,69.027,69.168,70.56,70.673,72.185,71.31,70.302,72.787,74.548,74.881,75.578,77.753,79.57,80.679,81.831,81.998,83.25,83.79,83.965,84.329,85.004,84.405,85.814,85.83,85.062,86.077,87.089,89.984,88.448,89.387,88.151,88.02,88.545,89.589,90.723,92.107,93.643,94.188,96.601,98.424,100.235,100.293,101.048,104.599,107.673,106.922,106.594,105.432,103.561,99.722,102.447,103.862,103.769,103.731,103.453,101.437,100.03,99.367,97.341,99.433,98.869,99.471,100.001,100.303,100.189,100.887,101.258
"34","26","    Consumption expenditures","A542RA3",31.009,31.669,32.652,31.12,31.957,33.106,33.034,33.311,33.367,35.976,37.567,36.118,38.589,39.179,39.199,38.936,38.962,38.914,39.4,38.858,41.517,38.444,42.888,43.591,43.037,43.606,43.394,43.679,43.597,42.901,42.822,43.694,43.977,44.628,44.84,46.523,45.968,46.931,46.245,47.78,47.716,47.468,47.476,47.599,49.216,53.877,50.361,49.855,50.945,53.311,52.062,51.918,51.479,49.484,50.388,52.998,54.864,55.714,60.402,47.542,48.802,54.078,54.179,54.368,55.157,56.508,56.689,55.37,55.657,56.697,58.905,60.083,58.27,56.237,53.302,57.541,53.232,51.742,51.862,55.6,56.415,57.638,57.677,58.445,60.417,61.485,62.816,61.689,61.838,61.764,61.706,62.573,64.944,65.072,65.596,66.856,65.007,64.726,64.824,65.249,66.139,64.947,65.221,66.214,65.798,65.837,66.02,62.367,63.159,63.968,63.374,64.212,65.634,66.547,67.082,66.343,66.499,66.704,63.344,67.599,67.614,66.294,66.427,66.942,68.726,71.066,69.721,68.503,71.607,73.685,73.992,74.623,76.494,78.733,79.807,81.138,81.225,82.114,82.878,83.455,83.954,84.394,83.706,85.505,85.635,84.657,85.291,86.516,89.285,87.729,88.734,86.973,86.915,87.325,88.384,89.789,91.584,93.091,93.371,96.169,98.53,100.828,100.129,100.513,104.299,107.377,106.148,105.614,103.83,101.81,97.089,101.063,103.06,103.011,103.29,102.996,101.203,99.829,99.13,96.758,99.609,98.973,99.791,100.002,100.454,99.987,100.755,101.043
"35","27","    Gross investment","B798RA3",38.045,37.809,36.803,36.209,35.676,36.148,35.617,35.712,35.19,35.468,36.118,35.855,36.92,37.34,36.682,36.741,37.865,37.363,36.707,36.196,36.117,37.907,36.677,37.947,37.635,37.543,38.124,39.398,39.381,40.67,40.884,41.093,41.245,42.282,44.09,44.265,45.337,46.878,49.163,48.443,48.088,48.315,48.856,47.235,49.029,49.196,49.986,48.911,49.302,48.702,47.604,47.848,46.009,45.22,44.287,43.637,44.858,44.427,45.129,44.474,45.462,46.164,46.034,46.934,48.229,47.756,49.363,49.246,49.733,49.235,49.402,51.043,51.624,53.6,53.624,54.155,52.1,52.314,53.02,52.868,53.66,55.01,55.535,56.519,59.251,59.72,59.561,59.229,60.754,62.735,63.413,65.94,66.72,66.31,66.517,68.377,69.535,68.696,68.256,66.749,64.742,63.904,64.987,66.726,67.408,66.14,66.507,66.187,68.281,69.036,69.103,67.732,68.595,68.701,68.87,66.723,71.5,72.445,72.102,72.103,73.794,76.015,76.177,79.711,75.763,75.279,75.55,75.053,76.017,77.004,77.404,78.272,81.24,81.971,83.171,83.86,84.233,86.456,86.394,85.493,85.486,86.803,86.444,86.78,86.478,86.294,88.371,88.79,92.043,90.562,91.317,91.576,91.239,92.102,93.102,93.45,93.646,95.263,96.578,97.863,98.111,98.493,100.775,102.622,105.48,108.542,109.216,109.506,110.201,108.78,107.601,106.565,106.232,106.013,105.023,104.792,102.101,100.593,100.038,99.069,98.849,98.507,98.456,99.962,99.801,100.77,101.255,101.88
"36","28","      Structures","B830RA3",117.106,114.636,111.119,104.993,103.982,112.116,115.6,119.45,119.552,123.292,130.706,125.131,131.601,131.317,126.976,124.997,142.823,132.943,138.857,138.967,128.046,143.5,127.492,140.187,142.773,137.136,136.882,143.536,145.272,154.66,149.762,148.324,143.257,151.05,166.197,157.299,161.571,176.061,195.846,180.895,164.877,166.018,173.766,162.534,170.827,170.033,169.201,165.466,174.445,167.573,162.459,161.996,146.053,137.378,133.239,128.847,129.991,130.69,141.187,129.515,133.01,141.605,133.961,139.109,135.308,135.227,148.969,140.641,153.273,148.662,146.048,148.995,160.6,171.338,168.029,158.294,124.334,121.293,126.478,112.9,110.998,114.392,119.364,125.951,136.15,134.457,133.163,123.538,125.481,146.032,145.859,173.191,165.346,162.953,153.972,174.559,181.88,170.764,176.393,173.529,152.013,143.196,146.977,176.232,167.268,156.316,159.223,146.114,160.686,170.961,163.241,142.69,146.199,141.759,147.61,116.642,147.096,143.525,149.329,141.76,144.924,138.499,136.44,139.801,122.212,106.756,98.932,91.883,94.311,96.091,101.667,101.688,117.097,116.616,117.391,120.793,117.344,126.921,122.955,109.579,109.742,112.49,105.897,93.297,87.596,79.796,84.105,71.502,80.477,85.076,84.854,98.617,93.419,97.105,103.894,101.43,89.304,92.544,97.37,100.351,95.797,91.11,100.931,112.161,121.027,142.883,137.446,133.898,149.443,142.625,133.388,120.382,119.464,116.764,110.449,111.349,93.205,89.987,89.96,88.222,90.705,90.034,89.579,97.518,91.8,92.614,95.542,95.157
"37","29","      Equipment","Y066RA3",3.438,3.844,3.066,3.41,3.485,4.361,3.722,4.067,3.742,4.192,4.813,4.785,5.838,6.298,5.628,5.958,6.271,6.761,5.1,4.53,5.887,7.758,7.297,8.005,6.747,6.714,7.076,7.873,6.766,7.465,7.882,7.987,8.528,8.944,9.665,10.2,10.504,10.534,11.485,11.212,11.901,11.472,10.979,8.579,11.377,11.753,13.671,11.937,11.526,11.828,10.884,12.891,12.841,13.7,13.178,13.203,15.969,14.767,14.617,14.871,16.852,16.645,16.856,16.983,19.758,17.255,18.426,18.853,17.403,16.204,16.353,19.241,17.146,19.263,18.739,20.889,21.305,21.777,21.722,23.17,24.784,26.728,25.134,24.668,28.606,28.127,27.221,26.825,29.735,29.936,31.074,31.484,34.161,33.452,35.614,37.102,37.858,37.374,33.924,30.012,27.253,25.914,27.358,26.56,31.032,30.098,30.663,33.474,36.885,36.423,38.175,38.31,38.322,41.194,40.997,40.768,43.49,45.505,41.18,44.571,48.714,51.164,50.094,63.571,49.335,49.36,51.577,49.114,46.111,47.252,46.174,50.734,56.479,58.422,61.428,61.301,60.263,64.008,64.46,63.094,64.252,69.473,67.063,73.786,73.051,73.056,79.684,88.357,100.705,88.753,91.679,83.213,84.561,86.688,87.081,89.174,93.415,98.272,99.212,100.962,100.308,99.612,100.587,99.492,106.225,108.538,109.13,108.647,105.138,102.029,100.931,102.501,106.242,106.444,105.637,101.028,94.319,90.379,88.858,89.824,92.24,94.815,95.39,100.739,100.739,101.363,102.134,105.022
"38","30","      Intellectual property products","Y067RA3",44.669,44.194,43.608,42.954,42.178,41.458,40.901,40.413,39.883,39.592,39.406,39.525,39.684,39.969,39.914,39.92,39.752,39.492,39.28,38.99,38.716,38.561,38.537,38.716,38.979,39.42,40.055,40.723,41.44,41.918,42.419,42.807,43.139,43.64,44.357,45.124,46.121,47.011,47.843,48.465,49.087,49.63,50.005,50.322,50.305,50.377,50.396,50.28,50.196,49.814,49.287,48.405,47.312,46.468,45.805,45.262,45.327,45.317,45.362,45.445,45.436,45.718,46.193,46.948,47.76,48.433,48.791,49.248,49.454,49.831,50.275,50.872,51.657,52.371,53.031,53.729,53.997,54.389,54.93,55.379,55.937,56.606,57.686,58.703,59.704,60.827,61.186,61.909,62.512,63.195,63.659,64.335,65.01,64.994,65.211,65.106,65.705,65.866,66.231,66.111,66.679,66.985,67.521,67.317,67.305,67.01,66.992,66.744,66.818,66.993,67.232,67.427,68.276,67.809,67.495,67.887,70.411,71.447,71.821,71.488,72.1,75.132,75.936,76.187,77.19,78.276,78.871,79.744,81.731,82.568,82.798,82.667,83.318,83.837,84.562,85.151,86.379,87.279,87.548,88.286,87.943,88.023,88.985,89.266,89.77,90.549,91.147,91.246,91.407,91.766,92.113,92.587,92.519,92.631,92.9,93.253,94.365,94.997,95.865,96.781,97.964,99.362,100.788,101.886,102.993,103.456,105.034,106.045,105.472,105.2,105.193,105.384,104.27,104.336,104.11,104.64,105.142,104.405,103.972,102.715,101.528,100.627,100.506,100.216,100.883,101.95,101.995,102.304
"39","31","        Software","Y068RA3",3.036,3.416,3.804,4.149,4.444,4.734,5.076,5.216,5.318,5.465,5.555,5.72,5.82,6.167,6.351,6.63,7.06,7.335,7.713,8.186,8.615,8.885,9.312,9.593,9.98,10.373,10.797,11.102,11.03,11.069,11.235,11.345,11.233,11.44,11.76,12.237,12.776,13.303,13.92,14.311,14.917,15.705,16.43,17.1,17.848,18.644,19.424,19.941,20.54,21.37,22.014,22.757,22.816,23.087,23.309,23.594,25.267,26.107,27.338,28.127,28.447,28.864,29.769,30.898,32.077,32.91,32.985,33.704,33.827,34.365,34.695,35.282,36.357,37.264,38.157,39.751,39.765,40.208,41.046,41.776,43.204,44.387,46.365,47.524,47.849,49.144,47.414,47.188,47.955,49.293,49.846,50.737,51.903,51.008,51.279,50.727,51.847,51.666,51.503,50.672,50.915,50.665,52.187,51.095,52.649,51.015,51.88,49.946,51.662,52.911,54.131,54.462,59.262,57.484,55.635,55.833,66.395,70.212,70.072,67.04,66.812,79.11,79.221,78.226,79.675,81.634,81.393,82.393,88.305,88.173,84.992,80.155,79.372,77.344,76.552,74.068,75.126,76.843,76.774,79.922,78.14,77.83,81.313,82.063,82.571,85.59,87.397,87.546,87.9,88.655,89.896,92.982,94.441,95.698,96.876,96.924,101.2,101.623,102.123,100.534,98.741,99.03,100.137,102.092,105.64,104.743,108.104,109.371,110.328,111.337,112.965,115.24,114.308,115.864,114.564,115.628,116.717,114.568,115.666,115.293,116.369,116.573,119.537,119.001,120.71,122.579,120.992,120.235
"40","32","        Research and development","Y069RA3",59.106,58.277,57.293,56.239,55.045,53.926,53.006,52.277,51.511,51.048,50.754,50.838,51.007,51.235,51.076,50.959,50.541,50.067,49.613,49.014,48.458,48.133,47.919,48.039,48.228,48.656,49.332,50.102,51.098,51.723,52.327,52.804,53.294,53.881,54.713,55.549,56.67,57.654,58.526,59.206,59.803,60.228,60.453,60.622,60.32,60.121,59.859,59.517,59.187,58.381,57.452,56.02,54.554,53.342,52.389,51.572,51.082,50.781,50.424,50.269,50.152,50.386,50.711,51.33,52.01,52.62,53.063,53.428,53.657,53.979,54.451,55.043,55.725,56.368,56.945,57.355,57.698,58.07,58.513,58.869,59.155,59.663,60.467,61.434,62.627,63.693,64.654,65.645,66.194,66.681,67.115,67.727,68.262,68.492,68.694,68.713,69.164,69.418,69.926,70.003,70.656,71.11,71.377,71.412,70.983,71.045,70.792,70.995,70.629,70.519,70.502,70.663,70.486,70.36,70.439,70.877,71.347,71.673,72.175,72.526,73.351,74.03,75.009,75.576,76.462,77.324,78.131,78.971,79.951,81.036,82.139,83.211,84.227,85.394,86.5,87.863,89.128,89.82,90.171,90.317,90.325,90.502,90.851,91.018,91.522,91.761,92.068,92.154,92.269,92.534,92.666,92.513,92.08,91.919,91.973,92.399,92.767,93.447,94.402,95.904,97.782,99.438,100.94,101.84,102.385,103.158,104.336,105.287,104.374,103.817,103.448,103.177,102.025,101.763,101.775,102.188,102.559,102.133,101.363,99.913,98.234,97.093,96.305,96.067,96.51,97.405,97.798,98.334
"41","33","State and local","B829RA3",40.881,41.227,41.335,41.264,41.659,41.885,42.832,43.055,43.235,43.553,43.705,44.259,44.382,44.308,44.66,45.273,45.478,45.552,46.034,46.601,47.192,47.777,47.712,47.737,49.135,48.776,49.385,50.03,50.582,49.707,49.378,49.228,49.69,49.984,49.934,50.014,50.02,51.507,52.102,52.599,51.716,52.193,52.369,52.96,53.213,52.52,51.718,51.47,51.872,50.891,50.748,51.143,51,51.177,51.175,51.558,51.744,51.64,52.085,52.114,52.768,53.468,54.377,54.927,55.619,56.622,57.521,57.958,59.024,59.602,60.153,60.357,60.67,60.814,61.021,61.842,62.507,63.294,63.591,64.361,64.875,65.594,66.223,67.113,68.142,68.275,68.741,69.53,69.638,69.926,70.34,70.827,71.718,71.608,71.63,71.576,71.802,72.379,72.753,73.097,73.389,74.222,75.088,75.373,75.965,76.56,76.627,77.017,76.871,77.981,78.679,79.858,80.656,80.979,81.302,81.623,82.245,83.714,85.206,85.868,86.804,87.314,88.063,89.134,89.814,89.836,90.358,91.035,92.064,93.876,93.366,95.057,95.965,96.174,96.501,96.608,96.106,95.741,96.075,95.809,95.829,96.129,95.705,95.528,95.522,95.662,95.802,96.111,95.909,96.555,96.88,97.283,97.733,98.128,98.146,98.455,98.153,98.282,98.7,98.673,99.414,100.305,100.322,99.959,98.135,97.937,97.173,95.928,94.637,94.21,93.874,93.677,92.967,92.686,92.16,91.55,91.297,91.395,91.434,91.407,91.354,91.952,92.099,92.408,92.226,93.198,93.843,93.562
"42","34","  Consumption expenditures","A991RA3",38.271,38.832,39.414,40.08,40.695,41.158,41.828,42.414,42.882,43.305,43.845,44.356,44.621,45.057,45.485,45.81,46.025,46.422,47.088,47.617,48.139,48.617,49.085,49.662,50.631,51.183,51.606,51.625,51.693,51.769,52.102,52.417,52.646,52.763,53.151,53.416,53.722,53.765,54.168,54.599,54.7,54.345,54.089,54.446,54.47,54.366,54.121,53.888,53.672,53.738,54.142,54.346,54.608,54.863,54.838,55.008,55.519,55.465,55.514,55.617,55.903,56.389,57.002,57.487,58.148,58.759,59.697,60.366,61.076,61.64,62.154,62.842,62.788,63.028,63.065,63.878,64.71,65.152,65.633,66.186,66.895,67.468,68.091,68.699,69.316,69.729,70.287,70.667,71.027,71.375,71.662,71.983,72.515,72.903,73.427,73.601,73.971,74.116,74.523,74.846,75.588,76.248,76.754,77.054,77.683,78.063,78.391,78.8,78.782,79.667,79.927,80.375,80.791,81.397,82.125,82.912,83.861,84.791,85.629,86.272,87.073,87.687,88.357,88.955,89.164,89.602,90.062,90.634,91.532,92.451,93.429,94.204,94.934,95.457,95.717,95.638,95.191,94.915,94.652,94.549,94.691,94.906,94.939,95.141,95.238,95.303,95.633,95.69,95.57,95.805,96.289,97.051,97.46,97.74,97.75,97.966,97.705,97.572,98.025,98.478,99.4,100.079,100.172,100.349,98.755,97.933,96.956,96.107,95.186,94.92,94.673,94.542,94.269,94.053,93.921,93.675,93.51,93.512,93.547,93.715,93.892,94.162,94.302,94.459,94.606,94.707,95.064,95.142
"43","35","  Gross investment","B799RA3",48.182,47.81,46.346,43.832,43.483,42.917,44.749,43.768,42.99,42.948,41.805,42.487,42.133,40.351,40.44,42,42.17,41.163,41.011,41.674,42.456,43.343,41.647,40.023,42.612,39.555,40.703,43.238,45.267,41.498,39.132,37.536,38.697,39.531,38.076,37.555,36.588,42.681,43.872,44.56,40.563,43.677,45.222,46.527,47.483,44.951,42.427,42.141,44.462,40.249,38.416,39.384,37.999,37.93,37.999,39.03,38.186,37.926,39.628,39.41,41.256,42.646,44.532,45.293,46.082,48.426,49.176,48.802,51.087,51.704,52.374,50.9,52.484,52.287,53.09,53.928,53.998,55.991,55.633,57.166,56.974,58.213,58.86,60.776,63.325,62.417,62.54,64.855,64,64.061,64.963,66.105,68.417,66.355,64.386,63.422,63.059,65.36,65.598,66.024,64.516,66.041,68.353,68.575,69.02,70.47,69.498,69.804,69.151,71.153,73.6,77.728,80.098,79.276,77.95,76.369,75.652,79.318,83.484,84.225,85.726,85.812,86.895,89.953,92.631,90.886,91.67,92.799,94.385,100.063,93.103,98.762,100.445,99.296,99.911,100.829,100.077,99.317,102.306,101.313,100.784,101.475,99,97.147,96.688,97.162,96.468,97.874,97.306,99.744,99.379,98.244,98.87,99.755,99.809,100.51,100.029,101.279,101.543,99.489,99.49,101.252,100.952,98.307,95.499,97.957,98.112,95.167,92.295,91.177,90.457,89.972,87.4,86.839,84.649,82.494,81.868,82.38,82.432,81.579,80.553,82.537,82.716,83.665,82.104,86.728,88.582,86.793
"44","36","    Structures","B842RA3",71.019,70.231,67.662,63.458,62.678,61.807,64.643,63.114,61.853,61.722,59.72,60.632,59.756,56.653,56.559,58.903,58.922,57.078,56.59,57.31,58.347,59.628,56.949,54.478,58.625,53.734,55.562,59.651,62.975,56.91,53.108,50.542,52.594,53.94,51.543,50.603,48.848,58.487,60.18,61.046,54.374,59.179,61.44,63.306,64.617,60.421,56.312,55.854,59.645,52.978,50.017,51.425,49.008,48.727,48.638,50.05,48.262,47.439,49.668,48.854,51.299,52.984,55.413,56.023,56.676,59.84,60.561,59.463,62.571,63.152,63.997,61.472,63.81,63.249,64.24,65.31,65.196,67.828,66.643,68.328,67.041,68.006,68.175,70.395,73.857,72.2,72.32,75.795,74.805,74.941,76.322,77.862,81.128,77.506,74.133,72.421,71.914,75.398,75.288,75.562,72.312,74.1,77.142,76.948,77.216,78.925,77.209,77.323,76.377,79.205,82.551,88.286,90.864,88.832,85.897,82.799,80.789,85.267,90.602,90.847,92.213,91.433,92.401,96.486,99.854,96.755,97.611,98.762,100.62,108.651,99.045,106.869,108.645,106.984,107.612,109.081,107.853,106.683,110.241,108.489,107.868,108.89,105.588,102.839,102.117,102.433,101.339,102.983,101.785,104.285,102.869,100.29,101.082,101.236,100.72,100.785,100.1,101.442,101.544,99.786,99.635,101.684,101.232,97.449,94.415,98.079,98.553,94.715,91.681,90.202,89.23,88.996,85.879,84.92,82.298,79.465,78.532,78.924,78.724,77.553,76.394,78.716,78.753,79.553,77.703,83.296,85.203,82.98
