"","Table 7#18B# Chain-Type Quantity Indexes for Motor Vehicle Outpu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39"
"18","    New motor vehicles","11","AB68RA",25.03,29.89,33.02,27.63,32.35,36.98,42.78,40.03,34.25,40.53,48.23,52.93,51.55,40.78,41.84,40.04,47.39,60.87,66.11,62.39,61.37,65.25,61.12,60.27,60.8,65.27,74.68,88.93,92.45,100,106.08,114.48,125.27,120.36,106.87,104.24
"19","      Autos","12","B139RA",24.49,29.37,30.91,26.05,32.2,33.97,38.73,35.85,36.35,42.18,49.59,52.89,49.68,43.05,47.48,46.73,56.24,71.26,74.98,74.54,70.06,76.86,70.98,73.65,77.86,78.29,84.43,98.92,95.64,100,101.5,100.54,105.73,103.42,95.08,92.02
"20","      Trucks","13","B705RA",26.03,30.9,36.34,30.13,32.94,41.46,48.69,46.07,32.46,39.42,47.59,53.94,54.56,39.07,36.64,33.76,39.05,51.11,57.86,50.88,53.33,54.29,51.86,47.5,44.38,52.86,65.46,79.48,89.42,100,110.44,127.85,143.97,136.63,118.27,116.04
"21","        Light trucks","14","B196RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.27,40.75,37.38,40.23,40.46,45.85,53.36,68.93,78.05,100,118.65,132.78,148.54,147.36,137.74,135.69
"22","        Other","15","B197RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.72,80.02,79.38,61.45,51.99,66.42,88.84,99.75,111.25,100,94.74,118.26,134.98,116.36,82.3,79.69
"23","    Net purchases of used autos","16","B140RA",25.87,26.91,29.83,28.45,27.36,27.58,30.98,33.53,36.25,37.82,37.63,40.79,44.83,44.64,42.14,39.63,38.01,55.07,64.64,60.75,67.61,72.7,73.3,72.69,76.74,80.99,92.64,94.78,98.65,100,104.1,107.59,109.33,109.17,106.65,108.39
"24","  Gross government investment","17","AB64RA",46.6,42.16,41.13,41.19,41.12,44.59,57.09,63.31,60.35,64.89,68.87,72.88,77.17,75.02,73.18,67.83,76.68,102.62,105.26,98.03,89.09,94.49,115.01,118.61,108.57,114.52,104.92,98.1,100.06,100,105.47,113.02,117.09,121.45,126.36,122.9
"25","    Autos","18","B144RA",40.36,41.59,43.11,43.07,45.73,47.39,45.19,48.28,47.02,50.04,59.56,66.29,64.96,62.23,64.07,63.17,61.75,71.4,68.12,64.08,63.84,77.02,85.52,96.7,86.43,102.97,96.86,99.03,103.79,100,91.19,95.71,98.32,95.52,97.37,97.51
"26","    New trucks","19","B708RA",49.69,42.05,39.54,39.66,37.96,42.51,64.31,72.49,68.48,73.95,74.74,77.23,84.73,82.89,79.02,71.23,85.63,120.47,126.26,117.24,103.34,104.25,131.55,130.81,120.93,120.88,109.35,97.6,98.02,100,113.39,122.65,127.56,135.99,142.63,137.12
"27","  Net exports","20"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","    Exports","21","AB69RA",22.94,25.85,27.64,24.35,29.17,31.78,40.33,49.31,58.57,56.69,55.16,60,67.63,53.93,47.92,34.62,37.74,42.53,48.72,50.93,54.96,65.1,63.26,63.21,70.69,80.34,81.77,91.91,95.31,100,105.28,97.61,94.17,95.72,92.55,104.06
"29","      Autos","22","B142RA",26.64,31.5,31.27,25.07,33.2,35.63,45.88,51.73,54.88,57.32,58.07,58.05,65.54,50.41,43.07,30.8,40.07,44.4,52.05,53.65,56.64,70.32,74.22,69.52,74.44,89.12,90.21,100.59,100.22,100,98.31,94.42,94.99,95.38,101.19,115.49
"30","      Trucks","23","B706RA",17.77,18.09,22.5,23.15,23.48,26.32,32.46,46.13,64.76,56.19,51.09,63.58,71.48,60.25,56.67,41.53,33.35,38.99,42.47,45.8,51.72,55.33,42.97,51.48,63.66,64,66.07,75.73,86.12,100,118.31,103.66,92.88,96.54,77.15,83.66
"31","    Imports","24","AB70RA",16.44,25.89,30.81,30.85,38,40.52,40.93,42.14,33.54,41.6,46.11,51.53,50.59,53,50.54,54.21,61.58,77.54,87.51,94.4,93.08,86.29,81.35,83.51,78.8,80.2,86.23,95.29,97.21,100,109.74,116.48,142.51,156.2,153.19,161.37
"32","      Autos","25","B143RA",18.45,29.14,33.39,33.61,42.28,43.29,42.81,43.94,34.92,41.8,45.64,49,48.59,51.79,48.2,52.38,59.95,74.34,84.2,93.22,91.73,85.35,79.66,83.71,79.5,79.03,85.68,96.34,97.72,100,108.65,118.9,142.71,161.7,157.44,167.33
"33","      Trucks","26","B707RA",9.27,14.31,20.81,20.28,22.23,29.67,33.36,34.89,28.01,41.28,48.76,63.52,60.03,58.7,61.5,62.84,69.33,92.55,103.04,100.1,99.61,90.81,89.45,82.59,75.51,85.86,88.91,90.2,94.78,100,115.03,104.79,141.44,130.03,132.92,132.99
"34","Change in private inventories","27"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","  Autos","28"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","    New","29"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","      Domestic","30"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","      Foreign","31"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","    Used","32"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","  New trucks","33"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","    Domestic","34"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","    Foreign","35"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Addenda:",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","  Final sales of motor vehicles to domestic purchasers","36","AB75RA",36.11,42.31,44.13,37.65,45.29,52,57.87,48.88,45.75,56.21,64.31,68.05,63.69,52.11,53.43,53.6,65.2,78.72,87.71,90.27,85.48,89.89,87.76,84.91,74.77,80.61,87.29,96.29,96.38,100,104.82,115.51,127.69,129.37,129.8,133.53
"45","  Private fixed investment in new autos and new light trucks","37","AB76RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.27,62.11,57.26,59.97,62.59,64.99,71.67,86.61,88.43,100,108.49,113.63,123.11,121.27,112.41,109.78
"46","  Domestic output of new autos \2\","38","B148RA",61.07,75.63,72.36,55.53,74.7,79.69,89.7,69.08,64.79,84.07,93.55,93.16,86.14,67.84,72.21,62.52,85.18,100.26,106.49,103.77,98.42,100.12,99.01,90.39,83.38,89.44,93.97,107.79,102.73,100,99.66,98.13,100.62,101.22,92.85,98.82
"47","  Sales of imported new autos \3\","39","B149RA",14.53,19.32,24.51,27.23,31.84,36.3,41.22,38.44,41.09,42.55,52.78,53.84,58.9,61.77,66.13,73.22,83.36,94.02,106.35,123.45,117.37,124.8,113.92,114.1,97.83,101.5,105.72,106.41,102.66,100,108.26,123.45,144.47,154.42,152.8,157.39
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49"," 1. Except for exports and imports, consists of new trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50"," 2. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51"," 3. Consists of personal consumption expenditures, private fixed investment, and gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
