"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"22","15","    Household consumption expenditures (for services)","DHCERA3",31.638,32.858,33.97,35.931,37.683,38.456,39.944,41.64,43.397,45.405,46.787,47.457,48.21,48.929,51.333,53.153,55.854,57.332,59.552,61.875,63.526,65.06,65.771,67.766,69.828,71.786,73.559,75.633,78.236,81.552,84.802,88.914,90.921,92.376,93.997,96.896,100,102.412,104.559,105.155,104.448
"23","16","      Housing and utilities","DHUTRA3",35.085,36.432,38.001,40.033,41.905,43.886,45.291,46.573,47.87,50.148,51.929,53.611,54.498,54.861,56.08,58.067,60.266,61.552,63.423,65.557,67.238,68.444,69.974,71.374,73.265,75.977,78.016,79.71,81.524,84.011,86.665,89.312,91.702,92.366,93.515,95.573,100,102.14,102.749,103.524,104.682
"24","17","      Health care","DHLCRA3",29.284,30.856,33.076,35.341,37.883,39.185,41.203,43.007,45.092,47.159,48.747,50.149,52.567,52.694,54.268,55.147,56.831,58.605,61.042,63.442,64.167,66.327,67.598,69.639,69.992,70.54,72.001,73.49,75.771,78.233,79.455,82.186,86.283,91.365,93.424,96.405,100,101.828,104.227,107.148,109.457
"25","18","      Transportation services","DTRSRA3",31.055,32.142,33.502,35.426,36.015,36.216,36.704,38.538,41.26,42.256,43.532,40.952,39.427,38.57,41.476,46.339,51.195,53.422,55.613,58.825,60.148,60.085,57.231,60.126,63.53,69.552,74.795,80.925,87.03,90.652,95.659,100.113,99.191,96.482,96.794,99.065,100,99.68,100.739,95.511,87.758
"26","19","      Recreation services","DRCARA3",17.722,18.352,18.979,19.988,21.689,23.157,24.351,26.03,27.676,29.019,30.432,31.461,34.13,35.785,38.841,41.422,44.417,46.472,48.583,53.197,56.516,58.966,58.544,62.416,66.352,69.744,75.05,78.442,80.933,83.629,87.709,90.342,90.24,90.806,93.478,98.141,100,103.264,107.484,107.116,104.597
"27","20","      Food services and accommodations","DFSARA3",39.353,40.717,40.673,43.779,45.963,45.541,47.435,50.297,51.641,53.83,55.499,55.524,56.078,56.448,58.304,59.918,60.716,62.471,65.718,69.627,71.551,74.098,74.145,76.033,77.772,79.006,79.198,79.721,81.484,83.607,85.67,89.575,89.45,90.847,93.957,96.848,100,103.102,104.93,104.234,100.461
"28","21","      Financial services and insurance","DIFSRA3",22.993,23.842,24.714,26.151,27.654,28.321,31.029,32.72,34.759,36.524,37.643,38.12,37.813,40.771,46.634,47.072,52.061,53.708,53.952,53.877,55.931,57.218,61.03,62.744,67.875,68.344,68.679,71.253,73.704,78.392,84.985,93.371,92.719,92.382,92.307,97.075,100,103.202,107.545,108.183,104.265
"29","22","      Other services","DOTSRA3",34.58,35.693,35.839,37.398,38.456,37.221,37.526,38.957,40.869,43.032,43.413,43.17,42.955,43.849,46.708,49.051,52.454,53.034,56.761,59.068,60.919,61.983,59.749,62.071,63.377,65.789,67.076,69.338,73.446,79.537,84.024,90.091,93.733,94.298,96.685,98.958,100,103.416,106.042,105.75,104.526
"30","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",8.021,8.454,8.911,9.454,9.545,9.369,9.419,9.946,10.107,10.648,11.011,11.536,12.457,14.438,16.607,19.178,20.697,23.461,25.214,28.998,33.139,39.906,45.4,54.418,58.683,63.546,66.469,70.503,65.658,71.902,77.072,83.075,89.411,97.652,102.462,101.98,100,109.96,114.597,124.877,119.597
"31","24","      Gross output of nonprofit institutions \2\","DNPERA3",26.301,27.582,29.507,31.268,32.164,32.544,33.773,35.549,36.891,38.971,40.08,41.257,42.955,44.75,46.413,48.003,49.69,52.172,54.248,57.239,59.301,62.8,65.128,68.634,70.323,71.81,72.766,74.708,75.894,79.659,82.431,85.635,89.787,95.024,96.499,98.396,100,103.016,105.48,108.252,108.852
"32","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRA3",37.861,39.624,42.64,45.165,46.799,47.901,50.296,52.883,55.277,58.447,60,61.402,63.168,63.604,63.877,63.824,65.206,66.838,68.788,70.671,71.032,72.334,72.955,74.008,74.704,74.983,75.262,76.504,79.747,82.653,84.566,86.752,90.099,94.24,94.547,97.235,100,100.789,102.568,103.033,105.361
"33","26","Gross private domestic investment","B006RA3",23.409,21.871,24.365,27.25,30.443,28.2,23.205,27.893,32.107,35.978,37.125,33.047,36.019,30.972,33.857,43.833,43.425,43.129,44.458,45.504,47.33,45.736,42.016,45.421,49.481,56.204,57.955,63.082,70.932,78.034,84.903,90.704,84.333,83.185,86.162,94.753,100,102.678,99.509,90.105,69.778
"34","27","  Fixed investment","B007RA3",23.329,22.838,24.568,27.522,30.037,28.159,25.135,27.613,31.582,35.406,37.404,34.974,35.756,33.249,35.673,41.698,43.891,44.402,44.646,46.118,47.504,46.512,43.496,46.075,50.024,54.703,58.226,63.448,69.302,76.822,83.969,90.178,88.47,84.726,87.464,93.884,100,102.309,100.49,94.096,76.835
"35","28","    Nonresidential","B008RA3",20.181,20.073,20.074,21.917,25.106,25.316,22.814,23.931,26.632,30.618,33.702,33.613,35.528,34.19,33.748,39.704,42.336,41.126,41.096,43.245,45.66,45.885,43.425,44.811,48.723,53.207,58.801,64.293,72.053,80.707,89.129,97.864,95.137,87.593,88.398,93.743,100,107.913,115.193,115.532,95.804
"36","29","      Structures","B009RA3",74.096,74.3,73.082,75.359,81.52,79.755,71.355,73.073,76.079,87.058,98.098,103.837,112.161,110.325,98.404,112.125,120.095,106.935,103.859,104.539,106.616,108.187,96.15,90.354,89.768,91.405,97.235,102.744,110.28,115.911,116.049,125.101,123.191,101.377,97.514,98.571,100,109.18,124.578,131.976,105.064
"37","30","      Equipment and software","B010RA3",11.598,11.482,11.596,13.092,15.494,15.89,14.377,15.276,17.577,20.253,22.022,21.23,22.133,20.982,22.111,26.497,28.18,28.714,29.107,31.302,33.596,33.607,32.743,35.129,39.515,44.227,49.519,54.782,62.315,71.358,81.451,89.976,87.073,83.397,85.516,92.141,100,107.434,111.389,108.681,92.035
"38","31","        Information processing equipment and software","A679RA3",1.186,1.337,1.426,1.637,1.927,2.212,2.204,2.505,3.037,3.922,4.745,5.541,6.412,6.88,8.011,10.163,11.313,12.237,12.996,14.456,16.464,17.344,18.224,21.031,23.802,26.805,31.454,37.684,46.462,57.034,69.859,82.449,82.091,79.817,85.213,93.228,100,108.31,117.93,125.136,125.368
"39","32","          Computers and peripheral equipment","B935RA3",0.008,0.009,0.013,0.02,0.021,0.028,0.028,0.041,0.061,0.121,0.196,0.309,0.482,0.593,0.9,1.472,1.848,2.125,2.67,3.051,3.71,3.667,3.982,5.447,6.981,8.675,13.082,18.89,27.392,39.82,56.577,68.606,70.317,73.717,80.31,89.491,100,123.128,140.394,159.06,156.682
"40","33","          Software \4\","B985RA3",0.636,0.812,0.863,1.013,1.152,1.347,1.579,1.716,1.788,2.119,2.638,3.113,3.619,4.178,4.925,6.227,7.396,8.274,9.432,11.244,14.489,17.077,19.342,22.724,25.408,27.905,30.695,36.013,46.632,56.345,69.493,79.1,79.669,79.56,85.125,93.861,100,104.185,110.481,116.907,118.929
"41","34","          Other","A937RA3",9.255,9.973,10.092,10.699,12.971,14.349,13.779,15.087,18.149,21.638,24.295,26.136,27.638,27.827,29.248,33.306,34.367,35.769,34.333,36.698,38.347,39.316,39.076,41.448,44.652,48.806,52.529,57.548,62.497,70.36,78.443,94.401,91.512,83.193,87.699,94.229,100,107.209,118.084,122.185,120.829
"42","35","        Industrial equipment","A680RA3",54.973,55.753,51.206,55.212,65.276,70.29,59.598,59.892,63.475,70.624,75.671,72.418,71.267,65.103,59.935,68.594,71.761,71.426,69.649,73.145,78.246,73.721,68.998,70.259,76.223,83.022,91.121,94.502,96.542,100.744,101.365,110.12,102,95.149,94.986,92.321,100,108.304,112.664,107.896,82.784
"43","36","        Transportation equipment","A681RA3",38.16,31.31,33.816,39.285,47.243,42.763,36.84,40.96,49.78,55.017,57.434,46.886,45.592,40.396,45.488,54.185,56.309,54.157,51.497,54.293,48.89,48.628,47.324,48.161,57.096,66.885,72.383,75.291,81.565,89.163,104.723,102.466,93.31,84.861,77.279,89.341,100,108.134,102.223,78.698,38.207
"44","37","        Other equipment","A862RA3",36.37,37.939,37.821,42.863,50.087,49.446,45.783,46.156,51.93,57.204,58.327,52.428,53.842,46.586,44.89,50.835,51.32,50.386,51.803,54.303,60.615,58.317,49.833,49.568,54.266,58.639,61.797,64.151,70.352,77.545,79.588,84.061,83.419,82.796,86.64,91.887,100,103.659,102.959,99.177,77.02
"45","38","    Residential","B011RA3",34.066,32.028,40.811,48.064,47.756,37.897,32.977,40.743,49.49,52.606,50.676,39.952,36.749,30.077,42.527,48.839,49.612,55.699,56.811,56.235,54.528,49.823,45.035,51.267,55.454,60.845,58.854,63.554,64.756,69.737,74.098,74.839,75.263,79.21,85.724,94.136,100,92.679,75.38,57.324,44.22
"46","39","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","40","    Farm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","41","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","  Exports","B020RA3",12.14,13.445,13.674,14.7,17.471,18.852,18.732,19.55,20.021,22.132,24.326,26.946,27.277,25.193,24.543,26.546,27.352,29.451,32.619,37.844,42.193,45.989,49.042,52.41,54.127,58.847,64.805,70.186,78.55,80.343,83.849,91.054,85.946,84.224,85.574,93.698,100,108.962,119.106,126.255,114.228
"51","44","    Goods","B253RA3",11.274,12.56,12.511,13.856,17.038,18.391,17.964,18.817,19.063,21.193,23.697,26.521,26.234,23.863,23.177,25.009,25.931,27.263,30.286,35.992,40.281,43.671,46.685,50.177,51.812,56.853,63.505,69.106,79.042,80.805,83.88,93.182,87.414,84.268,85.773,93.025,100,109.416,120.087,127.649,112.377
"52","45","    Services","B646RA3",14.442,15.729,16.942,16.835,18.025,19.432,20.626,21.236,22.606,24.496,25.25,26.826,29.683,28.86,28.38,30.911,31.279,35.82,39.39,42.939,47.375,52.372,55.505,58.496,60.437,64.275,68.316,73.101,77.436,79.303,83.857,86.102,82.534,84.115,85.107,95.237,100,107.935,116.885,123.095,118.303
"53","46","  Imports","B021RA3",11.189,11.666,12.289,13.672,14.306,13.982,12.428,14.858,16.483,17.911,18.208,16.999,17.446,17.226,19.4,24.122,25.687,27.883,29.532,30.693,32.045,33.191,33.142,35.466,38.532,43.129,46.58,50.631,57.45,64.165,71.55,80.871,78.596,81.27,84.857,94.231,100,106.086,108.951,106.113,91.418
"54","47","    Goods","B255RA3",9.51,9.882,10.711,12.168,13.027,12.665,11.069,13.572,15.226,16.591,16.876,15.623,15.945,15.544,17.656,21.927,23.299,25.687,26.878,27.966,29.171,30.02,30.156,32.999,36.301,41.149,44.855,49.06,56.13,62.78,70.609,80.086,77.53,80.409,84.363,93.66,100,105.904,109.028,105.189,88.615
"55","48","    Services","B656RA3",21.596,22.722,22.075,23.011,22.235,22.21,21.247,22.714,23.846,25.546,25.897,25.319,26.778,28.205,30.483,38.126,41.026,41.488,46.378,47.954,50.278,53.564,52.173,50.768,52.124,54.901,56.556,59.514,64.687,71.721,76.569,84.955,84.292,85.837,87.474,97.252,100,107.059,108.539,111.167,106.461
"56","49","Government consumption expenditures and gross investment","B822RA3",53.347,52.059,50.926,50.556,50.379,51.648,52.812,53.049,53.63,55.21,56.241,57.337,57.86,58.876,61.027,63.078,67.471,71.573,73.3,74.22,76.24,78.655,79.514,79.885,79.253,79.245,79.705,80.507,82.02,83.759,86.761,88.519,91.917,96.192,98.336,99.668,100,101.359,102.713,105.605,107.287
"57","50","  Federal","B823RA3",70.969,65.738,60.677,58.197,55.748,56.243,56.426,56.453,57.647,59.092,60.519,63.39,66.42,68.989,73.561,75.829,81.771,86.407,89.477,88.01,89.379,91.185,91,89.351,85.842,82.555,80.353,79.423,78.641,77.758,79.27,79.661,82.901,88.953,94.839,98.71,100,102.127,103.399,110.9,117.266
"58","51","    National defense","B824RA3",85.556,77.8,68.981,63.588,60.061,59.595,59.03,58.828,59.511,60.019,61.845,64.541,68.628,73.814,79.11,82.971,90.002,95.766,100.301,99.826,99.335,99.305,98.214,93.351,88.401,84.072,80.936,79.856,77.618,75.978,77.386,76.986,79.908,85.782,93.243,98.535,100,101.588,103.867,111.653,117.648
"59","52","      Consumption expenditures","B997RA3",96.286,87.549,80.747,75.82,70.33,68.066,66.376,65.239,65.905,66.619,67.458,70.094,74.08,79.047,83.255,85.797,90.955,95.114,98.637,99.764,99.046,98.38,98.279,93.189,89.519,85.53,82.457,81.294,80.072,77.935,79.166,78.445,81.296,86.597,94.027,98.936,100,100.823,102.554,109.175,114.933
"60","53","      Gross investment","B788RA3",47.039,42.803,27.267,20.371,22.968,28.028,31.107,33.921,34.613,34.413,39.345,42.1,46.384,52.164,61.212,69.915,84.168,96.419,105.285,97.43,98.022,101.011,95.168,91.56,80.355,74.465,71.109,70.472,63.019,64.053,66.396,67.779,71.074,80.367,88.002,95.813,100,106.959,113.195,129.524,137.252
"61","54","    Nondefense","B825RA3",43.019,42.567,44.575,47.722,47.429,49.891,51.594,52.085,54.324,57.7,58.309,61.573,62.396,59.402,62.471,61.279,64.9,67.13,67.081,63.499,68.795,74.465,76.17,81.218,80.687,79.525,79.207,78.577,80.737,81.374,83.095,85.066,88.945,95.357,98.071,99.067,100,103.237,102.42,109.326,116.467
"62","55","      Consumption expenditures","B542RA3",46.77,46.631,48.822,52.549,51.941,54.832,56.663,56.604,58.962,61.396,62.453,65.701,66.78,63.853,66.223,63.815,67.476,69.933,68.552,65.055,70.701,76.394,77.236,81.762,80.635,81.377,80.157,78.179,80.937,80.174,80.825,84.638,89.317,95.495,98.458,99.664,100,102.578,101.475,108.284,115.768
"63","56","      Gross investment","B798RA3",28.082,26.605,27.888,28.906,29.706,30.587,31.768,34.094,35.826,42.403,41.389,44.599,44.465,41.322,46.91,50.392,53.81,55.101,60.473,56.566,60.373,65.909,71.33,78.714,80.954,70.633,74.762,80.934,79.962,88.219,95.922,87.287,86.443,94.26,95.384,94.979,100,107.841,109.081,116.678,121.237
"64","57","  State and local","B829RA3",42.557,43.738,45.077,46.068,47.381,49.164,50.97,51.346,51.532,53.216,53.998,53.958,52.873,52.898,53.514,55.444,58.879,62.669,63.575,65.933,68.34,71.112,72.585,74.156,75.244,77.197,79.247,81.09,83.98,87.291,91.179,93.744,97.236,100.473,100.408,100.234,100,100.91,102.311,102.611,101.688
"65","58","    Consumption expenditures","B991RA3",40.299,42.714,44.816,46.515,48.127,50.32,52.81,53.54,54.56,55.659,56.025,55.905,55.684,56.506,57.146,58.217,61.25,65.137,65.913,68.142,70.358,72.605,74.067,75.803,77.334,79.292,81.105,82.592,84.794,88.344,91.538,93.537,96.75,99.938,99.628,99.616,100,100.717,102.293,102.328,101.655
"66","59","    Gross investment","B799RA3",48.766,45.697,44.399,42.95,43.2,43.579,43.18,42.421,39.855,43.451,45.602,45.833,41.935,39.354,39.871,44.753,49.603,52.994,54.371,57.191,60.295,65.051,66.561,67.473,66.779,68.707,71.712,74.989,80.669,83.008,89.751,94.681,99.356,102.802,103.796,102.913,100,101.738,102.403,103.812,101.854
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","4. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
