"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169"
"11","3","Plus: Imports of goods and services","A021RX1",199.6,238.9,235.8,233.2,232.5,237.1,236.5,240.2,237.4,255.3,260.9,243.2,278.8,268.9,274.5,286.8,300.1,291.4,283.4,285.5,275.8,290.4,285.4,282.5,254.2,233.8,253.3,266.8,283.5,295.8,307.9,318,333.1,336.2,331.5,336.2,358.7,359.9,364.6,369.6,368.6,370.6,364.9,372.9,373.2,346.1,321.2,338.4,352.9,353.4,349.4,359.4,349.2,343.4,359.4,345.3,353.2,380.3,410,430.1,464.6,484.1,496.6,511.2,499.9,524.5,519.4,539.8,539.3,562.2,577.8,582.3,578.8,593.2,604.8,618.7,615.8,608.7,623.1,642,645,648.1,647.2,658.9,679.8,678.7,675.9,657.8,650.3,661.9,680.5,695.5,700.6,712.1,723.3,740.6,756.7,772.3,782.5,813.9,832.9,863.9,888.2,913.2,933.2,942.1,945.4,957.4,988.6,1010.7,1043.5,1064,1109.5,1146.7,1189,1214.7,1260.2,1289.1,1306.5,1348.7,1383.1,1427.2,1478.9,1514.4,1575.8,1623.9,1680.6,1679.3,1654.8,1605.5,1566.7,1548,1586.8,1640.4,1667.4,1697.4,1676.9,1700.9,1720.7,1784.4,1829.8,1903.1,1930.7,1979.7,1991,2012.9,2025.2,2082,2121.3,2144.9,2170.5,2168.1,2192.7,2217.5,2244.6,2182.4,2174.6,2190.4,2189.8,2052.2,1840.8,1789.9,1880.8,1903.6,1954.8,2082.6
"12","4","Equals: Gross domestic purchases","A712RX1",4345.9,4353.1,4383.5,4352.1,4342.5,4344.1,4383.3,4338,4454.2,4498.1,4529.3,4545.9,4637.4,4744.8,4780.4,4860.4,4977.5,5010.2,4972.6,5004.5,4941.3,4954.8,4921.3,4887.4,4782.9,4802.5,4920.5,4982.3,5123,5174.9,5205.4,5253.4,5342.8,5441,5527.1,5546.6,5588.2,5761.7,5819.2,5883.7,5891.3,5898.5,5913.5,5909.9,5914.3,5737,5683.9,5823.4,5958.4,5908.8,5985.9,5925.5,5836.4,5855.7,5881.5,5887.8,5965.2,6136.8,6292.1,6439,6600,6726.1,6796,6859.5,6907.4,6998.5,7105.5,7170,7220.7,7273,7349.2,7370.3,7405,7479.2,7533.6,7655.9,7657.4,7726.3,7772.4,7878.9,7935.2,7967.1,8020.2,8041.2,8119,8139.2,8130.2,8030.1,7976.8,8017.5,8056.2,8087.8,8167.9,8268.4,8349.1,8453.2,8485.8,8548.1,8607.4,8730.2,8828.2,8955.2,9006.6,9114.2,9142.2,9158.7,9196.1,9259.1,9345.2,9513.2,9623.7,9686.1,9789.7,9930.4,10072.7,10178.3,10315.2,10449.1,10607.2,10788.2,10925.5,11039.9,11198.7,11400.5,11471.3,11701.8,11738.6,11813.9,11767.8,11833,11824.1,11877.9,11996.5,12079.7,12156,12198.5,12236.1,12356.1,12543.8,12660.8,12762.3,12901.4,13009.5,13136.8,13249,13296.8,13404.4,13494.2,13648.7,13695.5,13722.8,13755.7,13786.2,13891.2,13935.8,13922.4,13866.9,13850.1,13737.2,13463.3,13212.6,13143.7,13239.8,13338.2,13467.6,13636
"13","5","Less: Change in private inventories","A014RX1",37,31.2,34.9,18,3.9,16.7,16.2,-14.3,38.5,33,31.5,-3,10.8,38,39,14.9,23.1,52.9,23.2,56.8,26.4,37,12.7,40.2,-15.4,-29.6,-5.8,-0.3,31.8,47.1,43.9,14.2,24,40.2,71.1,37.1,43.2,42.5,44.8,51.9,39.8,44.9,17,10.3,13.4,11.4,-48.8,-13.3,55.4,14.3,57.9,28.3,-27.2,-5.4,6.8,-52.8,-47.7,-6.7,-5.6,29.4,88.7,83.1,86.9,54.4,17.2,25.1,20.8,38.6,35.3,17.2,-9.5,-9.2,36.6,20.1,-0.7,76.8,17.9,22.9,20.7,26.2,54.4,41,10.8,16.3,15.1,37,24.9,-10.8,-17.2,-21,-0.5,33,2.7,23.9,21.1,23.8,40.3,26.8,6.3,15.6,50.5,90.5,56,80.1,65.9,37.7,8.2,16.5,3.2,26.8,62,32.8,43.2,103.9,75.4,87,117.2,43.2,60.6,65.5,89.4,41.1,44.6,99.1,18.7,101,63.1,58.1,-34.8,-10.7,-30.8,-90.7,-15.1,13.4,19.8,32.9,31.5,-3.5,3,38.3,52.4,78.7,62.7,71.6,91.4,15.5,11.8,81,65.8,72.5,67.5,31.8,17.3,44.9,36.1,12.6,-8.2,-20.6,-27.4,-94.3,-125.8,-161.8,-128.2,-36.7,44.1,75.7
"14","6","Equals: Final sales to domestic purchasers","A713RX1",4323.6,4339.5,4364.8,4354.8,4363.8,4349.2,4388.6,4381.8,4432.4,4481.8,4516.5,4575,4648.9,4723.5,4756.2,4868,4967.5,4966.9,4962.3,4952.2,4926.9,4933.2,4933.6,4847.5,4840.1,4872.8,4953.3,5009.3,5105.8,5136.5,5173.4,5255.9,5333.8,5411.8,5457.9,5522.6,5552.6,5726.4,5780,5841.7,5857.9,5859.3,5916.3,5923.2,5920.1,5747.6,5779.4,5865.5,5908.7,5918.1,5930.5,5909.6,5900.8,5886.1,5896.1,5984.4,6052,6175.8,6324.9,6425.7,6506.5,6637.7,6703.5,6808.3,6905.5,6991,7102.1,7142.5,7197.6,7274.5,7382.1,7409.3,7385.1,7478.4,7556.5,7586.5,7658.4,7721.4,7764.4,7866.9,7887.9,7936.6,8025.9,8039.5,8120.5,8112.2,8119.2,8060.9,8014.2,8058.7,8074.9,8067.6,8183.5,8255.8,8341.9,8444.9,8456.7,8535.5,8616.6,8729.1,8789.3,8870.1,8959.4,9039.3,9083.3,9133.3,9201.9,9254.7,9357.1,9498,9567.8,9658.9,9755.9,9829.9,10002.4,10095.2,10199.8,10412.1,10552.8,10729.1,10841.5,11004.3,11158.7,11303.8,11456.1,11601.4,11677.2,11757.6,11806.1,11847.3,11858.3,11971.6,12015.4,12070,12139.5,12168.8,12206.9,12361.5,12542,12623.4,12710.9,12823.8,12947,13065.6,13158,13281.4,13392.4,13412.9,13584.1,13624.1,13655.2,13722.8,13768,13843.4,13897.7,13911.1,13873.8,13873.2,13763,13562.7,13343.2,13304.3,13362.6,13369.9,13414.3,13548.4
"15",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7","  Final sales of domestic product","A190RX1",4221.8,4242.6,4264.6,4265.4,4277,4268.7,4307,4299,4352.2,4382.3,4420.9,4474.2,4536.3,4611.6,4653.2,4761.4,4865.8,4889.7,4895.7,4901.4,4895.4,4900.8,4885.7,4814.7,4852.4,4902.1,4946.2,5004.6,5073.8,5090.9,5122.4,5194,5242.7,5327,5383,5426.9,5433.8,5649.4,5701.2,5774.5,5792.7,5792.4,5876.4,5903.2,5914.7,5798.8,5874.4,5926.8,5956,5967.8,5974.8,5939.5,5922.8,5920.3,5881.5,5968.6,6031.7,6117.1,6230.5,6312.4,6354.6,6471.1,6530.8,6626,6738.3,6789.6,6899.9,6928.1,6999.4,7052.2,7151.4,7192,7172.8,7268.4,7355.2,7388.3,7497.5,7587.9,7624,7721.9,7759.2,7834.5,7933.2,7943.1,8029.3,8032.8,8048.6,8020,7988,8045.4,8056.5,8049.1,8173.5,8232,8322.5,8409.1,8403.6,8474.1,8540.5,8642.8,8689,8762.2,8857.2,8928.4,8966.4,9019.4,9126.8,9180.1,9259.4,9392.1,9433,9565.4,9632.6,9709.3,9862.5,9925.9,9988.3,10157.1,10274.3,10448.5,10517.3,10648.2,10779.7,10917.5,11027.6,11158,11206.4,11278.1,11335.1,11385.2,11373.8,11472.8,11496.4,11528.9,11579.7,11569.1,11616.5,11743.8,11933.4,12005.3,12076.2,12136.3,12241.1,12339.2,12443.2,12572,12671.2,12667.2,12851.3,12891,12898.3,13027.8,13071.1,13146.4,13230.4,13352.2,13346.2,13382.4,13249.6,13094.1,12964.2,12971.4,12984.5,13051.1,13085.5,13128.7
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Note. Chained (2005) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","quantity index and the 2005 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
