"","Table 5#4#3# Real Private Fixed Investment in Structures by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"22","15","  Power and communication","W003RA3",102.107,111.702,112.593,117.436,124.954,116.962,107.614,117.3,115.513,121.018,125.569,126.772,130.021,122.77,105.592,107.884,106.661,113.85,101.27,95.511,99.174,92.268,109.611,116.204,108.606,98.448,100.474,86.45,83.332,97.826,115.396,133.07,137.262,133.941,123.34,102.346,100,107.837,150.086,163.815,167.925
"23","16","    Power","W028RA3",156.208,164.476,165.708,171.925,179.52,168.323,159.15,178.33,171.738,173.557,176.456,177.956,181.824,166.847,139.479,138.411,135.222,142.547,117.886,105.588,117.286,105.201,142.55,154.307,137.704,117.725,119.541,93.11,85.674,111.452,111.523,142.591,148.857,150.064,151.272,113.672,100,111.634,171.364,200.351,226.205
"24","17","      Electric","B571RA3",138.064,153.943,157.923,165.543,175.114,158.201,139.672,153.499,171.249,180.36,178.781,174.97,179.163,170.742,148.299,146.56,136.483,146.651,115.894,98.158,108.732,90.494,129.807,134.188,123.324,108.608,100.784,78.021,76.989,86.581,102.177,148.187,155.445,149.487,150.073,113.331,100,111.162,152.198,162.408,178.026
"25","18","      Other power","W029RA3",212.394,193.987,185.606,186.629,186.826,197.135,223.435,261.64,164.635,139.753,158.754,179.895,182.363,144.612,101.087,102.462,124.059,120.595,119.729,128.065,143.363,154.443,182.948,221.07,184.228,147.015,180.527,142.199,113.56,192.817,141.626,123.664,126.645,151.629,154.894,114.636,100,112.925,226.862,311.506,367.365
"26","19","    Communication","B314RA3",41.096,49.856,50.316,53.234,59.49,55.446,47.215,46.867,49.861,58.307,63.918,64.707,67.027,68.141,62.836,68.78,69.862,76.626,78.551,80.837,74.675,74.121,67.168,67.396,70.916,73.358,75.641,77.152,79.349,79.746,119.255,119.422,120.869,111.632,85.559,86.796,100,102.736,122.218,115.434,88.818
"27","20","  Mining exploration, shafts, and wells","E318RA3",51.68,48.619,44.984,48.255,51.536,61.251,71.515,77.194,87.177,99.418,105.887,148.772,172.962,159.863,132.369,150.48,134.07,78.556,76.796,84.24,76.194,88.037,86.059,71.238,82.789,80.465,68.307,72.794,85.626,74.891,63.375,79.1,93.265,68.217,77.862,90.648,100,114.541,121.472,129.36,83.433
"28","21","    Petroleum and natural gas","B319RA3",53.061,49.05,44.601,48.154,51.125,59.74,69.906,73.846,83.082,97.652,105.284,149.812,173.034,161.468,134.634,153.528,136.351,79.619,79.456,87.487,78.124,90.478,87.514,71.53,84.054,79.358,68.845,72.987,87.524,77.319,65.312,81.385,97.141,67.547,78.993,90.902,100,113.62,121.848,130.07,83.117
"29","22","    Mining","B320RA3",46.754,51.488,54.208,55.625,61.839,82.167,94.454,118.912,137.882,120.64,111.313,131.572,168.81,131.14,94.846,102.058,95.816,59.047,42.91,44.276,48.949,54.66,61.988,59.485,61.314,78.819,54.631,61.485,57.036,42.1,36.843,47.29,43.122,76.087,59.439,85.971,100,135.458,109.259,108.223,89.815
"30","23","  Other structures","W004RA3",75.222,70.68,66.3,67.02,72.246,66.052,58.254,61.155,64.522,73.267,80.546,78.199,75.716,71.43,75.363,88.338,97.172,91.342,96.783,90.216,92.084,97.766,84.833,78.602,84.837,82.971,92.872,109.219,123.887,130.504,130.686,134.572,128.249,108.154,104.427,105.839,100,109.197,125.986,141.877,115.316
"31","24","    Religious","C309RA3",82.215,73.142,59.153,57.198,51.162,52.192,45.017,48.054,49.559,56.809,65.521,64.553,62.484,56.467,63.927,73.721,81.294,88.089,90.917,93.214,97.504,90.234,82.262,73.455,79.269,76.015,81.724,83.769,103.403,114.517,123.355,129.404,130.204,127.661,127.219,114.234,100,92.401,85.752,80.353,72.079
"32","25","    Educational and vocational","W044RA3",49.51,39.784,39.955,38.947,33.337,22.499,18.156,19.256,18.662,20.173,22.514,29.458,29.096,31.027,33.068,33.782,38.821,45.262,63.52,49.214,53.85,58.573,59.351,61.388,61.533,61.3,66.94,80.102,99.768,106.111,97.449,113.965,120.18,119.671,117.824,105.71,100,98.179,104.615,107.509,97.261
"33","26","    Lodging","W045RA3",53.634,49.859,47.388,63.284,68.971,44.537,26.552,21.627,21.333,27.115,45.533,56.565,66.21,63.391,77.907,97.386,103.437,103.404,101.085,91.505,100.006,116.633,79.383,48.188,57.995,57.012,83.82,125.738,144.1,160.237,165.462,161.926,138.046,97.798,90.041,102.242,100,128.156,190.827,240.496,179.808
"34","27","    Amusement and recreation","W046RA3",67.084,69.417,66.178,65.227,68.739,61.084,54.37,60.574,63.128,72.54,79.366,81.54,80.966,90.858,100.489,124.428,148.259,136.867,143.862,151.648,133.194,137.712,128.215,126.769,136.394,137.204,141.33,150.492,160.848,156.633,167.022,146.856,125.519,117.73,118.882,121.417,100,114.405,119.417,120.566,93.534
"35","28","    Transportation","W047RA3",86.461,75.035,77.14,79.779,83.869,83.245,71.241,88.376,94.03,110.453,109.961,102.037,98.244,90.334,85.719,99.465,113.419,86.372,75.971,73.487,75.233,73.103,66.673,76.315,77.489,80.782,82.525,97.791,107.453,123.67,108.628,111.403,109.947,103.543,97.783,98.598,100,117.552,119.255,127.37,114.054
"36","29","      Air","W048RA3",62.244,62.749,59.639,60.033,64.385,55.948,48.704,55.289,56.655,65.761,71.171,74.689,73.583,83.688,92.293,113.904,131.646,124.85,129.78,143.884,121.45,122.615,112.904,106.117,119.821,124.858,126.08,153.926,156.982,175.151,194.631,271.002,287.061,188.15,139.515,123.669,100,90.057,96.597,86.555,59.978
"37","30","      Land \3\","W049RA3",88.589,75.731,78.508,81.416,85.414,85.835,73.355,91.624,97.744,114.91,113.699,104.436,100.347,90.266,84.089,96.769,110.135,80.844,68.554,63.951,68.789,66.244,60.277,72.01,71.575,74.623,76.42,89.985,100.405,116.261,96.84,89.884,86.096,92.018,91.976,95.044,100,121.681,122.625,133.577,122.271
"38","31","    Farm","B316RA3",184.843,193.053,181.811,156.562,204.994,237.441,248.337,255.299,266.787,286.423,286.778,231.924,192.268,144.16,122.04,116.675,78.311,71.755,84.278,74.633,76.239,81.824,79.277,68.642,93.943,86.075,77.325,91.774,92.743,100.403,113.787,128.97,105.87,113.582,100.253,101.753,100,91.521,94.533,121.053,110.953
"39","32","    Other \4\","W050RA3",87.901,101.112,98.729,89.594,86.79,81.175,77.996,80.572,90.99,104.85,122.521,112.395,112.111,116.56,133.809,175.287,242.18,199.741,220.713,182.725,199.251,227.138,219.183,257.311,238.717,208.925,233.542,193.163,167.051,167.172,145.998,171.022,125.797,89.413,100.516,114.977,100,118.604,122.62,113.264,79.754
"40","33","    Brokers' commissions on sale of structures","B321RA3",62.864,50.812,41.449,36.945,55.392,65.592,58.195,55.899,72.722,67.546,61.659,55.924,51.865,48.312,49.327,62.42,73.382,71.91,73.839,77.848,83.532,85.917,74.143,71.504,71.014,76.407,84.432,92.732,100.473,107.766,109.887,115.712,108.889,93.489,89.972,93.184,100,115.932,144.009,165.359,146.66
"41","34","    Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","35","Residential","B012RA3",34.575,32.383,41.398,48.736,48.284,38.065,33.055,41.03,49.964,53.083,50.99,39.956,36.664,29.848,42.525,48.884,49.576,55.714,56.796,56.158,54.402,49.627,44.781,51.115,55.37,60.869,58.82,63.622,64.859,69.852,74.163,74.828,75.226,79.187,85.717,94.116,100,92.54,75.049,56.818,43.638
"43","36","  Permanent site","B943RA3",40.179,36.346,48.977,59.25,58.976,42.671,32.667,42.937,55.402,57.946,54.223,38.093,35.134,27.384,44.747,52.577,51.899,57.933,58.71,56.6,55.203,49.863,42.923,50.055,53.43,59.825,55.881,61.126,61.457,67.292,72.292,72.877,73.305,76.257,83.717,93.407,100,91.267,67.933,45.063,27.025
"44","37","    Single-family structures","B944RA3",29.76,25.855,35.892,42.663,41.733,32.029,29.244,40.722,52.317,54.039,47.887,31.485,28.646,21.976,38.14,44.257,43.876,50.227,54.257,53.605,52.065,47.319,41.467,50.362,55.152,61.034,55.406,60.53,60.335,66.925,71.857,72.658,72.763,75.582,83.64,93.677,100,90.221,65.509,41.115,24.324
"45","38","    Multifamily structures","B292RA3",126.107,123.433,157.088,196.686,202.209,130.199,58.073,56.25,74.578,84.013,102.615,91.871,88.356,72.021,98.614,120.52,117.406,120.888,95.373,81.384,81.179,70.822,54.578,46.382,37.393,48.314,59.885,66.212,71.333,70.535,76.129,74.849,78.09,82.212,84.38,90.931,100,100.655,89.12,78.37,49.595
"46","39","  Other structures","A863RA3",25.921,26.209,29.779,32.659,31.93,31.075,33.696,38.176,41.735,45.753,46.199,43.099,39.268,33.875,39.31,43.424,46.23,52.557,54.116,55.745,53.428,49.498,47.805,52.974,58.575,62.725,63.612,67.746,70.398,74.076,77.294,78.09,78.44,84.041,89.054,95.309,100,94.712,87.28,76.933,71.926
"47","40","    Manufactured homes","B945RA3",97.121,92.8,126.362,161.231,170.997,118.48,80.7,96.916,115.718,119.432,119.909,99.495,102.029,96.299,124.291,125.958,120.273,103.767,101.485,95.644,89.365,83.175,72.42,90.409,114.721,138.968,158.386,175.006,180.963,189.287,179.422,135.691,108.4,113.479,92.67,89.988,100,79.145,64.901,52.977,30.858
"48","41","    Dormitories","B295RA3",149.296,97.637,66.201,39.77,45.727,35.541,59.193,32.612,14.216,21.825,12.314,16.619,31.436,39.345,48.756,58.066,51.959,57.666,82.594,76.287,79.09,88.902,30.935,40.246,59.468,34.439,49.957,57.466,76.861,90.631,115.618,117.597,128.349,122.697,133.968,117.278,100,126.509,176.055,237.288,161.435
"49","42","    Improvements","B946RA3",30.09,31.153,32.675,33.295,30.658,33.169,37.614,41.063,42.886,47.655,48.885,49.542,45.926,39.76,41.962,47.366,50.643,60.707,63.511,64.336,62.552,57.494,55.02,60.863,68.551,72.494,72.444,75.571,76.961,77.872,81.114,83.805,85.652,91.242,95.459,97.327,100,99.525,96.197,88.677,84.798
"50","43","    Brokers' commissions on sale of structures","B758RA3",14.573,15.595,20.509,23.473,23.896,22.343,24.251,29.736,35.444,38.655,37.333,29.814,24.48,20.133,28.617,31.33,35.02,39.268,38.736,40.071,37.657,35.886,36.795,39.708,40.862,42.352,42.88,47.814,52.594,60.564,64.908,64.478,65.462,72.791,81.31,93.459,100,89.5,76.541,61.888,57.202
"51","44","    Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","45","  Private fixed investment in new structures \5\","W040RA3",50.651,49.027,55.236,61.316,62.913,54.501,47.388,53.441,60.658,66.469,68.723,63.004,63.917,58.629,63.193,72.475,75.353,75.434,75.304,74.564,74.226,71.3,63.364,66.059,69.139,73.652,73.911,78.968,81.837,86.934,89.861,93.161,92.397,87.873,90.684,95.909,100,98.93,93.218,84.479,65.466
"54","46","    Nonresidential structures","A771RA3",74.2,74.587,73.537,75.854,81.926,80.062,71.636,73.417,76.291,87.259,98.45,104.282,112.739,110.843,98.956,112.69,120.627,107.45,104.368,104.953,107.103,108.829,96.817,90.99,90.326,91.883,97.671,103.055,110.157,116.233,116.381,125.413,122.388,101.864,98.022,98.827,100,109.315,124.894,132.205,105.306
"55","47","    Residential structures","A756RA3",38.484,35.886,45.731,53.722,53.028,41.247,34.793,43.163,52.695,55.855,53.54,41.951,38.972,31.764,45.094,52.127,52.439,59.186,60.512,59.128,57.565,52.341,46.465,53.389,58.292,64.23,61.761,66.63,67.378,71.971,76.302,76.71,77.086,80.726,86.933,94.395,100,93.228,75.204,56.629,42.105
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Includes all financial buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
