"","Table 7U# Chain-Type Price Indexes for BEA Real Retail and Food ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56"
"23","15","S1 PN445ZZZMG   Food and beverage stores","T070153",84.313,84.505,85.018,85.159,85.47,85.954,85.921,86.395,86.5,86.803,87.573,87.759,88.202,88.867,89.239,89.731,90.38,91.14,91.94,92.66,92.843,93.097,93.415,93.751,94.211,94.636,95.119,95.807,96.68,97.026,97.585,98.185,98.782,99.666,100.594,100.958,101.846,102.659,103.615,103.982,104.405,104.745,104.939,105.059,105.449,105.813,106.49,107.358,107.968,108.948,109.414,110.096,110.183
"24","16","S1 PN4451ZZMG     Grocery stores","T070163",84.19,84.369,84.892,85.02,85.333,85.854,85.827,86.328,86.43,86.752,87.562,87.764,88.233,88.909,89.292,89.799,90.442,91.207,92.011,92.739,92.898,93.139,93.451,93.789,94.274,94.701,95.193,95.87,96.737,97.074,97.618,98.202,98.771,99.659,100.605,100.965,101.872,102.695,103.661,104.026,104.445,104.774,104.948,105.059,105.453,105.817,106.508,107.394,108.018,109.009,109.487,110.173,110.244
"25","17","S3 PN4452ZZMG     Specialty food stores","T070173",85.067,85.172,85.706,85.791,86.003,86.613,86.75,87.42,87.523,87.857,88.849,89.016,89.531,90.29,90.607,91.072,91.72,92.609,93.555,94.422,94.549,94.745,95.137,95.413,95.884,96.152,96.529,97.073,97.48,97.722,97.986,98.51,98.948,99.671,100.544,100.838,101.803,102.516,103.41,103.87,104.251,104.273,104.256,104.478,104.968,105.519,106.297,107.447,108.004,109.094,109.584,110.312,110.088
"26","18","S2 PN4453ZZMG     Beer, wine, liquor stores","T070183",85.93,86.372,86.716,87.085,87.427,87.274,87.052,86.994,87.153,87.149,87.201,87.136,87.145,87.599,87.821,88.106,88.85,89.474,90.132,90.661,91.219,91.701,92.065,92.387,92.502,92.979,93.374,94.288,95.481,95.988,96.919,97.777,98.851,99.752,100.453,100.895,101.517,102.234,103.094,103.441,103.921,104.589,105.169,105.353,105.636,105.89,106.308,106.782,107.243,108.005,108.282,108.887,109.387
"27","19","S1 PN448ZZZMG   Clothing and clothing accessories stores","T070193",111.738,111.508,111.861,112.013,111.835,111.349,111.361,111.209,110.377,110.71,110.234,109.12,108.12,107.665,107.499,107.358,106.985,106.271,104.917,105.184,105.427,106.101,105.275,104.81,103.931,103.269,103.591,102.701,101.339,101.971,101.456,101.456,100.566,99.967,99.571,99.897,100.106,98.74,97.788,97.083,96.544,96.368,95.543,95.025,93.905,93.27,93.287,93,92.809,93.687,92.923,92.803,92.765
"28","20","S2 PN4481ZZMG     Clothing stores","T070203",111.475,111.161,111.285,111.527,111.52,110.726,110.864,110.607,109.401,109.82,109.174,108.051,106.631,106.18,105.813,105.765,105.498,104.814,103.346,103.891,104.399,105.574,104.491,104.034,103.104,102.576,103.186,102.211,100.875,101.67,101.215,101.535,100.501,99.863,99.759,99.877,99.844,98.415,97.188,96.411,95.948,95.667,94.981,94.366,93.192,92.608,92.475,92.515,92.138,92.879,92.02,92.042,91.888
"29","21","S2 PN4482ZZMG     Shoe stores","T070213",107.2,107.745,108.543,108.748,108.387,108.498,107.902,108.44,107.815,108.353,107.219,105.872,106.179,105.791,105.858,105.404,105.516,105.593,104.515,104.585,104.604,104.928,104.957,105.316,104.11,103.735,104.503,103.242,102.204,101.831,101.246,100.504,100.206,100.469,99.335,100.003,100.238,99.178,99.182,98.367,97.644,98.698,97.443,97.466,97.18,95.642,96.182,96.115,95.6,96.019,95.829,96.703,98.435
"30","22","S3 PN4483ZZMG     Jewelry, luggage, and leather goods stores","T070223",117.299,116.584,117.689,117.271,116.356,116.871,116.911,116.539,117.44,117.099,118.222,117.408,117.106,116.545,117.106,116.832,115.449,113.773,112.67,111.813,111.022,109.638,109.191,107.861,107.547,105.977,104.535,104.396,102.623,103.42,102.691,101.931,101.158,100.012,98.939,99.891,101.168,99.832,99.35,99.084,98.339,97.624,96.508,96.005,94.485,94.315,94.606,92.715,93.583,95.416,94.665,93.159,92.383
"31","23","S1 PN452ZZZMG   General merchandise stores","T070233",99.731,99.922,100.123,100.192,100.336,100.428,100.478,100.719,100.378,100.757,100.896,100.599,100.298,100.29,100.498,100.617,100.753,100.718,100.38,100.689,100.984,101.343,100.948,100.75,100.669,100.588,100.656,100.376,100.052,100.32,100.18,100.16,99.882,100.043,100.069,100.006,100.131,99.815,99.618,99.342,99.024,98.904,98.456,97.916,97.382,97.026,96.86,96.729,96.863,97.192,96.711,97.043,96.899
"32","24","S1 PN4521ZZMG     Department stores","T070243",104.69,104.802,104.922,104.918,104.982,104.915,105.02,105.195,104.678,105.067,104.996,104.503,103.985,103.808,103.907,103.942,103.876,103.619,102.992,103.206,103.511,103.967,103.33,102.973,102.725,102.444,102.418,101.838,101.133,101.42,101.035,100.89,100.276,100.111,99.895,99.717,99.648,98.83,98.24,97.856,97.334,97.044,96.35,95.607,94.622,94.069,93.599,93.192,93.055,93.202,92.342,92.407,92.172
"33","25","S2 PN4529ZZMG     Other general merchandise stores","T070253",90.755,91.126,91.509,91.74,92.057,92.49,92.424,92.811,92.834,93.198,93.774,93.875,94.01,94.339,94.772,95.06,95.593,95.988,96.206,96.701,96.972,97.151,97.208,97.302,97.523,97.784,98.007,98.213,98.494,98.731,98.963,99.129,99.333,99.954,100.311,100.402,100.781,101.079,101.346,101.189,101.087,101.144,100.943,100.601,100.5,100.323,100.431,100.541,100.906,101.389,101.207,101.755,101.679
"34","26","S1 PN44EZZZMG   Other retail stores","T070263",89.865,90.579,91.329,91.86,92.198,91.527,90.746,91.53,91.341,91.243,92.929,93.319,93.143,93.279,93.212,92.978,94.447,95.901,95.001,96.114,96.612,94.757,94.753,94.785,92.683,91.766,91.466,90.927,90.339,93.104,94.924,96.134,98.833,99.926,100.622,100.619,99.973,101.121,99.018,95.069,93.881,96.765,97.268,97.707,100.716,98.206,98.738,97.969,100.44,103.039,102.917,104.828,104.315
"35","27","S1 PN446ZZZMG     Health and personal care stores","T070273",84.868,85.676,86.015,86.384,86.86,87.186,87.669,87.857,88.039,88.602,88.912,89.248,89.149,89.106,89.602,90.149,90.534,90.854,91.27,91.499,91.83,92.171,92.01,92.249,92.778,93.601,94.117,94.701,95.456,96.525,97.522,98.392,98.934,99.584,100.394,101.089,102.397,103.464,104.725,105.637,106.459,107.41,108.316,109.224,109.71,110.072,110.811,111.454,112.235,113.655,114.352,115.283,115.113
"36","28","S1 PN447ZZZMG     Gasoline stations","T070283",74.688,75.483,76.785,77.746,78.155,76.392,74.468,75.915,75.192,74.461,78.121,79.052,78.578,78.794,78.051,77.168,80.023,83.728,82.004,84.171,85.608,81.529,82.491,82.975,77.674,75.164,75.206,74.482,73.411,80.517,85.773,89.137,96.133,99.663,102.103,102.101,100.472,105.026,99.095,88.289,86.487,95.435,97.297,99.623,109.022,103.26,107.192,105.072,112.5,120.654,120.508,125.722,126.275
"37","29","S1 PN451ZZZMG     Sporting goods, hobby, book, and music stores","T070293",106.553,106.948,106.943,107.367,107.251,106.935,107.196,107.859,107.587,108.052,108.301,107.892,107.857,107.577,107.55,107.612,108.193,108.185,107.75,107.811,107.654,106.799,106.95,106.752,106.405,106.012,105.294,104.438,103.663,103.22,101.817,101.007,100.419,100.276,99.776,99.529,98.829,98.757,98.539,98.078,97.503,96.876,96.171,95.55,94.957,94.248,93.955,93.623,93.335,93.011,92.136,92.028,91.376
"38","30","S4 PN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T070303",110.406,110.741,110.606,111.126,110.803,110.297,110.557,111.415,110.998,111.664,111.836,111.36,111.275,110.82,110.968,110.66,111.163,111.333,110.55,110.607,110.372,109.857,109.709,109.357,108.788,107.763,106.73,105.663,104.567,103.951,102.772,101.304,100.557,100.404,99.693,99.346,98.361,98.072,97.696,97.034,96.366,95.438,94.335,93.399,92.864,92.21,91.996,91.692,91.335,90.757,89.833,89.664,88.982
"39","31","S4 PN4512ZZMG       Book, periodical, and music Stores","T070313",98.912,99.438,99.698,99.94,100.231,100.289,100.558,100.826,100.847,100.912,101.313,101.036,101.1,101.153,100.799,101.564,102.297,101.95,102.172,102.241,102.236,100.735,101.459,101.55,101.613,102.449,102.353,101.91,101.777,101.689,99.835,100.37,100.115,99.998,99.956,99.931,99.85,100.249,100.375,100.368,100.001,100.053,100.262,100.388,99.662,98.828,98.352,97.955,97.834,98.138,97.386,97.435,96.869
"40","32","S1 PN453ZZZMG     Miscellaneous store retailers","T070323",96.53,96.975,96.866,97.001,97.449,97.804,97.519,97.665,98.191,98.438,98.664,99.131,99.887,100.368,101.218,101.765,101.664,101.232,100.592,100.453,100.735,101.147,100.608,100.653,101.254,101.593,100.937,100.992,101.1,101.135,100.703,100.386,100.429,100.7,99.721,99.15,98.913,98.78,98.4,97.877,96.691,96.628,96.442,95.63,94.989,93.705,91.729,91.456,91.817,91.59,90.976,92.253,91.736
"41","33","S3 PN4531ZZMG       Florists","T070333",99.94,102.877,101.69,99.578,100.462,99.721,97.608,99.111,98.329,98.32,100.125,101.627,101.706,101.894,103.149,102.5,100.116,101.097,99.461,98.479,98.852,99.752,95.518,95.073,99.79,99.216,98.264,96.813,97.765,98.491,94.9,95.082,97.036,102.033,100.802,100.177,103.187,103.265,102.186,102.359,103.459,103.626,101.939,102.099,102.752,102.275,101.145,101.356,104.302,105.052,103.282,104.115,103.145
"42","34","S3 PN4532ZZMG       Office supplies, stationery, and gift stores","T070343",105.515,105.562,105.608,105.821,105.68,106.095,105.936,106.19,106.602,106.376,106.267,106.66,108.059,109.425,110.738,111.181,110.703,109.405,108.571,108.205,108.18,108.343,107.899,107.685,107.613,107.615,106.128,105.443,103.992,103.486,102.801,101.972,101.548,100.788,99.272,98.392,97.307,96.286,95.115,94,91.985,91.154,90.355,89.12,88.067,86.195,83.204,82.317,82.059,81.229,80.252,80.788,79.756
"43","35","S4 PN4533ZZMG       Used merchandise stores","T070353",108.345,108.471,108.306,108.654,108.703,108.632,108.737,108.501,108.35,108.512,108.298,107.556,106.846,106.433,106.854,107.266,107.307,106.493,105.332,105.099,105.373,105.931,105.324,105.048,104.873,105.135,104.42,104.056,102.884,102.98,102.266,101.785,101.136,100.504,99.441,98.918,98.498,97.808,97.022,96.509,95.086,94.753,94.377,93.712,92.559,91.228,89.117,88.716,88.725,88.19,87.022,88.543,87.588
"44","36","S4 PN4539ZZMG       Other miscellaneous store retailers","T070363",86.547,86.788,86.812,87.428,88.287,88.928,88.861,88.697,89.727,90.42,90.653,91.173,91.816,91.863,92.371,93.23,93.803,93.786,93.558,93.755,94.243,94.724,94.765,95.132,95.663,96.409,96.438,97.399,98.853,99.191,99.574,99.617,99.861,100.42,100.002,99.717,99.722,100.508,101.091,101.009,100.304,101.025,101.733,101.153,100.836,100.046,99.059,99.38,100.026,100.332,100.415,102.432,102.587
"45","37","S1 PN454ZZZMG     Nonstore retailers","T070373",108.792,109.443,110.295,110.203,110.336,110.274,109.919,110.201,110.349,110.412,110.737,110.243,109.909,110.034,110.168,109.778,110.887,110.772,109.789,111.156,110.379,108.514,107.069,106.092,104.581,103.729,102.354,100.639,99.008,99.166,99.151,99.221,100.768,99.895,99.737,99.6,98.307,96.16,94.384,91.999,89.558,89.226,88.558,87.404,88.171,85.891,84.076,83.331,83.721,83.762,83.604,83.814,82.094
"46","38","S2 PN4541ZZMG       Electronic shopping and mail-order houses","T070383",131.495,132.774,133.472,132.907,132.962,132.357,132.481,133.022,132.937,133.238,132.862,132.096,131.388,131.085,130.833,130.184,129.173,127.174,125.641,124.406,122.698,121.317,119.113,117.275,115.597,114.335,111.975,109.635,107.368,106.43,104.961,103.569,102.297,100.883,99.334,97.826,95.495,93.125,90.947,88.973,86.547,85.264,83.795,81.544,79.976,77.929,75.345,74.417,73.69,73.248,71.933,70.32,68.184
"47","39","S4 PN4542ZZMG       Vending machine operators","T070393",83.137,83.168,83.748,84.011,84.332,84.935,84.963,85.3,85.549,85.898,86.663,86.826,87.3,88.031,88.262,88.839,89.339,90.309,91.293,92.14,92.411,92.58,92.911,93.461,93.975,94.543,95.061,95.961,96.973,97.258,97.736,98.336,98.902,99.702,100.551,100.898,101.855,102.726,103.736,104.193,104.569,104.931,105.228,105.444,105.891,106.341,107.063,108.05,108.667,109.612,110.236,110.984,111.264
"48","40","S4 PN4543ZZMG       Direct selling establishments","T070403",84.611,84.94,85.815,85.967,86.104,86.277,85.609,85.674,85.94,85.784,86.482,86.135,85.998,86.33,86.726,86.432,89.168,90.47,89.775,93.503,93.6,91.092,90.306,90.135,88.528,87.987,87.625,86.359,85.218,86.964,89.104,91.505,98.282,98.127,100.536,103.055,103.543,101.39,100.023,96.202,93.121,94.961,96.112,97.519,104.344,101.145,101.146,100.688,104.144,105.473,108.596,114.038,113.474
"49","41","S1 PN722ZZZMG Food services and drinking places","T070413",82.821,83.187,83.501,83.83,84.263,84.721,85.07,85.345,85.657,86.038,86.34,86.836,87.334,87.899,88.369,88.826,89.275,89.922,90.53,91.379,91.986,92.396,92.989,93.67,94.268,94.703,95.316,95.951,96.602,97.137,97.745,98.307,98.986,99.587,100.364,101.063,101.889,102.728,103.649,104.471,105.119,105.612,106.257,106.855,107.254,107.799,108.364,109.153,110.067,110.911,111.94,112.657,113.63
"50","42","S4 PN7221ZZMG   Full-service restaurants","T070423",82.494,82.883,83.2,83.534,83.964,84.428,84.78,85.049,85.376,85.758,86.047,86.546,87.038,87.622,88.096,88.551,89.003,89.662,90.262,91.11,91.727,92.145,92.749,93.43,94.034,94.611,95.224,95.965,96.739,97.216,97.797,98.289,98.885,99.58,100.454,101.091,101.973,102.825,103.745,104.49,104.981,105.607,106.169,106.828,107.297,107.814,108.361,109.098,109.93,110.672,111.615,112.432,113.39
"51","43","S4 PN7222ZZMG   Limited-service eating places","T070433",83.653,83.909,84.19,84.481,84.905,85.324,85.662,85.955,86.215,86.589,86.918,87.406,87.913,88.419,88.859,89.317,89.737,90.337,90.971,91.818,92.416,92.8,93.363,94.047,94.619,94.911,95.493,95.987,96.476,97.07,97.696,98.351,99.13,99.632,100.233,101.006,101.769,102.572,103.472,104.382,105.233,105.535,106.261,106.751,107.042,107.62,108.195,109.029,110.057,110.99,112.111,112.698,113.694
"52","44","S4 PN7223ZZMG   Special food Services","T070443",82.829,83.135,83.458,83.783,84.216,84.677,85.026,85.324,85.604,85.993,86.338,86.833,87.346,87.882,88.34,88.804,89.24,89.856,90.49,91.326,91.911,92.317,92.881,93.553,94.127,94.777,95.334,96.077,96.837,97.295,97.833,98.346,98.933,99.647,100.4,101.02,101.937,102.752,103.605,104.313,104.835,105.446,106.001,106.604,107.101,107.639,108.175,108.874,109.725,110.401,111.287,112.08,113.019
"53","45","S4 PN7224ZZMG   Drinking places (alcoholic beverages)","T070453",79.084,80.072,80.559,81.114,81.601,82.274,82.682,82.834,83.511,83.932,84.077,84.623,85.064,86.001,86.666,87.104,87.725,88.679,89.111,89.998,90.694,91.284,92.104,92.774,93.541,93.611,94.547,95.293,96.056,96.704,97.529,98.014,98.769,99.237,100.688,101.427,102.089,103.156,104.374,105.289,105.789,106.604,107.373,108.366,108.878,109.346,109.994,110.98,111.689,112.896,114.049,114.971,115.902
"54",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","46","S1 PN04472BMG   Retail and food services except motor vehicle and parts dealers","T070463",93.498,93.963,94.307,94.623,95.271,95.481,95.171,95.759,95.82,95.948,96.625,96.702,96.718,96.937,97.039,97.012,97.519,98.081,97.948,98.569,98.888,98.51,98.365,98.263,97.671,97.305,97.174,96.847,96.727,97.777,98.448,98.68,99.574,99.976,100.209,100.24,100.167,100.576,99.966,98.582,98.196,99.106,99.086,98.958,99.664,98.819,99.082,99.096,100.218,101.552,101.509,102.146,102.202
"56","47","S1 PN44GZZZMG   Retail trade except motor vehicle and parts dealers","T070473",95.106,95.587,95.934,96.249,96.931,97.099,96.68,97.319,97.339,97.426,98.162,98.171,98.111,98.275,98.319,98.216,98.732,99.281,99.036,99.622,99.897,99.4,99.143,98.924,98.157,97.673,97.435,96.97,96.742,97.865,98.546,98.732,99.656,100.03,100.187,100.127,99.929,100.28,99.463,97.786,97.264,98.229,98.122,97.9,98.645,97.619,97.843,97.755,98.904,100.302,100.119,100.745,100.683
"57","48","S2 PN44BZZZMG   GAFO-Department store merchandise stores\1\","T070483",110.429,110.529,110.576,110.636,110.555,110.472,110.478,110.601,110.268,110.636,110.62,109.931,109.567,109.379,109.35,109.146,108.952,108.316,107.565,107.448,107.241,107.167,106.374,105.812,105.227,104.764,104.206,103.337,102.375,102.276,101.62,101.11,100.548,100.221,99.771,99.461,98.968,98.058,97.301,96.599,95.792,95.394,94.657,93.799,92.885,92.041,91.317,90.911,90.791,90.851,90.072,90.011,89.621
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
