"","Table 6#3D# Wage and Salary Accruals by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"30","23","        Other transportation equipment","N4123C0",39739,40039,39455,40377,39887,39516,41773,44216,48587,51066,53203,51664,51191,54663
"31","24","        Furniture and related products","N4124C0",17713,18865,19829,19136,18562,18322,18950,19230,19756,19470,18096,14488,13832,13898
"32","25","        Miscellaneous manufacturing","N4125C0",25420,26441,27690,27793,27609,28268,29361,29730,31089,32414,32749,30718,31207,32221
"33","26","      Nondurable goods","N4126C0",232260,238338,245807,239852,235605,235525,238646,241809,245531,250302,249230,233857,236620,239832
"34","27","        Food and beverage and tobacco products","N4127C0",53854,56156,58603,59794,60593,61799,62505,63535,65417,66970,69055,68193,69794,70897
"35","28","        Textile mills and textile product mills","N4129C0",17308,17094,17070,15458,14701,13780,13488,12759,12164,11650,10791,8957,9004,9094
"36","29","        Apparel and leather and allied products","N4130C0",14734,13622,13054,11728,10457,9762,9604,9131,8921,8530,8272,6979,6825,6682
"37","30","        Paper products","N4132C0",26364,26955,27388,26580,25974,25597,25328,25213,25241,25345,25034,23218,23536,23636
"38","31","        Printing and related support activities","N4133C0",28224,28899,29636,28427,27051,26387,26694,26772,27296,27504,26379,22771,21802,21406
"39","32","        Petroleum and coal products","N4134C0",7224,7504,7452,7604,7684,7832,8293,9072,9699,10702,10855,10584,10584,11259
"40","33","        Chemical products","N4135C0",54050,55951,59195,58508,57561,58977,60675,62884,63565,66863,66707,65024,65678,66519
"41","34","        Plastics and rubber products","N4136C0",30503,32157,33408,31752,31584,31390,32059,32444,33229,32739,32137,28132,29398,30340
"42","35","    Wholesale trade","N4137C0",241156,259550,282285,284855,282241,289700,307256,325119,349582,372006,377196,350347,356042,375418
"43","36","      Durable goods","N4138C0",149887,162697,177518,176280,171183,174032,184816,196359,211869,225096,226905,205542,208112,221506
"44","37","      Nondurable goods","N4139C0",91269,96853,104767,108575,111057,115668,122439,128760,137713,146910,150291,144805,147930,153912
"45","38","    Retail trade","N4140C0",301780,322360,345443,354109,359328,367356,380488,393625,408389,421179,416286,396057,402445,414577
"46","39","      Motor vehicle and parts dealers","N4141C0",58470,63406,67262,70327,72426,73861,75896,78251,80087,81269,76192,67441,70399,75074
"47","40","      Food and beverage stores","N4142C0",50620,52656,55263,56916,57631,58410,59071,59455,61134,63359,65352,65270,65653,66176
"48","41","      General merchandise stores","N4143C0",40810,42901,46486,48247,50317,53103,55152,58021,60591,63342,64667,65056,65600,67773
"49","42","      Other retail \2\","N4144C0",151879,163397,176433,178618,178955,181982,190368,197899,206578,213209,210075,198291,200793,205554
"50","43","    Transportation and warehousing","N4145C0",145915,154753,164611,167412,165098,166849,176601,183949,194415,205811,208174,193916,198136,209163
"51","44","      Air transportation","N4146C0",26030,28047,30513,32831,31064,28911,28805,27111,27274,29725,29210,27173,28095,29925
"52","45","      Rail transportation","N4147C0",12687,12706,12524,12215,11971,12265,12955,13720,14416,14909,15897,14584,14659,16330
"53","46","      Water transportation","N4148C0",2526,2617,2666,2828,2896,2974,3257,3619,3942,4420,4816,4611,4696,4917
"54","47","      Truck transportation","N4149C0",44328,46895,49337,49364,48870,49701,53250,56744,60267,62377,61470,54766,55811,59358
"55","48","      Transit and ground passenger transportation","N4150C0",7997,8588,8876,8985,9210,9454,9925,10381,11281,12078,12676,12737,13084,13598
"56","49","      Pipeline transportation","N4151C0",3090,3227,4239,4232,3274,3186,3172,3185,3593,4071,4064,4172,4478,4807
"57","50","      Other transportation and support activities \3\","N4152C0",35001,37569,40085,40215,40266,41682,44591,46853,49754,52381,53413,50029,51033,52863
"58","51","      Warehousing and storage","N4153C0",14256,15104,16370,16742,17545,18676,20646,22336,23888,25850,26628,25843,26279,27366
"59","52","    Information","N4154C0",160847,187961,213399,209312,190213,186299,192337,195325,204232,213986,215575,202355,204742,213459
"60","53","      Publishing industries (includes software)","N4155C0",51948,60544,66097,63817,58229,58314,58301,60192,64220,71934,72511,67625,69035,73284
"61","54","      Motion picture and sound recording industries","N4156C0",16622,16635,17667,19184,18341,18328,19862,20213,20860,21566,22476,21407,22907,23388
"62","55","      Broadcasting and telecommunications","N4157C0",72063,84296,93666,92076,85578,82662,85275,84989,87094,95359,95279,88527,86722,88240
"63","56","      Information and data processing services","N4158C0",20215,26486,35968,34236,28066,26995,28899,29931,32059,25126,25309,24796,26078,28547
"64","57","    Finance and insurance","N4159C0",295161,319773,348852,375057,371066,393620,420023,454521,492371,521042,513295,471624,487255,514252
"65","58","      Federal Reserve banks, credit intermediation, and related activities","N4160C0",105041,110618,113878,127128,134961,150217,156778,167745,174237,178252,167966,157308,159407,167829
"66","59","      Securities, commodity contracts, and investments","N4161C0",83841,97158,117145,124516,109468,108541,119021,136515,158023,175931,176527,149632,158387,166854
"67","60","      Insurance carriers and related activities","N4162C0",101631,106749,111663,117634,120888,128887,136887,142522,151900,158280,160408,156594,161276,170530
"68","61","      Funds, trusts, and other financial vehicles","N4163C0",4648,5248,6165,5779,5749,5975,7336,7739,8211,8579,8394,8090,8186,9040
"69","62","    Real estate and rental and leasing","N4164C0",58180,62607,67859,70279,72400,75592,81648,87571,95024,97914,96280,88452,89753,93043
"70","63","      Real estate","N4165C0",39990,43260,46851,48861,51289,54167,59074,63950,69664,71340,70099,64764,66399,68339
"71","64","      Rental and leasing services and lessors of intangible assets \4\","N4166C0",18190,19347,21008,21419,21110,21425,22574,23620,25360,26574,26181,23688,23354,24704
"72","65","    Professional, scientific, and technical services","N4167C0",315400,352515,404283,412697,401947,410003,437094,473747,519882,565846,597214,576061,593846,629742
"73","66","      Legal services","N4168C0",55594,59007,64484,68962,72091,76198,80091,83584,88053,93042,95942,93040,93399,95540
"74","67","      Computer systems design and related services","N4169C0",67810,82305,100617,97953,86093,84719,90873,98030,109409,122642,130193,127801,137041,150806
"75","68","      Miscellaneous professional, scientific, and technical services \5\","N4170C0",191996,211204,239182,245782,243763,249087,266131,292132,322421,350162,371079,355220,363406,383396
"76","69","    Management of companies and enterprises \6\","N4171C0",104642,112226,120624,119725,120467,128884,137554,153355,163438,181944,183966,172920,185713,200532
"77","70","    Administrative and waste management services","N4172C0",155591,170307,189369,192948,196010,205090,213061,233224,248545,266855,267368,243343,256997,271865
"78","71","      Administrative and support services","N4173C0",144142,158034,176906,179919,182442,191044,198066,217277,231766,249214,248860,225423,237409,252103
"79","72","      Waste management and remediation services","N4174C0",11449,12273,12463,13029,13568,14046,14995,15947,16780,17641,18508,17920,19587,19763
"80","73","    Educational services","N4175C0",54621,58713,63720,69002,75373,79917,84982,88615,94697,101571,108217,113556,118515,124746
"81","74","    Health care and social assistance","N4176C0",368624,384863,410403,438219,469515,500584,530226,560624,598768,638514,679946,709743,730983,756870
"82","75","      Ambulatory health care services","N4177C0",166525,171812,183582,195108,208221,220989,234029,249912,266819,284688,302127,315914,330868,344339
"83","76","      Hospitals","N4178C0",124546,129566,136240,147599,158995,171502,182971,193394,206779,220370,236349,247903,250411,259260
"84","77","      Nursing and residential care facilities","N4179C0",48104,50653,54566,58335,62150,65016,67925,70002,73945,78491,82841,85358,86878,90518
"85","78","      Social assistance","N4180C0",29449,32831,36015,37176,40150,43077,45302,47316,51225,54964,58629,60568,62826,62753
"86","79","    Arts, entertainment, and recreation","N4181C0",39660,43475,47994,50673,52632,54870,57473,59465,65628,70164,69991,67533,68786,71400
"87","80","      Performing arts, spectator sports, museums, and related activities","N4182C0",18770,20898,23149,24497,25633,27015,28211,28882,32010,34175,36123,35368,36005,37319
"88","81","      Amusements, gambling, and recreation industries","N4183C0",20890,22577,24844,26177,26998,27855,29261,30583,33618,35988,33869,32166,32781,34081
"89","82","    Accommodation and food services","N4184C0",132466,141963,151805,157161,161943,167947,178356,188069,199679,219132,217155,208497,217189,229091
"90","83","      Accommodation","N4185C0",36776,39893,43197,43355,43043,44368,47225,49891,51773,58879,55684,49663,51973,55379
"91","84","      Food services and drinking places","N4186C0",95690,102070,108607,113805,118900,123579,131131,138179,147906,160253,161472,158834,165216,173712
"92","85","    Other services, except government","N4187C0",130841,136970,146803,150528,160139,166826,174533,178362,187389,197985,206064,201455,203653,210272
"93","86","  Government","A553RC0",701238,733689,779711,821884,873113,913325,952808,991489,1035151,1089027,1144105,1175226,1191286,1195326
"94","87","    Federal","A4177C0",178872,183516,194988,199584,217404,234888,250068,263412,271740,283368,296712,312312,328644,332184
"95","88","      General government","A4178C0",141924,145800,154248,159516,176892,195024,207900,221148,228384,239652,253824,271152,288432,292368
"96","89","        Civilian","B4179C0",87876,90276,96288,97152,106068,115248,123252,130296,134052,141204,148392,159540,174864,178572
"97","90","        Military \7\","B4180C0",54048,55524,57960,62364,70824,79776,84648,90852,94332,98448,105432,111612,113568,113796
"98","91","      Government enterprises","B4181C0",36948,37716,40740,40068,40512,39864,42168,42264,43356,43716,42888,41160,40212,39816
"99","92","    State and local","A4182C0",522366,550173,584723,622300,655709,678437,702740,728077,763411,805659,847393,862914,862642,863142
"100","93","      General government","A4183C0",487288,513335,545557,580161,610811,631365,653275,677338,710556,749676,788261,803072,802606,802168
"101","94","        Education","B4184C0",257912,272332,290446,307894,323814,335508,346461,359663,378386,399037,418881,427025,429451,429109
"102","95","        Other \8\","B4185C0",229376,241003,255111,272267,286997,295857,306814,317675,332170,350639,369380,376047,373155,373059
"103","96","      Government enterprises \8\","B4186C0",35078,36838,39166,42139,44898,47072,49465,50739,52855,55983,59132,59842,60036,60974
"104","97","Rest of the world","A4187C0",-4563,-5213,-4690,-5215,-5574,-5704,-6148,-6407,-6613,-7094,-10759,-7841,-7164,-8014
"105","98","  Receipts from the rest of the world","B4188C0",2437,2748,2835,2879,2811,2813,2822,2890,2883,2970,5181,5478,5641,5810
"106","99","  Less: Payments to the rest of the world \9\","B4189C0",7000,7961,7525,8094,8385,8517,8970,9297,9496,10064,15940,13319,12805,13824
"107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","2. Consists of furniture and home furnishings stores; electronics and appliance stores; building",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","material and garden equipment and supplies dealers; health and personal care stores; gasoline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","stations; clothing and clothing accessories stores; sporting goods, hobby, book, and music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","stores; miscellaneous store retailers; and nonstore retailers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","3. Consists of scenic and sightseeing transportation; transportation support activities; and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","4. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","5. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","6. Consists of offices of bank and other holding companies and of corporate, subsidiary, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","regional managing offices.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","7. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","8. Employees of Indian tribal governments are classified in state and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","9. Includes estimates of foreign professional workers and undocumented Mexican migratory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","workers employed temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
