"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"16","9","    Nondurable goods","DNDGRA3",41.781,42.71,43.511,45.272,46.572,45.439,45.829,48.008,49.102,50.875,52.186,52.098,52.752,53.299,55.035,57.313,59.043,61.145,62.196,63.832,65.556,66.321,66.126,67.411,69.125,71.82,73.599,75.726,77.953,80.895,85.016,87.773,89.354,91.127,94.232,96.899,100,102.643,104.584,103.363,101.507,103.888,106.236
"17","10","      Food and beverages purchased for off-premises consumption","DFXARA3",61.824,63.552,64.309,65.592,64.449,63.149,64.288,67.441,68.438,68.14,69.088,69.799,69.562,70.912,72.704,74.166,76.355,77.914,77.416,79.461,80.453,82.119,82.017,81.697,82.364,84.66,85.096,85.95,86.699,87.738,91.126,93.177,94.263,94.483,95.661,96.797,100,102.871,104.453,103.342,101.599,103.779,106.326
"18","11","      Clothing and footwear","DCLORA3",21.383,21.137,22.026,23.594,25.291,24.808,25.434,26.606,28.031,30.985,32.79,33.806,35.959,36.557,39.059,42.293,44.179,47.49,49.251,50.699,53.384,53.015,53.052,55.869,58.249,61.512,64.039,67.145,69.353,73.581,78.413,82.207,82.985,85.525,90.007,94.268,100,104.66,108.315,107.666,102.21,107.683,111.445
"19","12","      Gasoline and other energy goods","DGOERA3",63.178,65.591,67.881,71.322,75.421,69.282,70.892,74.689,76.029,77.254,75.025,68.391,67.505,67.615,69.103,70.971,72.344,76.024,77.477,79.682,80.956,79.503,78.858,82.008,84.063,85.408,87.001,88.377,90.161,93.401,96.26,94.506,95.188,96.763,99.39,100.686,100,97.722,96.911,92.368,92.95,92.595,89.387
"20","13","      Other nondurable goods","DONGRA3",31.357,32.401,32.539,34.115,36.426,36.299,35.119,36.598,37.172,39.803,42.109,42.847,43.815,43.659,44.768,47.21,48.478,49.573,51.406,52.585,54.345,55.727,55.421,56.54,58.595,61.559,64.075,66.916,70.596,74.398,79.012,83.059,85.757,88.586,92.897,96.683,100,103.801,106.715,107.033,105.302,107.886,112.498
"21","14","  Services","DSERRA3",30.303,31.487,32.574,34.458,36.091,36.783,38.164,39.802,41.447,43.375,44.7,45.389,46.203,47.103,49.568,51.508,54.173,55.784,58.007,60.469,62.301,64.151,65.11,67.431,69.589,71.666,73.488,75.64,77.973,81.409,84.744,88.944,91.134,92.87,94.611,97.134,100,102.599,104.599,105.067,103.558,104.554,106.543
"22","15","    Household consumption expenditures (for services)","DHCERA3",31.732,32.956,34.071,36.037,37.795,38.57,40.062,41.763,43.526,45.54,46.926,47.598,48.353,49.074,51.486,53.311,56.02,57.502,59.728,62.059,63.714,65.253,65.966,67.967,70.035,71.999,73.778,75.857,78.468,81.794,85.054,89.178,91.191,92.651,94.276,96.917,100,102.276,104.172,104.18,102.56,103.538,105.426
"23","16","      Housing and utilities","DHUTRA3",35.088,36.435,38.004,40.036,41.908,43.889,45.295,46.577,47.874,50.152,51.933,53.616,54.503,54.866,56.085,58.072,60.271,61.557,63.428,65.563,67.244,68.45,69.98,71.38,73.271,75.984,78.023,79.717,81.532,84.018,86.673,89.32,91.71,92.374,93.528,95.591,100,102.166,102.78,103.49,104.589,105.44,106.01
"24","17","      Health care","DHLCRA3",29.446,31.026,33.258,35.536,38.091,39.401,41.43,43.243,45.341,47.418,49.015,50.425,52.856,52.984,54.567,55.451,57.143,58.928,61.378,63.791,64.52,66.692,67.97,70.022,70.377,70.928,72.397,73.894,76.188,78.663,79.892,82.638,86.758,91.868,93.845,96.833,100,101.839,104.213,106.691,108.55,109.943,113.724
"25","18","      Transportation services","DTRSRA3",31.052,32.138,33.498,35.422,36.011,36.212,36.7,38.534,41.256,42.251,43.527,40.947,39.423,38.565,41.471,46.334,51.189,53.416,55.607,58.818,60.141,60.078,57.224,60.119,63.523,69.544,74.787,80.916,87.02,90.642,95.648,100.102,99.18,96.471,96.826,99.231,100,99.823,100.677,95.118,86.011,85.151,87.031
"26","19","      Recreation services","DRCARA3",17.647,18.274,18.899,19.903,21.597,23.058,24.248,25.919,27.558,28.895,30.302,31.327,33.985,35.633,38.676,41.246,44.228,46.274,48.376,52.971,56.276,58.715,58.295,62.15,66.069,69.448,74.731,78.109,80.588,83.273,87.336,89.957,89.856,90.419,93.27,98.131,100,103.567,107.603,106.205,101.741,102.795,105.379
"27","20","      Food services and accommodations","DFSARA3",38.718,40.06,40.017,43.073,45.221,44.807,46.67,49.485,50.808,52.961,54.603,54.628,55.173,55.538,57.363,58.951,59.737,61.463,64.657,68.504,70.396,72.903,72.948,74.807,76.518,77.732,77.92,78.434,80.169,82.258,84.288,88.13,88.007,89.382,92.709,96.474,100,103.321,104.713,103.743,99.584,102.093,105.871
"28","21","      Financial services and insurance","DIFSRA3",23.481,24.349,25.239,26.707,28.241,28.923,31.688,33.415,35.498,37.3,38.442,38.93,38.616,41.637,47.625,48.072,53.168,54.849,55.098,55.022,57.119,58.434,62.326,64.077,69.317,69.796,70.139,72.767,75.27,80.057,86.791,95.355,94.689,94.345,94.377,96.713,100,102.576,105.926,104.851,97.445,97.888,97.617
"29","22","      Other services","DOTSRA3",34.781,35.901,36.047,37.615,38.68,37.438,37.744,39.184,41.106,43.282,43.666,43.421,43.205,44.104,46.98,49.336,52.759,53.343,57.091,59.411,61.274,62.344,60.096,62.432,63.745,66.172,67.466,69.741,73.873,80,84.512,90.615,94.278,94.846,97.011,98.886,100,102.616,104.871,103.59,101.426,102.042,103.735
"30","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",8.108,8.546,9.008,9.557,9.648,9.471,9.521,10.054,10.216,10.763,11.131,11.661,12.592,14.595,16.787,19.386,20.921,23.716,25.488,29.313,33.498,40.339,45.892,55.008,59.319,64.235,67.19,71.267,66.37,72.682,77.908,83.975,90.38,98.71,103.311,102.804,100,111.066,115.829,128.888,130.565,132.04,137.017
"31","24","      Gross output of nonprofit institutions \2\","DNPERA3",26.311,27.593,29.518,31.28,32.176,32.556,33.785,35.563,36.905,38.986,40.095,41.272,42.971,44.767,46.43,48.021,49.709,52.192,54.269,57.26,59.323,62.823,65.152,68.659,70.349,71.837,72.794,74.736,75.923,79.689,82.462,85.667,89.82,95.059,96.546,98.417,100,103.223,105.918,109.222,111.092,112.614,115.612
"32","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRA3",37.746,39.503,42.51,45.027,46.657,47.756,50.144,52.722,55.109,58.27,59.817,61.215,62.976,63.411,63.683,63.63,65.008,66.635,68.579,70.456,70.816,72.114,72.733,73.783,74.477,74.755,75.033,76.272,79.504,82.402,84.309,86.488,89.825,93.954,94.364,97.015,100,100.744,102.797,103.147,105.067,106.592,109.037
"33","26","Gross private domestic investment","B006RA3",23.323,21.791,24.275,27.15,30.331,28.097,23.12,27.791,31.989,35.846,36.989,32.926,35.886,30.859,33.733,43.672,43.266,42.971,44.295,45.337,47.156,45.569,41.862,45.254,49.299,55.998,57.743,62.851,70.672,77.747,84.592,90.371,84.023,82.879,86.09,94.749,100,102.742,99.412,89.296,67.124,76.327,80.284
"34","27","  Fixed investment","B007RA3",23.242,22.754,24.477,27.42,29.926,28.055,25.042,27.511,31.465,35.274,37.265,34.844,35.623,33.125,35.541,41.543,43.729,44.237,44.48,45.947,47.328,46.34,43.335,45.904,49.839,54.5,58.01,63.213,69.045,76.537,83.658,89.843,88.142,84.412,87.39,93.88,100,102.375,100.39,93.228,75.494,75.326,80.311
"35","28","    Nonresidential","B008RA3",20.07,19.963,19.964,21.797,24.968,25.177,22.689,23.8,26.486,30.45,33.517,33.429,35.333,34.003,33.563,39.486,42.103,40.901,40.87,43.008,45.409,45.633,43.186,44.565,48.456,52.915,58.478,63.94,71.658,80.264,88.64,97.327,94.614,87.112,88.29,93.74,100,108.027,115.039,114.125,93.507,94.148,102.288
"36","29","      Structures","B009RA3",74.096,74.3,73.082,75.359,81.52,79.755,71.355,73.073,76.079,87.058,98.098,103.837,112.161,110.325,98.404,112.125,120.095,106.935,103.859,104.539,106.616,108.187,96.15,90.354,89.768,91.405,97.235,102.744,110.28,115.911,116.049,125.101,123.191,101.377,97.514,98.571,100,109.18,124.578,132.595,104.659,88.308,90.733
"37","30","      Equipment and software","B010RA3",11.513,11.399,11.512,12.997,15.381,15.774,14.272,15.164,17.449,20.106,21.861,21.075,21.971,20.829,21.95,26.303,27.974,28.504,28.895,31.074,33.351,33.361,32.504,34.873,39.226,43.904,49.158,54.383,61.861,70.837,80.857,89.32,86.438,82.789,85.377,92.138,100,107.59,111.168,106.411,88.911,96.822,107.473
"38","31","        Information processing equipment and software","A679RA3",1.168,1.318,1.406,1.613,1.9,2.18,2.172,2.469,2.993,3.865,4.677,5.461,6.319,6.781,7.896,10.016,11.15,12.06,12.808,14.247,16.226,17.093,17.96,20.727,23.458,26.418,31,37.139,45.79,56.21,68.849,81.257,80.904,78.663,84.938,93.222,100,108.641,117.446,119.864,114.961,120.283,126.294
"39","32","          Computers and peripheral equipment","B935RA3",0.008,0.009,0.013,0.02,0.021,0.028,0.028,0.041,0.061,0.121,0.196,0.309,0.482,0.593,0.9,1.472,1.848,2.125,2.67,3.051,3.71,3.667,3.982,5.447,6.981,8.675,13.082,18.89,27.392,39.82,56.577,68.606,70.317,73.717,80.31,89.491,100,123.128,140.394,151.481,142.669,147.033,165.101
"40","33","          Software \4\","B985RA3",0.636,0.812,0.863,1.013,1.152,1.347,1.579,1.716,1.788,2.119,2.638,3.113,3.619,4.178,4.925,6.227,7.396,8.274,9.432,11.244,14.489,17.077,19.342,22.724,25.408,27.905,30.695,36.013,46.632,56.345,69.493,79.1,79.669,79.56,85.125,93.861,100,104.185,110.481,115.026,115.984,118.97,127.154
"41","34","          Other","A937RA3",8.902,9.593,9.707,10.291,12.476,13.801,13.254,14.512,17.457,20.812,23.369,25.139,26.584,26.766,28.132,32.035,33.056,34.405,33.023,35.298,36.884,37.817,37.586,39.867,42.949,46.944,50.525,55.353,60.114,67.676,75.451,90.801,88.022,80.02,86.944,94.212,100,108.084,116.821,113.492,102.245,110.801,110.248
"42","35","        Industrial equipment","A680RA3",54.973,55.753,51.206,55.212,65.276,70.29,59.598,59.892,63.475,70.624,75.671,72.418,71.267,65.103,59.935,68.594,71.761,71.426,69.649,73.145,78.246,73.721,68.998,70.259,76.223,83.022,91.121,94.502,96.542,100.744,101.365,110.12,102,95.149,94.986,92.321,100,108.304,112.664,108.274,85.327,84.339,95.562
"43","36","        Transportation equipment","A681RA3",38.16,31.31,33.816,39.285,47.243,42.763,36.84,40.96,49.78,55.017,57.434,46.886,45.592,40.396,45.488,54.185,56.309,54.157,51.497,54.293,48.89,48.628,47.324,48.161,57.096,66.885,72.383,75.291,81.565,89.163,104.723,102.466,93.31,84.861,77.279,89.341,100,108.134,102.223,78.524,38.01,65.812,86.247
"44","37","        Other equipment","A862RA3",36.37,37.939,37.821,42.863,50.087,49.446,45.783,46.156,51.93,57.204,58.327,52.428,53.842,46.586,44.89,50.835,51.32,50.386,51.803,54.303,60.615,58.317,49.833,49.568,54.266,58.639,61.797,64.151,70.352,77.545,79.588,84.061,83.419,82.796,86.64,91.887,100,103.659,102.959,99.373,81.304,83.789,94.208
"45","38","    Residential","B011RA3",34.063,32.026,40.808,48.061,47.752,37.895,32.975,40.74,49.486,52.602,50.672,39.949,36.747,30.075,42.524,48.836,49.608,55.696,56.807,56.231,54.524,49.819,45.032,51.263,55.45,60.84,58.85,63.55,64.751,69.732,74.092,74.834,75.258,79.204,85.712,94.13,100,92.667,75.379,57.345,44.489,42.862,42.268
"46","39","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","40","    Farm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","41","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","  Exports","B020RA3",12.131,13.435,13.663,14.689,17.458,18.837,18.718,19.536,20.006,22.115,24.307,26.925,27.256,25.173,24.524,26.526,27.331,29.429,32.594,37.815,42.161,45.954,49.005,52.37,54.086,58.802,64.755,70.133,78.49,80.281,83.785,90.985,85.88,84.16,85.514,93.677,100,108.969,119.108,126.376,114.835,127.623,136.152
"51","44","    Goods","B253RA3",11.262,12.546,12.497,13.84,17.02,18.371,17.944,18.796,19.042,21.17,23.671,26.492,26.205,23.837,23.151,24.982,25.903,27.233,30.252,35.953,40.237,43.623,46.633,50.122,51.756,56.79,63.436,69.031,78.955,80.717,83.788,93.08,87.318,84.176,85.687,92.995,100,109.425,120.09,127.691,112.414,128.479,137.695
"52","45","    Services","B646RA3",14.442,15.729,16.942,16.835,18.025,19.432,20.626,21.236,22.606,24.496,25.25,26.826,29.683,28.86,28.38,30.911,31.279,35.82,39.39,42.939,47.375,52.372,55.505,58.496,60.437,64.275,68.316,73.101,77.436,79.303,83.857,86.102,82.534,84.115,85.107,95.237,100,107.935,116.885,123.395,120.204,125.805,132.793
"53","46","  Imports","B021RA3",11.181,11.658,12.28,13.662,14.296,13.972,12.419,14.848,16.471,17.898,18.195,16.987,17.433,17.214,19.386,24.105,25.669,27.863,29.511,30.671,32.022,33.168,33.118,35.44,38.505,43.098,46.547,50.595,57.409,64.119,71.5,80.813,78.54,81.213,84.806,94.212,100,106.099,108.652,105.733,91.422,102.832,107.746
"54","47","    Goods","B255RA3",9.502,9.874,10.702,12.158,13.016,12.654,11.059,13.56,15.213,16.577,16.861,15.61,15.931,15.531,17.641,21.908,23.279,25.665,26.855,27.943,29.146,29.995,30.13,32.971,36.27,41.114,44.817,49.018,56.082,62.727,70.549,80.018,77.464,80.341,84.302,93.637,100,105.92,108.674,104.5,88.2,101.309,106.561
"55","48","    Services","B656RA3",21.596,22.722,22.075,23.011,22.235,22.21,21.247,22.714,23.846,25.546,25.897,25.319,26.778,28.205,30.483,38.126,41.026,41.488,46.378,47.954,50.278,53.564,52.173,50.768,52.124,54.901,56.556,59.514,64.687,71.721,76.569,84.955,84.292,85.837,87.474,97.252,100,107.059,108.539,112.488,108.74,111.507,114.63
"56","49","Government consumption expenditures and gross investment","B822RA3",53.347,52.059,50.926,50.556,50.379,51.648,52.812,53.049,53.63,55.21,56.241,57.337,57.86,58.876,61.027,63.078,67.471,71.573,73.3,74.22,76.24,78.655,79.514,79.885,79.253,79.245,79.705,80.507,82.02,83.759,86.761,88.519,91.917,96.192,98.336,99.668,100,101.359,102.713,105.381,109.262,109.955,106.497
"57","50","  Federal","B823RA3",70.969,65.738,60.677,58.197,55.748,56.243,56.426,56.453,57.647,59.092,60.519,63.39,66.42,68.989,73.561,75.829,81.771,86.407,89.477,88.01,89.379,91.185,91,89.351,85.842,82.555,80.353,79.423,78.641,77.758,79.27,79.661,82.901,88.953,94.839,98.71,100,102.127,103.399,110.819,117.613,122.883,119.48
"58","51","    National defense","B824RA3",85.556,77.8,68.981,63.588,60.061,59.595,59.03,58.828,59.511,60.019,61.845,64.541,68.628,73.814,79.11,82.971,90.002,95.766,100.301,99.826,99.335,99.305,98.214,93.351,88.401,84.072,80.936,79.856,77.618,75.978,77.386,76.986,79.908,85.782,93.243,98.535,100,101.588,103.867,111.649,118.311,121.829,118.683
"59","52","      Consumption expenditures","B997RA3",96.286,87.549,80.747,75.82,70.33,68.066,66.376,65.239,65.905,66.619,67.458,70.094,74.08,79.047,83.255,85.797,90.955,95.114,98.637,99.764,99.046,98.38,98.279,93.189,89.519,85.53,82.457,81.294,80.072,77.935,79.166,78.445,81.296,86.597,94.027,98.936,100,100.823,102.554,108.702,114.998,118.484,116.338
"60","53","      Gross investment","B788RA3",47.039,42.803,27.267,20.371,22.968,28.028,31.107,33.921,34.613,34.413,39.345,42.1,46.384,52.164,61.212,69.915,84.168,96.419,105.285,97.43,98.022,101.011,95.168,91.56,80.355,74.465,71.109,70.472,63.019,64.053,66.396,67.779,71.074,80.367,88.002,95.813,100,106.959,113.195,132.972,142.307,146.044,135.354
"61","54","    Nondefense","B825RA3",43.019,42.567,44.575,47.722,47.429,49.891,51.594,52.085,54.324,57.7,58.309,61.573,62.396,59.402,62.471,61.279,64.9,67.13,67.081,63.499,68.795,74.465,76.17,81.218,80.687,79.525,79.207,78.577,80.737,81.374,83.095,85.066,88.945,95.357,98.071,99.067,100,103.237,102.42,109.081,116.154,125.049,121.114
"62","55","      Consumption expenditures","B542RA3",46.77,46.631,48.822,52.549,51.941,54.832,56.663,56.604,58.962,61.396,62.453,65.701,66.78,63.853,66.223,63.815,67.476,69.933,68.552,65.055,70.701,76.394,77.236,81.762,80.635,81.377,80.157,78.179,80.937,80.174,80.825,84.638,89.317,95.495,98.458,99.664,100,102.578,101.475,107.948,115.449,123.016,118.884
"63","56","      Gross investment","B798RA3",28.082,26.605,27.888,28.906,29.706,30.587,31.768,34.094,35.826,42.403,41.389,44.599,44.465,41.322,46.91,50.392,53.81,55.101,60.473,56.566,60.373,65.909,71.33,78.714,80.954,70.633,74.762,80.934,79.962,88.219,95.922,87.287,86.443,94.26,95.384,94.979,100,107.841,109.081,117.097,120.958,139.916,137.535
"64","57","  State and local","B829RA3",42.557,43.738,45.077,46.068,47.381,49.164,50.97,51.346,51.532,53.216,53.998,53.958,52.873,52.898,53.514,55.444,58.879,62.669,63.575,65.933,68.34,71.112,72.585,74.156,75.244,77.197,79.247,81.09,83.98,87.291,91.179,93.744,97.236,100.473,100.408,100.234,100,100.91,102.311,102.31,104.568,102.711,99.224
"65","58","    Consumption expenditures","B991RA3",40.299,42.714,44.816,46.515,48.127,50.32,52.81,53.54,54.56,55.659,56.025,55.905,55.684,56.506,57.146,58.217,61.25,65.137,65.913,68.142,70.358,72.605,74.067,75.803,77.334,79.292,81.105,82.592,84.794,88.344,91.538,93.537,96.75,99.938,99.628,99.616,100,100.717,102.293,102.067,105.271,103.866,101.434
"66","59","    Gross investment","B799RA3",48.766,45.697,44.399,42.95,43.2,43.579,43.18,42.421,39.855,43.451,45.602,45.833,41.935,39.354,39.871,44.753,49.603,52.994,54.371,57.191,60.295,65.051,66.561,67.473,66.779,68.707,71.712,74.989,80.669,83.008,89.751,94.681,99.356,102.802,103.796,102.913,100,101.738,102.403,103.342,101.69,97.973,90.054
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","4. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
