"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107"
"40","32","D     Lumber and other construction materials wholesalers","KS42130",5156,5262,5269,5370,5414,5500,5518,5606,5604,5538,5647,5597,5640,5619,5548,5642,5568,5571,5640,5809,5526,5563,5597,5545,5568,5515,5575,5631,5705,5666,5751,5694,5774,5883,5854,5932,6040,6085,6128,6147,6185,6262,6243,6164,6186,6214,6267,6380,6269,6265,6240,6105,6074,5946,6037,6204,6293,6508,6422,6424,6390,6294,6290,6323,6318,6311,6376,6466,6584,6685,6755,6871,6938,7155,6979,6957,6847,6877,6830,6890,6896,7035,7378,7671,7941,8229,8176,8391,8877,8740,8982,9083,9254,9424,9437,9945,10216,10557,10502,10164,10279,10292,10404,10441
"41","33","D     Professional and commercial equipment wholesalers","KS42140",15038,15323,15410,15971,16381,17173,17457,17276,18156,18559,18720,19029,19664,20037,20707,21018,21305,20754,20890,21119,21082,20888,21189,20970,20989,21849,21875,21162,21922,22342,22393,22473,22835,23482,24167,24404,24958,24724,24403,24405,24644,24576,24628,24649,25365,25643,25689,25293,25283,25554,25247,25628,25238,24916,24841,24721,23986,23793,23066,23375,23244,22833,23503,24318,24131,24543,24659,25380,25052,24487,24678,25041,25293,25564,25979,25536,25893,25828,26278,26366,26475,26458,26534,26393,26577,26870,26871,26666,27250,27943,27967,28780,29015,29892,30473,30442,30804,30669,30610,31208,31331,31475,31523,31701
"42","34","D       Computers and software wholesalers","KS42430",6581,6778,6871,7121,7451,8020,8188,8125,8725,8950,8872,9147,9412,9616,10326,10430,10637,10455,10302,10617,10504,10473,10687,10907,10878,11633,11227,10691,11546,11804,11858,11988,12018,12537,12888,13100,13101,13194,12319,12229,12052,12095,12143,12149,12817,13487,13061,12680,12855,13006,12898,13085,12829,12293,12440,12229,11885,11951,11630,11574,11489,11662,12209,12896,12714,12975,12907,13414,13196,12599,12430,12642,13123,13531,13745,13556,14000,13923,14190,14044,13960,14216,14219,14623,14599,14638,15016,14984,15125,16154,16105,16898,17151,17871,18972,18768,18902,19083,19340,19525,19548,19554,19275,19807
"43","35","D       Other professional and commercial equipment wholesalers","KS424X0",9412,9438,9381,9724,9673,9726,9820,9681,9826,9992,10366,10314,10721,10873,10597,10836,10884,10459,10854,10680,10793,10603,10667,10123,10183,10214,10742,10592,10413,10565,10557,10496,10845,10954,11286,11303,11873,11532,12114,12204,12621,12505,12504,12514,12565,12189,12640,12612,12444,12568,12377,12571,12430,12583,12396,12460,12075,11856,11463,11776,11728,11249,11435,11645,11619,11790,11939,12203,12077,12009,12282,12446,12343,12305,12510,12269,12283,12278,12476,12636,12774,12608,12666,12318,12476,12682,12465,12322,12697,12658,12704,12894,12935,13219,13075,13160,13361,13167,12994,13343,13421,13523,13690,13567
"44","36","D     Metal and mineral (except petroleum) wholesalers","KS42150",12692,12991,13038,13150,13149,13300,13271,13304,13271,13215,13213,13319,13455,13549,13666,13714,13831,13783,13761,14205,14331,14465,14700,14737,14987,14690,14379,14479,14618,14640,14489,14354,14487,14657,14876,15029,15224,15422,15679,16085,15903,16026,16080,16064,16007,15842,15701,15375,15354,15230,15095,14993,15062,15055,15029,15103,14860,14836,14567,14484,14280,14260,14156,14075,14060,14060,14214,14267,14506,14253,14250,14215,13877,13976,14000,14048,13836,13836,13710,13591,13678,13598,13740,13987,14306,14610,15036,14907,15282,15369,15659,16120,16170,16785,17056,17064,17206,17149,17332,17419,17433,17387,17355,17342
"45","37","D     Electrical goods wholesalers","KS42160",20054,20118,20528,20313,20325,20668,20566,20688,20644,20478,20282,20520,20443,20742,21220,21561,21774,21872,21808,22008,22223,22137,22199,22441,22442,22720,22559,22370,22739,22936,23638,23733,24037,24465,25075,25707,25651,25875,26044,26070,26412,26967,27497,27739,28034,28741,29076,29184,29491,29258,29308,29557,28938,28332,27314,26786,26427,26165,25290,24492,24026,23663,23344,23068,23171,22871,23182,23772,23537,23647,23477,23577,23389,23241,23248,23376,23021,22980,22802,22765,23057,22920,22472,23182,23017,23928,24398,24740,25152,25301,25482,25612,25668,25727,26005,26060,26138,26411,26430,26260,26258,26618,27240,27085
"46","38","D     Hardware and plumbing and heating equipment wholesalers","KS42170",9563,9577,9378,9623,9632,9613,9507,9547,9667,9631,9678,9664,9835,10129,10066,10226,10256,10373,10349,10427,10388,10415,10442,10484,10575,10509,10556,10523,10557,10571,10679,10465,10548,10606,10768,10701,10698,10933,10919,11170,11239,11416,11461,11512,11428,11528,11549,11614,11528,11443,11391,11254,11142,11190,11141,11311,11273,11196,11105,11022,11043,10882,10864,10771,10897,10878,10940,10925,10980,10882,10872,10995,10963,11324,11417,11362,11197,11104,11107,10903,10872,10886,10889,10868,10835,10855,10873,10869,11087,11173,11326,11480,11627,11792,11861,11936,11958,11985,11937,11939,11970,12020,11981,12082
"47","39","D     Machinery, equipment, and supplies wholesalers","KS42180",40171,40228,40679,41159,41797,42606,41295,41375,42082,42760,43407,44402,44318,44933,45163,45353,46091,46386,47009,47415,48198,48893,49089,50068,50393,50657,51037,51489,51055,51218,51553,51453,51450,51402,51678,51167,50892,51110,51377,51862,52163,52486,52010,52620,52645,52183,52468,51914,52432,52405,52464,51949,52724,52176,51631,50924,50753,50511,49518,48993,48988,48358,48053,47471,46793,46578,46958,46653,46342,45875,45804,46220,45883,46263,46226,46328,46110,45508,45224,45126,44982,44657,44739,44119,44388,44803,44283,44334,44562,45582,45832,46453,46559,47266,47758,48210,48239,48650,49059,49299,49269,49837,50017,50790
"48","40","D     Miscellaneous durable goods wholesalers","KS42190",14814,14869,15238,14718,14336,14956,15065,15350,15444,15147,15499,16125,16071,16347,16220,16354,16626,16774,16889,17516,18152,18550,18539,18623,18730,18702,19155,18904,18961,18885,18658,18730,18876,18955,19201,19057,19113,19482,19509,19765,20154,20740,21111,21052,20620,20766,20889,21098,21557,21285,21335,21265,21600,20274,20294,20060,20009,19948,20080,19950,19815,19762,19677,19676,19321,19426,19044,19182,18938,19082,18904,18996,18981,19149,19085,19285,19218,19148,19188,19041,19261,19363,19354,19735,19207,18673,18751,18643,18572,19028,19574,19825,20008,20051,20046,19924,20241,20421,20649,20481,20908,20842,20965,20831
"49","41","A   Nondurable goods merchant wholesale industries","KS42WN0",92212,92161,92081,91808,91853,93053,94115,94915,95088,96481,97913,98242,97981,99107,99197,98734,99882,100513,100947,101823,102992,102769,104238,103620,103617,104922,105257,106263,105314,104922,106540,107503,107624,108612,109188,109154,110526,110364,110743,110836,110905,110922,111583,112222,112958,113643,114287,114213,113112,113623,114417,116063,117961,119291,118732,119882,120291,118861,119709,119882,120464,119745,120285,119556,120219,121055,121652,120912,120920,120100,119925,121661,121471,120430,120837,120864,120498,120317,121146,121324,122444,123150,122847,121570,120022,121135,121018,120314,120200,120566,122217,122555,122260,122875,124105,124296,125012,125328,125818,126935,126473,126402,125375,126342
"50","42","D     Paper and paper products wholesalers","KS42210",7645,7705,7726,7803,7941,7803,8130,8342,8233,8178,8207,8266,7963,8306,8353,8344,8332,8319,8303,8310,8285,8160,8355,8417,8395,8484,8548,8579,8569,8605,8662,8681,8678,8630,8679,8463,8695,8675,8798,8773,8762,8723,8759,8827,8824,8942,8938,8942,8818,8954,8853,8846,8868,8786,8703,8673,8692,8681,8605,8520,8514,8400,8364,8353,8421,8518,8379,8338,8348,8259,8322,8300,8236,8365,8312,8361,8291,8259,8225,8216,8173,8234,8258,8420,8367,8361,8468,8450,8376,8660,8811,8920,8954,8985,8916,9034,9127,9159,9075,9180,9253,9334,9291,9505
"51","43","D     Drugs and druggists' sundries wholesalers","KS42220",14084,13849,14148,13885,14169,14456,14618,15184,15267,14957,15453,15568,15822,16260,16349,16304,16531,16054,16055,16130,16052,16187,16461,16528,16866,17159,17387,18149,18567,18830,19172,19391,19303,19840,19747,19706,20238,20417,20810,20959,20931,21528,22072,22164,22663,22967,23229,23951,23666,23460,24425,25148,26302,26974,26787,27861,29154,28844,29723,30373,30389,30015,30153,29728,29472,29751,29172,29005,29508,30255,30080,31198,31207,31592,32190,32587,32596,32002,32464,32567,32058,31839,31968,31250,30544,31442,31712,30844,31171,31315,31309,31409,31210,30862,30891,30555,30184,29635,29604,29413,29203,28867,27865,27822
"52","44","D     Apparel, piece goods, and notions wholesalers","KS42230",11707,11854,11992,12048,12156,12384,12426,12402,12358,12943,12922,12860,12874,12601,12646,12701,12654,12769,12706,12894,12770,12852,12907,12873,12376,13020,12539,12254,12089,11848,11862,11828,11650,11743,11926,12084,12319,12279,12268,12428,12528,12222,12323,12198,12282,12158,12160,12049,12107,12479,12616,12836,13088,13143,12855,12825,12799,12777,12332,11938,12220,12040,11858,11509,11605,11916,12166,12476,12898,12517,12400,12506,12473,12228,12454,12540,12361,12537,12564,12337,12087,11722,11898,11821,11675,11793,11905,11827,11906,11532,11829,12189,12548,12802,13319,12592,12966,13029,13149,13484,13501,13654,13839,14001
"53","45","D     Grocery and related products wholesalers","KS42240",16995,16878,16852,16614,16860,17043,17080,17005,16970,17568,17716,17816,18038,18267,17709,18085,18344,18213,18263,18250,18109,17883,17995,17795,17865,18235,18465,18968,18800,18289,18956,19102,19174,19332,19824,19800,19719,19824,19710,19678,19498,19307,19586,19695,20080,20185,20709,20249,19955,19773,19618,19598,19336,19442,19055,19268,19052,18606,18943,19048,19047,18867,19170,19412,20022,20554,20709,20946,20600,20801,20607,20710,21020,20925,20592,20187,19809,19738,19880,19884,20374,19609,19632,20195,19739,19970,20123,20169,20176,20140,20401,20368,20208,20435,20725,20368,20522,20557,20440,20561,20583,20432,20445,20825
"54","46","D     Farm product raw material wholesalers","KS42250",9834,10041,9847,9830,9632,9839,10343,10163,10042,10782,11313,10736,10610,10531,10417,9977,10062,10762,11016,11491,12380,12674,12824,12645,12506,12501,12717,13120,12979,13005,13244,13947,14024,14171,13769,13588,13979,13713,13868,13846,13882,13724,13717,13932,14116,14309,14323,14209,13964,14070,13969,14197,14716,14791,15076,15030,14825,14068,14395,14558,14649,14740,14914,14779,14855,15010,15734,14902,14293,13471,13730,13752,13519,13244,13058,13084,13242,13490,13758,13902,14235,16348,15741,14966,14975,15087,14983,14595,13901,13545,13203,13077,12934,13049,13053,13476,13715,14179,14591,14832,14695,14828,15129,15080
"55","47","D     Chemical and allied products wholesalers","KS42260",4662,4673,4731,4674,4546,4913,4952,4942,4923,4943,5011,4915,4963,4826,4821,5002,5161,4948,5147,5123,5259,5236,5342,5331,5446,5469,5373,5392,5356,5318,5400,5308,5332,5349,5346,5487,5427,5435,5488,5446,5366,5404,5337,5337,5195,5152,5103,5088,5004,4894,5048,5237,5154,5195,5197,5209,5305,5352,5288,5283,5285,5336,5363,5346,5393,5376,5245,5477,5520,5503,5578,5572,5634,5476,5347,5288,5302,5336,5339,5244,5250,5190,5098,5337,4866,4929,4847,4845,4846,4837,4883,4869,4869,4936,4910,4863,4971,5049,5058,5099,4996,5064,5012,5089
"56","48","D     Petroleum and petroleum products wholesalers","KS42270",6343,6336,6291,6367,6543,6409,6383,6282,6391,6433,6421,6630,6735,6735,7001,7241,7529,7415,7403,7459,7928,7542,7349,7363,7636,7743,7461,7081,6812,6912,6824,6491,6540,6400,6317,5931,5834,5676,5581,5573,5534,5631,5439,5605,5420,5336,5523,5452,5311,5475,5533,5535,5598,5694,5945,5925,5817,6230,6560,6797,7264,7298,7168,7005,6790,6597,6619,6424,6452,6082,6058,6295,6089,5513,5465,5627,6077,6125,6021,6110,6333,6287,6278,6028,5862,5825,5766,5757,5765,5898,6569,6545,6345,6364,6335,6624,6778,6816,7067,7064,7102,7069,7054,7040
"57","49","D     Beer, wine, and distilled alcoholic beverages wholesalers","KS42280",5103,4947,4790,4957,4773,5015,4933,4967,5117,5022,5101,5456,5339,5467,5794,5429,5444,5675,5590,5745,5798,5839,5989,5660,5754,5950,6285,6028,6234,6058,6158,6123,5981,5971,5944,6012,6105,6139,6100,6149,6213,6040,6043,6088,6085,6134,6173,6249,6189,6142,6050,6073,6036,6185,6076,6109,6118,6082,5967,6044,6160,6152,6323,6397,6359,6255,6276,6191,6349,6447,6513,6528,6603,6611,6672,6574,6606,6574,6625,6539,6672,6639,6829,6651,6580,6514,6400,6535,6590,6751,6835,6946,6760,6760,6927,7083,7159,7228,7197,7273,7208,7172,7075,7367
"58","50","D     Miscellaneous nondurable goods wholesalers","KS42290",16529,16458,16360,16288,16034,15884,15796,16296,16537,16108,16095,16599,16279,16835,16966,16668,16931,17261,17299,17173,17274,17038,17539,17561,17475,17054,17030,17048,16185,16393,16524,16791,17111,17287,17698,18066,18177,18167,18076,17940,18143,18307,18267,18342,18270,18443,18104,18007,18075,18337,18272,18547,18824,19028,19002,18934,18484,18244,17974,17455,17193,17159,17161,17153,17367,17112,17311,17149,17020,16899,16722,16885,16787,16654,16949,16799,16372,16377,16360,16583,17247,16928,16883,16765,17215,17016,16665,17179,17524,17983,18430,18321,18575,18811,19202,19692,19562,19626,19493,19927,19825,19898,19573,19570
"59","51","A Retail trade industries","KS440",325285,327629,325441,329308,330781,330810,333644,332827,335557,337463,339310,340561,342766,345937,350400,354401,352999,353173,354527,354161,355715,355902,357726,357859,361689,363272,366348,367453,367917,369513,370841,371709,373670,376949,380501,385517,384597,385354,387559,389743,393699,396651,398939,401909,402422,405252,406829,407133,406498,403530,402859,404204,405027,404331,404424,405972,405660,396546,391915,396311,399535,400875,401564,402420,405968,408690,409956,409011,413359,414884,419327,420589,422280,425323,427185,427198,426926,429170,432029,428786,433957,435743,439022,437345,437842,439017,443910,449222,449428,451013,448304,448540,448472,450644,452378,452726,453343,454445,454482,452109,451106,451061,440339,443267
"60","52","A   Motor vehicle and parts dealers","KS4410",100910,101582,100539,102519,102361,101653,103340,103419,103460,105255,106727,106600,107319,108606,110379,113202,113258,110304,109867,108552,109359,109597,109935,108868,111140,112335,114186,113968,113974,114292,115258,115212,116219,118360,119814,121928,122312,121822,122981,125291,126833,129069,131284,132272,133067,134055,134247,134232,133024,130099,128961,130295,131286,131338,132708,132445,133080,123296,120537,125404,128151,129719,130881,131563,133626,135897,135467,134599,136906,139690,143772,143825,145938,148133,149223,149448,150430,152363,154106,151738,154463,155862,158337,156680,158054,158422,161786,166201,165414,165876,163375,162152,161633,163713,163173,160824,159539,159846,159694,157395,154931,153594,143125,144934
"61","53","A   Furniture, furnishings, electronics, and appliance stores","KS44230",19632,19728,19623,19496,19912,19936,20224,19948,20096,20306,20296,20291,20339,20564,20901,21112,21088,21150,21481,21582,21684,21911,22161,22218,22449,22684,22560,22894,22913,23239,23508,23595,23755,23883,23992,24336,24182,24398,24927,24951,25148,25720,25682,26024,25590,26022,26746,26437,26479,26093,26428,26458,26189,25804,25604,25637,25464,25615,25751,25844,26471,26705,26820,26837,27272,27158,27525,27413,27865,27784,27741,27619,27633,27678,27547,27605,27608,28112,28119,28181,28412,28967,29143,29141,28898,28889,29465,29639,29967,29972,30093,30380,30247,29915,30359,31171,31109,30950,31079,31266,31692,32017,31902,31813
"62","54","A   Building material and garden equipment and supplies dealers","KS4440",32563,32589,32690,32799,32901,33182,33126,33335,33800,33631,33626,34030,34230,34824,34795,34794,34182,34864,35117,35686,35642,35671,36130,36369,36579,36735,36896,36984,37001,37197,37458,37541,37591,37991,38191,38660,38711,38917,38880,39301,39455,39751,39940,40213,40309,40139,40414,40040,40230,40116,40084,40163,40380,40174,39776,40157,40102,40216,40035,40016,40234,40323,40735,40772,40593,40550,40451,40463,40959,41382,41233,41493,40979,41704,41839,41297,41268,41456,41450,41738,42813,42468,42718,42922,42865,43420,43775,43910,44398,44628,45017,45246,45382,45851,46228,46949,47820,47706,47469,47007,47292,47531,47757,48003
"63","55","A   Food and beverage stores","KS4450",28417,28450,28530,28426,28523,28540,28586,28920,29014,28842,28969,28819,29103,29130,29394,29690,29669,29889,30108,30003,29891,29896,30161,30065,30398,30439,30507,30362,30623,30727,30883,31125,31430,31572,31655,31910,31880,31935,31962,31977,32108,31537,31461,31527,31721,31708,31538,31757,31963,32132,32143,32272,32216,32317,32297,32324,32201,32486,32591,32485,32345,32328,32181,32194,32233,32266,32133,32328,32603,32085,32251,32645,32512,32602,32694,32548,32402,32304,32396,32359,32419,32003,31792,31679,31756,31657,31718,31778,31968,32076,32064,32099,32037,32126,32305,32177,32317,32243,32087,32084,32146,32188,32045,32132
"64","56","A   Clothing and clothing accessories stores","KS4480",26324,26542,25941,26716,26856,26806,26890,26763,27219,27262,27243,27573,27682,27582,28022,28204,28131,28507,28647,28750,29029,28751,28684,28723,29120,29405,29277,29453,29519,29703,29376,29251,28989,29158,29472,29996,29242,29648,30037,30212,30765,30606,31029,31450,31420,31978,32161,32527,32371,32535,32398,32235,32093,32227,32021,32027,32262,32563,31735,31460,31470,31040,30809,31144,31218,31612,32074,32128,32501,32536,32583,33056,33411,33560,33734,33416,33330,33239,33261,33294,33210,33085,33377,33284,33051,33141,33149,33353,33448,33394,32965,33197,33159,33212,33260,33261,33674,34017,34141,34203,34318,34622,34540,34600
"65","57","A   General merchandise stores","KS4520",58260,58531,58151,58779,58856,58954,58800,58449,58649,58352,58418,59047,59368,59434,59534,59598,58791,59652,60061,60062,60324,60219,60064,59921,59867,59979,60449,60806,60784,60683,60821,61166,61289,61136,62172,62618,62939,63192,62794,62709,62937,63295,62937,63030,63038,63530,63496,63682,64096,64190,65236,64854,65255,65315,64517,65395,64851,64770,64118,63551,63173,63184,62689,62559,63162,62815,63682,63719,63833,63875,64729,64771,64573,64177,64574,65460,64713,64692,64924,64282,65235,65851,65391,65680,65901,65968,66624,66813,66872,67418,67171,67610,67779,67774,68770,69419,69743,69817,70766,70687,70849,70979,70840,71740
"66","58","D     Department stores","KS45210",41803,41996,41861,42237,42245,42353,42121,41886,41991,41893,41945,42469,42602,42544,42527,42451,41730,42353,42711,42579,42559,42209,41943,41766,41880,41656,41923,42078,41959,41805,41815,41881,41805,41547,42302,42422,42450,42568,42098,41971,42075,42110,41651,41657,41552,42017,41938,41797,41933,41764,42183,41956,41997,41838,41032,41639,41485,40877,40258,39701,39006,38886,38447,38091,38043,37995,38272,38073,38017,37811,38267,38144,37957,37504,37818,38490,37803,37689,37565,37130,37658,37940,37342,37327,37420,37195,37380,37366,37202,37149,37079,37141,36995,37180,37290,37357,37395,37328,37921,37291,37037,37142,37195,37244
"67","59","D     Other general merchandise stores","KS45290",16432,16509,16262,16515,16585,16575,16654,16539,16634,16433,16447,16550,16740,16866,16984,17126,17043,17280,17330,17465,17750,17998,18111,18145,17975,18315,18519,18721,18819,18873,19001,19282,19482,19588,19869,20196,20490,20626,20698,20740,20864,21187,21288,21375,21488,21516,21559,21885,22163,22424,23050,22896,23254,23471,23474,23747,23360,23878,23843,23830,24141,24269,24211,24433,25076,24780,25365,25597,25765,26009,26405,26568,26556,26610,26694,26910,26846,26937,27286,27078,27501,27834,27962,28262,28389,28674,29138,29338,29553,30138,29964,30335,30641,30458,31327,31897,32177,32314,32671,33196,33597,33623,33436,34266
"68","60","A   Other retail stores","KS44X0",59147,60182,59954,60628,61350,61718,62632,62004,63334,63814,64063,64235,64774,65849,67428,67866,67950,68853,69261,69526,69778,69836,70575,71703,72138,71671,72480,72981,73100,73665,73523,73808,74393,74844,75194,76055,75318,75421,75956,75282,76435,76654,76588,77374,77256,77801,78219,78444,78327,78355,77608,77923,77593,77128,77468,77952,77664,77549,77093,77518,77695,77596,77489,77398,77939,78485,78726,78442,78802,77706,77260,77397,77514,77787,77900,77773,77570,77482,78283,77663,77932,78151,79027,78666,78088,78288,78326,78666,78445,78720,78563,78731,79062,78930,79110,79634,79700,80413,79841,79976,80242,80413,79849,79820
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Chained (2000) dollar inventory series are calculated to ensure that the chained (2000) dollar change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","in inventories for 2000 equals the current-dollar change in inventories for 2000 and that the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","average of the 1999 and 2000 end-of-year chain-weighted and fixed-weighted inventories are equal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Chained (2000) dollar final sales series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","index and the 2000 current-dollar value of the corresponding series, divided by 100.  Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","the formual for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","corresponding chained-dollar estimates are usually not additive.  The residual line is the difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","between the first line and the sum of the most detailed lines for inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
