"","Table 4#3BU# Relation of Foreign Transactions in the National In","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112"
"11","3","      Statistical differences \2\","B1233C0",2,0,0,-2,-1,-4,0,1,0,-1,-1,0,-2,-6,5,-1,-1,-8,1,-2,-29,-35,-29,-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14412,16507,13442,12669,12773,13596,11838,12944,11140,13828,13077,11856,11273,11327,13572,12913,13401,13554,15231,13681,14739,16308,15383,16858,17732,18181,20240,21246,23445,22835,24259,23840,4466,3197,2565,2728,-266,-73,-319,-28,-305,-212,-78,-429,-211,-1426,-1803,3090,-3293,-3384,-2308,2767,-3767,-8886,-7583,-353,-356
"12","4","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1234C0",7458,8132,8679,9123,9463,9802,10132,10462,10821,11142,11530,11968,12210,12468,12640,12734,13055,13041,12942,12812,13471,13822,12353,12475,12475,13329,12961,12672,10161,12968,11689,13401,11618,13171,12896,14367,14370,13269,12828,12314,12260,13012,13245,14099,14328,15335,15485,15043,15506,14977,15747,17478,19269,19181,18016,17514,18125,15879,19874,19626,19724,17298,16247,16372,18620,18326,19586,17468,16498,15934,15297,15357,14934,15471,15641,15025,18017,19184,20501,19492,19017,16949,16523,16959,14545,15872,15128,14352,10283,12276,4612,7519,9481,7480,7522,11066,7931,10035,7354,3538,13035,10711,11946,9604,13092,10744,12547,14828,14596
"13","5","Equals: Exports of goods, NIPAs","A253RC0",220524,223040,224503,235937,234320,248650,264168,283049,304585,321435,331647,345472,354804,374778,372371,375455,390704,394585,398173,403082,414480,421289,425922,432562,440930,441565,452738,456567,452190,458460,454363,474716,477592,496429,524037,542189,562222,575619,595591,599678,608166,611943,615444,637769,658267,687046,704663,700792,694450,672834,666751,689398,673516,680510,703885,730856,749526,777073,810853,799917,788930,749776,704452,681747,679476,706271,715597,699904,709046,710600,723499,764181,787089,811313,824123,845401,871626,906012,907353,939352,985093,1016461,1030628,1065376,1105367,1138345,1179276,1225140,1279114,1363717,1374525,1172584,1012016,1010554,1073661,1162516,1206131,1257263,1288129,1362615,1425813,1471757,1498477,1501861,1525818,1550518,1555149,1539786,1534323
"14","6","Exports of services, ITAs","B1235C0",84208,83648,87876,91044,94408,98960,99944,101316,106392,110268,113812,113208,122304,124440,129264,132348,140064,143952,149608,157712,151564,162980,167440,175064,176656,176532,178436,177372,183936,185828,186828,187064,193448,199912,202668,205564,208692,212652,225744,229632,229768,237400,234656,256116,250060,257168,259420,257716,258760,264696,259144,268424,262440,265196,271584,275936,281776,289488,289292,291456,290048,284996,272260,258844,275268,280820,284856,292804,284824,280928,296568,314160,331236,337416,340744,357556,369316,370420,377572,388980,403184,418200,418544,445620,457700,472912,500476,525936,525140,541720,541856,523300,498336,499316,507060,530136,531856,542340,564612,583888,595852,615868,635880,620292,641948,647340,643208,664888,672176
"15","7","Less: Statistical differences \2\","B1236C0",-184,-303,-382,-415,-364,-349,-335,-325,-320,-313,-303,-292,-301,-297,-304,-320,-310,-338,-351,-358,-336,-346,-377,-399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12580,-15354,-13157,-11431,-10731,-11853,-9355,-10461,-8210,-11446,-10060,-8883,-7927,-8350,-9742,-9425,-8845,-10196,-11418,-10426,-10504,-11877,-10298,-12665,-11443,-12107,-13496,-13142,-15582,-10667,-16201,-15488,-1906,3177,920,1626,-1600,-2894,-3346,-871,817,-1586,-798,-435,-1354,-2396,3529,8509,4276,8508,15120,16148,24265,23807,13397,27387,27392
"16","8","      Other items \4\","B1237C0",0,0,0,0,0,0,0,0,0,8,20,12,48,48,60,40,52,48,48,76,172,864,484,260,168,192,320,1404,1760,788,300,360,460,492,920,444,724,596,892,688,604,672,984,572,496,488,476,712,588,408,604,980,596,686,793,655,1007,845,1311,681,938,850,720,551,603,806,634,585,737,772,782,862,948,997,1066,1065,1311,1331,1520,1618,1350,1093,1237,992,1464,1353,1611,1402,1400,1622,1844,1598,1630,1460,1536,1338,2027,2257,1983,1537,1535,1330,1823,1516,1438,1428,1587,1377,1384
"17","9","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1238C0",2280,2300,2328,2364,2412,2456,2500,2536,2572,2612,2656,2700,2667,2677,2695,2725,2724,2765,2805,2898,2943,2980,3020,3061,3093,3135,3174,3210,3241,3277,3315,3355,3420,3469,3508,3539,3569,3598,3625,3652,3676,3702,3728,3754,3791,3806,3810,3805,3778,3772,3773,3784,3802,3838,3888,3949,4040,4101,4151,4188,4219,4251,4287,4328,4372,4426,4490,4562,4656,4744,4828,4908,4982,5038,5075,5094,5093,5087,5075,5057,5033,5031,5050,5091,5049,5011,4976,4945,4833,4742,4670,4618,4365,4177,4056,4002,4014,4011,3993,3960,3912,3877,3853,3841,3787,3734,3682,3630,3579
"18","10","      Financial services furnished without payment","B1607C0",4781,4905,5067,5243,5158,4574,4633,4599,4482,4315,4263,3928,3980,3705,3584,3739,3853,4803,4821,4807,5574,5613,5887,6282,6810,6851,7370,7477,7376,7505,7176,6919,7170,6964,7782,7416,6934,6468,6397,6341,6616,6617,6866,7273,7511,7472,7255,7282,7355,6939,6935,7231,6930,7012,7098,7020,7770,7555,6739,6472,6603,6934,6809,6870,6991,6872,6511,6066,5909,5873,5835,5831,5922,6158,6237,6247,6188,6160,6181,6351,6462,6744,6770,7572,6971,7398,8072,8855,10049,11371,11242,11362,11205,11092,10691,10520,10526,10509,9939,9938,10699,11107,12040,11926,12029,12103,11614,11557,11435
"19","11","Equals: Exports of services, NIPAs","A646RC0",91453,91156,95653,99066,102342,106339,107412,108776,113766,117500,121014,120116,129204,131071,135787,139092,146899,151810,157537,165699,160245,171055,176240,184546,186391,186330,188664,186651,192797,195818,197019,196974,203574,209857,213038,216075,218471,222122,234878,238937,239456,247047,244266,266571,260862,267954,270005,268087,269305,274999,269248,278459,285156,290714,294934,297681,303310,312152,308226,311896,308142,306777,292696,278374,293955,299662,304965,312272,303497,300969,317867,334463,351696,359492,361288,380497,390729,392443,400804,411912,428911,439550,445328,472779,470162,480791,510993,536708,540222,559105,559270,538553,511459,514711,521069,543755,545723,556999,573032,587740,604652,621014,634830,618395,632061,637942,643521,651312,658415
"20","12","Income receipts, ITAs","B1239C0",102976,97864,94696,92716,97808,106800,109940,118184,130716,131500,137940,146696,155820,163372,162004,163952,167080,168020,167348,184520,168588,148832,142196,137256,136872,139196,130684,128308,133356,133820,137856,139196,148180,158332,172724,186844,202296,212088,210092,216496,220908,219136,225336,239128,248376,260552,262128,256164,265780,268452,257100,255944,269964,285480,304600,321664,334720,356616,348808,369772,329308,305000,277100,258320,267492,280804,297192,285332,301132,312152,323484,352860,386748,402216,423472,450736,500736,516000,546600,586012,623228,680252,704796,730432,763620,827076,869936,875172,863308,856704,833604,702728,593852,579104,613252,640184,655788,670436,677752,708232,731920,762332,780164,768900,776284,772388,769308,787476,771772
"21","13","Less: Statistical differences \2\","B1240C0",-373,-630,-813,-912,-844,-845,-840,-838,-742,-760,-791,-836,-923,-977,-1026,-1069,-974,-1024,-1086,-1160,-1131,-1210,-1283,-1348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1460,1456,1552,1524,1508,1636,1520,1576,1512,1688,1632,1704,1656,1800,1784,1796,1988,2048,1920,1864,2080,2160,2020,1960,2124,2052,2048,2068,2378,2413,2509,2520,4944,5824,5436,216,152,172,188,220,7084,6292,14344,-6900,7724,5028,-7744,1064,8756,4336,30376,21744,45569,36589,33144,18857,18858
"22","14","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1241C0",7515,7924,8257,8528,8751,8942,9114,9284,9495,9704,9952,10233,10267,10430,10601,10781,10980,11003,11098,11259,11538,11835,12147,12464,12788,13085,13368,13627,13904,14204,14420,14511,14871,15218,15560,15895,16171,16416,16632,16829,16895,17161,17513,17951,18541,19090,19650,20203,20882,21289,21575,21758,21554,21804,22224,22823,23787,24593,25409,26207,27187,27965,28524,28868,29110,29328,29544,29776,30069,30346,30611,30871,31295,31689,32050,32378,32845,33241,33565,33817,33472,33318,33353,33580,33285,33243,33454,33919,34415,34793,35052,35192,35604,35941,36202,36387,36495,36618,36755,36905,37069,37193,37275,37316,37502,37690,37878,38067,38257
"23","15","      Imputed interest received from the rest of the world","W320RC0",-522,-530,-540,-560,-578,-640,-680,-714,-643,-654,-691,-704,-776,-790,-708,-658,-584,-521,-511,-504,-420,-428,-450,-418,-441,-497,-504,-554,-602,-614,-674,-710,-718,-739,-717,-774,-833,-884,-928,-979,-1040,-1042,-1115,-1115,-1139,-1217,-1236,-1316,-1311,-1450,-1463,-1348,-1434,-1409,-1445,-1468,-1546,-1664,-1836,-1994,-1972,-1787,-1576,-1389,-1449,-1661,-1768,-1862,-1906,-1942,-1906,-1830,-1827,-1758,-1836,-1871,-2020,-2199,-2289,-2448,-2701,-2921,-2865,-3589,-2533,-2553,-2429,-2309,-2241,-1892,-2432,-2619,-2412,-2843,-2835,-3046,-3212,-3327,-3780,-3965,-4316,-4695,-5082,-5171,-5022,-5096,-5563,-5252,-5245
"24","16","      Adjustment for grossing of parent/affiliate transactions \5\","B2628C0",5848,5928,5644,5516,5160,4976,6184,5356,4696,4680,4952,5488,4624,5196,5232,5336,4924,4660,5384,5640,5716,6312,6120,6304,5368,5056,5100,5732,4948,6632,5400,5208,2636,2868,2960,3244,3088,3512,3492,3580,3168,3404,3444,3592,3860,4020,5000,5332,3964,4356,4352,5024,4580,4660,4764,5500,6056,6112,6528,6676,5892,6076,5664,5456,4184,4972,4692,5372,4060,4096,4416,4576,4040,4408,4612,6140,6100,6312,6600,7568,7388,8184,8828,9272,8212,10636,10064,11436,10244,9884,9256,9124,7852,9132,6948,7196,5708,6368,7596,7796,5464,6888,6900,7776,6412,6712,7344,7036,6087
"25","17","Equals: Income receipts, NIPAs","B645RC0",116190,111816,108870,107112,111985,120923,125398,132948,145006,145990,152944,162549,170858,179185,178155,180480,183374,184186,184405,202075,186553,167761,161296,156954,154587,156840,148648,147113,151606,154042,157002,158205,164969,175679,190527,205209,220722,231132,229288,235926,239931,238659,245178,259556,269638,282445,285542,280383,289315,292647,281564,281378,293204,309079,328591,346995,361509,384021,377389,399085,358903,335566,308080,289551,297681,311643,327876,316822,331367,342604,354685,384613,418176,434395,456278,485423,535537,551302,582428,622881,659009,716419,741603,767175,797640,862578,905589,918002,905574,899317,875292,744205,627812,615042,639223,687621,687055,705067,726067,747904,761381,797382,788881,787077,769607,775105,775823,808470,792013
"26","18","Imports of goods, ITAs","B1242C0",356880,366972,371204,378644,384092,402592,417648,434728,439852,443344,443604,461956,474836,484048,469836,481940,499788,487128,496528,510308,489304,480412,489792,504572,511848,529936,544192,560136,569324,587200,591052,610000,625212,652800,685368,711380,735864,759640,750740,751252,777780,800280,809468,824924,856836,869184,883896,897260,910668,913988,911416,938476,959764,1005372,1063784,1113448,1181600,1213956,1258232,1273104,1245504,1168284,1119436,1081580,1099684,1173484,1197820,1222136,1251076,1252832,1266016,1318428,1390388,1471988,1506252,1584768,1612688,1663436,1704872,1802280,1832216,1871564,1922176,1886820,1918412,1964880,1998492,2063608,2161564,2253732,2267336,1882516,1510836,1464164,1600924,1744176,1827696,1921768,1976028,2030312,2167156,2235948,2261888,2294980,2324652,2313420,2281816,2290968,2280448
"27","19","Less: Gold, ITAs \1\","B1095C0",7420,10484,5008,8512,3020,1888,3612,6616,7480,7056,2236,2672,3200,3664,3416,4324,1652,2128,2772,3256,3256,2968,2300,3064,2260,3552,2688,6732,5336,8404,11560,9984,8792,4688,2824,2648,4396,10816,2524,3432,6760,14640,6156,3436,8704,10956,2964,3808,6748,5456,7332,6572,3255,3154,7395,9267,9576,2961,4233,6741,6123,6487,2183,2423,2022,3452,3010,2943,2378,4086,4076,3792,4084,3282,3996,4841,3833,4043,4407,5448,5718,6155,5560,5141,7840,9759,10692,7012,18021,12550,12633,6611,7322,8363,8789,10895,9713,11765,10304,18425,15224,16212,17112,17017,15639,17444,18491,19925,16765
"28","20","      Statistical differences \2\","B1243C0",2,3,-4,4,-1,0,1,-4,-2,-2,0,5,-21,-15,-26,-23,15,18,27,22,23,28,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3441,3451,4468,3868,5043,5081,4917,5109,5736,4874,5100,4667,4476,5609,5725,5294,7461,7969,6507,6967,9062,10632,11204,10518,12197,12342,12557,13428,13738,16380,16733,13626,4087,4563,3103,3010,3800,3472,3940,3510,4270,4563,5073,4233,1418,1295,7757,9311,-1948,-1429,10773,9298,-7200,-6745,11875,7031,7029
"29","21","Plus: Gold, NIPAs \1\","B1091C0",-460,-432,-612,3076,-836,-1144,-1056,-704,-1500,-1676,-1820,-1184,-1940,-2404,-2162,-2182,-1788,-3579,-2107,-2011,-3144,-2398,-2668,-2799,-2052,-3253,-3255,-2949,-2493,-3566,-3240,-3598,-4670,-3834,-3814,-3471,-3542,-3590,-3567,-3788,-3588,-3653,-4066,-3937,-3738,-3807,-3419,-3441,-3144,-2753,-2693,-2648,-2087,-2167,-2187,-2488,-2776,-2426,-2314,-2403,-2400,-2420,-2315,-2498,-2060,-2211,-2085,-2053,-2279,-2257,-2383,-1769,-2240,-1886,-2008,-1981,-2091,-2092,-2332,-2313,-2747,-2897,-2809,-3868,-3363,-4087,-3892,-4217,-3829,-4056,-4013,-4631,-4498,-4972,-5537,-5521,-7199,-5603,-7206,-8099,-8883,-9700,-10977,-11716,-12418,-11195,-12243,-12411,-10165
"30","22","      Adjustment for U.S. territories and Puerto Rico \3\","B1244C0",8707,9047,9171,9256,9300,9503,9819,10267,10612,11065,11573,12119,12269,12718,13163,13563,14043,14400,14661,14801,14086,16005,15635,15770,15927,14754,15609,14041,14369,14911,15850,16506,15473,17740,16931,17084,17532,19018,15066,16328,17106,16406,15173,14911,17067,17542,20852,20815,20016,21103,21108,23569,24484,24189,24164,22775,24681,24143,33746,30118,30347,30255,29631,28903,28021,30220,32243,32831,29045,32487,28560,30509,26085,26813,32336,33755,34284,26722,34415,30307,32878,38180,27971,23283,35662,31503,31915,24140,26337,28230,23222,23520,26799,28824,23594,24605,31884,29471,27510,41305,20168,23406,16571,20312,20521,20876,21396,18678,25903
"31","23","Equals: Imports of goods, NIPAs","A255RC0",357705,365100,374759,382460,389537,409063,422798,437679,441486,445679,451121,470214,481986,490713,477447,489020,510376,495803,506283,519820,496967,491023,500436,514455,523470,537882,553860,564495,575865,590145,592109,612924,627223,662022,695660,722344,745464,764255,759719,760356,784526,798397,814409,832459,861459,871959,898369,910830,920800,926876,922498,952829,975465,1020788,1073898,1120600,1188886,1227631,1280514,1288969,1261591,1184758,1139469,1100895,1119147,1192432,1219243,1244677,1268003,1271007,1281611,1336409,1401087,1483001,1521380,1601183,1628851,1671680,1719991,1811398,1842891,1884311,1925044,1887467,1938784,1977973,2012720,2073508,2162251,2261884,2269971,1891285,1521545,1475090,1605119,1748132,1841249,1932576,1978271,2035782,2165165,2234872,2239597,2277262,2324316,2312402,2260603,2270279,2272392
"32","24","Imports of services, ITAs","B1245C0",79420,76264,81792,83112,85092,90148,91332,96584,98012,97128,98352,100628,100560,100964,103168,105224,112692,115056,119692,123180,119204,118640,116800,119196,119048,117772,120700,120728,119984,122644,123688,128808,131236,132092,134496,134412,137704,140388,142416,145088,148360,150424,155344,156092,161620,163516,168312,170284,173216,178508,183136,187860,187520,193288,198340,201544,212080,215556,223712,222252,220256,225104,213620,206468,219596,220784,226212,236456,235232,230896,246056,257388,268792,277420,282168,292716,292808,298580,302608,307412,328152,332636,333844,345360,353556,363176,372500,373072,390076,398844,412332,404136,379856,374840,381424,391152,393176,397656,412664,416092,414612,427384,439084,437608,439320,442596,443400,444788,450256
"33","25","Less: Statistical differences \2\","B1246C0",-373,-630,-813,-912,-844,-845,-840,-838,-742,-760,-791,-836,-923,-977,-1026,-1069,-978,-1024,-1090,-1156,-1135,-1210,-1287,-1348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3296,-3648,-4940,-4200,-4880,-5424,-5700,-5404,-5424,-5208,-5832,-5252,-4332,-5564,-5708,-5636,-7500,-8496,-7612,-8276,-9320,-10472,-11676,-12332,-11924,-12140,-13244,-15448,-12412,-14080,-16324,-13080,-1344,-912,-1602,-2662,-2464,-1376,-1649,-2777,-1190,-825,-790,-353,-1687,732,2517,5160,-432,2568,1508,5336,-4496,-4936,-6020,-856,-856
"34","26","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1247C0",1920,1996,2070,2142,2213,2282,2348,2412,2473,2531,2585,2636,2685,2735,2786,2839,2721,2876,3037,3126,3011,3048,3146,3271,3305,3293,3293,3313,3461,3488,3450,3317,3364,3446,3591,3803,3731,3700,3708,3757,3845,3926,4000,4065,4134,4176,4207,4230,4220,4238,4267,4311,4353,4440,4553,4686,4883,5007,5102,5163,5206,5236,5256,5271,5240,5231,5248,5293,5363,5455,5569,5705,5864,5993,6094,6166,6209,6250,6290,6329,6351,6398,6468,6563,6716,6817,6866,6863,6824,6768,6695,6604,6324,6115,5978,5912,5918,5899,5857,5790,5699,5631,5586,5563,5519,5475,5431,5388,5345
"35","27","Equals: Imports of services, NIPAs","B656RC0",81713,78890,84675,86166,88149,93275,94520,99834,101227,100419,101728,104100,104168,104676,106980,109132,116391,118956,123819,127462,123350,122898,121233,123815,122353,121069,123993,124041,123445,126136,127142,132125,134604,135538,138091,138215,141435,144088,146124,148845,152209,154354,159348,160161,165754,167692,172519,174514,177436,182746,187403,192171,195169,201376,207833,210430,221843,225987,234514,232819,230886,235548,224708,216991,229168,231579,237168,247385,248095,244847,259237,271369,283976,293885,299938,311214,310941,316970,322142,329189,346915,353114,356636,365003,361616,370905,380968,382597,399364,406988,420676,413517,387370,381780,388192,397417,400781,402823,416004,416722,420743,430447,443162,437835,449335,453007,454851,451032,456457
"36","28","Income payments, ITAs","B1248C0",81068,83524,78520,83172,86364,91760,95464,101984,109376,112588,121648,128496,137792,146388,142916,138756,143368,142400,146436,140568,136160,127728,124608,111856,110976,113948,108360,104844,102132,109104,107456,124280,126456,141012,157412,172616,178864,186320,198560,193664,191536,198544,208232,216932,235108,240140,250164,251368,252700,258840,260904,257768,262528,273180,295400,302856,320320,339940,337800,335136,309660,277140,272796,191216,239680,271584,273828,245008,274856,272448,284052,287256,302824,343412,353816,406604,422912,449336,469184,537400,571980,633988,672008,687380,719564,761536,746608,705672,708628,697768,657440,607928,492584,481652,461564,496276,480644,493512,506444,520964,511580,540592,535892,524660,556780,542556,550788,559620,563872
"37","29","Less: Statistical differences \2\","B1249C0",-184,-303,-382,-415,-364,-349,-335,-325,-320,-313,-303,-292,-301,-297,-304,-320,-314,-334,-351,-362,-332,-346,-369,-399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3404,3524,3364,3528,3244,3492,3560,3444,3576,3544,3724,3652,3860,4020,3916,4144,4440,4524,4532,4528,4928,5284,5116,5248,6636,6876,6804,6892,6998,7357,7229,7224,6832,-4148,3388,6144,1620,956,944,988,1168,1208,1388,1608,-864,18844,12060,828,-1780,7432,20016,16980,16345,29317,32252,31857,31858
