"","Table 7U# Chain-Type Price Indexes for BEA Retail and Food Servi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"11","3","S1 PN441ZZZMG   Motor vehicle and parts dealers","T070033",84.819,84.605,84.689,85.265,85.671,85.756,85.692,86.023,86.171,86.324,86.446,86.607,86.933,87.113,87.348,87.915,88.282,88.658,89.074,89.298,89.606,90.061,90.507,90.468,90.546,90.727,91.084,91.375,91.677,92.048,92.404,92.76,93.125,93.778,94.311,94.569,94.976,95.142,95.753,95.714,95.732,95.928,95.677,95.822,95.699,95.918,96.131,96.538,96.895,97.328,97.586,97.372,97.441,97.335,97.133,97.566,97.799,97.797,97.627,97.91,97.845,98.221,98.485,98.053,97.873,97.658,97.772,97.719,97.844,98.167,97.747,97.583,97.683,97.506,97.278,97.395,96.951,96.823,97.375,97.562,97.663,97.648,98.002,98.006,98.021,97.911,97.896,97.913,97.975,98.191,98.547,98.795,98.993,98.954,99.042,98.748,98.804,98.785,99.145,99.238,99.502,99.584,99.372,98.991,99.257,99.37,99.679,100.207,100.339,100.23,100.231,100.204,100.285,100.278,100.559,100.474,99.399,100.299,100.447,100.517,100.319,99.976,100.007,100.151,100.226,99.973,100.277,100.394,100.435,100.532,100.31,100.065,99.371,99.111,99.182,98.994,98.792,98.554,98.558,98.065,97.879,97.084,97.157,97.206,97.442,97.847,98.074,98.286,98.534,98.717,98.284,97.796,98.323,98.445,99.132,99.401,99.531,99.735,99.743,99.891,100.201,100.216,99.834,99.502,99.815,100.349,100.508,100.674,100.812,100.823,100.916,101.022,100.954,100.858,101.162,101.26,101.015,101.103,100.882,100.706,100.792,100.659,100.864,100.865,100.848,100.81,100.956,101.048,101.206,101.3,101.672,101.608,101.359,101.108,100.97,100.702,100.626,100.5,100.6,100.515,100.331,99.803,99.472,98.971,98.995,99.147,99.338,99.664,100.068,100.649,100.541,101.015,101.806,102.822,103.739,104.344
"12","4","S4 PN4411ZZMG     Automobile dealers","T070043",83.995,83.753,83.792,84.447,84.87,85.007,84.946,85.314,85.482,85.685,85.815,85.997,86.363,86.586,86.912,87.534,87.991,88.467,88.947,89.217,89.552,90.099,90.611,90.52,90.586,90.756,91.164,91.468,91.803,92.24,92.644,93.062,93.517,94.272,94.798,95.07,95.512,95.68,96.357,96.323,96.317,96.559,96.289,96.432,96.286,96.538,96.77,97.233,97.592,98.062,98.356,98.099,98.173,98.052,97.907,98.371,98.642,98.663,98.494,98.779,98.699,99.107,99.432,98.976,98.753,98.48,98.568,98.537,98.684,99.064,98.601,98.426,98.502,98.315,98.086,98.276,97.771,97.574,98.196,98.397,98.527,98.462,98.845,98.843,98.861,98.756,98.736,98.765,98.847,99.1,99.491,99.749,99.919,99.912,99.947,99.65,99.665,99.613,99.972,100.129,100.41,100.511,100.243,99.864,100.116,100.204,100.5,101.034,101.113,100.987,100.949,100.953,101.029,101.016,101.315,101.225,99.951,100.975,101.143,101.238,101.009,100.607,100.613,100.747,100.813,100.577,100.837,100.936,100.986,101.092,100.811,100.564,99.685,99.362,99.478,99.27,99.05,98.768,98.778,98.176,97.987,97.101,97.129,97.18,97.414,97.831,98.079,98.313,98.592,98.748,98.311,97.79,98.333,98.514,99.286,99.592,99.626,99.852,99.85,100.003,100.34,100.306,99.799,99.368,99.66,100.243,100.403,100.551,100.673,100.65,100.687,100.714,100.562,100.433,100.65,100.672,100.447,100.519,100.196,100.093,100.15,100.001,100.17,100.168,100.159,100.101,100.211,100.328,100.494,100.534,100.888,100.785,100.459,100.114,99.905,99.597,99.426,99.226,99.237,99.075,98.787,98.082,97.608,97.059,97.094,97.215,97.381,97.722,98.197,98.841,98.775,99.323,100.225,101.366,102.388,103.056
"13","5","S4 PN4412ZZMG     Other motor vehicle dealers","T070053",85.874,86.353,86.75,87.648,88.034,87.757,87.779,87.421,87.181,87.59,87.721,87.799,87.746,87.985,87.759,88.173,88.263,88.742,88.653,88.828,88.867,89.376,89.48,89.085,89.396,90.066,90.243,90.724,90.99,90.816,91.307,91.2,91.199,92.038,92.534,92.834,93.391,93.295,93.73,93.792,93.441,93.626,93.496,93.705,93.752,93.652,93.785,93.711,94.254,95.059,95.402,95.35,95.368,95.001,94.292,94.913,94.91,94.163,93.761,94.572,94.625,94.674,94.82,94.613,94.432,94.503,94.706,94.649,94.64,94.706,94.341,94.442,94.983,94.618,94.295,94.385,94.234,94.299,94.672,94.906,94.729,94.64,95.382,95.711,95.487,95.66,95.995,95.898,95.946,96.055,96.434,96.662,96.845,96.527,96.723,96.279,96.624,97.012,97.552,97.764,97.908,97.901,97.87,97.483,97.766,98.053,98.151,98.644,98.889,98.671,98.767,98.596,98.962,98.986,98.901,98.933,99.004,98.984,98.925,98.831,98.552,98.448,98.423,98.593,98.829,97.947,98.152,98.37,98.369,98.885,98.801,98.611,98.744,98.637,98.423,98.406,98.164,98.304,98.195,98.247,97.996,97.254,97.763,97.88,98.12,98.855,99.049,99.174,99.283,99.8,98.688,98.048,98.669,97.98,98.157,98.344,98.973,98.986,99.076,99.297,99.508,99.88,100.098,100.17,100.655,101.096,101.049,101.212,101.417,101.546,101.705,102.294,102.236,102.217,103.247,104.012,103,103.207,103.505,102.281,102.505,102.19,102.572,102.524,102.155,102.235,102.436,102.233,101.955,101.98,102.56,102.328,102.35,102.259,102.14,102.205,102.58,102.452,102.795,102.52,102.595,102.697,102.468,101.757,101.527,101.728,101.981,102.349,102.602,103.05,102.801,103.011,103.538,104.225,104.449,104.538
"14","6","S2 PN4413ZZMG     Automotive parts, accessories and tire stores","T070063",91.276,91.014,91.366,91.089,91.343,91.102,90.979,91.268,91.389,90.983,91.021,91.025,91.174,90.913,90.542,90.679,90.352,89.775,89.846,89.667,89.858,89.445,89.417,90.024,90.099,90.177,90.132,90.202,90.212,90.247,90.088,90.1,89.821,89.459,90.075,90.19,90.199,90.467,90.571,90.431,90.848,90.635,90.494,90.63,90.624,90.703,90.777,90.907,91.147,91.069,90.954,91.065,91.113,91.267,90.796,90.857,90.873,91.026,90.97,90.976,90.983,91.236,91.021,90.704,90.896,91.046,91.34,91.101,91.094,91.044,90.979,90.782,90.857,90.876,90.713,90.174,90.126,90.536,90.541,90.568,90.566,91.049,90.913,90.787,90.907,90.592,90.415,90.394,90.263,90.195,90.195,90.357,90.833,90.668,91.194,91.032,91.311,91.341,91.593,90.97,91.15,91.1,91.326,90.936,91.326,91.57,92.141,92.647,93.212,93.377,93.728,93.491,93.406,93.429,93.781,93.664,93.865,94.086,94.209,94.165,94.358,94.445,94.783,95.004,95.05,95.095,95.933,96.17,96.136,95.823,96.131,95.844,96.517,96.791,96.602,96.506,96.525,96.455,96.474,96.716,96.624,96.769,96.926,96.888,97.131,97.115,97.13,97.185,97.236,97.407,97.625,97.637,97.909,98.129,98.338,98.296,99.004,99.168,99.197,99.235,99.351,99.54,99.985,100.345,100.699,100.818,101.159,101.497,101.739,101.993,102.606,103.1,103.919,104.097,104.664,104.973,105.211,105.369,105.749,105.799,106.067,106.268,106.696,106.772,107.009,107.067,107.564,107.655,108.155,108.896,109.268,109.781,110.104,110.712,111.3,111.129,111.603,112.225,112.963,113.783,114.375,114.906,115.694,115.724,115.87,116.288,116.663,116.86,116.781,116.933,116.577,116.525,116.473,116.638,117.086,117.478
"15","7","S1 PN44DZZZMG   Furniture, home furnishings, electronics and appliance stores","T070073",147.456,148.282,148.874,149.554,148.69,148.687,149.148,148.644,148.41,149.032,149.434,148.268,148.447,148.561,148.902,149.247,148.764,149.082,149.126,149.386,149.248,149.892,149.886,149.863,150.347,150.194,149.706,150.004,150.916,151.289,151.527,151.215,150.733,150.254,149.879,149.291,149.723,150.378,150.121,150.37,150.114,149.054,149.415,149.759,149.603,149.317,148.336,148.635,148.65,148.476,148.243,148.184,147.295,147.358,147.161,147.523,147.379,147.165,146.631,146.172,145.565,145.761,145.461,144.408,144.488,144.399,143.472,142.693,142.619,142.226,141.555,141.432,140.753,140.288,140.467,140.691,139.489,139.054,138.981,137.91,137.255,136.771,135.737,135.196,135.032,134.435,133.847,133.95,132.796,132.33,132.05,131.159,130.713,129.952,129.125,128.908,128.822,128.475,128.746,128.179,128.275,127.604,127.507,126.709,127.108,126.467,125.844,125.158,124.657,124.186,123.122,122.913,121.838,121.37,120.998,120.045,119.563,119.08,118.66,118.024,117.578,116.852,116.386,116.214,116.113,115.609,114.99,114.487,113.858,113.483,112.676,112.086,111.556,110.988,110.466,110.15,108.932,108.309,107.994,107.332,106.765,106.686,106.251,105.78,105.709,105.633,105.311,105.077,104.501,104.439,103.707,103.121,102.894,102.858,102.21,101.665,101.684,101.109,101.167,101.149,100.94,100.189,99.908,99.315,99.029,98.683,98.412,98.415,98.082,97.68,97.381,96.969,96.323,95.754,95.458,95.341,94.592,94.388,93.838,93.36,92.713,92.724,92.359,91.825,91.293,90.99,90.36,89.697,89.353,88.917,88.273,87.877,87.818,87.571,87.443,86.428,86.123,85.977,85.941,86.03,85.885,85.759,85.22,84.751,84.447,84.236,83.925,83.686,83.292,82.816,81.936,81.088,80.748,80.238,80.012,79.566
"16","8","S1 PN442ZZZMG     Furniture and home furnishings stores","T070083",98.746,99.418,100.333,101.198,100.019,100.292,100.665,99.96,99.73,100.374,101.082,100.056,100.159,100.159,100.891,101.295,100.766,101.256,101.386,101.62,101.62,102.211,102.278,102.399,103.21,102.89,102.181,102.871,104.115,104.542,104.807,104.429,103.694,103.37,103.107,102.398,102.905,103.894,104.066,104.146,103.823,103.625,104.383,105.124,105.274,105.303,104.206,104.741,105.349,105.074,104.896,105.246,104.683,105.001,104.915,105.525,106.004,105.654,105.201,105.19,105.112,105.49,105.628,105.862,106.402,106.3,105.69,105.165,105.391,105.37,104.73,105.031,104.898,105.071,105.752,106.507,105.91,106.05,106.72,106.344,105.969,105.959,105.673,105.889,105.957,105.648,105.77,106.593,105.472,105.435,105.689,105.277,105.518,105.017,104.414,104.265,104.695,104.958,105.912,105.799,105.089,104.71,105.375,105.08,106.164,105.9,105.833,105.507,105.427,105.503,105.069,105.349,104.564,104.491,104.461,104.059,104.052,103.704,103.697,103.304,103.193,102.807,102.942,103.198,103.326,103.207,103.098,102.789,102.845,102.66,102.28,101.829,101.694,101.616,101.249,101.555,100.564,100.479,100.695,100.45,100.204,100.253,99.812,99.601,100.069,100.29,100.324,100.2,99.824,100.553,99.96,99.427,99.466,100.088,99.91,99.717,99.942,99.59,100.16,100.486,100.617,99.871,100.083,99.766,99.525,99.622,99.904,100.432,100.378,100.04,99.796,99.968,99.982,100.043,100.018,100.344,99.753,99.924,99.774,99.368,99.108,99.552,99.529,99.088,98.926,99.151,98.785,98.312,97.982,97.42,97.525,97.308,97.733,97.654,98.205,96.912,96.792,97.112,97.441,97.673,98.019,98.091,97.454,96.878,97.182,97.456,97.875,97.923,97.921,97.962,97.442,96.325,96.926,96.395,95.795,95.62
"17","9","S4 PN4421ZZMG       Furniture Stores","T070093",98.532,99.894,101.483,102.414,100.454,100.918,101.433,100.411,100.333,101.512,102.04,101.206,101.659,101.234,102.122,102.263,101.826,102.394,102.075,102.368,102.892,103.681,103.588,103.695,104.447,104.265,104.1,105.086,105.867,106.429,106.479,106.275,105.195,104.981,104.469,104.282,104.68,105.629,105.954,105.978,105.62,105.642,106.552,107.11,107.174,106.952,106.473,107.366,107.711,107.073,106.927,107.635,107.079,107.851,107.636,107.915,108.494,107.729,107.644,107.644,106.706,106.834,107.495,107.82,108.966,108.753,107.623,107.363,107.711,107.766,107.055,106.694,106.264,106.67,107.599,108.138,107.355,107.562,108.369,107.953,107.363,107.141,106.933,107.505,107.233,107.169,107.644,108.389,106.999,107.013,107.295,106.923,107.303,106.591,106.13,106.153,106.666,106.874,107.707,106.923,106.167,105.591,106.071,105.943,107.66,107.063,106.923,106.518,105.998,106.193,106.045,106.254,105.447,105.249,105.057,104.5,104.453,103.976,103.887,103.465,103.005,102.938,103.243,103.261,103.389,103.378,103.296,102.884,102.844,102.738,102.406,102.284,102.069,102.301,101.896,102.169,101.536,101.42,101.543,101.335,101.157,100.85,100.36,100.42,101.035,101.504,101.525,101.077,100.662,102.012,101.14,100.275,100.295,100.741,100.238,100.204,100.365,99.557,100.341,100.665,100.807,99.637,99.866,99.408,99.288,99.429,99.989,100.749,100.648,100.299,100.076,100.641,100.876,101.039,100.811,100.936,100.174,100.405,100.158,99.794,99.611,100.403,100.569,100.319,99.9,100.037,99.635,99.193,98.66,97.848,98.097,97.505,97.75,97.781,99.129,98.076,97.357,97.718,98.118,98.23,98.709,98.806,97.997,97.029,97.291,97.721,98.484,98.802,98.869,98.816,98.07,96.545,97.212,96.649,96.024,96.082
"18","10","S4 PN4422ZZMG       Home furnishings stores","T070103",99.535,99.163,99.052,99.822,99.835,99.817,99.971,99.744,99.282,99.119,100.103,98.784,98.376,98.989,99.491,100.297,99.627,99.999,100.805,100.949,100.175,100.475,100.778,100.92,101.822,101.301,99.819,100.096,101.992,102.239,102.807,102.189,101.928,101.443,101.516,100.086,100.75,101.796,101.759,101.907,101.628,101.126,101.677,102.671,102.936,103.309,101.368,101.443,102.405,102.624,102.402,102.258,101.685,101.404,101.492,102.541,102.891,103.084,102.155,102.131,103.188,103.904,103.346,103.458,103.205,103.253,103.322,102.45,102.517,102.396,101.844,103.028,103.284,103.142,103.49,104.529,104.177,104.229,104.725,104.4,104.3,104.563,104.174,103.941,104.437,103.819,103.507,104.442,103.66,103.558,103.766,103.298,103.368,103.124,102.35,101.987,102.311,102.638,103.738,104.449,103.799,103.668,104.572,104.068,104.368,104.506,104.527,104.301,104.773,104.707,103.928,104.296,103.536,103.615,103.781,103.568,103.61,103.427,103.522,103.158,103.469,102.682,102.603,103.152,103.277,103.028,102.886,102.701,102.871,102.592,102.157,101.329,101.289,100.871,100.547,100.892,99.509,99.459,99.773,99.488,99.171,99.604,99.218,98.71,99.013,98.964,99.011,99.239,98.905,98.946,98.656,98.487,98.549,99.369,99.556,99.187,99.484,99.635,99.968,100.298,100.418,100.145,100.336,100.178,99.797,99.843,99.813,100.083,100.079,99.752,99.484,99.23,99.007,98.958,99.148,99.694,99.286,99.392,99.346,98.895,98.551,98.618,98.388,97.739,97.855,98.174,97.847,97.342,97.229,96.938,96.89,97.082,97.713,97.516,97.198,95.637,96.171,96.449,96.708,97.073,97.273,97.314,96.858,96.708,97.074,97.18,97.215,96.962,96.885,97.032,96.763,96.101,96.627,96.133,95.561,95.131
"19","11","S1 PN443ZZZMG     Electronics and appliance stores","T070113",226.898,227.827,227.256,227.165,227.507,226.743,227.276,227.505,227.34,227.673,227.104,225.965,226.277,226.657,225.847,225.927,225.718,225.491,225.309,225.562,225.13,225.737,225.557,225.194,224.8,225.073,225.237,224.54,224.464,224.633,224.761,224.664,224.857,224.119,223.557,223.325,223.492,223.307,222.181,222.736,222.654,219.974,219.449,218.918,218.163,217.281,216.672,216.445,215.29,215.327,215.015,214.155,212.739,212.292,211.905,211.722,210.375,210.456,209.836,208.549,206.967,206.773,205.633,202.168,201.334,201.28,199.852,198.677,198.027,196.957,196.306,195.365,193.708,192.069,191.284,190.492,188.279,186.825,185.42,183.207,182.108,180.825,178.545,176.709,176.149,175.094,173.31,172.178,171.036,169.867,168.703,167.057,165.468,164.32,163.161,162.836,161.89,160.546,159.672,158.384,159.808,158.695,157.326,155.745,155.019,153.802,152.312,151.094,149.956,148.633,146.617,145.649,144.164,143.094,142.207,140.443,139.262,138.591,137.576,136.598,135.67,134.462,133.134,132.356,131.932,130.893,129.577,128.812,127.245,126.619,125.243,124.472,123.415,122.198,121.481,120.326,118.824,117.494,116.491,115.302,114.335,114.098,113.672,112.879,112.144,111.699,110.939,110.572,109.761,108.774,107.877,107.228,106.69,105.893,104.707,103.765,103.556,102.735,102.237,101.848,101.272,100.515,99.71,98.825,98.491,97.679,96.835,96.298,95.689,95.226,94.872,93.881,92.592,91.418,90.868,90.34,89.45,88.907,88.003,87.469,86.49,86.121,85.459,84.849,84.005,83.259,82.417,81.608,81.255,80.923,79.7,79.175,78.75,78.382,77.752,76.963,76.53,76.056,75.764,75.751,75.277,75.018,74.556,74.167,73.456,72.936,72.173,71.756,71.121,70.33,69.251,68.601,67.692,67.218,67.23,66.642
"20","12","S1 PN444ZZZMG   Building material and garden equipment and supplies dealers","T070123",82.077,83.535,84.554,84.994,84.984,84.532,84.24,84.193,84.732,84.672,85.042,86.214,87.614,89.702,91.914,92.922,92.517,91.279,91.089,90.921,91.281,92.218,93.153,93.806,94.779,94.183,94.794,93.813,93.425,93.927,93.576,93.418,93.727,93.686,94.028,93.887,93.986,93.674,94.176,94.225,94.202,93.709,93.741,94.119,94.427,94.164,93.71,93.771,93.728,93.782,93.96,93.913,95.072,95.15,94.862,95.642,96.585,95.752,96.342,96.573,96.778,97.42,97.979,98.016,98.332,97.824,97.818,97.527,97.357,96.396,96.395,96.137,96.027,96.022,95.942,95.543,94.818,94.099,94.294,94.472,93.515,92.655,92.58,92.803,92.953,93.368,93.721,93.739,94.172,95.205,96.326,95.866,94.814,93.974,94.041,94.401,94.606,94.719,95.247,94.861,94.008,93.966,93.704,92.911,93.028,93.124,93.1,93.129,93.072,93.076,93.168,93.002,94.35,94.667,93.748,93.858,93.618,92.476,91.947,91.572,91.829,92.149,92.881,93.032,92.688,92.519,92.626,92.813,92.513,92.044,92.003,91.885,91.919,92.404,92.339,92.253,92.314,92.4,93.006,93.229,94.904,94.998,95.251,95.148,95.606,97.237,98.5,99.699,100.545,99.517,99.238,100.206,100.283,99.072,98.025,98.329,99.074,99.861,100.132,100.292,99.729,100.196,100,99.771,100.301,100.642,99.965,100.036,100.758,101.219,101.273,101.262,101.264,100.451,100.092,99.532,99.702,98.773,99.297,99.839,100.305,100.935,101.41,101.265,101.1,101.5,101.691,101.05,100.912,100.788,100.666,100.941,100.651,100.676,101.002,101.097,101.584,101.303,101.657,101.931,102.212,101.97,101.254,101.181,100.481,100.342,100.071,100.282,100.524,100.726,100.852,99.874,99.86,99.624,99.617,99.626
"21","13","S2 PN4441ZZMG     Building material and supplies dealers","T070133",81.118,82.826,83.944,84.451,84.46,83.849,83.576,83.582,84.229,84.24,84.672,85.869,87.513,90.074,92.666,93.804,93.372,91.995,91.563,91.32,91.788,92.807,93.743,94.447,95.652,94.846,95.554,94.472,93.96,94.453,94.047,93.885,94.204,94.165,94.615,94.475,94.567,94.214,94.717,94.717,94.681,94.068,94.077,94.396,94.662,94.248,93.477,93.374,93.237,93.251,93.253,93.077,94.342,94.57,94.217,95.071,96.006,95.322,96.085,96.176,96.539,97.331,97.808,97.799,98.149,97.712,97.854,97.529,97.275,96.401,96.42,96.174,96.151,96.304,96.422,96.127,95.332,94.486,94.618,94.957,94.117,93.191,93.057,93.383,93.607,94.155,94.632,94.536,95.095,96.239,97.65,97.043,95.754,94.709,94.888,95.224,95.464,95.413,95.89,95.436,94.365,94.29,93.992,93.21,93.18,93.219,93.14,92.988,92.606,92.71,92.917,92.82,94.442,94.796,93.815,93.917,93.662,92.46,91.956,91.647,91.971,92.403,93.17,93.275,92.87,92.57,92.569,92.739,92.339,91.831,91.798,91.664,91.606,92.058,91.847,91.788,91.861,91.984,92.654,92.896,94.616,94.711,94.784,94.625,95.081,96.822,98.076,99.182,100.101,99.098,98.731,100.054,100.161,98.861,97.714,98.09,98.886,99.828,100.226,100.355,99.77,100.317,100.057,99.704,100.214,100.637,99.961,100.045,100.732,101.32,101.392,101.371,101.38,100.507,100.126,99.536,99.79,98.71,99.116,99.542,99.931,100.347,100.678,100.481,100.34,100.734,100.884,100.235,100.051,99.754,99.411,99.457,99.185,99.29,99.596,99.685,100.218,99.924,100.195,100.516,100.805,100.557,99.902,99.927,99.124,98.867,98.551,98.859,99.11,99.178,99.312,98.227,98.303,98.062,98.049,98.091
"22","14","S3 PN4442ZZMG     Lawn and garden equipment and supplies stores","T070143",87.23,87.299,87.777,87.831,87.715,88.184,87.802,87.457,87.361,86.894,86.913,87.948,87.925,87.246,87.239,87.514,87.301,86.867,88.058,88.327,88.072,88.528,89.458,89.813,89.468,90.049,90.113,89.703,90.014,90.577,90.566,90.435,90.689,90.639,90.295,90.157,90.316,90.265,90.768,91.119,91.174,91.417,91.585,92.299,92.843,93.478,94.917,96.004,96.549,96.847,98.145,98.9,99.378,98.518,98.635,98.972,99.963,98.23,97.793,98.857,98.128,97.889,98.927,99.235,99.347,98.418,97.552,97.449,97.761,96.293,96.179,95.84,95.242,94.341,93.155,92.176,91.822,91.825,92.411,91.636,89.998,89.528,89.791,89.437,89.164,88.809,88.42,89.132,88.797,89.169,88.572,88.966,89.327,89.712,89.101,89.601,89.6,90.651,91.471,91.485,92.085,92.268,92.241,91.382,92.419,92.884,93.23,94.405,96.394,95.803,95.166,94.544,94.235,94.304,93.748,93.887,93.747,93.016,92.315,91.444,91.206,90.749,91.222,91.681,91.758,92.501,93.382,93.693,94.126,93.944,93.847,93.851,94.573,95.307,96.33,96.056,96.035,95.857,95.99,96.074,97.383,97.455,99.175,99.524,99.997,100.742,102.094,104.039,104.291,103.039,103.51,101.502,101.341,100.853,100.647,100.36,100.667,100.139,99.338,99.762,99.377,99.162,99.51,100.338,101.062,100.681,99.996,99.966,101.024,100.277,100.183,100.284,100.232,99.965,99.795,99.508,98.963,99.354,100.907,102.454,103.591,106.122,107.82,108.181,107.807,108.262,108.791,108.221,108.498,109.829,111.467,113.613,113.151,112.489,112.967,113.099,113.206,113.019,114.015,113.933,114.158,113.958,112.782,112.024,112.053,112.781,112.845,112.363,112.547,113.732,113.829,113.663,112.944,112.764,112.817,112.566
"23","15","S1 PN445ZZZMG   Food and beverage stores","T070153",74.276,74.546,74.761,74.78,74.692,74.928,74.972,75.412,75.554,75.57,75.534,75.598,75.717,75.903,75.888,76.054,76.544,76.356,76.307,76.369,76.258,76.543,76.631,76.858,76.954,76.937,76.804,76.986,77.149,77.451,77.636,77.63,77.679,77.562,77.63,77.969,77.928,78.153,78.119,78.637,78.736,78.759,78.91,79.029,79.204,79.479,79.462,79.636,79.915,80.27,80.648,80.936,80.965,81.358,81.708,81.889,82.215,82.638,82.796,82.791,82.745,83.115,82.998,83.085,83.019,83.094,83.152,83.288,83.383,83.475,83.652,83.627,83.92,83.941,83.914,84.128,84.369,84.369,84.591,84.828,84.84,85.165,85.205,85.636,86.122,86.111,85.96,86.333,86.38,86.443,86.666,86.809,87.271,87.315,87.522,87.609,87.704,87.973,88.321,88.528,88.871,88.96,89.419,89.669,89.86,89.862,89.948,90.391,90.474,91.004,91.143,91.401,91.566,91.918,92.255,92.28,92.528,92.683,92.619,92.426,92.807,93.163,93.26,93.752,93.209,93.274,93.408,93.444,93.497,93.396,93.671,93.644,93.831,94.249,94.459,94.345,94.278,94.841,95.039,95.418,95.691,95.884,96.329,96.812,96.688,96.813,97.186,97.333,98.048,98.213,98.312,98.4,98.277,98.943,99.342,99.231,98.992,98.884,99.082,99.923,99.897,99.774,100.094,100.223,100.612,100.707,100.861,100.952,101.276,101.206,101.328,101.264,101.392,101.705,101.918,102.182,102.453,102.606,102.475,102.501,103.111,103.906,104.346,104.708,105.032,105.481,105.701,105.96,106.353,106.767,107.285,107.563,108.308,108.794,109.149,110.368,110.869,111.722,112.957,113.523,114.136,114.296,113.868,113.387,113.55,113.501,113.34,113.329,113.087,113.627,113.332,113.482,113.254,113.427,113.633,113.819
"24","16","S1 PN4451ZZMG     Grocery stores","T070163",73.942,74.216,74.429,74.456,74.345,74.59,74.638,75.096,75.23,75.241,75.205,75.271,75.385,75.572,75.565,75.738,76.261,76.06,76.011,76.083,75.969,76.275,76.358,76.592,76.687,76.674,76.538,76.731,76.905,77.213,77.404,77.41,77.466,77.348,77.41,77.766,77.729,77.959,77.918,78.447,78.545,78.57,78.738,78.841,79.026,79.311,79.287,79.484,79.753,80.113,80.492,80.792,80.81,81.205,81.562,81.745,82.073,82.505,82.665,82.647,82.594,82.967,82.842,82.923,82.843,82.924,82.98,83.106,83.205,83.295,83.487,83.454,83.762,83.789,83.766,83.973,84.221,84.216,84.455,84.697,84.691,85.022,85.06,85.48,85.981,85.949,85.804,86.18,86.222,86.288,86.501,86.647,87.108,87.154,87.356,87.422,87.513,87.783,88.127,88.329,88.697,88.772,89.242,89.5,89.702,89.696,89.774,90.236,90.312,90.862,91.006,91.263,91.43,91.795,92.126,92.153,92.394,92.553,92.475,92.279,92.663,93.022,93.141,93.647,93.062,93.115,93.254,93.278,93.34,93.221,93.512,93.48,93.67,94.115,94.324,94.201,94.115,94.704,94.909,95.3,95.577,95.777,96.232,96.721,96.583,96.749,97.123,97.234,98.013,98.172,98.281,98.36,98.205,98.908,99.31,99.191,98.945,98.825,99.035,99.916,99.903,99.77,100.113,100.239,100.642,100.742,100.886,100.985,101.303,101.208,101.343,101.278,101.402,101.713,101.952,102.245,102.536,102.676,102.529,102.55,103.186,104.001,104.433,104.817,105.144,105.589,105.827,106.087,106.522,106.931,107.481,107.76,108.486,108.958,109.355,110.597,111.134,112.062,113.357,113.933,114.543,114.681,114.172,113.626,113.776,113.736,113.533,113.535,113.248,113.822,113.49,113.63,113.414,113.574,113.755,113.982
