"","Table 4#2#4# Price Indexes for Exports and Imports of Goods and ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"16","9","    Computers, peripherals, and parts","B850RG3",8186.145,7337.722,6324.109,5450.929,4905.806,3868.826,3541.051,3073.562,2657.341,2245.38,1942.266,1557.769,1434.084,1349.946,1093.659,881.381,735.106,628.541,536.7,501.057,457.856,406.475,366.361,319.679,278.582,254.457,226.638,190.226,163.643,143.815,130.409,124.01,120.042,112.616,109.965,108.375,100,95.498,88.296,80.899,75.406,73.457,69.612
"17","10","    Other","B689RG3",53.246,56.975,57.814,58.912,60.942,70.867,85.394,93.568,97.764,104.175,111.552,125.293,141.579,145.676,144.304,144.921,137.47,133.707,134.51,138.688,138.641,133.191,132.146,128.248,126.019,123.282,118.156,111.397,106.743,105.229,104.371,103.735,103.253,102.193,100.068,99.129,100,100.877,99.929,99.679,99.364,99.961,100.949
"18","11","  Automotive vehicles, engines, and parts","B641RG3",20.544,20.859,22.318,23.239,24.899,28.307,32.919,35.672,39.193,42.766,50.166,58.052,66.301,70.788,73.313,75.459,77.137,78.914,80.465,82.086,84.021,86.419,88.827,90.533,91.315,92.185,93.334,94.359,95.116,95.215,95.802,96.597,96.928,97.418,98.11,98.882,100,101.219,102.388,103.642,104.183,104.737,106.503
"19","12","  Consumer goods, except automotive","B642RG3",31.499,31.928,33.141,34.865,38.313,41.047,45.667,49.52,50.96,56.24,65.712,68.852,71.608,72.504,73.359,74.523,74.292,76.998,79.452,82.636,85.69,88.572,91.523,93.487,94.586,94.916,96.205,97.477,98.199,98.206,97.868,98.271,97.919,97.42,97.975,98.9,100,101.277,103.409,105.612,105.843,106.99,108.435
"20","13","    Durable goods","B690RG3",26.013,26.84,29.892,31.246,36.547,37.737,41.608,44.811,45.464,52.226,63.566,71.329,75.037,77.107,79.043,78.15,77.152,80.62,82.403,85.508,88.809,91.711,94.087,95.064,95.306,95.734,96.525,97.656,98.6,98.326,97.714,98.411,98.51,98.245,98.648,98.99,100,100.93,101.979,103.991,104.734,103.464,104.771
"21","14","    Nondurable goods","B691RG3",37.928,37.91,37.309,39.461,40.832,45.45,51.013,55.676,58.052,61.615,68.879,66.699,68.486,68.347,68.359,71.009,71.34,73.451,76.412,79.646,82.455,85.323,88.892,91.873,93.863,94.092,95.886,97.302,97.796,98.098,98.051,98.135,97.291,96.54,97.255,98.8,100,101.694,105.225,107.683,107.312,111.183,112.797
"22","15","  Other","B643RG3",23.182,24.496,25.264,26.137,30.51,38.082,42.529,44.248,46.256,49.241,55.93,62.455,67.523,68.345,69.281,71.73,70.098,69.099,72.132,77.776,80.22,81.792,83.195,83.675,85.019,87.643,91.925,91.769,90.816,88.74,88.233,89.974,89.682,89.611,92.016,96.051,100,103.921,108.365,116.086,108.481,114.364,123.983
"23","16","Exports of services \1\","B646RG3",23.708,24.164,25.751,28.36,29.681,33.11,35.334,37.468,39.579,42.446,45.749,51.381,55.845,59.233,61.553,62.231,63.928,66.007,67.587,68.937,70.783,74.414,78.131,80.13,81.142,82.14,83.872,85.491,86.335,86.285,87.314,89.92,90.042,90.202,92.533,95.598,100,103.718,107.146,111.574,109.002,112.74,116.972
"24","17","  Transfers under U.S. military agency sales contracts","B267RG3",34.03,32.578,35.383,46.367,48.201,50.716,53.899,58.09,61.65,65.37,69.468,75.55,82.022,88.401,90.78,93.117,91.646,85.974,81.644,79.692,80.562,83.339,86.205,87.636,90.35,94.169,96.611,97.035,94.806,92.953,96.934,95.902,94.091,93.988,95.087,96.573,100,103.053,104.974,107.551,108.26,109.49,111.375
"25","18","  Travel","B493RG3",20.153,21.321,22.202,22.98,24.225,26.311,28.346,30.418,32.508,35.345,38.744,43.509,48.07,51.751,54.135,56.958,59.493,61.197,64.093,66.366,68.297,71.923,76.374,77.888,78.503,78.848,79.809,81.717,83.561,84.519,86.786,90.868,91.358,90.619,92.461,95.709,100,104.366,108.154,113.021,108.239,111.537,117.229
"26","19","  Passenger fares","B533RG3",22.754,22.865,25.023,26.355,26.633,30.298,33.732,35.829,36.655,36.655,35.866,40.321,44.311,46.399,46.399,45.238,43.568,45.236,48.144,51.146,52.356,55.995,61.658,63.416,64.59,66.184,69.853,69.883,66.544,65.404,70.52,72.431,73.029,75.203,84.092,92.744,100,100.447,109.377,119.97,105.048,122.031,135.441
"27","20","  Other transportation","B683RG3",25.883,26.89,28.87,27.837,29.405,35.859,37.242,39.837,41.413,44.759,48.663,57.065,61.37,62.704,66.467,60.324,62.888,67.436,66.633,66.365,69.67,74.603,76.131,76.48,77.612,77.26,78.651,80.812,81.027,78.243,78.836,86.955,86.028,84.9,87.774,91.043,100,105.387,106.367,115.142,109.047,113.113,120.666
"28","21","  Royalties and license fees","B684RG3",20.276,21.338,22.563,23.526,25.013,27.498,29.962,31.884,34.281,36.963,40.401,44.638,48.866,51.672,53.944,56.278,58.332,60.031,62.178,64.584,67.45,70.592,73.246,75.347,77.214,78.945,80.882,82.662,84.133,84.822,86.114,88.293,90.111,91.441,93.555,96.464,100,103.386,106.357,109.73,109.72,111.329,114.055
"29","22","  Other private services","B720RG3",27.593,29.056,30.722,31.942,33.376,35.836,38.45,40.569,43.034,45.531,48.123,53.184,57.067,60.818,64.146,66.917,69.751,72.002,75.022,76.054,77.572,80.884,84.23,86.526,88.309,89.534,91.399,93.24,94.379,94.267,92.635,93.054,92.626,92.581,94.15,96.61,100,103.753,107.218,110.247,109.427,111.944,115.083
"30","23","  Other","B980RG3",24.325,25.302,26.2,27.113,27.835,31.999,34.011,33.703,35.068,38.463,42.632,48.142,52.331,56.294,55.393,56.853,57.146,61.351,62.696,65.198,63.877,65.858,69.946,76.495,72.415,72.959,73.684,74.672,79.352,82.367,83.653,87.6,87.93,91.029,94.092,96.257,100,101.858,105.322,113.361,110.241,128.675,127.648
"31","24","    Imports of goods and services","B021RG3",22.27,23.587,25.035,26.789,31.446,44.989,48.734,50.201,54.624,58.482,68.483,85.301,89.886,86.855,83.601,82.879,80.157,80.154,85.008,89.074,91.021,93.63,92.848,92.922,92.21,93.075,95.625,93.958,90.691,85.809,86.311,90.027,87.824,86.846,89.851,94.164,100,104.131,107.785,119.237,106.598,112.989,121.851
"32","25","Imports of goods \1\","B255RG3",22.684,24.225,25.467,27.418,32.317,48.36,52.411,53.812,58.742,62.66,73.888,93.234,98.425,94.449,90.501,89.878,86.342,84.408,90.427,94.735,97.386,99.174,97.299,96.767,95.686,96.383,98.952,96.444,92.46,86.875,86.948,91.205,88.557,87.004,89.541,93.895,100,104.192,107.791,120.254,105.379,112.52,122.482
"33","26","  Foods, feeds, and beverages","B647RG3",26.29,28.897,28.981,31.048,38.039,47.648,49.151,51.713,63.251,63.766,70.774,83.731,80.441,74.319,73.756,75.679,72.438,78.949,78.394,82.028,80.108,81.831,85.046,84.874,84.674,91.975,96.192,94.156,95,91.986,88.956,87.798,85.163,86.18,89.873,94.57,100,103.764,111.679,123.331,119.665,130.671,149.924
"34","27","  Industrial supplies and materials, except petroleum and products","B649RG3",19.979,20.753,21.133,22.659,27.037,39.076,40.465,40.159,43.812,47.05,56.072,67.567,68.42,65.807,62.379,61.669,57.997,58.084,62.056,71.199,74.863,73.169,72.133,71.477,70.913,73.038,79.472,78.343,78.256,74.392,73.987,81.103,80.256,75.121,81.372,90.758,100,105.043,110.93,128.351,104.654,115.983,127.845
"35","28","    Durable goods","B820RG3",19.414,20.139,20.534,22.09,26.474,38.362,39.751,39.299,42.912,46.158,55.06,66.492,67.352,64.792,61.337,60.68,57.552,59.177,64.085,76.031,80.35,76.945,74.706,74.798,74.863,77.519,83.513,82.325,83.809,79.865,80.01,84.553,81.55,78.58,80.571,94.803,100,109.641,118.058,130.376,110.105,125.778,138.316
"36","29","    Nondurable goods","B696RG3",20.787,21.639,21.99,23.454,27.777,39.968,41.346,41.255,44.953,48.159,57.316,68.846,69.69,67.005,63.6,62.829,58.55,56.958,59.958,66.372,69.419,69.253,69.247,67.982,66.9,68.541,75.337,74.269,72.74,68.962,68.018,77.633,78.83,71.663,82,86.541,100,99.981,103.131,125.543,98.937,106.446,117.618
"37","30","  Petroleum and products","B648RG3",4.947,5.06,5.517,5.756,7.332,24.082,24.863,26.385,28.535,28.552,40.085,65.31,73.468,67.52,60.668,60.524,57.053,30.784,36.924,30.808,36.599,44.311,36.936,35.23,32.1,29.944,33.325,39.902,37.802,25.083,33.145,55.707,46.603,47.679,57.473,73.094,100,122.383,136.54,195.056,118.261,155.495,207.16
"38","31","  Capital goods, except automotive","B650RG3",105.199,117.451,129.191,138.033,156.224,174.214,189.756,189.337,201.966,215.816,224.954,245.049,244.54,232.635,218.783,202.078,182.023,188.354,195.07,203.19,197.36,189.324,183.265,176.086,171.467,168.902,164.758,144.159,127.527,117.993,112.803,110.213,106.939,103.441,102.039,100.712,100,99.203,98.792,99.2,97.324,96.592,96.839
"39","32","    Civilian aircraft, engines, and parts","B932RG3",17.478,18.458,19.244,19.609,20.437,22.744,24.174,27.182,29.867,32.118,35.822,40.193,43.928,48.056,50.56,51.869,53.131,54.008,52.75,54.583,57.107,59.976,66.645,68.277,70.291,72.395,74.176,77.431,80.347,81.716,83.177,85.866,89.184,91.034,93.273,96.433,100,103.92,109.264,115.949,122.356,125.628,130.566
"40","33","    Computers, peripherals, and parts","B852RG3",8987.529,7851.177,6674.283,5773.807,5210.162,4099.575,3747.696,3255.099,2814.6,2379.415,2062.139,1649.674,1519.404,1403.124,1168.721,960.049,854.016,721.963,607.828,574.09,531.587,504.926,446.041,392.388,353.326,322.084,295.136,253.37,218.962,181.52,158.241,148.981,135.007,124.324,116.108,108.607,100,92.849,87.628,82.673,78.034,76.535,72.819
"41","34","    Other","B853RG3",65.704,74.474,83.346,90.393,104.224,118.159,129.913,129.73,139.712,151.156,158.599,175.322,173.877,163.107,153.91,143.656,128.135,137.994,150.45,160.518,156.54,148.928,145.395,142.425,141.663,142.91,142.041,123.518,108.727,104.211,102.79,101.292,99.976,97.816,98.139,98.371,100,101.088,101.975,103.874,102.399,101.7,103.523
"42","35","  Automotive vehicles, engines, and parts","B651RG3",15.629,17.173,18.722,20.56,23.731,25.926,31.774,33.299,36.262,43.34,47.668,51.056,57.86,59.822,61.342,62.69,64.248,71.378,75.9,80.39,81.974,82.614,85.842,87.383,88.727,91.595,94.299,94.905,95.098,95.223,95.878,96.549,96.478,96.768,97.294,98.946,100,100.384,101.393,103.969,104.775,105.479,108.709
"43","36","  Consumer goods, except automotive","B652RG3",26.207,27.818,29.95,32.529,36.803,45.613,54.044,54.421,57.228,62.776,66.312,72.147,73.783,72.981,72.258,73.972,73.583,79.441,86.136,92.145,94.628,97.577,98.385,101.334,102.189,102.926,104.457,104.79,103.509,102.087,101.371,100.65,99.864,98.802,98.576,99.104,100,100.382,101.731,104.277,103.906,103.883,105.719
"44","37","    Durable goods","B697RG3",32.956,34.26,36.415,40.465,44.369,53.425,59.254,61.608,64.046,70.821,75.405,78.918,80.509,79.044,78.388,79.058,78.252,86.039,92.5,98.615,100.952,104.098,105.415,107.986,109.23,109.936,111.303,111.264,108.828,105.925,104.64,103.779,102.607,100.863,100.05,99.794,100,100.634,101.695,103.773,102.782,101.538,102.674
"45","38","    Nondurable goods","B698RG3",18.759,20.558,22.562,23.631,28.17,36.678,48.157,46.484,49.686,53.808,56.132,64.942,66.675,66.69,65.878,68.82,68.918,72.579,79.565,85.47,88.114,90.86,91.168,94.467,94.945,95.709,97.393,98.085,97.933,97.968,97.833,97.261,96.88,96.528,96.919,98.301,100,100.08,101.779,104.902,105.263,106.668,109.345
"46","39","  Other","B653RG3",23.179,24.891,25.861,27.99,32.582,40.517,45.989,46.347,50.689,55.661,61.233,67.977,70.234,69.153,68.322,68.217,66.424,69.458,74.433,80.125,82.174,83.501,84.84,86.148,87.229,89.377,92.849,92.948,92.396,91.94,91.714,93.072,92.641,91.71,93.619,96.612,100,102.386,104.352,114.435,111.966,115.085,119.392
"47","40","Imports of services \1\","B656RG3",19.805,20.511,22.368,23.483,27.163,32.303,34.921,36.5,39.094,42.645,48.16,55.892,58.318,58.36,57.404,56.419,56.35,62.45,63.339,66.424,66.072,71.019,73.612,75.673,76.313,77.806,80.235,82.234,82.233,80.629,83.185,84.209,84.219,86.088,91.469,95.573,100,103.806,107.75,114.006,111.769,114.714,118.126
"48","41","  Direct defense expenditures","B752RG3",10.129,10.375,11.815,12.198,14.719,17.134,19.548,21.156,24.194,28.11,32.791,39.218,39.341,39.481,38.087,36.841,36.997,43.273,50.611,56.617,56.167,66.337,66.829,69.279,67.635,69.598,77.145,76.83,70.536,68.515,69.679,67.319,67.853,70.359,82.046,91.029,100,105.247,116.495,122.306,120.646,115.134,125.277
"49","42","  Travel","B768RG3",24.787,25.35,27.882,29.723,34.531,41.626,46.302,46.508,49.056,54.02,61.5,68.011,70.991,64.662,60.554,57.725,56.055,63.62,60.69,64.711,65.357,68.371,71.401,75.69,76.2,79.134,80.555,82.965,82.69,79.378,81.29,80.123,78.268,81.342,87.308,93.644,100,103.943,112.354,120.289,115.429,117.692,120.733
"50","43","  Passenger fares","B769RG3",24.674,24.73,26.733,27.95,27.495,33.1,35.599,37.176,39.63,37.626,40.229,46.626,50.457,52.145,52.268,51.012,49.255,51.092,51.906,54.162,53.846,59.027,65.811,67.605,66.672,67.013,70.532,71.449,75.753,76.717,78.761,83.294,91.054,95.647,97.62,96.001,100,105.509,113.146,129.985,120.155,136.766,146.754
"51","44","  Other transportation","B770RG3",14.999,16.263,16.641,17.577,21.56,26.885,27.005,28.641,29.929,32.875,38.258,47.014,49.714,52.729,53.018,53.921,55.796,62.137,57.914,59.06,60.482,63.328,64.269,63.851,64.437,64.517,67.156,69.074,67.593,66.327,74.239,81.145,79.916,76.873,86.222,93.552,100,99.424,96.315,104.417,96.46,103.605,108.769
"52","45","  Royalties and license fees","B908RG3",20.279,21.328,22.572,23.53,25.008,27.432,29.925,31.843,34.27,36.935,40.404,44.789,48.812,51.723,54,56.296,58.294,60.009,62.2,64.567,67.443,70.615,73.247,75.319,77.224,78.924,80.896,82.669,84.134,84.818,86.121,88.317,90.106,91.415,93.554,96.473,100,103.351,106.275,109.754,109.688,111.313,114.062
"53","46","  Other private services","B909RG3",37.304,39.375,41.587,43.183,44.361,46.81,49.784,52.252,55.291,57.941,59.623,65.22,68.321,70.729,73.744,74.427,76.028,78.59,86.124,85.887,79.537,85.686,88.712,89.518,92.286,93.091,94.278,97.051,98.383,97.119,96.93,94.975,94.44,97.597,99.339,99.536,100,105.643,108.468,112.076,113.517,115.325,116.608
"54","47","  Other","B910RG3",21.745,22.546,24.317,25.615,28.403,32.55,35.841,37.106,39.519,43.034,47.955,53.042,56.822,55.949,55.548,55.556,55.865,60.15,60.042,63.09,65.007,68.011,70.765,73.696,74.948,77.144,78.919,81.093,81.603,80.375,82.901,84.911,84.095,84.996,89.62,94.84,100,103.397,107.705,113.585,109.667,112.678,116.536
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","48","  Exports of durable goods","B332RG3",45.9,48.039,49.152,50.142,53.623,63.418,73.187,78.09,81.661,86.69,96.485,106.775,116.398,119.163,117.479,116.583,111.871,109.842,109.905,113.516,114.3,112.804,113.121,111.55,110.782,110.028,108.543,104.038,100.911,98.61,97.349,97.53,97.394,96.789,96.806,98.339,100,102.474,103.364,104.216,101.75,103.952,106.785
"57","49","  Exports of nondurable goods","B339RG3",25.482,26.569,27.426,28.423,36.941,50.976,53.898,52.287,53.51,56.301,65.292,70.598,73.652,69.311,69.472,71.712,67.112,63.309,67.792,76.057,77.906,77.717,77.048,75.479,75.254,78.993,87.535,88.257,86.317,81.792,80.527,83.874,82.331,81.733,86.993,93.983,100,105.231,114.629,130.091,111.87,123.269,143.004
"58","50","  Exports of agricultural goods \2\","B181RG3",31.89,33.095,35.202,37.216,55.428,75.356,73.712,69.197,70.312,72.968,82.884,87.29,91.622,81.053,84.552,88.204,77.956,70.949,73.4,86.579,89.278,85.708,85.448,83.777,85.129,88.945,96.95,106.795,99.376,90.393,83.844,82.446,83.118,84.689,93.347,101.976,100,103.559,122.352,147.133,130.03,138.387,165.369
"59","51","  Exports of nonagricultural goods","B182RG3",29.56,31.361,32.269,33.269,36.184,45.271,52.402,55.533,58.73,62.075,70.78,79.595,87.047,91.243,93.291,98.221,96.897,94.551,96.887,101.739,102.828,102.235,102.15,100.55,99.751,100.472,102.184,98.214,95.931,93.423,92.617,93.998,93.313,92.51,93.677,96.566,100,103.3,105.618,109.521,102.642,107.702,114.634
"60","52","  Imports of durable goods","B333RG3",36.676,39.165,41.548,45.202,52.039,63.933,70.952,72.101,77.595,86.383,95.275,105.348,109.511,107.494,105.002,103.083,99.413,106.403,112.738,120.755,121.706,120.204,119.927,119.278,118.843,119.856,120.953,114.098,108.061,103.459,101.486,101.213,99.332,97.382,97.225,99.12,100,101.312,102.749,105.71,102.566,103.702,106.04
"61","53","  Imports of nondurable goods","B340RG3",12.186,13.015,13.522,14.351,17.467,32.53,34.52,35.754,39.495,40.516,50.909,71.917,76.924,72.262,67.822,68.351,65.31,55.09,60.197,60.582,64.565,69.273,66.088,65.721,64.102,64.414,68.518,71.341,70.059,63.309,66.185,77.001,73.268,72.268,78.448,86.211,100,108.665,115.721,143.357,110.825,127.019,149.721
"62","54","  Imports of nonpetroleum goods","B187RG3",31.804,34.079,35.719,38.562,45.066,56.822,62.66,63.534,69.613,76.006,84.259,95.189,97.709,95.274,93.008,92.276,88.97,94.298,99.792,107.088,108.406,107.981,108.152,108.055,107.723,109.246,111.431,106.64,102.351,98.6,96.956,97.628,96.244,94.189,95.345,97.588,100,101.184,103.11,108.267,103.717,105.947,109.835
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
