"","Table 5#9# Changes in Net Stock of Produced Assets (Fixed Assets","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","3","    Private","K160031",1789.4,1942.4,2097.8,2332.9,2573.2,2924,3445.1,3766.4,4150,4723.4,5404.6,6255.7,7118.5,7858.2,8288.5,8579.1,9077.6,9575.7,10178.7,10780.8,11461.1,12120.2,12677.5,12945.1,13495.6,14211.6,15088.8,15820.5,16635.4,17552.7,18627.9,19866.7,21240.5,22585.5,23749.9,25180.6,27746.8,30600.9,32870.9,33955.5,34869.3,33982.7,34388.3
"12","4","    Government","K160041",638.1,702.4,781.6,846.4,922.7,1037.9,1275.3,1340,1416.5,1505.5,1646.6,1874.7,2146.5,2358.1,2489.2,2548.3,2648.7,2763.8,2933.9,3089.2,3248.4,3425.5,3597.8,3719.6,3882.3,4062.9,4293.4,4504.1,4680.5,4903.9,5104.8,5405.2,5720.7,5979.5,6253.7,6514.3,7263.6,7941.4,8780.8,9507.5,10189.3,10194.6,10589.4
"13","5","  Private inventories \1\","K160051",208.1,227.4,235.7,253.7,283.6,351.5,405.6,408.5,439.6,482,570.9,667.6,739,779.1,773.9,796.9,869,875.9,858,924.2,999.7,1044.3,1082,1057.2,1082.6,1116,1194.5,1257.2,1284.7,1327.3,1341.6,1432.7,1524,1447.3,1489.1,1545.7,1681.5,1804.6,1917.1,2077.5,2024.3,1889.7,2080.8
"14",NA,"Accumulation of produced assets"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","6","Gross fixed investment","K160061",190.5,194,211.7,241.1,275.5,291.7,299.6,341.2,406.5,489.2,563.4,585.8,649.5,644.5,692.9,809.6,873.2,913.2,942.1,989.2,1044.9,1062.2,1023.6,1071.6,1152,1254.4,1345.5,1453.7,1570,1709.9,1868.1,2022,2022.2,1978.4,2069.1,2276,2514.3,2692.2,2722.6,2625.9,2210.4,2184.5,2298.5
"16","7","  Private \2\","K160071",147.3,150.4,169.9,198.5,228.6,235.4,236.5,274.8,339,412.2,474.9,485.6,542.6,532.1,570.1,670.2,714.4,739.9,757.8,803.1,847.3,846.4,803.3,848.5,932.5,1033.5,1112.9,1209.4,1317.7,1447.1,1580.7,1717.7,1700.2,1634.9,1713.3,1903.6,2122.3,2267.2,2266.1,2128.7,1703.5,1679,1818.3
"17","8","    Nonresidential","K160081",104.7,109,114.1,128.8,153.3,169.5,173.7,192.4,228.7,280.6,333.9,362.4,420,426.5,417.2,489.6,526.2,519.8,524.1,563.8,607.7,622.4,598.2,612.1,666.6,731.4,810,875.4,968.6,1061.1,1154.9,1268.7,1227.8,1125.4,1135.7,1223,1347.3,1505.3,1637.5,1656.3,1349.3,1338.4,1479.6
"18","9","      Structures","K160091",37.7,40.3,42.7,47.2,55,61.2,61.4,65.9,74.6,93.6,117.7,136.2,167.3,177.6,154.3,177.4,194.5,176.5,174.2,182.8,193.7,202.9,183.6,172.6,177.2,186.8,207.3,224.6,250.3,275.1,283.9,318.1,329.7,282.8,281.9,306.7,351.8,433.7,524.9,586.3,451.1,376.3,404.8
"19","10","      Equipment and software","K160101",67,68.7,71.5,81.7,98.3,108.2,112.4,126.4,154.1,187,216.2,226.2,252.7,248.9,262.9,312.2,331.7,343.3,349.9,381,414,419.5,414.6,439.6,489.4,544.6,602.8,650.8,718.3,786,871,950.5,898.1,842.7,853.8,916.4,995.6,1071.7,1112.6,1070,898.2,962.1,1074.7
"20","11","    Residential","K160111",42.6,41.4,55.8,69.7,75.3,66,62.7,82.5,110.3,131.6,141,123.2,122.6,105.7,152.9,180.6,188.2,220.1,233.7,239.3,239.5,224,205.1,236.3,266,302.1,302.9,334.1,349.1,385.9,425.8,449,472.4,509.5,577.6,680.6,775,761.9,628.7,472.4,354.1,340.6,338.7
"21","12","  Government \3\","K160121",43.3,43.6,41.8,42.6,46.8,56.3,63.1,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.9,139.4,158.8,173.2,184.3,186.1,197.7,215.7,220.3,223.1,219.4,220.9,232.6,244.2,252.4,262.9,287.4,304.3,322,343.5,355.8,372.4,392,425.1,456.5,497.2,506.9,505.5,480.2
"22","13","    Structures","K160131",29,29.2,31.2,31.6,34.4,40.3,44.5,44.9,44.3,51.5,57.8,65.3,66.4,65,65.7,72.5,81.1,89,95.5,99,102,112.6,117,119.7,121.1,124.7,134.7,144.4,155.6,160.2,175.8,189.6,205.8,221.6,229.4,236.4,246.5,267.5,289.5,310,316.9,309.3,286
"23","14","    Equipment and software","K160141",14.3,14.4,10.5,11,12.5,15.9,18.6,21.5,23.2,25.6,30.7,34.9,40.5,47.3,57.1,66.8,77.7,84.2,88.8,87.2,95.7,103.1,103.3,103.4,98.4,96.2,97.9,99.8,96.8,102.7,111.6,114.7,116.2,121.8,126.4,135.9,145.5,157.6,167,187.2,190,196.2,194.2
"24","15","Less: Stock reconciliation adjustments","K160151",1,1.8,2.3,1.9,1.6,1.5,1.7,2.6,3.5,4.9,4.5,5.9,5.6,7.9,8.3,7.2,6.1,12.4,8.1,8.8,10.7,7.5,10.3,14.8,8,9.1,3.1,-6.8,7.8,9.1,11.6,13.2,18.2,18.8,20.2,18.1,18.8,20.1,17.4,11.5,13.8,5.7,8.7
"25","16","  Private \4\","K160161",0.9,1.6,1.9,1.6,1.4,1.3,1.2,1.9,2.6,3.6,3.1,4.3,5.1,7.7,7.6,6.5,5,11.5,7.2,7.9,10.2,6.9,9.9,13.5,6.7,8.5,4.6,0.4,7.8,9.1,11.6,13.2,18,18.4,19.6,17.8,18.1,19.5,19.3,11.3,13.6,5.5,7.9
"26","17","  Government \5\","K160171",0.1,0.2,0.4,0.2,0.1,0.2,0.5,0.7,0.9,1.3,1.4,1.5,0.5,0.3,0.8,0.7,1,0.9,1,0.9,0.6,0.6,0.4,1.3,1.4,0.6,-1.5,-7.2,0,0,0,0,0.2,0.3,0.7,0.3,0.7,0.6,-1.9,0.2,0.2,0.2,0.8
"27","18","Less: Consumption of fixed capital","K160181",99.2,108.3,117.8,127.2,140.8,163.7,190.4,208.2,231.8,261.4,298.9,344.1,393.3,433.5,451.1,474.3,505.4,538.5,571.1,611,651.5,691.2,724.4,744.4,778,819.2,869.5,912.5,963.8,1020.5,1094.4,1184.3,1256.2,1305,1354.1,1432.8,1541.4,1660.7,1767.5,1854.1,1866.3,1873.4,1936.8
"28","19","  Private","K160191",74.5,81.7,89.5,97.7,109.5,127.8,150.4,165.5,186.1,212,244.5,282.3,323.2,356.4,369.5,387.5,412.8,439.1,464.5,497.1,529.6,560.4,585.4,599.9,626.4,661,704.6,743.4,789.7,841.6,907.2,986.8,1051.6,1094,1135.9,1200.9,1290.8,1391.4,1476.2,1542.9,1542.8,1539.9,1587.4
"29","20","    Nonresidential","K160201",60.4,66.6,72.9,79.3,88.5,103.7,123.3,135.9,152.6,173,199.6,231,266.4,295.6,306.3,320.7,342.6,364.1,384.2,411.5,438.7,465,486.8,498.1,518.9,547.3,583.8,616.6,655.9,700.3,756.3,825,878.4,911.7,939.8,983.6,1051.1,1129.3,1203,1267.3,1273.2,1269.3,1312.9
"30","21","      Structures","K160211",16,17.5,19.4,21.4,24.6,29.1,33.7,36.2,40.4,45.8,52.9,59.9,71.7,81.2,81.1,83.8,88.6,91.8,93.2,99.8,105.7,111.3,115.6,116.1,120.1,124.9,131.5,136.5,144.6,154.7,161.4,170.9,184.8,196.8,205.5,220.4,248.9,282.8,310.9,333.7,331.5,329.3,346
"31","22","      Equipment and software","K160221",44.5,49.1,53.5,57.9,63.9,74.6,89.6,99.7,112.1,127.2,146.7,171.1,194.7,214.4,225.2,236.9,254,272.2,291,311.7,333.1,353.8,371.2,382.1,398.9,422.4,452.3,480.1,511.3,545.6,594.9,654.2,693.6,715,734.3,763.1,802.2,846.5,892.1,933.5,941.7,939.9,966.9
"32","23","    Residential","K160231",14.1,15.1,16.6,18.4,21,24.1,27.1,29.6,33.6,39,44.9,51.3,56.9,60.8,63.2,66.7,70.2,75,80.3,85.7,90.9,95.4,98.7,101.8,107.5,113.6,120.9,126.8,133.8,141.3,150.9,161.8,173.2,182.3,196.1,217.3,239.7,262.1,273.2,275.6,269.6,270.7,274.5
"33","24","  Government","K160241",24.7,26.6,28.2,29.4,31.3,35.9,39.9,42.6,45.6,49.5,54.4,61.8,70.1,77.1,81.6,86.9,92.7,99.4,106.6,113.9,121.8,130.8,138.9,144.5,151.6,158.2,164.8,169.2,174.1,179,187.2,197.5,204.6,210.9,218.1,231.9,250.6,269.3,291.3,311.2,323.5,333.5,349.4
"34","25","    Structures","K160251",10.2,11.4,12.8,13.9,15.6,19.1,21.5,22.3,23.5,25.2,28.3,32.5,36.7,39.5,40.3,41.2,42.7,45,47.6,49.9,52.1,54.8,56.8,58.4,61.2,64.2,68.2,71.5,75.8,79.5,83.9,89.5,94.6,99.4,104,112.4,125.5,137.7,152.7,164,169.5,172.4,180.6
"35","26","    Equipment and software","K160261",14.5,15.2,15.5,15.6,15.7,16.8,18.5,20.4,22.1,24.3,26.2,29.3,33.4,37.6,41.2,45.7,49.9,54.5,59,64,69.7,76,82.1,86,90.5,94,96.7,97.7,98.3,99.5,103.3,108,110,111.6,114.2,119.5,125,131.6,138.6,147.2,154,161.1,168.8
"36","27","Change in private inventories \6\","K160271",9.2,2,8.3,9.1,15.9,14,-6.3,17.1,22.3,25.8,18,-6.3,29.8,-14.9,-5.8,65.4,21.8,6.6,27.1,18.5,27.7,14.5,-0.4,16.3,20.8,63.8,31.2,30.8,71,63.7,60.8,54.5,-38.3,12,16.4,64.9,50,60,29.1,-41.1,-154.2,58.4,36.6
"37",NA,"Other changes in volume of assets"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","28","Less: Other changes in volume of assets","K160281",0.5,0.6,0.5,1.6,1.1,0.2,0,0.2,0.3,0,1.1,0.5,0,0.9,1.1,0,1.7,0,0,0,9,0,2.2,18,4.1,20.4,2.4,0,-0.1,0,3.7,0.1,19.6,0.3,1.2,29.8,110.9,0,0,19.2,0.1,0.1,0.2
"39","29","  Private fixed assets \7\","K160291",NA,NA,0.1,1.6,0.6,0.2,0,0.2,0.3,0,1.1,0.5,0,0.9,1.1,0,1.7,0,0,0,7.9,0,1.5,17.9,4.1,18.4,2.4,0,0,0,3.5,0,17.5,0,0,29.4,99.2,0,0,19.1,0,0,0
"40","30","    Nonresidential fixed assets","K160301",NA,NA,0.1,0.8,0.4,0,0,0.1,0.2,0,0.7,0.4,0,0.5,0.5,0,0.1,0,0,0,3.9,0,0,5.3,2,7.3,0.8,0,0,0,1.9,0,15.1,0,0,12.3,27.3,0,0,7.2,0,0,0
"41","31","      Structures","K160311",NA,NA,0.1,0.6,0.4,0,0,0.1,0.2,0,0.7,0.4,0,0.5,0.5,0,0.1,0,0,0,2.3,0,0,2.2,0.6,5.3,0.6,0,0,0,1.3,0,7.9,0,0,6.6,16.6,0,0,5.4,0,0,0
"42","32","      Equipment and software","K160321",NA,NA,0,0.2,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,1.6,0,0,3.1,1.5,1.9,0.2,0,0,0,0.5,0,7.2,0,0,5.7,10.7,0,0,1.8,0,0,0
"43","33","    Residential fixed assets","K160331",NA,NA,0.1,0.8,0.2,0.1,0,0.1,0.1,0,0.4,0.1,0,0.4,0.6,0,1.6,0,0,0,4.1,0,1.5,12.6,2.1,11.1,1.6,0,0,0,1.6,0,2.4,0,0,17.2,71.8,0,0,11.9,0,0,0
"44","34","  Government fixed assets \8\","K160341",0.5,0.6,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7,0,0,2,0,0,-0.1,0,0.2,0.1,2.1,0.3,1.2,0.3,11.7,0,0,0.1,0.1,0.1,0.2
"45","35","    General government","K160351",0.5,0.6,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.7,0,0,1.7,0,0,-0.1,0,0.1,0.1,0.6,0.3,1.2,0.3,8.1,0,0,0.1,0.1,0.1,0.2
"46","36","    Government enterprises","K160361",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.3,0,0,0,0,0,0,1.5,0,0,0,3.6,0,0,0,0,0,0
"47",NA,"Revaluation"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","37","Nominal holding gains or losses (-)","K160371",137.7,157.7,218.5,226.8,386,672.3,287.6,343.9,511.4,662.6,899,976.9,711.1,368.9,146.1,277.5,238.5,386.3,433.6,527.2,479.1,389.4,78.2,427.9,547.4,716.8,503.4,440.1,513.8,546.3,811.1,901.7,837,814.2,1037.8,2591,2761.9,2150.4,1005.1,842.5,-1192.1,628,1186.7
"49","38","  Neutral holding gains or losses (-) \9\","K160381",145.5,153.3,156.9,154.1,305.5,522.9,354.2,327.7,426.3,525.6,808.6,942.6,741.9,497.7,377.2,399.2,345.3,334.1,463.5,577.5,579.9,746,418.5,414.8,365.4,453.4,402.5,405.2,215,217.9,577.8,660,331.3,731.9,703,1237.1,1452.7,1128.4,1471.6,608.5,455.1,836.9,1130.1
"50","39","    Fixed assets","K160391",133.9,141.3,145,142.7,282.2,479.9,327.1,303,394.5,487.1,748.2,873.4,686.3,463.6,352.6,371.2,321.6,312.3,434.9,541.5,542.8,699.3,392.8,390.1,344,426.5,379,381.6,202.4,205.6,546.5,624.4,314.4,697.1,670.1,1178.6,1385.6,1077.6,1407.1,581.6,437.4,801.7,1079.6
"51","40","      Private","K160401",99.3,104.4,106.5,105.6,209.7,356.6,239.8,224.6,296.2,372.3,577.6,675.4,530,357.8,272.1,287.7,250.1,243.1,338.7,422.4,424.3,546.6,306.3,303.5,267.9,332.9,296.3,298.4,158.8,161.4,431.1,493.5,248.8,552.4,531.7,939.3,1101.9,856.6,1116,455.4,332,615.8,824.8
"52","41","      Government","K160411",34.5,36.9,38.5,37.1,72.5,123.3,87.3,78.4,98.3,114.9,170.6,198.1,156.3,105.8,80.5,83.5,71.5,69.2,96.2,119.2,118.5,152.8,86.5,86.6,76.1,93.6,82.8,83.3,43.6,44.1,115.4,130.8,65.6,144.7,138.4,239.3,283.7,221,291.1,126.1,105.4,185.9,254.9
"53","42","    Private inventories \1\","K160421",11.6,11.9,11.9,11.4,23.3,43,27.1,24.7,31.8,38.4,60.4,69.2,55.6,34.1,24.6,28,23.8,21.8,28.7,35.9,37.1,46.7,25.7,24.8,21.4,27,23.4,23.6,12.6,12.4,31.4,35.7,16.9,34.9,32.9,58.6,67,50.8,64.6,26.9,17.7,35.2,50.5
"54","43","  Real holding gains or losses (-)","K160431",-7.8,4.4,61.6,72.7,80.4,149.5,-66.6,16.2,85.2,137.1,90.5,34.3,-30.8,-128.8,-231.1,-121.7,-106.9,52.2,-30,-50.3,-100.8,-356.6,-340.3,13.1,182,263.3,100.9,34.9,298.8,328.4,233.3,241.6,505.8,82.2,334.8,1353.9,1309.2,1022,-466.5,234,-1647.2,-208.9,56.6
"55","44","    Fixed assets","K160441",-6.4,10.1,63.8,63.3,51.7,152.4,-48.6,26.9,96.9,112.3,72.2,25.7,14.5,-104.4,-235.2,-100.4,-68.3,98.4,-40.4,-71.4,-80.5,-333.1,-290.2,28.8,190.8,275.5,92.8,61.8,339.7,390.2,234.4,240.6,561.1,87.3,327.6,1341.6,1303.1,1020.2,-533.2,272.9,-1648.9,-306.5,-25.1
"56","45","      Private","K160451",-18.2,-16.1,50.2,37.1,24,58.4,-3.3,51.8,127.2,112.4,47.3,-11,-4.5,-94.6,-173.3,-65.5,-46.7,70.5,-22.8,-40.1,-64.9,-268.3,-245.2,29.9,152.7,198.6,34.2,50.9,238.3,317.3,149.4,162.6,483.1,89.6,341.2,971.5,1038,557,-801.9,-97.1,-1365.7,-343.7,-243
"57","46","      Government","K160461",11.8,26.2,13.6,26.2,27.7,94,-45.4,-24.9,-30.3,-0.1,24.9,36.7,19.1,-9.8,-61.9,-34.9,-21.5,28,-17.6,-31.3,-15.7,-64.8,-45,-1.1,38.1,76.9,58.6,10.9,101.4,72.9,85,77.9,78,-2.4,-13.6,370.1,265.1,463.2,268.7,370,-283.2,37.2,217.9
"58","47","    Private inventories \1\","K160471",-1.4,-5.7,-2.2,9.4,28.7,-2.9,-18,-10.8,-11.7,24.7,18.3,8.6,-45.3,-24.4,4.1,-21.3,-38.6,-46.2,10.4,21.1,-20.2,-23.5,-50.1,-15.7,-8.9,-12.2,8,-26.9,-40.9,-61.8,-1.1,1.1,-55.3,-5.1,7.3,12.4,6.1,1.8,66.7,-38.9,1.8,97.6,81.6
"59",NA,"Closing balance"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","48","Produced assets \10\","K160481",2872.2,3115.1,3433,3779.5,4313.4,5126,5514.9,6006.1,6710.8,7622.1,8798,10003.9,10995.4,11551.5,11924.3,12595.3,13215.5,13970.6,14794.2,15709.3,16589.9,17357.3,17721.8,18460.5,19390.5,20576.8,21581.8,22600.6,23784,25074.3,26704.6,28485.2,30012.3,31492.8,33240.6,36691.9,40347,43568.7,45540.6,47083,46066.9,47058.5,48634.7
"61","49","  Fixed assets","K160491",2644.8,2879.4,3179.4,3495.9,3961.8,4720.4,5106.4,5566.6,6228.8,7051.2,8130.4,9264.9,10216.3,10777.7,11127.4,11726.3,12339.5,13112.6,13869.9,14709.6,15545.6,16275.3,16664.6,17377.9,18274.5,19382.2,20324.6,21315.9,22456.6,23732.7,25272,26961.2,28565,30003.6,31694.9,35010.4,38542.4,41651.6,43463.1,45058.6,44177.3,44977.7,46385.2
"62","50","    Private","K160501",1942.4,2097.8,2332.9,2573.2,2924,3445.1,3766.4,4150,4723.4,5404.6,6255.7,7118.5,7858.2,8288.5,8579.1,9077.6,9575.7,10178.7,10780.8,11461.1,12120.2,12677.5,12945.1,13495.6,14211.6,15088.8,15820.5,16635.4,17552.7,18627.9,19866.7,21240.5,22585.5,23749.9,25180.6,27746.8,30600.9,32870.9,33955.5,34869.3,33982.7,34388.3,35193.2
"63","51","    Government","K160511",702.4,781.6,846.4,922.7,1037.9,1275.3,1340,1416.5,1505.5,1646.6,1874.7,2146.5,2358.1,2489.2,2548.3,2648.7,2763.8,2933.9,3089.2,3248.4,3425.5,3597.8,3719.6,3882.3,4062.9,4293.4,4504.1,4680.5,4903.9,5104.8,5405.2,5720.7,5979.5,6253.7,6514.3,7263.6,7941.4,8780.8,9507.5,10189.3,10194.6,10589.4,11192
"64","52","  Private inventories \1\","K160521",227.4,235.7,253.7,283.6,351.5,405.6,408.5,439.6,482,570.9,667.6,739,779.1,773.9,796.9,869,875.9,858,924.2,999.7,1044.3,1082,1057.2,1082.6,1116,1194.5,1257.2,1284.7,1327.3,1341.6,1432.7,1524,1447.3,1489.1,1545.7,1681.5,1804.6,1917.1,2077.5,2024.3,1889.7,2080.8,2249.5
"65",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","53","  Intersectoral auto valuation adjustment \11\","K160531",0.3,0.8,0.8,0.7,0.8,0.9,0.7,0.5,0.6,1.4,1.6,2.3,1.9,1.7,2,3.4,6.4,11,9.7,6.9,7.1,7.7,5.1,3.3,1.7,0.4,0,-1.5,3.1,1.3,1,0.8,3.9,6.3,9.6,9.3,7.4,9.3,6.3,5,5.6,2.4,1
"67","54","  Brokers' commissions on sale of nonresidential used structures and dealers' margins on used equipment","K160541",0.8,0.8,0.8,0.9,1.1,1.2,1.3,1.4,1.7,2.1,2.4,2.7,3.1,3.3,3.3,3.9,4.2,4.3,4.6,5.3,5.8,6.2,5.6,5.6,6.3,7.1,8,8.8,10.3,12,13.8,14.9,15.5,15.5,15.4,16.8,18.4,19.9,22.3,21.8,19.1,19.8,21.7
"68","55","  Electric plants put in place less electric plants put in use \12\","K160551",0.9,1.4,1.7,1.4,1.5,2.4,1.8,3.3,3.6,4.9,6.2,6.6,7,7.3,7,4.4,0,1.6,-1.6,1.6,2.8,-1.4,3.8,7.9,3.9,5.7,0,-9.6,-0.8,-0.2,0.2,1.1,1.3,-0.2,-1.7,-2.4,-1.8,-2.1,-5.7,-4.1,-4.5,-3.9,-3.2
"69","56","    Private","K160561",0.7,1.1,1.3,1.1,1.3,2.1,1.3,2.5,2.7,3.6,4.8,5.1,6.5,7.1,6.2,3.7,-1,0.7,-2.6,0.7,2.2,-2,3.4,6.5,2.6,5.1,1.5,-2.3,-0.8,-0.2,0.2,1.1,1.2,-0.6,-2.4,-2.7,-2.6,-2.6,-3.8,-4.4,-4.7,-4.1,-3.7
"70","57","    Government","K160571",0.1,0.2,0.4,0.2,0.1,0.2,0.5,0.7,0.9,1.3,1.4,1.5,0.5,0.3,0.8,0.7,1,0.9,1,0.9,0.6,0.6,0.4,1.3,1.4,0.6,-1.5,-7.2,0,0,0,0,0.2,0.3,0.7,0.3,0.7,0.5,-1.9,0.2,0.2,0.2,0.6
"71","58","  Abandoned electric plants \13\","K160581",0,0,0,0,0,0,0,0,0,0.3,0.4,0.4,2.8,2.6,7,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","59","  Sale of equipment scrap, excluding autos \14\","K160591",-0.5,-0.6,-0.4,-0.4,-1.1,-2.2,-1.3,-1.7,-1.5,-2.4,-4.2,-3.9,-4.1,-2.1,-1.6,-1.9,-1.8,-1.8,-2.5,-3,-2.8,-2.8,-2.1,-2,-4,-4.3,-5.1,-4.8,-4.8,-4,-3.4,-3.5,-2.6,-2.8,-3.1,-5.7,-5.2,-7,-8.5,-11.2,-6.4,-12.6,-11
"73","60","  Other \15\","K160601",-0.5,-0.5,-0.6,-0.6,-0.7,-0.8,-0.8,-0.8,-0.9,-1.5,-2,-2.3,-5,-4.9,-9.2,-7.1,-2.7,-2.7,-2,-2.1,-2.2,-2.1,-2.1,0,0.1,0.2,0.2,0.3,0,0,0,0,0,0,0.1,0.1,0,0,3,0,0,0.1,0.2
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","1. Estimates of government inventories are not available.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","2. Private fixed investment shown in table 5.2.5, line 7.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
